"its","яго"
"from the [C:5:0:1]Nobles and administrators[C:7:0:0] menu. ","з меню [C:5:0:1]Шляхта і адміністратары[C:7:0:0]. "
"Then from the [C:5:0:1]Squad[C:7:0:0] menu you can assign your first squad, led by the [C:5:0:0]Commander[C:7:0:0].  First you must ","Затым з меню [C:5:0:1]Атраду[C:7:0:0] вы можаце прызначыць свой першы атрад на чале з [C:5:0:0]Камандзірам[C:7:0:0]. Спачатку вы павінны "
"assign the uniform.  A new uniform can be assigned later. ","прызначыць форму. Новая форма можа быць прызначана пазней. "
"The squad can be customized and you ","Атрад можа быць зменены і вы "
"can select the leader from the buttons at the top of the squad screen. ","можаце выбраць лідэра з кнопак у верхняй частцы экрана атрада. "
"The most important buttons ","Самыя важныя кнопкі "
"are the checkmark to select the squad to give orders and the [C:5:0:1]Position[C:7:0:0] button to add more soldiers to the squad. ","- гэта галачка, каб выбраць атрад для загаду, і кнопка [C:5:0:1]Пазіцыя[C:7:0:0], каб дадаць больш салдат у атрад. "
"You can give individual orders to the soldiers by selecting them with the checkmark from the [C:5:0:1]Position[C:7:0:0] menu ","Вы можаце аддаваць індывідуальныя загады жаўнерам, выбраўшы іх галачкай у меню [C:5:0:1]Пазіцыя[C:7:0:0] "
"or the whole squad from the [C:5:0:1]Squad[C:7:0:0] menu. ","або ўвесь атрад з меню [C:5:0:1]Атрад[C:7:0:0]. "
"The orders can be found at the bottom of the [C:5:0:1]Squad[C:7:0:0] menu when somebody is selected.  You can make a [C:3:0:1]Kill[C:7:0:0] order and confirm it. ","Загады можна знайсці ўнізе меню [C:5:0:1]Атраду[C:7:0:0], калі хто - небудзь абраны. Вы можаце зрабіць загад [C:3:0:1]Забіць[C:7:0:0] і пацвердзіць яго. "
"You can make a [C:3:0:1]Station[C:7:0:0] order to have your squad stand in that position.  You can create a [C:3:0:1]Patrol Route[C:7:0:0] ","Вы можаце зрабіць загад [C:3:0:1]Стойка[C:7:0:0], каб ваш атрад стаяў у гэтай пазіцыі. Вы можаце стварыць [C:3:0:1]Патрульны маршрут[C:7:0:0] "
"and assign your squads to it.  The [C:3:0:1]Defend Burrow[C:7:0:0] order gives you a list of [C:1:0:0]Burrows[C:7:0:0] (created by pressing ","і прызначыць свае атрады да яго. Загад [C:3:0:1]Абараніць сховішча[C:7:0:0] дае вам спіс [C:1:0:0]Сховішч[C:7:0:0] (ствараецца націскам "
"the [C:5:0:1]Burrow[C:7:0:0] menu) for your squad to defend.  The [C:3:0:1]Training[C:7:0:0] order allows your soldiers to train, but you must ","меню [C:5:0:1]Сховішча[C:7:0:0]) для абароны атрадам. Загад [C:3:0:1]Трэніроўка[C:7:0:0] дазваляе вашым салдатам трэніравацца, але спачатку "
"first assign a [C:3:0:0]Barracks[C:7:0:0] created from the [C:5:0:1]Zones[C:7:0:0] menu.","трэба прызначыць [C:3:0:0]Казармы[C:7:0:0], створаныя з меню [C:5:0:1]Зоны[C:7:0:0]."
"The [C:5:0:1]Equipment[C:7:0:0] menu allows you to customize the uniforms of the selected squads. ","Меню [C:5:0:1]Экіпіроўка[C:7:0:0] дазваляе вам змяніць  форму выбраных атрадаў. "
"You can assign new uniforms to your squads or add a new one to customize it and add it to the uniform list. ","Вы можаце змяніць форму сваім атрадам або дадаць новую, каб наладзіць яе і дадаць у спіс. "
"You can also click on details to customize each individual soldier.","Вы таксама можаце націснуць дэталі, каб наладзіць салдатаў паасобку."
"The [C:5:0:1]Schedule menu[C:7:0:0] is a powerful tool to give automatic orders to the selected squad. ","Меню [C:5:0:1]Раскладу[C:7:0:0] з'яўляецца магутным інструментам для аўтаматычнай аддачы загадаў абранаму атраду. "
"Routines are individual orders given to a squad or individual members of a squad.  From here you ","Руціны - гэта індывідуальныя загады, якія аддаюцца атраду або асобным чальцам атрада. Адсюль вы "
"can assign and edit the routines your soldiers will follow. ","можаце прызначаць і рэдагаваць руціны, якіх будуць прытрымлівацца вашы салдаты. "
"You can also give your squads a monthly schedule.  The routines are aligned along the top of ","Таксама магчыма даць сваім атрадам штомесячны графік. Руціны выраўнаваны па верхняй частцы "
"the grid and the months of the year are shown down the left side.  To assign different orders ","сеткі і месяцы года паказаны злева. Каб прызначаць розныя загады "
"for each month, line up with your chosen routine, go down the column, and press edit on the ","для кожнага месяца, падстройвайцеся ў адпаведнасці з абранай вамі руцінай, перайдзіце ўніз па слупку і націсніце рэдагаваць "
"orders lining up with the month.  You can also copy an order from any cell.  Clicking on the ","загады з патрэбным месяцам. Вы таксама можаце скапіяваць загад з любой ячэйкі. Націсканне на "
"column itself will assign the routine to the selected squad.","сам слупок - прызначыць руціну абранаму атраду."
"The regular mining command digs a tunnel into the side of a mountain or deep underground. ","Звычайны загад здабычы - капае тунэль на схіле гары ці глыбока пад зямлёй. "
"This leaves a ""ceiling"" above and ""floor"" below the empty space you have mined. ","Гэта пакідае ""столь"" уверсе і ""падлогу"" пад пустой прасторай, якую вы адкапалі. "
"A ramp is a special square that can be traversed to the level above. There must be space above a ramp ","Пандус - гэта спецыяльны квадрат, па якім можна перайсці на ўзровень вышэй. Над пандусам павінна быць месца "
"and an adjacent wall with an open floor above for the ramp to be usable.","і сумежная сцяна з адкрытай падлогай уверсе, каб пандус можна было выкарыстоўваць."
"Digging a ramp into a wall on the same level will create a connection to the higher level and remove the ceiling. ","Укопванне пандуса ў сцяну на тым жа ўзроўні створыць злучэнне з больш высокім узроўнем і выдаліць столь. "
"Once a ramp is present, you can start using the regular mining command on the higher level.","Калі пандус з'явіцца, вы можаце пачаць выкарыстоўваць звычайную каманду здабычы на больш высокім узроўні."
"Digging a channel will mine out a floor or wall at the current level and dig out a ramp at the level ","Капанне канала прывядзе да выкопвання падлогі або сцяны на бягучым узроўні і выкапання пандуса на гэтым узроўні "
"below.  If there's no solid ground below the square being channeled, channeling will destroy the floor ","ніжэй. Калі пад квадратам няма цвёрдай зямлі, канал разбурыць падлогу "
"and create a hole instead.","і створыць дзірку."
"To easily see which ramps go up or down, click the [C:5:0:1]Ramp Vision[C:7:0:0] button by the minimap.","Каб лёгка ўбачыць, якія пандусы ідуць уверх ці ўніз, націсніце кнопку [C:5:0:1]Пандусавы зрок[C:7:0:0] каля міні - мапы."
"As your dwarves live and work in your fortress they will generate [C:6:0:1]Refuse[C:7:0:0]. ","Пакуль вашы гномы жывуць і працуюць у вашай крэпасці, яны будуць ствараць [C:6:0:1]Адходы[C:7:0:0]. "
"This includes everything from [C:6:0:1]Bones[C:7:0:0] and other [C:6:0:1]Remains[C:7:0:0] to worn-out [C:6:0:1]Clothing[C:7:0:0]. ","Гэта ўключае ў сябе ўсё: ад [C:6:0:1]Касцей[C:7:0:0] і іншых [C:6:0:1]Астанкаў[C:7:0:0] да зношанай [C:6:0:1]Адзежы[C:7:0:0]. "
"You can gather the [C:6:0:1]Refuse[C:7:0:0] in a [C:6:0:0]Refuse Stockpile[C:7:0:0]. ","Вы можаце сабраць [C:6:0:1]Адходы[C:7:0:0] ў [C:6:0:0]Сметнікаву кучу[C:7:0:0]. "
"Some [C:6:0:1]Refuse[C:7:0:0] can be put to use, for instance [C:6:0:1]Shells[C:7:0:0] can be turned into [C:6:0:1]Crafts[C:7:0:0]. ","Некаторыя [C:6:0:1]Адходы[C:7:0:0] можна выкарыстоўваць, напрыклад [C:6:0:1]Ракавінкі[C:7:0:0] можна ператварыць у [C:6:0:1]Выраб[C:7:0:0]. "
"Most of it will just generate foul smelling [C:0:0:1]Miasma[C:7:0:0].","Большая частка адходаў будзе ствараць невыноснага паху [C:0:0:1]Міязмы[C:7:0:0]."
"If your [C:6:0:0]Refuse Stockpile[C:7:0:0] starts to fill up you can create a [C:3:0:0]Dump Zone[C:7:0:0]. ","Калі ваша [C:6:0:0]Сметнікава куча[C:7:0:0] пачне запаўняцца, вы можаце стварыць [C:3:0:0]Зону звалкі[C:7:0:0]. "
"Use the [C:5:0:1]Zones[C:7:0:0] menu to select [C:3:0:0]Garbage Dump[C:7:0:0] and draw a rectangle over a cliff or hole and ","Выкарыстоўвайце меню [C:5:0:1]Зоны[C:7:0:0], каб выбраць [C:3:0:0]Звалку смецця[C:7:0:0] і намалюйце прастакутнік над абрывам або дзіркай і "
"then designate [C:6:0:1]Items[C:7:0:0] for [C:3:0:1]Dumping[C:7:0:0]. ","потым абазначце [C:6:0:1]Рэчы[C:7:0:0] для [C:3:0:1]Скідвання[C:7:0:0]. "
"This can be done either from the [C:5:0:1]Item's Info Sheet[C:7:0:0] or by dragging a rectangle over everything ","Гэта можна зрабіць альбо з [C:5:0:1]Інфармацыйнага ліста рэчы[C:7:0:0], альбо перацягнуўшы прастакутнік па - над усім "
"you want to dump using the [C:5:0:1]Dump Designation[C:7:0:0] tool.","ад чаго хочаце пазбавіцца з дапамогай інструмента [C:5:0:1]Пазначэнне звалкі[C:7:0:0]."
"There are many treasures and perils deep underground. ","Глыбока пад зямлёй ёсць шмат скарбаў і небяспек. "
"In order to pursue the wealth of the earth, you must dig deeper! ","Каб валодаць багаццем зямлі, трэба капаць глыбей! "
"Valuable gems and precious metals can be found, along with richer soil, ","Можна знайсці каштоўныя камяні і металы, больш багатую глебу, "
"desperately needed water, fungal lumber, and other tantalizing mysteries.","вельмі патрэбную ваду, грыбную драўніну і іншыя захапляльныя таямніцы."
"To attract migrants and build a successful settlement, ","Каб прывабліваць мігрантаў і будаваць паспяховае паселішча, "
"you will need to keep your citizens happy.","вам трэба будзе трымаць сваіх грамадзян шчаслівымі."
"There are many ways to maintain your citizens. ","Ёсць шмат спосабаў як гэта зрабіць. "
"Alcohol, good food, and personal rooms go a long way. ","Алкаголь, добрая ежа і асабістыя пакоі маюць вялікае значэнне. "
"Meet their needs by providing [C:3:0:0]Meeting Areas[C:7:0:0] and [C:1:0:1]Locations[C:7:0:0] for socializing, worship, and study. ","Задавальняйце іх патрэбы, забяспечваючы [C:3:0:0]Зоны сустрэч[C:7:0:0] і [C:1:0:1]Месцы[C:7:0:0] для зносін, набажэнстваў і вучобы. "
"Monitor their thoughts to identify problems that you can solve.","Сачыце за іх думкамі, каб вызначыць праблемы, якія вы можаце вырашыць."
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Няшчасныя жыхары могуць быць нагодай праблем, і нешматлікія людзі рызыкнуць вандраваць у "
"miserable fortress.","роспачную крэпасць."
"The current and optional path to victory is to have your fortress elevated to a barony. ","Бягучы і неабавязковы шлях да перамогі - узвесці вашу крэпасць да баронства. "
"From there, you can build your wealth, export goods, and attract more migrants until ","Пасля гэтага, вы можаце нарошчваць сваё багацце, экспартаваць тавары і прыцягваць больш мігрантаў, каб  "
"you become a county then a duchy.  A happy fortress with many exports and massive wealth ","дасягнуць графства, а потым герцагства. Шчаслівая крэпасць з вялікай колькасцю экспарту і велізарным багаццем "
"can attract the existing monarch of the civilization.","можа прыцягнуць існуючага манарха цывілізацыі."
"This is the first step to completing the game.  Next, you'll need to satisfy your ruler's needs, ","Гэта першы крок да завяршэння гульні. Далей вам трэба будзе задаволіць патрэбы свайго кіраўніка, "
"and finally become a Mountainhome by seating them on a legendary throne with seven mythical symbols of office. ","і, нарэшце, стаць Горнай Сталіцай, пасадзіўшы яго на легендарны трон з сямю міфічнымі сімбаламі ўлады. "
"You'll be an accomplished player at this point.","Да гэтага моманту вы станеце дасведчаным гульцом."
"But this is only the beginning.  Ultimately, your true goals are up to your imagination. ","Але гэта толькі пачатак. У рэшце рэшт, вашы сапраўдныя мэты залежаць ад вашага ўяўлення. "
"Call visitors from all over the world with the greatest tavern, library, or temple the world has ever known. ","Прываблівайце наведвальнікаў з усяго свету ў найвялікшую карчму, бібліятэку або храм, якія калі - небудзь ведаў свет. "
"Build an elaborate water-powered contraption or domesticate previously untameable wild beasts. ","Стварыце складанае прыстасаванне з водным рухавіком або прыручыце дзікіх звяроў, якіх раней нельга было прыручыць. "
"Settle in unliveable regions tormented by ancient evils and defend your fortress from zombies with your own army of vampires. ","Пасяліцеся ў непрыдатных для жыцця рэгіёнах, якія пакутуюць ад старажытнага зла, і абараняйце сваю крэпасць ад зомбі з дапамогай уласнай арміі вампіраў. "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Вашы подзвігі будуць запісаны ў Легенды майстрамі гравёрамі у наступных крэпасцях у вашым свеце."
" praying"," моліцца"
" weeping"," плача"
" cringing"," скурчваецца"
" screaming"," крычыць"
" being tortured"," падвяргаецца катаванням"
" committing a depraved act"," здзяйсняе распусныя ўчынкі"
" making a submissive gesture"," выказвае пакорлівасць"
" in a fetal position"," у паставе эмбрыёну"
" smeared out into a spiral"," скручаны ў спіраль"
" falling"," падае"
" dead"," мёртвы"
" laughing"," смяецца"
" being shot"," падстрэлены"
" making a plaintive gesture"," робіць журботны жэст"
" melting"," плавіцца"
" burning"," палае"
"looks dejected","выглядае прыгнечаным"
"looks terrified","выглядае напалоханым"
"looks offended","выглядае пакрыўджаным"
"looks confused","выглядае збянтэжаным"
" suffering"," пакутуе"
" withering away"," марнеючы"
" striking a menacing pose"," прымае пагрозлівую паставу"
" striking a triumphant pose"," прымае паставу пераможцы"
" laboring"," працуе"
" contemplating"," сузірае"
" cooking"," кухарыць"
" engraving"," гравіруе"
" unnaturally contorted"," ненатуральна скрыўлены"
" being flayed"," абелены"
" being mutilated"," пакалечаны"
" prostrating itself before "," схіляецца перад "
" torturing "," катуе "
" committing a depraved act upon "," здзяйсняе распусты над "
" devouring "," пажырае "
" admiring "," захапляецца "
" burning "," палае "
" shooting "," страляе "
" surrounded by "," акружаны "
" massacring "," распраўляецца "
" fighting with "," б'ецца з "
" greeting "," вітае "
" refusing "," адмаўляецца "
" speaking with "," гутарыць з "
" embracing "," абдымае "
" striking down "," паражае "
" raising "," падымае "
" hiding "," хавае "
" praying to "," моліцца "
" contemplating "," сузірае "
" cooking "," кухарыць "
" engraving "," гравіруе "
" impaled on "," насаджаны на "
" being flayed by "," разабраны "
" hanging from "," звісае з "
" being mutilated by "," знявечаны "
"Name your settlement","Назавіце свае паселішча"
"Name your group","Назавіце сваю групу"
"Name the image","Назавіце выяву"
"Name the location","Назавіце лакацыю"
"Name the squad","Назавіце атрад"
"Name the symbol","Назавіце сымбаль"
"Random","Адвольна"
"Given name","Прызначанае імя"
"Front Compound","Прыстаўка"
"Rear Compound","Канчатак"
"First Adjective","1ы прыметнік"
"Second Adjective","2і прыметнік"
"Hyphen Compound","Праз працяжнік"
"The X","X"
"Clear","Ачысціць"
"Singular Noun","Назоўнік адз. ліку"
"Plural Noun","Назоўнік мн. ліку"
"Adjective","Прыметнік"
"Prefix","Прэфікс"
"Present (1st)","Цяперашні (1 - я асоба)"
"Present (3rd)","Цяперашні (3 - я асоба)"
"Preterite","Прошлы час"
"Past Participle","Прошлы час"
"Present Participle","Цяперашні час"
"The symbol of ","Сымбаль "
"Image information for ","Інфармацыя аб выяве для "
"Image information for engraving","Інфармацыя аб выяве для гравіроўкі "
"Image information","Інфармацыя аб выяве"
"Warning!","Увага!"
"You won't perform your action if you leave.","Вы не выканаеце сваё дзеянне, калі сыдзеце."
"Don't perform action","Нічога не рабіць"
"Keep working","Працягваць працаваць"
"Any image data you've changed will be lost.","Усе змены выявы будуць страчаны."
"Leave editor and discard data","Выйсці з рэдактара і выдаліць даныя"
"Related to historical figure","Звязана з гістарычнай асобай"
"Related to site","Звязана з месцам"
"Related to civilization or other group","Звязана з цывілізацыяй ці іншай групай"
"Existing image","Існуючая выява"
"Specify a new image","Выбраць новую выяву"
"Let your mind wander","Даць волю ўяўленню"
"Allow artist to choose","Дазволіць мастаку выбраць"
"Group commission","Узнагарода для групы"
"Group symbol","Сымбаль групы"
"Civ commission","Узнагарода цывілізацыі"
"Civilization symbol","Сымбаль цывілізацыі"
"Name","Імя"
"Historical figure","Гістарычная асоба"
"Plant","Расліна"
"Tree","Дрэва"
"Shape","Абрыс"
"Object","Аб'ект"
"Artifact","Артэфакт"
"Action or relationship","Дзеянне або стасункі"
"Delete element","Выдаліць элемент"
"Number:","Колькасць:"
"(0 for unnumbered plural)","(0 для непранумараванага мн. ліку)"
"Untitled/unnamed","Безназоўны"
"Choose X: ","Выберыце X: "
"Choose Y: ","Выберыце Y: "
"This is a ","Гэта "
"These are ","Гэта "
"outcast ","ізгой "
"nomadic ","качавы "
"migrating ","мігруючы "
"local ","мясцовы "
"civilization","цывілізацыя"
"merchant company","гандлёвая кампанія"
"performance troupe","трупа"
"government","ўрад"
"vessel","судна"
"religion","рэлігія"
"military organization","ваенная арганізацыя"
"group","група"
"Setting type","Тып налады"
"Spikes","Шыпы"
"Bands","Стужкі"
"Hanging rings","Вісячыя кольцы"
"Covered","Накрыты"
"Image","Выява"
"For ","Для "
"Setting material","Набор матэрыялаў"
"Specify type","Указаць тып"
"Specify size","Выбраць памер"
"stone","камень"
"wood","драўніна"
"leather","скура"
"cloth","тканіна"
"thread","нітка"
"plant","расліна"
"yarn","прадзіва"
"silk","ядваб"
"bone","костка"
"shell","панцыр"
"soap","мыла"
"tooth","зуб"
"horn","рог"
"pearl","жамчуг"
"gem","самацвет"
"material","матэрыял"
"map/set too long","набор занадта доўгі"
" straps "," прышпільвае "
" draws "," бярэ "
" drinks "," п'е "
" drops "," упускае "
"Custom settings","Карыст. налады"
"Range: ","Дыяпазон: "
"Enemies:","Ворагі:"
"Off","Няма"
"Normal","Нармальна"
"Hard","Цяжка"
"(Custom)","(Карыстальніцкі)"
"Economy:","Эканоміка:"
"Text entry","Увод тэксту"
"Fortress","Крэпасць"
"General","Агульнае"
"Macros","Макрасы"
"Add","+"
"Fast repeat","Хуткі паўтор"
"Delayed repeat","Адкладз. паўтор"
"Don't repeat","Не паўтараць"
"Use ","Выкарыстоўвайце "
" to play back a recorded macro."," каб прайграць запісаны макрас."
" to save a macro to a file."," каб захаваць макрас у файл."
" to load a macro."," каб загрузіць макрас."
"No macros created.","Макрасаў няма."
"Restore defaults","Па змаўчанні"
"Audio has been manually disabled.","Гук быў адключаны."
"Change it to [SOUND:YES] for audio.","Змяніце яго на [SOUND:YES] для аўдыё."
"Master Volume: ","Агульная гучнасць: "
"Music Volume: ","Гучнасць музыкі: "
"Ambience Volume: ","Гучнасць асяроддзя: "
"Sound Effects Volume: ","Гучнасць эфектаў: "
"Average Seconds Between Tracks/Interludes: ","Сярэдняя колькасць секунд паміж трэкамі/інтэрлюдыямі: "
"Windowed","У акне"
"Fullscreen","Поўны экран"
"Resolution:","Раздзяляльнасць:"
"Detect","Выявіць"
"No fullscreen resolutions detected.","Поўнаэкранная раздзяляльнасць не выяўлена."
"Video","Відэа"
"Audio","Аўдыё"
"Game","Гульня"
"Keybindings","Клавіятура"
"Difficulty","Цяжкасць"
"Scale interface to fit grid height/width","Маштабаваць інтэрфейс адпаведна вышыні/шырыні"
"No","Не"
"Yes","Так"
" Desired grid width for scaling (default = 170)"," Шырыня сеткі для маштабавання (па змаўчанні = 170)"
" Desired grid height for scaling (default = 64)"," Шырыня сеткі для маштабавання (па змаўчанні = 64)"
" Interface scaling percentage if not fitting width"," Маштабаванне інтэрфейсу ў адсотках, калі не адпавядае шырыні"
"Initial window width (if windowed)","Пачатковая шырыня акна (У акне)"
"Initial window height (if windowed)","Пачатковая вышыня акна (У акне)"
"Window is resizable (takes effect on restart)","Памер акна змяняльны (вымагае перазапуск)"
"Maximum interface percentage (not counting minimap/elevation)","Максімальны працэнт інтэрфейсу (не лічачы мінікарты/вышыні)"
"Use Classic ASCII glyphs","Выкарыстоўваць класічную графіку ASCII"
"NO BINDING","НЕ ПРЫЗНАЧАНА"
"Mouse: ","Мыш: "
"Autosave frequency","Частата аўтазахавання"
"Yearly","Штогод"
"Semiannual","Паўгода"
"Seasonal","Сезонна"
"Autosave the game after embark","Аўтазахаванне гульні пасля высадкі"
"Pause after every autosave","Паўза пасля аўтазахавання"
"Pause after loading","Паўза пасля загрузкі"
"Confirmation window for all embarks","Акно пацверджання для ўсіх высадак"
"Prepare carefully embark confirmation","Старанна падрыхтуйцеся да высадкі"
"Never","Ніколі"
"If points remain","Калі ачкі засталіся"
"Always","Заўсёды"
"Show tunnels on world map","Паказаць тунэлі на мапе свету"
"In site finder","У пошуку месцаў"
"Enable temperature","Уключыць тэмпературу"
"Enable weather","Уключыць надвор'е"
"Enable caveins","Уключыць пячоры"
"Enable artifact moods","Уключыць артэфактныя налады"
"Enable testing arena (on next title)","Уключыць тэставую арэну (наступны змест)"
"Walking spreads spatter","Хадзьба пакідае сляды - бруд"
"Keyboard cursor enabled","Курсор клавіятуры ўключаны"
"Log world generation map rejects","Адключыць журнал стварэння свету"
"Default embark width","Шырыня высадкі па змаўчанні"
"Default embark height","Вышыня высадкі па змаўчанні"
"Default high traffic path cost","Кошт руху па змаўчанні з высокім трафікам"
"Default normal traffic path cost","Кошт руху па змаўчанні з нармальным трафікам"
"Default low traffic path cost","Кошт руху па змаўчанні з нізкім трафікам"
"Default restricted traffic path cost","Кошт руху па змаўчанні з абмежаваным трафікам"
"Storage path decrease (# of contained item cap)","Памяншэнне шляху складавання (# столь рэчаў)"
"Storage path decrease (seed bag combine)","Памяншэнне шляху складавання (мяшкі для насення)"
"Storage path decrease (bucket combine)","Памяншэнне шляху складавання (вёдры)"
"Storage path decrease (barrel combine)","Памяншэнне шляху складавання (бочкі)"
"Storage path decrease (bin combine)","Памяншэнне шляху складавання (скрынкі)"
"Population cap","Столь колькасці насельніцтва"
"Strict population cap (includes births)","Строгае абмежаванне колькасці насельніцтва (уключаючы нараджэнне)"
"Baby+child cap","Столь колькасці дзяцей"
"Baby+child cap (percentage of total)","Столь колькасці дзяцей(адсоткава ад насельніцтва)"
"Visitor cap","Столь наведвальнікаў"
"Cull dead units at","Абмежаваць колькасць мёртвых юнітаў"
"Seed cap (per species)","Столь насення (кожнага віду)"
"Total seed cap","Агульная столь насення"
"Engravings start obscured","Гравюры пачынаюць хмурнець"
"Show improvement quality in item names","Паказаць якасць паляпшэння ў назвах прадметаў"
"Show numeric liquid levels","Паказаць лікавыя ўзроўні вадкасці"
"Show up/down arrows on ramps at current elevation","Паказаць стрэлкі ўверх/уніз на пандусах на бягучай вышыні"
"Number of lower elevation layers to show","Колькасць ніжніх слаёў вышыні для паказу"
"Show all historical events in engravings etc.","Паказаць усе гістарычныя падзеі на гравюрах і г.д."
"Nickname position (fort mode)","Размяшчэнне мянушкі (рэжым форта)"
"Replace first","Замяніць спачатку"
"Centralize","Цэнтралізаваць"
"Replace all","Замяніць усё"
"Nickname position (legends mode)","Размяшчэнне мянушкі (рэжым легенд)"
"Grazing coefficient (higher = less grass)","Каэфіцыент выпасу (вышэй = менш травы)"
"Show frames-per-second","Паказаць FPS"
"Game frames-per-second cap (default 100)","Ліміт FPS (па змаўчанні 100)"
"Key hold milliseconds before repeat","Утрыманне клавішы перад паўторам у мілісекундах"
"Milliseconds for each key repeat","Паўтарэнне кожнай клавішы ў мілісекундах"
"Number of key repeats before accelerating","Колькасць паўтораў клавіш перад паскарэннем"
"Disabled","Адключана"
"Maximum key repeat acceleration multiplier","Множнік паскарэння максімальнага паўтарэння клавіш"
"Milliseconds interface shutdown after recenter","Выключэнне інтэрфейсу пасля рэцэнтра ў мілісекундах"
"Milliseconds between macro instructions","Мілісекунды паміж інструкцыямі макраса"
"Compressed saves (recommended!)","Сціснутыя захаванні (рэкамендуецца!)"
"Maximum embark dimension","Максімальны памер высадкі"
"Civilizations can attack","Цывілізацыі могуць нападаць"
"Megabeasts can attack","Мегазверы могуць нападаць"
"Werebeasts can attack","Пярэваратні могуць нападаць"
"Curious wilderness creatures can come to cause trouble","Цікаўныя дзікія істоты могуць прыйсці, каб выклікаць непрыемнасці"
"Enemy population trigger 1","Напад ворага пры дасягненні насельніцтва Трыгер 1"
"Enemy population trigger 2","Напад ворага пры дасягненні насельніцтва Трыгер 2"
"Enemy population trigger 3","Напад ворага пры дасягненні насельніцтва Трыгер 3"
"Enemy population trigger 4","Напад ворага пры дасягненні насельніцтва Трыгер 4"
"Enemy population trigger 5","Напад ворага пры дасягненні насельніцтва Трыгер 5"
"Enemy production trigger 1","Напад ворага пры дасягненні вытворчасці Трыгер 1"
"Enemy production trigger 2","Напад ворага пры дасягненні вытворчасці Трыгер 2"
"Enemy production trigger 3","Напад ворага пры дасягненні вытворчасці Трыгер 3"
"Enemy production trigger 4","Напад ворага пры дасягненні вытворчасці Трыгер 4"
"Enemy production trigger 5","Напад ворага пры дасягненні вытворчасці Трыгер 5"
"Enemy trade trigger 1","Напад ворага пры дасягненні гандлю Трыгер 1"
"Enemy trade trigger 2","Напад ворага пры дасягненні гандлю Трыгер 2"
"Enemy trade trigger 3","Напад ворага пры дасягненні гандлю Трыгер 3"
"Enemy trade trigger 4","Напад ворага пры дасягненні гандлю Трыгер 4"
"Enemy trade trigger 5","Напад ворага пры дасягненні гандлю Трыгер 5"
"Megabeast attack period (seasons)","Перыяд атакі мегазвера (сезоны)"
"Forgotten beast sensitivity (less = sooner)","Успрымальнасць забытага звера (менш = хутчэй)"
"Forgotten beast irritation minimum (less = sooner)","Мінімум раздражнення забытага звера (менш = хутчэй)"
"Forgotten beast wealth divisor (more = safer)","Дзельнік багацця забытага звера (больш = бяспечней)"
"Wilderness sensitivity (less = sooner)","Успрымальнасць дзікай прыроды (менш = хутчэй)"
"Wilderness irritation minimum (less = sooner)","Мінімум раздражнення дзікай прыроды (менш = хутчэй)"
"Wilderness irritation decay (more = safer)","Змяншэнне раздражнення дзікай прыроды (больш = бяспечней)"
"Werebeast attack period (seasons)","Перыяд нападу пярэваратня (сезоны)"
"Vampire migrant fraction (more = safer)","Фракцыя мігрантаў - вампіраў (больш = бяспечней)"
"Invasion cap (regulars, attack one)","Столь уварвання (звычайныя, адзін)"
"Invasion cap (monsters, attack one)","Столь уварвання (монстры, адзін)"
"Invasion cap (regulars, attack two)","Столь уварвання (звычайныя, два)"
"Invasion cap (monsters, attack two)","Столь уварвання (монстры, два)"
"Invasion cap (regulars, attack three+)","Столь уварвання (звычайныя, тры+)"
"Invasion cap (monsters, attack three+)","Столь уварвання (монстры, тры+)"
"Minimum raids before first siege (per civ)","Мінімальная колькасць рэйдаў перад першай аблогай (на цывілізацыю)"
"Minimum raids between sieges (per civ)","Мінімальная колькасць рэйдаў паміж аблогамі (на цывілізацыю)"
"Siege frequency (percentage, otherwise raid)","Частата аблогі (у працэнтах, інакш рэйд)"
"Cavern dweller scale (increase per attack)","Шкала жыхара пячоры (павелічэнне за атаку)"
"Cavern dweller maximum attackers","Найбольшая колькасць нападаючых жыхароў пячор"
"Diplomacy tree-fell count","Дыпламатыя падліку ўпаўшых дрэў"
"Diplomacy tree-fell count (untamed wilds)","Дыпламатыя падліку ўпаўшых дрэў (неўтаймаваныя землі)"
"Economy population trigger 1","Эканоміка ад насельніцтва Трыгер 1"
"Economy population trigger 2","Эканоміка ад насельніцтва Трыгер 2"
"Economy population trigger 3","Эканоміка ад насельніцтва Трыгер 3"
"Economy population trigger 4","Эканоміка ад насельніцтва Трыгер 4"
"Economy population trigger 5","Эканоміка ад насельніцтва Трыгер 5"
"Economy production trigger 1","Эканоміка ад вытворчасці Трыгер 1"
"Economy production trigger 2","Эканоміка ад вытворчасці Трыгер 2"
"Economy production trigger 3","Эканоміка ад вытворчасці Трыгер 3"
"Economy production trigger 4","Эканоміка ад вытворчасці Трыгер 4"
"Economy production trigger 5","Эканоміка ад вытворчасці Трыгер 5"
"Economy trade trigger 1","Эканоміка ад гандлю Трыгер 1"
"Economy trade trigger 2","Эканоміка ад гандлю Трыгер 2"
"Economy trade trigger 3","Эканоміка ад гандлю Трыгер 3"
"Economy trade trigger 4","Эканоміка ад гандлю Трыгер 4"
"Economy trade trigger 5","Эканоміка ад гандлю Трыгер 5"
