"more presumptious","domìçlivØjç¡"
"by preserving part of body","uchov n¡m Ÿ sti tØla"
"You will wait, staying awake for ","Budeç Ÿekat a z…staneç vzh…ru po dobu "
"Wrestling","Z pas"
"doyennes","dØkanky"
"Fertilize field","Hnojit pole"
"lamination","laminace"
"Your efforts are legend there.  Let us trade!","Vaçe £sil¡ je legend rn¡. PojÔme obchodovat!"
"I wish to become a ","Pýeji si st t se "
"renderable ","taviteln‚ "
"the Tavern","Hospoda"
"No automatic web collection","¦ dn‚ automatick‚ sb¡r n¡ pavuŸin"
"Too sad","Pý¡liç smutnì"
"Locations can be created from zones.","Lokace lze vytvoýit ze z¢n."
"this keep","tato pevnost"
"psycho","ç¡lenec"
"philosophy:logic:formal reasoning","filozofie:logika:form ln¡ uva§ov n¡"
"Cage ","D t do klece "
"the Nerves","Nervy"
"is corpulent","je korpulentn¡"
"with a touch of","s n dechem"
"Quests and reputation","ékoly a reputace"
"You can't take me alive!","¦iv‚ho mØ nedostaneç!"
" met with "," se setkal s "
"talks very quickly when ","mluv¡ velmi rychle, kdy§ "
"more altruistic","altruistiŸtØjç¡"
"is adorned with hanging rings of ","je ozdoben zavØçenìmi krou§ky z "
"I drank slime.","Pil jsem sliz."
"It is good to be outdoors.","Je dobr‚ bìt venku."
"This type is allowed to be cooked.","Tento druh je povoleno vaýit."
"mug","hrnek"
"Light and Color","SvØtlo a barva"
"Combat with any creature will put you in immediate peril.  Wounds can be serious and long-lasting, and most enemies ","Souboj s jakìmkoli tvorem tØ okam§itØ vystav¡ nebezpeŸ¡.  ZranØn¡ mohou bìt v §n  a dlouhodob  a vØtçina nepý tel "
"Acknowledge lack of gloom","Konstatovat nepý¡tomnost ponurosti"
"I shared a personal insight with my sibling.","Sd¡lel jsem osobn¡ postýeh se svìm sourozencem."
"Artistically inclined","UmØlecky zalo§enì"
"opossum","vaŸice"
"has a tall, thin frame with very little fat on it","m  vysokou, hubenou postavu s velmi m lo tukem"
"Choose origin civilization","Vyberte p…vodn¡ civilizaci"
"metal furniture shop sign","cedule obchodu s kovovìm n bytkem"
"Recovering after shooting","Vzpom h  se po vìstýelu"
" Track (NSE)"," Cesta (S-J-V)"
"Smoothing rough floors and walls","Vyhlazov n¡ hrubìch podlah a stØn"
"Owner: ","Vlastn¡k: "
"the Castle","Hrad"
"stop holes","zakrìvat otvory"
"just","pouze"
"ate vermin while starving","jedl çk…dce pýi hladovØn¡"
" concerning"," tìkaj¡c¡ se"
"the dungeon","vØzen¡"
"Job","ékol"
"State feelings of bliss","Vyj dýit bla§enost"
"Saving armies...","Ukl d n¡ arm d..."
" timbre.  "," barvu t¢nu.  "
"View the positions in this squad.","Zobrazit pozice v tomto odd¡lu."
"hanging","zavØçen¡"
"Strike somebody adjacent with a melee attack.  Also allows available parry, block, and dodge moves.","Udeý soused¡c¡ c¡l £tokem zbl¡zka.  Umo§åuje tak‚ dostupn‚ odra§en¡, bloky a £hyby."
"thin","tenk‚"
"to bring peace to the world","pýin‚st svØtu m¡r"
"Encyclopedia","Encyklopedie"
"alkali and acids","z sady a kyseliny"
"created a masterful illustration","vytvoýil mistrovskou ilustraci"
"a corpse","mrtvolu"
"tooth","zub"
"Loading object files...","NaŸ¡t m objektov‚ soubory..."
"has a sense of duty","m  smysl pro povinnost"
"Weapon twist","Zkroucen¡ zbranØ"
"Minerals and Maps","Miner ly a mapy"
"Nearly a day's travel","T‚mØý den cesty"
"State feelings of enjoyment","Vyj dýit u§it¡"
"boundaries","hranice"
"The Fool","Bl zen"
"Flat/rough areas not evenly distributed: ","Roviny/nerovnosti nejsou rovnomØrnØ rozlo§eny: "
"Metal Crafter","Kovotep"
" family heirloom"," rodinn‚ dØdictv¡"
" include a "," zahrnout "
"An office or study is required for certain official tasks, such as approving work orders and bookkeeping.  A chair or throne is required for these functions.","Pro nØkter‚ £ýedn¡ £kony, jako je schvalov n¡ pracovn¡ch pý¡kaz… a veden¡ £Ÿetnictv¡, je nutn  kancel ý nebo pracovna. Pro tyto funkce je zapotýeb¡ §idle nebo tr…n."
"Have no fear.","Neboj se."
"reunited","znovu spojeni"
"official meeting without room","ofici ln¡ sch…zka bez m¡stnosti"
"I cannot just stand by.","Nem…§u jen pýihl¡§et."
"Citizen birth","Narozen¡ obŸana"
"I don't work here.","Tady nepracuj¡."
"Leather Works","Ko§edØln  vìroba"
"Final ocean region count fails by ","KoneŸnì poŸet oce nskìch region… nesplnØn o "
"Values romance","Cen¡ si romantiky"
"after being unable to practice a martial art","po nemo§nosti cviŸit bojov‚ umØn¡"
"Armorsmith's shop","Panc¡ýnick  d¡lna"
"to","do"
"There aren't enough dining tables.","Nen¡ dostatek j¡deln¡ch stol…."
"Accuses: ","Obviåuje: "
"Stone Engraving","Kamenn  Rytina"
"Tactics","Taktika"
" to remove "," odstranit "
"Missions","Mise"
"Let there be peace throughout the world.","Aœ je na svØtØ m¡r."
"News and rumors","Zpr vy a povØsti"
"Bone Carving Workshop","üezb ýsk  d¡lna (kost¡)"
"bash","praçtit"
"grieves","truchl¡"
"leadership overthrown","veden¡ svr§eno"
"Animal Courtship","Dvoýen¡ zv¡ýat"
"You won't perform your action if you leave.","Pokud odejdeç, akce nebude provedena."
"ballista parts","Ÿ sti balisty"
"have attained a general familiarity with ","z¡skali obecnou znalost "
"I want to see a great beast.","Chci vidØt velkou bestii."
"Zoom Out","Odd lit"
" and "," a "
"My father shared a personal insight with me.","M…j otec se mnou sd¡lel osobn¡ postýeh."
"deftly "," obratnØ "
"is thin and weak","je hubenì a slabì"
"Log world generation map rejects","Zaznamen vat odm¡tnut‚ mapy pýi generov n¡ svØta"
"Mud is left by water","Bahno z…st v  po vodØ"
" vapor"," vìpar"
"the loss of a hist fig entry","ztr ta z znamu historick‚ postavy"
"Traction Bench","TrakŸn¡ lavice"
"the Denial","Popýen¡"
"Overall, the poetry is not awful, but not very good either","CelkovØ poezie nen¡ hrozn , ale ani pý¡liç dobr "
"a procession","proces¡"
"This creature is a monster slayer.","Toto stvoýen¡ je zabij k pý¡çer."
" has gone berserk!"," se zbl znil zuýivost¡!"
"by pushing together"," tlakem proti sobØ"
"Acknowledge lack of remorse","Konstatovat nepý¡tomnost vìŸitek"
"Gambling","Hazardn¡ hry"
"Overall, the prose is splendid","CelkovØ je pr¢za skvØl "
"There are two sides to every story.","Ka§dì pý¡bØh m  dvØ strany."
"And remember: [C:2:0:1]Losing is fun, and now it's personal![C:7:0:0]","A pamatujte: [C:2:0:1]Prohr vat je z bava, a teÔ je to osobn¡![C:7:0:0]"
"I ate a meal.","Najedl jsem se."
"Guest arrives","Host pýich z¡"
"waterfall mist","mlha z vodop du"
"the use of models and templates in engineering","pou§it¡ model… a çablon v in§enìrstv¡"
"Loading art forms...","NaŸ¡t n¡ umØleckìch forem..."
"Be generous today.","BuÔ dnes çtØdrì."
"Weaponsmithing","Zbroj¡ýstv¡"
"citizenship petition accepted","§ dost o obŸanstv¡ pýijata"
"Prefix","Pýedpona"
"the Straight-Beam Balance","Rovnoramenn‚ v hy"
"Metalsmith","Kovoobr bØŸova"
"the Numbers","¬¡sla"
"Skill 9","Dovednost 9"
"eating without chair","jedl bez mo§nosti si sednout"
"Rope/chain","Lano/ýetØz"
"Alcohol, good food, and personal rooms go a long way. ","Alkohol, dobr‚ j¡dlo a vlastn¡ pokoje udØlaj¡ hodnØ. "
"Untitled","Bez n zvu"
"the Uprising","Povst n¡"
"You must compose a piece first (or learn an improvisational form).","Nejprve mus¡ç slo§it d¡lo (nebo se nauŸit improvizaŸn¡ formu)."
"Enemies:","Nepý tel‚:"
"Ordinary","ObyŸejnì"
"The sky above you is a uniform and dark gray.","Nebe nad v mi je jednolitØ tmavØ çed‚."
"   --> Inclined to create art","   --> M  sklony tvoýit umØn¡"
"State feelings of great nostalgia","Vyj dýit velkou nostalgii"
" equipment by "," vybaven¡ od "
"Complaints","St¡§nosti"
"Cause trouble for","Zp…sobit probl‚my"
"Thread (Desired): ","NitØ (po§adov no): "
"Megabeast attack period (seasons)","Perioda £tok… megabestie (v roŸn¡ch obdob¡ch)"
"[C:6:0:1]Meat[C:7:0:0] from [C:2:0:0]Livestock[C:7:0:0] you slaughter is a source of food. ","[C:6:0:1]Maso[C:7:0:0] z [C:2:0:0]Hospod ýskìch zv¡ýat[C:7:0:0], kter  poraz¡ç, je zdrojem potravy. "
"This option allows long-term residents of the fortress to enter this location.","Tato mo§nost umo§åuje dlouhodobìm obyvatel…m pevnosti vstup do t‚to lokace."
"Certain livestock need to graze on grass.  Assign these animals to a pasture zone.  No fencing is needed.","NØkterì dobytek se mus¡ p st na tr vØ.  PýiýaÔ tato zv¡ýata do pastevn¡ z¢ny.  Oplocen¡ nen¡ potýeba."
"What do you want to know?","Co chceç vØdØt?"
"No carcass available.","¦ dn  mrçina nen¡ k dispozici."
"Axeman","Sekern¡k"
"war animal","v leŸn‚ zv¡ýe"
"Distant: ","Dalek‚: "
"popularly-supported creation","lidovØ podpoýen‚ vytvoýen¡"
"coffins","rakve"
"kicks","kopy"
"high ","vysokì "
"holds shrewd and crafty individuals in the lowest esteem","m  nejni§ç¡ m¡nØn¡ o mazanìch a prohnanìch lidech"
"The peaceful town of ","Pokojn‚ mØsto "
"negative ","negativn¡ "
" throw"," h z¡"
"I don't handle pressure well.","Tlak nezvl d m dobýe."
"an unknown civilization","nezn m  civilizace"
"It was snowing on me.","SnØ§ilo na mØ."
"State minor feeling of agitation","Vyj dýit m¡rn‚ rozruçen¡"
"Change tab or highlight selection, secondary","ZmØnit kartu nebo zvìraznit vìbØr (sekund rn¡)"
"pressed ash","lisovanì popel"
"chemistry:classification:combustibles","chemie:klasifikace:hoýlaviny"
"Steal livestock","Ukr st dobytek"
"cage","klec"
"older half-sister","starç¡ nevlastn¡ sestra"
"  ""I'll live to fight another day!""","  \"
"the Primes","PrvoŸ¡sla"
"is bashful","je nesmØlì"
"is short","je malì"
"Loner","Samot ý"
"Temperate Saltwater Lake","M¡rn‚ slan‚ jezero"
"War Starting Plot","Spiknut¡ pro zah jen¡ v lky"
"I love solemn poetry.","Miluji v §nou poezii."
" along with smaller sacred sites"," spolu s menç¡mi posv tnìmi m¡sty"
"Any success will be fleeting.","Ka§dì £spØch bude pom¡jivì."
"State feelings of glumness","Vyj dýit trudnost"
" here"," zde"
"ammo ","munice "
"Dynamism","Dynamika"
"Things are going to happen.","NØco se stane."
"A hundred or more people were expelled","Sto Ÿi v¡ce lid¡ bylo vyhn no"
"is stout and incredibly muscular","je podsaditì a neuvØýitelnØ svalnatì"
" voice"," hlas"
"Guards List","Seznam str §¡"
"View monthly schedule","Zobrazit mØs¡Ÿn¡ rozvrh"
"the attack by ","£tok vedenì "
"Get Written Content","Z¡skat psanì obsah"
"surgical needles","chirurgick‚ jehly"
"the Failure","Selh n¡"
" unrolled a brilliant tactical plan"," rozvinul brilantn¡ taktickì pl n"
"values artwork","v §¡ si umØn¡"
"Passionate","V çnivì"
"holds the maintenance of tradition as one of the highest ideals","pova§uje zachov v n¡ tradic za jeden z nejvyçç¡ch ide l…"
"as scouts ","jako pr…zkumn¡ci "
"freezing water","mrznouc¡ voda"
"sage","mudrc"
"It was last seen ","Naposledy byl spatýen "
"Toggle whether this creature will receive hunting training.  Hunting animals can move stealthfully during hunts.","Pýepni, zda tento tvor obdr§¡ loveckì vìcvik.  Loveck  zv¡ýata se mohou bØhem lovu pohybovat nen padnØ."
"the Model","Model"
"Clay Collection","SbØr j¡lu"
"State minor feeling of relief","Vyj dýit m¡rnou £levu"
"Unnamed dungeon","Bezejmenn‚ vØzen¡"
"Name this stop.","Pojmenovat tuto zast vku."
"sluggish","mal tnìmi"
"I cannot, for I am on an important journey.","Nemohu, jsem na d…le§it‚ cestØ."
"rejection","odm¡tnut¡"
"Kill","Zabit¡"
"[C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Tavern[C:7:0:0].  Optionally you can place [C:6:0:0]Tables[C:7:0:0] and [C:6:0:0]Chairs[C:7:0:0] where your residents can eat. ","[C:6:0:0]Ský¡åk ch[C:7:0:0] uvnitý [C:1:0:1]Hospody[C:7:0:0]. VolitelnØ m…§eç pýidat [C:6:0:0]Stoly[C:7:0:0] a [C:6:0:0]¦idle[C:7:0:0], kde mohou obyvatel‚ j¡st. "
"Minimum Number of High-Savagery Squares","Min. poŸet pol¡ s vysokou divokost¡"
"Show elevation","Zobrazit nadmoýskou vìçku"
"No item","¦ dnì pýedmØt"
"A moaning spirit returned from the dead.  It will generally trouble one unfortunate at a time.","St‚naj¡c¡ duch navr tivç¡ se z mrtvìch. Obvykle obtØ§uje jednoho neçœastn¡ka."
"Water source vanished","Zdroj vody zmizel"
"Loading cultural identities...","NaŸ¡t n¡ kulturn¡ch identit..."
" Downward Track (NS)"," Klesaj¡c¡ cesta (S-J)"
"second ","druh‚ "
"suffering","trp¡c¡"
"Citizens are restricted by using their [C:5:0:1]Specialization[C:7:0:0] button. ","ObŸany omez¡ç pomoc¡ jejich tlaŸ¡tka [C:5:0:1]Specializace[C:7:0:0]. "
"reject","odm¡tnout"
"Choose a dance form for the choreography.","Vyber taneŸn¡ formu pro choreografii."
"There are scattered clouds underneath a striped sky.","Pod pruhovanìm nebem jsou rozptìlen‚ mraky."
" to act"," k akci"
" and can also "," a tak‚ m…§e "
" and went into debt"," a zadlu§il se"
"Death/","Smrt/"
"No Tomb","Bez hrobky"
"this dungeon","toto vØzen¡"
"There are many conversation options.  Important ones to note at first are inquiring about troubles, which might set you on the road to adventure, ","Existuje mnoho mo§nost¡ rozhovor….  Mezi d…le§it‚ na zaŸ tku patý¡ dotazov n¡ na pot¡§e, kter‚ tØ mohou nasmØrovat k dobrodru§stv¡, "
" has claimed a "," si n rokuje "
"performance","pýedstaven¡"
"Age of Legends","VØk legend"
"resumes the previous tempo","navrac¡ pýedchoz¡ tempo"
"keeps ","udr§uje "
"Camshafts","VaŸkov‚ hý¡dele"
"a known brigand","zn mì lupiŸ"
"Art is life.","UmØn¡ je §ivot."
"This party member is manually controlled in tactical mode.","Tento Ÿlen dru§iny je v taktick‚m re§imu ovl d n ruŸnØ."
"You put on ","Obl‚kneç "
"Seek Suture Thread","Hledat çic¡ nit"
"the Ransom","Vykoupen¡"
"A beast from underground has been assailing us.","Bestie z podzem¡ na n s £toŸ¡."
"learned interaction","nauŸil se interakci"
"Toggle sneaking.","Pýepnout pl¡§en¡."
"View ","Zobrazit "
"noted treasure hunter","zn mì lovec poklad…"
"the claiming of ","n rokov n¡ "
"This is your former apprentice.","Tohle je v ç bìvalì uŸeå."
"a historical figure","historick  postava"
"failed to load conflict report incident","nepodaýilo se naŸ¡st z znam o konfliktu"
"value","hodnota"
" has begun a mysterious construction!"," zaŸal tajemnou stavbu!"
"Owned","VlastnØnì"
"Downward Slope","Sestup"
"nomadic ","nom dsk  "
"the rhythm of the","rytmus "
"Upward stair (remembered)","Schody nahoru (zapamatovan‚)"
"trade partner","obchodn¡k"
"water pool","vodn¡ baz‚n"
"after meditation","po meditaci"
" with a positive outcome"," s pozitivn¡m vìsledkem"
"Resolution:","Rozliçen¡:"
"Ask about this site's neighbors and trade partners","Zeptat se na sousedy a obchodn¡ partnery tohoto m¡sta"
"start a family","zalo§it rodinu"
"begins to talk rapidly when ","zaŸne mluvit rychle, kdy§ "
"powers fought their final battles.","mocnost¡ svedly sv‚ posledn¡ bitvy."
"an abduction","£nosu"
"the Object","Objekt"
"philosophy:epistemology:perception","filozofie:epistemologie:vn¡m n¡"
"Crushed by a drawbridge","RozmaŸk n padac¡m mostem"
"suffered major injury","utrpØl v §n‚ zranØn¡"
"Clay","J¡l"
"force","s¡la"
"Preparing map...","Pý¡prava mapy..."
"is fat and incredibly short","je tlustì a neuvØýitelnØ malì"
"Agreed in year ","Dohodnuto v roce "
"The [C:5:0:1]Help[C:7:0:0] button at the top of the screen contains more guides. ","TlaŸ¡tko [C:5:0:1]N povØda[C:7:0:0] nahoýe na obrazovce obsahuje dalç¡ pr…vodce. "
"Failed to find vanilla languages header.","Nepodaýilo se naj¡t z kladn¡ jazykov‚ z hlav¡."
" (heard"," (slyçeno"
"less attentive to details","m‚nØ pozornì/  k detail…m"
"Nearest site: ","Nejbli§ç¡ m¡sto: "
"Bondage","Pouta"
"Tower Bedroom","Lo§nice ve vØ§i"
" beats"," dobami"
"I'm going out for some water.","Jdu pro vodu."
"feel tender","zn¡t nØ§nØ"
"objects and properties","objekty a vlastnosti"
"Tax Room","Daåov  m¡stnost"
"Siege frequency (percentage, otherwise raid)","¬etnost obl‚h n¡ (v procentech, jinak n jezd)"
"Advancing entities","Postup entit"
"wishes to join","si pýeje pýipojit se"
"** Loading Adventurer **","** NaŸ¡t n¡ dobrodruha **"
"Unknown creature","Nezn m  bytost"
"less altruistic","m‚nØ altruistickì/ "
"the execution of ","poprava "
"I try to live and behave properly.","Sna§¡m se §¡t a chovat spr vnØ."
"having an intellectual discussion with the spouse","m¡t intelektu ln¡ diskusi s man§elem/man§elkou"
"specific helm","konkr‚tn¡ pýilba"
"Squad Patrol","Hl¡dka dru§iny"
"Farm Plot","Pole"
"in order that acts of torture be perpetrated","aby byly p ch ny Ÿiny muŸen¡"
"Route ","Trasa "
"is very tall yet weak","je velmi vysokì, ale slabì"
"can select the leader from the buttons at the top of the squad screen. ","vybrat velitele pomoc¡ tlaŸ¡tek v horn¡ Ÿ sti obrazovky odd¡lu. "
"added to a gruesome sculpture","pýid no k hr…zn‚ soçe"
"nonuplets","devaterŸata"
"very near","velmi bl¡zko"
"has a tall, skinny body that is very frail","m  vysok‚, huben‚ a velmi kýehk‚ tØlo"
"You interact with building","Interagujeç s budovou"
"has such a developed sense of optimism that ","m  tak rozvinutì smysl pro optimismus, §e "
"a theft deal","kr de§n¡ dohody"
"Bait trap with ","N vnadit past "
"paper-slurryable ","vhodn‚ pro pap¡rovou kaçi "
" also utilize the market there."," tak‚ vyu§¡vaj¡ tamn¡ trh."
" jump all over the place when "," poskakuj¡ vçude kolem, kdy§ "
"thinks that the world should be engaged in perpetual warfare","mysl¡ si, §e svØt by mØl bìt neust le ve v lce"
"Scales are conceived of as two chords built using a division of the perfect fourth interval into ","Stupnice jsou ch p ny jako dva akordy vytvoýen‚ dØlen¡m intervalu Ÿist‚ kvarty na "
"being near to a ","bìt pobl¡§ "
" is the symbol of "," je symbolem "
"a dormitory","ubytovna"
"Main Job Building","Hlavn¡ pracovn¡ budova"
"has a very broad, muscular, fat body","m  velmi çirok‚, svalnat‚ a tlust‚ tØlo"
"New site founded nearby","Nedaleko zalo§eno nov‚ m¡sto"
"failure to get start square construction for transport link","nepodaýilo se z¡skat poŸ teŸn¡ stavebn¡ pole pro dopravn¡ spojen¡"
"ambiguity","nejasnost"
"has a short broad body with a lot of fat on it","m  kr tk‚, çirok‚ tØlo s velkìm mno§stv¡m tuku"
"I talked to my friend.","Mluvil jsem se svìm pý¡telem."
"the discardment of ","odlo§en¡ "
"fallen into a deep chasm.","spadli do hlubok‚ propasti."
"Ferocious","Zuýivì"
"Parley Arrangement","Uspoý dat vyjedn v n¡"
"No self-esteem   <->    Proud","Bez sebe£cty   <->   Hrdì"
"[C:6:0:1]Skins[C:7:0:0] are tanned at the [C:6:0:0]Tanner's Shop[C:7:0:0], and made into [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Leather Works[C:7:0:0].","[C:6:0:1]K…§e[C:7:0:0] se Ÿin¡ v [C:6:0:0]Ko§elu§nØ[C:7:0:0] a n slednØ se z nich vyr b¡ [C:6:0:1]ObleŸen¡[C:7:0:0] v [C:6:0:0]Ko§elu§sk‚ d¡lnØ[C:7:0:0]."
"struggle","boj"
"Vengeance","Pomsta"
" having trouble breathing!"," m  probl‚my s dìch n¡m!"
"spurned the law and refused to listen","pohrdl(a) z konem a odm¡tl(a) poslouchat"
"Restarts if completed, conditions checked monthly","Restartuje se po dokonŸen¡, podm¡nky kontrolov ny mØs¡ŸnØ"
"Tanning","¬inØn¡ k…§¡"
"Plant crops at the farmplot.  You will need seeds or spawn and must select crops by season.  Crops can be fertilized with potash.  Soil is richer deeper underground.","PØstov n¡ plodin na farmØ. Budete potýebovat semena nebo podhoub¡ a mus¡te vyb¡rat plodiny podle sez¢ny. Plodiny lze hnojit hnojivem. P…da je bohatç¡ hloubØji pod zem¡."
"Slab","Deska"
"rivers","ýeky"
"Verbally struggle against alarm","SlovnØ bojovat proti poplachu"
"untroubled by unmet needs","netr p¡ je neuspokojen‚ potýeby"
"Seek Ladder to Move","Hledat §ebý¡k k pýesunu"
"Running around babbling!","Pob¡h  a bl bol¡!"
" says:  """," ý¡k : \"
"a dance","tanec"
" as a "," jako "
"Load bolt thrower","Nab¡t vrhaŸ ç¡p…"
"The poem continues.","A b seå pokraŸuje."
"Does this settlement engage in trade?  Tell me about those places.","Obchoduje tato osada? PovØz mi o tØch m¡stech."
"Ask about the position of this group's forces","Zeptat se na rozm¡stØn¡ sil t‚to skupiny"
"mother and wife","matka a man§elka"
"Mettle","StateŸnost"
" (copy)"," (kopie)"
"engineering:horology:shadow clock","in§enìrstv¡:mØýen¡ Ÿasu:st¡nov‚ hodiny"
"a poem","b seå"
"New hospital","Nov  nemocnice"
"This is an untitled","Toto je bezejmennì"
"The library","Knihovna"
"Sorting body detail plans...","Tý¡dØn¡ pl n… detail… tØl..."
"Ice Track (SE)","Ledov  cesta (J-V)"
"pillaged","zpustoçil"
"Relative body size is the most important determiner of wrestling outcomes.  A character's wrestling skill is also important.  ","Relativn¡ velikost tØla je nejd…le§itØjç¡m faktorem vìsledku z pasen¡.  Dovednost z pasen¡ postavy je tak‚ d…le§it .  "
"This artwork appears ","Toto umØleck‚ d¡lo se objev¡ "
"has the habit of answering questions with questions","m  ve zvyku odpov¡dat na ot zky ot zkami"
"Object of worship: ","Objekt uct¡v n¡: "
"One-time order, conditions checked daily","Jednor zovì pý¡kaz, podm¡nky kontrolov ny dennØ"
"rubs around the lip of","týe okraj"
" between "," mezi "
"the last of the ","posledn¡ z "
"Musical composition","Hudebn¡ skladba"
"Metal Bars","Kovov‚ pruty"
"All tasks","Vçechny £koly"
"murdering somebody","zavra§dØn¡ nØkoho"
"is tiny and utterly weak","je titØrnì a naprosto slabì"
"Popup: Talk","Vyskakovac¡ okno: Rozhovor"
"slept on rough stone","spal na drsn‚m kameni"
"Workers dump other objects","Pracovn¡ci vyhazuj¡ jin‚ pýedmØty"
", a jealous deity, consulted first?",", § rliv‚ bo§stvo, dot z no jako prvn¡?"
"Move selector left","Posunout vìbØr doleva"
" Y-Variance"," Y-variace"
"is very rarely moved by curiosity","jen velmi zý¡dka je pohnut zvØdavost¡"
"the Incommensurable","NesoudØln‚"
"Moving","Pohyb"
"Not satisfied for next check","NesplnØno do dalç¡ kontroly"
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Bars unlike grates do not have a quality and so do not enhance the value of rooms significantly.  Bars can be connected to levers.","Blokuje tvory, ale umo§åuje pr…chod kapalin a pýedmØt….  Lze postavit nad pr zdn‚ prostory, schodiçtØ, rampy nebo nad kapaliny.  Z brany na rozd¡l od mý¡§¡ nemaj¡ kvalitu, a proto vìraznØ nezvyçuj¡ hodnotu m¡stnost¡.  Z brany lze pýipojit k p k m."
" recently"," ned vno"
"a cottage","chalupØ"
"Manage work orders","Spravovat pracovn¡ pý¡kazy"
"State feelings of jubilation","Vyj dýit oslavu"
"Caged Prisoner","VØzeå v kleci"
"Ask listener to join you on adventures","Po§ dat posluchaŸe, aby se pýidal na dobrodru§stv¡"
"fermentable ","kvasiteln‚ "
"No available traction bench","Nen¡ dostupn  trakŸn¡ lavice"
"mead hall (255,128,255)","medov  s¡å (255,128,255)"
"coverage","pokryt¡"
"Comment on weather","Okomentovat poŸas¡"
"Sort units by name.","Seýadit jednotky podle jm‚na."
"I shared a personal insight with somebody.","Sd¡lel jsem osobn¡ postýeh s nØkìm."
"Noted protector of the weak","Zn mì ochr nce slabìch"
"horn.  "," roh.  "
"the construction and use of mechanical clocks","konstrukce a pou§¡v  mechanick‚ hodiny"
"verse paragraph","verçovì odstavec"
"teaching ","vyuŸov n¡ "
"the construction and use of the surveying staff","stavba a pou§it¡ mØýick‚ latØ"
"Please be patient.  I'll have your order ready in a moment.","Pros¡m o trpØlivost. Tv  objedn vka bude za chv¡li pýipravena."
"polite","spoleŸn¡k"
"Values family","Hodnoty rodina"
"I had a nightmare about my deceased spouse.","MØl jsem noŸn¡ m…ru o sv‚m zesnul‚m partnerovi."
" entitled "," nazvan‚ "
" modestly"," skromnØ"
"the great","velikì"
"astonished","ohromenì"
"What a strange place!","Jak‚ podivn‚ m¡sto!"
"Considers brigand","Pova§uje za banditu"
"State feelings of rejection","Vyj dýit odm¡tnut¡"
"Pump Operator","Obsluha pumpy"
"known intruder","zn mì naruçitel"
"Releasing hold on item","Pouçt¡ pýedmØt"
"Respected for preserving the knowledge","Respektovanì za uchov v n¡ vØdØn¡"
" mind"," n zoru"
"[DESCRIPTION:The ","[DESCRIPTION: "
"finds the very idea of competition obscene","pova§uje samotnou myçlenku soutØ§en¡ za obsc‚nn¡"
"isn't given to flights of fancy","nem  sklony k fantaz¡rov n¡"
" is also located here"," se tak‚ nach z¡ zde"
"I love the raunchy lyrics of the accompaniment!","Miluji oplzlì text doprovodu!"
"Easier shot","Snazç¡ vìstýel"
"Do not be stopped by fear.","Nenech se zastavit strachem."
"legendary hero","legend rn¡ hrdina"
"Don't get on my bad side.","NechoÔ mi na çpatnou stranu."
"fantastic creatures no longer lived in great numbers.","fantastick  stvoýen¡ ji§ ne§ila ve velkìch poŸtech."
"I will not despair.","Neupadnu do zoufalstv¡."
" feeling sluggish!"," c¡t¡ se zpomalenØ!"
"I feel such tenderness.","C¡t¡m tolik nØhy."
" Drinks"," Pije"
"after arriving at the location","po pý¡chodu na m¡sto"
"Reveal what you have been scheming or suffer the consequences.","Odhal, co jsi chystal(a), nebo poneseç n sledky."
"Gelding","Kastrace"
"Loading parameters...","NaŸ¡t n¡ parametr…..."
"has a stout muscular body","m  podsadit‚, svalnat‚ tØlo"
"Noted murderer","Zn mì vrah"
"Rude        <->        Polite","Hrubì   <->   Zdvoýilì"
"Anyone requested at depot","Kdokoli m…§e bìt na tr§içti"
"Verifying squad orders","OvØýov n¡ rozkaz… jednotek"
"Free","Svobodnì"
"cylindrical bore","v lcov‚ho vrt n¡"
"Truly mortified!","Opravdu zdrcen!"
"Handle ","Manipulovat s "
" becomes exasperated"," se rozhoýŸ¡"
"State feelings of great fondness","Vyj dýit pocity velk‚ n klonnosti"
" came try to boss us around, but you'll teach that coward a lesson."," pýiçel/pýiçla porouŸet, ale ty tomu zbabØlci d ç lekci."
"I need some more excitement in my life.","Potýebuju v §ivotØ v¡c vzruçen¡."
"gentle","jemnì"
"finds friendship burdensome","pova§uje pý telstv¡ za pý¡tØ§"
"There is a folder with this name already.","Slo§ka s t¡mto n zvem ji§ existuje."
"Loading artifacts...","NaŸ¡t n¡ artefakt…..."
"Overall, the choreography is masterful","CelkovØ je choreografie mistrovsk "
"the Competitor","SoutØ§¡c¡"
"sucks the wind out of","vys v  dech z"
"is muscular and very tall"," je svalnatì a velmi vysokì"
"the Sundial","SluneŸn¡ hodiny"
"Is it raining?","Prç¡?"
"Alternatively, you can remove the requirement of a controllable civilization from the parameters, which will restrict you to adventurers (assuming an appropriate civilization is placed).","AlternativnØ m…§eç odstranit po§adavek na ovladatelnou civilizaci, co§ tØ omez¡ na dobrodruhy (pokud je um¡stØna vhodn  civilizace)."
"Values peace","Cen¡ si m¡ru"
"You break the hatch in!","Rozbijete poklop!"
"holy ","svatì "
"You are depressed.","Jsi v depresi."
