"more presumptious","mais presunáoso"
"Notation","Notaá∆o"
" recognized "," reconheceu "
" crafts"," criaá‰es "
"the use of a distance scale in the creation of maps","o uso da escala de distÉncia na criaá∆o dos mapas"
"are now quite knowledgeable ","Agora estao muito bem informados "
"Make sure your parameters and presets offer enough low-to-mid savagery, evil/good appropriate, biome appropriate squares to establish sites.  ","Certifique-se de que seus parÉmetros e predefiniá‰es oferecem bastante selvageria de baixa a mÇdia, mal/bem apropriado, bioma apropriado praáas para estabelecer locais.  "
"State minor feeling of enthusiasm","Expressar leve sensaá∆o de entusiasmo "
"Tenderness","Ternura "
" part, the "," parte, o "
"exceptional ","Excepcional "
"rewards","recompensas"
"Desired metal cages and chains in dungeons: ","Jaulas e correntes de metal desejadas em masmorras: "
"a dance form","uma forma de danáa"
"State feelings of disappointment","Sentimentos de decepáao do estado"
"A great piece of art is one that moves me.","Uma grande obra de arte Ç um que me comove."
"on ","em "
"boiled","Cozido"
"Toggle whether the soldiers will store their individually assigned weapons and armor here.","Alterna se os soldados depositar∆o suas armas e armaduras individualmente atribu°das aqui."
"Minimum Mountain Peak Number","N£mero m°nimo de pico de montanha"
"performers","artistas "
"no sense for spatial relationships","N∆o faz sentido para relaá‰es espaciais"
"Ice Downward Track (EW)","Pista de gelo para baixo (EW)"
"The impertinent vegetation has defaced a ","A vegetaá∆o impertinente arruinouo um "
"Ambush","Emboscada"
"is very small yet with huge slabs of lard and muscle","Ç muito pequeno mas com grandes lajes de banha e m£sculo"
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. ","Se essa Ç a sua primeira vez jogando, por favor tenha cautela com os avisos de embarque sobre aqu°feros, †gua salgada e outros perigos. "
" harms the creature."," prejudica a criatura."
"Administrators handle various aspects of your fortress and can be reassigned. Many administrators also require rooms.","Os administradores lidam com v†rios aspectos de sua fortaleza e podem ser realocados. Muitos administradores tambÇm precisam de quartos."
"A lowly group of outcasts have perpetrated enough crimes against our community to gain notice.","Um humilde grupo de p†rias perpetraram suficiente crimes contra nossa comunidade para obter o aviso."
"Not enough medium altitudes","N∆o o suficiente altitudes mÇdias"
"a flying race","uma raáa voadora"
"guildhall petition ignored","Petiá∆o da guilda ignorada"
" with threats of violence"," ameaáas de violància"
"Fail the struggle against great alarm","Falhar a luta contra o grande alarme"
" rarely talks"," raramente fala"
"Deep underground, the promise of treasure and the thrill of overcoming danger have lured you back to this place.  Will you strike the earth again?","Nas profundezas do subsolo, a promessa do tesouro e a emoá∆o de superar o perigo o atra°ram de volta a este lugar. Vocà vai atacar a terra novamente?"
"Overall, the poetry is passable","No geral, a poesia Ç aceit†vel"
" curved walk"," anda curvado"
"lemur","Làmure"
"Citizen overwhelmed by stress","Cidad∆o sobrecarregado por estresse"
"No hands to pick up","M∆os ocupadas para pegar"
"the Spherical Astrolabe","o astrol†bio esfÇrico"
"is incredibly long and muscular","Ç incrivelmente longo e musculoso"
"Clean Building Site","Local de Construá∆o Limpo"
"legendary information source","fonte de informaá∆o lend†ria"
"Former mercenary","Ex-mercen†rio"
"Stonecutting","Corte de pedra"
"delta formation","formaá∆o delta"
"well-crafted","bem-feito"
"a cottage plot","um lote de casa de campo"
"outraged","Indignado"
"I talked to my sibling.","Falei com meu irm∆o."
"It's irritating.","Como irritante!"
"Make a flattering remark","Fazer um elogio "
"reunited with hf","reunido com hf"
"the Dark Fortress","a Fortaleza escuro"
"Profession change","Mudanáa de profiss∆o"
"Dig channel","escavar canal"
"Arena: Weather","Arena: Clima"
"a deity","uma divindade"
"Express outrage over dismissal","Expressa indignaáao pela demissao"
"I heard that there was an incident.","Ouvi dizer que houve um incidente."
"Cavern Layer Openness Max","Cavern camada abertura Max"
"loaded","carregado"
"the things some people think just boggle the mind.","o que algumas pessoas pensam me deixam espantam."
"obese","obeso(a)"
"the settings menu.","menu de configuraá‰es. "
"Slayer","Matador"
"independently discovered","descoberto independentemente"
"You are amazing.","Vocà Ç incr°vel."
" to hunt"," caáar"
"the Sun and Moon","o sol e a lua"
"medicine:theory:nervous system function","medicina:teoria:funá∆o do sistema nervoso"
"began dreaming of becoming a legendary warrior","comeáou a sonhar em se tornar um guerreiro lend†rio"
"State feelings of great jolliness","Sentimentos de grande jolliness do estado"
"Gladly.  You are now one of my ","Com prazer.  Vocà agora Ç um dos meus "
"[C:3:0:1]Completely numb","[C:3:0:1]Completamente dormente"
"stopped being the pet of","deixou de ser o animal de estimaá∆o de"
"is very muscular if incredibly short","Ç muito musculoso se incrivelmente curto"
"environment","ambiente"
"the Light of Day","a luz do dia"
"Pet owner","Dono de pet"
"[C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.","[C:6:0:1]Gemas[C:7:0:0] podem ser [C:3:0:1]Cortadas[C:7:0:0] na [C:6:0:0]Oficina de Joalheria[C:7:0:0].  [C:3:0:1]Incruste[C:7:0:0] elas em [C:6:0:1]Criaá‰es[C:7:0:0] e outros itens para agregar ainda mais valor."
"You can recognize a priesthood once this is a temple.","Vocà pode reconhecer um sacerd¢cio assim que isso for um templo."
"I'm thirsty.","Estou com tanta sede!"
"Farm plots","Lote de fazenda"
"history:sourcing:basic archaeology","hist¢ria:abastecimento:arqueologia b†sica"
"mysterious palace","pal†cio misterioso"
"I feel such lust.","Sinto-me tao lux£ria."
"witnessed death in incident","testemunhou morte em incidente"
"Don't update any","N∆o atualizar nada"
"Glacier region count fails by ","Contagem de regiao glacial falha por "
"Friend of ","um amigo. "
"wall","Parede"
"feeling gaiety","sentindo-se contente"
" Track (EW)"," Trilho (EW)"
"Dig canceled (wet)","Escavaá∆o cancelada (molhado)"
"Allow Mythical Healing","Permitir Cura M°tica "
"This place could really use some more trouble.","Este lugar poderia realmente ter mais algumas confus‰es."
"Magma Flow","Fluxo de magma"
"Abilities","Habilidades "
"Never","Nunca"
"less trusting","menos confiante"
"tends to make a small mess with ","tende a fazer uma pequena bagunáa com "
"Set the conditions for work order activation.  This can involve needed materials, the current stock of products, or the completion of other work orders.","Define as condiá‰es para a ativaá∆o da ordem de serviáo. Pode envolver materiais necess†rios, o estoque atual de produtos, ou a conclus∆o de outras ordens de serviáo."
"State feelings of great sympathy","Sentimentos de grande simpatia do estado"
"is very fast","Ç muito r†pido"
" after the horrible mismanagement of "," ap¢s a terr°vel m† gest∆o de "
"drops","larga"
" drone pipes"," tubos de drone"
"Set this entry to recenter on the current view.","Definir esta entrada para centralizar na visualizaá∆o atual."
"This does not move me.","Isto n∆o me mover."
"Job overwritten","Tarefa sobrescrita"
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","Defina quantos barris, caixotes e carrinhos de m∆o este estoque pode usar."
"With what do you want to interact?","Com o que vocà quer interagir? "
"shared","Compartilhado"
"interpersonal ethics","Çtica interpessoal"
"the reasons why the wheel-and-axle construction is effective","as raz‰es pelas quais a construá∆o de roda e eixo Ç eficaz"
"confusion","confusao"
"  I require it as a symbol of the "," Eu exijo isso como um s°mbolo de "
" work as "," trabalha como "
"Never lose yourself in loyalty.  You know what is best for yourself.","Nunca se perca em lealdade. Vocà sabe o que Ç melhor para vocà."
"There is no written content here.","N∆o h† conte£do escrito aqui."
"the forces","as foráas"
" centered around the worship of "," centrado em torno da adoraá∆o de "
"Stone Hauling","Pedra de alagem"
"talking with a friend","conversando com um amigo"
"I was reunited with ","Eu voltei com "
"Caravans","Caravanas"
"Select how squads will use this space.","Selecione como esquadr‰es ir∆o usar este espaáo."
"a great hero","um grande her¢i"
"proud","Orgulhoso"
"rumored preserver of knowledge","suposto preservador do conhecimento"
"Holds elected office","Ocupa cargo eleito"
"Loading divination sets...","Carregando conjuntos de adivinhaá∆o..."
"focus","foco "
"The form guides musicians during improvised performances.  ","A forma orienta os m£sicos durante as apresentaá‰es improvisadas. "
"express","expressar "
"A few facts","Alguns fatos"
"Pick up how many? (0-","Pegar quantos? (0-"
"the Pet","meu animal de estimaá∆o"
"Too insane","Muito insano"
"The destruction of","A destruiáao de "
"the crankshaft","o virabrequim"
"I have no idea.","N∆o sei."
"You have located ","Vocà localizou "
"jolly","Me sinto tao alegre."
"No charge attack: you are on a vehicle","Sem investida: vocà est† em um ve°culo"
"not one day ago","N∆o h† um dia atr†s"
"chemistry:laboratory:glass flask","qu°mica:laborat¢rio:frasco de vidro"
"fat","gordo "
"Simple","Simples"
"Gem mining blueprint","Projeto de mineraá∆o de gemas"
"pentatonic","pentatìnico"
", but those acts bring no forgiveness.",", mas esses atos n∆o trazem nenhum perdao."
"This is a stack of","Isso Ç uma pilha de"
"good creativity","boa criatividade"
"is greatly pleased by ","fica extremamente satisfeito por "
"Stocks","Dep¢sitos"
"Stairs","Escadas"
"You maintain possession of the ","Vocà manter a posse do "
"unhappy","Depress∆o"
"silk","seda"
"Good spatial sense","Bom senso de espaáo"
" but"," mas,"
"A story recital","Uma hist¢ria recitada"
"No weapon for execution","Nenhuma arma para execuá∆o"
"Ask listener to join you as entertainer","Pedir ao ouvinte para se juntar a vocà como artista "
"Nocked","Flecha encaixada"
"Nostalgic","Nost†lgico "
"to praise","dar elogios"
"Tell Story","Contar Hist¢ria"
"The humiliation!","A humilhaá∆o!"
"surprised by the ferocity of ","surpreendido pela ferocidade dos "
"Types of Diseases","Tipos de Doenáas"
" in the year "," no ano "
"Completing the Square","Completando o quadrado"
"MEDIUM REGION","REGI«O MêDIA"
"There was an incident.","Houve um incidente."
"play staccato","tocar staccato"
"Not useful unless you retire and subsequently become a resident in Fortress mode.","In£til a menos que vocà se aposente e se torne um residente no modo Fortaleza. "
"food","comida"
"in order to drink","para beber"
"Full reversion","Revers∆o completa"
"[C:3:0:1]You are a ","[C:3:0:1]Vocà Ç um "
"Magma Layer","Camada de magma"
"There must be something else to discuss.","Deve ter algo a mais a ser discutido."
"glacier","geleira"
"Name your settlement","Nomear seu assentamento"
" my prisoner."," meu prisioneiro."
"Cages/restraints","Jaulas/contená‰es"
"more of a thrill-seeker","mais do que uma busca de emoá‰es"
"counterclockwise ","sentido anti-hor†rio "
"has a deeply recessed, narrow","tem um estreito profundamente recessed,"
"the siphon","o sifao"
"The sun is high in the ","O sol est† alto no "
"Seasons and the Moon","Estaá‰es e a Lua"
"history","hist¢ria"
"Saving general information...","Salvando informaá‰es gerais..."
"Popup: Nobles","An£ncio: Nobres"
"is very muscular with a large body","Ç muito musculoso, com um corpo grande"
"is quite humorous","Ç muito bem humorado"
"If you'd like to focus a few of your citizens on farming, which gives skill benefits, you can assign them to the [C:2:0:0]Planters[C:7:0:0] work detail from the [C:5:0:1]Labor[C:7:0:0] menu. ","Se vocà quiser direcionar alguns de seus cidad∆os para o cultivo, o qual gera benef°cios de habilidade, vocà pode aloc†-los aos detalhes de trabalho de [C:2:0:0]Agricultores[C:7:0:0] no menu de [C:5:0:1]Trabalho[C:7:0:0]. "
"the construction and use of the dioptra","a construá∆o e uso da dioptra"
"stick","vareta"
" presence"," presenáa"
"You are prone.  Click to stand.","Vocà est† propenso. Clique para ficar de pÇ."
"It might be very difficult to survive here.","Seria muito dif°cil sobreviver aqui."
"small ","pequeno "
"No, I mean it.","N∆o, eu falo sÇrio."
"a legendary murderer","um assassino lend†rio"
"Record Keeping","Manutená∆o de Registos"
"being removed from a military group","sendo removido de um grupo militar"
"I love the ribald lyrics of the accompaniment.","Eu amo as letras obscenas do acompanhamento.."
"the detection of the forces of ","a detecá∆o das foráas de "
"You must drive ","Vocà deve dirigir "
"has a broad","tem um amplo"
" skills"," habilidades"
"It's time to build a [C:6:0:0]Stockpile[C:7:0:0] underground to unload them.  [C:6:0:0]Stockpiles[C:7:0:0] are crucial to moving ","ê hora de construir um [C:6:0:0]Estoque[C:7:0:0] abaixo da terra para descarrega-los.  [C:6:0:0]Estoques[C:7:0:0] s∆o cruciais para mover "
"the dining hall","o refeit¢rio"
"are free-lobed","s∆o l¢bulos gr†tis"
"died in the dark.","morreu no escuro."
"What are a few pesky demons after all?","Afinal, o que s∆o alguns demìnios incìmodos?"
"more proud","mais orgulhoso"
"Friendly terms","Termos amig†veis"
"Chairs: ","Cadeiras: "
"State that you don't care","Estado que vocà nao se importa"
"Other objects","Outros objetos"
"begins","comeáa"
"flatterer","adulador"
"Make cheese","fazer queijo"
"created","criado"
"is somewhat weak and very short","Ç um pouco fraco e muito curto"
"the bribery of","o suborno de"
"Fortifications block creature movement but allow projectiles through.  Soldiers near fortifications are reasonably safe from incoming projectiles.  Requires boulder, block, or wood.","Fortificaá‰es bloqueiam o movimento das criaturas, mas permitem que os projÇteis atravessem. Soldados pr¢ximos a fortificaá‰es estar∆o razoavelmente protegidos contra projÇteis. Requer pedregulho, bloco ou madeira."
"I slept on a rough cave floor.","Eu dormi no chao caverna †spero."
"Could not copy file ","N∆o foi poss°vel copiar o arquivo "
"Track stop","Parada"
"seventeen","dezessete"
"Finished Goods","Bens Finalizados"
"Demons from the underworld must not be permitted to walk freely upon the land.","Demìnios do submundo n∆o devem ter permiss∆o para andar livremente sobre a terra."
"Cataracts","Catarata"
"I'm feeling really worn down.","Estou me sentindo muito desgastado."
"Seek Vermin Catch Location","Procurar pelo Local de Coletar Vermes"
"You continue the sermon.","Vocà continua o serm∆o."
"made a blackmail threat, due to embezzlement","fez ameaáa de chantagem, devido a peculato"
"more emotionally obsessive","mais emocionalmente obsessivo"
"is slow to anger","Ç dif°cil se irritar"
"Unnamed water source","Fonte de †gua sem nome"
"Values craftwork","Valoriza artesanato"
"The [C:6:0:0]Carpenter's Workshop[C:7:0:0] is the best place to make lightweight [C:6:0:1]Bins[C:7:0:0] and [C:6:0:1]Barrels[C:7:0:0], but they can also be made at ","A [C:6:0:0]Oficina de Carpintaria[C:7:0:0] Ç o melhor lugar para fazer [C:6:0:1]Caixotes[C:7:0:0] e [C:6:0:1]Barris[C:7:0:0] leves, mas eles tambÇm podem ser feitos na "
"How blissful I am.","Feliz como eu sou."
"Centralize","Centralizar"
"a very good sense of the position of ","um bom senso da posiá∆o do "
"It has always been my dream to start a family.","Sempre foi meu sonho para comeáar uma fam°lia."
"collected ","arrecadados "
"Be mindful of others around you.","Esteja atento aos outros ao seu redor. "
"in order to study","a fim de estudar"
"The dancers imitate the movement of the ","Os danáarinos imitam o movimento do "
"pacify","pacificar "
"get it is from a [C:6:0:0]Well[C:7:0:0]. ","pegar Ç por um [C:6:0:0]Poáo[C:7:0:0]. "
"One-time order","Ordem £nica"
"Unfortunately, no new pertinent information was revealed.","Infelizmente, nenhuma nova informaá∆o pertinente foi revelada. "
"is repelled by the idea of honesty and lies without compunction","Ç repelido pela ideia de honestidade e mente sem remorso"
" associating armor out of range: "," associando armadura fora de alcance: "
"beaver","castor europeu"
"Cage Trap","Gaiola"
"Finalizing...","Finalizando..."
"Ask listener to come to your store later","Pedir o ouvinte para vir a sua loja mais tarde"
"I had a nightmare about the dead.","Eu tive um pesadelo sobre os mortos."
"is half the tempo of the last passage","Ç metade do tempo da £ltima passagem"
"the River Mouth","a boca do rio"
" is setting"," est† se pondo "
"State minor feeling of disgust","Menor sentimento de nojo do estado"
"[C:5:0:0]Militia Commanders[C:7:0:0] are assigned here. ","[C:5:0:0]Comandantes da Mil°cia[C:7:0:0] s∆o atribu°dos aqui. "
"the construction and use of the glass lens","a construá∆o e uso da lente de vidro"
" at this location"," neste local"
"CONTINUE until you give me another warning.","CONTINUE atÇ me dar outro aviso."
", inveighing against ",", investindo contra "
"Nothing","nada"
"the hammer","o martelo"
" could nearly pass for the voice of the "," quase poderia passar pela voz de "
"What would you like to name this timeline?","Como vocà gostaria de nomear esta linha do tempo?"
"the looting of ","o saque de "
"Villains!  The seizure of ","Vil‰es! A pris∆o de "
"in agony","em agonia"
"When possible","Quando poss°vel "
", and you have never strayed far from home.",", e vocà nunca esteve longe de casa. "
"personal punishment reduced","puniá∆o pessoal reduzida"
"The gloom blankets me...","A tristeza me envolve..."
"Once a beautiful tree, and now?  It is a rude bauble, fit only for your kind.","J† foi uma linda †rvore, e agora? ê uma bugiganga rude, adequada apenas para sua espÇcie."
"Number of Night Troll Types","N£mero de tipos de Troll de noite"
"Woven Clothing","Loja de roupas tecidas"
"the Burrow","Abrigo"
"Keyboard Instrument","Instrumento de teclado"
"is tall and fat","Ç alto e gordo"
"is confident under pressure","Ç confiante sob press∆o"
"The Wise","O s†bio"
"Fishery Worker","Trabalhador da Pesca"
"Curse this fog!  I cannot see a thing.","Maldito nevoeiro!  Eu n∆o posso ver uma coisa."
"Cling not to material things.","N∆o se apegue Ös coisas materiais. "
"Overbearing","Arrogante"
"In existential crisis","Em crise existencial"
"start loud then be immediately soft","comece alto e depois seja imediatamente suave"
"Minimum Number of Low-Rain Squares","N£mero m°nimo de quadrados de baixo-chuva"
"a legendary poet","um poeta lend†rio"
"filthy ","sujo "
"Change the number of times the task will be performed.","Muda o n£mero de vezes que a tarefa ser† executada."
"Historical figures","Figuras hist¢ricas "
"Move keyboard cursor down, fast","Mova o cursor do teclado para baixo, r†pido"
"Nature can be enjoyed and used for myriad purposes, but there must always be respect and even fear of its power.","A Natureza pode ser apreciada e usada para variados prop¢sitos, mas deve sempre haver respeito e atÇ medo de seu poder."
"made flattering remarks","fez coment†rios lisonjeiros"
"The musician directs air through chosen pipes by playing a ","O m£sico dirige o ar atravÇs de tubos escolhidos tocando um "
"water-filled spheres","esferas cheias de †gua"
"Legs","Pernas"
" guild, has been established."," guilda, foi estabelecida."
"Only one pitch is ever played at a time in this passage.  ","Apenas um tom Ç tocada por vez nesta passagem. "
"chord lengths","comprimentos de corda"
" was found"," foi encontrado"
"Elevation negative on graphical map export (midmap)","Elevaá∆o negativa na exportaá∆o do mapa gr†fico (midmap)"
"is somewhat scatterbrained","Ç um pouco desmiolada"
"Do not automate tannery","N∆o automatizar o curtume"
"Disdains stoicism","Desdenha de estoicismo"
"in order to make a living as a warrior","a fim de ganhar a vida como um guerreiro"
"generic","genÇrico"
"a method of classify the hardness of materials by scratching them against each other","o mÇtodo de classificaá∆o de rigidez dos materiais por meio de esfreg†-los uns contra os outros"
"Minimum Number of High-Drainage Squares","N£mero m°nimo de quadrados de alta-drenagem"
" is the head of the family."," Ç o chefe da fam°lia."
"sanctuary.","santu†rio."
"trichord","tricorde"
" / Born "," Nascido "
"due to insufficient work","devido a trabalho insuficiente"
" of the skins of"," de peles de"
"the process involved in creating maps","o processo envolvido na criaá∆o de mapas"
"Gem Setting","Configuraá∆o de Gemas"
"Friend","Amigo"
"I'm so gleeful.","Eu estou tao alegre."
"Sparring Site","Local de treino"
"Fall over","Queda"
"the anatomical study of creatures","o estudo anatìmico das criaturas"
"You can optionally choose to designate a [C:3:0:0]Fishing[C:7:0:0] zone if you don't want your workers going far afield.","Vocà pode optar por designar uma †rea de [C:3:0:0]Pesca[C:7:0:0] se vocà n∆o quiser seus trabalhadores indo muito longe."
"cooling magma","resfriamento do magma"
"I do not know!  My instructions come from ","Eu n∆o sei! Minhas instruá‰es vieram de "
"The upward face is ","A face ascendente Ç "
"Approximation","Aproximaá∆o"
"sees lying as an important means to an end","và a mentira como um meio importante para um fim"
"[C:6:0:1]Ability to fly somewhat impaired","[C:6:0:1]Capacidade de voar um pouco prejudicada"
"Yarn","L∆"
"Really delete this routine?","Realmente excluir esta rotina?"
"the Clash","The Clash"
"State feelings of suspicion","Sentimentos de desconfianáa do estado"
"I've been feeling anxious.","Sinto-me ansioso."
"Debauchery","Deboche"
"Somebody grows up","AlguÇm cresceu"
" catapult parts"," partes de catapulta"
"Nomadic group","Grupo nìmade"
", but that bond seems so thin now.",", mas esse v°nculo agora parece estar tao magro."
"Need office","Necessidade de escrit¢rio"
"Waterfall","Queda de †gua"
"philosophy:specialized:language dictionary","filosofia:especializaá∆o:dicion†rio de idiomas"
" aided "," assistido por "
"Corpses","Cad†veres"
"Blocks: metal","Blocos: metal"
"Advancing unit moves","Atualizando movimentos das unidades"
"Vermin bite","Mordida de verme"
"Seek Vermin for Catching","Persegue Verme para Captura"
"Thresher","Debulhador(a)"
" again"," novamente"
"was the very first to discover","foi o primeiro a descobrir"
"I was unable to reach a room during tax collection.","Eu era incapaz de chegar a uma sala durante a coleta de impostos."
" backpacks"," Mochilas"
"What will you say about the abduction?","O que dir† sobre o rapto?"
"resident","habitante "
"bosses","chefes"
"This is very frustrating.","Isso Ç muito frustrante."
"a precise description of buoyancy and water displacement","uma descriá∆o precisa de flutuabilidade e deslocamento de †gua"
"chief ","Chefe "
"to create a great work of art","para criar uma obra de arte."
"You have been ordered to clear the forces from this site.","Vocà recebeu ordens para limpar as foráas deste local."
" founded "," fundada "
"Later you may try the [C:5:0:1]Burrows[C:7:0:0] menu to create a safe place for your civilians to hide when real trouble comes.","Mais tarde vocà pode experimentar o menu [C:5:0:1]Abrigos[C:7:0:0] para criar um lugar seguro para seus civis se esconderem quando o verdadeiro problema aparecer."
"I didn't have a dining room.","Eu n∆o tinha uma sala de jantar."
"be made with a light touch","ser feito com um leve toque"
"welcome","boas-vindas"
" coffin"," caix∆o"
"Migrants were too wary to make the journey this season.","Os migrantes estavam muito cautelosos para fazer a viagem nesta temporada."
"raw crystal glass","cristal"
"Promote ","Promover "
"helm","elmo"
"My child shared a personal insight with me.","Meu filho compartilhou uma percepá∆o pessoal comigo."
"You haven't been able to act for a while.","Vocà n∆o conseguiu agir por um tempo. "
"climatic adaptation","adaptaá∆o clim†tica"
"has a nervous smile","tem um sorriso nervoso"
"chamberlains","camareiras"
"the astrolabe","o astrol†bio"
"been found dead, badly burned.","foi encontrado morto, gravemente queimado."
"Bars and","Barras e"
" is the only other settlement to utilize the market here."," Ç o £nico outro assentamento para utilizar o mercado aqui."
" regains"," Recupera a"
"I have no doubts.","N∆o tenho d£vida."
"the social behavior of creatures","o comportamento social das criaturas"
"Unchain","Desacorrentar"
"Fine Quarters","Quartos bem"
"Acknowledge lack of contempt","Reconhecer a falta de desprezo"
" outmatched "," superado "
"Floor Grate","Grade de Chao"
"always snaps ","sempre snaps "
"dehydrated","desidratado"
"Mention services to listener","Mencione serviáos ao ouvinte "
"Do I look like I need to calm down?!","Vocà acha que eu preciso me acalmar?!"
"opinion","opiniao"
"gets easily distracted during conversations when ","ObtÇm-se facilmente distra°dos durante conversas quando "
"outburst","explosao"
"I'm aroused!","Estou excitado!"
"Area became inappropriate","µrea tornou-se inadequado"
"Weak","Fraco"
"I was not able to make suggestions about work allocations.","Eu n∆o era capaz de fazer sugestoes sobre alocaá‰es de trabalho."
"Blank slate","Em branco "
"It's time to get to work!  Let's start by digging a stairwell into the ground.  ","ê hora de comeáar a trabalhar! Vamos comeáar cavando uma escadaria no ch∆o. "
", and wealth and pleasures beyond measure!","e riqueza e prazeres alÇm da medida!"
"the Raid","a Incurs∆o"
"smeared out into a spiral","Espalhada em uma espiral "
"Neighbors","vizinhos"
"Causes","Causas"
"leather... skin","pele de couro..."
"a fantastic","Fant†stico!"
"geography:cartography:grid system","geografia:cartografia:sistema de grade"
"this tomb","este t£mulo"
"Traveling alone in the wilds?!  You know better than that.","Viajando sozinho na selva?!  Vocà sabe que n∆o deveria."
"geography:cartography:economic","geografia:cartografia:econìmica"
" apart"," separado"
"You shouldn't waste your life on revenge.","Vocà n∆o deve perder sua vida por vinganáa."
"prophecy","profecia"
"Abandon the fortress to ruin","Abandonar a fortaleza Ö ru°na"
"Cut gem","Gema lapidada"
"is brave in the face of imminent danger","Ç corajoso diante de perigo iminente"
"Smoothing blueprint","Planta do alisamento"
"okay","aceit†vel "
"aqua regia","†gua rÇgia"
"philosophy:ethics:state consequentialism","filosofia:Çtica:estado de consequencialismo"
"Thread (plant)","Fio (vegetal)"
"the Screw","o parafuso"
"I'm very aggravated.","Eu sou muito agravada."
" hurls"," lanáa"
" with every fiber of my being"," com cada fibra de meu ser"
"Place All stockpile","Coloque um estoque de Tudo"
"degrees of the semitone octave scale","graus da oitava escala do meio-tom"
"I am searching for ","Estou procurando por "
"This isn't a defeat.","Isso n∆o Ç uma derrota."
"Followers will join according to your heroic reputation, relevant skill, destiny type, and total follower amount.  The total follower amount is ","Seguidores se juntar∆o a vocà de acordo com sua reputaá∆o her¢ica, habilidade relevante, tipo de destino e n£mero total de seguidores. O n£mero total Ç "
"soft","macio"
" was the victor."," foi o vencedor."
"Cut rough gems here to increase their value, and improve the value of other objects by encrusting them with cut gems.","Corte gemas brutas aqui para aumentar seu valor e melhore o valor de outros objetos incrustando-os com gemas lapidadas."
"taps ","torneiras "
"papermaker","fabricante de papel"
" a pleasure to speak with"," Ç uma pessoa agrad†vel de se conversar. "
"is implacably curious, without any respect for propriety or privacy","Ç implacavelmente curioso, sem qualquer respeito por propriedade ou privacidade"
"Arena profile","Perfil da Arena"
"sees freedom and independence as completely worthless","và a liberdade e independància como completamente in£teis"
"Acquiescing <-> Resists ideas","Concorda com tudo <-> Resiste a ideias"
"manual","Sistema de"
"caught in miasma","pego no miasma"
"The Arena","A Arena"
"muddy","lamacento"
"Drinking Mound","Monte a beber"
"vanish","vaidade"
"holy relic","rel°quia sagrada"
"Automate kitchen","Automatizar cozinha"
"There are not enough dancers.","N∆o h† danáarinos suficientes."
"You will know suffering soon.","Vocà conhecer† o sofrimento em breve. "
"You must have at least as many of these highest elevation points as you are requiring peaks.  ","Vocà deve ter pelo menos como muitos desses pontos de elevaá∆o mais alta... como vocà est† exigindo picos. "
"Not enough low-lying cave locations","N∆o bastante baixas caverna locais"
" body when "," Quando o corpo "
"inheritance","heranáa"
"High priest: ","Sumo sacerdote: "
"a mandate deadline met","prazo de mandato cumprido"
"likes to present ","gosta de apresentar "
"Such sweet bliss!","Tao doce felicidade!"
"play rapid runs","jogar corridas r†pidas"
"Farm plot","Canteiro de terra"
"goblet","c†lice"
"I hear that there is an insurrection against ","Ouvi dizer que h† uma insurreiá∆o contra "
"study","Estudo "
"  Let some days pass."," Deixe alguns dias passarem. "
"Inappropriate building","PrÇdio inadequado"
"trusting","confiando"
"Ice Upward Track (NSW)","Pista de gelo para cima (NSW)"
"I'm hungry.","Estou com fome"
"Finished","Completo"
"Underworld","Submundo"
"legendary brigand","um bandido lend†rio"
"Friends are nice, but you should keep your priorities straight.","Amigos s∆o bons, mas vocà deve manter suas prioridades."
"Stop Pumping Manually","Parar Bombeamento Manualmente"
"less love-prone","menos propenso ao amor"
"Saving world events...","Salvando os eventos do mundo..."
" fracturing"," quebrando"
"Workers ignore food","Trabalhadores ignoram comida"
"A clever strategy will be required.","Ser† necess†ria uma estratÇgia inteligente. "
"believes deeply that chaos and disorder are the truest expressions of life and would disrupt harmony wherever it is found","acredita profundamente que o caos e a desordem s∆o as express‰es mais verdadeiras da vida e perturbaria a harmonia onde quer que ela se encontre"
"Where do you want to go?","Onde vocà deseja ir?"
" is okay."," est† bem."
"Entangled in hidden web","Encurralado na teia oculta"
"through spoken cues","atravÇs de sinais falados"
"Give a sermon concerning a deity or object of worship","Fazer um serm∆o sobre uma divindade ou objeto de adoraá∆o "
"Animals that are capable of being trained receive their training at this zone once they have been assigned a trainer from the Pets/Livestock menu.  Generally, a piece of meat is required.","Os animais que podem ser treinados recebem seu treinamento nesta zona, uma vez que tenham sido atribu°dos a um treinador no menu Animais de estimaá∆o/Gado. Geralmente, um pedaáo de carne Ç necess†rio."
"Former worker","Ex-trabalhador"
"stressed-unstressed","estressado-n∆o estressado"
"troubles","problemas"
"remains","restos"
"Systemic Bias","ViÇs sistàmico"
"height measurements","medidas de altura"
"There are no active work orders.","N∆o existem ordens de serviáo ativas."
" tenses up when "," tempos acima quando "
" sermon on "," serm∆o sobre "
