"its","それの"
"hamster","ハムスター"
"hamsters","ハムスター"
"puffy cheeks","ふわふわした頬"
"hamster man","ハムスター男"
"hamster men","ハムスター男"
"hamster woman","ハムスター女"
"hamster women","ハムスター女"
"A person with the head and fur of a hamster.","ハムスターの頭と毛皮を持つ人間だ. "
"giant hamster","巨大ハムスター"
"giant hamsters","巨大ハムスター"
"A large creature the shape of a hamster.","ハムスターのような姿をした巨大な怪物だ. "
"A small round mammal whose back is covered in spines.  It is nocturnal and feeds on insects.  It curls into a ball when startled and is found in temperate regions.","背中が棘で覆われている小さな丸い哺乳類. 夜行性で昆虫食. 驚いたときに丸まって身を守る. 温帯地域で見つかります. "
"hedgehog","ハリネズミ"
"hedgehogs","ハリネズミ"
"many spines","沢山のとげ"
"hedgehog man","ハリネズミ男"
"hedgehog men","ハリネズミ男"
"hedgehog woman","ハリネズミ女"
"hedgehog women","ハリネズミ女"
"A person with the head and spines of a hedgehog.","ハリネズミの頭と針を持つ人間だ. "
"giant hedgehog","巨大ハリネズミ"
"giant hedgehogs","巨大ハリネズミ"
"A large monster with the shape of a hedgehog.","ハリネズミのような姿をした巨大な怪物だ. "
"A tiny grey rodent that is only active at night.  It can sail between trees on wings stretching between its front and hind legs.","夜行性で灰色の小型齧歯動物. 前足と後ろ足の間に伸びる翼を使って木々の間を飛び回る. "
"flying squirrel","モモンガ"
"flying squirrels","モモンガ"
"gliding","滑空"
"flying squirrel man","モモンガ男"
"flying squirrel men","モモンガ男"
"flying squirrel woman","モモンガ女"
"flying squirrel women","モモンガ女"
"A person with the head and wings of a flying squirrel.","モモンガの頭を翼を持つ人間だ. "
"giant flying squirrel","巨大モモンガ"
"giant flying squirrels","巨大モモンガ"
"A large monster taking the shape of a flying squirrel.","モモンガのような姿をした巨大な怪物だ. "
"A small, intelligent vermin with a long naked tail.","長い尻尾を持った賢い害獣だ. "
"rat","ネズミ"
"rats","ネズミ"
"friendliness","友情"
"rat man","ネズミ男"
"rat men","ネズミ男"
"rat woman","ネズミ女"
"rat women","ネズミ女"
"A person with the head and tail of a rat.","ネズミの頭と尾を持つ人間だ. "
"A small grey rodent found chirping in the trees of temperate woodlands.","温帯の森に棲む, 灰色の小さなげっ歯類だ. "
"gray squirrel","ハイイロリス"
"gray squirrels","ハイイロリス"
"tails","尾"
"gray squirrel man","ハイイロリス男"
"gray squirrel men","ハイイロリス男"
"gray squirrel woman","ハイイロリス女"
"gray squirrel women","ハイイロリス女"
"A person with the head and tail of a gray squirrel.","ハイイロリスの頭と尾を持つ人間だ. "
"giant gray squirrel","巨大ハイイロリス"
"giant gray squirrels","巨大ハイイロリス"
"giant gray squirrel pup","巨大ハイイロリスの子供"
"giant gray squirrel pups","巨大ハイイロリスの子供の"
"A large creature the shape of a gray squirrel.","ハイイロリスのような姿をした巨大な怪物だ. "
"red squirrel","アカリス"
"red squirrels","アカリス"
"red squirrel man","アカリス男"
"red squirrel men","アカリス男"
"red squirrel woman","アカリス女"
"red squirrel women","アカリス女"
"A person with the head and tail of a red squirrel.","アカリスの頭と尾を持つ人間だ. "
"giant red squirrel","巨大アカリス"
"giant red squirrels","巨大アカリス"
"giant red squirrel pup","巨大アカリスの子供"
"giant red squirrel pups","巨大アカリスの子供の"
"A large creature the shape of a red squirrel.","アカリスのような姿をした巨大な怪物だ. "
"A tiny striped rodent found scurrying through the bushes and trees of the temperate forest.","温帯の茂みや森に棲息する, 縞模様の小さなげっ歯類だ. "
"chipmunk","シマリス"
"chipmunks","シマリス"
"chipmunk man","シマリス男"
"chipmunk men","シマリス男"
"chipmunk woman","シマリス女"
"chipmunk women","シマリス女"
"A striped person with the head and tail of a chipmunk.","シマリスの頭と尾を持つ, 縞模様の人間だ. "
"giant chipmunk","巨大シマリス"
"giant chipmunks","巨大シマリス"
"giant chipmunk pup","巨大シマリスの子供"
"giant chipmunk pups","巨大シマリスの子供の"
"A large creature the shape of a chipmunk.","シマリスのような姿をした巨大な怪物だ. "
"mussel","ムール貝"
"mussels","ムール貝"
"A small marine creature that lives in a shell rooted to the sea floor.","海底に張り付く, 海生の二枚貝だ. "
"oyster","カキ"
"oysters","カキ"
"A medium-sized red fish that lives in the ocean and swims up a river to breed.","海から川を遡上して産卵する, 中型の赤い魚だ. "
"salmon","鮭"
"A tiny orange marine fish that lives inside the tentacles of a poisonous invertebrate.","イソギンチャクの中に棲む, オレンジ色の小さな海水魚だ. "
"clownfish","クマノミ"
"A small, spineless, eel-like fish that lives on the bottom of the ocean.  It can turn the water around its body into a cloud of slime to escape predators.","海底に生息する, とげのないウナギのような小さな魚. 体の周りの水をスライムの雲に変えて, 捕食者から逃れることができます. "
"hagfish","ヌタウナギ"
"slime","スライムの"
"ability to tie themselves in knots","自ら絡まる"
"A small, jawless, filter-feeding fish found in brooks and streams.","小川に棲む小さな無顎のろ過摂食魚. "
"brook lamprey","スナヤツメ"
"brook lampreys","スナヤツメ"
"A medium-sized, winged fish found in the muddy coasts of both temperate and tropical waters.","熱帯の汽水に棲む, 中型のエイの仲間だ. "
"bat ray","コウモリエイ"
"bat rays","コウモリエイ"
"shape","形"
"A small winged fish found in shallow seas.","浅い海に棲む, 小型のエイだ. "
"thornback ray","イボガンギエイ"
"thornback rays","イボガンギエイ"
"back spines","背中のとげ"
"A small, shark-like creature that lives in the ocean's muddy shallows.  Its skin sparkles and it has a venomous spine on its back.","浅い海に棲む, 小さなサメのような生き物. キラキラ輝く背中に, 毒のとげを持つ. "
"spotted ratfish","スポッテッドラットフィッシュ"
"A tiny marine fish found in vast schools.","巨大な群れを作る小さな海水魚. "
"herring","ニシン"
"herrings","ニシン"
"massive schools","巨大な群れ"
"A small marine fish that travels to rivers to breed.","産卵のために川を遡上する, 小さな海水魚. "
"shad","アロサ"
"shads","アロサ"
"A tiny blue-green oceanic fish, found only in temperate waters.","熱帯の海に棲息する, 青緑色の小魚だ. "
"anchovy","カタクチイワシ"
"anchovies","カタクチイワシ"
"distinct snout","明確な鼻"
"A medium-sized fish found in tributaries and oceans.","海や川に棲息する中型魚. "
"steelhead trout","ニジマス"
"An oceanic fish.","海水魚. "
"hake","メルルーサ"
"notched fins","V字のひれ"
"A tiny, curved and colorful fish found in coral reefs.","サンゴ礁に棲息する変わった形の魚だ. "
"seahorse","タツノオトシゴ"
"seahorses","タツノオトシゴ"
"unusual shape","変わった形"
"A small, nocturnal, marine fish.  It can be found hunting in coral reefs.","サンゴ礁に棲む夜行性の小魚. "
"glasseye","グラスアイ"
"white-spotted puffer","サザナミフグ"
"white-spotted puffers","サザナミフグ"
"ability to inflate","膨らむ"
"A small flat fish found on the muddy bottom of shallow seas.","浅い海に棲む, 平べったい小さな海底魚だ. "
"sole","シタビラメ"
"A small flat fish found in the muddy bottom of coastal run-offs and ponds.","近海の底に棲息する, 平べったい小型魚だ. "
"flounder","ヒラメ"
"flounders","ヒラメ"
"strange eyes","偏った眼"
"A medium-sized oceanic fish prized for its meat.","魚肉の価値が高い, 中型海水魚だ. "
"mackerel","サバ"
"An invertebrate found off the coast.  It has a sting which can be severe.","沖合に棲む無脊椎動物. 強い毒の刺胞を持つ. "
"sea nettle jellyfish","ヤナギクラゲ"
"A tiny sea vermin with eight arms and two tentacles.  It can spray ink to confuse predators.","八本の腕と二本の触手を持つ海生軟体動物. 墨を吐いて捕食者の眼をくらます. "
"squid","イカ"
"squids","イカ"
"ability to spray ink","墨を吐く"
"squid man","イカ男"
"squid men","イカ男"
"squid woman","イカ女"
"squid women","イカ女"
"A small person with a head bearing ten tentacles.","イカの頭と十本の触手を持つ人間だ. "
"gigantic squid","巨大イカ"
"gigantic squids","巨大イカ"
"A huge sea monster the shape of a squid.","イカのような姿をした海の巨大な怪物だ. "
"A small fish which can walk on the land and breathe air.  It burrows in the mud when things get dry.","陸を歩いて空気を吸うことができる小魚. 体が乾くと泥の中に潜り込みます. "
"lungfish","ハイギョ"
"gulping","噛みつき"
"A tiny orange-striped fish.  It lives in inland waters.","オレンジ色の縞模様の小型淡水魚. "
"clown loach","クラウンローチ"
"clown loaches","クラウンローチ"
"A small whiskered fish found in muddy inland waters.","沼に棲む小さなナマズ. "
"brown bullhead","ブラウンブルヘッド"
"brown bullheads","ブラウンブルヘッド"
"A small whiskered fish found scavenging in inland waters.","汚い沼に棲む小さなナマズ. "
"yellow bullhead","イエローブルヘッド"
"yellow bullheads","イエローブルヘッド"
"A small whiskered fish found in inland waters.","池に棲む小さなナマズ. "
"black bullhead","ブラックブルヘッド"
"black bullheads","ブラックブルヘッド"
"A small spotted fish found in tropical rivers and lakes.","熱帯の川や湖に棲む斑点のある小型魚. "
"banded knifefish","ナイフフィッシュ"
"rippling fin","波打つ背びれ"
"A medium-sized spotted fish found in temperate lakes and rivers.","熱帯の川や湖に棲む斑点のある中型魚. "
"char","バサ"
"A medium-sized spotted fish found in temperate rivers and lakes.","温帯の海や湖に棲む斑点のある中型魚. "
"rainbow trout","ニジマス"
"A tiny spotted fish found in coastal rivers and temperate lakes.","温帯の海や湖に棲む斑点のある小型魚. "
"sailfin molly","セルフィンモーリー"
"sailfin mollies","セルフィンモーリー"
"wide dorsal fins","幅広のひれ"
"guppy","グッピー"
"guppies","グッピー"
"A small striped fish found in fresh water.","きれいな水に棲む, 縞模様の小型魚. "
"perch","パーチ"
"A short, sturdy creature fond of drink and industry.","酒と労働が大好きな, 丈夫な小人だ. "
"dwarf","ドワーフ"
"dwarves","ドワーフ"
"dwarven","ドワーフの"
"dwarven baby","ドワーフの赤ちゃん"
"dwarven babies","ドワーフの赤ちゃん"
"dwarven child","ドワーフの子供"
"dwarven children","ドワーフの子供"
"craftsdwarf","ドワーフの石工"
"craftsdwarves","ドワーフの石工"
"fisherdwarf","ドワーフの漁師"
"fisherdwarves","ドワーフの漁師"
"hammerdwarf","ドワーフの槌士"
"hammerdwarves","ドワーフの槌士"
"speardwarf","ドワーフの槍士"
"speardwarves","ドワーフの槍士"
"axedwarf","ドワーフの斧士"
"axedwarves","ドワーフの斧士"
"swordsdwarf","ドワーフの剣士"
"swordsdwarves","ドワーフの剣士"
"macedwarf","ドワーフのメイス使い"
"macedwarves","ドワーフのメイス使い"
"pikedwarf","ドワーフのパイク使い"
"pikedwarves","ドワーフのパイク使い"
"bowdwarf","ドワーフの弓士"
"bowdwarves","ドワーフの弓士"
"Elite Bowdwarf","精鋭ドワーフの弓士"
"Elite Bowdwarves","精鋭ドワーフの弓士"
"finger","指"
"fingers","指"
"ear","耳"
"knuckles","拳"
"cheek","頬"
"nails","爪"
"arms","腕"
"leg","脚"
"A medium-sized creature prone to great ambition.","大きな野心を抱きやすい中型の生き物. "
"human","人間"
"humans","人間"
"stature","成長"
"elf","エルフ"
"elves","エルフ"
"elven","エルフの"
"A medium-sized humanoid driven to cruelty by its evil nature.","邪悪で残酷な中型の生き物. "
"goblin","ゴブリン"
"goblins","ゴブリン"
"A small, squat humanoid with large pointy ears and yellow glowing eyes.","大きな先のとがった耳と黄色に輝く目を持つ小さくてしゃがんだ人型生物. "
"kobold","コボルト"
"kobolds","コボルト"
"A small humanoid creature with a mischievous, toothy grin.","いたずら好きで歯が剝き出しな笑顔の小さな人型生物. "
"gremlin","グレムリン"
"gremlins","グレムリン"
"A huge humanoid monster with coarse fur, large tusks and horns.","荒い毛皮, 大きな牙, 角を持つ大型の人型生物だ. "
"troll","トロル"
"trolls","トロル"
"A giant humanoid monster found stomping about in the evil plains.  Their low howls can be heard long before they are seen.","邪悪な土地に棲む巨大な人型生物だ. 奴らが現れる前には, その吠え声が聞こえる. "
"ogre","オーガ"
"ogres","オーガ"
"ogress","オーガの雌"
"ogresses","オーガの雌"
"A horse-like creature with a spiral horn growing from its forehead.","額かららせん状の角が生えている馬のような生き物. "
"unicorn","ユニコーン"
"unicorns","ユニコーン"
"unicorn foal","ユニコーンの子供"
"unicorn foals","ユニコーンの子供の"
"A gigantic reptilian creature.  It is magical and can breathe fire.  These monsters can live for thousands of years.","巨大な爬虫類だ. 魔法生物で, 火を吐くことができ, 何千年も生きる. "
"dragon","ドラゴン"
"dragons","ドラゴン"
"draconic","ドラゴンの"
"Breathe fire","火のブレス"
"terrible majesty","恐ろしい威厳"
"A medium-sized humanoid with the horns and legs of a goat.","山羊の角と脚を持つ中型の人型生物. "
"satyr","サテュロス"
"satyrs","サテュロス"
"woolly legs","毛の生えた脚"
"A gigantic magic statue made of bronze and bent on mayhem.","青銅で作られた魔法の像だ. 過去の争いでひん曲がっている. "
"bronze colossus","ブロンズコロッサス"
"bronze colossuses","ブロンズコロッサス"
"height","重い"
"bronze","ブロンズ"
"A gigantic creature resembling a human, almost unparalleled in size.","比類ないほどに巨大な人型生物だ. "
"giant","巨大な"
"giants","巨人"
"giantess","女巨人"
"giantesses","女巨人"
"A giant humanoid monster with a single eye set in its forehead.","単眼の巨大な人型生物だ. "
"cyclops","サイクロプス"
"cyclopes","サイクロプス"
"single eye","単眼"
"A giant humanoid monster with two heads.","二つの頭を持つ大型の人型怪物だ. "
"ettin","エティン"
"ettins","エティン"
"arguing heads","言い争う頭"
"A giant humanoid monster with the head of a bull.","牛の頭を持った大型人型怪物. "
"minotaur","ミノタウロス"
"minotaurs","ミノタウロス"
"A large ape-like creature with white fur, found in the snowy wilds.","雪原に棲む, 大型類人猿だ. 白い毛皮を持つ. "
"yeti","イエティ"
"yetis","イエティ"
"white fur","白い毛皮"
"A large and mysterious ape-like creature found in temperate forests.","温帯の森に棲む, 神秘的な大型類人猿. "
"sasquatch","サスカッチ"
"sasquatches","サスカッチ"
"reclusive nature","隠れ棲む"
"A large humanoid monster from the wild tundra.  It has translucent skin, icicles for teeth, red glowing eyes and pointed ears.","ツンドラに棲む大型人型怪物. 半透明の肌, つららで出来た歯, 赤く光る目, とがった耳を持つ. "
"blizzard man","ブリザードマン"
"blizzard men","ブリザードマン"
"translucent skin","半透明の肌"
"icicle teeth","氷の歯"
"glowing red eyes","輝く赤い目"
"pointy ears","尖った耳"
"A fierce creature from the evil snowy wilds.  It has white fur and a piercing howl.","邪悪な雪原に棲む生物だ. 白い毛皮と鋭い遠吠えを持つ. "
"ice wolf","氷狼"
"ice wolves","氷狼"
"ice wolf pup","氷狼の子供"
"ice wolf pups","氷狼の子供の"
"piercing howls","鋭い遠吠え"
"A tiny, giggling humanoid with lacy wings.","レースの羽根を持つ, くすくす笑う小さな人型生物. "
"fairy","フェアリー"
"fairies","フェアリー"
"babylike giggles","赤ん坊のように笑う"
"lacy wings","レースの羽根"
"pixie","ピクシー"
"pixies","ピクシー"
"shifting colors","変化する色"
"intricate aerial dances","複雑に宙を舞う"
"A creature from the evil swamp.  It resembles a squat, wingless bird with powerful beak and legs.  Its blotchy skin is brightly colored.","邪悪な沼地に棲息する. 強力なくちばしと脚を備えた, 四つ足の翼のない鳥に似ている. そのしみのある肌は鮮やかな色です. "
"beak dog","くちばし犬"
"beak dogs","くちばし犬"
"beak dog pup","くちばし犬の子供"
"beak dog pups","くちばし犬の子供の"
"chatters and clicks","やかましい鳴き声"
"hunched backs","四つん這い"
"large beaks","大きなくちばし"
"An evil monster from the swamp.  It resembles a knot of waterlogged weeds but will strike the unaware victim.","沼に潜む邪悪な怪物. 水浸しの雑草に擬態し, 気づかない犠牲者を襲う. "
"grimeling","グリメリング"
"grimelings","グリメリング"
"slithering nature","ずる賢い"
"weedy bodies","雑草のような体"
"A man-shaped creature with the legs of a goat and the empty-eyed skull of a goat.","ヤギの頭蓋骨がそのまま頭になった, ヤギの足を持つ人型の生き物だ. "
"foul blendec","ファウルブレンデック"
"foul blendecs","ファウルブレンデック"
"goat heads","ヤギ heads"
"goat legs","ヤギ 脚"
"rotten eye sockets","腐った眼窩"
"A large, four-armed ape creature with three eyes and razor-sharp teeth.","四本の腕に三つ目, 剃刀のような歯を持つ大型類人猿だ. "
"strangler","ストラングラー"
"stranglers","ストラングラー"
"resounding hoots","響き渡る嘲り"
"three eyes","三つ目"
"toothy maw","歯のついた胃袋"
"A flying monster with stretched skin over its emaciated body.  It has the head of a jackal with needle-like horns protruding through its mane.","たてがみのあるジャッカルの頭から針のような角が突き出た, やせこけたコウモリのような翼のある人型怪物だ. "
"nightwing","ナイトウイング"
"nightwings","ナイトウイング"
"jackal heads","ジャッカルの頭"
"bat wings","コウモリの羽"
"long tails","長い尻尾"
"fangs","かぎ爪"
"ability to suck blood","吸血"
"tightly-stretched skin","引き延ばされた皮膚"
"needle-like horns","針のような角"
"A monster in the shape of a woman with a bird's wings in place of arms and talons for feet.","腕の代わりに鳥の羽を持つ, 女性の形をした怪物だ. "
"harpy","ハーピー"
"harpies","ハーピー"
"feathery wings","羽の生えた翼"
"fearsome talons","恐ろしい脚爪"
"A giant dragon-like monster with seven biting heads.","七つの頭を持つ, ドラゴンのような巨大な怪物だ. "
"hydra","ヒュドラ"
"hydras","ヒュドラ"
"seven heads","七つの頭"
"A man-like creature with the tail of a fish instead of legs.","足の代わりに魚の尾びれを持つ, 人間のような怪物だ. "
"merperson","マーマン"
"merpeople","マーマン"
"mermaid","マーメイド"
"mermaids","マーメイド"
"merman","マーマン"
"mermen","マーマン"
"A giant limbless dragon that lives in the sea.","海に棲むドラゴンのような, 巨大な怪物だ. "
"sea serpent","シーサーペント"
"sea serpents","シーサーペント"
"sea serpent hatchling","シーサーペントの子供"
"sea serpent hatchlings","シーサーペントの子供"
"A giant creature with many eyes and arms to terrify the sea.","海に棲む, 沢山の眼と腕を持った恐ろしい巨大な怪物だ. "
"sea monster","シーモンスター"
"sea monsters","シーモンスター"
"horrifying freakish appearance","恐ろしい安定しない外見"
"sea monster hatchling","シーモンスターの子供"
"sea monster hatchlings","シーモンスターの子供"
"A bird of prey so large and ferocious it dwarfs many dragons.  All beneath its mighty wings should fear the sky.","ドラゴンすら小さく感じられるほどの大きさの猛禽類だ. その翼の下にいる生き物は, あまねく恐怖に襲われるだろう. "
"roc","ロック鳥"
"rocs","ロック鳥"
"roc hatchling","ロック鳥の子供"
"roc hatchlings","ロック鳥の子供の"
"awe-inspiring size","畏敬を抱く大きさ"
"dedication to their young","子煩悩"
"A huge, predatory reptile with pale, colorless scales and red eyes.  It lives in caves and ambushes its prey.","淡い無色の鱗と赤い目を持つ巨大肉食爬虫類. 洞窟に住み, 獲物を待ち伏せします. "
"cave crocodile","洞窟クロコダイル"
"cave crocodiles","洞窟クロコダイル"
"A giant amphibian predator found underground.","地下に棲息する大型両生類. "
"giant cave toad","巨大洞窟ガエル"
"giant cave toads","巨大洞窟ガエル"
"A giant amphibian predator found underground near water.","地価の水辺に棲息する大型両生類だ. "
"giant olm","巨大イモリ"
"giant olms","巨大イモリ"
"A giant flying mammal found underground.","地下に棲息する空飛ぶ大型哺乳類. "
"giant bat","巨大コウモリ"
"giant bats","巨大コウモリ"
"giant bat pup","巨大コウモリの子供"
"giant bat pups","巨大コウモリの子供の"
"A gigantic rodent found underground.","地下に棲息する大型げっ歯類. "
"giant rat","巨大ネズミ"
"giant rats","巨大ネズミ"
"giant rat pup","巨大ネズミの子供"
"giant rat pups","巨大ネズミの子供の"
"A huge rodent found underground.","地下に棲む大型げっ歯類. "
"large rat","大ネズミ"
"large rats","大ネズミ"
"large rat pup","大ネズミの子供"
"large rat pups","大ネズミの子供の"
"A large, pale rodent with loose, hanging, hairless skin.  It has long teeth and an incredibly powerful bite.  It is found underground.","大きな齧歯動物で, 薄くて無毛の皮膚が垂れ下がっている. それは長い歯と強力なあごを持つ. 地下に棲息する. "
"naked mole dog","ハダカデバネズミ"
"naked mole dogs","ハダカデバネズミ"
"naked mole puppy","ハダカデバネズミの子供"
"naked mole puppies","ハダカデバネズミの子供の"
"wrinkly skin","薄い皮膚"
"A savage man-like cave creature.","洞窟に棲む野蛮な人型生物. "
"troglodyte","穴居人"
"troglodytes","穴居人"
"A gigantic digging creature found underground.","地下に棲む穴を掘り進む巨大生物. "
"giant mole","巨大モグラ"
"giant moles","巨大モグラ"
"giant mole pup","巨大モグラの子供"
"giant mole pups","巨大モグラの子供の"
"noses","鼻"
"A small humanoid surrounded by fire which they can hurl at their enemies.","炎に覆われた小さな人型生物だ. その炎を敵に投げつけることができる. "
"fire imp","ファイアインプ"
"fire imps","ファイアインプ"
"Hurl fireball","火球を投げる"
"Spray jet of fire","炎の噴流"
"smoke","煙"
"A large underground monster with eight legs and sharp, venomous fangs.","鋭い毒牙に八本の足を持つ, 地下に棲むの巨大なクモだ. "
"giant cave spider","巨大洞窟蜘蛛"
"giant cave spiders","巨大洞窟蜘蛛"
"Spray web","網を張る"
"mystery","神秘的"
"frozen giant cave spider venom","凍った巨大洞窟蜘蛛の毒液"
"giant cave spider venom","巨大洞窟蜘蛛の毒液"
"boiling giant cave spider venom","蒸気化した巨大洞窟蜘蛛の毒液"
"giant cave spider bite","巨大洞窟蜘蛛の牙"
"A tiny underground bug, sought after for its thread.","尻から糸を出す小さな地下に棲む虫だ. "
"cave spider","洞窟蜘蛛"
"cave spiders","洞窟蜘蛛"
"frozen cave spider venom","凍った洞窟蜘蛛の毒液"
"cave spider venom","洞窟蜘蛛の毒液"
"boiling cave spider venom","蒸気化した洞窟蜘蛛の毒液"
"cave spider bite","洞窟蜘蛛の牙"
"A small pale creature found in underground streams and ponds.","地価の川や湖に棲む, 青白い小魚だ. "
"cave fish","洞窟魚"
"cave fish man","洞窟魚男"
"cave fish men","洞窟魚男"
"cave fish woman","洞窟魚女"
"cave fish women","洞窟魚女"
"A humanoid creature with the head of a blind cave fish.  They live in colonies in watery regions far underground.","洞窟魚の頭を持った人型生物だ. 地下深部で群れを作る. "
"A small, pale arthropod found in underground streams and ponds.","地価の川や湖に棲む, 青白い小型節足動物だ. "
"cave lobster","洞窟ロブスター"
"cave lobsters","洞窟ロブスター"
"A serpent made of pure fire which can inject liquid fire as venom.","液体の火を毒として注入できる, 純粋な火で作られた蛇. "
"fire snake","ファイアスネイク"
"fire snakes","ファイアスネイク"
"liquid fire","液体の火"
"olm","ホライモリ"
"olms","ホライモリ"
"olm man","ホライモリ男"
"olm men","ホライモリ男"
"olm woman","ホライモリ女"
"olm women","ホライモリ女"
"An animal person with the head of the amphibious olm.  It lives underground near water.","ホライモリの頭を持った人間だ. 地下の水辺に棲む. "
"A tiny winged creature that hunts at night and rests in caves during the day.","夜に狩りをし, 日中は洞窟で休む, 翼のある小型生物. "
"bat","コウモリ"
"bats","コウモリ"
"haunting cries","超音波で狩りをする"
"bat man","コウモリ男"
"bat men","コウモリ男"
"bat woman","コウモリ女"
"bat women","コウモリ女"
"A humanoid with the head of a bat and wings stretching from wrist to ankle.","コウモリの頭と, 手首から足首まで広がる皮膜を持つ人間だ. "
"A tiny larva which is prized for its milk.","小さなイモムシ. ミルクの価値が高い. "
"purring maggot","パーリングマゴット"
"purring maggots","パーリングマゴット"
"comforting whirs","快適なブンブン音"
"frozen dwarven milk","凍ったドワーフミルク"
"dwarven milk","ドワーフミルク"
"boiling dwarven milk","蒸気化したドワーフミルク"
"dwarven cheese","ドワーフチーズ"
"dwarven cheese powder","ドワーフチーズ粉末"
"melted dwarven cheese","溶けたドワーフチーズ"
"boiling dwarven cheese","蒸気化したドワーフチーズ"
"Fire in the shape of a human that can hurl fireballs.","人の形をした炎だ. 火球を投げつけてくる. "
"fire man","火炎男"
"fire men","火炎男"
"licks of fire","炎を舐める"
"Magma moving in the shape of a man.  It has a cracked black crust.","人の形をしたマグマだ. ひびの入った黒い核を持つ. "
"magma man","マグマ男"
"magma men","マグマ男"
"flowing movement","流れるような動き"
"magma","マグマの"
"crust","核"
"A man-shaped creature made of iron.","人型の鉄でできた生き物だ. 内部が空洞で, 有毒ガスが溜まっている. "
"iron man","鉄男"
"iron men","鉄男"
"stern appearance","厳つい外観"
"frozen iron man gas","凍った鉄男の毒ガス"
"condensed iron man gas","condensed 鉄男の毒ガス"
"iron man gas","鉄男の毒ガス"
"iron man cough","鉄男の咳"
"A humanoid made of mud which lives near water underground.","地価の水辺に棲む, 人の形の泥だ. "
"mud man","泥男"
"mud men","泥男"
"peculiar smell","独特のにおい"
"mud","泥"
"A small blue and orange bird.","青とオレンジの小さな鳥だ. "
"cave swallow","洞窟ツバメ"
"cave swallows","洞窟ツバメ"
"cave swallow hatchling","洞窟ツバメの子供"
"cave swallow hatchlings","洞窟ツバメの子供の"
"cave swallow man","洞窟ツバメ男"
"cave swallow men","洞窟ツバメ男"
"cave swallow woman","洞窟ツバメ女"
"cave swallow women","洞窟ツバメ女"
"A feathered man with the wings and head of a bird.  It lives underground.","洞窟ツバメの頭と翼を持つ, 羽毛の生えた人間だ. "
"A gigantic blue and orange bird.","青とオレンジの巨大な鳥だ. "
"giant cave swallow","巨大洞窟ツバメ"
"giant cave swallows","巨大洞窟ツバメ"
"giant cave swallow hatchling","巨大洞窟ツバメの子供"
"giant cave swallow hatchlings","巨大洞窟ツバメの子供の"
"These evil creatures resemble walking frogs with arms and the intelligence to use them.  They live in the waters far under the earth.","腕の生えたカエルに似た邪悪な生き物だ. 地下深部の水に棲息する. "
"amphibian man","両生類男"
"amphibian men","両生類男"
"amphibian woman","両生類女"
"amphibian women","両生類女"
"These creatures are shaped like men covered with rough scales.  They have the head and tail of a lizard and possess a dark and evil intelligence.  They are found deep under the earth.","トカゲの頭を尾を持つ邪悪な意思を備えた人間だ. 地下深部に棲む. "
"reptile man","爬虫類男"
"reptile men","爬虫類男"
"reptile woman","爬虫類女"
"reptile women","爬虫類女"
"A large white snake with the arms and torso of a man.  These creatures are evil and live far underground.","男の上半身がついた邪悪な大白蛇だ. 地下深部に棲息する"
"serpent man","ヘビ男"
"serpent men","ヘビ男"
"frozen serpent man venom","凍ったヘビ男の毒液"
"serpent man venom","ヘビ男の毒液"
"boiling serpent man venom","蒸気化したヘビ男の毒液"
"serpent man bite","ヘビ男 bite"
"lash","鞭打つ"
"lashes","鞭打つ"
"serpent woman","ヘビ女"
"serpent women","ヘビ女"
"A humanoid with the head and body of an ant.","アリの頭と体を持った人間だ. "
"antman","アリ男"
"antmen","アリ男"
"worker ant woman","働きant女"
"worker ant women","働きant女"
"soldier ant woman","兵隊アリ女"
"soldier ant women","兵隊アリ女"
"drone ant man","羽アリ男"
"drone ant men","羽アリ男"
"queen ant woman","女王アリ女"
"queen ant women","女王アリ女"
"An evil humanoid with a long tail, black spiky fur and a twitching nose.  It lives far underground.","長い尾, 黒いとがった毛皮, そしてけいれんする鼻を持つ邪悪な人型生物. はるか地下に住んでいます. "
"rodent man","げっ歯類男"
"rodent men","げっ歯類男"
"rodent woman","げっ歯類女"
"rodent women","げっ歯類女"
"A medium-sized beast, known for its tusks and powerful build.","中型哺乳類. パワフルな突進と牙を持つ. "
"wild boar","イノシシ"
"wild boars","イノシシ"
"wild boar piglet","イノシシの仔"
"wild boar piglets","イノシシの仔の"
"ferocious charges","強力な突進"
"wild boar sow","イノシシの雌"
"wild boar sows","イノシシの雌"
"wild boar man","イノシシ男"
"wild boar men","イノシシ男"
"wild boar woman","イノシシ女"
"wild boar women","イノシシ女"
"A person with the head of a wild boar.","イノシシの頭を持つ人間だ. "
"giant wild boar","巨大イノシシ"
"giant wild boars","巨大イノシシ"
"giant wild boar piglet","巨大イノシシの仔"
"giant wild boar piglets","巨大イノシシの仔の"
"A huge monster boar with jagged tusks.","イノシシのような姿をした巨大な怪物だ. "
"A medium-sized dog-like creature.  It is sly, and groups can be heard howling in the night.","中型の犬だ. 群れを作り, ずる賢く, 夜中に遠吠えする. "
"coyote","コヨーテ"
"coyotes","コヨーテ"
"coyote pup","コヨーテの子供"
"coyote pups","コヨーテの子供の"
"howling","遠吠え"
"coyote man","コヨーテ男"
"coyote men","コヨーテ男"
"coyote woman","コヨーテ女"
"coyote women","コヨーテ女"
"A person with the head and tail of a coyote.","コヨーテの頭と尾を持つ人間だ. "
