"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"What will you say about the refusal to accept tribute?","Co powiesz o odmowie akceptacji trybutu?"
"What will you say about the refusal to give tribute?","Co powiesz o odmowie pàacenia trybutu?"
"What will you say about the peace agreement?","Co powiesz na temat ustale‰ pokojowych?"
"What will you say about the failed peace agreement?","Co powiesz na temat nieudanych rokowa‰ pokojowych?"
"What will you say about the tribute stoppage?","Co powiesz o zatrzymaniu trybutu?"
"What will you say about the claim?","Co powiesz o zaj©ciu?"
"What will you say about the gang?","Co powiesz o bandzie?"
"What will you say about the refugees?","Co powiesz o uchod´cach?"
"What will you say about the artifact's destruction?","Co powiesz o zniszczeniu artefaktu?"
"What will you say about the artifact's location?","Co powiesz na temat lokalizacji artefaktu?"
"What do you want to know?","Co chcesz wiedzieÜ?"
"Which pet will you gift?","Kt¢re zwierz© podarujesz?"
"About whom do you ask?","O kogo pytasz?"
"Where do you want to go?","Gdzie chcesz iòÜ?"
"How will you respond to the position offer?","Jak odpowiesz na propozycj© pozycji?"
"How will you respond to the adoption request?","Jak odpowiesz na propozycj© adopcji?"
"What will you say about the conflict?","Co powiesz o konflikcie?"
"How will you ask?","Jak spytasz?"
"How will you respond?","Jak odpowiesz?"
"What will you say about the rescue?","Co powiesz o ratunku?"
"What will you say about the conclusion of the agreement?","Co powiesz ownioskach porozumienia?"
"What will you say about the agreement?","Co powiesz o porozumieniu?"
"What will you say about services?","Co powiesz o usàugah?"
"What will you say about the request?","Co powiesz o potrzebie?"
"What will you say about the trade?","Co powiesz o handlu?"
"What will you say about the surrounding area?","Co powiesz o okolicznych obszarach?"
"What will you say about the site?","Co powiesz o miejscowoòci?"
"What will you say about the structure?","Co powiesz o strukturze?"
"How will you respond to the invocation?","Jak odpowiesz na wezwanie?"
"How will you respond to the accusation?","Jak odpowiesz na oskaræenie?"
"What will you say about your master?","Co powiesz na temat swojego mistrza?"
"What will you say about your plots and scheming?","Co powiesz o swoich spiskach i intrygach?"
"How will you respond about your profession?","Jak odpowiesz na temat swojej profecji?"
"How will you respond to this passive reply?","Jak zareagujesz na t© pasywn• odpowied´?"
"How will you respond to this flattery?","Jak zareagujesz na to pochlebstwo?"
"How will you respond to this dismissal?","Jak zareagujesz na to zwolnienie?"
"How will you respond to this statement of values?","Jak zareagujesz na to wyznanie wartoòci?"
"What will you say about how you are feeling?","Co powiesz o tym, jak si© czujesz?"
"What will you say about your family?","Co powiesz o cwojej rodzinie?"
"How will you respond to the offer of tribute?","Jak zareagujesz na ofert© trybutu?"
"How will you respond to the tribute cancellation?","Jak odpowiesz na anulowanie trybutu?"
"How will you respond to the offer of peace?","Jak odpowiesz na ofert© pokoju?"
"How will you respond to the demand for tribute?","Jak odpowiesz na æ•danie trybutu?"
"How will you respond to the request to cease hostilities?","Jak odpowiesz na propozycj© zawieszenia broni?"
"How will you respond to the demand to yield?","Jak zareagujesz na æ•danie ust•pienia?"
"How will you respond to the request for information?","Jak zareagujesz na proòb© o informacje?"
"How will you respond to the request for directions?","Jak zareagujesz na proòb© o wskazanie kierunku?"
"How will you respond to the request for a guide?","Jak zareagujesz na proòb© o przewodnika?"
"What will you say about the missing treasure?","Co powiesz na temat brakuj•cego skarbu?"
"Keywords: ","Sàowa kluczowe: "
"Distant","Daleki"
"Traveling through ","Podr¢æuj•c przez "
"Nearby","W pobliæu"
"Maximum Number of Subregions","Maksymalna liczba podregion¢w"
" hour"," godzina"
" introduction"," wprowadzenie"
" has yielded.  Attack anyway?"," poddaà si©. ZaatakowaÜ pomimo tego ?"
"Really start a conflict with ","Zaczyna konflikt z "
"What do you want to aim for?","W co chcesz celowaÜ?"
"Block ","Blok "
"Parry ","Parowanie "
"Dodge (","Unik ("
"Block (","Blok ("
"Parry (","Parowanie ("
"Impossible strike","Niemoæliwe uderzenie"
"Difficult strike","Trudne uderzenie"
"Tricky strike","Cwane uderzenie"
"Normal strike","Normalne uderzenie"
"Easy strike","ùatwe uderzenie"
"Easier strike","Bardzo àatwe uderzenie"
"Simple strike","Proste uderzenie"
"can only graze","moæe jedynie zadrapaÜ"
"can't land squarely","nie moæe wyl•dowaÜ caàe"
"fairly solid","doòÜ solidne"
"square","zdecydowanie"
"very square","bardzo zdecydowanie"
"direct hit","centralne uderzenie"
"lash","bicz"
"Difficult","Trudne"
"Tricky","Cwane"
"Easy","ùatwe"
"Simple","Proste"
"VVSlow","Bardzo powolne"
"V Slow","Powolne"
"Slow","Wolne"
"Fast","Szybkie"
"V Fast","Bardzo szybkie"
" strike"," uderzenie"
"Quick attack: faster to strike and recover, but not powerful","Szybki atak: uderza szybko, lecz sàabo."
"No quick attack: enraged","Bez szybkich atak¢w: rozwòcieczony"
"Charge attack: move toward your opponent","Atak szaræ•: rusz w kierunku przeciwnika"
" rebuilt "," odbudowany "
"What do you want to throw?","Co chcesz rzuciÜ?"
"Pick up how many? (0-","Ile zebraÜ? (0-"
"You feel really full.","Czujesz si© naprawd© peàny."
"Entertainment","Rozrywka"
"a series of ","seria "
" into the "," do "
"You cannot jump while in the air.","Nie moæesz skoczyÜ b©d•c w powietrzu."
"You are too injured to jump.","Jesteò zbyt poraniony, aby skoczyÜ."
"You cannot jump while swimming.","Nie moæesz skakaÜ pàywaj•c."
"You fail to grab the ","Nie udaje ci si© zàapaÜ "
"this location","to miejsce"
" selected"," wybrane"
", range ",", zasi©g "
" Outpost Revisited:[C:7:0:0]  You have returned. "," Posterunek Ponownie odwiedzony:[C:7:0:0]  Powr¢ciàeò. "
"How have your sturdy charges fared in your absence? ","Jak twoi wytrwali podopieczni radzili sobie pod twoj• nieobecnoòÜ? "
"Have they gone on adventures or moved on to richer delving at new frontier settlements? ","Czyæby wyruszyli na poszukiwanie przyg¢d lub przenieòli si© do bogatszych osad na nowej granicy? "
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","ByÜ moæe wci•æ tu s•, nie chc•c opuszczaÜ wspaniaàej fortecy, kt¢r• dla nich przygotowaàeò. "
"Deep underground, the promise of treasure and the thrill of overcoming danger have lured you back to this place.  Will you strike the earth again?","Gà©boko pod ziemi•, obietnica skarbu i dreszczyk pokonania niebezpiecze‰stwa zwabiày ci© z powrotem do tego miejsca. Czy ponownie uderzysz w ziemi©?"
" Outpost:[C:7:0:0]  You have arrived.  After a journey from the Mountainhomes into the forbidding wilderness beyond, your harsh trek has finally ended.  Your party of seven is to make an outpost for the glory of all of "," Posterunek:[C:7:0:0]  Dotarliòcie. Po podr¢æy z g¢rskich dom¢w do gro´nej dziczy, Twoja trudna w©dr¢wka wreszcie si© zako‰czyàa. Twoja siedmioosobowa grupa ma stworzyÜ plac¢wk© na chwaà© caàego "
"There are almost no supplies left, but with stout labor comes sustenance.  Whether by bolt, plow or hook, provide for your ","Nie macie juæ prawie æadnych zapas¢w, ale dzi©ki ci©ækiej pracy moæecie zapewniÜ sobie utrzymanie. Czy to za pomoc• òruby, pàuga, czy haka, zapewnij to swoim "
"charges","szaræe"
".  You are expecting a supply caravan just before winter entombs you, but it is Spring now.  Enough time to delve secure lodgings, ere the ",". Spodziewasz si© karawany z zaopatrzeniem tuæ przed tym, zanim zima ci© pogrzebie, ale teraz jest wiosna. Wystarczaj•co duæo czasu, aby znale´Ü bezpieczne kwatery, bo "
" get hungry. "," zgàodniaày. "
"A new chapter of dwarven history begins here at this place, ","W tym miejscu rozpoczyna si© nowy rozdziaà historii krasnolud¢w, "
""".  [C:2:0:1]Strike the earth![C:7:0:0]",""".  [C:2:0:1]Uderz w ziemi©![C:7:0:0]"
"Unit lists: Recenter on job","Listy jednostek: Wyòrodkuj na zadaniu"
"  Offloading units... ","  Rozàadowywanie jednostek... "
"  Offloading units...  "," Rozàadowywanie jednostek...  "
"as part of ","jako cz©òÜ "
" slabs engraved"," wygrawerowanych pàyt"
"Slab engraved","Pàyta zostaàa wygrawerowana"
"No slabs engraved","Brak wygrawerowanych pàyt"
"Ghost","Duch"
"Not memorialized","Nieupami©tniony"
"Entombed and memorialized","Pochowany i upami©tniony"
"Memorialized","Upami©tniony"
"Engrave memorial slab","Grawerowanie pàyty pami•tkowej"
"[Requires fuel]","[Wymaga paliwa]"
"[Requires ore]","[Wymaga rudy]"
"[Requires ore, fuel]","[Wymaga rudy i paliwa]"
"[Requires ","[Wymaga "
"Entombed","Pochowany"
"slab engraved","grawerowana pàyta"
"no slabs engraved","brak grawerowanych pàyt"
"burned out","wypalony"
"Mousewheel ","K¢àko myszki "
"Button ","Przycisk "
"Loading bindings from ","ùadowanie powi•za‰ z "
"Unknown SDLKey: ","Nieznany klucz SDLKey: "
"Unknown binding: ","Nieznane wi•zanie: "
"Saving bindings to ","Zapisywanie powi•za‰ do "
"Binding name unknown while loading macro: ","Nieznana nazwa powi•zania podczas àadowania makra: "
"Binding missing while loading macro: ","Brak powi•za‰ podczas àadowania makra: "
"Quantity not numeric or Unexpected tab(s) while loading macro: ","IloòÜ nie numeryczna lub Nieoczekiwane tabulatory podczas àadowania makra: "
"considering ","bior•c pod uwag© "
" associating armor out of range: "," powi•zanie pancerza poza zasi©giem: "
" associating pants out of range: "," powi•zanie spodni poza zasi©giem: "
" associating helm out of range: "," powi•zanie steru poza zasi©giem: "
" associating shoes out of range: "," Powi•zanie but¢w spoza zakresu: "
" associating gloves out of range: "," Powi•zanie r©kawic poza zasi©giem: "
"slush","breja"
" Crafts"," Rzemiosào"
" Logs"," Logi"
"Prepared Food","Przygotowane jedzenie"
": Negative precedence changed to zero",": Ujemny priorytet zostaà zmieniony na zero"
": Precedence exceeding ",": Przekroczenie pierwsze‰stwa "
" capped"," zamkni©ty"
"Gem shape not found: ","Nie znaleziono ksztaàtu klejnotu: "
"Stone shape not found: ","Nie znaleziono ksztaàtu kamienia: "
"leaders","przyw¢dcy"
"bosses","szefowie"
"chief","szef"
"chiefs","szefowie"
"chieftess","szefowa"
"chieftesses","szefowe"
"captain","kapitan"
"captains","kapitanowie"
"commander"," dow¢dca"
"commanders","dow¢dcy"
"ringleader","prowodyr"
"ringleaders","prowodyrzy"
"warlord","wataæka"
"warlords","wataækowie"
"chieftain","w¢dz"
"chieftains","wodzowie"
"soldier","æoànierz"
"soldiers","æoànierze"
"generals","generaàowie"
"lord ","lord "
" master"," mistrz"
" masters"," mistrzowie"
" commanders"," dow¢dcy"
"Grandmaster","Wielki mistrz"
"Captain","Kapitan"
"Sergeant","Sieræant"
"Soldier","Ωoànierz"
"Initiate","Inicjacja"
"blade","ostrze"
"mace","buzdygan"
"hammer","màot"
"crossbow","kusza"
"pike","pika"
"whip","bat"
"blowgun","dmuchawka"
"grappling","chwytanie"
"Bearer","Posiadacz"
"Exalted","Wywyæszony"
"Ultimate","Ostateczny"
"Perfect","Idealny"
" Degree"," Stopie‰"
" Rank"," Ranga"
" Master"," Mistrz"
" Adept"," Adept"
" Bearer"," Posiadacz"
" Novice"," Nowicjusz"
"up the stairs","po schodach"
", the door on your right",", drzwi po prawej stronie"
" door"," drzwi "
" on your right"," po prawej"
" on your left"," po lewej"
", at the end of the hall",", na ko‰cu korytarza"
"treasurer","skarbnik"
"treasurers","skarbnicy"
"most sacred ","najòwi©tszy "
"most holy ","najòwi©tszy "
"most exalted ","najbardziej wywyæszony "
"absolute ","absolutny "
"most high ","najwyæszy "
"most high priest","najwyæszy kapàan"
"most high priests","najwyæsi kapàani"
"ceased being the apprentice of","przestaà byÜ uczniem"
"barons","baronowie"
"baroness","baronowa"
"baronesses","baronowe"
"baron consort","Baron maàæonek"
"barons consort","maàæonkowie baron¢w"
"baroness consort","baronowa maàæonka"
"baronesses consort","maàæonki baron¢w"
"Murder-target mismatch: year ","Niedopasowanie zab¢jstwa do celu: rok "
", entity #",", podmiot #"
"law-giver","dawca prawa"
"law-givers","dawcy prawa"
"war leader","przyw¢dca wojenny"
"war leaders","przyw¢dcy wojenni"
"constable","posterunkowy"
"constables","posterunkowi"
"field ","pole "
"marshal","marszaàek"
"marshals","marszaàkowie"
"head ","gàowa "
"royal ","kr¢lewski "
"chief ","szef "
"keeper of the seal","straænik piecz©ci"
"keepers of the seal","straænicy piecz©ci"
"chancellor","kanclerz"
"chancellors","kanclerze"
"justiciar","sprawiedliwy"
"justiciars","sprawiedliwi"
"advisor","doradca"
"advisors","doradcy"
"counselor","doradca"
"counselors","doradcy"
"chamberlain","szambelan"
"chamberlains","dworzanie"
"master of beasts","mistrz bestii"
"masters of beasts","mistrzowie bestii"
"cup-bearer","nios•cy puchar"
"cup-bearers","nios•cy puchar"
"butler","kamerdyner"
"butlers","lokaje"
"executioner","kat"
"executioners","kaci"
"chef","szef kuchni"
"chefs","szefowie kuchni"
"housekeeper","gosposia"
"housekeepers","gospodynie domowe"
"sewer","kanaà"
"harvest","zbiory"
"grain","ziarno"
"magistrate","urz©dnik"
"magistrates","urz©dnicy"
"justices","sprawiedliwoòÜ"
"judge","s©dzia"
"judges","s©dziowie"
"tunnel","tunel"
"road","droga"
"bridge","most"
" administrator"," administrator"
" administrators"," administratorzy"
" caretaker"," opiekun"
" caretakers"," opiekunowie"
" official"," oficjalny"
" officials"," urz©dnicy"
" commissioner"," komisarz"
" commissioners"," komisarze"
"alternate tension and repose","naprzemienne napi©cie i odpr©æenie"
"Various seeds","R¢æne nasiona"
"abbot","opat"
"abbots","opaci"
"failure to get start square construction for transport link","niepowodzenie w uzyskaniu miejsca rozpocz©cia budowy linii transportowej"
"failure to get end square construction for transport link","niepowodzenie w uzyskaniu budowy placu ko‰cowego dla à•cznika transportowego"
"midmap construction path build failure","Bà•d tworzenia òcieæki budowy mapy òrodkowej"
"Everything","Wszystko"
"Entity ","Podmiot "
" has self-referential diplomacy state"," ma stan dyplomacji samoreferencyjnej"
"doyen","nestor"
"doyens","nestorzy"
"doyenne","nestorka"
"doyennes","nestorki"
"dean","dziekan"
"deans","dziekani"
"recordkeeper","rejestrator"
"recordkeepers","rejestratorzy"
"bookkeeper","ksi©gowy"
"bookkeepers","ksi©gowi"
"clerk","urz©dnik"
"clerks","urz©dnicy"
"stewards","stewardzi"
"alderperson","starszy"
"inspiringly led","inspiruj•co prowadzony"
"weapon","bro‰"
"armor","zbroja"
"ammo","amunicja"
"shield","tarcza"
"tool","narz©dzie"
"spheres","sfery"
" has assumed the position of "," obj•à stanowisko "
"the imprisonment of","uwi©zienie"
" trying to generate musical form without speech or instruments"," pr¢ba wygenerowania formy muzycznej bez gàosu i instrument¢w"
"losing property to the tax collector's escorts","utrata wàasnoòci na rzecz eskorty poborcy podatkowego"
"Monster","Potw¢r"
"been fed to beasts.","zostaày nakarmione bestiami."
"Mission Report: ","Raport z misji: "
" (Set out "," (okreòlono "
"Miner destination wiped","Cel g¢rnik¢w wymazany"
"pressed ash","prasowany popi¢à"
"body","ciaào"
"are now expert ","s• teraz ekspertami "
" trainers."," trener¢w."
"are now quite knowledgeable ","s• teraz doòÜ kompetentni "
"have attained a general familiarity with ","osi•gn©li og¢lne obycie z "
" training methods."," metody szkoleniowe."
"now know a few facts about ","Teraz znamy kilka fakt¢w na temat "
" training."," szkolenie."
"gaining siblings","pozyskiwanie rodze‰stwa"
"Tribute Report: ","Raport daniny: "
"Tribute is being unloaded.  (A report is available.)","Danina jest rozàadowywana. (Dost©pny raport)."
"Merchants have arrived and are unloading their goods.","Kupcy przybyli i rozàadowuj• swoje towary."
"A trade depot is requiered for the delivery of the tribute.","Skàad handlowy jest wymagany do dostarczenia daniny."
"The merchants need a trade depot to unload their goods.","Kupcy potrzebuj• Skàadu handlowego do rozàadowania swoich d¢br."
"An animal","Zwierz©"
" has become a "," staà si© "
"Suddenly","Nagle"
"Something has pulled a lever!","Ktoò poci•gn•à za d´wigni©!"
"Something has triggered a pressure plate!","Coò uruchomiào pàytk© naciskow•!"
"Something has emptied a cage!","Coò opr¢æniào klatk©!"
"Something has unchained a creature!","Coò uwolniào stworzenie!"
"unused ","nieuæywany "
"improvable ","improwizowany "
"butcherable ","rze´ny "
"millable ","do zmielenia "
"possibly buriable ","moæliwie chowalny "
"unrotten ","zgniày "
"undisturbed ","niezakà¢cony "
"sharpenable ","do zaostrzenia "
"empty ","pusty "
"processable ","przetwarzalny "
"cookable ","nadaj•cy si© do gotowania "
"solid ","solidny "
"extract-bearing plant ","roòlina zawieraj•ca ekstrakt "
"extract-bearing fish ","ryba zawieraj•ce ekstrakt "
"extract-bearing small creature ","maàe stworzenie zawieraj•ce ekstrakt "
"processable (to vial) ","przetwarzalny (do fiolki) "
"processable (to barrel) ","przetwarzalny (do beczki) "
"tameable small creature ","maàe, oswajalne stworzenie "
"sand-bearing ","noòny piasek "
"glass ","szkào "
"lye-bearing ","àugonoòny "
"milk ","mleko "
"milkable ","mleczny "
"finished good ","dobry wynik "
"ammo ","amunicja "
"furniture ","meble "
"dye ","barwnik "
"dyeable ","barwnik "
"totemable ","totemiczny "
"glass-making ","produkcja szkàa "
"dyed ","barwiony "
"melt-designated ","oznaczony jako stopiony "
"deep material ","gà©boki materiaà "
"sewn-imageless ","gà©boki materiaà "
"screw ","òrubka "
"fire-safe ","ognioodporny "
"magma-safe ","odporny na magm© "
"building material ","materiaà budowlany "
"non-economic ","nieekonomiczne "
"plant ","roòlina "
"silk ","jedwab "
"yarn ","prz©dza "
"leather ","sk¢ra "
"bone ","koòÜ "
"hair/wool ","wàosy/weàna "
"shell ","muszla "
"horn ","r¢g "
"pearl ","peràa "
"plaster-containing ","zawieraj•cy gips "
"soap ","mydào "
"ivory/tooth ","koòÜ sàoniowa/z•b "
"lye/milk-free ","nie zawiera àugu/mleka "
"blunt ","t©py "
"unengraved ","bez grawerunku "
"unimproved ","nieulepszony "
"written-on ","zapisany "
"non-absorbent ","niechàonny "
"food storage ","skàad jedzenia "
"non-pressed ","nieprasowany "
"woven ","utkany "
"hard ","twardy "
"metal ","metal "
"sand ","piasek "
"edged ","kraw©d´ "
"on-ground ","na ziemi "
"divine ","boski "
"artifact ","artefakt "
"non-artifact ","nie-artefakt "
"wooden ","drewniany "
"stone ","kamie‰ "
"gem ","klejnot "
"grown ","uprawiany "
"-bearing ","-àoæysko "
"calcite/limestone/chalk/marble ","kalcyt/wapie‰/kreda/marmur "
"glazable ","przeszklony "
"fat ","tàuszcz "
"flux ","topnik "
"gypsum ","gips "
"paper-making ","produkcja papieru "
"paper-slurry ","zawiesina papierowa "
"tallow ","à¢j "
"wax ","wosk "
"bag-processable ","przetwarzalny worek "
"fermentable ","fermentowalny "
"clay ","glina "
"glaze ","glazura "
"honey-bearing ","miododajny "
"parchment-producing ","produkcja pergaminu "
"oil-bearing ","noònik oleju "
"paper-slurryable ","papier - zawiesina "
"renderable ","renderowalny "
"fatty ","tàusty "
"tannable ","garbowalny "
"-producing ","-produkcja "
"-containing ","-zawieraj•cy "
"liquid cooking","gotowanie w pàynie"
"liquid scoop","miarka do cieczy"
"powder grinding receptacle","pojemnik do mielenia proszku"
"powder grinding","mielenie proszku"
"meat carving","rze´bienie mi©sa"
"meat boning","trybowanie mi©sa"
"meat slicing","krojenie mi©sa"
"meat cleaving","rozbi¢r mi©sa"
"meat-carving holder","uchwyt do krojenia mi©sa"
"meal container","pojemnik na æywnoòÜ"
"liquid container","pojemnik na pàyn"
"food storage","skàad jedzenia"
"hive","r¢j"
"nest box","skrzynka l©gowa"
"small object container","pojuemnik na maàe przedmioty"
"track cart","w¢zek na tory"
"sheet roller","zwijacz arkuszy"
"folded sheet protector","ochraniacz na zàoæon• kartk©"
"writing container","pojemnik na pismo"
"bookcase","biblioteczka"
"display object","wyòwietlany obiekt"
"offering placement","oferowanie miejsc pracy"
"divination","wr¢æba"
"games of chance","gra prawdopodobie‰stwa"
" that isn't a bin"," to nie jest òmietnik"
"a sadistic ghost","sadystyczny duch"
", once more,",", jeszcze raz,"
" by a "," przez "
"rough ","surowy "
" log"," kàoda"
" block"," k"
"the river","rzeka"
"the cave","jaskinia"
"the pit","d¢à"
"the magma pool","jezioro magmy"
"the volcano","wulkan"
"the underworld portal","portal do òwiata podziemnego"
"the subterranean water","wody podpowierzchniowe"
"the underworld","Podziemny ówiat"
" deposit"," depozyt"
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","Jeden ze skompresowanych plik¢w na dysku zawiera bà©dy.  Przywr¢Ü go z kopii zapasowej, jeòli moæesz."
"The glowing barrier has disappeared, replaced by terrible shrieks from the underworld!","ówiec•ca bariera znikn©àa, zast•piona straszliwymi wrzaskami z podziemi!"
"The glowing barrier has disappeared!","ówiec•ca bariera znikn©àa!"
"Deep within this strange place, we've uncovered what must be a treasure of the gods!","Gà©boko w tym dziwnym miejscu odkryliòmy coò, co musi byÜ skarbem bog¢w!"
"We checked that stone for heat!  What devilry is this?!","Sprawdziliòmy ten kamie‰ pod k•tem ciepàa! Co to za diabelstwo?!"
"Some ancient horror was encased here, until now!","Jakiò staroæytny horror byà tu zamkni©ty, aæ do teraz!"
"Apocalypse!  We are being judged by the gods!","Apokalipsa! Jesteòmy s•dzeni przez bog¢w!"
"Something evil is emerging from this newly exposed pocket!","Coò zàego wyàania si© z tej nowo odsàoni©tej komory!"
"We have unleashed the echo of a forgotten divine retribution!","Uwolniliòmy echo zapomnianej boskiej zemsty!"
"Horrifying screams come from the darkness below!","Przeraæaj•ce krzyki dochodz• z ciemnoòci poniæej!"
"Saving world","Zapisywanie òwiata"
"Offloading art images...","Przenoszenie obraz¢w artystycznych..."
"Sorting world information...","Sortowanie informacji o òwiecie..."
"Saving map data...","Zapis danych mapy..."
"Saving civilized populations...","Ocalenie cywilizowanych populacji..."
"Saving history...","Zapisywanie historii..."
"Saving parameters...","Zapisywanie parametr¢w..."
"Saving tracking info...","Zapisywanie informacji o òledzeniu..."
"Saving agreements...","Zapisywanie um¢w..."
"Synchronizing folders...","Synchronizacja folder¢w..."
"Passing a few weeks to get things ready...","Minie kilka tygodni, zanim wszystko b©dzie gotowe..."
"Cleaning play objects...","Czyszczenie przedmiot¢w..."
"Cleaning stranded objects...","Czyszczenie zablokowanych obiekt¢w..."
"Cleaning game objects...","Czyszczenie obiekt¢w w grze..."
"*** STARTING NEW GAME ***","*** ROZPOCZ®CIE NOWEJ GRY ***"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Farewell, [VAR:NATIVENAME:MEETING:NOBLE].  I look forward to our meeting next year.  Our fortunes rise and fall together.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Ωegnaj, [VAR:NATIVENAME:MEETING:NOBLE].  B©d© wyczekiwaà naszego spotkania w przyszàym roku.  Nasze fortuny rosn• i upadaj• razem."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  I am your liaison from the Mountainhomes.  Let's discuss your situation.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Jestem waszym à•cznikiem z G¢rniczym Domem. Om¢wmy wasz• sytuacj©."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  You have disrespected the trees in this area, but this is what we have come to expect from your stunted kind.  Further abuse cannot be tolerated.  Let this be a warning to you.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Nie uszanowaliòcie drzew w tej okolicy, ale jest to coò, czego oczekiwaliòmy od waszego karàowatego gatunku. Dalsze naduæycia nie b©d• tolerowane. Niech to b©dzie dla was ostrzeæenie."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  What a pleasant surprise!  Not a single tree here weeps from the abuses meted out with such ease by your people.  Joy!  The dwarves have turned a page, not that we would make paper.  A travesty!  Perhaps it is better said that the dwarves have turned over a new leaf, and the springtime for our two races has only just begun.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Co za przyjemna niespodzianka!  Ani jedno drzewo nie pàacze tutaj z powodu naduæyÜ, z tak• àatwoòci• powodowanych przez wasz lud.  Co za radoòÜ!  Krasnoludy przewr¢ciày kart© w ksi©dze swych dziej¢w, nie æebyòmy robili papier.  Parodia!  Moæe lepiej powiedzieÜ, æe krasnoludy przewr¢ciày nowy liòÜ w swoich dziejach, a wiosna dla naszych dw¢ch ras dopiero si© rozpoczyna."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Although we do not always see eye to eye (ha!), I bid you farewell.  May you someday embrace nature as you embrace the rocks and mud.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  ChoÜ czasem mamy r¢æne spojrzenia na òwiat (ha!), æegnam was.  Moæe pewnego dnia pokochasz natur© tak, jak kochasz skaày i bàoto."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings from the woodlands.  We have much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Pozdrowienia z puszczy. Mamy wiele rzeczy do om¢wienia."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  It has been an honor, noble [VAR:NATIVENAME:MEETING:NOBLE].  I bid you farewell.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  To byà zaszczyt, szlachetny [VAR:NATIVENAME:MEETING:NOBLE].  Ωegnam ci©."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings, noble dwarf.  There is much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Witaj, szlachetny krasnoludzie.  Jest wiele spraw do przedyskutowania."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Again on behalf of the Merchants' Guild, let me bid farewell to you and your stout dwarves.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Jeszcze raz, w imieniu Gildii Kupc¢w pozw¢l mi poæegnaÜ ciebie i twoje t©gie krasnoludy."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  On behalf of the Merchants' Guild, let me extend greetings to your people.  There is much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  W imieniu Gildii Kupc¢w, pozw¢l mi przywitaÜ wasz lud.  Jest wiele rzeczy do om¢wienia."
" were unable to complete the "," nie byli w stanie uko‰czyÜ "
"Jobs removed from unpowered ","Zadania usuni©te z niezasilanych "
"branch","oddziaà"
"es","tak"
"raw green glass","surowe zielone szkào"
"raw clear glass","surowe przezroczyste szkào"
"raw crystal glass","nieociosane krysztaàowe szkào"
"rock","skaàa"
"bars","bary"
"charcoal","w©giel drzewny"
"coke","koks"
"refined coal","w©giel rafinowany"
" bars"," bary"
" own nature as "," wàasn• natur© jako "
" wafers"," wafle"
"cut clear glass gems","przezroczyste szklane pereàki"
"cut crystal glass gems","klejnoty z ci©tego szkàa krysztaàowego"
"gems","klejnoty"
"blocks","bloki"
"door","drzwi "
"floodgate","brama powodziowa"
"hatch cover","pokrywa luku"
"grate","kratownica"
"coffer","kufer"
"boxe","pudeàko"
"backpack","plecak"
"cast","obsada"
"limb/body ","ko‰czyna/ciaào "
"splint","szyna"
"crutch","kula"
"quiver","koàczan"
"casket","szkatuàa"
"sarcophag","sarkofag"
"chain","àa‰cuch"
"rope","lina"
"vial","fiolka"
"flask","kolba"
"waterskin","bukàak"
"musical instrument","instrument muzyczny"
"unglazed ","nieszkliwiony "
"goblet","kielich"
"window","okno"
"cage","klatka"
"barrel","beczka"
"bucket","wiadro"
"animal trap","puàapka na zwierz©ta"
"throne","tron"
"strands","pasma"
"sheet","arkusz"
"tanned hide","garbowana sk¢ra"
"-bound ","-zwi•zany "
"codex","kodeks"
"codices","kodeksy"
