"more presumptious","более уверенный в себе"
"Deathly cold","Смертельный холод"
"Weave thread into silk","Ткать нить в шелк"
"a good setting","хорошая обстановка"
"raised right arms","поднятые правые руки"
"State that you disapprove of ribald poems","Сказать, что вы не любите ритуальные стихи"
"Thrilled","Взволнованный"
"Opposed to life","Восстал против жизни"
" changed"," изменил"
"the properties of similar and congruent triangles","свойства подобных и конгруэнтных треугольников"
"the role of cultural differences in source reliability and interpretation","влияние культурных различий на надёжность источников и интерпретацию"
"Citizen becomes civilian","Гражданин перестал быть солдатом"
"Drinks","Напитки"
"is thin, frail and incredibly skinny","худого сложения, хилый и невероятно тощий"
" -- Ages"," -- Возрасты"
" clockwise"," по часовой стрелке"
"the computation of the volume of a sphere","вычисление объёма шара"
"gem cutter's shop sign","знак ""Лавка ювелира"""
" by a dead spouse"," умершим супругом"
"susceptible to disease","часто болеет"
" crisply."," чётко."
"Greetings from the outer lands.  ","Привет вам из внешних земель.  "
"slow","замедление"
"Return Treasure","Вернуть сокровище"
"is very friendly and always tries to say nice things to others","ведёт себя очень дружелюбно и старается всегда говорить окружающим лишь приятные вещи"
" is too salty."," слишком солёно."
" executed "," казнён "
"Power over others is the only true measure of worth.","Власть над другими является единственным истинным мерилом ценности."
"natural minor","натуральный минор"
" is magnificant!"," необыкновенный!"
"There is not enough room to perform here.","Недостаточно места для представления."
"Your intense search turns up nothing.","Вы тщательно все обыскали, но ничего не нашли."
"Interviews","Опрос"
"Music Volume (Adventure): ","Громкость музыки (приключение): "
"body","тело"
"doesn't focus on material goods","не фокусируется на материальных благах"
"Acknowledge lack of hope","Признать недостаток надежды"
"I drank foul water.","Я пил тухлую воду."
"Knowledgeable","Опытный"
"forced to drink purulent water","приходилось пить гнойную воду"
"discussing a friend's problems","при обсуждении с другом его поблем"
"Tropical Freshwater River","Тропическая пресная река"
"the possession of","владение"
"philosophy:ethics:applied interpersonal conduct","философия:этика:прикладная этика межличностных отношеий"
"sleeping","спальни"
"crystal glass ","хрусталь "
"River: ","Река: "
"self-control","самоконтроль"
"the exposition","экспозиция"
"drinking ichor","пить ихор"
"Work orders","Заказы"
"warehouse (50,50,50)","склад (50,50,50)"
"leaps","прыгает"
"is muscular and fat yet has a very small overall build","мускулистый и жирный, но очень некрупного телосложения"
"use grace notes","использовать форшлаги"
"beauty","красота"
"father ","отец "
"I admire how brilliant you are!","я восхищён вами!"
"medicine:tool:dedicated hospitals","медицина:инструменты:специализированные госпитали"
" Destroyed"," Разрушено"
"friendship","дружба"
"I am ready!","Я готов!"
"I feel some delight.","Я чувствую некоторый восторг."
" were hired "," были наняты "
" formed"," сформировал"
"nervousness","нервозность"
"being caught sneaking","был пойман, тайно пытаясь"
"[C:4:0:1].Bleeding","[C:4:0:1].Кровотечение"
"State minor feeling of frustration","Выразить лёгкое чувство разочарования"
"Cannot climb","Невозможно взобраться"
"You have no agreements with this land.","У вас нет договоров с этими землями."
"Ashes","Пепел"
"Affects stamina recover, ability to remain standing when tired, and breath.","Влияет на восстановление выносливости, возможность стоять на ногах при усталости и на дыхание."
"Proud","Гордый"
"Gem window","Витраж"
" escalated a conflict with "," обострился конфликт с "
"  The alliance has outlived its usefulness.","  Союз перестал быть полезным."
"making suggestions about work allocations","внесение предложений о распределении работы"
"You are surrounded by incessant cackling.","Вы окружены постоянным хихиканьем."
"mathematics:notation:zero","математика:нотация:ноль"
"[C:7:0:1]Taverns[C:7:0:0]","[C:7:0:1]Таверны[C:7:0:0]"
"existential crisis","экзистенциальный кризис"
"Seat","Сиденье"
"They are extinct in this world as well.","В этом мире они тоже вымерли."
"You bash the door down!","Вы выбили дверь!"
"Play ","Играть "
"Overwrite","Перезаписать"
"An honor as always.  How can I be of service?","Всегда честь для меня.  Чем я могу быть полезен?"
"Stone-fall","Камнепад"
"is incredibly skinny with a small build","невероятно тощий,  некрупного телосложения"
"Spoils Report: ","Сообщение о порче: "
" Occasion of "," Событие "
"Residency Agreement","Договор о проживании"
"the forces were arrayed, and","войска были выстроены, и"
"Impatiently say goodbye","Нетерпеливо попрощаться"
"[C:6:0:1]Ability to stand lost","[C:6:0:1]Не может стоять"
" descended upon the place."," обрушились на это место."
"Please let me shelter here for the night.","Пожалуйста, дайте мне приют на ночь."
" until you leave this site."," пока не покинете это место."
"an astonishing knack for music","удивительный талант к музыке"
" caste(s)"," каста(-ы)"
"the failed attempt by ","неудачная попытка "
"reverses the grammatical structure of","использует обратную грамматическую структуру"
" accepted a peace offer from "," принял предложение мира от "
"cancel","отменить"
"That's nothing to be bitter about.","Здесь не о чем жалеть."
"Accuse listener of being a night creature","Обвинить собеседника в том, что он - ночная тварь"
"now know a few facts about ","теперь знаете несколько фактов о "
"a talented hunter","талантливый охотник"
"Graze","Пастись"
"presser","прессовщик"
"melodic minor","мелодический минор"
"The material is ","Этот материал - "
" sent me to engage "," послал меня привлечь "
": Toggle line",": Переключить строку"
"Structure (remembered)","Структура (знакомая)"
"Set worship","Выбрать божество"
"Memory","Память"
"Noted preserver of the knowledge","Признанный хранитель знаний"
"Pillage","Разграбление"
"I recited ","Я декламировал "
"The head of the family is ","Глава семьи это "
"with some","с некоторыми"
"Legendary fighter","Легендарный боец"
"pressed filth","прессованная грязь"
"Passing acquaintance","Мимолетное знакомство"
"prior aggression by the adversary","прежняя агрессия со стороны противника"
"mathematics:algebra:quadratic by completing square","математика:алгебра:дополнение до квадрата"
"Storage","Хранилище"
"Really.","Действительно."
"is constantly ablaze with feelings of lust","постоянно горит в пламени страсти"
"is gripped by a crippling shyness","всего стесняется"
"The insurrection","Восстание"
"A kidnapper has made off with ","Похититель скрылся с "
"company","компания"
"being unable to find somebody in charge to yell at","будучи не в состоянии найти кого-то ответственного, чтобы кричать на"
"[C:7:0:1]Drink[C:7:0:0]","[C:7:0:1]Выпивка[C:7:0:0]"
"I have been drinking the same old booze.","Я постоянно пью одну и ту же выпивку."
"pressed coal","прессованный уголь"
"optimism","оптимизм"
"meadow","луг"
" Veg/Fruit/Leaves"," овощи/фрукты/листья"
"The Occasion","Событие"
" generally speaks very slowly"," обычно говорит очень медленно"
"meadow (100,255,0)","луг (100,255,0)"
"Of course.","Конечно."
" move"," двигать"
"State minor feeling of loneliness","Выразить лёгкое чувство одиночества"
"Name the squad","Назовите отряд"
"the Proof","Доказательство"
" often scratches "," часто царапает "
" has assumed the position of "," занял должность "
"Rent room for ","Снять комнату на "
".  They reported irregularities with their goods",".  Они доложили о перебоях с поставками товаров"
"terror from the evil depths","ужас из глубин"
"after being with friends","из-за того, что был с друзьями"
"rumor","слух"
"The musician blows into the fipple at the end of each pipe","Музыкант дует в мундштук на конце каждой трубки"
"extremely sparse","чрезвычайно редкие"
"tearing off","отрывая"
"raccoon","енот"
", a competent commander","- компетентный командир"
"unstressed-unstressed","безударный-безударный"
" energetic"," заряженный"
"Easier","Довольно легкий"
"Setting temperature...","Подбор климата..."
"the replacement of ","замена "
" in the melody and counterpoint"," в мелодии и контрапункте"
"Upright weapon/spike","Выдвижное оружие/шипы"
"leapt from a great height","прыгнул с большой высоты"
"has a broad body with almost no fat on it","имеет коренастое тело почти без жира"
"the Soldier","Солдат"
" true name.  The location of this place is well-known, but none have penetrated its secrets.  If the true name of the monster can be uncovered, you might be able to end this terror forever.",". Точное место хорошо известно, но никто не смог проникнуть в его секреты.  Если вы сможете узнать истинное имя монстра, вы сможете прекратить этот ужас навсегда."
" drained "," осушает "
"Skill 1","Умение 1"
"Workers ignore furniture","Рабочие игнорируют мебель"
"You will sleep as necessary until dawn.","Вы будете спать сколько необходимо до рассвета."
"Synchronizing folders...","Синхронизация папок..."
"No messengers available","Нет доступных гонцов"
"is weak and very long","слабый и очень высокий"
"Self-examination","Самоанализ"
"the Desecration","Осквернение"
"Impatient","Нетерпеливый"
"magma","магма"
"Population: ~100","Население: ~100"
"broad-chin","широкий подбородок"
"frozen to death.","замёрз насмерть."
"Announce no job cancellations","Объявить о возобновлении работ"
"Nickname position (fort mode)","Положение псевдонима (режим крепости)"
"a medial caesura","центральную цезуру"
"withdrawal","вывод"
"It is sized for ","Размер рассчитан на "
"right","прав"
"State feelings of great hopelessness","Выразить чувство огромной безнадежности"
" has brought back a few rumors."," рассказывает несколько слухов."
" because you are dying of thirst."," так как вы умираете от жажды."
"Curious wilderness creatures can come to cause trouble","Любопытные дикие животные могут причинить неприятности"
"Not dutiful","Не ответственный"
"the Grid","Координатная сетка"
"A gladiatory competition","Гладиаторские бои"
"Not creative","Не креативен"
"Put on ","Надеть "
" to yield in combat.  If the conflict has not reached a No Quarter state, your opponent should stand down.  "," уступать в бою. Если конфликт не перешел в состояние <<без четверти>>, ваш противник должен отступить. "
"Fine.  Let's drop the argument.","Ладно-ладно. Давайте оставим этот спор."
"legendary comrade","легендарный товарищ"
" engaged to induce a war of "," в целях развязывания войны "
" dubious"," сомневающийся"
"If you have a task, do it properly.","Если у тебя есть дело, делай чисто."
"added a masterful covering","нанёс превосходное покрытие"
"noted fighter","признанный боец"
"Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. ","Как только мир будет создан, вы сможете собрать группу и отправить ее на поиски богатств в глубинах гор. "
"Remove hidden designations.","Отменить скрытие предметов."
"Then ","Потом "
"is a firm believer in the value of tradition","твёрдо верит в значимость традиций"
"Averse","Отвращение"
"You are also still subject to attack or ambush, though you can see certain groups on the map and may be able to avoid them.  ","Также на вас могут напасть или устроить засаду, хотя на карте можно увидеть группы существ и, возможно, избежать встречи с ними.  "
"Effects","Последствия"
"addition of masterful bands","мастерское добавление полос"
"Move keyboard cursor right","Переместить курсор клавиатуры вправо"
"youth","молодость"
"is very slow","очень медленно"
"the calculation of the height of the atmosphere based on atmospheric refraction","вычисление высоты атмосферы на основании атмосферного преломления"
"after a nightmare","после кошмара"
"being removed from a performance troupe","быть удаленным из труппы"
"Construction suspended.","Строительство приостановлено."
"noted preserver of knowledge","признанный хранитель знаний"
" is one of the fundamental dance positions.  "," одна из основных позиций танца. "
"has bulky muscles on a large body","имеет крупные мышцы на большом теле"
"Avoids excitement","Избегает острых ощущений"
"You fail to dismount in time.","Вам не удалось спешиться вовремя."
"[C:6:0:1]Exhausted","[C:6:0:1]Бессилие"
" Upward Track (SE)"," подъём рельсов (SE)"
"Make romance","Завести роман"
"half-sister","сводная сестра"
"is very tall","очень высокий"
"Z Levels Above Layer 3","Z-уровней выше 3 уровня пещер"
" was ignored"," была проигнорирована."
"Artwork","Искусство"
"is somewhat weak and very long","довольно слабый и очень высокий"
"There are times when it is alright not to tell the whole truth.","Бывают случаи, когда лучше не говорить всю правду."
"Show advanced options.","Дополнительные настройки"
"Slayer.","Убийца."
"on a pilgrimage","ведет паломничество"
"Not enough river start points before erosion","Не достаточно истоков рек до точки эрозии"
"State your values (new menu)","Рассказать о ваших ценностях (новое меню)"
"Rooms","Комн."
"Remove the current worker from the task.","Убрать текущего работника с задания."
"soldier","солдат"
"the insurrection in ","восстание в "
" is already "," уже "
"Frame","Подставить"
"eloquence","красноречие"
"I'm so terribly lonely!","Мне так одиноко..."
"Nobility","Знать"
"mandate only partially completed","поручение выполнено лишь частично"
"Interrogate suspects for wrongdoing.","Допрос подозреваемых о правонарушениях."
"Agree to follow","Согласиться идти следом"
" is in fact an assumed identity.  Subject's true name is "," - на самом деле ложная личность.  Настоящее имя субъекта - "
"the construction and use of the retort","изготовлением и использованием реторт"
"Your settlement has been abandoned.","Вы забросили поселение."
"the Building","Постройка"
"You continue the music.","Вы продолжаете играть."
" vivacious"," живой"
"Population: ~75","Население: ~75"
"Recenter on this creature.","Перейти к существу."
"There is nothing to hold here.","Здесь нечего держать."
"Acknowledge lack of shame","Признать недостаточный стыд"
"Affected by attributes:","Под воздействием атрибутов:"
"Gem Window","Витраж"
"infamous enemy","печально известный враг"
"vascular","сосудистый"
" levels)"," уровни)"
"I'm not elated.","Я не в восторге."
"is stunningly self-indulgent","потрясающе снисходительное"
" committing a depraved act"," совершает развратные действия"
"Slaughterability","Забиваемость"
"was crucified","распят"
" give"," поддаётесь"
" breaks!"," рвётся!"
"Make sure your parameters and presets allow as many mountain squares as you are requiring river start points.  ","Убедитесь, что параметры и предустановки предоставляют столько клеток гор, сколько требуется истоков рек.  "
"Spice","Специи"
" is our ally"," - наш союзник"
"Disdains decorum","Презирает приличия"
"briefly ","кратко "
"skunk","скунс"
"gave","дал"
"often finds ","часто замечает, что "
"fourth eldest child","четвёртый ребёнок"
"added a masterful image","нанёс великолепный рисунок"
" from the teaching of "," от обучения "
"I don't have enough chests.","Мне не хватает сундуков."
"the Seekers","Искатели"
"close-set","близко посаженные"
"the entry","вступление"
"Fight","Подраться"
"values family greatly","высоко ценит семью"
"the slaughter of ","убийство "
"I have no master, but ","У меня нет хозяина, но "
"Track (NS)","Рельсы (NS)"
"began an apprenticeship under","начал обучение под руководством"
"Oh, I'm nothing special.","Во мне нет ничего особенного."
" self-identified"," узнал себя"
"Struck mineral","Найден минерал"
"Acknowledge lack of embarrassment","Признать недостаточное смущение"
"the termination of","прекращение "
"grab","хватаете"
"You have discovered a volcano.","Вы обнаружили вулкан."
"Name your pet","Назовите питомца"
"Angle Sums","Суммы углов"
", yet that means little now",", но это означает, что сейчас"
"What do you want to throw?","Что вы хотите бросить?"
"due to a lack of performances","вследствие отсутствия выступлений"
"acquiring ","получение "
"Merriment is worthless.","Веселье бессмысленно."
"the creation of accurate maps","создание точных карт"
"pleased","довольный"
"been struck down.","был сражён."
"yes","да"
"My companion.","Мой попутчик."
"fuse-lobed","с короткими мочками"
" somewhere"," где-то"
"septet","семистишье"
"on the back of ","на обратной стороне "
"The tonic note is a fixed tone passed from teacher to student.  ","Тоническая нота - это фиксированный тон, передаваемый от учителя к ученику. "
"rumored killer","известный по слухам убийца"
"the divorce of","развод"
"Agree to make peace between ","Согласиться на установление мира между "
"production","производство"
"No patient","Нет пациентов"
"You tangle together and tumble forward!","Вы сцепляетесь и падаете вперёд!"
"Anguished!","Мучается!"
"the arrest and interrogation of ","арест и допрос "
"Skillfully trained","Тщательно натренирован"
"rarely looks on others with lust","редко смотрит на кого-то со страстью"
" to death"," насмерть"
"Abandoned hillock","Заброшенный пригорок"
"Unknown structure","Неизвестная постройка"
"Cheese market","Сырный рынок"
"I was misinformed about a room during tax collection.","Я был дезинформирован о месте сбора налогов."
"Eighth","Восьмой"
"starts yelling whenever ","начинает орать, когда "
"experiments with symbolic notation for addition","эксперименты с символами для обозначения сложения"
"(Combat) Attack stuck in","(Бой) атака застряла"
" in an unsatisfactory fashion"," неудовлетворительным способом"
"File","Файл"
"Died in a cage","Умер в клетке"
"Do not move from current tile when dodging even if it means being struck.","Не смещаться с выбранной клетки при уклонении, даже если это означает, что вас ударят."
"Deep soil","Глубокая почва"
"badger","барсук"
"the nature of belief","природа веры"
"eat","едите"
"feast","пир"
"Make crafts for trade and your own citizens here, as well as a variety of tools, armor, and bolts.","Здесь изготавливают изделия для торговли и собственных жителей, а также разнообразные инструменты, доспехи и болты."
"dabbling trade partner","посредственный торговый партнер"
"Cannot link to ","Не удается связать с "
"satisfied","удовлетворение"
"Right click when done","Правый клик для окончания"
"Popup: Companions","Всплывающее окно: Спутники"
"[C:7:0:1]Brought to rest","[C:7:0:1]Оставлен отдыхать"
"They offer tribute","Они предлагают дань"
"east-southeast","восток-юго-восток"
"I love the solemn lyrics.","Люблю торжественные слова."
"artifact ","артефакт "
"Repetition","Повторение"
"the Cause","Цель"
" which uses a ",", который использует "
"How dare you?!","Да как вы смеете?!"
" being tortured"," подвергается пыткам"
"Smooth ","Гладкий "
"spread syllables over many notes","растягивать слоги на несколько нот"
"after invocation of the true name","после вызова истинного имени"
"Continue moving in the same direction to build up speed.  If you or your mount are moving quickly, your attacks gain velocity.  ","Продолжайте двигаться в одном направлении, чтобы наращивать скорость.  Если вы или ваш скакун движетесь быстро, ваши атаки получают дополнительную силу за счёт скорости и инерции. "
"the Migration","Миграция"
"Click a building to link to ","Нажмите на постройку, связываемую с "
"Metal Crafts","Металлические изделия"
"] hotkey will recenter on your wagon.","] горячая клавиша перемещения к вашей повозке."
" and geldables regrow!"," и причандалы отрастают!"
"Frets on the neck allow the musician to alter the pitch.  ","Лады на грифе позволяют музыканту изменять тон. "
"Disdains family","Презирает семью"
"If you haven't suffered any casualties, you should have these labors assigned already. ","Если вы не понесли потерь, у вас уже должны быть назначены эти работы. "
"I shared a personal insight with my spouse.","Я поделился своим мнением с супругом."
"Chronicle","Хроника"
"reflective","самосозерцательный"
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.  If a permanent building item is forbidden, citizens will not perform tasks there!","Переключите запрет на использование предмета. Жители не будут пользоваться запрещенными предметами или постройками. Если одна из устойчивых частей постройки запрещена, жители перестанут выполнять там задачи!"
"Popup: Abilities","Всплывающее окно: Способности"
"the Pit","Яма"
"After a polite discussion with local rivals, ","После вежливой дискуссии с местными соперниками "
"Tropical Saltwater Swamp","Тропические солёные болота"
"'s foundation"," основание"
"I can't wait to get to it!","Я больше не могу ждать!"
"added a masterful rope","добавил мастерски сделанную веревку"
"melancholy","меланхолия"
"Digging a ramp into a wall on the same level will create a connection to the higher level and remove the ceiling. ","Вкапывание пандуса в стену на том же уровне создаст соединение с более высоким уровнем и снимет потолок. "
" threatens our people with its very presence."," угрожает нам своим присутствием."
"Trap","Ловушка"
"chosen by fate as the vanguard of destiny.  ","избран стать рукой Провидения.  "
"No!","Нет!"
"Bonded","Привязан"
"The vegetation is broken here.","Растения поломаны."
"former worker","бывший работник"
"Cannot set a fire","Невозможно зажечь"
"Remove this condition.","Удалить условие"
" sensual"," чувствительный"
" born in "," родился в "
"Keep going and never quit.","Продолжайте и никогда не останавливайтесь."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  It has been an honor, noble [VAR:NATIVENAME:MEETING:NOBLE].  I bid you farewell.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Для меня это была честь, благородный [VAR:NATIVENAME:MEETING:NOBLE].  Я прощаюсь с вами."
" Age"," Эра"
"Autumn","осени"
" breathes"," выдыхает"
"Minimum Complete Edge Oceans","Минимальное число краёв карты целиком с океаном"
"Let's do this.","Давайте сделаем это."
" verse paragraph"," свободную строфу"
"likes a little excitement now and then","любит немножко пощекотать нервы"
"dactylic","дактилический"
" which permeates ",", которая пронизывает "
"State feelings of gratitude","Выразить чувство благодарности"
"glass ","стекло "
"Drink","Питьё"
"Tell me about your family.","Расскажите о своей семье."
"Verbally struggle against great fear","Словесная борьба с большим страхом"
"a scholarly lecture in ","научная лекция в "
"a great setting","великолепная обстановка"
"Ice Downward Track (NW)","Ледяной спуск рельс (NW)"
"You must drive the skulking vermin ","Вы должны прогнать этого подлого вредителя "
"Hawk your wares","Охранять свои товары"
"Add mud to the arena.","Добавить ил на арену."
"Miserable","Несчастный"
"My condolences.","Мои соболезнования."
"thought of as two disjoint chords spanning two perfect fourths","представляет собой два несвязанных аккорда, охватывающие две чистых кварты"
"play legato","играть легато"
"the crime","преступления"
"but ","но "
"Knife","Нож"
" pauses to regain "," останавливается, чтобы восстановить "
"with the new position appointed by you.","с новой должностью, назначенной вами."
"willpower","силу воли"
"is disgusted by the idea of fairness and will freely cheat anybody at any time","чувствует отвращение к самой идее честности и в любой момент может спокойно обмануть кого-либо"
"the return of ","возвращение "
"It makes me bitter.","Я чувствую горечь."
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Grates unlike bars have a quality and enhance the value of rooms.  Grates can be connected to levers.","Блокирует существ, но не мешает прохождению жидкостей и предметов. Можно строить поверх пустых мест, лестниц, пандусов или над жидкостями. Решетки, в отличие от прутьев, обладают качеством и повышают ценность комнат.  Решетки могут быть соединены с рычагами."
"stares intently when ","смотрит пристально, когда "
"""You've found ","""Ты нашел "
"is disgusted by the idea of loyalty","из тех, кому противна сама идея преданности"
" believes that primordial remnants such as "," считает, что древние останки, такие как "
"Decrease quality","Ухудшить качество"
"Track/Ramp (EW)","Спуск рельс (EW)"
"Floating Bodies","Плавучие тела"
"talks about others behind their backs","сплетничает"
" preached "," проповедовал "
"Advancing vegetation","Продвижение растительности"
"I drank vomit.","Я пил рвоту."
"The glowing barrier has disappeared!","Светящийся барьер исчез!"
"the Axioms","Аксиомы"
"Could not load file ","Не удалось загрузить файл "
" masters"," хозяева"
"burned up in a magma mist.","сгорел в тумане магмы."
"Initiate bartering","Начать торговлю"
"the end of the former imprisonment of","окончание бывшего тюремного заключения "
"strike","бьёте "
" way to help others"," привычке помогать окружающим"
"Suturing","Наложение швов"
"Worship List","Список культов"
"Add snow to the arena.","Добавить снег на арену."
"Written on the item is ","На предмете написано "
"the subject of ","тема "
"produced masterwork","произведенный шедевр"
"Huh?  What was that?","А? Что это было?"
" and | indicates a bar.  "," а | обозначает границу такта.  "
" must feature "," должны иметь "
"a competition involving ","соревнование с участием "
"Can use any shop","Может использовать любую мастерскую"
"Yes, I can see it clearly now.","Да, теперь я понимаю."
"being away from family for too long","быть вдали от семьи слишком долго"
"the end of the master-apprentice of","конец ученичества "
" has a tendency to chew on "," обычно жуёт на "
"  Offloading units... ","  Выгрузка юнитов... "
"towering"," возвышающийся"
"the Distance Scale","Масштаб"
"[C:7:0:0]No evaluated wounds","[C:7:0:0]Нет осмотренных ран"
"Set the details of this task, such as the material used.","Настроить детали этого задания, например, используемые материалы."
"Temperate Saltwater Pool","Умеренный солёный водоём"
"State feelings of great panic","Выразить чувство большой паники"
"Only selected do this","Только назначенные"
"Divorced","Разведенный"
"Election","Выборы"
"balance","равновесие"
" out and tries to return favors"," и старается вернуть одолжение"
"Citizen death","Смерть гражданина"
"sees those that attempt to maintain dignified and proper behavior as vain and offensive","видит тех, кто стремится поддерживать достойное и правильное поведение, тщеславными и неприятными"
"lost a hist fig entry","потеряна запись ист. фиг."
" own appearance, abilities and other personal matters"," собственных талантов, способностей и внешнего вида"
"discourse on the nature of processes","рассуждения о сущности процессов"
"Ah...  uh...","Ах... ох..."
"The main way is by brewing alcohol. ","Основной способ - варка алкоголя. "
"An item has returned!","Предмет вернулся!"
"has a clear voice","имеет чистый голос"
"I slew ","Я убил "
"Drowned","Утонул"
"Finish setting dig orders.","Скрыть приказы на копание"
"Tavern keeper","Трактирщик"
"Describe the refugees created by the attack of ","Рассказать о беженцах от атаки "
"Available Animals","Доступные животные"
"Economy trade trigger 4","Триггер экономики от торговли 4"
" out."," над собой."
"the Atlas","Атлас"
"Two ","Двух "
"Haunted","Проклятое"
"Yearly","Ежегодно"
"engineering:machine:chariot odometer","инженерия:машины:одометр"
"Burned to death by a ","Сожжён заживо "
" on the "," на "
"Give a sermon concerning a cosmic principle","Произнести проповедь о космическом принципе"
"  Perhaps you can gather plants, fruit, or go fishing.","  Пожалуй, вы сможете собирать растения, фрукты или отправиться на рыбалку."
"The rules of the form are applied by choreographers to produce individual dances which can be performed.  ","Правила этой формы применяются хореографами для создания отдельных танцев, которые могут быть исполнены. "
" has been lost to time"," была потеряна во времени"
"trader","торговец"
"considers ","считает "
"the Course of Disease","Течение заболеваний"
"Are you interested in ","Вы заинтересованы в "
"Violation of production order","Нарушение порядка производства"
"caging a creature","заключённое существо в клетку"
"noted villain","признанный злодей"
"Choose a symbol for the detail.","Выберите символ для детали."
"witnessing a night creature drinking blood","наблюдал за ночным существом, пьющее кровь"
"chant","распеваете"
"a claimant for ","претендент на "
"lye","щёлок"
"Can your parameters achieve elevations between 0 and 99 frequently?  ","Могут ли ваши параметры часто достигать высот между 0 и 99?  "
"the relationship between the half chords of a triangle's angles, the opposite side lengths, and the diameter of the triangle's circumscribed circle","отношение между половинами хорд углов треугольника, длин противолежащих сторон и диаметра описанной около треугольника окружности"
"Named objects","Названное"
"  All drinks are free, of course!"," Конечно же, все напитки бесплатны!"
"square-chin","квадратный подбородок"
"       --> Swayed by emotions","             -> Эмоциональный"
"Mathematician","Математик"
" prepared by "," приготовлен "
"Bring up ","Поднять вопрос "
"Cannot see dawn.","Нельзя увидеть рассвет."
"Unsupported CE remove tag: ","Неподдерживаемый тег удаления CE: "
"clerks","клерки"
"removed erroneous unit occupancy flag","удален ошибочный флаг занятости юнит"
"a bridge-passage","переходной пассаж"
"this location","это место"
"Local resident creature named","Местное существо названо"
"melt","таять"
"Move the cursor to view and press ","Передвигайте курсор, чтобы просмотреть и нажмите "
"Tint cloth ","Тонировать ткань "
"a stunning lack of analytical ability","поразительное отсутствие аналитических способностей"
"Ask about available services, drinks, rooms, etc.","Спросить об услугах, напитках, комнатах и т.д."
" coughs"," кашляет"
"[C:6:0:0].Serious blistering","[C:6:0:0].Серьезные волдыри"
"just fine","очень хорошо"
"impersonate","притвориться"
"engineering:optics:law of refraction","инженерия:оптика:закон преломления"
"Come see me in my store sometime.","Как-нибудь приходите ко мне в магазин."
"Somebody discussed their problems with me.","Кто-то поговорил о своих проблемах со мной."
"Grassland region count fails by ","Количество луговых регионов недостижимо по причине "
"caught in smoke","попал в дым"
"Toggle Fullscreen","Переключить полный экран"
"What will you say about the gang?","Что вы скажете об этой банде?"
"Really disband?","Действительно распустить?"
"examples of triples of very large whole numbers which, when taken together, are the lengths of the sides of a right triangle","примеры троек очень больших целых чисел, которые являются длинами сторон прямоугольных треугольников"
"lash","плеть"
"Removing dumping designations","Снять отметку на выброс"
"thread to","нить для"
"Non-assertive <-> Overbearing","Ненапористый   <->   Властный"
"Loss","Потеря"
"Seek Eating Chair","Искать Стул для Еды"
"more humorless","более серьёзный"
"Acknowledge lack of exhilaration","Признать недостаточную возбуждённость"
"friendly fighter","дружеский боец"
":neck:necks",":гриф:грифы"
"Recovering Wounded","Уход за ранеными"
"determining the likely outcome given a patient's current status","прогнозирование будущего состояния пациента по его текущему состоянию"
"Opal","опала"
"inorganic","неорганика"
"Terror","Ужас"
"Place carpenter's workshop","Разметьте мастерскую плотника"
"State feelings of emptiness","Выразить чувство пустоты"
"All of the pipes are flue pipes.  ","Все трубки являются лабиальными. "
"is often nervous","часто нервничает"
"is absorbed in delusions of self-importance","купается в мании величия"
"power","сила"
"cheer propensity","ура. склонность"
"famous for your loyalty as a soldier","известен своей верностью солдата"
"Start War","Начать войну"
"Industry","производстве"
"deeply respects those that work hard at their labors","глубоко уважает тех, кто упорно трудится на своей работе"
" and more regrow!"," и отрастает!"
"You have only heard tell of these creatures.","Вы только слышали об этих существах."
"Refuse invitation to join ","Отказаться от приглашения присоединиться к "
" to study"," чтобы заниматься наукой"
"It's quite astonishing.","Это довольно удивительно."
"preserver of knowledge","хранитель знаний"
"account","счет"
" rejected contact with "," отклонил контакт с "
"State feelings of ferocity","Выразить чувство жестокости"
