"more presumptious","更加自以为是"
"is very weak","非常弱"
"Climate","气候"
"drinking blood","喝血"
" (not possible)"," (不可能的)"
"Select a merchant group to trade with:","选择一个商队来交易:"
"Ruined hillocks","废弃的小山丘"
"State feelings of outrage","陈述愤怒情绪"
"dyeable ","可染 "
"the dispute between ","之间的争执 "
"I am beside myself with grief.  Perhaps we will show you how they suffered.","我在一旁悲痛不已. 也许我们能让你尝尝他们的痛苦. "
"is muscular and very broad","肌肉发达,非常宽大"
" a solemn"," 一个庄严的"
" own nature as "," 作为自己的本性 "
"the construction and use of the water wheel","水轮的构造和使用"
"What's going on?!","这是怎么回事?!"
"Keep","保持"
" has self-referential diplomacy state"," 有自我指涉外交国家"
"Everybody does this","每个人都这样做"
"philosophy:ethics:applied military","哲学:伦理学:应用军事"
" completely paralyzed!"," 完全麻痹!"
"Slayer of ","杀手之于 "
"being forced to endure the decay of a spouse","被迫忍受配偶的腐朽"
"the Wheel-and-Axles","轮轴"
"Your citizens will collect clay at this zone if a clay floor or clay wall is included.  This task is initiated manually at the kiln.","如果包括粘土地面或粘土墙,你的公民将在这个区域收集粘土.  这个任务是在窑洞里手动启动的. "
"Popup: Hauling","弹窗:运输"
"for the purpose of","为了"
" engaged me to infiltrate "," 雇我去渗透 "
"the Rank","排名"
"Hillock","岗"
"[C:7:0:0:]Diagnosed with ","[C:7:0:0:]被诊断为 "
" pushes "," 推 "
"magma sea","岩浆海"
" not found -- using default."," 找不到 - 使用默认值. "
"    --> Tolerates differences"," --> 容忍差异"
"Friendly fighter","友军"
" a cloud of "," 一团 "
"Arena: Conflict state up","演武场:冲突烈度上升"
"more austere","更严峻"
"The lyrics of the accompaniment are way too serious.","伴奏的歌词太严肃了. "
"septuplets","七胞胎"
"Time","时间"
"is rarely happy or enthusiastic","很少表现出开心或热情的情绪"
"The vomit splatters into the shallow puddle of water.","呕吐物溅入浅水坑中. "
"Unnamed dump","未命名丢弃区"
"has a broad, recessed","宽阔而凹陷的"
"while ","而 "
"a horrible dining room","一个可怕的餐厅"
"Clean","清洗"
" concerning "," 关于 "
"And what exactly do you want?","你究竟想要什么?"
"a specific wilderness region","一个特定的荒野地区"
"I feel so isolated!","我觉得很孤立!"
"Cups/Mugs/Goblets","杯子/马克杯/高脚杯"
"It's wrong.","这是不对的. "
"A drone string is","琴弦是"
"is muscular and incredibly tall","肌肉发达,身高惊人"
"make weapon","制造武器"
"began dreaming of falling in love","开始梦想坠入爱河"
"tomb","墓"
"the Effect","效果"
"No designated area","没有指定区域"
"jovial","快活"
" finished the construction of "," 完成了建设 "
"No charge attack: you are on a projectile","无电荷攻击:你正处于弹丸上"
"Track (NSE)","轨道(东南北)"
"Unnamed office","未命名办公室"
"mechanical clocks","机械钟"
"second eldest child","第二个大孩子"
"state bias","国家偏见"
"Seek Fish Trap","寻找鱼陷阱"
"The topic being discussed is ","正在讨论的主题是 "
"Saving schedules...","保存时间表......"
"Hunter","猎人"
"Alternatively, you can reduce the number of ocean squares and regions required by the parameters.","或者,您可以减少参数所需的海洋方块和区域的数量. "
"Taken by a fright!","被吓坏了!"
"Your Animals","你的动物"
"Scheduled Meal","预定膳食"
"You have been ordered to drive these forces out.","你奉命把这些部队赶出去. "
"medicine:tool:forceps","医学:工具:镊子"
"Set the weather, temperature, and time.","设置季节,温度,和时间"
"the classification of creatures by their physical features","根据生物的身体特征对其进行分类"
"nerves","神经"
"Somebody help!","有人帮忙!"
"Noted fighter","著名的战士"
", to be delivered from ",",交付通过 "
"That is amazing.","这是惊人的. "
"Every note is named.  ","每个音符都被命名.  "
" by a flying object"," 由飞行物体"
"beating somebody with a hammer","用锤子殴打"
"law-givers","法律度外"
" is gelded.  "," 被阉割了.  "
"Overall, the choreography is great","总的来说,编舞很棒"
"Put on item","穿上物品"
"barons consort","男爵夫人"
"Export XML","导出XML"
"Select a category below to begin.","选择下面的一个类别开始. "
"You hear ","你听 "
"Acknowledge lack of isolation","承认缺乏孤立"
" BP Mod "," 身体部件修改 "
"the Peaks","山顶"
"Have they gone on adventures or moved on to richer delving at new frontier settlements? ","他们是去冒险了,还是在新的边疆定居点继续进行更丰富的钻研? "
"Give","给"
"theft","盗窃"
"Plant Gathering","植物采集"
"Yes, let's move on.","是的,让我们继续前进. "
"Removing mining/chopping/gathering/smoothing orders","移除挖掘/砍伐/采集/平滑指令"
"Jubilant","欢腾"
"the ascension","提升"
"medicine:tool:plants as surgical models","医学:工具:植物作为手术模型"
"the Knowledge","知识"
"a performance of ","表现之于 "
"fearlessness","无畏"
" Civilians"," 平民"
"'s annoyed","很恼火"
"Comment on natural surroundings","评论自然环境"
"the theory and methods involved in the extraction of a constituent liquid from one solution to another","从一种溶液到另一种溶液中提取组分液体所涉及的理论和方法"
" have "," 有 "
"every season","每一个季节"
"sexain","性爱"
"Migrants were too nervous to make the journey this season to this unhappy fortress.","移民们太紧张了,无法在这个季节前往这个不幸的堡垒. "
"Performer","表演"
"suspicious","可疑"
"Audio","音频设置"
"agreed to adventure with","同意一起冒险"
"Move keyboard cursor down and right, fast","键盘光标向下和向右移动,快速"
"was killed by falling rocks","被落石杀死了"
"State minor feeling of guilt","状态轻微的内疚感"
"Wait, what?","等等,什么?"
"I was beaten with the hammer.","我被锤子殴打了. "
"Citizen kidnapped","公民被绑架"
"Allow non-plant/animal","允许非植物/动物"
"There is no gaiety.","没有欢乐. "
"mind and body","心灵和身体"
" imprint in the "," 印记在 "
"Create new route","创建新路线"
" reciting"," 背诵"
"There is a basic movement ","有一个基本的运动 "
"Mouse-context scrollbar page up","鼠标-上下文滚动条向上翻页"
" drums "," 鼓 "
"Terrified","非常害怕的"
"finds nature somewhat disturbing","发现自然有点令人不安"
"Be careful, for their leader ","小心他们的首领 "
"Climb down","爬下来"
"wonderful","精彩"
"Disdains craftwork","鄙弃手工艺品"
"dreams of crafting a masterwork someday","梦想有朝一日制作杰作"
"State feelings of bitterness","状态的苦涩"
"bone-chilling horror","令人毛骨悚然的恐怖"
"The world generator is having trouble placing grasslands.  ","世界生成器在放置草原方面遇到了麻烦.  "
"Add or choose a location.","添加或选择一个地点. "
"Clothing","服装"
": Negative precedence changed to zero",":负优先权改为零"
"Tyranny","暴政"
"tastefully arranged ","高雅的安排 "
" attack "," 攻击 "
"Animal Survival","动物生存"
"Ice Upward Track (NW)","冰上行轨道(西北方向)"
"bowyer","弩匠"
" line."," 线. "
"Crutches (Desired): ","拐杖(所需): "
"Creatures do not trigger","生物不会触发"
"Large Profile","大型 Profile"
"unbreakable focus","牢不可破的集中力"
"animated","动画"
" gets excited, "," 变得激动 "
"                 --> Vengeful"," --> 复仇"
"It has no writing.","上面没有字. "
"Climb to ","爬升至 "
" introduction"," 介绍"
"I do not scheme.","我不搞阴谋. "
"the reasons why the wedge is effective","楔子有效的原因"
"Geographer","地理学"
" family"," 家庭"
"Seek infant","寻找婴儿"
"You are considered an integral part of the opposition.","你被认为是反对派不可分割的一部分. "
"the rise of the sun according to the season","根据季节,太阳升起"
" have been disturbed."," 一直不安. "
"doubt","怀疑"
"is short and scrawny","又矮又骨肉如柴"
"I've forgotten what I was going to say...","我忘记了我要说的话......"
"Rebuilding temporary information...","重建临时信息......"
"engineering:machine:warded lock","工程学:机械:暗锁"
"unfathomably weak","不可思议地瘦弱"
" destroyed "," 摧毁 "
"Anatomies","解剖"
"I give to you this fine beast, ","我把这只优秀的野兽送给你, "
"State your amusement","陈述您的娱乐活动"
" passive"," 被动"
"Select materials for the ","选择材料用于 "
"I really enjoyed that!","我真的很喜欢!"
"as part of a trade negotiation","作为贸易谈判的一部分"
"infamous thief","臭名昭着的小偷"
"Built","建立"
"assign schedules.","指派时间表"
" is gone.  "," 已经消失了.  "
"Watch ","观看 "
" Logs"," 日志"
"chemistry:laboratory:glass ampoule","化学:实验室:玻璃安瓿瓶"
"The Home Tree","Home Tree (家园树)"
"animals","动物"
" and maybe something to drink as well!"," 也许还有一些东西可以喝!"
"improved skill","提高技能"
"has a broad body","具有广泛的身体"
"Thread (yarn)","细线(纱线)"
"noted enemy","著名的敌人"
"begins to talk louder when ","开始大声说话 "
"decomposing","分解"
"bring peace to the world","为世界带来和平"
"I can now reside in ","我现在可以住在 "
"I'm very worried.","我很担心"
"degrees of the octave scale","八度音阶"
"This is a masterpiece.","这是一部杰作. "
"pressing keys to stop holes","按键停止打孔"
"a legendary hero","一位传奇的英雄"
"an improvised recital of ","即兴表演 "
" attack with "," 攻击 "
"less anger-prone","不那么容易生气"
"known loyal soldier","知名的忠诚士兵"
"Cleaning","清洁的"
"Legendary thief","传奇盗贼"
"Unprepared fish","未经处理的鱼"
"chews ","嚼 "
"under","之下"
"failed mood","失败的心情"
"Taken by mood","迷失了心智"
"Shocked","惊呆"
"several","一些"
"Demand the listener's identity","要求侦听者的身份"
"Slaughter ","屠宰 "
"blacksmith shop (64,64,64)","铁匠铺 (64,64,64)"
" as the plot unfolded, "," 随着剧情的展开.  "
"Spatial Sense","空间感"
" were"," 是"
"to make a concession","作出让步"
"Delayed repeat","延迟重复"
"Percussion Instrument","打击乐器"
"addition of masterful spikes","增加了精湛的尖头"
"the sight of ","目击 "
"drinking slime","喝泥"
"I am so nervous!","我很紧张!"
"has a very broad body but it is frail","身体很宽,但很虚弱"
" mind about things"," 关心事物"
"You are thinking about this all wrong.","你在考虑这一切都是错的. "
"being unable to find a hammer","无法找到一个锤子"
"Large instruments must be placed in taverns or temples before they will be used.  These instruments must be assembled at a workshop first.","大型仪器在使用前必须放在酒馆或寺庙中.  这些乐器必须先在工场进行组装. "
"finds sacrifice to be the height of folly","认为牺牲是最愚蠢的行为"
"medicine:theory:surgical models","医学:理论:手术模型"
"Accept equipment","接受设备"
"quite clumsy","很笨拙"
"Surveying and War","测量和战争"
"swamps","沼泽"
"astonishment","惊讶"
"Your citizens will sleep in bedrooms.  It should include a bed!  Try to enclose it with walls and/or doors.  Do not overlap with other rooms.","你的公民将睡在卧室里.  它应该包括一张床! 尝试用墙壁和/或门将其封闭.  (不能与其他房间重叠)"
"This worker is specialized and will only do tasks that match their workshop assignments, work details, and occupations.  Click to toggle.","这是个专职工人,只会做与车间分配, 工作细节和职业相匹配的任务. 单击可切换. "
"the warded lock","被锁定的锁"
"An animal was convicted of a crime.","一只动物被定罪. "
"the struggle for survival among creatures","生物之间的生存斗争"
"Druid","德鲁伊"
"State feelings of hopelessness","陈述绝望感"
"Undead attack","亡灵攻击"
"The musician cannot control the volume.  ","音乐家不能控制音量.  "
"the pit","坑"
"No weapon","没有武器"
"Saving work quotas...","保存工作配额......"
"Musicality","音乐性"
"left site","离开站点"
"finds the idea of laws abhorrent","发现法律的概念令人憎恶"
"a special occasion","一个特殊的场合"
"Anybody that sticks to something a moment longer than they have to is an idiot.","任何坚持比他们需要更长时间的人都是白痴. "
"thrill","快感"
"medicine:tool:herbal remedies","医学:工具:草药"
"I am now part of ","我现在是其中的一员 "
"[C:5:0:1]Thirsty","[C:5:0:1]口渴"
"Millstone","机械石磨"
"known ally","知名的盟友"
"Ask to become a ","申请成为 "
"Meager Quarters","微薄的宿舍"
"stranger sneaking around","陌生人在附近潜伏"
"a tavern","一个小酒馆"
"charges","管治"
"is a monument to concision","是一个简洁的纪念碑"
"a lack of introspection for too long","久而不省"
"Long live the cause!","事业万岁!"
"metal craft shop sign","金属工艺品店标志"
"State opinion that it is not your problem","陈述这不是您的问题"
"is tall and muscular","身材高大,肌肉发达"
"emotionless","无情"
"games of chance","机会游戏"
"Megabeasts can attack","巨兽会发动袭击"
" miss "," 错过 "
"State feelings of patience","陈述耐心的感觉"
"The fortress attracted no migrants this season.","这个季度堡垒没有吸引移民. "
"the concept of hunting","狩猎的概念"
"iambic","咏叹调"
"Has a horrible fell look!","看起来很糟糕!"
" created."," 已创建. "
"Tantrum","发脾气"
"Minecart routes","矿车轨道"
"round-chinned","圆头的"
"which contains ","包含 "
"Last I heard, I had it.","最后我听说,我有它. "
"I'm very patient.","我很耐心. "
"Lower ","降低 "
"Very drowsy","很困"
"underground guilds (20,100,20)","地下行会 (20,100,20)"
" surprised"," 诧异"
" for their "," 他们的 "
"We elves are partial in particular to the trees in the forests surrounding your lands.","我们精灵特别偏爱你们土地周围森林里的树木. "
" passionate"," 多情"
"State feelings of gloom","状态 悲观"
"Overview","概述"
", layer ",",层 "
"believes that it would be a fine thing if all time were leisure time","认为如果每时每刻都是闲适的,那便再好不过了"
"Crossbow-making","制弩"
"hung from a ","挂在 "
"after an adoption","收养后"
"Forced wild attack: enraged","强制野攻击:愤怒"
"sharing a personal insight with somebody","分享某人的一个个人见解"
"has a habit of tapping ","有轻拍的习惯 "
"What will you say about the site's foundation?","您对该定居点的基础有何看法?"
"soap body part","肥皂身体部件"
"is incredibly tall with strong muscles and some fat","身材高大,肌肉结实,有一定的脂肪. "
"Focused!","关注!"
"is emotionally obsessive, forming life-long attachments even if they aren't reciprocated","对情感很着迷,即使得不到回报也会形成终生依恋"
"dusting","喷粉"
"Pit/pond","水坑/池塘"
"accepts favors without developing a sense of obligation, preferring to act as the current situation demands","接受帮助而不产生义务感,更愿意按照当前情况的要求行事"
"Axe Lord","战斧之主"
" encourages it whenever possible"," 尽可能地鼓励它"
"Fell ","下跌 "
"Failed to find vanilla bodies header.","未能找到vanilla机构的头. "
"Theft","盗窃"
" to present"," 展示"
"Not enough medium altitudes after shift up","移位后的中等高度不够"
"after practicing a martial art","练习武术后"
"the Prestige","声望"
"Suturer","缝合医师"
", but there is no force!",",但没有力量!"
"refraction","折射率"
"an iffy sense for music","对音乐的敏锐感觉"
"after acquiring something","获得一些东西后"
"learned dance form","学习舞蹈形式"
"the bizarre conviction against all reason of the victim of a crime","对犯罪受害者的所有理由的奇怪信念"
"Reason","原因"
"Respects you","尊重您"
"Temperate Grassland","温带草原"
" after an insurrection"," 起义后"
"knowledge","知识"
"the Elements","元素"
"difficulty with words and language","交流书写困难"
"naturalist:theory:comparative anatomy","自然学:理论:比较解剖学"
"action","行动"
"to make an apology","赔礼道歉"
" fractured.  "," 断裂.  "
"There is a tomb","有一座坟墓"
"Burial Receptacle","墓葬容器"
"New legwear","新腿装"
"Mead hall","蜂蜜酒厅"
"Noted monster","著名的怪物"
"a feel for music","有乐感的"
"disease","疾病"
"Make metal bars from ore here.  Can also refine coal into usable fuel or make alloys.  Magma below the smelter will power tasks.  You are responsible for placing the smelter above the magma, but no other fuel is required.","在这里用矿石制作金属条.  也可以将煤提炼成可用的燃料或制造合金.  冶炼厂下面的岩浆将为任务提供动力.  你要负责将冶炼厂放在岩浆之上,但不需要其他燃料. "
"chancellor","大臣"
"began hunting great beasts","开始狩猎大兽"
"doesn't have a preference between tranquility and tumult","在宁静和骚动之间没有偏好"
"No charge attack: target too far away","无电荷攻击:目标太远"
" roam freely out there."," 在那里自由地漫游. "
" which grew out of the performances of "," 它的成长源于 "
"Go to Combat Training","进行战斗训练"
" official"," 官方的"
"a lack of trouble-making for too long","太久没有制造麻烦"
"a wrestling competition","一场摔跤比赛"
"State opinion that it must be stopped with violent force","必须以暴力制止它的国家意见"
"! marks the primary accent, ","!标志着主要口音, "
"   * Destroys colony"," *破坏殖民地"
" sick!"," 恶心!"
"Low Precision","低精度"
"Young ","年轻的 "
"New bodywear","新体装"
"I'm really restless.","我真的很焦躁不安. "
"held sway.","掌握了. "
"I am wearing old clothes.","我穿着旧衣服. "
"Toward you: ","朝你: "
"is a pessimist","是个悲观主义者"
" natural tendencies"," 自然倾向"
"is very large and just incredibly fat","身材庞大脑满肠肥"
" in charge of "," 负责 "
"the Quadratic Formula","二次公式"
"slightly upturned","微微上翘"
"engineering:machine:water-powered trip hammer","工程学:机械:水碓"
"has a broad body with very little fat","身体宽大,脂肪少"
"Removing Stones","移开石块"
"Harvest plants","收获庄稼"
"the classification of bodily fluids","体液的分类"
"Exasperated","愤怒"
"As stated above, they are to be played in polymeter.  ","如上所述,它们将以千分尺播放.  "
"Legendary intruder","传奇侵略者"
"apprenticeship","学徒"
"rising","升起"
"A smear of ","一滴 "
"descends to a rant in places","在某些地方咆哮"
"spurning the value of cooperation","藐视合作的价值"
"a horribly substandard dining room","一个可怕的不合标准的餐厅"
"the Criminals","罪犯"
"Incoming: ","传入: "
"Scout","侦查员"
" being flayed by "," 被剥皮了 "
"Soldier","士兵"
"Fail the struggle against great mortification","在与大屈辱的斗争中失败"
"There's absolutely nothing interesting around here.","这里绝对没有什么有趣的. "
"hope","希望"
"I am a prisoner of ","我是囚徒 "
"Peasant","平民"
"leader","领导"
"Economy trade trigger 5","经济贸易触发5"
"a story recital","讲故事"
"methods for performing experiments systematically in the laboratory","在实验室中系统地进行实验的方法"
"is broad-bodied and very fat","身材宽大,非常肥胖"
"Religious persecutor","宗教迫害者"
"[C:3:0:1].Complete numbness","[C:3:0:1].完全麻痹"
"the Diplomat","外交官"
" pulls out and "," 拉出来并 "
"straight-lined","直接穿透"
"doing nothing creative for so long","久而久之不思进取"
"Zoom out from the play area.","缩小游玩区域. "
"Refer listener to somebody older","将 listener 推荐给年长的人"
"Do they have a firm grip on these lands?","他们是否牢牢守住这些土地?"
"How will you respond about your profession?","您将如何看待您的职业?"
" pipes.  "," 管乐器.  "
"That was a worthy hunt.","这是值得追捕的. "
"the Faith","信仰"
"How enjoyable!","多么愉快啊!"
"troublemaker","捣蛋 鬼"
" was conquered"," 被征服了"
"known treasure hunter","知名的寻宝者"
"have very thin irises","虹膜很薄"
"systematic experiments","系统性实验"
"Yes, master.  Ask and I shall obey.","是的主人. 尽管吩咐,我会服从. "
"Schemes","计划"
"Play with ","玩 "
"the Path","路径"
"in order to make nightmares reality","为了使噩梦更现实"
"Press the argument","按参数"
"do not have enough armor stands","没有足够的装甲架"
"mathematics:geometry:angle sum difference trig identities","数学:几何:角和差分三角恒等式"
" of these creatures."," 这些生物的. "
"Autosave","自动存档"
"I am ","我是 "
"There is no bucket.","无水桶"
"insurrection","起义"
"Sand Zone","沙区"
"Saving identities...","保存身份......"
"exile","流亡"
"long","长"
"Arena: Fluids, remove","演武场:液体,去除"
"State feelings of great outrage","陈述极度愤怒的情绪"
"State minor feeling of excitement","状态轻微的兴奋感"
"This is mortifying.","这令人沮丧. "
"horrified","吓坏了"
"Choose a vehicle for ","选择一个载具为 "
"The absence of ","缺少 "
"Not yet completed","尚未完成"
"Wall Grate","墙面格栅"
"Harumph!","哼!"
"Animal Remedies","动物疗法"
"Loading data needed to create new world","加载创建新世界所需的数据"
"Boss","头目"
"traitor","叛徒"
"intruder","侵入者"
" power to avoid excitement and stress"," 力量去避免兴奋和压力"
"sow the seeds of chaos in the world","在这个世界播下混乱的种子"
" intently when "," 认真的时候 "
"Failed to find vanilla descriptors graphics header.","未能找到香草描述符的图形头. "
"Stockpile","存储区域"
"Butcher an animal","屠宰动物"
"Acknowledge lack of agony","承认没有痛苦"
"a formula which solves quadratic equations","二次方程的解题公式"
"the fruit and vegetable market","水果和蔬菜市场"
" to be a holy city"," 成为一个圣洁的城市"
"Track playing: ","正在播放: "
"The world has passed into ","世界已经成为 "
"the Water Cycle","水循环"
"sell","卖"
"Choose your tone/tact","选择你的语气/节拍"
"Trade how many? (0-","交易多少?(0-"
"Tropical Saltwater Pool","热带咸水池"
"mysterious","神秘的"
"task","任务"
" Notable Kill"," 值得注意的杀戮"
"State feelings of great insult","陈述 极大的侮辱感情"
"The horror consumes me!","恐怖消耗了我!"
"invite","邀请"
" in a fetal position"," 处于胎部的位置"
"Adventure automove","冒险自动移动"
"[C:4:0:1]Bleeding","[C:4:0:1]失血"
"Cheese (plant)","奶酪(植物)"
"Cannot generate random creatures -- missing body gloss ","无法生成随机生物 -- 缺少身体光泽 "
"the theory of epidemic disease","流行病学理论"
"being unable to practice a martial art for too long","太久不能练武"
" in order to have someone to act on plots and schemes in "," 以便有人在情节和计划上采取行动在 "
" the marks of numerous old wounds, the chief among them"," 许多旧伤的痕迹,其中最主要的"
"in order to cement the bonds of friendship","为了巩固友谊的纽带"
"seat of power","权力所在地"
"Acids and Alkalis","酸和碱"
"Chair","椅子"
" feels intellectually that life should be more tumultuous"," 从理智上说,生活应该更加激烈"
"was naturally inclined to speak","自然而然地就倾向于说"
"very bad analytical abilities","非常糟糕的分析能力"
" of the first theme"," 关于第一个主题"
"State minor feeling of empathy","状态轻微的同理心"
"[C:4:0:1]Cannot breathe","[C:4:0:1]无法呼吸"
"Which pet will you gift?","你会送哪只宠物呢?"
"Say that you don't remember","说你不记得"
"skillful ","娴熟的 "
"Disdains introspection","鄙弃自省"
"the adversary's abuse of the aggressor's fallen","敌人疯狂侵略我们"
"forces","力量"
"Notation","表示法"
" recognized "," 公认的 "
" crafts"," 手工艺"
"the use of a distance scale in the creation of maps","在绘制地图时使用距离标尺"
"are now quite knowledgeable ","现在知识渊博 "
"Make sure your parameters and presets offer enough low-to-mid savagery, evil/good appropriate, biome appropriate squares to establish sites.  ","确保你的参数和预设可以提供足够程度的低/中野蛮, 邪恶/善良, 生物群落的适当方块来建立站点.  "
"State minor feeling of enthusiasm","状态轻微的热情"
"Tenderness","触痛"
" part, the "," 部分, "
"exceptional ","优秀 "
"rewards","奖励"
"Desired metal cages and chains in dungeons: ","希望在地牢里有金属笼子和铁链: "
"a dance form","一种舞蹈形式"
"State feelings of disappointment","陈述失望的感觉"
"A great piece of art is one that moves me.","一件伟大的艺术品让我感动. "
"on ","上 "
"boiled","煮沸"
"Toggle whether the soldiers will store their individually assigned weapons and armor here.","切换士兵是否会在这里存放他们单独分配的武器和盔甲. "
"Minimum Mountain Peak Number","最低山峰数"
"performers","演员"
"no sense for spatial relationships","毫无空间感"
"Ice Downward Track (EW)","冰下行轨道(正东偏西)"
"The impertinent vegetation has defaced a ","野蛮生长损毁了 "
"Ambush","埋伏"
"is very small yet with huge slabs of lard and muscle","非常小,但有着巨量肥油和肌肉块"
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. ","如果这是你第一次游玩. 请仔细检查含水层,咸水和其他灾害的警告.  "
" harms the creature."," 伤害这个生物. "
"Administrators handle various aspects of your fortress and can be reassigned. Many administrators also require rooms.","管理员打理您的堡垒的方方面面,并且可被重新分配. 还有许多管理员需要房间. "
"A lowly group of outcasts have perpetrated enough crimes against our community to gain notice.","一小群被抛弃的人已经对我们的社区犯下足够的罪行以获得通知. "
"Not enough medium altitudes","没有足够的中等高度"
"a flying race","一场飞行比赛"
"guildhall petition ignored","行会请愿被忽视"
" with threats of violence"," 暴力威胁"
"Fail the struggle against great alarm","在巨大的警报中失败"
" rarely talks"," 很少会谈"
"Deep underground, the promise of treasure and the thrill of overcoming danger have lured you back to this place.  Will you strike the earth again?","在地下深处,宝藏的承诺和克服危险的快感引诱你回到这个地方.  你会再次震天撼地吗?"
"Overall, the poetry is passable","总的来说,诗歌是可以接受的"
" curved walk"," 曲步"
"lemur","狐猴"
"Citizen overwhelmed by stress","被压力压得喘不过气来的公民"
"No hands to pick up","没有手可以拿起"
"the Spherical Astrolabe","球形星盘"
"is incredibly long and muscular","是令人难以置信的修长和肌肉的"
"Clean Building Site","清洁建筑工地"
"legendary information source","传奇级情报源"
"Former mercenary","前雇佣兵"
"Stonecutting","凿岩"
"Trauma","创伤"
"delta formation","三角洲的形成"
"well-crafted","精心制作的"
"a cottage plot","一块宅院地基"
"outraged","愤怒"
"I talked to my sibling.","我和我的兄弟姐妹说过话. "
"It's irritating.","这太刺激了. "
"Make a flattering remark","说个谄媚的话"
"reunited with hf","与之重聚"
"the Dark Fortress","黑暗的堡垒"
"Profession change","职业变更"
"Dig channel","挖渠"
"Arena: Weather","演武场:天气"
"a deity","一个神"
"Express outrage over dismissal","对解雇表示愤怒"
"I heard that there was an incident.","我听说有一件事. "
"Cavern Layer Openness Max","洞穴层开放度最大值"
"the things some people think just boggle the mind.","这些事有些人认为只会让人头脑发昏. "
"obese","肥胖"
"Slayer","杀手"
"independently discovered","独立发现"
"You are amazing.","你很了不起. "
" to hunt"," 打猎"
"the Sun and Moon","太阳和月亮"
"medicine:theory:nervous system function","医学:理论:神经系统功能"
"began dreaming of becoming a legendary warrior","开始梦想成为一名传奇战士"
"State feelings of great jolliness","状态极度快乐的感觉"
"Gladly.  You are now one of my ","乐意. 你现在是我们中的一员 "
"[C:3:0:1]Completely numb","[C:3:0:1]完全麻木"
"stopped being the pet of","不再是宠物了"
"is very muscular if incredibly short","肌肉发达,身材矮小"
"the Light of Day","每日之光"
"Pet owner","宠物主人"
"[C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.","[C:7:0:0]宝石[C:7:0:0]可以在[C:6:0:0]珠宝工坊[C:7:0:0]被[C:3:0:1]切割[C:7:0:0]. 将他们[C:3:0:1]镶嵌[C:7:0:0]在[C:6:0:1]工艺品[C:7:0:0]或者其他物品上来增加更多的价值. "
"You can recognize a priesthood once this is a temple.","当神庙建成后你可以认可一个祭司"
"I'm thirsty.","我口渴. "
"Farm plots","耕地"
"history:sourcing:basic archaeology","历史:来源:基础考古学"
"I feel such lust.","我觉得这样的欲望. "
"witnessed death in incident","在事件中见证了死亡"
"Don't update any","全部不更新"
"Glacier region count fails by ","冰川区域计数失败 "
"Friend of ","朋友之于 "
"wall","壁"
"feeling gaiety","感觉愉快"
" Track (EW)"," 轨道(东西)"
"Dig canceled (wet)","取消挖掘(潮湿)"
"This place could really use some more trouble.","这个地方真的可以使用一些麻烦. "
"Magma Flow","熔岩流动"
"Never","从不"
"less trusting","不那么信任"
"tends to make a small mess with ","往往会弄得一团糟 "
"Set the conditions for work order activation.  This can involve needed materials, the current stock of products, or the completion of other work orders.","设置工单激活的条件. 这可能涉及所需材料, 当前产品库存或其他工单的完成情况. "
"State feelings of great sympathy","表达极大的同情"
"is very fast","非常快"
" after the horrible mismanagement of "," 在可怕的管理不善之后 "
"drops","滴下"
" drone pipes"," 无人机管道"
"Set this entry to recenter on the current view.","设置此条目以在当前视图上重新定位. "
"This does not move me.","这不会让我感动. "
"Job overwritten","作业已覆盖"
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","设置这个库存可以使用多少个桶, 箱和手推车. "
"With what do you want to interact?","您希望与什么交互?"
"shared","共享"
"interpersonal ethics","人际道德"
"the reasons why the wheel-and-axle construction is effective","轮轴结构有效的原因"
"confusion","混乱"
"  I require it as a symbol of the "," 我要求它作为象征之于 "
" work as "," 当 "
"Never lose yourself in loyalty.  You know what is best for yourself.","永远不要失去忠诚度. 你知道什么是最适合自己的. "
"There is no written content here.","这里没有任何书写内容. "
"the forces","部队"
" centered around the worship of "," 以崇拜为中心 "
"Stone Hauling","石浩陵"
"talking with a friend","和朋友聊天"
"I was reunited with ","我团聚了 "
"Caravans","大篷车"
"Select how squads will use this space.","选择分队如何使用此地. "
"a great hero","一个伟大的英雄"
"proud","骄傲"
"rumored preserver of knowledge","传说中的博学大师"
"Holds elected office","担任民选公职"
"Loading divination sets...","加载预言集"
"The form guides musicians during improvised performances.  ","该表格在即兴表演中指导音乐家.  "
"express","表达"
"A few facts","一些事实"
"Pick up how many? (0-","捡到多少?(0-"
"the Pet","宠物"
"Too insane","太疯狂了"
"The destruction of","的"
"the crankshaft","曲轴"
"I have no idea.","我不知道. "
"You have located ","你找到了 "
"jolly","欢乐"
"No charge attack: you are on a vehicle","无电荷攻击:你在车上"
"not one day ago","不是前一天"
"chemistry:laboratory:glass flask","化学:实验室:玻璃烧瓶"
"Simple","简单"
"Gem mining blueprint","宝石挖掘蓝图"
"pentatonic","五声音阶"
", but those acts bring no forgiveness.",",但这些行为不会给予宽恕. "
"This is a stack of","这是一堆"
