"more presumptious","бўльш зухвалий"
"Grass","Трава"
" pinch"," стискаїте"
"You can then build [C:6:0:0]Walls[C:7:0:0] around the stairs until the leaking water is blocked off. ","Потўм ви можете побудувати [C:6:0:0]Стўни[C:7:0:0] навколо сходўв, поки вода, що просочуїться, не буде перекрита. "
"How incredibly interesting!","Як цўкаво!"
" Chest"," Скриня"
"Warning!  The following embark profile name is already in use:","Увага! Ця назва профўлю спорядження вже використовуїться:"
", a talented commander",", талановитий командир"
"niece","племўнниця"
" masterfully designed"," майстерно зроблений"
"Exhausted","Виснажений"
"based on the [C:3:0:1]Leadership[C:7:0:0] skill and the [C:2:0:1]Social Awareness[C:7:0:0] attribute.","базуїться на навичцў [C:3:0:1]Лўдерство[C:7:0:0] та атрибутў [C:2:0:1]Соцўальна обўзнанўсть[C:7:0:0]."
" arrangements"," домовленостў"
"Surgical Needles","Хўрургўчнў голки"
"lies","брехня"
"Distressed!","Засмучений!"
"See great beast","Побачити великого звўра"
"Use the arrow at the top of this window to minimize the tutorial when it obscures your view. ","Використовуйте стрўлку у верхнўй частинў цього вўкна, щоб згорнути навчання, коли воно заважаї огляду. "
"tiny population","крихўтне населення"
"Saving formations...","Збереження формацўй..."
" to start a new life"," почати нове життя"
"Low stamina","Низька витривалўсть"
"siege operator","облоговий машинўст"
"noted thief","вўдомий злодўй"
"Related to historical figure","Пов'язано з ўсторичною постаттю"
"clear glass ","прозоре скло "
"Demand","Вимагати"
"actively avoids exciting or stressful situations","активно уникаї бентежних або стресових ситуацўй"
"Romance","Романтика"
"Testing Arena (Adventurer)","Тестувальна арена (Авантюрист)"
", authored by ",", автор "
"Values independence","Цўнуї незалежнўсть"
"First Adjective","Перший прикметник"
"Floor","Пўдлога"
"Seek Vermin Hunting Spot","Пошук мўсця полювання на шкўдникўв"
"No available item.","Немаї доступних предметўв."
"Object testing arena","Арена тестування об'їктўв"
" left"," злўва"
"Are you sure you want to delete this active world?","Ви впевненў, що хочете видалити цей активний свўт?"
"Watch Dance","Дивитися танець"
"This is done by building a [C:6:0:0]Still[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Still[C:7:0:0]. ","Це робиться шляхом будўвництва [C:6:0:0]Броварнў[C:7:0:0] з меню [C:5:0:1]Будувати[C:7:0:0], використовуючи [C:5:0:1]Майстернў[C:7:0:0] -> [C:5:0:1]Сўльське господарство[C:7:0:0] -> [C:5:0:1]Броварня[C:7:0:0]. "
" being flayed"," обдирають"
"Noted intruder according","Вўдомий порушник згўдно"
"Workers gather wood","Робўтники збирають деревину"
"I had no room for an official meeting.","У мене не було примўщення для офўцўйно∙ зустрўчў."
" on the second theme"," на другу тему"
"green glass paste","паста з зеленого скла"
"In order to hold [C:6:0:1]Scrolls[C:7:0:0] and [C:6:0:1]Codices[C:7:0:0] you will need [C:6:0:0]Bookcases[C:7:0:0].  You will also need ","Щоб зберўгати [C:6:0:1]Суво∙[C:7:0:0] та [C:6:0:1]Кодекси[C:7:0:0], вам знадобляться [C:6:0:0]Книжковў шафи[C:7:0:0]. Вам також знадобляться "
"Now your [C:2:0:0]Planters[C:7:0:0], those that can access both the [C:6:0:0]Farmplot[C:7:0:0] and the [C:6:0:1]Spawn[C:7:0:0], will plant the field, and after a period of growth, they'll be harvested. ","Тепер вашў [C:2:0:0]Садўвники[C:7:0:0], тў, хто маї доступ як до [C:6:0:0]Грядки[C:7:0:0], так ў до [C:6:0:1]Спори[C:7:0:0], засўють поле, ў пўсля перўоду росту воно буде зўбране. "
"cooking ","готуї "
"eager","нетерплячий"
" improved "," покращено "
"** Starting New Arena **","** Створення ново∙ арени **"
" have married.  Congratulations!"," одружилися. Вўтаїмо!"
"the construction and use of double-acting piston bellows","спорудження та використання двостороннўх поршневих мўхўв"
" began in "," почалося в "
"engineering:machine:theory of screw","engineering:machine:теорўя гвинта"
"Finishing...","Завершення..."
"Disdains leisure time","Зневажаї вўльний час"
"Too many distinct subregions (over by ","Забагато окремих субрегўонўв (перевищення на "
"often touches others during conversations when ","часто торкаїться ўнших пўд час розмов, коли "
"to unpause or use the highlighted controls at the top of the screen.  You should pause regularly starting out.","щоб зняти паузу, або використовуйте видўленў елементи керування вгорў екрана. На початку вам слўд регулярно ставити гру на паузу."
"When you are ready, open the [C:5:0:1]Woodcutting[C:7:0:0] menu and designate the trunk of a tree on the surface.  ","Коли будете готовў, вўдкрийте меню [C:5:0:1]Рубка дерева[C:7:0:0] ў позначте стовбур дерева на поверхнў. "
"you will need to unretire or recruit","вам потрўбно буде скасувати вўдставку або найняти"
"Placed farming entity without orchard crops","Розмўщено аграрну цивўлўзацўю без фруктових культур"
"heard this was the place for those seeking danger.","чув, що це мўсце для тих, хто шукаї небезпек."
" shake"," трясете"
"Wild attack: fast strike, slow recovery, hard but unbalancing/inaccurate","Шалена атака: швидкий удар, повўльне вўдновлення, сильна, але позбавляї рўвноваги / неточна"
"You can recenter on the locations of the announcements. You may also toggle pausing when there is a new announcement.","Ви можете змўнити на мўсця розташування сповўщень. Ви також можете вмикати/вимикати паузу, коли з'являїться нове сповўщення."
"Leave screen","Закрити вўкно"
"legendary loyal soldier","легендарний вўдданий солдат"
"Medicine","Медицина"
"Woodworker","Деревообробник"
"mysterious dungeon","мўстичне пўдземелля"
"northwestern","пўвнўчно-захўдний"
"The "," "
"medicine:method:hernia surgery","медицина:метод:хўрургўя грижў"
"allowed ","дозволив "
"Work orders are used to automate [C:3:0:1]Tasks[C:7:0:0] in [C:6:0:0]Workshops[C:7:0:0]. ","Робочў замовлення використовуються для автоматизацў∙ [C:3:0:1]Завдань[C:7:0:0] у [C:6:0:0]Майстернях[C:7:0:0]. "
"Failed to find vanilla environment header.","Не вдалося знайти заголовок базового середовища."
"Sorting buildings...","Сортування будўвель..."
"the melting of ","плавлення "
"companion","компаньйон"
", the deity of ",", божество "
"engineering:optics:height of atmosphere","engineering:optics:висота атмосфери"
"Fishing Area","Рибальська зона"
"Acquiescing","Покўрний"
"ground amber","перемелений бурштин"
"Greatly respected for protecting the weak","Дуже шанований за захист слабких"
" has mandated the construction of certain goods."," вимагаї випуску певних товарўв."
"Kiln","Пўч для випалу"
"true warrior","справжнўй во∙н"
"Outcast","Вигнанець"
"Night","Нўч"
"the Words","Слова"
"low-cheekboned","ўз низькими вилицями"
"Soap","Мило"
"Play Make Believe","Грати в уявне"
"I like to dress well.","Я люблю гарно вдягатись."
"lock the ways into your fortress.  The ways to build traps are as wild as your imagination. ","заблокувати шляхи до вашо∙ фортецў. Способи будўвництва пасток настўльки ж рўзноманўтнў, як ваша уява. "
"5 years","5 рокўв"
"This is the ","Це "
"marsh","болотний"
" a murderer."," душогуб."
"smoother operation of entity","безперебўйну роботу об'їкта"
"You may also leave a cleared space your tavern-goers will use as a dance floor.  If you have any [C:6:0:1]Musical ","Ви також можете залишити вўльний простўр, який вўдвўдувачў таверни використовуватимуть як танцпол. Якщо у вас ї якўсь [C:6:0:1]Музичнў "
"Most objects that are placed, like [C:6:0:1]Doors[C:7:0:0] and [C:6:0:1]Furniture[C:7:0:0], must first be built in a [C:6:0:0]Workshop[C:7:0:0].  ","Бўльшўсть об'їктўв, якў розмўщуються, як-от [C:6:0:1]Дверў[C:7:0:0] та [C:6:0:1]Меблў[C:7:0:0], спочатку повиннў бути створенў в [C:6:0:0]Майстернў[C:7:0:0].  "
"Potash","Поташ"
"raw green glass","грубе зелене скло"
"No trader needed at depot","Торговець не потрўбен на ринку"
"resentful","ображений"
"themselves","себе"
"Founded/","Засновано/"
"Values tranquility","Цўнуї спокўй"
"You are bound to obey me.","Ти повинен пўдкорятися менў."
"admiration","захоплення"
"Mining continues through new warm stone","Копання триваї крўзь новий теплий камўнь"
"Fort","Форт"
"body level changes","змўни рўвня тўла"
"expectant","сповнений очўкування"
"gelding a creature","кастрацўя ўстоти"
"Civilization: ","Цивўлўзацўя: "
"I shared a personal insight with my mother.","Я подўлилася особистим усвўдомленням зў своїю мамою."
"the surgical method of incision","хўрургўчний метод розрўзу"
"keeps muttering","продовжуї бурмотўти"
"You first, coward!","Ти перший, боягузе!"
"Compressed saves (recommended!)","Стиснутў збереження (рекомендовано!)"
"Cooking","Готування"
"Autumn has come.","Прийшла осўнь."
"Miner destination wiped","Цўль шахтаря скасовано"
"n exceptional"," винятковий"
"Hatches can be placed at the tops of stairwells or above ramps to control movement in the fort when they are forbidden or attached to levers.","Люки можна розмўщувати на вершинах сходових клўток або над пандусами, щоб контролювати пересування фортецею, коли вони заблокованў або пўд'їднанў до важелўв."
"became a ","став <ablt> "
" stands up."," пўдўймаїться."
"Trade Agreement (Exports to ","Торгова угода (Експорт до "
"Popup","Спливаюче вўкно"
"Spear","Спис"
"Mining tasks are designated on the play area.  Begin by clicking the highlighted [C:5:0:1]Mining[C:7:0:0] button.","Завдання на копання позначаються на ўгровўй областў. Почнўть з натискання видўлено∙ кнопки [C:5:0:1]Копання[C:7:0:0]."
"has a large body made larger still by mounds of fat","маї велике тўло, яке стаї ще бўльшим через складки жиру"
"Glass window","Вўкно"
"Free captives belonging to your civilization","Звўльнити бранцўв, що належать до вашо∙ цивўлўзацў∙"
"Tint leather ","Пофарбувати шкўру "
"yard","двўр"
"Leatherworking Pit","Шкўряна яма"
"Generating plants...","Генерування рослин..."
"Moderate","Помўрно"
"Rename this location.","Перейменувати цю локацўю."
"believes that the mastery of a skill is one of the highest pursuits","вважаї, що опанування майстерностў ї одним з найвищих прагнень"
"Animal Training","Дресирування тварин"
"famous comrade","вўдомий товариш"
"If you miss an announcement or would like to review old messages, you can click the indicated button or press ","Якщо ви пропустили сповўщення або хочете переглянути старў повўдомлення, ви можете натиснути вказану кнопку або "
"Nomadic Group","Кочова група"
"The wonder!","Диво!"
"Preferences","Уподобання"
"the Religion","Релўгўя"
"the verse paragraph","вўршований абзац"
"after abducting ","пўсля викрадення "
"Unusable armor","Непридатний обладунок"
"began dreaming of starting a family","почав мрўяти про створення сўм'∙"
"Needs","Потреби"
"the method of collecting and evaluating artifacts to learn about history and culture","метод збирання й оцўнювання артефактўв для вивчення ўсторў∙ та культури"
"return","повернутися"
"'s withdrawal from "," виведення з "
"'s flight"," втеча"
"Make sugar, flour, and various useful slurries here.  Tasks are completed very slowly compared to the powered millstone.","Тут роблять цукор, борошно та рўзноманўтнў кориснў бовтанки. Завдання виконуються дуже повўльно порўвняно з механўчним жорном."
"is tiny overall and in particular incredibly skinny","загалом крихўтна ўстота ў, зокрема, неймовўрно худа"
"children","дўти"
"will be happy that you've slain a dragon, for instance, whether you've received the quest from them or not, and it might be worth ","будуть радў, що ви вбили дракона, наприклад, незалежно вўд того, чи отримали ви квест вўд них, ў це може бути вартим "
"Metal","Метал"
"gratitude","вдячнўсть"
"Bar/Block ","Злиткўв/блокўв "
"wish to trade or to make an offering to our leader?","бажаїте торгувати чи зробити пўдношення нашому лўдеру?"
" body level"," рўвень тўла"
"Cloth (Plant)","Тканина (рослинна)"
"[B]The rhythm system is fundamentally polyrhythmic.  There are always multiple rhythm lines, and each of their bars is played over the same period of time, regardless of the number of beats.  The rhythm lines are thought of as one, without a primary-subordinate relationship, though individual lines can be named.  ","[B]Ритмўчна система ї фундаментально полўритмўчною. У нўй завжди присутнў кўлька ритмўчних лўнўй, ў кожен ∙хнўй такт виконуїться протягом однакового промўжку часу, незалежно вўд кўлькостў ударўв. Ритмўчнў лўнў∙ сприймаються як їдине цўле, без розподўлу на головнў та пўдряднў, хоча окремў лўнў∙ можуть мати власнў назви. "
" collapses into a lump of gore!"," перетворюїться на купу криваво∙ маси!"
"Forbid cages from sprung traps","Заборона клўток зў спрацьованих пасток"
"Stone","Камўнь"
"mechanisms","механўзми"
"Demand period (more = fewer)","Перўод вимог (бўльше = менше)"
"Fearful","Боязкий"
"  we've got "," у нас тут "
" has dyed a masterpiece!"," було пофарбовано шедевр!"
"the Hourglass","Пўсочний годинник"
" attack on "," напад на "
" take"," забираїте"
", where 1 is the tonic, O marks the octave and x marks other notes.  ",", де 1 - тон, O позначаї октаву, а x позначаї ўншў ноти.  "
"It feeds on blood.","Воно харчуїться кров'ю."
"Give in to the Night","Поступитися Ночў"
"Guard Taxes","Податкова охорона"
"The patterns are to be played in the same beat, allowing one to repeat before the other is concluded.  ","Паттерни виконуються в одному ритмў, дозволяючи однўй повторюватися до того, як завершиться ўнша. "
"the throne room","тронний зал"
"Capture and train small animals here.  Requires animal traps.","Ловўть та приручайте тут дрўбних тварин. Потребуї пасток для тварин."
"Constructions","Конструкцў∙"
"Stoneworking Pit","Яма Камнерўза"
"Anxious","Тривожний"
"Custom world name","Власна назва свўту"
"fifth eldest son","п'ятий син"
"Intemperate","Нестриманий"
"there's just no way you can believe something so stupid.","просто неможливо повўрити в таку дурўсть."
"Religion","Релўгўя"
"rancid","прогўрклий"
" artfully deliver"," майстерно виголошуї"
"engineering:fluid:theory of siphon","engineering:fluid:теорўя сифону"
" Seed: "," Зерно: "
"I hate them.","Я ненавиджу ∙х."
"This isn't the time for jubilation.","Зараз не час для трўумфування."
"It was last rumored to be ","Останнў чутки кажуть, що це "
"Soap (Desired): ","Мило (потрўбно): "
"trade from the list on the right.  Then hit [C:5:0:1]""Trade""[C:7:0:0].  The trader will accept if the deal is fair and ","запропонувати в обмўн зў списку праворуч. Потўм натиснўть [C:5:0:1]""Торгувати""[C:7:0:0]. Торговець прийме угоду, якщо вона справедлива ў "
"Cloth (metal)","Тканина (метал)"
"Cleaning stranded objects...","Очистка ўзольованих об'їктўв..."
"autumn","осўнь"
"Interactive tutorial","Ўнтерактивний пўдручник"
"eighth eldest child","восьма дитина"
"rotten","гнилий"
" block "," блокуїте "
"Fool!","Дурень!"
"Disdains independence","Зневажаї незалежнўсть"
"The color ","Колўр "
"Legendary enemy fighter","Легендарний ворожий боїць"
"The signs lead north.","Знаки ведуть на пўвнўч."
"Relations","Вўдносини"
" making a submissive gesture"," робить покўрний жест"
"Main menu","Головне меню"
"Profile ","Профўль "
"because it was destined","бо так було визначено долею"
"gleeful","веселий"
"When your view is in the air above other tiles, you can see them below, but you can only interact with objects in your current elevation.","Коли ваш огляд знаходиться в повўтрў над ўншими клўтинками, ви можете бачити ∙х унизу, але взаїмодўяти можете лише з об'їктами на вашўй поточнўй висотў."
" in the lava"," у лавў"
"the construction and use of the tumbler lock","спорудження та використання сувальдного замка"
"Automatically butcher carcasses","Автоматично забивати тушў"
"The supplies on the wagon are in danger of being carried off by wild creatures!  ","Припаси на возў в небезпецў бути викраденими дикими ўстотами! "
" to sabotage the activities of "," саботувати дўяльнўсть "
" throne"," трон"
"This engraving appears on a wall ","Це вигравування знаходиться на стўнў "
"Prefer zones for fishing","Надавати перевагу зонам для риболовлў"
"Finalizing languages...","Завершення мов..."
"geography","географўя"
"Agreements","Угоди"
"I must practice the fighting arts.","Я мушу практикувати бойовў мистецтва."
" with some others"," з деякими ўншими"
"local ","мўсцевий "
"You can also compose poems, songs, and choreography if you know a relevant art form.  ","Ви також можете складати вўршў, пўснў та хореографўю, якщо знаїте вўдповўдний вид мистецтва. "
"Save and continue playing","Зберегти та продовжити гру"
"Restraint","Прив'язь"
"You need to select the crops to be grown each season. ","Вам потрўбно вибирати культури для вирощування кожного сезону. "
"Hold","Тримати"
"Tropical Saltwater River","Солона рўчка тропўчного поясу"
"wooden ","дерев'яний "
"the peace-making of","миротворчўсть"
"metals","метали"
"Population: ~50","Населення: ~50"
"claims it as an heirloom in the name of the family ancestor ","оголошуї це сўмейною релўквўїю вўд ўменў пращура свого роду "
" civilization of "," цивўлўзацўя "
"became obsessed with an inscrutable goal","зациклився на незбагненнўй метў"
" foot armor"," обладунок для стоп"
"To stop some enemies from entering your fortress use [C:5:0:1]Build[C:7:0:0] -> [C:5:0:1]Machines/fluids[C:7:0:0] -> [C:5:0:1]Lever[C:7:0:0] to build a [C:6:0:0]Lever[C:7:0:0]. ","Щоб зупинити деяких ворогўв вўд проникнення у вашу фортецю, використовуйте [C:5:0:1]Будувати[C:7:0:0] -> [C:5:0:1]Машини/рўдини[C:7:0:0] -> [C:5:0:1]Важўль[C:7:0:0], щоб побудувати [C:6:0:0]Важўль[C:7:0:0]. "
"Cook","Кухар"
"kinds as well as some [C:6:0:1]Rough Gems[C:7:0:0] if you are lucky.","видўв, а також трохи [C:6:0:1]Грубих самоцвўтўв[C:7:0:0], якщо пощастить."
"Struck economic mineral","Знайдено цўнний мўнерал"
"You can also cause trouble if you'd like to raid your neighbors. ","Ви також можете створювати проблеми, якщо хочете пограбувати сво∙х сусўдўв. "
"Competing were ","Учасники змагань "
"fishing labor assigned will begin fishing automatically.","рибальською роботою почне рибалити автоматично."
"Ramps and channels","Пандуси та канали"
"Front Compound","Переднўй складений"
"telling somebody about being trapped here","розповўдаї про те, як опинився тут у пастцў"
"Select a butchery tool.","Виберўть ўнструмент для забою."
"The Night","Нўч"
"my lover","мої кохання"
" starts getting bored"," починаї нудьгувати"
"dialog","дўалог"
"Population: ~200","Населення: ~200"
"Removing traffic designations","Видалення позначок трафўку"
"Move the camera down","Перемўстити камеру вниз"
"surgeon","хўрург"
"triumph","трўумф"
"delighted","втўшений"
"Listen to Story","Слухати ўсторўю"
"Bah!  I hope you aren't celebrating something.","Пху! Сподўваюся, ви тут не святкуїте щось."
", metal armor",", металевў обладунки"
"Thick fog","Густий туман"
"a clothing imports store","крамниця ўмпортного одягу"
"relies on the advice of others during decision making","покладаїться на поради ўнших пўд час прийняття рўшень"
"nothing.","нўчого."
"medicine","медицина"
"the game progresses.  Use the [C:5:0:1]Nobles and administrators[C:7:0:0] menu to check their wants and needs.","у мўру розвитку гри. Використовуйте меню [C:5:0:1]Знать та адмўнўстратори[C:7:0:0], щоб перевўрити ∙хнў бажання та потреби."
" placement of "," розмўщення "
"Link lever","З'їднати важўль"
"Morning","Ранок"
"a mythical dungeon","мўфўчне пўдземелля"
"Assign a training order.  The squad must be assigned to a barracks zone with the training option set.","Призначити наказ на тренування. Загўн необхўдно закрўпити за зоною казарми ўз налаштованим параметром тренувань."
"Cold","Холодний"
"Succumb to the invasion","Поступитися вторгненню"
"Horizontal ","Горизонтальний "
"is shameless, absolutely unfazed by the thoughts of others","безсоромна, абсолютно байдужа до думки ўнших"
"being shot","пострўл"
"Prepare a raw fish","Приготувати сиру рибу"
"Practice fire","Тренувальна стрўльба"
"Will only do assigned tasks","Виконуватиме лише призначенў завдання"
"Start stairway","Почати сходи"
"The [C:5:0:0]Doctor[C:7:0:0] will need a [C:6:0:0]Table[C:7:0:0] to perform surgeries.  Some injuries will require ","[C:5:0:0]Лўкарю[C:7:0:0] знадобиться [C:6:0:0]Стўл[C:7:0:0] для проведення операцўй. Деякў травми вимагатимуть "
"Resident","Мешканець"
"legendarily polite","легендарно ввўчливий"
"a horribly substandard setting","жахливо неякўсне оточення"
"Siege engines","Облоговў машини"
"Peculiarly secretive...","Дивно скритний..."
"Scheduling squads","Планування загонўв"
"[C:1:0:1]Taverns[C:7:0:0] are where your residents gather to drink, socialize, tell stories, and dance. ","[C:1:0:1]Таверни[C:7:0:0] - це мўсця, де вашў мешканцў збираються, щоб випити, поспўлкуватися, розповўсти ўсторў∙ та потанцювати. "
" lose hold of the "," втрчаїте володўння "
"the construction and use of the armillary sphere","спорудження та використання армўлярно∙ сфери"
"Dancer","Танцюрист"
"You can set your gait/speed and other movement options by clicking the indicated button or pressing ","Ви можете встановити свою ходу/швидкўсть та ўншў параметри руху, натискаючи вказану кнопку або "
"the Underworld","пеклў"
"Shapes...","Форми..."
"infamous villain","сумнозвўсний лиходўй"
"You have composed ","Ви написали "
"(unnamed orders)","(безўменний орден)"
"the insurrection","повстання"
"the Rhythm","Ритм"
"Bowmaking","Виготовлення лукўв"
"Unusable weapons","Непридатна зброя"
"biographical dictionary","бўографўчний словник"
" bridge-passage"," перехўдний пасаж"
"Comedian","Комўк"
"blacksmith","коваль"
" aggressive"," агресивний"
"This is disappointing.","Це розчаровуї."
"Locations","Локацў∙"
"being flayed by ","обдираїться "
" my enemy."," мўй ворог."
"Economic stone","Цўнне камўння"
"Brewer","Бровар"
"The writing ","Письмо "
"Lover","Коханець"
"The sermon continues.","Проповўдь триваї."
" Road"," Дорога"
"fifteen","п'ятнадцять"
"thief","крадўй"
"level","рўвень"
"Zany","Блазен"
"Essay","Есе"
" deity"," божество"
"the Insurrection","Заколот"
" chorus"," приспўв"
"You will need to assign a [C:5:0:0]Doctor[C:7:0:0] to the [C:1:0:1]Hospital[C:7:0:0] from the [C:5:0:1]Hospital Info Menu[C:7:0:0]. ","Вам потрўбно буде призначити [C:5:0:0]Лўкаря[C:7:0:0] до [C:1:0:1]Лўкарнў[C:7:0:0] з [C:5:0:1]Ўнформацўйного меню лўкарнў[C:7:0:0]. "
"he","вўн"
"History","Ўсторўя"
"(Select an item to demand)","(Виберўть предмет для вимоги)"
"Tactical mode is on.  You control everybody manually.  Click to control only this character (others will follow you.)","Увўмкнено тактичний режим. Ви керуїте всўма вручну. Натиснўть, щоб керувати лише цим персонажем (ўншў пўдуть за вами)."
"Driftwood","Плавнева деревина"
" is cloven asunder!"," розрубана навпўл!"
"Slow to hate","Повўльно ненавидить"
"Suspend activities in this zone.  Does not remove the zone.","Призупинити дўяльнўсть у цўй зонў. Зону не видалено."
"flowers","квўти"
"legendary ally","легендарний союзник"
"Memories","Спогади"
"went on this journey out of curiosity.","вирушив у цю подорож з цўкавостў."
" is a treasure of "," ї скарбом "
"humiliated","принижений"
" (Tame)"," (Свўйський)"
"What is your identity's profession?","Яка професўя вашо∙ особи?"
" by a dead animal training partner"," померлим пўдопўчним у дресируваннў"
" Shearable Tissue "," Вовнопридатна тканина "
"Saving game","Збереження гри"
"maternal grandfather","дўдусь по матерў"
"other","ўнше"
"Items","Предмети"
"the trip hammer","механўчний молот"
"Economy population trigger 4","Тригер населення економўки 4"
"I was ","Я був "
"Mill plants","Обробка рослин"
"More complicated buildings from wells to powered machine components to levers and floodgates are found here.","Тут знаходяться складнўшў будўвлў - вўд колодязўв ў компонентўв механўзмўв з живленням до важелўв та шлюзўв."
"tends to be swayed by the emotions of others","схильна пўддаватися емоцўям ўнших"
"incense burning","спалювання пахощўв"
"Last known to be traveling","Останнўй вўдомий подорожуючим"
"by adjusting a slide","регулюванням повзунка"
"Migrating group","Мўгруюча група"
"It was inevitable.","Це було неминуче."
"Start tutorial","Розпочати навчання"
"Thread (Silk)","Нитка (шовк)"
"Once the worker is done, click on the building to select it.","Коли робўтник закўнчить, натиснўть на будўвлю, щоб вибрати ∙∙."
"Adjusting Maps","Коригування мап"
"legendary protector of the weak","легендарний захисник слабких"
"If you want to find a relative, ","якщо ви хочете знайти родича, "
"Fisherdwarf","Рибалка-дворф"
"After harvesting plants like the [C:6:0:1]Pigtail[C:7:0:0], first process them at the [C:6:0:0]Farmer's Workshop[C:7:0:0], then ","Пўсля збору таких рослин, як [C:6:0:1]Косинець[C:7:0:0], спочатку обробўть ∙х у [C:6:0:0]Фермерськўй майстернў[C:7:0:0], а потўм "
"laboring","праця"
"Grand guild unit count","Кўлькўсть юнўтўв велико∙ гўльдў∙"
"Genealogy","Генеалогўя"
"wearing tattered clothing","носить лахмўття"
" has brought back a rumor from abroad."," привўз чутку з-за кордону."
" blocks "," блокуї "
"It is recommended that you prepare a squad and get them training as soon as you can. ","Рекомендуїться пўдготувати загўн ў розпочати його тренування якомога швидше. "
"visiting","вўдвўдуї"
"the method of writing a biography of oneself, particularly as it concerns a military campaign or adventure","метод написання автобўографў∙, особливо щодо вўйськового походу чи пригоди"
"This is so aggravating!","Це так дратуї!"
"Crystal Glass","Кришталь"
"Create world","Створити свўт"
"Load cage trap","Зарядити клўткову пастку"
"Valuable gems and precious metals can be found, along with richer soil, ","Можна знайти цўннў самоцвўти та дорогоцўннў метали, а також багатший єрунт, "
"Click to request workers","Натиснўть, щоб запросити робўтникўв"
"will be installed at ","буде встановлено в "
"Work orders cannot be assigned to this building.","Робочў замовлення не можна призначити для цўї∙ будўвлў."
"was in ","був у "
" always points at others when greeting them"," Завжди вказуї пальцем на ўнших, вўтаючись ўз ними"
"Track/Ramp (NSE)","Спуск колў∙ (Пвн-Пвд-Сх)"
"Priesthood unit count","Кўлькўсть юнўтўв священства"
"It's too much!  You might not be able to keep it down.","Це вже занадто! Тебе може знудити."
"a meager ability with social relationships","мўзерна здатнўсть до соцўальних стосункўв"
"doesn't care about nature one way or another","байдуже ставиться до природи"
"[C:6:0:1]Ore[C:7:0:0] is mined underground, below the soil layers.","[C:6:0:1]Руда[C:7:0:0] видобуваїться пўд землею, пўд шарами єрунту."
"very good intuition","дуже хороша ўнту∙цўя"
"Speaker","Промовець"
"This is a small creature within the trap.","У пастцў перебуваї мала ўстота."
"Fire","Вогонь"
"distant","вўддалено"
"Probing","Зондування"
"Your location","Ваше мўсцезнаходження"
"Architecture:","Архўтектура:"
"To fully function your [C:1:0:1]Hospital[C:7:0:0] needs to have [C:6:0:0]Beds[C:7:0:0], ","Для повноцўнного функцўонування ваша [C:1:0:1]Лўкарня[C:7:0:0] повинна мати [C:6:0:0]Лўжка[C:7:0:0], "
"Woodcutters","Лўсоруб"
" scramble"," вўзповзаїте"
"Workers save bones","Робўтники зберўгають кўстки"
"Any trainer","Будь-який дресирувальник"
"Fog","Туман"
"Do not automate smelter","Не автоматизовувати плавильню"
"Saving units...","Збереження юнўтўв..."
"Stone ","Камнў "
" arrangements than I do."," бўльше домовленостей, нўж я."
"Population: ~300","Населення: ~300"
"Appraiser","Оцўнювач"
"waxing half moon","мўсяць, що росте перша чверть"
"You can alternate between standing and a prone position by clicking the indicated button or pressing ","Ви можете чергувати положення стоячи та лежачи, натискаючи вказану кнопку або "
" to rethink "," переосмислити "
"The World","Свўт"
"[C:7:0:1]Libraries[C:7:0:0]","[C:7:0:1]Бўблўотеки[C:7:0:0]"
"Any ability you possess that doesn't fit elsewhere will appear here.  For instance, many creatures can spit or pet animals.  Others can breathe fire.  ","Будь-яка здўбнўсть, якою ви володўїте ў яка не пўдходить до ўнших категорўй, з'явиться тут. Наприклад, багато ўстот можуть плюватися або гладити тварин. Ўншў можуть дихати вогнем. "
"Creatures...","Ўстоти..."
"the force pump","силовий насос"
"Light","Свўтло"
"Population: ~30","Населення: ~30"
"Good focus","Хороша концентрацўя"
"a free room","вўльна кўмната"
"Strand Extractor","Видобувач волокон"
"methods of adjusting maps to account for the shape of the world","методи коригування мап ўз урахуванням форми свўту"
"improvised music, ","ўмпровўзована музика, "
"Stagnant salt water [","Стояча солона вода ["
" play"," граї"
"Infamous intruder","Сумнозвўсний порушник"
"!  Today only","! Тўльки сьогоднў"
"Embezzlement","Розтрата"
" values parties and merrymaking in the abstract"," загалом позитивно ставиться до вечўрок ў святкувань"
"Along with combat, conversations are where most of the events in play happen.  You can obtain quests, followers, information, ","Поряд ўз боїм, розмови ї тим мўсцем, де вўдбуваїться бўльшўсть подўй у грў. Ви можете отримувати квести, послўдовникўв, ўнформацўю, "
"Removed from guard","Усунуто з варти"
"Woven clothing shop","Майстерня тканиного одягу"
"skulking vermin","пўдступнў потвори"
"Unnamed sculpture garden","Безўменний сад скульптур"
"I conducted an official meeting in a dining room.","Я провўв офўцўйну зустрўч у ∙дальнў."
"select [C:5:0:1]""Trade""[C:7:0:0].  Don't worry if you have no [C:5:0:0]Broker[C:7:0:0], just select [C:5:0:1]""Anyone can Trade""[C:7:0:0].  You cannot trade ","вибрати [C:5:0:1]""Торгувати""[C:7:0:0]. Не хвилюйтеся, якщо у вас немаї [C:5:0:0]Брокера[C:7:0:0], просто виберўть [C:5:0:1]""Торгувати може будь-хто""[C:7:0:0]. Ви не можете торгувати "
"father","батько"
