"Archery","Tiro ao Arco"
"Attend Meeting","Comparecer na Reuni∆o"
"tormented","atormentado"
"liquid extraction","extraá∆o de l°quido"
"very happy about the trading","muito contente com o neg¢cio"
"Saving parameters...","A salvar parÉmetros..."
" clockwise"," direá∆o do rel¢gio"
" crisply."," crepitante."
"Return Treasure","Devolver Tesouro"
"Power over others is the only true measure of worth.","Poder sobre os outros Ç a £nica medida de valor."
"There is not enough room to perform here.","N∆o h† espaáo suficiente para atuar aqui."
"Tropical Freshwater River","Rio Tropical de µgua Fresca"
"River: ","Rio: "
"the exposition","a exposiá∆o"
"father ","pai "
"Ashes","Cinzas"
"Seat","Assento"
"Play ","Tocar "
"Spoils Report: ","Relat¢rio de Esp¢lio: "
" Occasion of "," Ocasi∆o de "
"Pillage","Pilhar"
"Storage","Armazenamento"
"company","companhia"
"The Occasion","A Ocasi∆o"
"the Proof","a Prova"
" energetic"," energÇtico"
"the Soldier","o Soldado"
"Synchronizing folders...","A sincronizar pastas..."
"the Desecration","a Dessecraá∆o"
"frozen to death.","congelado tÇ a morte."
" has brought back a few rumors."," trouxe novos rumores."
"Then ","Depois "
"Effects","Efeitos"
"Artwork","Obra de arte"
"Frame","Tramar"
"the Building","o Edif°cio"
"You continue the music.","Vocà continua a m£sica."
"Gem Window","Janela de Joias"
" breaks!"," parte!"
"skunk","doninha"
"I don't have enough chests.","N∆o tenho arcas suficientes."
"the Seekers","os Buscadores"
"Track (NS)","Caminho (NS)"
"Oh, I'm nothing special.","Oh, n∆o sou ninguÇm especial."
"You have discovered a volcano.","Vocà descobriu um vulc∆o."
"septet","septeto"
"Anguished!","Angustiado!"
"Eighth","Oitavo"
"the Cause","a Causa"
"the Migration","a Migraá∆o"
"Chronicle","Cr¢nica"
"After a polite discussion with local rivals, ","Depois de uma discuss∆o educada com rivais locais, "
"Tropical Saltwater Swamp","PÉntano Tropical de µgua Salgada"
"Trap","Armadilha"
"former worker","antigo trabalhador"
" sensual"," sensual"
"Autumn","Outono"
" verse paragraph"," par†grafo de verso"
"My condolences.","Os meus pàsames."
"Knife","Faca"
"the return of ","o regresso de "
"Track/Ramp (EW)","Caminho/Rampa (EW)"
"The glowing barrier has disappeared!","A barreira brilhante desapareceu!"
"Temperate Saltwater Pool","Piscina Temperada de µgua Salgada"
"Divorced","Divorciado"
"An item has returned!","Um item regressou!"
"Haunted","Assombrado"
"chant","canto"
"Mathematician","Matem†tico"
" prepared by "," preparado por "
"a bridge-passage","uma ponte"
"Loss","Perda"
"Opal","Opala"
"inorganic","n∆o-orgÉnico"
"Start War","Comeáar Guerra"
"the Tomb","O T£mulo"
"Archery Practice","Treino de Tiro com Arco"
"Properties","Propriedades"
"Poetry","Poesia"
" has entered a martial trance!"," entrou num transe marcial!"
" hand gesture"," gesto de m∆o"
" pushes "," empurra "
"magma sea","mar de magma"
"is rarely happy or enthusiastic","est† raramente feliz ou entusiasmado"
"a specific wilderness region","uma regi∆o selvagem espec°fica"
"tomb","t£mulo"
"the Effect","o Efeito"
"Track (NSE)","Caminho (NSE)"
"mechanical clocks","rel¢gios mecÉnicos"
"state bias","parcialidade de estado"
"Saving schedules...","A salvar calend†rios..."
"Hunter","Caáador"
"nerves","nervos"
"the Peaks","os Picos"
"theft","furto"
"the Knowledge","o Conhecimento"
"sexain","sexteto"
"mind and body","mente e corpo"
"Tyranny","Tirania"
" line."," linha."
"It has no writing.","N∆o tem qualquer escrita."
"Geographer","Ge¢grafo"
" family"," fam°lia"
"Rebuilding temporary information...","A reconstruir informaá∆o tempor†ria..."
" passive"," passivo"
"as part of a trade negotiation","como parte de uma transaá∆o de neg¢cio"
"Watch ","Observar "
"decomposing","decompondo-se"
"an improvised recital of ","um recital improvisado de "
" were"," eram"
"Percussion Instrument","Instrumento de Percurs∆o"
"swamps","pÉntanos"
"Druid","Dru°da"
"Saving work quotas...","A salvar quotas de trabalho..."
"Millstone","M¢"
"a tavern","uma taverna"
"is tall and muscular","Ç alto e musculoso"
"the concept of hunting","o conceito de caáar"
" passionate"," apaixonado"
"Theft","Furto"
"the Prestige","o Prest°gio"
", but there is no force!",", mas n∆o h† foráa!"
"refraction","refraá∆o"
"Temperate Grassland","Prado Temperado"
"There is a tomb","H† um tumulo"
"Go to Combat Training","Ir a Treino de Combate"
" sick!"," doente!"
"Low Precision","Precis∆o Baixa"
"Young ","Jovem "
"I am wearing old clothes.","Estou a usar roupas velhas."
"the Criminals","os Criminosos"
"Scout","Batedor"
"Peasant","Camponàs"
"the Diplomat","o Diplomata"
"the Faith","a FÇ"
"Schemes","Esquemas"
"Play with ","Jogar com "
"insurrection","inssurreiá∆o"
"Wall Grate","Grade de Parede"
"Boss","Chefe"
"the fruit and vegetable market","o mercado de frutas e vegetais"
"Tropical Saltwater Pool","Piscina Tropical de µgua Salgada"
"mysterious","misterioso"
"The horror consumes me!","O horror consume-me!"
"very bad analytical abilities","habilidades anal°ticas muito m†s"
" of the first theme"," do primeiro tema"
"The impertinent vegetation has defaced a ","A vegetaá∆o impertinente desfigurou um "
"Ambush","Emboscada"
" curved walk"," andar em curva"
"lemur","lÇmure"
"the Spherical Astrolabe","o Astrol†bio EsfÇrico"
"delta formation","formaá∆o de delta"
"the Dark Fortress","a Fortaleza Escura"
"I'm thirsty.","Estou com sede."
"wall","parede"
"interpersonal ethics","Çtica interpessoal"
"Never lose yourself in loyalty.  You know what is best for yourself.","Nunca se perca em lealdade. Vocà sabe sempre o que Ç melhor para si."
"Caravans","Caravanas"
"proud","orgulhoso"
"Loading divination sets...","A carregar conjuntos de divinaá∆o..."
"I have no idea.","N∆o faáo ideia."
"Tell Story","Contar Hist¢ria"
" in the year "," no ano "
"counterclockwise ","sentido oposto dos ponteiros do rel¢gio "
"the siphon","o sif∆o"
" skills"," habilidades"
"died in the dark.","morreu na escurid∆o."
"begins","comeáa"
"created","criou"
"the bribery of","o suborno de"
"seventeen","dezassete"
"You continue the sermon.","Vocà continua o serm∆o."
"It has always been my dream to start a family.","Sempre foi o meu sonho criar uma fam°lia."
"beaver","castor"
"Cage Trap","Armadilha de Jaula"
"I had a nightmare about the dead.","Tive um pesadelo acerca dos mortos."
" could nearly pass for the voice of the "," quase podia passar como a voz de "
"Woven Clothing","Roupa Tecida"
"the Burrow","a Toca"
"Keyboard Instrument","Instrumento com Teclado"
"is tall and fat","Ç alto e gordo"
"filthy ","sujo "
"Nature can be enjoyed and used for myriad purposes, but there must always be respect and even fear of its power.","A Natureza pode ser apreciada e usada para variados prop¢sitos, mas deve sempre have respeito e atÇ medo pelo seu poder."
"water-filled spheres","esferas cheias de †gua"
"Legs","Pernas"
"the Clash","o Choque"
"Debauchery","Deboche"
"Waterfall","Cascata"
"resident","residente"
"Promote ","Promover "
"climatic adaptation","adaptaá∆o clim†tica"
"the astrolabe","o astrol†bio"
"Floor Grate","Grade de Ch∆o"
"dehydrated","desidratado"
"I was not able to make suggestions about work allocations.","N∆o pude fazer sugest‰es acerca da atribuiá∆o de trabalho."
"the Raid","a Incurs∆o"
"Neighbors","Vizinhos"
"Causes","Causas"
"leather... skin","couro...pele"
"this tomb","este t£mulo"
"is brave in the face of imminent danger","Ç valente perante perigo iminente"
"holy relic","rel°quia sagrada"
"There are not enough dancers.","N∆o h† danáarinos suficientes."
"I'm hungry.","Estou com fome."
"Friends are nice, but you should keep your priorities straight.","ê bom ter amigos, mas tenha sempre as suas prioridades bem orientadas."
"Saving world events...","A salvar eventos globais..."
" fracturing"," fracturando"
"height measurements","medidas de altura"
"feet","pÇs"
"bandits","bandidos"
" poorly."," pobremente."
"Dialog","Di†logo"
"What do you think of me?","Que pensas de mim?"
"I need more.","Preciso de mais."
"chest","arca"
"Furniture","Mob°lia"
"Objects","Objetos"
"Sinister","Sin°stro"
"There is no value in telling the truth thoughtlessly.  Consider the circumstances and say what is best.","N∆o h† valor em contar a verdade sem pensar. Considere as circumstÉncias em diga o que for melhor."
"Loading written content...","A carregar conte£do escrito..."
" straight walk"," andar a direito"
"unburied at site","desenterrado no local"
"the Magma","o Magma"
"Track (N)","Caminho (N)"
"Rainbows","Arco-÷ris"
"slave","escravo"
" will be leaving soon."," estar† saindo em breve."
"Those in Need","os Necessitados"
"export prohibition violation","violaá∆o de proibiá∆o de exportaá∆o"
"a party to a debate","um grupo num debate"
"Track/Ramp (NW)","Caminho/Rampa (NW)"
"I'm going to visit the temple.","Vou visitar o templo."
"Activity","Atividade"
"A violent ghost.","Um fantasma violento."
"twelve","doze"
"the diseases of creatures","as doenáas de criaturas"
"spouse","esposo"
" slave"," escravo"
"grandchild","neto"
"the Traders","os Comerciantes"
"Loading adventure...","A carregar aventura..."
"Ropes (Plant)","Cordas (Planta)"
"Organization","Organizaá∆o"
"Pumps from the north","Bombas do norte"
"the ghost of my father","o fantasma do meu pai"
"Teacher","Professor"
"a bone carver's shop","uma loja de entalhador de ossos"
"the imported goods market","o mercado de bens de importaá∆o"
"Poetry Competition","Competiá∆o de Poesia"
" million"," milh∆o"
"Sandstone","Calc†rio"
"Tenth","DÇcimo"
"tube","tubo"
"Ropes (Yarn)","Cordas (Fio)"
"After a polite discussion with a local rival, ","Depois de uma discuss∆o educada com um rival local, "
"Loading army controllers...","A carregar controladores de exÇrcito..."
"the Composition","a Composiá∆o"
"I must pray to ","Devo rezar a "
"Forbidden","Proibido"
"Engraved ","Gravado "
"sarcophag","sarc¢fago"
" Table"," Mesa"
"loyal soldier","soldado leal"
"lunar and solar years","anos lunares e solares"
"reciting the poem ","recitando o poema "
"Cannot generate random creatures -- missing tissue template ","N∆o se pode gerar criaturas aleat¢rias -- carecendo de modelos teciduais "
"Greetings from the Mountainhomes.  ","Cumprimentos das Casas de Montanha. "
"companion ","companheiro "
"Pacification","Pacificaá∆o"
"the Parabolic Mirror","o Espelho Parab¢lico"
"social behavior","comportamento social"
"crushed bridge","ponte esmagada"
"sewers","esgotos"
"Truth","Verdade"
"systems of equations","sistema de equaá‰es"
"Race","Raáa"
"the abductions","os raptos"
"Be careful of your so-called friends.","Tenha cuidado com alegados amigos."
"bribery","suborno"
"legendary preserver of knowledge","conservador de conhecimento lend†rio"
"husband","marido"
"Wood ","Madeira "
"Yes!  It is done.","Sim! Est† feito."
" skills with what could be called blind overconfidence"," habilidades com o que se pode chamar excesso de confianáa cega"
"the Price","o Preáo"
"Volcano: ","Vulc∆o: "
"Climber","Alpinista"
" on the first theme"," no primeiro tema"
"the moon and seasons","a lua e as estaá‰es"
"Doctor","Doutor"
"Detailed","Detalhado"
"Mossy ","Musgoso "
"is lanky, with strong muscles and some fat","Ç esguio, com fortes m£sculos e alguma gordura"
"was too envious of others to face death and agreed","tinha demasiada inveja pelos outros para enfrentar a morte e concordou"
"Student","Estudante"
"Army Walk","Marcha"
"Leather Clothing","Roupa de Cabedal"
"I started my pilgrimage in ","Iniciei minha peregrinaá∆o em "
"Winter is upon you.","O Inverno est† sobre n¢s."
"Mastery","Mestria"
"The dance is accompanied by ","A danáa Ç acompanhada de "
"We cannot choose our families, but we can choose to avoid them.","N∆o escolhemos as nossas fam°lias, mas podemos escolher evit†-las."
"Activity Event","Evento de Atividade"
" Support"," Suporte"
"traveling","viajando"
"Stringed Instrument","Instrumento de Cordas"
" of the second theme"," do segundo tema"
"Aquarium","Aqu†rio"
"eats","come"
"Nobody","NinguÇm"
"Tropical Coniferous Forest","Floresta Tropical de Con°feras"
"left leg lifts","perna esquerda sobe"
"eerie cavern","caverna l£gumbre"
"cultural differences","diferenáas culturais"
"after murdering ","depois de assassinar "
"the water wheel","a roda de †gua"
"Negative ","Negativo "
"my ","meu "
"Warm ","Quente "
"an unidentified creature","uma criatura n∆o-identificada"
"It has no pages.","N∆o tem quaisquer p†ginas."
"catatonic","catat¢nico"
"disease classification","classificaá∆o de doenáa"
"Astronomer","Astr¢nomo"
"I want to spend some time with family.","Quero passar algum tempo em fam°lia."
"Saving events...","A salvar eventos..."
"I've been out in the sunshine again after a long time away.","Estive sob a luz do sol depois de ter estado ausente da mesma muito tempo."
"I need a drink.","Preciso de uma bebida."
"Table","Mesa"
"the Forest Retreat","o Retiro de Floresta"
"beast","besta"
"the Wound","a Chaga"
"Where am I?","Onde estou eu?"
"The oppressor has been overthrown!","O opressor foi deposto!"
"Competition","Competiá∆o"
"Recite Poetry","Recitar Poesia"
" is unparalleled.  Let's make a deal!"," Ç sem igual. Vamos fechar acordo!"
"I have no shoes.","N∆o tenho sapatos."
"Harmony","Harmon°a"
"Wait for ","Esperar por "
"Gather Plant","Colher Planta"
"Dozens of people were expelled","D£zias de pessoas foram expulsas"
"Others were too nervous to make the journey.","Outros estavam nervosos demais para realizar a viagem."
"the deaths","as mortes"
"Discuss ","Discutir "
"a toy","um brinquedo"
"Glass Window","Janela de Vidro"
", has been conquered and",", foi conquistado e"
"the concept of family","o conceito de fam°lia"
"a yard","um p†teo"
"Sand","Areia"
"Generalization","Generalizaá∆o"
"the Relationship","a Relaá∆o"
"north","norte"
"infamous intruder","intruso infame"
"a day's travel","um dia de viagem"
"the Water Clock","a Clepsidra"
"prisoner","prisioneiro"
"violent ghost","fantasma violento"
"The impertinent magma has defaced a ","O magma impertinente desfigurou um "
" has become a student of "," tornou-se estudante de "
" has constructed a masterpiece!"," construiu uma obra-prima!"
"mammoth","mamute"
"Ruin","Ru°na"
"symbol","s°mbolo"
"Snow-covered ","Coberto de Neve "
"Age of Civilization","Era da Civilizaá∆o"
"the Water Wheel","a Roda de µgua"
"the Mountains","as Montanhas"
"Trade Depot","Posto de ComÇrcio"
"Tavern","Taberna"
"the Betrayal","a Traiá∆o"
"Attempted Espionage","Tentativa de Espionagem"
"remedies prepared from animals","remÇdios preparados a partir de animais"
"Water Wheels","Rodas de µgua"
" Child"," Crianáa"
"known monster","monstro conhecido"
"Temperate Saltwater Marsh","Pantanal Temperado de µgua Salgada"
"former apprentice","antigo aprendiz"
"Chemist","Qu°mico"
"  The enemy will be driven off."," O inimigo ser† expulso."
"Fantastic!","Fant†stico!"
"I ask that ","Peáo que "
" denting"," amolgando"
"We need to find a better way than those of before.","Devemos encontrar um caminho melhor do que os que tomamos antes. "
"I felled a tree.","Derrubei uma †rvore."
"the Dispute","a Disputa"
"Perform Dance","Danáar"
"Why this obsession with weapons and battle?  I don't understand some people.","Porquà esta obsess∆o com armas e batalha? N∆o percebo algumas pessoas."
"deeply dislikes competition","profundamente n∆o gosta de competiá∆o"
"I long to uphold the traditions.","Anseio manter as tradiá‰es."
"Fourteenth","DÇcimo quarto"
"an unknown underground region","uma regi∆o subterrÉnea desconhecida"
"theme","tema"
"the Fiery Depths","as Profundezas Flamejantes"
"I need some excitement in my life.","Preciso de alguma excitaá∆o na minha vida."
"I was close to a waterfall.","Estava perto de uma cascata."
"Fifteenth","DÇcimo quinto"
"Track/Ramp (NEW)","Caminho/Rampa (NEW)"
"cheese","queijo"
"Asset","Bem"
" Bars"," Barras"
"common divisors","divisores comuns"
"It makes me so gloomy.","Torna-me t∆o desesperanáado(a)."
"the nature of beauty","a natureza da beleza"
"of metal","de metal"
"Family","Fam°lia"
"building destruction","destruiá∆o de edif°cio"
"a great affinity for language","uma grande afinidade com linguagem"
"There is a time for artful speech, and a time for blunt speech as well.","H† alturas para discursos floreados e alturas para se ser direto tambÇm."
"gecko","osga"
"Craftsmanship","Artesanato"
"Intrigue","Intriga"
"Skill Demonstration","Demonstraá∆o de Talento"
" Floor"," Ch∆o"
" Boulder"," Pedragulho"
"the alembic","o alambique"
"I had a sparring session.","Tive uma sess∆o de esgrima."
"the Spirit","o Esp°rito"
"Go to Sparring Practice","Ir Ö Sess∆o de Treino"
"Track/Ramp (NE)","Caminho/Rampa (NE)"
"In agony","Em agonia"
"blocks","blocos"
"You have discovered a great magma sea.","Descobriu um grande mar de magma."
" is dead!"," est† morto!"
"seeds","sementes"
" eighth"," oitavo"
"Construction","Construá∆o"
"Riding","Equitaá∆o"
"Be merry!","Seja feliz!"
"eighty","oitenta"
"the Law","a Lei"
"I'm annoyed.","Estou chateado."
"job order violation","violaá∆o de ordem de trabalho"
"variations","variaá‰es"
"Concentration","Concentraá∆o"
"water clocks","rel¢gios de †gua"
"Leather Goods","Bens de Cabedal"
"I'm so anxious!","Estou t∆o ansioso!"
"Track (NE)","Caminho (NE)"
"elephant","elefante"
"Eleventh","DÇcimo primeiro"
"Instrument","Instrumento"
" quarter"," quarto"
" offers it to "," oferece-o a "
"Liar","Mentiroso"
"backpack","mochila"
"glass and burning wood","vidro e madeira queimada"
"There are guards in ","H† guardas em "
"the Spire","o Pin†culo"
" as well as "," bem como "
"Diagnostics","Diagn¢sito"
"respected for heroic acts","respeitado por atos her¢icos"
"passionate","apaixonado"
"Preach on ","Pregar sobre "
"Weaver","Tecel∆o"
"Naturalist","Naturalista"
"admiring ","admirando "
"The poem ","O poema "
"My clothes actually rotted right off of my body.","As minhas roupas apodreceram de tal maneira que ca°ram do meu corpo."
"Track (W)","Caminho (W)"
"Unknown","Desconhecido"
"an improvised dance, ","uma danáa improvisada "
"angry ghost","fantasma zangado"
"main part","parte principal"
"the orrery","o planet†rio"
"finely-crafted ","esmeradamente lavorado "
"Murderer!","Assassino!"
"seventy","setenta"
"assonance","assonÉncia"
" from "," de "
"I had a nightmare about my deceased acquaintance.","Tive um pesadelo acerca do meu conhecido falecido."
"Exotic Clothing Shop","Loja de Vestu†rio Ex¢tico"
"Novel","Novela"
"Terrifying","Aterrorizante"
"Market Stall","Banca de Mercado"
"Digging designation cancelled: warm stone located.","Indicaá∆o de escavar cancelada: pedra quente localizada."
"Welcome to ","Bem-vindo a "
"band","bando"
"cartography","cartografia"
"Air Race","Corrida AÇrea"
"the promise by ","a promessa por "
"Absence","Ausància"
"Wooden Furniture","Mob°lia de Madeira"
"seven","sete"
"Floor Bars","Barras de Ch∆o"
"Drop ","Largar "
"I'm sleepy.","Estou com sono."
"Temple","Templo"
" has been satisfied."," foi satisfeito."
"Inhabited","Habitada"
"Go to Sparring Match","Ir a uma Sess∆o de Treinamento"
"the magma sea","o mar de magma"
"Tropical Savanna","Savana Tropical"
"the height of the atmosphere","a altura da atmosfera"
"Remove Construction","Remover Construá∆o"
"Drowning in sadness!","Afogando-se em tristeza!"
"a good spatial sense","um bom sentido espacial"
" has been "," foi "
"the Tribute","o Tributo"
"asylums","asilos"
"patient","paciente"
"the Trees","as µrvores"
" Slave"," Escravo"
"Friends","igos"
"nineteen","dezanove"
"Sixteenth","DÇcimo sexto"
"autobiographical adventures","aventuras autobiogr†ficas"
"Nothingness","o Nada"
"sticky ","pegajoso "
"cartographical surveying","exploraá∆o cartogr†fica"
"I treasure my freedom.","Aprecio a minha liberdade."
"We are going the wrong way.","Estamos a ir pelo caminho errado."
"dreams of mastering a skill","sonha em tornar-se mestre de uma habilidade"
"wholes and parts","totais e partes"
"Not ready to be split","N∆o est† pronto para ser dividido"
"A cloud of ","Uma nuvem de "
"I am your loyal ","Sou o seu leal "
" a lucid and powerful sermon."," um serm∆o lucido e poderoso."
"The music continues.","A m£sica continua."
" Bag"," Saco"
" picks up "," pegou "
"This building has","Este edif°cio tem"
"lack of respect of","falta de respeito por"
"Warm","Quente"
"ligature","ligadura"
"rich","rico"
"Economics","Econom°a"
"the imported food market","o mercado de comida de importaá∆o"
"the Hills","as Colinas"
"an animal was convicted of a crime","um animal foi condenado por um crime"
"the Honor","a Honra"
"Done","Feito"
"Power","Poder"
" members"," membros"
"astronomical models","modelos astron¢micos"
"Spring has arrived on the calendar.","A Primavera chegou no calend†rio."
"passive","passivo"
"Freezing","Congelar"
" sloppily"," desleixadamente"
"Armor","Armadura"
"the Whole","o Total"
" Window"," Janela"
"Track (NSEW)","Caminho (NSEO)"
" bring"," traz"
"division","divis∆o"
"female ","fÇmea "
" delivering a virtuoso performance on the "," dando uma performance virtuosa sobre "
"Spears/Spikes","Lanáas/Espig‰es"
" has stopped responding to the world..."," parou de responder ao mundo..."
"babies","bebÇs"
"slab","laje"
"giraffe","girafa"
"possessed","possu°do"
"Rotten ","Podre "
"anatomical studies","estudos anat¢micos"
"Perform Music","Tocar M£sica"
"Track (NW)","Caminho (NO)"
" an enemy fighter."," um lutador inimigo."
"Hammer","Martelo"
"Age of Myth","Era do Mito"
"overlords","senhores supremos"
"Groups","Grupos"
"Go to ","Ir para "
"was too afraid not to comply","estava com demasiado medo para n∆o obedecer"
"Well","Poáo"
"Tradition","Tradiá∆o"
"quiver","aljava"
"Royal Bedroom","Quarto Real"
"tough","tenaz"
" playing make believe."," a brincar ao faz de conta."
"Gem Cutter","Joalheiro"
"quintain","quinteto"
"Guard post","Posto de Guarda"
"translation","traduá∆o"
"the hourglass","a ampulheta"
"What can you tell me about ","Que me pode contar acerca de "
"a verse","um verso"
" from behind"," por tr†s"
"antanaclasis","antanoclastia"
"is stubborn","Ç teimoso"
"The musician ","O musicista "
"the Battle","a Batalha"
"the Negation","a Negaá∆o"
"legendary intruder","intruso lend†rio"
"the Orrery","o Planet†rio"
"Twilight","Crepusculo"
"Tent (Bld)","Tenda (Bld)"
"Seventeenth","DÇcimo sÇtimo"
"Knife User","Utilizador de Facas"
"Opposites","Opostos"
"Seek Ladder to Climb","Procurar Escaca para Trepar"
"Some things should never change.","Algumas coisas nunca deviam mudar."
"star charts","mapas estelares"
"series of","sÇrie de"
" straight-lined"," direito"
"claims it as a family heirloom","toma posse como uma heranáa de fam°lia"
"Belief","Crenáa"
"epenthesis","epàntese"
"hospitals","hospitais"
"a motor nerve","um nervo motor"
" Chain"," Cadeia"
"a shrine","um santu†rio"
"Building friendships is a waste.  There is no bond that can withstand distance or a change of circumstance.","Criar amizades Ç um desperd°cio. N∆o h† ligaá∆o que aguente distÉncia ou mudanáa de circumstÉncias."
" on the theme"," no tema de"
"in the depths","nas profundezas"
"fishing rights","direitos de pesca"
"the Waves","as Ondas"
"encrusted with","incrustado de"
" through a hole in the "," atravÇs de um buraco no "
"notation for negative quantities","notaá∆o para quantidades negativas"
" Rope"," Corda"
"the export prohibition violation","a violaá∆o de proibiá∆o de exportaá∆o"
"I put a creature in a cage.","Coloquei uma criatura dentro de uma jaula."
"four","quatro"
"Golden Age","Era Dourada"
"So annoying!","T∆o chato!"
"effortlessly ","sem esforáo "
"one month","um màs"
"Swimmer","Nadador"
"ruffians","rufias"
"Corrupt","Corromper"
"plant fiber","fibras de plantas"
"the forces that govern wind patterns","as foráas que governam os padr‰es de ventos"
"notation for very large numbers","notaá∆o para n£meros muito grandes"
"Knowledge","Conhecimento"
"rainfall","chuva"
"Track/Ramp (NS)","Caminho/Rampa (NS)"
"three","tràs"
"butcher","talhante"
"Main Ceremony","Cerim¢nia Pr°ncipal"
"cooking","cozinhando"
"Cannot build at highest level","N∆o se pode construir no n°vel mais alto"
"a simple passage","uma passagem simples"
"I was not able to petition for citizenship.","N∆o fui capaz de peticionar por cidadania."
"Nest","Ninho"
"half ","metade "
" strong"," forte"
"forceps","forcepes"
"nephew","sobrinho"
"What's so special about art?","Que h† de especial com arte?"
"geographer","ge¢grafo"
"is the symbol of","Ç um simbolo de"
"A mandate has ended.","Um mandato acabou."
"Loading history...","A carregar hist¢ria..."
"  The task is accomplished."," A tarefa foi concluido com sucesso."
"Saving coin information...","A salvar informaá∆o de moeda..."
"The poem has ","O poema tem "
"Winter","Inverno"
" bodies"," corpos"
"Decorum","Decoro"
"Art?  More like wasted opportunity.","Arte? Mais como uma oportunidade desperdiáada."
"Criminal","Criminoso"
"Don't talk to me.","N∆o fale comigo."
"There are no merchants present with which to trade.","N∆o h† mercadores presentes com os quais possa negociar."
"Entrance","Entrada"
"decorum","decoro"
"Malachite","Malaquite"
"the ","o "
"pyramids","pirÉmides"
"Melancholy","Melancol°a"
"map accuracy","precis∆o de mapa"
"Deceit","Enganaá∆o"
"the vial","o frasco"
"the Surrender","o Render"
"as a symbol of authority within ","como um s°mbolo de autoridade dentro de "
"surveying","explorar"
"an unknown building","um edif°cio desconhecido"
"Practice","Pr†tica"
"Finalizing inorganics...","A finalizar inorgÉnicos..."
"eighteen","dezoito"
"a violent ghost","um fantasma violento"
"defeating somebody","derrotando alguÇm"
"nearly a day's travel","quase um dia de viagem"
" of the theme"," do tema"
"a house","uma casa"
"existence","existància"
"The creative impulse is so valuable.","O impulso criativo Ç t∆o valioso."
"squad","equipa"
"Existence","Existància"
"is very stubborn","Ç muito teimoso"
"Wrestling","Luta Livre"
"lamination","laminaá∆o"
"I wish to become a ","Desejo tornar-me "
"the Tavern","a Taberna"
"Too sad","Demasiado triste"
"Light and Color","Luz e Cor"
"the Castle","o Castelo"
"just","somente"
"alkali and acids","alcal¢ides e †cidos"
"a corpse","um cad†ver"
"tooth","dente"
"Have no fear.","N∆o tenha medo."
"Accuses: ","Acusa: "
"Tactics","T†cticas"
"Let there be peace throughout the world.","Que haja paz por todo o mundo."
"Bone Carving Workshop","Oficina de Cinzeladura de Ossos"
"ballista parts","parte de balista"
" and "," e "
"the Denial","a Negaá∆o"
"Gambling","Jogo"
"I ate a meal.","Comi uma refeiá∆o."
"Loading art forms...","A carregar formas de arte..."
"Metalsmith","Ferreiro"
"the Numbers","os N£meros"
"the Uprising","a Revolta"
"an unknown civilization","uma civilizaá∆o desconhecida"
"It was snowing on me.","Estava a nevar em cima de mim."
"Temperate Saltwater Lake","Lago Temperado de µgua Salgada"
"Dynamism","Dinamismo"
"A hundred or more people were expelled","Uma centena ou mais de pessoas foram expulsas"
"Get Written Content","Obter Conte£do Escrito"
"surgical needles","agulhas cir£rgicas"
"the Failure","a Falha"
"sage","s†bio"
"Kill","Matar"
"Loading cultural identities...","A carregar identidades culturais..."
"second ","segundo "
"suffering","sofrendo"
"this dungeon","esta masmorra"
"Age of Legends","Era das Lendas"
"Art is life.","Arte Ç vida."
"the Ransom","o Resgate"
"a historical figure","uma figura hist¢rica"
"the Object","o Objeto"
"suffered major injury","sofreu ferimentos graves"
"Clay","Barro"
"I'm going out for some water.","Vou buscar †gua."
"objects and properties","objetos e propriedades"
"Farm Plot","Campo de Cultivo"
"very near","muito pr¢ximo"
"thinks that the world should be engaged in perpetual warfare","pensa que o mundo deveria estar em perpÇtuo estado de guerra"
"a dormitory","um dormit¢rio"
"ambiguity","ambiguidade"
" having trouble breathing!"," est† com dificuldade em respirar!"
"Slab","Pedra"
"Seek Ladder to Move","Procurar Escada para Mover"
"The poem continues.","O poema continua."
"a poem","um poema"
" between "," entre "
"murdering somebody","assassiando alguÇm"
"a cottage","uma cabana"
"I had a nightmare about my deceased spouse.","Tive um pesadelo acerca do meu cìnjuge falecido."
"What a strange place!","Que lugar estranho!"
"known intruder","intruso conhecido"
"legendary hero","her¢i lend†rio"
"Loading parameters...","A carregar parÉmetros..."
"Loading artifacts...","A carregar artefatos"
"Is it raining?","Est† a chover?"
"holy ","sagrado "
"A vile force of darkness has arrived!","Chegou uma vil foráa da escurid∆o!"
"astronomer","astr¢nomo"
"the Plains","as Plan°cies"
"hospital wards","enfermarias de hospital"
"Cancel","Cancelar"
"Temperate Freshwater Swamp","PÉntano Temperado de µgua Fresca "
"melting","derretendo"
"extremely long series of","sÇrie extremamente longa de"
"square blocks","blocos quadrados"
"equations","equaá‰es"
"smoke","fumo"
"the Contradiction","a Contradiá∆o"
"a trenches","uma trincheira"
"equinoxes","equin¢cios"
"When all other bonds wither, friendship will remain.","Quando todos os outros laáos mirram, a amizade ficar†."
"Pumps from the south","Bombas do sul"
"cycles","c°clos"
"being mutilated by ","sendo mutilado por "
"rotten ","podre "
"the Sea","o Mar"
" has returned."," regressou."
"conic sections","secá‰es c¢nicas"
"the Revolution","a Revoluá∆o"
"The amount of practice that goes into mastering a skill is so impressive.","A quantidade de pr†ctica necess†ria para se dominar uma aptid∆o Ç t∆o impressionante"
