"its","øia"
"fifth eldest daughter","kvina plej aøa filino"
"sixth eldest daughter","sesa plej aøa filino"
"seventh eldest daughter","sepa plej aøa filino"
"eighth eldest daughter","oka plej aøa filino"
"ninth eldest daughter","naýa plej aøa filino"
"tenth eldest daughter","deka plej aøa filino"
"only daughter","sola filino"
"youngest daughter","plej juna filino"
"eldest child","plej aøa infano"
"second eldest child","dua plej aøa infano"
"third eldest child","tria plej aøa infano"
"fourth eldest child","kvara plej aøa infano"
"fifth eldest child","kvina plej aøa infano"
"sixth eldest child","sesa plej aøa infano"
"seventh eldest child","sepa plej aøa infano"
"eighth eldest child","oka plej aøa infano"
"ninth eldest child","naýa plej aøa infano"
"tenth eldest child","deka plej aøa infano"
"youngest child","plej juna infano"
"only child","sola infano"
"paternal grandmother","patra avino"
"paternal grandfather","patra avo"
"maternal grandmother","matra avino"
"maternal grandfather","matra avo"
"older brother","pli aøa frato"
"older sister","pli aøa fratino"
"older sibling","pli maljuna gefrato"
"younger brother","pli juna frato"
"younger sister","pli juna fratino"
"younger sibling","pli juna gefrato"
"no relationship","neniu rilato"
"Wetland","Malsekejaj"
"Desert","Dezertaj"
"Forest","Arbaraj"
"Mountains","Montaj"
"Ocean","Oceanaj"
"Lake","Lagaj"
"Glacier","Glaciejo"
"Tundra","Tundro"
"Grassland","Herbejaj"
"Hills","Montetaj"
"Bone Setting","Refiksado de Osto"
"Cheesemaking","Fromaøa produkti"
"blob","blobo"
"mayfly","efemero"
"dragonfly","libelo"
"damselfly","zigoptero"
"stonefly","plekoptero"
"grasshopper","akrido"
"aphid","afido"
"wasp","vespo"
"bee","abelo"
"hornet","krabro"
"ant","formiko"
"firefly","lampiro"
"snakefly","rafidioptero"
"fly","muþo"
"scorpionfly","mekoptero"
"caddisfly","tri¶optero"
"butterfly","tagopapilio"
"spider","araneo"
"tarantula","tarantulo"
"scorpion","skorpio"
"tick","iksodo"
"mite","akaro"
"shrimp","salikoketo"
"lobster","omaro"
"crab","krabo"
"toad","bufo"
"frog","rano"
"salamander","salamandro"
"newt","trito"
"alligator","aligatoro"
"crocodile","krokodilo"
"lizard","lacerto"
"chameleon","kameleono"
"gecko","geko"
"skink","skinko"
"monitor","monitoro"
"serpent","serpento"
"rattlesnake","krotalo"
"cobra","kobro"
"python","pitono"
"turtle","kelonio"
"tortoise","testudo"
"duck","anaso"
"goose","ansero"
"petrel","petrelo"
"penguin","pingveno"
"pelican","pelikano"
"stork","cikonio"
"vulture","vulturo"
"flamingo","fenikoptero"
"crow","korvo"
"lark","alaýdo"
"swallow","hirundo"
"thrush","turdo"
"wren","parvolo"
"flycatcher","muþkaptulo"
"opossum","didelfo"
"rat","rato"
"mouse","muso"
"porcupine","histriko"
"cavy","kavio"
"capybara","kapibaro"
"rabbit","kuniklo"
"hare","leporo"
"lemur","lemuro"
"ape","simio"
"fruit bat","pteropo"
"bat","vesperto"
"wolf","lupo"
"coyote","kojoto"
"fox","vulpo"
"jackal","þakalo"
"raccoon","prociono"
"coati","nazuo"
"weasel","mustelo"
"otter","lutro"
"badger","melo"
"skunk","mefito"
"bear","urso"
"panda","pando"
"cat","kato"
"panther","pantero"
"mongoose","mungo"
"hyena","hieno"
"walrus","rosmaro"
"pangolin","maniso"
"elephant","elefanto"
"mammoth","mamuto"
"horse","æevalo"
"zebra","zebro"
"tapir","tapiro"
"rhinoceros","rinocero"
"pig","porko"
"warthog","verukapro"
"hippopotamus","hipopotamo"
"camel","kamelo"
"llama","ljamo"
"giraffe","øirafo"
"deer","cervo"
"elk","alko"
"moose","alko"
"antelope","antilopo"
"sheep","þafo"
"goat","kapro"
"bison","bizono"
"buffalo","bubalo"
"Granite","Granito"
"Slate","Ardezo"
"Felsite","Felsito"
"Hematite","Hematito"
"Malachite","Malakito"
"Galena","Galeno"
"Limestone","Kalkoþtono"
"Sandstone","Grejso"
"Timber","Ligno"
"Moonstone","Lunþtono"
"Opal","Opalo"
"Dabbling","Diletanto"
"Novice","Novica"
"Adequate","Adekvata"
"Competent","Kapabla"
"Skilled","Lerta"
"Proficient","Kompetenta"
"Talented","Talenta"
"Adept","Adepto"
"Professional","Profesiisto"
"Accomplished","Plenumita"
"High Master","Æefmajstro"
"Grand Master","Granda Majstro"
"Legendary","Legenda"
"Carpentry","Æarpentado"
"Bowmaking","Arbalestofarado"
"Stone Carving","Þtontajlado"
"Stonecutting","Þtonfacetado"
"Engraving","Gravurado"
"Masonry","Þtontranæado"
"Animal Caretaking","Zorgado pri Bestoj"
"Fish Dissection","Sekcado de Fiþo"
"Animal Dissection","Sekcado de Bestoj"
"Fish Cleaning","Purigado de Fiþo"
"Butchery","Buæado"
"Trapping","Kaptado"
"Growing","Kreskiganta"
"Herbalism","Herbario"
"Ambush","Embuskado"
"Swimming","Naøado"
"Persuasion","Persvadado"
"Negotiation","Negociado"
"Judging Intent","Prijuøado de Intencoj"
"Appraisal","Takso"
"Organization","Organiza¼o"
"Record Keeping","Registrado"
"Lying","Mensogado"
"Intimidation","Minacado"
"Conversation","Konversaciado"
"Comedy","Komedio"
"Flattery","Flatado"
"Consoling","Konsolado"
"Pacification","Pacigado"
"Furnace Operation","Operacio de Forno"
"Strand Extraction","Ekstraktado de Fibroj"
"Soap Making","Sapfarado"
"Potash Making","Potasfarado"
"Lye Making","Lesivofarado"
"Wood Burning","Lignobrulado"
"Weaponsmithing","Armilforøado"
"Armorsmithing","Arma¼forøado"
"Metalsmithing","Forøado"
"Gem Cutting","Gemfacetado"
"Gem Setting","Geminkrustado"
"Woodcrafting","Lignometio"
"Papermaking","Paperfarado"
"Bookbinding","Bindado"
"Pottery","Ceramikfarado"
"Wax Working","Vakslaborado"
"Stone Crafting","Þtonmetio"
"Metal Crafting","Metalmetio"
"Glassmaking","Vitrofarado"
"Studying","Lernado"
"Concentration","Koncentriøo"
"Discipline","Disciplino"
"Observation","Observado"
"Poetry","Poezia¼o"
"Dance","Danco"
"Music","Muziko"
"Singing","Kantado"
"Keyboard Instrument","Klavarinstrumento"
"Stringed Instrument","Kordinstrumento"
"Wind Instrument","Blovinstrumento"
"Percussion Instrument","Frapinstrumento"
"Critical Thinking","Kritika Pensado"
"Logic","Logiko"
"Optics Engineer","Optika Inøeniero"
"Fluid Engineer","Inøeniero de Flua¼oj"
"Leadership","Gvidado"
"Military Tactics","Milita Taktiko"
"Teaching","Instruado"
"Fighting","Proksima Batalado"
"Archery","Pafado"
"Wrestling","Luktado"
"Biting","Mordado"
"Striking","Frapado"
"Kicking","Piedbatado"
"Dodging","Evitado"
"Axe","Hakilo"
"Sword","Glavo"
"Mace","Madzo"
"Hammer","Martelo"
"Spear","Lanco"
"Crossbow","Arbalesto"
"Pike","Pikstango"
"Bow","Pafarko"
"Siege Engineering","Inøenierarto de Sieøo"
"Siege Operation","Operaciado de Sieøo"
"Pump Operation","Operaciado de Pumpilo"
"Leatherworking","Ledvarfarado"
"Tanning","Tanado"
"Dyeing","Tinkturado"
"Pressing","Premado"
"Beekeeping","Abelbredado"
"Glazing","Glazurado"
"Bone Carving","Ostotajlado"
"Weaving","Teksado"
"Brewing","Bierfarado"
"Clothes Making","Vestofarado"
"Milling","Muelado"
"Threshing","Draþado"
"Blowgun","Blovkano"
"Throwing","¬etado"
"Knife","Tranæilo"
"Lash","Vipo"
"Cooking","Kuirado"
"Milking","Melkado"
"Gelding","Kastrado"
"Shearing","Lantondado"
"Misc. Object","Diversa A¼o"
"Wound Dressing","Pansado"
"Diagnostics","Diagnozado"
"Surgery","¦irurgio"
"Suturing","Suturado"
"Crutch-walking","Lambastonirado"
"Intrigue","Intrigo"
"Stone Carver","Þtontajlisto"
"Stonecutter","Þtonfacetisto"
"Engraver","Gravuristo"
"Mason","Þtontranæisto"
"Animal Trainer","Dresisto"
"Animal Caretaker","Zorganto de Bestoj"
"Fish Dissector","Sekcisto de Fiþo"
"Animal Dissector","Sekcisto de Bestoj"
"Fish Cleaner","Purigisto de Fiþo"
"Trapper","Kaptisto"
"Planter","Plantisto"
"Herbalist","Herbokolektisto"
"Ambusher","Embuskisto"
"Swimmer","Naøanto"
"Persuader","Persvadanto"
"Negotiator","Negocisto"
"Judge of Intent","Prijuøanto de Intencoj"
"Appraiser","Taksiisto"
"Organizer","Organizisto"
"Record Keeper","Registristo"
"Liar","Mensoganto"
"Intimidator","Minacanto"
"Conversationalist","Konversacianto"
"Comedian","Komediisto"
"Consoler","Konsolanto"
"Pacifier","Paciganto"
"Fisherman","Fiþkaptisto"
"Furnace Operator","Operaciisto de Fornoj"
"Strand Extractor","Ekstraktisto de Fibroj"
"Soaper","Sapfaristo"
"Potash Maker","Potasfaristo"
"Lye Maker","Lesivofaristo"
"Wood Burner","Lignobrulisto"
"Weaponsmith","Armilforøisto"
"Armorsmith","Arma¼forøisto"
"Blacksmith","Øenerala Forøisto"
"Gem Cutter","Gemfacetisto"
"Gem Setter","Geminkrustisto"
"Woodcrafter","Lignometiisto"
"Papermaker","Paperisto"
"Bookbinder","Bindisto"
"Potter","Ceramikisto"
"Wax Worker","Vakslaboristo"
"Stone Crafter","Þtonmetiisto"
"Metal Crafter","Metalmetiisto"
"Glassmaker","Vitrofaristo"
"Student","Lernanto"
"Observer","Observanto"
"Wordsmith","Vortomajstro"
"Writer","Verkisto"
"Poet","Poeto"
"Reader","Leganto"
"Speaker","Parolanto"
"Dancer","Dancisto"
"Musician","Muzikisto"
"Singer","Kantisto"
"Keyboardist","Klavaristo"
"Stringed Instrumentalist","Kondinstrumentisto"
"Wind Instrumentalist","Blovinstrumentisto"
"Percussionist","Frapinstrumentisto"
"Critical Thinker","Kritika Pensisto"
"Logician","Logikisto"
"Mathematician","Matematikisto"
"Astronomer","Astronomo"
"Chemist","¦emiisto"
"Geographer","Geografo"
"Leader","Gvidanto"
"Tactician","Taktikisto"
"Teacher","Instruisto"
"Wrestler","Luktisto"
"Biter","Mordanto"
"Striker","Frapanto"
"Kicker","Piedbatanto"
"Dodger","Evitanto"
"Axeman","Hakilisto"
"Swordsman","Glavisto"
"Maceman","Madzisto"
"Hammerman","Martelisto"
"Spearman","Lancisto"
"Crossbowman","Arbalestisto"
"Pikeman","Pikstangisto"
"Bowman","Pafarkisto"
"Shield User","Uzanto de Þildo"
"Armor User","Uzanto de Arma¼o"
"Siege Engineer","Inøeniero de Sieøo"
"Siege Operator","Operaciisto de Sieøo"
"Pump Operator","Operaciisto de Pumpiloj"
"Leatherworker","Leda¼isto"
"Presser","Premisto"
"Beekeeper","abelisto"
"Glazer","Glazuristo"
"Bone Carver","Ostotajlisto"
"Weaver","Teksisto"
"Brewer","Bierfaristo"
"Miller","Muelisto"
"Thresher","Draþisto"
"Blowgunner","Blovkanisto"
"Thrower","¬etanto"
"Druid","Druido"
"Knife User","Uzanto de Tranæilo"
"Lasher","Vipisto"
"Cook","Kuiristo"
"Cheesemaker","Fromaøisto"
"Milker","Melkisto"
"Gelder","Kastristo"
"Shearer","Lantondisto"
"Spinner","Þpinisto"
"Misc. Object User","Uzanto de Diversaj A¼oj"
"Wound Dresser","Pansisto"
"Suturer","Suturisto"
"Crutch-walker","Lambastoniranto"
"Climber","Grimpisto"
"Schemer","Intrigulo"
"marshals","marþaloj"
"treasurers","kasistoj"
"counselor","konsiliano"
"Gem shape not found: ","Formo de gemo ne trovita: "
"full","plena"
"sharp","akra"
"choppy","intermita"
"pure","pura"
"nasal","naza"
"rough","malglata"
"warm","varma"
"flat","plata"
"crisp","kraketa"
"sonorous","sonora"
"gentle","milda"
"hero","heroo"
"animal partner","besta kunulo"
"psycho","psiko"
"storyteller","rakontisto"
"poet","poeto"
"bard","bardo"
"dancer","dancisto"
"friendly","amika"
"killer","mortiganto"
"hunter","æasisto"
"murderer","mortiganto"
"comrade","kamarado"
"enemy fighter","malamika batalisto"
"friendly fighter","amika batalisto"
"bully","æikano"
"flatterer","flatanto"
"You might want to adjust the parameters governing elevation.  ","Vi eble volas aløustigi la parametrojn por difini altitudon. "
"Button","Butono"
"Civ Zone ","Civ' Zono "
"** Loading Fortress **","** Þargante Fortresa **"
"Repairing squad info for Unit #","Riparante taæmentan informon pri Unuo #"
"Number of Evil Rain Types","Nombro da Specoj de Malbonpluvoj"
"have corrupt feature map at ","havas difektitan funkcimapon æe "
"Loading world to start new game","Þargante mondon por komenci novan ludon"
"Loading object files...  ","Þargante objektajn dosierojn  "
"Sorting text...","Ordigante tekstojn..."
"Sorting material templates...","Ordigante materialajn þablonojn..."
"Sorting inorganics...","Ordigante neorganikojn..."
"Sorting plants...","Ordigante vegetalojn..."
"Sorting tissue templates...","Ordigante histajn þablonojn..."
"Sorting items...","Ordigante a¼ojn..."
"Sorting buildings...","Ordigante konstrua¼ojn..."
"Sorting body detail plans...","Ordigante planojn pri korpaj detaloj..."
"Sorting creature bodies...","Ordigante esta¼ajn korpojn..."
"Sorting creature variations...","Ordigante esta¼on variadojn..."
"Sorting creatures...","Ordigante esta¼ojn..."
"Sorting entities...","Ordigante entojn..."
"Sorting descriptors...","Ordigante priskribilojn..."
"Sorting reactions...","Ordigante reakciojn..."
"Sorting interactions...","Ordigante interagojn..."
"Sorting music...","Ordigante muzikon..."
"Sorting sounds...","Ordigante sononjn..."
"Processing languages...","Prilaborante lingvojn..."
"Processing plants...","Prilaborante vegetalojn..."
"Processing interactions...","Prilaborante interagojn..."
"Processing music...","Prilaborante muzikon..."
"Processing sounds...","Prilaborante sonojn..."
"Generating inorganics...","Generante neorganikojn..."
"Generating plants...","Generante vegetalojn..."
"Generating items...","Generante a¼ojn..."
"Generating creatures...","Generante esta¼ojn..."
"Generating entities...","Generante entojn..."
"Generating reactions...","Generante reakciojn..."
"Generating interactions...","Generante interagojn..."
"Finalizing generated objects...","Finante generitajn objektojn..."
"Preparing graphics...  ","Preparante grafika¼ojn...  "
"Loading items...","Þargante a¼ojn..."
"Loading civilized populations...","Þargante civilizaciajn loøantarojn..."
"Loading history...","Þargante historion..."
"Loading activities...","Þargante aktiva¼ojn..."
"Loading crimes...","Þargante krimojn..."
"Loading tracking information...","Þargante spuradan informon..."
"Loading cultural identities...","Þargante kulturajn identencojn..."
"Loading agreements...","Þargante akordojn..."
"Loading art forms...","Þargante artformojn..."
"Loading occupations...","Þargante okupojn..."
"Loading belief systems...","Þargante kredsistemojn..."
"Loading image sets...","Þargante bildajn arojn..."
"Loading divination sets...","Þargante aýguradajn arojn..."
"Rebuilding temporary information...","Remuntante laboran informon..."
"Preparing game...","Preparante ludon..."
"Failed!","Malsukcesis!"
"Loading world and continuing active game","Þargante mondon kaj daýrigante aktivan ludon"
"Loading units...","Þargante unuojn..."
"Loading jobs...","Þargante taskojn..."
"Loading schedules...","Þargante horarojn..."
"Loading projectiles...","Þargante pafilojn..."
"Loading machines...","Þargante maþinojn..."
"Loading flow guides...","Þargante gividilojn de fluo..."
"Loading effects...","Þargante efikojn..."
"Loading local animal populations...","Þargante loøantarojn de lokaj bestaj..."
"Loading events...","Þargante eventojn..."
"Loading mandates...","Þargante komisiojn..."
"Loading work quotas...","Þargante kvotojn de laboro..."
"Loading world events...","Þargante mondajn eventojn..."
"Loading announcements...","Þargante anoncadojn..."
"Loading fortress information...","Þargante fortresan informon..."
"Loading world information...","Þargante mondan informon..."
"Loading adventure...","Þargante aventuron..."
"Loading general information...","Þargante øeneralan informon..."
"Rebuilding more temporary information...","Remuntante pli laboran informon..."
"Preparing game screen...","Preparante ludekranon..."
"Handling compatibility issues...","Traktante problemojn pri kongrueco..."
"Pole","Poluso"
"Minimum Number of Low-Volcanism Squares","Minimuma Nombro da Malalte Vulkanismaj Æeloj"
"easily changes ","facile þanøas "
"  Offloading units... ","  Malþarøante unuojn... "
"  Offloading units...  ","  Malþarøante unuojn...  "
"No slabs engraved","Neniuj slaboj gravuritaj"
" slabs engraved"," slaboj gravuritaj"
"Slab engraved","Slabo gravurita"
"Weapons and Ammunition","Armiloj kja Municio"
"Siege Equipment","Ekipa¼o de Sieøo"
"Metal Clothing","Metalaj Vestoj"
"Engrave Memorial Slab","Gravuri Memorsignon"
"the notion of the exacerbation of a patient's condition","la nocio pri la pliseverigo de pacienta stato"
"TEXT not supported on windows","TEKSTO ne subtenita de Windows"
" Crafts"," Artefarita¼oj"
"Prepared Food","Preparita Manøa¼o"
"stanza","strofo"
"Stone shape not found: ","Formo de þtono ne trovita: "
"leaders","gvidantoj"
"bosses","estroj"
"chief","æefiæo"
"chiefs","æefiæoj"
"chieftess","æefino"
"chieftesses","æefinoj"
"captain","kapitano"
"captains","kapitanoj"
"commander","komandanto"
"commanders","komandantoj"
"ringleader","æefo"
"ringleaders","æefoj"
"warlord","militsenjoro"
"warlords","militsenjoroj"
"chieftain","estro"
"chieftains","estroj"
"soldier","soldato"
"soldiers","soldatoj"
"general","generalo"
"generals","generaloj"
"lord ","sinjoro "
" master"," mastro"
" masters"," mastroj"
" commanders"," komandantoj"
"sword","glavo"
"mace","madzo"
"hammer","martelo"
"spear","lanco"
"crossbow","arbalesto"
"pike","pikstango"
"bow","pafarko"
"blowgun","blovkano"
" door"," pordo"
"after defeating ","post venki "
"treasurer","kasisto"
"most sacred ","plej sakrala "
"most holy ","plej sankta "
"most exalted ","plej ekzalta "
"absolute ","absoluta "
"most high ","plej alta "
"most high priest","plej æefpastro"
"most high priests","plej æefpastroj"
"baron","baroniæo"
"barons","baroniæoj"
"baroness","baronino"
"baronesses","baroninoj"
"baron consort","baronedziæo"
"barons consort","baronedziæoj"
"baroness consort","baronedzino"
"baronesses consort","baronedzinoj"
"law-giver","leødonanto"
"law-givers","leødonantoj"
"war leader","militestro"
"war leaders","militestroj"
"constable","konstablo"
"constables","konstabloj"
"field ","feld "
"marshal","marþalo"
"head ","estra "
"royal ","reøa "
"chief ","æef "
"keeper of the seal","gardanto de la sigelo"
"keepers of the seal","gardantoj de la sigelo"
"chancellor","kanceliero"
"chancellors","kancelieroj"
"justiciar","juøistaro"
"justiciars","juøantaroj"
"advisor","konsilisto"
"advisors","konsilistoj"
"counselors","konsilianoj"
"chamberlain","æambelano"
"chamberlains","æambelanoj"
"master of beasts","estro de bestoj"
"masters of beasts","estroj de bestoj"
"cup-bearer","pokalisto"
"cup-bearers","pokalistoj"
"butler","æefservisto"
"butlers","æefservistoj"
"doctors","kurcistoj"
"executioner","ekzekutisto"
"executioners","ekzekutistoj"
"chef","æefkuiristo"
"chefs","æefkuiristoj"
"housekeeper","mastrumisto"
"housekeepers","mastrumistoj"
"building","konstrua¼o"
"You might want to adjust the parameters governing drainage.  ","Vi eble volas aløustigi la parametrojn por difini drenadon. "
"failure to get start square construction for transport link","malsukceso akiri komencan kvadraton de stariga¼o por transportligo"
"Leather armor","Leda arma¼o"
"Metal armor","Metala arma¼o"
"doyen","dekaniæo"
"doyens","dekaniæoj"
"doyenne","dekanino"
"doyennes","dekaninoj"
"dean","dekano"
"Ice Upward Track (W)","Glaca Supren Trako (Ok)"
"deans","dekanoj"
"clerk","komizo"
"clerks","komizoj"
"steward","stevardo"
"stewards","stevardoj"
"alderperson","skabeno"
" trying to generate musical form without speech or instruments"," klopodi produkti muzikan formon sen parolado nek instrumentoj"
"the atlas","la maparo"
"Mission Report: ","Misia Raporto: "
" training."," ekzercado."
"Merchants have arrived and are unloading their goods.","Komercistoj alvenis kaj estas malþarøante iliajn varojn."
"A trade depot is requiered for the delivery of the tribute.","Komerca stacidomo bezonas por liveri la tributon."
"The merchants need a trade depot to unload their goods.","La komercistoj bezonas komercan stacidomon por malþarøi iliajn varojn."
"history:sourcing:role of cultural differences","historio:fonto:rolo de kulturaj diferencoj"
"medicine:method:surgery draining","medicino:metodo:¶irurgia dreno"
"cut crystal glass gems","facetitaj gemoj el kristala vitro"
"withered ","velkaj "
"cheese","fromaøo"
"be jumpy","esti saltema"
"a performance of ","prezentado de "
"Something has pulled a lever!","Io tiris la levilon!"
"Something has triggered a pressure plate!","Io aktivigis premsenteman platon!"
"Something has emptied a cage!","Io malplenigis kaøon!"
"butcherable ","buæebla "
"millable ","muelebla "
"collected ","kolektis "
"empty ","malplena "
"processable ","prilaborebla "
"cookable ","kuirebla "
"extract-bearing plant ","ekstrakthava vegetalo "
"extract-bearing fish ","ekstrakthava fiþo "
"extract-bearing small creature ","ekstrakthava malgranda esta¼o "
"processable (to vial) ","prilaborebla (al flakonon) "
"processable (to barrel) ","prilaborebla (al barelon) "
"tameable small creature ","aldomigebla malgranda esta¼o "
"sand-bearing ","sablohava "
"glass ","vitra "
"lye-bearing ","lesivhava "
"milk ","melki "
"milkable ","melkebla "
"ammo ","municio "
"furniture ","meblo "
"dye ","tinkturi "
"dyeable ","tinkturebla "
"totemable ","totema¼igebla "
"glass-making ","vitrofarado "
"dyed ","tinkturita "
"melt-designated "," aparta por fando "
"sewn-imageless ","senkudrobilda "
"building material ","meterialo de konstrua¼o "
"plant ","vegetala "
"yarn ","lanfibra "
"leather ","leda "
"bone ","osta "
"hair/wool ","hara/lana "
"shell ","karapaca "
"horn ","korneca "
"pearl ","perla "
"plaster-containing ","gipshava "
"soap ","sapo "
"ivory/tooth ","ebura/denteca "
"lye/milk-free ","lesiv-/lakt-libera "
"unengraved ","negravurita "
"food storage ","manøa¼a tenejo "
"non-pressed ","nekunpremita "
"metal ","metala "
"-bearing ","hava "
"-producing ","n produktanta "
"-containing ","hava "
"liquid cooking","likva¼a kuirado"
"liquid container","likva¼ujo"
"food storage","manøa¼a tenejo"
"hive","abelujo"
"nest box","nestoskatolo"
"track cart","trakæareto"
"sheet roller","bastoneto de folio"
"writing container","skriba¼ujo"
"bookcase","librobretaro"
" that isn't a bin"," tio ne estas varujo"
"considering ","konsideri "
"a truly decadent dish","vere dekadencan pladon"
"black metal","nigra metalo"
" by a "," de "
" block"," bloko"
"Sorting world information...","Ordigante mondan informon..."
"Saving map data...","Savante mapajn datumojn..."
"Saving civilized populations...","Savante civilizitajn loøantarojn..."
"Saving history...","Savante historion..."
"Cleaning game objects...","Purigante ludajn objektojn..."
"Jobs removed from unpowered ","Taskojn forigis el nepotencigita "
"raw green glass","krudaj verdaj vitroj"
"raw clear glass","krudaj klaraj vitroj"
"raw crystal glass","krudaj kristalaj vitroj"
"stones","þtonoj"
"bars","stangoj"
"charcoal","braøon"
" bars"," stangoj"
"cut green glass gems","facetitaj gemoj el verda vitro"
"cut clear glass gems","facetitaj gemoj el klara vitro"
"gems","gemoj"
"blocks","blokoj"
"door","pordo"
"portal","portalo"
"floodgate","kluzo"
"hatch cover","plankpordo"
"grate","krado"
"bin","varujo"
"box","skatolo"
"coffer","kofro"
"bag","sako"
"backpack","dorsosako"
"cast","gipsbandaøo"
"limb/body ","membro/korpo "
"splint","splinto"
"crutch","lambastono"
"quiver","sagujo"
"casket","æerko"
"sarcophag","sarkofag"
"chain","kateno"
"rope","þnuro"
"vial","flakono"
"flask","platbotelo"
"waterskin","felsako"
"musical instrument","muzikinstrumento"
"unglazed ","neglazurita "
"tool","ilo"
"toy","ludilo"
"cup","taso"
"mug","taso"
"goblet","pokalo"
"window","fenestro"
"cage","kaøo"
"terrarium","terario"
"barrel","barelo"
"bucket","sitelo"
"animal trap","kaptilo por besto"
"throne","trono"
"web","aranea¼o"
"strands","fibroj"
"sheet","folio"
"tanned hide","tanita felo"
"totem","totema¼o"
"codex","kodekso"
"codices","kodeksoj"
"figurine","figureto"
"rotten ","putrita "
"powder","pulvoro"
"catapult parts","partoj de katapulto"
"mechanisms","me¶anismoj"
"tube","tubo"
"pipe section","duktosekcio"
"trap component","komponanto de insida¼o"
"ballista parts","partoj de ballisto"
"anvil","amboso"
"amulet","amuleto"
"ballista arrow head","sagegpinto"
"siege ammo","sieømunicio"
"ammunition","municio"
"scepter","sceptro"
"crown","krono"
"coin","monero"
"clear glass "," el klara vitro "
"crystal glass "," el kristala vitro "
" gem"," gemo"
"ring","ringo"
"earring","orelringo"
"bracelet","braceleto"
"traction bench","ostorefiksejo"
"quern","manmuelejo"
"millstone","muelþtono"
"statue","statuo"
"memorial","memorsigno"
"craft shop sign","pendoþildo de butiko de artefarita¼oj"
"general store sign","pendoþildo de øenerala butiko"
"food shop sign","pendoþildo de butiko de manøa¼oj"
"food imports sign","pendoþildo de importa¼oj de manøa¼oj"
"clothing imports sign","pendoþildo de importa¼oj de vestoj"
"general imports sign","pendoþildo de øeneralaj importa¼oj"
"cloth shop sign","pendoþildo de butiko de vestoj"
"leather shop sign","pendoþildo de butiko de ledo"
"woven clothing shop sign","pendoþildo de butiko de þtofaj vestoj"
"leather clothing shop sign","pendoþildo de butiko de ledaj vestoj"
"bone carver's shop sign","pendoþildo de ostotajlista butiko"
"gem cutter's shop sign","pendoþildo de gemfacetista butiko"
"weaponsmith's shop sign","pendoþildo de armilforøista butiko"
"bowyer's shop sign","pendoþildo de arbalestofarista butiko"
"blacksmith's shop sign","pendoþildo de butiko de øenerala forøisto"
"armorsmith's shop sign","pendoþildo de arma¼forøista butiko"
"metal craft shop sign","pendoþildo de butiko de metalaj artefarita¼oj"
"leather goods shop sign","pendoþildo de butiko de ledaj varoj"
"carpenter's shop sign","pendoþildo de æarpentista butiko"
"stone furniture shop sign","pendoþildo de butiko de þtonaj mebloj"
"metal furniture shop sign","pendoþildo de butiko de metalaj mebloj"
"tavern sign","pendoþildo de drinkejo"
"slab","slabo"
"corpse","kadavro"
"teeth","dentoj"
"silk body part","silka korpoparto"
"leather body part","leda korpoparto"
"wooden body part","ligna korpoparto"
"soap body part","sapa korpoparto"
"yarn body part","lanfibra korpoparto"
"strand body part","fibra korpoparto"
"Rotten ","Putrita "
"seeds","semoj"
"raw ","kruda "
"egg","ovo"
"live ","viva "
"small live animal","malgranda viva besto"
"tame ","aldomigi "
"small tame animal","malgranda aldomigita besto"
"prepared meal","preparita manøo"
"preserved ","konservata "
" chops"," pecoj"
" chop"," peco"
"meat","viando"
"weapon","armilo"
"armor","arma¼o"
"chain ","kateno "
"handwear","manvestoj"
"shield","þildo"
"footwear","piedvestoj"
"headwear","kapvestoj"
"legwear","gambovestoj"
"claims it as an heirloom in the name of the family ancestor ","pretendas øin kiel hereda¼o je la nomo de la familia antaýulo "
"claims it as a family heirloom","pretendas øin kiel familia hereda¼o"
" claims it as a personal treasure."," pretendas øin kiel propra trezoro."
"giving somebody water","doni al iu akvon"
"boiling green glass","bolanta verda vitro"
" caught up in the web!"," kaptita per la aranea¼o!"
"Metropolis","Metropolo"
"City","Urbo"
"Town","Urbeto"
"Village","Vilaøo"
"Hamlet","Vilaøeto"
"Outpost","Setlejo"
"being tormented in nightmares by a dead sibling","esti turmentita, en inkubsonøoj, de mortinta gefrato"
"Royal Mausoleum","Reøa Maýzoleo"
"Grand Mausoleum","Grandioza Maýzoleo"
"Royal Dining Room","Reøa Manøoæambro"
"Grand Dining Room","Grandioza Manøoæambro"
"Great Dining Room","Bonega Manøoæambro"
"Fine Dining Room","Fajna Manøoæambro"
"Decent Dining Room","Deca Manøoæambro"
"Modest Dining Room","Modesta Manøoæambro"
"Meager Dining Room","Magra Manøoæambro"
"No Dining Room","Nenia Manøoæambro"
"Decent Quarters","Deca Loøejo"
"Royal Throne Room","Reøa Tronæambro"
"Opulent Throne Room","Grandioza Tronæambro"
"Throne Room","Tronæambro"
"Stone Hauling","Alportado de Þtono"
"Wood Hauling","Alportado de Ligno"
"Food Hauling","Alportado de Manøa¼o"
"Item Hauling","Alportado de A¼oj"
"Animal Hauling","Alportado de Bestoj"
"Push/Haul Vehicles","Puþi/Alporti Veturilojn"
"Animal Care","Zorgo pri Bestoj"
"Diagnosis","Diagnozo"
"Setting Bones","Refiksado de Ostojn"
"Dressing Wounds","Pansante"
"Feed Patients/Prisoners","Manøigi Pacientojn/Malliberulojn"
"Recovering Wounded","Resanigante Vunditulon"
