"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"Religious persecutor","Рэлiгiйны ганiцель"
" was conquered"," быў заваяваны"
"Play with ","Пагуляць з "
"Autosave","Аўтазахаванне"
"There is no bucket.","Вядра няма."
"Sand Zone","Пясчаная зона"
"Saving identities...","Захаванне iдэнтыфiкацый..."
"exile","выгнанне"
"horrified","у жаху"
"Boss","Бос"
"intruder","зламыснiк"
"Stockpile","Склад"
"Track playing: ","Бягучы трэк: "
" in a fetal position"," у паставе эмбрыёну"
"Cheese (plant)","Сыр (раслiнны)"
" in order to have someone to act on plots and schemes in "," каб было з кiм дзейнiчаць па змовах у "
"Chair","Крэсла"
"was naturally inclined to speak","быў натуральна схiльны гаварыць"
" of the first theme"," першай тэмы"
"Disdains introspection","Ганьбуе самааналiз"
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. ","Калi вы ўпершыню гуляеце, калi ласка, прыслухайцеся да папярэджанняў аб ваданосных пластах, салёнай вадзе i iншых небяспеках. "
"Overall, the poetry is passable","Цалкам, паэзiя прымальная"
"Former mercenary","Былы наймiт"
"outraged","абураны"
"Pet owner","Уладальнiк гадаванца"
"[C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.","[C:6:0:1]Самацветы[C:7:0:0] можна [C:3:0:1]Агранiць[C:7:0:0] у [C:6:0:0]Ювелiрнай майстэрнi[C:7:0:0]. [C:3:0:1]Iнкрустуйце[C:7:0:0] йiмi [C:6:0:1]Вырабы[C:7:0:0] i iншыя прадметы, каб дадаць йiм большую каштоўнасць."
"You can recognize a priesthood once this is a temple.","Вы можаце прызнаць святарства, калi гэта стане храмам."
"Farm plots","Лехi"
"Never","Нiколi"
"Set the conditions for work order activation.  This can involve needed materials, the current stock of products, or the completion of other work orders.","Прызначце ўмовы актывацыi загада. Умовы могуць складацца з наяўнасцi неабходных матэрыялаў, колькасцi матэрыялаў на складах, альбо выкананне iншых працоўных загадаў."
"This does not move me.","Гэта мяне не кранае."
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","Усталяваць, колькi бочак, скрынак i тачак можа выкарыстоўваць гэты склад."
"There is no written content here.","Тут няма пiсьмовага зместу."
"Select how squads will use this space.","Выберыце, як атрады будуць выкарыстоўваць гэтую прастору."
"proud","ганарлiвы"
"Holds elected office","Займае выбраную пасаду"
"A few facts","Некалькi фактаў"
"jolly","вясёлы"
"not one day ago","меньш за соднi таму"
"Gem mining blueprint","План здабычы каштоўных камянёў"
"Stocks","Запасы"
"Stairs","Лесвiца"
"unhappy","нешчаслiвы"
"silk","ядваб"
"Good spatial sense","Добрае адчуванне прасторы"
"Tell Story","Расказаць гiсторыю"
"Name your settlement","Назавiце свае паселiшча"
"Cages/restraints","Клеткi/утрымлiванне"
"Saving general information...","Захаванне агульнай iнфармацыi..."
"Popup: Nobles","Успл. акно: Шляхта"
"If you'd like to focus a few of your citizens on farming, which gives skill benefits, you can assign them to the [C:2:0:0]Planters[C:7:0:0] work detail from the [C:5:0:1]Labor[C:7:0:0] menu. ","Калi вы жадаеце прызначыць некалькiх сваiх жыхароў на земляробства, вы можаце прызначыць iх як [C:2:0:0]Фермераў[C:7:0:0] у меню [C:5:0:1]Працы[C:7:0:0]. "
"It's time to build a [C:6:0:0]Stockpile[C:7:0:0] underground to unload them.  [C:6:0:0]Stockpiles[C:7:0:0] are crucial to moving ","Прыйшоў час пабудаваць [C:6:0:0]Склады[C:7:0:0] пад зямлёй, каб iх разгрузiць. [C:6:0:0]Склады[C:7:0:0] маюць вырашальнае значэнне для перасоўвання "
"Friendly terms","Таварыскiя адносiны"
"Chairs: ","Крэслы: "
"begins","пачынае"
"the bribery of","хабар"
"Track stop","Шляхавы прыпынак"
"You continue the sermon.","Вы працягваеце казанне."
"made a blackmail threat, due to embezzlement","выступiў з пагрозай шантажу з - за растраты"
"Unnamed water source","Безназоўная крынiца вады"
"Values craftwork","Цэнiць рамяство"
"The [C:6:0:0]Carpenter's Workshop[C:7:0:0] is the best place to make lightweight [C:6:0:1]Bins[C:7:0:0] and [C:6:0:1]Barrels[C:7:0:0], but they can also be made at ","[C:6:0:0]Цеслярская майстэрня[C:7:0:0] з'яўляецца лепшым месцам для вырабу лёгкiх [C:6:0:1]Скрынак[C:7:0:0] i [C:6:0:1]Бочак[C:7:0:0], але яны могуць таксама быць выраблены ў "
"Centralize","Цэнтралiзаваць"
"get it is from a [C:6:0:0]Well[C:7:0:0]. ","атрымання вады - [C:6:0:0]Студзень[C:7:0:0]. "
"One-time order","Аднаразовы загад"
"Unfortunately, no new pertinent information was revealed.","На жаль, нiякай новай актуальнай iнфармацыi не было выяўлена."
"[C:5:0:0]Militia Commanders[C:7:0:0] are assigned here. ","[C:5:0:0]Камандзiры апалчэння[C:7:0:0] прызначаюцца тут. "
"Nothing","Нiшто"
" could nearly pass for the voice of the "," хiба мог сысцi за голас "
"What would you like to name this timeline?","Як назавяце гэтую шкалу часу?"
"Villains!  The seizure of ","Нягоднiкi! Захоп "
"in agony","у агонii"
"Overbearing","Уладны"
"made flattering remarks","зрабiў лiслiвыя заўвагi"
"Legs","Ногi"
"Disdains stoicism","Ганьбуе стаiцызм"
"generic","унiверсальны"
"Friend","Сябр"
"You can optionally choose to designate a [C:3:0:0]Fishing[C:7:0:0] zone if you don't want your workers going far afield.","Пры жаданнi вы можаце вызначыць зону [C:3:0:0]Рыбалкi[C:7:0:0], калi не хочаце, каб вашы жыхары сыходзiлi далёка."
"Yarn","Прадзiва"
"Nomadic group","Вандроўная група"
" aided "," спрыяў "
"Corpses","Трупы"
"Blocks: metal","Блокi: метал"
" founded "," заснаваў "
"Later you may try the [C:5:0:1]Burrows[C:7:0:0] menu to create a safe place for your civilians to hide when real trouble comes.","Пазней вы можаце паспрабаваць меню [C:5:0:1]Сховiшчы[C:7:0:0], каб стварыць бяспечнае месца для вашых жыхароў, дзе яны могуць схавацца, калi наступiць сапраўдная бяда."
"Promote ","Павысiць "
"Bars and","Злiткi i"
"material","матэрыял"
"Weak","Слабы"
"It's time to get to work!  Let's start by digging a stairwell into the ground.  ","Час брацца за працу! Пачнем з таго, што выкапаем лесвiцу. "
"smeared out into a spiral","скручаны ў спiраль"
"leather... skin","абiўка... скура"
" apart"," на часткi"
"Abandon the fortress to ruin","Пакiнуць крэпасць на волю лёсу"
"Cut gem","Агранены самацвет"
"Smoothing blueprint","План згладжвання"
"Thread (plant)","Нiткi (раслiнныя)"
"Place All stockpile","Змясцiце агульны склад"
"manual","дапаможнiк"
"There are not enough dancers.","Не хапае танцораў."
"High priest: ","Першасвятар: "
"Farm plot","Ляха"
"Finished","Гатовыя"
"Underworld","Падземны свет"
"Stop Pumping Manually","Спынiць пампаванне ўручную"
"Saving world events...","Захаванне сусветных падзей..."
" fracturing"," ламаючы"
"Animals that are capable of being trained receive their training at this zone once they have been assigned a trainer from the Pets/Livestock menu.  Generally, a piece of meat is required.","Жывёлы, якiя маюць здольнась да дрэсiроўкi, навучаюцца ў гэтай зоне пасля таго, як iм будзе прызначаны дрэсiроўшчык з меню хатнiх жывёл. Часцей за ўсё, для паспяховай дрэсiроўкi трэба кавалак мяса."
"Former worker","Былы працаўнiк"
"There are no active work orders.","Няма актыўных працоўных загадаў."
"a desire for vengeance","жаданне помсты"
"and mulling over the recurring memory ","i абдумваючы паўторныя ўспамiны "
" poorly."," дрэнна."
"Slow to love","Нясхiльны любiць"
"worshippers","вернiкi"
"There have been a few already!","Было ўжо некалькi!"
"Dialog","Дыялог"
" to frame "," каб падставiць "
"Furniture","Мэбля"
"Objects","Аб'екты"
"No specific orders","Нiякiх пэўных загадаў"
"Values martial prowess","Паважае баявое майстэрства"
"Seek Unit For Job","Шукаць юнiта для працы"
"Treatise on technological evolution","Трактат аб тэхналагiчнай эвалюцыi"
"Below freezing","Нiжэй за нуль"
"appears","з'яўляецца"
"Enable artifact moods","Уключыць артэфактныя налады"
"little natural inclination toward music","невялiкая прыродная схiльнасць да музыкi"
"Performance troupe","Трупа артыстаў"
"Maximum embark dimension","Максiмальны памер высадкi"
"chairs","крэслы"
"You can create these with [C:5:0:1]Zones[C:7:0:0] -> [C:5:0:1]Office[C:7:0:0]. ","Вы можаце стварыць яго з дапамогай [C:5:0:1]Зоны[C:7:0:0] -> [C:5:0:1]Офiс[C:7:0:0]. "
"export prohibition violation","парушэнне забароны на экспарт"
"reliving ","перажываючы "
"You do not have a broker.","У вас няма брокера."
"By now you should have a room underground where your residents can hide from the creatures above. ","Цяпер у вас павiнна быць месца пад зямлёй, дзе вашы жыхары могуць схавацца ад iстот вышэй. "
"Webbed","Апутаны павуцiнай"
"Yes, and trade we will!  Simply tell me ","Давайце гандляваць!  Проста скажыце мне "
"[C:1:0:0]Burrows[C:7:0:0] are work and living areas where citizens can be assigned. ","[C:1:0:0]Сховiшчы[C:7:0:0] - гэта працоўныя i жылыя вобласцi, куды могуць быць прызначаны жыхары. "
"Farming","Гаспадарка"
"worried","занепакоены"
"Need accessible mechanisms.","Патрэбныя даступныя механiзмы."
"Attempted to build","Спрабаваў пабудаваць"
"Activity","Актыўнасць"
"Offerings from ","Падаванне ад "
"I feel hate.","Адчуваю нянавiсць."
"unkempt","неахайны"
"Splints (Desired): ","Шыны (пажадана): "
"Happiness and stress","Шчасце i стрэс"
"Tolerant","Талерантны"
"Second Adjective","2i прыметнiк"
"That is not in the least bit arousing.","Гэта нiколькi не ўзбуджае."
"agriculture","агрыкультура"
"Pumps from the north","Помпы з поўначы"
" traveling"," падарожнiчае"
"Raze ","Знiшчыць "
"[C:7:0:0], and [C:2:0:0]","[C:7:0:0] i [C:2:0:0]"
"Curious","Дапытны"
"A ramp is a special square that can be traversed to the level above. There must be space above a ramp ","Пандус - гэта спецыяльны квадрат, па якiм можна перайсцi на ўзровень вышэй. Над пандусам павiнна быць месца "
"Default embark height","Вышыня высадкi па змаўчаннi"
"religion","рэлiгiя"
"Select a trainer for ","Выберыце трэнера для "
"Good for business","Надзейны партнёр"
" a mockery of the "," здзек над "
"Forbidden","Забаронена"
"asking questions","задаваць пытаннi"
"Engraved ","Гравiроўка "
" tearing apart"," раздзiраючы на часткi"
" in order to be brought to safety"," каб быць дастаўленым у бяспечнае месца"
"No workers available","Няма даступных працаўнiкоў"
"Set plant gathering orders.","Даць загад на збор раслiн."
"Preparing graphics...","Падрыхтоўка графiкi..."
", becoming a citizen of ",", стаўшы грамадзянiнам "
"had a trusting nature and agreed","меў даверлiвы характар i пагадзiўся"
"reciting the poem ","расказвае вершы "
"Set tree chopping orders.","Секчы дрэва"
"Greetings from the Mountainhomes.  ","Прывiтанне з Горнай Сталiцы.  "
"This work order is active.","Працоўны загад актыўны."
"companion ","спадарожнiк "
"the Parabolic Mirror","Парабалiчнае Люстэрка"
"drink","напой"
"Unnamed dining hall","Безназоўная сталовая"
"Distracted!","Гневаецца!"
"Truth","Праўда"
" has lodged firmly in the wound!"," моцна засеў у ране!"
"With a [C:6:0:0]Bed[C:7:0:0] placed, your workers will have somewhere to sleep.  Later you can create a ","Размясцiўшы [C:6:0:0]Ложак[C:7:0:0] вашым жыхарам будзе дзе спаць. Пазней вы можаце стварыць "
"group","група"
"could not accept the uncertainty following death and agreed","не мог змiрыцца з нявызначанасцю пасля смерцi i пагадзiўся"
"bribery","хабар"
"My apologies, but we're still unloading.","Прабачце, але мы яшчэ разгружаемся."
" skipped: identifier cannot start with 'vanilla'."," прапушчана: iдэнтыфiкатар не можа пачынацца з 'vanilla'."
" civilization"," цывiлiзацыя"
" was the place to entertain people."," было месцам для забавы людзей."
"Infamous monster","Сумна вядомы монстар"
"If all of your [C:6:0:0]Stockpiles[C:7:0:0] are full, go ahead and place another one.","Калi ўсе вашы [C:6:0:0]Склады[C:7:0:0] запоўненыя, пастаўце яшчэ адзiн."
"No Quarter","Няма пакоя"
" on the first theme"," на першую тэму"
"Smooth a rough wall to make it more pleasing to your citizens.  This also prepares the wall for engraving or fortification.","Згладзiць шурпатую сцяну, каб зрабiць яе больш прыемнай для вашых жыхароў. Гэта таксама падрыхтуе сцяну для гравiроўкi або ўмацавання."
"Doctor","Лекар"
"Land holder population trigger ","Трыгер землеўладання ад насельнiцтва "
"Loot other items","Збiраць iншыя рэчы"
" (Chained)"," (Прыкаваны)"
"weather","надвор'е"
"was too envious of others to face death and agreed","моцна зайздросцiў iншым, каб сустрэць смерць, i пагадзiўся"
" (Caged)"," (У клетцы)"
"Not far from here, a fearsome creature has made its home.","Побач пасялiлася страшэнная iстота."
"Hair/wool","Валасы/воўна"
"Harumph.","Пф."
"Considers storyteller","Лiчыць казачнiкам"
"Finish setting item/building designations.","Схаваць абазначэнне прадметаў/будынкаў."
"Vain","Нарцыстычны"
"Surrounded by empty space","Атачоны пустой прасторай"
"Other food sources","Iншыя крынiцы ежы"
"accepting bribes in exchange for leniency","атрыманне хабару ў абмен на паблажлiвасць"
"Saving active historical figures...","Захаванне дзеючых гiстарычных дзеячаў..."
"Unassigned occupant","Непрызначаны жыхар"
"Ramp mining","Капанне пандусу"
"Vessel crew","Экiпаж судна"
"Eat good meal","Смачна паесцi"
"Squad","Атрад"
"Activity Event","Падзея"
"afraid","страх"
"Installed","Усталяваны"
"Construction inactive.","Будаўнiцтва не вядзецца."
"Values eloquence","Цэнiць красамоўства"
"disdaining the law","пагарджаючы законам"
"traveling","вандруючы"
" lay"," легчы"
"You may also send a squad to obtain one.","Таксама можаце адправiць атрад, каб атрымаць яго."
"comrade-in-arms ","баявы таварыш "
" of the second theme"," другой тэмы"
"This creature is a tavern keeper.","Гэтая iстота - карчмар."
" to help rescue "," каб дапамагчы выратаваць "
"Feel free to pause and check out the information.","Вы можаце рабiць паўзу калi хочаце, каб  праверыць iнфармацыю."
"Aquarium","Акварыюм"
"Water","Вада"
"the agreement between ","пагадненне памiж "
"[B]Pass this treasure into our possession, and we shall depart in peace.","[B]Аддайце гэты скарб нам, i мы разыйдземся мiрна"
"That's exhilarating.","Гэта хвалюе."
"ashamed","прысаромлены"
"Greatly feared as a murderer","Выклiкаючы жудасць галаварэз"
"and more...","i больш..."
"Mountainhome","Горная Сталiца"
"Now that you have a [C:6:0:1]Bed[C:7:0:0] you can place in it the fortress.  ","Цяпер, калi ў вас ёсць [C:6:0:1]Ложак[C:7:0:0], вы можаце размясцiць яго ў крэпасцi. "
" of "," ад "
"Reactions...","Рэакцыi..."
"Ballista","Балiста"
"water","вада"
"Value of grand guildhall","Значэнне вялiкай гiльдзалы"
"Hostile","Варожы"
"Animals assigned to pit/pond zones are dumped in the pit, but will leave the zone afterward if possible.  If the pit is designated as a pond, your citizens will attempt to fill it with water using buckets.","Жывёлы, якiя прызначаны да ям цi сажалак скiдваюцца туды, але будуць намагаюцца пакiнуць гэтую зону, калi гэта будзе магчыма. Калi яма прызначана як сажалка, то мясцовыя пачнуць напаўняць яе вадой ведрамi."
"It has no pages.","Тут няма старонак."
"Click a tile to be one end of the ","Пстрыкнiце на клетку, якая будзе адна з канцоў "
"Your fortress of ","Вашая крэпасць "
"Close","Закрыць"
"Other skills","Iншыя навыкi"
"Saving events...","Захаванне падзей..."
"to pray","каб памалiцца"
"thunder","гром"
"I've been out in the sunshine again after a long time away.","Пасля доўгай адсутнасцi я зноў апынуўся на сонейку."
"Click for assignments and details","Нацiснiце, каб даведацца пра заданнi i падрабязнасцi"
"Table","Стол"
"Slow to anger","Нервова ўстойлiвы"
"making a plaintive gesture","робiць журботны жэст"
"Teeth","Зубы"
"All work orders must be validated","Усе працоўныя загады павiнны быць сцверджаны"
"The oppressor has been overthrown!","Прыгнятальнiк скiнуты!"
"Competition","Сапернiцтва"
"Monitor their thoughts to identify problems that you can solve.","Сачыце за iх думкамi, каб вызначыць праблемы, якiя вы можаце вырашыць."
" worshipper"," вернiк"
"Conflicts with ","Канфлiктуе з "
"Extract (plant)","Экстракт (раслiнны)"
"Recite Poetry","Расказваць вершы"
"Save world and return to title menu","Захаваць свет i выйсцi ў галоўнае меню"
"Bashful","Сарамлiвы"
" is unparalleled.  Let's make a deal!"," не мае сабе роўных.  Давай дамаўляцца!"
"Harmony","Гармонiя"
"Ammo","Снарады"
"Wait for ","Чакаць "
"tavern (255,255,32)","карчма (255,255,32)"
"Passable","Праходнае"
" latches on firmly!"," трымаецца моцна!"
"Exported Wealth:","Экспартавана:"
"I'm grateful.","Я ўдзячны."
"Population: ~500","Насельнiцтва: ~500"
"Discuss ","Абмеркаваць "
"a toy","цацкай"
"Minimum raids before first siege (per civ)","Мiнiмальная колькасць рэйдаў перад першай аблогай (на цывiлiзацыю)"
"being trusting by nature","быўшы прыродна даверлiвым"
"I cannot take so much -- and at such cost!","Я не магу ўзяць столькi - ды за такую цану!"
"Open the squad sidebar.","Адкрыць бакавую плiтку атрадаў."
"and see how many workers of each profession there are and whether a guild has been established. ","i пабачыць, колькi рабочых кожнай прафесii i цi гiльдыя iснуе. "
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  What a pleasant surprise!  Not a single tree here weeps from the abuses meted out with such ease by your people.  Joy!  The dwarves have turned a page, not that we would make paper.  A travesty!  Perhaps it is better said that the dwarves have turned over a new leaf, and the springtime for our two races has only just begun.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Якi прыемны сюрпрыз! Нi адно дрэва тут не плача ад гвалту, якi з такой лёгкасцю чынiць ваш народ. Радасць! Гномы перагарнулi старонку... Мы б канешне не рабiлi бы для гэтага аркуш паперы. Магчыма, лепш сказаць, што гномы перагарнулi лiсце, i вясна для нашых дзвюх рас толькi пачалася."
"Prof","Праф."
"The rest of the interface is now enabled.","Астатнi iнтэрфейс цяпер уключаны."
"the formation of a corrupt agreement","афармленне карупцыйнага пагаднення"
", has been conquered and",", была заваявана i"
"storms","навальнiцы"
"Auto-dumping is not required.","Аўтаскiд не патрабуецца."
"The performance is at ","Выступ адбываецца ў "
"Awaiting ","У чаканнi "
"Cloth (plant)","Тканiна (раслiнная)"
"Keyboard cursor enabled","Курсор клавiятуры ўключаны"
"Dolomite","Даламiт"
"If there is a river or pond nearby you may consider fishing.  If the water isn't frozen, a worker with the ","Калi побач ёсць рака або сажалка, можна заняцца рыбалкай. Калi вада не замерзла, рабочы з "
"through the ","праз "
"Merchants from ","Купцы з "
"Personality","Асоба"
"Legendary bully","Легендарны хулiган"
"discourse on the nature of mind and body","дыскурс аб прыродзе розуму i цела"
"You may need supplies before the coming of winter. ","Магчыма, вам спатрэбяцца запасы да надыходу зiмы. "
"Sand","Пясок"
"Father","Бацька"
"[C:6:0:0]Tables[C:7:0:0] for your [C:5:0:0]Scribes[C:7:0:0] to work on.  [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] are needed to store the ","[C:6:0:0]Сталы[C:7:0:0] для працы вашых [C:5:0:0]Пiсараў[C:7:0:0]. [C:6:0:0]Куфры[C:7:0:0] або [C:6:0:0]Скарбонкi[C:7:0:0] неабходны для захоўвання "
"Settle in unliveable regions tormented by ancient evils and defend your fortress from zombies with your own army of vampires. ","Пасялiцеся ў непрыдатных для жыцця рэгiёнах, якiя пакутуюць ад старажытнага зла, i абараняйце сваю крэпасць ад зомбi з дапамогай уласнай армii вампiраў. "
"Economy:","Эканомiка:"
"Forgotten beast wealth divisor (more = safer)","Дзельнiк багацця забытага звера (больш = бяспечней)"
"Show numeric liquid levels","Паказаць лiкавыя ўзроўнi вадкасцi"
"Use closest material","Выкарыстоўваць найблiжшы матэрыял"
" has become a student of "," стаў студэнтам "
"For me?  At no price?  I can accept your offer, or perhaps you wish to trade.","Для мяне?  Бескаштоўна?  Я магу прыняць вашу прапанову, або, магчыма, вы хочаце абмяняцца."
" rejected (not enclosed.)"," адхiлена (не прыкладаецца.)"
"Select animals to be placed in this pasture zone.  They will stay after being led here.","Выберыце жывёлу для размяшчэння ў гэтай пашы. Яны застануцца пасля таго, як iх прывядуць сюды."
"I burn with ferocity.","Я палаю ад лютасцю."
"raged","лютаваў"
"eldest son","старэйшы сын"
"Magma","Магма"
"Prisoners","Зняволеныя"
"Automated vein and gem mining","Аўтаматызаваная здабыча жыл i каштоўных камянёў"
"I feel guilty.","Я адчуваю сябе вiнаватым."
"Work details are one way you can control which workers do which tasks, and they are the only way to assign certain tasks like mining, woodcutting, hunting, and fishing. ","Дэталi працы - гэта адзiн са спосабаў кантраляваць, якiя працаўнiкi выконваюць якiя загады, i гэта адзiны спосаб прызначыць пэўныя задачы, такiя як здабыча, высечка, паляванне i рыбалка. "
"Clear glass","Празрыстае шкло"
"Poor spatial sense","Благое адчуванне прасторы"
"Tavern","Карчма"
"Attempted Espionage","Спроба шпiянажу"
" plotted to induce a war of "," змова каб развязаць вайну "
"Social","Сацыяльныя"
"What is it this time...","Што на гэты раз..."
"New temple","Новы храм"
"NO BINDING","НЕ ПРЫЗНАЧАНА"
"Magma glass furnace","Магма - шкловарная печ"
"Add new route","Дадаць маршрут"
"Erase a portion of this burrow.","Сцерцi частку гэтай нары."
"Set high and low traffic areas.","Пазначыць зоны трафiку з высокiм i нiзкiм прыярытэтам."
"You","ты"
"Available as pet","Даступны ў якасцi гадаванца"
" being mutilated"," пакалечаны"
"the efforts of co-conspirators to further the plot","намаганнi змоўшчыкаў да працягу змовы"
"But this is only the beginning.  Ultimately, your true goals are up to your imagination. ","Але гэта толькi пачатак. У рэшце рэшт, вашы сапраўдныя мэты залежаць ад вашага ўяўлення. "
" cooking "," кухарыць "
"Demand one-time tribute","Патрабаваць аднаразовай данiны"
" denting"," пракусваючы"
"[C:2:0:0]Haulers[C:7:0:0] will also drop [C:6:0:1]Wood[C:7:0:0] in your [C:6:0:0]All Stockpile[C:7:0:0] unless you turn it off in the [C:5:0:1]Custom Stockpile Menu[C:7:0:0].","[C:2:0:0]Грузчыкi[C:7:0:0] будуць пераносiць[C:6:0:1]Дрэва[C:7:0:0] у ваш [C:6:0:0]Агульны склад[C:7:0:0], пакуль вы не адключыце яго ў [C:5 :0:1]Наладках склада[C:7:0:0]."
"I will master myself.","Усё будзе добра."
"I wish I could take so much, but my animals...","Я б гэта ўсё з задавальненнем узяў, але мае жывёлы..."
"Then draw a rectangle over the bushes you wish to search.","Затым намалюйце прастакутнiк над кустамi, якiя вы хочаце абабраць."
"On your own!","Паводле свайго меркавання!"
"Any unassigned trainer","Любы непрызначаны трэнер"
"Tissue templates...","Шаблоны трантаў..."
", while completely misreading the situation, ",", цалкам няправiльна разумеючы сiтуацыю, "
"Perform Dance","Танцаваць"
"Description","Апiсанне"
"Go to the next zone overlapping the tile you clicked.","Пераход да наступнай зоны ў гэтым месцы."
"Operated by Mechanisms","Кiраванае механiзмамi"
"Armor and Garb:","Браня i адзежа:"
"Send to ","Адправiць "
"Greatly respected for loyalty","Ушанаваны за вернасць"
"The topic being taught is ","Выкладаецца тэма "
"theme","тэма"
"treasure","скарб"
"Let your mind wander","Даць волю ўяўленню"
"You can learn more about this visitor after they chat with a local.","Вы зможаце даведацца больш пра гэтага наведвальнiка пасля таго, як ён паразмаўляе з мясцовым жыхаром."
" (hidden)"," (схаваны)"
"You have ","Ты маеш "
"To slaughter an [C:2:0:0]Animal[C:7:0:0] you must first build a [C:6:0:0]Butcher's Shop[C:7:0:0]. ","Каб забiць [C:2:0:0]Жывёлу[C:7:0:0], трэба спачатку пабудаваць [C:6:0:0]Ятку[C:7:0:0]. "
"""Yes.  I need ","""Так, мне трэба "
"Slave","Раб"
"Converting chopping blueprint to regular","Пераўтварэнне плана павалу лесу ў звычайны"
"lords","лорды"
"decorating the hall and building [C:6:0:0]Furniture[C:7:0:0] like [C:6:0:0]Statues[C:7:0:0].","упрыгожвання залы [C:6:0:0]Мэбляй[C:7:0:0] напрыклад [C:6:0:0]Статуямi[C:7:0:0]."
"trees","дрэвы"
"anything","што - небудзь"
"incident","здарэнне"
"Material templates...","Шаблоны матэрыялаў..."
"Cannot assign work details","Немагчыма прызначыць дэталi працы"
"Chained","Прыкаваны"
"Select a type below to add a zone.","Выберыце тып зоны нiжэй."
"Settings","Наладкi"
"Asset","Актыў"
"Warning!","Увага!"
" to a meeting with "," на сустрэчу з "
"Legendary protector of the weak","Легендарны абаронца слабых"
"made a threat","пагражаў"
"felt no loyalty to","не адчуваў лаяльнасцi да"
"Values tradition","Шануе традыцыi"
"Select animals to be dropped into the pit or pond below this zone.  Animals will not feel obligated to stay if they can find a way out.","Выбраць жывёл, якiх трэба кiнуць у яму або сажалку нiжэй гэтай зоны. Жывёлы не будуць адчуваць сябе абавязанымi заставацца, калi змогуць знайсцi выхад."
"active dance form","актыўная танцэвальная форма"
"Respected for heroic acts","Паважаны за гераiчныя ўчынкi"
"of metal","метала"
", despite ",", нягледзячы на "
"Family","Сям'я"
"Item types","Тыпы рэчаў"
"Pressure plate","Нацiскная пласцiна"
"Later you may want to customize your [C:6:0:0]Stockpiles[C:7:0:0] by clicking on them and pressing the [C:5:0:1]Custom[C:7:0:0] ","Пазней вы можаце наладзiць свае [C:6:0:0]Склады[C:7:0:0], клiкнуў па iх i нацiснуўшы [C:5:0:1]Прыватны[C:7:0:0] "
"building destruction","разбурэнне будынка"
"Archery range","Палiгон лучнiкаў"
"supplies around your fortress where they are needed.","запасы вакол вашай крэпасцi, дзе яны неабходныя."
"Past Participle","Прошлы час"
"Designate tree","Абазначце дрэва"
"Takes all kinds these days.","У гэтыя днi здараецца ўсялякае."
"Characterizing raw data...","Характарызацыя зыходных даных..."
"Craftsmanship","Майстэрства"
"I must make a profit.  There is simply not enough value here.","Мне трэба прыбытак. А тут не хапае каштоўнасцi."
"Population: ~2000","Насельнiцтва: ~2000"
"accepted in admiration of power","прыняты ў захапленнi ад улады"
"I take no pleasure in this.","Я не атрымлiваю ад гэтага задавальнення."
"Unnamed plant gathering area","Безназоўнае месца збору раслiн"
"Certainly considered an intruder","Вядома, лiчыцца зламыснiкам"
"A half day's travel","Паўдня шляху"
"Designating high traffic area","Прызначэнне зоны iнтэнсiўнага руху"
"Famous loyal soldier","Знакамiта верны жаўнер"
" being shot"," падстрэлены"
"rejected","адхiлены"
"I feel isolated.","Я адчуваю сябе iзаляваным."
"Distance: ","Адлегласць: "
"Engrave artwork into a smooth wall.","Выгравiраваць выяву на гладкай сцяне."
"Finalizing creatures...","Завяршэнне iстот..."
"Attempted to make","Спрабаваў зрабiць"
"Uniform","Форма"
"Certainly considered a brawler","Безумоўна, лiчыцца дэбашырам"
" register"," рэгiстру"
"they can carry away the weight of the things you are selling.","яны змогуць перанесцi вагу рэчаў, якiя вы прадаяце."
"the [C:5:0:1]Burrow[C:7:0:0] menu) for your squad to defend.  The [C:3:0:1]Training[C:7:0:0] order allows your soldiers to train, but you must ","меню [C:5:0:1]Сховiшча[C:7:0:0]) для абароны атрадам. Загад [C:3:0:1]Трэнiроўка[C:7:0:0] дазваляе вашым салдатам трэнiравацца, але спачатку "
"Note that some [C:2:0:0]Livestock[C:7:0:0] must eat vegetation to survive. ","Звярнiце ўвагу, што некаторыя [C:2:0:0]Жывёлы[C:7:0:0] павiнны харчавацца раслiннасцю каб выжыць. "
"Diligence","Руплiвасцi"
"enthusiastic","захоплены"
"succumbed to vanity","паддаўся пыхлiвасцi"
"Go to Sparring Practice","Перайсцi да спаррынгавай трэнiроўкi"
"You can also interrogate suspects. ","Вы можаце дапытваць падазроных. "
" straps "," прышпiльвае "
"Unnamed sand collection area","Безназоўны участак збору пяску"
" make"," рабiць"
"finds the pursuit of skill mastery off-putting","лiчыць прагу авалоданнем навыкамi непрымальнай"
