"more presumptious","m†s presuntuoso"
"State intention to flee conflict","Expresar la intenci¢n de huida del conflicto"
"I learned ","Aprend° "
"bolt","virote"
"eighth eldest child","octavo hijo"
"triplets","trillizos"
"rotten","podrido"
"has many worshippers in","tiene muchos adoradores en"
" in a "," en un "
"State feelings of astonishment","Expresar sentimientos de estupor"
" block "," bloquea "
", disturber only",", s¢lo perturbador"
" including "," incluyendo "
"Fool!","≠Tonto!"
"caught in snow","atrapado en la nieve"
"Disdains independence","Desprecia la independencia"
"flimsy","dÇbil"
"The color ","El color "
" Throwing Competition"," Competici¢n de lanzamiento"
"Legendary enemy fighter","Contrincante legendario"
" will be logged after parameter dump."," se registrar† despuÇs del volcado de par†metros."
" fabric"," tejido"
"The signs lead north.","Las se§ales conducen al norte."
"Relations","relaciones"
" making a submissive gesture"," hacer un gesto de sumisi¢n"
"Main menu","Men£ principal"
"Profile ","Perfil "
"because it was destined","porque estaba destinado"
"Too Large For Vegetation","Demasiado grande para la vegetaci¢n"
"gleeful","alegre"
"town","pueblo"
"That was very satisfying!","≠Eso fue muy satisfactorio! "
"Your workers will rarely make them on their own.","Sus trabajadores rara vez los har†n solos."
"The vegetation has been slightly perturbed here.","La vegetaci¢n ha sido ligeramente alterada aqu°."
"When your view is in the air above other tiles, you can see them below, but you can only interact with objects in your current elevation.","Cuando su vista est† en el aire por encima de otros mosaicos, puede verlos debajo, pero solo puede interactuar con objetos en su elevaci¢n actual."
"Cold cases","Casos sin resolver"
" keyboard"," teclado"
"the confiscation of ","la confiscaci¢n de "
"scribe","escritor"
" in the lava"," en la lava"
"burned","quemado"
"I asked ","Yo preguntÇ "
"the construction and use of the tumbler lock","la construcci¢n y uso de la cerradura de pines"
"I live to serve.","Vivo para servir. "
"Rotten raw hide","Piel cruda podrida"
"does not have a great aesthetic sensitivity","no tiene una gran sensibilidad estÇtica"
"has a tendency to consider ideas and abstractions over practical applications","tiene la tendencia a considerar las ideas y las abstracciones por sobre las aplicaciones practicas"
"Market","Mercado"
"collapsed.","desplomado."
"Automatically butcher carcasses","Carnicer°a autom†tica de canales"
"disappointment","decepci¢n"
"The supplies on the wagon are in danger of being carried off by wild creatures!  ","≠Las provisiones del carro corren peligro de ser arrebatadas por criaturas salvajes! "
"kicked out of troupe","expulsado de el equipo"
"All of that so-called knowledge doesn't mean a thing.","Todo lo que se llama conocimiento no significa nada."
" dancers"," bailarines "
"Minimum Number of Low-Drainage Squares","N£mero M°nimo de Casillas con Drenaje Bajo"
"Acknowledge lack of arousal","Reconocer la ausencia de excitaci¢n sexual"
" to sabotage the activities of "," sabotear las actividades de "
"State feelings of pride","Expresar sentimientos de orgullo"
" throne"," trono"
"This engraving appears on a wall ","Este grabado aparece en una pared "
"Prefer zones for fishing","Zonas preferidas para la pesca"
"Spirit","Espirit£"
"the method of bandaging wounds","el metodo de vendar heridas"
"has a habit of clicking ","tiene la costumbre de hacer click "
"Seek this place if you hunt ","Busca este lugar si cazas "
"Finalizing languages...","Finalizando idiomas..."
"geography","geograf°a"
" which you cannot read"," que no puedes leer"
"Set conditions for the minecart to move on to the next stop.","Establezca las condiciones para que el vag¢n avance a la siguiente parada."
"Agreements","Acuerdos"
"rulership","soberan°a"
"liquid scoop","cucharada l°quida"
"a castle courtyard","un patio del castillo"
"Duplicate inventory removed: ","Inventorio duplicado eliminado: "
"to fall in love","para encontrar el amor"
"the exploration of how history would be different if some key past events had transpired differently","la exploraci¢n de como la historia podr°a haber sido diferente algunos momentos pasados clave hubieran transcurrido diferentemente"
"I must practice the fighting arts.","Debo practicar las artes de lucha."
"Where will you jump?","®D¢nde saltar†s?"
"There was a performance in ","Hubo una actuaci¢n en "
" is speaking, "," est† hablando, "
"energetic","energÇtico"
" with some others"," con algunos otros"
"State feelings of nostalgia","Expresar sentimientos de nostalgia"
"Choose a stockpile to which the track stop's vehicle will give items.","Elija un almacÇn en la que el veh°culo de la parada de pista le dar† art°culos."
"It accords with my faith.","Est† de acuerdo con mi fe."
"warthog","jabal°"
"local ","local "
"Violation of job order","Violaci¢n de la orden de trabajo"
"lacked a desire for vengeance and refused","carec°a de deseo de venganza y se negaba"
"You can also compose poems, songs, and choreography if you know a relevant art form.  ","TambiÇn puedes componer poemas, canciones y coreograf°as si conoces alguna forma de arte relevante. "
"astronomy:summer winter moon","astronom°a:luna de verano e invierno"
" blundered terribly"," fall¢ terriblemente"
"Save and continue playing","Guardar y seguir jugando"
"Restraint","Restricci¢n"
"the melancholy of","la melancol°a de"
"You need to select the crops to be grown each season. ","Debe seleccionar los cultivos que se cultivar†n cada temporada. "
"thick ","espeso "
"Hold","Sostener"
"the Scratch Test","el Test de Dureza"
"ranges from the ","va desde el "
" left to found a new settlement"," marcha para encontrar un nuevo asentamiento"
"Reject the joke","Rechazar la broma"
"Tropical Saltwater River","R°o Tropical de Agua Salada"
"one of the most loyal soldiers to serve anybody at any time","uno de los soldados m†s fieles para servir a cualquiera en cualquier momento"
"Path blocked","camino bloqueado"
"Fine Dining Room","Fino Comedor"
"wooden ","de madera "
"Seek Drink Item","Buscar Bebida"
"the peace-making of","la firma de la paz de"
"metals","metales"
"shoes","zapatos"
"a very good dining room","un muy buen comedor"
"Population: ~50","Poblaci¢n: ~50"
"a few days ago","hace unos d°as"
"casual ","casual "
"  My epic journey began "," Mi viaje Çpico comenz¢ "
"claims it as an heirloom in the name of the family ancestor ","lo reclama como reliquia en nombre de su antepasado familiar "
"I had an intellectual discussion with my sibling.","Tuve una discusi¢n intelectual con mi hermano."
"on-ground ","sobre-suelo "
"wealth","riqueza"
" thread"," hilo"
"flee","huir"
"This crucial building is where all trading will be done.  Pack animals from distant civilizations will need to access this building from the edge of the map.  Later, wagons will need a clear 3-wide path to the depot.","Este edificio crucial es donde se realizar†n todas las transacciones. Los animales de carga de civilizaciones distantes necesitar†n acceder a este edificio desde el borde del mapa. M†s tarde, los vagones necesitar†n un camino despejado de 3 de ancho hasta el dep¢sito."
" under a collapsing ceiling"," bajo un techo colapsado"
" civilization of "," civilizaci¢n de "
"I am in complete accord with this!","≠Estoy completamente de acuerdo en eso!"
" upon a "," sobre un "
"bolt thrower parts","partes de lanzador de virotes"
"chain ","cadena "
"Crutch-walking","Caminando con Muletas"
"Minimum Number of Low-Savagery Squares","N£mero M°nimo de Casillas con Salvajismo Bajo"
"syndrome emotion","s°ndrome emoci¢n"
" to find "," para encontrar "
"[C:4:0:1].Heavy bleeding","[C:4:0:1].Sangrado abundante"
"became obsessed with an inscrutable goal","se obsesion¢ con una meta inescrutable"
"Citizenship petitions: reject","Peticiones de ciudadan°a: rechazar"
" foot armor"," armadura de pie"
"Carve upward staircase","Tallar escalera hacia arriba"
"Loner     <->      Gregarious","Solitario     <->      Gregario"
"Change","Cambio"
"To stop some enemies from entering your fortress use [C:5:0:1]Build[C:7:0:0] -> [C:5:0:1]Machines/fluids[C:7:0:0] -> [C:5:0:1]Lever[C:7:0:0] to build a [C:6:0:0]Lever[C:7:0:0]. ","Para evitar que algunos enemigos entren en tu fortaleza, usa [C:5:0:1]Construir[C:7:0:0] -> [C:5:0:1]M†quinas/fluidos[C:7:0:0] -> [C:5:0:1]Palanca[C:7:0:0 ] para construir un [C:6:0:0]Palanca[C:7:0:0]. "
"Create a tree to place in the arena.","Crear un †rbol para colocar en la arena"
"large hand-held","de mano grande"
"the Conviction","La convicci¢n"
"Cannot make campfire","No se puede hacer hoguera"
"Animal inaccessible","Animal inacesible"
"yarn body part","parte del cuerpo de cordel"
" collection of outcasts from "," colecci¢n de marginados de "
"Comedy","Comedia"
"Cook","cocinar"
"Drainage","Drenaje"
"I drank water mixed with pus.","Beb° agua mezclada con pus."
"kinds as well as some [C:6:0:1]Rough Gems[C:7:0:0] if you are lucky.","Tipo as° como algunas [C: 6: 0: 1] Gemas †speras [C: 7: 0: 0] si tienes suerte."
"Storage and tools","Almacenamiento y herramientas"
" is troubled by this because "," est† preocupado por esto porque "
"Struck economic mineral","Descubrimiento de un mineral econ¢mico"
"Stability","Estabilidad"
"Pets","Mascotas"
"You can also cause trouble if you'd like to raid your neighbors. ","TambiÇn puedes causar problemas si quieres asaltar a tus vecinos. "
"Competing were ","Compitiendo eran "
"fishing labor assigned will begin fishing automatically.","La mano de obra pesquera asignada comenzar† a pescar autom†ticamente."
"I have strong feelings of ambivalence.","Me siento muy ambivalente."
"Ramps and channels","Rampas y canales"
"Front Compound","Compuesto delantero "
"telling somebody about being trapped here","diciendo a alguien que est† atrapado aqu°"
"has a touch of melancholy","tiene un toque de melancol°a"
"Select a butchery tool.","Seleccione una herramienta de carnicer°a."
"a food imports store","una tienda de importaci¢n de alimentos"
" to death "," hasta la muerte "
" raised left arm"," brazo izquierdo alzado"
"valuing the truth","valorando la verdad"
" becomes exasperated, "," se exaspera, "
"It is amazing how far you've come.  Welcome home.","Es incre°ble lo lejos que has llegado. Bienvenido a casa."
"The Night","La noche"
"added to a grotesque pillar","a§adido a un pilar grotesco"
"going wrong direction","yendo en la direcci¢n equivocada"
"State feelings of great disillusionment","Expresar sentimientos de gran desiluci¢n"
"active","activo"
"Dawn is breaking.","Est† amaneciendo."
" into a deep chasm"," en un abismo profundo"
"Overall, the prose is amateurish at best","En general, la prosa es amateur en el mejor de los casos."
" partially overcome the paralysis."," Parcialmente vence la paralisis."
"the classification of ores","la clasificaci¢n de minerales"
"Grave","Rodilleras"
"squirrel","ardilla"
". Further duplicates will be printed to errorlog; worldgen will abort.",". Los duplicados adicionales se registrar†n en el registro de errores; la generaci¢n del mundo se abortar†."
"my lover","mi amante"
" starts getting bored"," comienza a aburrirse"
"dialog","di†logo"
"Population: ~200","Poblaci¢n: ~200"
"Overreliant <> Disdain advice","Excesivamente dependiente <> Desde§oso"
"market","mercado"
"Removing traffic designations","Eliminando designaciones de tr†fico"
"Move the camera down","Mover la c†mara hacia abajo"
"the start as a ","el comienzo como un "
"A coming disaster can be delayed, but not avoided.","Un pr¢ximo desastre puede retrasarse, pero no evitarse."
"surgeon","cirujano"
"triumph","triunfo"
"How will you respond to this flattery?","®C¢mo responder†s a este halago?"
"very quick to tire","muy r†pido para cansarse"
"begins to talk more slowly when ","comienza a hablar m†s lentamente cuando "
"delighted","encantado"
"Listen to Story","Escuchar historia"
"Tundra region count fails by ","El recuento de la regi¢n de la tundra falla por "
"I don't feel glum.","No me siento triste. "
"Bah!  I hope you aren't celebrating something.","Bah!  espero que no estes celebrando algo."
", metal armor",", armadura de metal"
"Acknowledge lack of humiliation","Reconocer la ausencia de humillaci¢n"
" right here in "," justo aqu° en "
"being far away","estando lejos"
"enemy","enemigo"
"Rage","Furia"
"Thick fog","Niebla espesa"
"(Combat) Strike","(Combate) Golpe"
"[C:1:0:1]Drowning","[C:1:0:1]Ahogamiento"
" chain"," cadena"
"I'm preparing to travel to ","Me estoy preparando para viajar a "
"The world generator is having trouble placing a controllable civilization.  ","El generador del mundo est† teniendo problemas situando una civilizaci¢n controlable. "
"repeated ","repetido "
"a clothing imports store","una tienda de importaciones de ropa"
"relies on the advice of others during decision making","conf°a en el consejo de los dem†s durante la toma de decisiones"
"nothing.","nada."
"medicine","medicina"
"mannerism","costumbre"
"more anger-prone","m†s propenso al enfado"
"Creature sound","Sonido de criatura"
"the game progresses.  Use the [C:5:0:1]Nobles and administrators[C:7:0:0] menu to check their wants and needs.","el juego avanza. Usa el men£ [C:5:0:1]Nobles y administradores[C:7:0:0] para comprobar sus deseos y necesidades."
"That's me.  I'm right here.","Ese soy yo. Estoy aqu°."
"This item is a tool assigned by a work detail.","Este art°culo es una herramienta asignada por un detalle de trabajo."
"Empty a container","Vaciar un recipiente"
"the notion of conflict between members of a community","la noci¢n de un conflicto entre miembros de una comunidad"
" shoots"," tiros"
"left kicks","patadas izquierda"
"State feelings, greatly enraptured","Expresar sentimientos de gran encantado"
" placement of "," lugar de "
"The temple petition by ","La petici¢n del templo por "
"I saw a performance of ","Vi una actuaci¢n de "
"Affects attacks with foot-like appendages.","Afecta los ataques con apÇndices similares a pies."
"is very large yet weak","es muy grande aunque dÇbil"
" own detriment and the harm of those around "," prejuicio propio y hace da§o a los que lo rodean "
"an agreement to establish a temple","un acuerdo para establecer un templo"
"after being with family","despuÇs de estar con la familia"
"Link lever","Vincular palanca"
"Morning","Ma§ana"
"freezing to death","muriendo de fr°o"
"most high ","mas alto "
"standard","est†ndar"
"a mythical dungeon","una mazmorra m°tica"
"the Thief","el Ladr¢n"
"Assign a training order.  The squad must be assigned to a barracks zone with the training option set.","Asignar una orden de entrenamiento. El pelot¢n debe estar asignado a una zona de cuartel con la opci¢n de entrenamiento configurada."
"Cannot rest","No puede descansar"
"is utterly disgusted by guile and cunning","le disgusta completamente el enga§o y el ardid"
"Squabbling","disputa"
"Acknowledge lack of agitation","Reconocer la ausencia de agitaci¢n"
"Cold","frio"
"a competition","una competici¢n"
"Mousewheel ","Rueda del rat¢n "
"Succumb to the invasion","Sucumbir a la invasi¢n"
"food import market (50,40,15)","mercado de importaci¢n de alimentos (50,40,15)"
"Horizontal ","Horizontal "
"Check temperature","Comprobar temperatura"
"is shameless, absolutely unfazed by the thoughts of others","es desvergonzado, absolutamente imperturbable por los pensamientos de los dem†s"
"being shot","ser disparado"
"less quarrelsome","menos pendenciero"
"Prepare a raw fish","Preparar un pescado crudo"
"Practice fire","Simulacro de fuego"
"Will only do assigned tasks","Solo realizar† tareas asignadas"
"Structures","Estructuras"
"Slam into an obstacle","Estrellarse contra un obst†culo"
"Start stairway","Iniciar escalera"
"Sparring Partner","Contrincante de Peleas"
"The [C:5:0:0]Doctor[C:7:0:0] will need a [C:6:0:0]Table[C:7:0:0] to perform surgeries.  Some injuries will require ","El [C:5:0:0]Doctor[C:7:0:0] necesitar† una [C:6:0:0]Mesa[C:7:0:0] para realizar cirug°as. Algunas lesiones requerir†n "
"Resident","Residente"
" living space"," espacio vital"
"legendarily polite","legendariamente educado"
"Processing languages...","Procesando idiomas..."
"tends to be a little tight with resources when working on projects","tiende a ser un poco escaso con los recursos cuando se trabaja en proyectos"
"the Teacher","el Profesor"
"sacrifice","sacrificio"
"a horribly substandard setting","un entorno terriblemente deficiente"
"Positive attitude","Actitud positiva"
"Siege engines","Ingenieros de asedio"
"I have communed with ","Me he comunicado con "
"is easily distracted during conversations when ","es f†cilmente distra°do en conversaciones cuando "
"Peculiarly secretive...","Peculiarmente reservado..."
"Scheduling squads","Programando escuadrones"
"spreads syllables over many notes","repartir s°labas sobre muchas notas"
"[C:1:0:1]Taverns[C:7:0:0] are where your residents gather to drink, socialize, tell stories, and dance. ","[C:1:0:1]Tabernas[C:7:0:0] son los lugares donde los residentes se re£nen para beber, socializar, contar historias y bailar. "
"is very short in length but muscular and fat as well","es muy corto/a en longitud pero tambiÇn musculoso/a y gordo/a"
" lose hold of the "," perder posesi¢n de "
"clockwise ","a favor de las agujas del reloj "
"I'd love to travel and create art.","Me encantar°a viajar y crear arte."
"to express grief over","para expresar su dolor por"
"has a tall, thin frame but manages to be very fat","tiene un marco alto y delgado, pero logra ser muy gordo"
"Begin","Empezar"
"Acknowledge lack of lust","Reconocer la ausencia de lujuria"
"the construction and use of the armillary sphere","la construcci¢n y uso de la esfera armilar"
"triangulation","triangulaci¢n"
"Dancer","Bailar°n"
"It is scorching.","Es abrasador."
"small-lobed","poco lobulado"
"The world generator is placing too many subregions.  ","El generador del mundo est† teniendo problemas situando demasiadas subregiones. "
"the Horror","el Horror"
"mock","burlarse de"
" is torn from your "," es arrancado de tu "
"has a short, broad frame with almost no fat on it","tiene un marco bajo y ancho con casi nada de gordura"
"You can set your gait/speed and other movement options by clicking the indicated button or pressing ","Puedes configurar tu marcha/velocidad y otras opciones de movimiento pulsando el bot¢n indicado o pulsando "
"the Underworld","el Inframundo"
"Number of Nightmare Types","N£mero de tipos de Pesadillas"
"only rarely tries to assert ","rara vez lleva la contraria "
"Allocation","Asignaci¢n"
"Shapes...","Formas..."
"infamous villain","villano infame"
"philosophy:metaphysics:objects and properties","filosof°a:metaf°sica:objetos y propiedades"
"is very short with ill-defined muscles","es muy corto/a con m£sculos mal definidos"
"Small Profile","Perfil peque§o"
"Body","Cuerpo"
"I'm very eager to get started.","Estoy muy ansioso por empezar."
"warm","c†lido"
"VOLCANISM REJECTION","RECHAZO DE VOLCANISMO"
"always takes a deep breath whenever ","siempre toma una respiraci¢n profunda cada vez "
"We reclaimed ","Reclamamos "
"You have composed ","T£ has compuesto. "
"give","dar"
"(unnamed orders)","(¢rdenes sin nombre)"
"Make traction bench","Hacer banco de tracci¢n"
" bars in a "," barras en un "
" trades directly with no fewer than "," Comerciar directamente con no menos de "
"can easily become absorbed in art and the beauty of the natural world","puede f†cilmente concentrarse en el arte y la belleza del mundo natural"
"Demand that the listener yield","Exigir que el oyente ceda"
"the Kidnapping","el Secuestro"
"Kinesthetic Sense","Sentido cinestÇsico"
"the insurrection","la insurrecci¢n"
"the Rhythm","el Ritmo"
"Bowmaking","Facturado de Arcos"
"Unusable weapons","Armas inusables "
"has a deeply recessed, broad","tiene un profundo hueco, amplio"
"biographical dictionary","diccionario biogr†fico"
"is very tall and skinny but also very weak","es muy alto/a y delgado/a pero tambien muy deb°l"
" falling outside?"," caido fuera?"
"Wrestling Competition","Competici¢n de Pelea"
" bridge-passage"," interludio"
"Comedian","C¢mico"
"playing with ","Jugando con "
"astronomy:star catalogues 1000","astronom°a:1000 cat†logos de estrellas"
"animal caretaker","cuidador de animales"
"addition of a masterful handle","incorporaci¢n de un mango magistral"
"Put in ","Meter en "
"blacksmith","herrero"
" bravely put an end to "," valientemente poner fin a "
"I love light poetry.","Me encanta la poes°a ligera"
" and in "," y en "
" aggressive"," agresivo"
" kind"," tipo"
"This is disappointing.","Esto es decepcionante. "
"Locations","Localizaciones"
"detailed surfaces","superficies detalladas"
"being flayed by ","siendo despellejado por "
"representatives","representativos"
" my enemy."," mi enemigo"
"medicine:method:specialized wards","medicina:mÇtodo:sala especializada"
"crisp","crocante"
" in defense of "," en defensa de "
"self indulgent","autocomplaciente"
"a bowyer's shop","una tienda de arquer°a"
"Economic stone","Piedra econ¢mica"
"We will gladly do as you ask and strengthen our bonds of friendship.","De buena gana haremos lo que nos pides y fortaleceremos nuestros lazos de amistad."
"Brewer","Cervecero"
"skinny","flaco"
"What will you say about the refugees?","®QuÇ dir†s sobre los refugiados?"
"extract-bearing plant ","planta con extracto "
"Tricky","Complicado"
"I talked to an acquaintance.","HablÇ con un conocido."
"the Retort","la Rertota"
"The writing ","El escrito "
"Lover","Amante"
"Spread rumor of your lack of possession of ","Propagar rumor de tu falta de posesi¢n de "
"believes that hard work is one of the highest ideals and a key to the good life","cree que el trabajo duro es uno de los ideales m†s elevados y la clave de la buena vida"
"The sermon continues.","El serm¢n contin£a."
" Road"," Camino"
"Ice Track (N)","V°a Congelada (N)"
"fifteen","quince"
"thief","ladr¢n"
"There are no petitions that need your attention.","No hay pedidos que necesiten de tu atenci¢n."
" shop(s)"," Tienda(s)"
"level","nivel"
"Died in the heat","Muri¢ de calor"
"Lawlessness","Desorden"
"dancing","bailando"
"Zany","Loco"
"Essay","Ensayo"
" a chosen subject"," un tema elegido"
"In life, you should work hard.  Then work harder.","En vida, tu debes trabajar duro. Luego trabajar aun m†s duro."
" deity"," deidad"
"Go upward.","Ve hacia arriba."
"fell into a chasm","cay¢ a un abismo"
".  The ritual took place in ",". El ritual tomo lugar en "
"tends to be easily distracted during conversations","tiende a distraerse facilmente en las conversaciones"
"Nobody lives there","Aqu° no vive all°"
" Upward Track (NSEW)"," V°a de Ascenso (NSEO)"
"the Insurrection","la Insurrecci¢n"
"No charge attack: target is on a vehicle","Ataque sin carga: el objetivo est† en un veh°culo"
"group ","grupo "
" chorus"," coro"
"Inaccessible","inaccesible"
"Flee from Opponent","Huida del oponente"
"What will you say about the surrounding area?","®QuÇ dir†s de los alrededores?"
"You will need to assign a [C:5:0:0]Doctor[C:7:0:0] to the [C:1:0:1]Hospital[C:7:0:0] from the [C:5:0:1]Hospital Info Menu[C:7:0:0]. ","Deber† asignar un [C:5:0:0]Doctor[C:7:0:0] al [C:1:0:1]Hospital[C:7:0:0] desde el [C:5:0:1]Men£ de informaci¢n del hospital[C:7:0:0]. "
"he","Çl"
"is short and incredibly fat","es bajo y incre°blemente gordo"
"History","Historia"
"Tell me about this area.","CuÇntame sobre esta †rea."
"The world generator is having trouble placing enough civilizations.  ","El generador de mundos esta teniendo problemas para ubicar suficiente civilizaciones "
" engaged me to obtain "," me contrat¢ para obtener "
"exceptionally worked ","excepcionalmente trabajado "
"is completely put off by the idea of friends","est† completamente desconcertado por la idea de los amigos"
"State feelings of grumpiness","Expresar sentimientos de hosquedad"
"a boundless creative imagination","una imaginaci¢n creativa sin l°mites"
"Express astonishment at seeing ","Expresar asombro al ver "
"burned to death.","quemado hasta morir."
"(Select an item to demand)","(Seleccione un art°culo para demandar)"
"Tactical mode is on.  You control everybody manually.  Click to control only this character (others will follow you.)","El modo t†ctico est† activado. Controlas a todos manualmente. Haz clic para controlar solo este personaje (otros te seguir†n)."
"Driftwood","Madera Flotante"
"Acknowledge lack of sadness","Reconocer la ausencia de tristeza"
" is cloven asunder!"," ≠est† partido en dos!"
"had","tuvo"
"Few live there","Pocos viven all°"
"Simultaneous Solutions","Soluciones Simult†neas"
" assumes a beastly form to terrorize us."," asume una forma bestial para aterrorizarnos."
"Heat ","Calor "
"Tax collection went smoothly.","La recaudaci¢n de impuestos fue sin problemas."
"a multitude of","una multitud de"
"Slow to hate","Lento en el odio"
"bar","barra"
"Done (","Hecho ("
"Suspend activities in this zone.  Does not remove the zone.","Suspender actividades en esta zona. No elimina la zona."
"flowers","flores"
"legendary ally","aliado legendario"
"The lyrics are so funny!","≠La letra es tan divertida!"
"A bandit gang calling itself ","Una pandilla de bandidos llam†ndose "
"quavering","tembloroso"
"Saw that the object was missing.","Vio que faltaba el objeto."
" based in "," basado en "
"Memories","Memorias"
"went on this journey out of curiosity.","hice este viaje por curiosidad."
"Have you written a new poem?","®Has escrito un nuevo poema?"
" is good."," est† bien."
" demanded submission from "," demand¢ sumisi¢n de "
"You've already searched this area recently.","Ya has buscado en esta †rea recientemente."
" is a treasure of "," es un tesoro de "
"humiliated","humillado"
"can't stand quiet pauses in conversations and always finds something to say","no soporta las  pausas incomodas y siempre encuentra algo que decir"
"the Caravan","la Caravana"
" sometimes cracks "," aveces se quiebra "
" body of the instrument vibrates with the string"," el cuerpo del instrumento vibra con las cuerdas"
" (Tame)"," (Domado)"
"Ambush (thief, nature)","Emboscada (ladr¢n, naturaleza)"
"Ice Upward Track (SW)","V°a de Ascenso Congelada (SO)"
"What is your identity's profession?","®Cu†l es la profesi¢n de su identidad?"
"my sibling","mi hermano"
" by a dead animal training partner"," por un animal de entrenamiento muerto"
"!  Drive it away!","≠! ≠AlÇjalo!"
" in the east"," en el este"
" Shearable Tissue "," Tejido compartible "
"The world generator is having trouble placing mountains.  ","El generador del mundo est† teniendo problemas situando monta§as. "
"Occurrences","Ocurrencias"
"Saving game","Guardando partida"
"maternal grandfather","Abuelo materno"
"is as short as they come and very frail on top of that","es tan corto como parece y muy fr†gil por encima de eso"
" reorganizes "," reorganiza "
"the Alliance","la Alianza"
"cold","frio"
"other","otro"
"Items","Art°culos"
"the theory of convalescence","la teor°a de la convalecencia"
"Elevation","Elevaci¢n"
" pipe section"," secci¢n de tuber°a"
"Release pet","Liberar mascota"
"Mandate ends","Fin del mandato"
"the trip hammer","el martillo de mazo"
"singlemindedness","determinaci¢n"
"Economy population trigger 4","Umbral de poblaci¢n econ¢mica 4"
"Carve up/down staircase","Esculpir una escalera de doble sentido"
"Study","Estudio"
"the chariot odometer","el od¢metro del carro"
"I was ","fui "
"Open the world screen.","Abre la pantalla de mundo"
"A migrant has arrived at this unhappy place, despite the danger.","Un migrante ha llegado a este lugar infeliz, a pesar del peligro."
"Mill plants","Moler plantas"
"More complicated buildings from wells to powered machine components to levers and floodgates are found here.","Aqu° se encuentran edificios m†s complicados, desde pozos hasta componentes de m†quinas accionadas, palancas y compuertas."
"I can keep it together.","Puedo mantenerlo unido."
"causes a spell of dizziness in","provoca un conjuro de mareos en"
"Two Powers","Dos Poderes"
"the Delta","el Delta"
"Get away from me!","Alejate de m°."
"tends to be swayed by the emotions of others","Tiende a dejarse llevar por las emociones de los dem†s."
"incense burning","quema de incienso"
"is muscular and fat and very, very small","es musculoso/a y gordo/a y muy, muy peque§o/a"
"the giving up on being a ","la renuncia a ser un "
"Loading map data...","Cargando datos del mapa..."
"Last known to be traveling","Èltimo conocido para viajar"
"Sapling","µrbol joven"
"had miscarriage","tuvo un malparto"
"by adjusting a slide","ajustando una diapositiva"
"is muscular and fat","es musculoso y gordo"
"The quest for knowledge never ends.","La b£squeda del conocimiento nunca acaba."
"Migrating group","Grupo migratorio"
"It was inevitable.","Fue inevitable."
"Start tutorial","Iniciar tutorial"
"devotional form of music","tipo de m£sica devocional"
"Thread (Silk)","Hilo (Seda)"
"I don't know what to say.","No sÇ quÇ decir."
"Once the worker is done, click on the building to select it.","Una vez que el trabajador haya terminado, haga clic en el edificio para seleccionarlo."
"is pleased by ","est† complacido por "
"philosophy:specialized:education","filosof°a:especializada:educaci¢n"
"Move keyboard cursor right, fast","Mover el cursor del teclado a la derecha, r†pido"
"State feelings, somewhat thrilled","Expresar sensaci¢n, algo emocionado"
"Back to difficulty selection","Volver a la selecci¢n de dificultad"
"Adjusting Maps","Ajuste de Mapas"
"Despairs - Hopeful - Presumes","Desesperanzado - Esperanzado - Supone"
"State that this is okay","Manifestar que est† bueno"
"Pacifier","Pacificador"
"Agree to the adoption","Aceptar la adopci¢n"
"legendary protector of the weak","protector de los dÇbiles legendario"
" the dragonfire."," El Fuego del Drag¢n "
"tredecaplets","tridecallizos"
"[C:6:0:0].Light bruising","[C:6:0:0].Hematomas leves"
"If you want to find a relative, ","Si quieres encontrar un familiar, "
" put forth a sound plan"," presentar un buen plan"
"Fisherdwarf","Pescadores"
"After harvesting plants like the [C:6:0:1]Pigtail[C:7:0:0], first process them at the [C:6:0:0]Farmer's Workshop[C:7:0:0], then ","DespuÇs de cosechar plantas como [C:6:0:1]Cola de cerdo[C:7:0:0], primero procÇselas en el [C:6:0:0]Taller del agricultor[C:7:0:0], luego "
"laboring","Trabajando"
"Grand guild unit count","Recuento de unidades del gran gremio"
"in the eyes of","en los ojos de"
"Genealogy","Genealog°a"
"Cultural Differences","Diferencias Culturales"
"State feelings of great hatred","Expresar sentimientos de gran odio"
"after learning something","despuÇs de aprender algo"
"(Combat) Knocked out","(Combate) Fuera de combate"
"middle","medio"
"lieutenants","Tenientes"
"wearing tattered clothing","vistiendo ropa andrajosa"
"scholars","eruditos"
" has brought back a rumor from abroad."," ha tra°do un rumor del extranjero."
"You have nothing left to fire.","No te queda nada que disparar."
"State opinion that it is terrible","Manifestar la opini¢n de que es terrible"
"is inattentive to detail in ","no est† atento al detalle en "
" blocks "," bloquea "
" Degree"," Grado"
"from the position of ","desde la posici¢n de "
"a fantastic dining room","un comedor fant†stico"
"sleeping on a rough cave floor","durmiendo en un †spero suelo de cueva"
"It is recommended that you prepare a squad and get them training as soon as you can. ","Se recomienda que prepare un escuadr¢n y que entrene lo antes posible. "
"visiting","visitando"
"lowers ","disminuye "
"the method of writing a biography of oneself, particularly as it concerns a military campaign or adventure","El mÇtodo para escribir una biograf°a de uno mismo, particularmente en lo que se refiere a una campa§a o aventura militar."
"being tormented in nightmares by a dead lover","siendo atormentado en pesadillas por un amante muerto"
"Interrogate ","Interrogar "
"a lover","un amante"
"This is so aggravating!","≠Esto es tan irritante!"
" in"," en"
"Crystal Glass","Vidrio de Cristal"
"Create world","Crear mundo "
