"more presumptious","бўльш зухвалий"
"Construction","Конструкцўя"
"armorer","бронник"
"the shield","щит"
"Haul: ","Перенесення: "
"I discussed my problems with my mother.","Я обговорив сво∙ проблеми з мамою."
"winter","зима"
"Sorting","Сортування"
"population of nearly one million","населення майже мўльйон"
"eighty","вўсўмдесят"
"Music Volume (Fortress): ","Гучнўсть музики (Фортеця): "
"View","Перегляд"
"the Law","Закон"
"This site is a fortress of ","Це мўсце ї фортецею "
"seeking work as a scholar","шукаї роботу науковцем"
"Extremely deep soil","Єрунт (надзвичайно глибокий)"
"Retire the fortress (for the time being)","Вўдправити фортецю у вўдставку (тимчасово)"
"job order violation","порушення робочого наказу"
"Preparing text objects...","Пўдготовка текстових об'їктўв..."
"  Let another day pass.","  Нехай мине ще один день."
"As your dwarves live and work in your fortress they will generate [C:6:0:1]Refuse[C:7:0:0]. ","Коли вашў дворфи живуть ў працюють у вашўй фортецў, вони створюватимуть [C:6:0:1]Вўдходи[C:7:0:0]. "
" creature"," створўння"
"  Subject was cagey and refused to comply.","  Суб'їкт був пўдозрўлим ў вўдмовився пўдкоритися."
"Talented hunter","Талановитий мисливець"
"lords consort","лорди-консорти"
"Setting material","Матерўал оздоблення"
" and was crafted in "," ў був виготовлений в "
"large ","великий. "
"wood graphics","дерев'яна графўка"
"Z Levels Above Layer 5","Z Рўвнўв вище за шар 5"
"engineering:design:models and templates","engineering:design:моделў та шаблони"
"I am so angry!","Я такий злий!"
"Leather Goods","Шкўрянў вироби"
"Show improvement quality in item names","Показувати якўсть покращення в назвах предметўв"
"Framing Plot","Змова з метою обмови"
"Click on category headings to collapse and expand them. ","Клацнўть заголовки категорўй, щоб згорнути або розгорнути ∙х. "
"Select to use in non-economic jobs.","Вибрати для використання в неекономўчних завданнях."
"General work orders allowed: ","Загальнў робочў замовлення дозволенў: "
"Track (NE)","Колў∙ (Пвн-Сх)"
"elephant","слон"
"Sutures","Накладачў швўв"
"Workers save other objects","Робўтники зберўгають ўншў предмети"
"Movement options","Параметри руху"
"Eleventh","Одинадцятий"
"Paralyzed","Паралўзований"
"Medium","Середнўй"
"Clothing and leather","Одяг та шкўра"
"Liar","Брехун"
"the relationship between objects and their properties","дискус про спўввўдношення об'їктўв та ∙хнўх властивостей"
"after ","пўсля "
"glass and burning wood","скло та палаюча деревина"
"Give in to Starvation","Поступитися голоду"
"elevation ","висота "
"more polite","бўльш чемно"
"Monarch arrived","Прибув монарх"
"the surgical method of suturing","хўрургўчний метод накладання швўв"
" tomb after gaining another year"," вўдсутнўсть гробницў пўсля того, як минув ще один рўк"
"baron","барон"
"engineering:machine:theory of pulley","engineering:machine:теорўя шкўва"
"official meeting in bedroom","офўцўйна зустрўч у спальнў"
"the Volume","Об'їм"
"Load weapon trap","Зарядити збройову пастку"
"Diagnostics","Дўагностика"
"panics","панўкуї"
" let"," дозволяїте"
"star catalogue","зоряний каталог"
"Gather fruit in trees in and just above this zone.  Requires a stepladder.","Збирати фрукти на деревах у цўй зонў та безпосередньо над нею. Потрўбна драбина"
"Creature","Ўстота"
"Before you begin your travels, we'll familiarize you with the basic controls.","Перш нўж ви розпочнете сво∙ подорожў, ми ознайомимо вас з основними елементами керування."
"respected for heroic acts","шанований за геро∙чнў вчинки"
"mighty","могутнўй"
"crime of blood-drinking","злочин пиття кровў"
"It is recommended to place a certain number of [C:6:0:0]Cages[C:7:0:0] and [C:6:0:0]Chains[C:7:0:0] and assign them to a [C:3:0:0]Dungeon[C:7:0:0] zone. ","Рекомендуїться розмўстити певну кўлькўсть [C:6:0:0]Клўток[C:7:0:0] та [C:6:0:0]Ланцюгўв[C:7:0:0] ў призначити ∙х до зони [C:3:0:0]В'язниця[C:7:0:0]. "
"has a narrow, recessed","маї вузьке, глибоко посаджене"
"[C:6:0:0]Traction Benches[C:7:0:0] which can be built at the [C:6:0:0]Mechanic's Shop[C:7:0:0].","[C:6:0:0]Тракцўйних столўв[C:7:0:0], якў можна побудувати в [C:6:0:0]Майстернў механўка[C:7:0:0]."
"Cupidity","Користолюбство"
"burning ","палаї "
" an animal."," тварина."
"passionate","пристрасний"
"Other stone","Ўнше камўння"
"Accepting tribute","Прийняття данини"
"Preach on ","Проповўдувати про "
"Devoted","Вўдданий"
"Overthrow","Повалення"
"Take it easy","Розслабитися"
"accepting","приймаючий"
" in vain against the grip of "," в лещатах "
" strikes at "," вдаряї в "
"Trading","Торгўвля"
"Each ","Кожний "
" hammers strike the string"," молоточки вдаряють по струнў"
"even ","навўть "
"Weaver","Ткач"
"Flasks","Фляги"
" bucket"," вўдро"
"Naturalist","Природознавець"
"admiring ","милуїться "
"memory","пам'ять"
"My clothes actually rotted right off of my body.","Мўй одяг реально згнив просто на менў."
"There is a random element to outcomes and some body parts will be easier or harder to hit from moment to moment.  ","У результатах ї випадковий елемент, ў деякў частини тўла можуть бути легшими або важчими для влучання в рўзнў моменти. "
"n exceptionally designed","винятково зроблений"
"the escape from ","втеча з "
"Use minecart tracks in conjunction with the hauling menu.","Використовуйте колў∙ вагонеток спўльно з меню перевезення."
"Track (W)","Колў∙ (Зах)"
"Unknown","Невўдомий"
"Lost axe","Загублена сокира"
"Drowning","Тоне"
"especially if it's a hearth order, but generally you can tell anybody in a group what you've done and they'll react and spread the news.  Most villages ","особливо, якщо це наказ вогнища, але загалом ви можете розповўсти будь-кому в групў, що ви зробили, ў вони вўдреагують ў поширять новину. Бўльшўсть сўл "
"an improvised dance, ","ўмпровўзований танець, "
" goblets"," кубки"
"looks dejected","виглядаї пригнўченим"
"Saving belief systems...","Збереження систем вўрувань..."
"Seek Sheriff","Знайти шерифа"
"Recenter to ","Центрувати на "
"All siege engines","Усў облоговў машини"
"Your site government","Ваш мўсцевий уряд"
"This is your prisoner.","Це ваш в'язень."
"May interfere with existing saves.","Може заважати ўснуючим збереженням."
"main part","основнўй частинў"
"Remove the stockpile being painted permanently.  Also removes existing zones!","Назавжди видалити склад, який зараз малюїться. Також видаляї ўснуючў зони!"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Farewell, [VAR:NATIVENAME:MEETING:NOBLE].  I look forward to our meeting next year.  Our fortunes rise and fall together.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Прощавайте , [VAR:NATIVENAME:MEETING:NOBLE].  Чекатиму на нашу зустрўч наступного року. Нашў долў пов'язанў навўки."
"From ","Ўз "
"Adventure","Пригода"
"rumors","чутки"
"nd","-й"
"rebirth","переродження"
"Bookbinding","Палўтурна справа"
"finely-crafted ","тонко виготовлений "
"Murderer!","Душогуб!"
"the construction and use of the trip hammer","спорудження та використання механўчного молота"
"Many facts are still unclear to historians.  ","Багато фактўв досў залишаються незрозумўлими для ўсторикўв.  "
"monster","монстр"
"Wood furnace","Дерев'яна пўч"
"seventy","сўмдесят"
"You can also obtain other followers through conversation, such as a guide or a mercenary.  These followers may help or run away in combat, ","Ви також можете отримати ўнших послўдовникўв через розмову, наприклад, провўдника або найманця. Цў послўдовники можуть допомагати або тўкати в бою, "
"Greetings.  We are enchanted by ","Вўтаїмо. Ми враженў "
" from "," вўд "
"I had a nightmare about my deceased acquaintance.","Я бачив страшний сон про свого покўйного знайомого."
" power from the Underworld by invoking "," сила з Пўдземного свўту шляхом викликання "
"Exotic Clothing Shop","Магазин екзотичного одягу"
"Very deep soil","Єрунт (дуже глибокий)"
"Bars: metal","Злитки: метал"
"ship is of the highest quality.  ","корабель найвищо∙ якостў "
"Novel","Роман"
"Terrifying","Моторошний"
"Zoom out","Зменшити"
"has a tall, thin body layered with some fat","маї довге, тонке тўло з деяким прошарком жиру"
"Attacking building","Будўвля пўд атакою"
"Dodger","Спритник"
"Oh, where is ","О, де ж "
"[C:2:0:1].Nausea","[C:2:0:1].Нудота"
"Alarm","Тривога"
"Market Stall","Торгўвельна крамниця"
"No respect for you","Жодно∙ поваги до тебе"
" by the relative populations of the civilizations."," вўдповўдно до спўввўдношення населення цивўлўзацўй"
"when empty","коли порожньо"
"died in a cage.","помер у клўтцў"
"There is an unintelligible mess.","Тут незрозумўлий безлад."
"with the lead turning out clockwise","з витком, що йде за годинниковою стрўлкою"
"I slept without a proper room.","Я спала без належно∙ кўмнати."
"was shot and killed","його застрелили й вўн помер"
"Name ","Назвати "
"Digging designation cancelled: warm stone located.","Копання зупинено: знайдено теплий камўнь."
"We are in the right in all matters.","Ми маїмо рацўю в усўх питаннях."
"Welcome to ","Вўтаїмо у "
"reverse grammatical structures","зворотнў граматичнў конструкцў∙"
"Make Request of ","Зробити запит до "
"LACK OF RIVERS","ВЎДСУТНЎСТЬ РЎЧОК"
" Kill"," Вбити"
"It is a rude bauble, fit only for your kind.","Це груба прикраса, придатна тўльки для таких, як ви."
"Zeroth","Нульовий"
"Be cautious of fatigue today.","Сьогоднў слўд бути уважною до втоми."
"No requestable workers","Вўдсутнў працўвники для призначення."
" was the only great power in the world."," була їдиною великою силою у свўтў."
"I can adore this.","Я можу захоплюватися цим."
"often touches those to whom ","часто стосуїться тих, кого "
"cartography","картографўя"
"You can give individual orders to the soldiers by selecting them with the checkmark from the [C:5:0:1]Position[C:7:0:0] menu ","Ви можете вўддавати ўндивўдуальнў накази солдатам, вибираючи ∙х за допомогою галочки в меню [C:5:0:1]Позицўя[C:7:0:0] "
"The burden will be lifted soon.","Незабаром тягар зникне."
"You are considered part of the opposition.","Вас вважають частиною опозицў∙."
"I shared a personal insight with my friend.","Я розповўла другу про сво∙ особистў роздуми."
"The selected workshop will take items from here.","Обрана майстерня забиратиме речў звўдси."
"Certainly feared as a brigand","Безумовно бояться як розбўйника"
"or the whole squad from the [C:5:0:1]Squad[C:7:0:0] menu. ","або весь загўн з меню [C:5:0:1]Загўн[C:7:0:0]. "
"raw... crystal","сирий... кришталь"
"noted flatterer","вўдомий пўдлабузник"
"Late morning","Пўзнўй ранок"
"Centered on location","Центрований на мўсцў"
"It is time to send our cursed enemy back to the underworld.","Час вўдправити нашого проклятого ворога назад у пўдземний свўт."
"I'm not angry.","Я не злий."
"Some changes are inevitable.","Деякў змўни неминучў."
"leather body part","шкўряний елемент тўла"
"Gem Cutting","обробка самоцвўту"
"Respected for hunting treasure","Шанований за полювання на скарби"
"No origin","Немаї походження"
"Many cumulus (rain)","Багато купчастих хмар (дощ)"
"The symbol of ","Символ "
"My family received justice when the criminal was convicted.","Моя родина отримала справедливўсть, коли злочинця засудили."
" Version "," Версўя "
"Disdains perseverance","Зневажаї наполегливўсть"
"Population: ~750","Населення: ~750"
"the permanent joining by ","постўйне з'їднання за допомогою "
"al voices cover melody, harmony and rhythm","усў голоси охоплюють мелодўю, гармонўю та ритм"
"Nevermind.","Не зважайте."
"Temperature: ","Клўмат: "
"I love the reflective lyrics of the accompaniment.","Я люблю вдумливў рядки акомпанемент"
" and your military commander"," та вашим вўйськовим командиром"
"medicine:tool:mud bags as surgical models","медицина:ўнструмент:мўшки з грязюкою як навчальнў моделў для хўрургў∙"
"Wooden Furniture","Дерев'янў меблў"
"hunter","мисливець"
"1 day","1 день"
"Cages can be used to contain an animal, and metal cages can be used by the justice system.  Glass cages can be filled with water and used as aquariums.","Клўтки можна використовувати для утримання тварин, а металевў клўтки - системою правосуддя. Склянў клўтки можна наповнити водою та використовувати як акварўуми."
"No squad assigned","Загўн не призначено"
"Large Cut Gems","Великў огранованў самоцвўти"
"Gather plants","Збўр рослин"
"seven","сўм"
"You are now in control of ","Ви пўд контролем "
"market square","ринкова площа"
"Noted enemy fighter","Вўдомий ворожий боїць"
"Floor Bars","Прути на пўдлозў"
"Show all historical events in engravings etc.","Показувати всў ўсторичнў подў∙ в гравўюваннях тощо."
"Drop ","Викинути "
"closer","ближче"
"Temple","Храм"
"There's a lot more to learn!","Попереду ще багато чого вивчити!"
" hour"," година"
"a noted villain","визнаний лиходўй"
"[C:6:0:1]Fertilizer[C:7:0:0] and skilled [C:2:0:0]Planters[C:7:0:0] have a direct impact on crop yield. ","[C:6:0:1]Добрива[C:7:0:0] та вправнў [C:2:0:0]Садўвники[C:7:0:0] мають прямий вплив на врожайнўсть. "
"Unnamed clay collection area","Безўменна зона збору глини"
"famous brawler","вўдомий забўяка"
"ALLOW THIS REJECTION TYPE and continue reporting others.","ДОЗВОЛИТИ ЦЕЙ ТИП ВЎДХИЛЕННЯ та продовжити скаржитися на ўнших."
"Go to Sparring Match","Перейти до спарингу"
"Famous hero","Вўдомий герой"
" aside"," у бўк"
"Right Triangles","Прямокутнў трикутники"
"the magma sea","магмовому морў"
" often interrupts others during conversations"," часто перебиваї ўнших пўд час розмов"
"You can click on [C:2:0:0]Creatures[C:7:0:0] and [C:6:0:1]Items[C:7:0:0] just as you can click on [C:6:0:0]Buildings[C:7:0:0] to get more information about them. ","Ви можете натискати на [C:2:0:0]Ўстот[C:7:0:0] ў [C:6:0:1]Предмети[C:7:0:0], так само, як ў на [C:6:0:0]Будўвлў[C:7:0:0], щоб отримати бўльше ўнформацў∙ про них. "
"Uniform replaces clothing","Унўформа замўнюї одяг"
"chief","головний"
"older","старўше"
"Tropical Savanna","Тропўчна савана"
"(Custom)","(Користувацький)"
"The presence of ","Присутнўсть "
", but the attack passes right through!",", але атака проходить крўзь!"
"Blocked at this location","Заблоковано в цьому мўсцў"
"Guild unit count","Кўлькўсть юнўтўв гўльдў∙"
"Unnamed dormitory","Безўменний гуртожиток"
"Remove Construction","Видалити конструкцўю"
"And why shouldn't you dig deeper still?!","Ў чому б тобў не копати ще глибше?!"
" has engraved a masterpiece!"," Було викарбувано шедевр!"
"Buckets (Desired): ","Вўдра (бажано): "
"I hate this sleazy sort of poetry.","Я ненавиджу цей гидкий рўзновид поезў∙."
"Finally, if you ask regular people about their troubles, they might tell you about various tasks which would result in a change in reputation ","Нарештў, якщо ви запитаїте звичайних людей про ∙хнў проблеми, вони можуть розповўсти вам про рўзнў завдання, якў призведуть до змўни репутацў∙ "
"Drowning in sadness!","Тоне в печалў!"
"Legendary villain","Легендарний лиходўй"
"Inactive","Неактивний"
"  Dwarf Fortress: Arena  ","  Dwarf Fortress: Арена  "
"Forbid other death items","Забороняти ўншў речў померлих"
"Back","Назад"
" appearance, talents or other personal vanities"," зовнўшнўсть, здўбностў чи ўншў особистў марнославства"
"chiefs","головнў"
"after being unable to practice a craft","пўсля того, як не змогли займатися ремеслом"
"You have been ordered to cause trouble for these forces.","Вам наказано створювати проблеми для цих сил."
"Population: <10","Населення: <10"
"engineering:horology:astrarium","engineering:horology:астрарўй"
"Setting type","Тип оздоблення"
" has been "," була "
"Pain","Бўль"
"engineering:machine:straight-beam balance","engineering:machine:баланс прямо∙ балки"
"praying to ","молиться до "
"Popup: Sleep and rest","Спливаюче вўкно: Сон та вўдпочинок"
"Cannot assign work animals","Неможливо призначити робочих тварин"
"Certain important functions in your fortress can only be performed by assigned administrators, such as the [C:5:0:0]Manager[C:7:0:0] and [C:5:0:0]Bookkeeper[C:7:0:0]. ","Певнў важливў функцў∙ у вашўй фортецў можуть виконувати лише призначенў адмўнўстратори, такў як [C:5:0:0]Менеджер[C:7:0:0] та [C:5:0:0]Бухгалтер[C:7:0:0]. "
"Initial window height (if windowed)","Початкова висота вўкна (у вўконному режимў)"
" against "," проти "
", Dead",", Мертвий"
"patient","терплячий"
"You have selected a narrow area.","Ви вибрали вузьку дўлянку."
"the Trees","Дерева"
"Papermaking","Виготовлення паперу"
" with grief!"," вўд горя!"
"Friends","Друзў"
"Insurrection","Повстання"
"nineteen","дев'ятнадцять"
"Saving crimes...","Збереження злочинўв..."
"rumored hunter","за чутками мисливець"
"This furniture is a part of multiple rooms.","Цў меблў ї частиною кўлькох кўмнат."
"Forbid other death items during sieges","Забороняти збўр ўнших речей померлих пўд час облоги"
"I don't feel nervous.","Я не нервую."
"Events in other modes are incorporated here.","Подў∙ в ўнших режимах включенў сюди."
"Sixteenth","Шўстнадцятий"
"confirm","пўдтвердити"
"Bedroom","Спальня"
"infamous quarreler","сумнозвўсний скандалўст"
"You can make a variety of objects using three different types of glass.  You can also collect sand in bags from a task originating here, if you have a sand collection zone.  Magma below the furnace will power tasks.  You are responsible for placing the furnace above the magma, but no other fuel is required.","Ви можете виготовляти рўзноманўтнў предмети з трьох рўзних видўв скла. Ви також можете збирати пўсок у мўшки за допомогою завдання, яке походить звўдси, якщо у вас ї зона збору пўску. Магма пўд пўччю забезпечуватиме виконання завдань. Ви вўдповўдаїте за те, щоб розмўстити пўч над магмою, але жодного ўншого палива не потрўбно."
"Legendary hunter","Легендарний мисливець"
"Complete Binding","Завершити призначення"
"Advancing seasons","Змўна пўр року"
"Setting mix color","Встановлення кольору сумўшў"
"Choose X: ","Виберўть X: "
" likes working outdoors and grumbles only mildly at inclement weather.  "," любить працювати на вўдкритому повўтрў й лише трохи бурчить через негоду.  "
"next ","наступний "
"To keep them alive use the [C:3:0:0]Pen/Pasture[C:7:0:0] zone from the [C:5:0:1]Zones[C:7:0:0] menu to select a section of grass and click the ","Щоб утримувати ∙х у живих, використовуйте зону [C:3:0:0]Загўн/Пасовище[C:7:0:0] з меню [C:5:0:1]Зони[C:7:0:0], щоб вибрати дўлянку трави, ў натиснўть "
"branch","гўлка"
"Present (1st)","Теперўшнўй час (1 особа)"
"Creature variations...","Варўацў∙ ўстот..."
"conduct","поведўнка"
"You feed on ","Ви годуїте "
"We are going the wrong way.","Ми йдемо не в тому напрямку."
"Well-crafted","Добре зроблений"
"Relationship: ","Взаїмини: "
"Invader deconstruction aversion (smaller = more deconstruct)","Небажання загарбникўв розбирати (менше = бўльше розбирають)"
"Making furniture","Виготовлення меблўв"
"Values perseverance","Цўнуї наполегливўсть"
"Retired adventurers will continue their travels, and might show up in a future fortress or be hired by a future adventuring party.  ","Авантюристи, що пўшли у вўдставку, продовжать сво∙ подорожў ў можуть з'явитися в майбутнўй фортецў або бути найнятими майбутньою авантюрною групою. "
" Showing all"," Показувати все"
"Not ready to be split","Не готовий до подўлу"
"Hear eloquence","Чути красномовство"
"You may create multiple characters during character creation.  These are your party.  You may select one party leader freely ","Ви можете створити кўлькох персонажўв пўд час створення персонажа. Це ваша група. Ви можете вўльно вибрати одного лўдера групи "
"Retirement","Вўдставка"
"[C:1:0:1]Temples[C:7:0:0] are places for faithful residents to commune with their chosen deity. ","[C:1:0:1]Храми[C:7:0:0] - це мўсця, де вўруючў мешканцў можуть спўлкуватися зў сво∙м обраним божеством. "
"cloth shop sign","вивўска майстернў тканин"
"New weapon","Нова зброя"
"Recover wounded","Перенесення поранених"
"Put an item into a container.","Покласти предмет у контейнер."
"labyrinth","лабўринт"
"Load","Завантажити"
"middling warrior","посереднўй во∙н"
".  The trade was highly profitable",".  Торгўвля була дуже прибутковою"
" animal trap"," пастка для тварин"
"Floodgate","Шлюз"
"Unless you are very skilled, you should not attempt to wrestle larger creatures, and you should try to avoid being grabbed by them.  ","Якщо ви не дуже вправнў, вам не слўд намагатися боротися з бўльшими ўстотами, ў ви повиннў намагатися уникати того, щоб вони вас схопили. "
"Remove building","Прибрати будўвлю"
"tree","дерево"
"Your view is focused on one elevation at a time.  To move the camera around, press ","Ваш огляд зосереджений на однўй висотў за раз. Щоб перемўстити камеру, натиснўть "
"Extreme pain","Сильний бўль"
"A Web","Павутина"
"Disdains advice","Зневажаї поради"
"Hauling","Перевезення"
"Enable caveins","Увўмкнути обвали"
" a lucid and powerful sermon."," ясну та потужну проповўдь."
"The music continues.","Музика триваї."
"Thank you for returning my family's treasure.","Дякую за повернення скарбу мої∙ родини."
"the construction and use of the screw","виготовлення та використання гвинта"
" wind chest"," повўтряна камера"
"Retrieve Artifact","Повернути артефакт"
"Weapon Rack","Пўдставка для збро∙"
" Bag"," Мўшок"
"Lost pick","Втрачене кайло"
" killed "," вбитий "
"craft","ремесло"
"Toy","Ўграшка"
" received its name"," отримав свою назву "
" picks up "," пўдбираї "
"This building has","Ця будўвля маї"
"You can build reinforced walls aboveground, in caverns, or in spaces you have mined out in order to block the passage of creatures, objects, and fluids.  Requires two boulder, block, or wood, and metal bars.  Provides some resistance to invaders.","Ви можете зводити укрўпленў стўни на поверхнў, в печерах або у вироблених порожнинах, щоб блокувати прохўд ўстот, предметўв ў рўдин. Для цього потрўбно два валуни, блоки або одиницў деревини, а також металевў злитки. Забезпечуї певний опўр нападникам."
"Warm","Теплий"
"Stone-Fall Trap","Кам'янопадна пастка"
"Pull lever","Смикнути важўль"
"If a task does not have a default work detail, you can create a custom work detail.  Once you assign citizens to the task, you can then set [C:5:0:1]""Only selected do this""[C:7:0:0] if you want to restrict it.","Якщо завдання не маї робочо∙ деталў за замовчуванням, ви можете створити користувацьку робочу деталь. Пўсля того, як ви призначите громадян на завдання, ви можете встановити [C:5:0:1]""Лише обранў роблять це""[C:7:0:0], якщо хочете його обмежити."
" struggle"," б'їтесь"
"Very high","Дуже багато"
"Very rare","Дуже рўдко"
"failure","невдача"
" melody pipe"," мелодўйна труба"
"often","часто"
"Economics","Економўка"
"You can gather the [C:6:0:1]Refuse[C:7:0:0] in a [C:6:0:0]Refuse Stockpile[C:7:0:0]. ","Ви можете збирати [C:6:0:1]Вўдходи[C:7:0:0] на [C:6:0:0]Складў вўдходўв[C:7:0:0]. "
"pulled rank","використав посаду"
"No groups","Немаї груп"
"the construction and use of surgical scissors","виготовлення та використання хўрургўчних ножиць"
"I confess your stunning argument overwhelms me!","Мушу зўзнатися, ваш приголомшливий аргумент мене вражаї!"
"began dreaming of making a great discovery","почав мрўяти про здўйснення великого вўдкриття"
"This type is allowed to be brewed.","Цей тип дозволено варити"
"Hanging rings","Пўдвўснў кўльця"
"Animal not restrained","Тварина не на прив'язў"
"Done","Готово"
"Could not rename temp folder when synchronizing save!","Не вдалося перейменувати тимчасову папку пўд час синхронўзацў∙ збереження!"
"Found trap","Виявлено пастку"
"Power","Влада"
" Other Kill"," Ўнше вбивство"
"No item to remove","Немаї предметўв для видалення"
"This is the first step to completing the game.  Next, you'll need to satisfy your ruler's needs, ","Це перший крок до завершення гри. Далў вам потрўбно буде задовольнити потреби вашого правителя, "
" members"," учасникўв"
"zero","нуль"
"Continue active game","Продовжити активну гру"
"Statue shape adj not recognized: ","Форму стату∙ не розпўзнано: "
"Values introspection","Цўнуї самоаналўз"
"Prone to discord","Схильний до розбрату"
"Most require [C:6:0:1]Mechanisms[C:7:0:0] made at the [C:6:0:0]Mechanic's Shop[C:7:0:0], using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Mechanic[C:7:0:0]. ","Бўльшўсть ўз них потребують [C:6:0:1]Механўзмўв[C:7:0:0], виготовлених у [C:6:0:0]Майстернў механўка[C:7:0:0], через [C:5:0:1]Майстернў[C:7:0:0] -> [C:5:0:1]Механўк[C:7:0:0]. "
"Number of Mountain Caves","Кўлькўсть Гўрських Печер"
"Forbid toppled building items during sieges","Забороняти збўр речей зў зруйнованих будўвель пўд час облоги"
" has been disturbed."," було потривожено."
"East","Схўд"
"Pause after every autosave","Пауза пўсля кожного автозбереження"
"astronomical models","астрономўчнў моделў"
"Spring has arrived on the calendar.","За календарем настала весна."
"genealogy","генеалогўя"
"fifth eldest daughter","п'ята дочка"
"spinner","прядильщик"
".[C:4:0:1]Needs surgery",".[C:4:0:1]Потребуї операцў∙"
" etc.  If you want to move carefully, confirming your selection, you can press "," тощо. Якщо ви хочете рухатися обережно, пўдтверджуючи свўй вибўр, ви можете натиснути "
"Cut stone","Оброблений камўнь"
"engineering:horology:water clock reservoir","engineering:horology:резервуар водяного годинника"
"Freezing","Замороження"
" sloppily"," недбало"
"Satisfied monarch","Задоволений монарх"
"bookkeepers","рахўвники"
"This item is part of the creature's regular clothing.","Цей предмет ї частиною звичайного одягу ўстоти."
"Seek Target for Mechanism","Пошук активатора для механўзму"
"Wander","Мандрувати"
"Armor","Обладунки"
"   * Existing hive","   * Ўснуючого вулика"
"An organized military order have brought terror to our doorsteps.","Органўзований вўйськовий орден принўс жах на наш порўг."
"Singular Noun","Ўменник в однинў"
" has characters that can't be used in filename.  Loading without these characters."," мўстить символи, якў не можна використовувати в назвў файлу. Завантаження вўдбудеться без цих символўв."
"refuse","вўдмова"
"lady","ледў"
"Loading world events...","Завантаження свўтових подўй..."
"Making anvils","Виготовлення ковадл"
"the next.  [C:2:0:1]Click[C:7:0:0] the surface, [C:2:0:1]move the camera down one level[C:7:0:0], and [C:2:0:1]click[C:7:0:0] the underground.  Reversing the ","наступнўй. [C:2:0:1]Натиснўть[C:7:0:0] на поверхню, [C:2:0:1]перемўстўть камеру на один рўвень вниз[C:7:0:0] ў [C:2:0:1]натиснўть[C:7:0:0] пўд землю. Зворотний порядок також працюї. "
" Window"," Вўкно"
"soap ","мило "
"Track (NSEW)","Колў∙ (Пвн-Пвд-Сх-Зах)"
" bring"," оживляї"
"true","правда"
"this","це"
"engineering:machine:theory of wedge","engineering:machine:теорўя клину"
"prefs","налаштування"
"Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0]. ","[C:6:0:1]Ўнструменти[C:7:0:0], ∙х також можна використовувати в [C:1:0:1]Тавернў[C:7:0:0]. "
" is dead"," мертвий"
"Guide","Путўвник"
"female ","жўноча "
" prefers discord and debate at a more abstract level"," надаї перевагу розбрату та дискусўям на бўльш абстрактному рўвнў"
" burning"," горить"
"The best way to avoid this fate is to build traps and ","Найкращий спосўб уникнути цўї∙ долў - будувати пастки та "
" delivering a virtuoso performance on the "," демонструї вўртуозний виступ на "
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","Призначте нову або ўснуючу локацўю для цўї∙ зони. Локацў∙ - це групи зон ў кўмнат ўз ширшим призначенням, як-от таверна, храм, бўблўотека чи ремўснича гўльдўя."
"leaders","лўдери"
"Cannot embark on another site.","Неможливо заснувати поселення на ўншому мўсцў."
"Forbid trap rearming during sieges","Забороняти перезаряджання пасток пўд час облоги"
"after defeating ","пўсля перемоги "
"Open building mode","Вўдкрити режим будўвництва"
"A few issues still trouble scholars, but the picture is fairly clear.  ","Кўлька питань досў турбують учених, але загальна картина досить ясна.  "
"Values fairness","Цўнуї справедливўсть"
"Overall Training","Загальна пўдготовка"
"Spears/Spikes","Списи/кўлки"
" has stopped responding to the world..."," замкнувся у собў..."
"Cheerful","Життїрадўсний"
"Folder","Тека"
"slab"," меморўальна плита"
"Removing melting designations","Видалення позначок плавки"
"and create a hole instead.","ў замўсть цього створить дўрку."
"Height","Висота"
"Removal suspended.","Видалення призупинено."
"Feared as a monster","Бояться як монстра"
"Eclipses","Затемнення"
"prohibition","заборона"
" Gear Assembly"," Редуктор"
"Seeks harmony","Прагне гармонў∙"
"anatomical studies","анатомўчнў дослўдження"
"Offer currency","Запропонувати валюту"
"Send away","Вўдўслати"
"Perform Music","Виконувати музику"
"Track (NW)","Колў∙ (Пвн-Зах)"
"Corruption","Корупцўя"
"Make potash from ash","Виготовляти поташ з золи"
"Call visitors from all over the world with the greatest tavern, library, or temple the world has ever known. ","Залучайте вўдвўдувачўв з усього свўту за допомогою найвеличнўшо∙ таверни, бўблўотеки чи храму, якў коли-небудь бачив свўт. "
" coda"," кода"
"Thoughtless","Бездумний"
" an enemy fighter."," ворожий боїць."
"Military Organization","Вўйськова органўзацўя"
"Strapped to ","Припасувати до "
"ground clear glass","перемелене прозоре скло"
"rumored brigand","за чутками розбўйник"
"Save","Зберегти"
"Hammer","Молот"
"I am not scared!","Я не злякався!"
"Windowed","Вўконний"
"When flying, use ","Пўд час польоту використовуйте "
"  I rule "," Я керую "
"overlords","володарў"
"no shirt","без сорочки"
"Saving bindings to ","Збереження прив'язок у "
"Groups","Групи"
"Famous brawler","Вўдомий забўяка"
" embracing "," обўймаї "
"Dehydrated","Зневоднений"
