"more presumptious","anmaáender"
"I only work so hard, but sometimes you have to do what you have to do.","Ich arbeite so hart, aber manchmal muss man tun was man tun muss."
"Vermin Hunting","Ungezieferjagd"
"Lustful","Lstern"
"arranged in double braids","in Doppelz”pfen angeordnet"
"Acknowledge lack of gaiety","Erkenne Mangel an Fr”hlichkeit an"
"I am a slave of ","Ich bin ein Sklave von "
"Precise attack: very slow to strike, improved accuracy","Pr„ziser Angriff: sehr langsamer Schlag, verbesserte Genauigkeit"
"prefers a noisy, bustling life to boring days without activity","bevorzugt ein lautes, gesch„ftiges Leben gegenber langweiligen Tagen ohne Aktivit„t"
"There's nothing to be upset about.","Es gibt nichts, ber das man sich „rgern msste."
", Pos ",", Pos "
"I don't feel isolated.","Ich fhle mich nicht isoliert."
"is tall and very skinny","ist groá und sehr dnn"
"snatcher","Dieb"
"Depression-prone","Depressionsgeneigt"
"possibly unknown director","m”glicherweise unbekannter Direktor"
"That's incredibly suspicious!","Das ist unglaublich verd„chtig!"
"a shell","eine muschel"
" legwear"," Beinbekleidung"
".  Will you have me?",".  Willst du mich haben?"
"Only organized religions can have recognized priesthoods.","Nur organisierte Religionen k”nnen anerkannte Priesterschaften haben."
"the mace","die Keule"
"What can you tell me about ","Was k”nnen Sie mir sagen ber "
"Allow Divination","Wahrsagen erlauben"
"musicality","Musikalit„t"
" casket"," Sarg"
"participation","Teilnahme"
"a verse","ein Vers"
"Like others in ","Wie andere in "
"No mud/soil for farm","Kein Schlamm/Boden fr die Landwirtschaft"
" from behind"," von hinten"
"becomes frenzied as it proceeds","wird im weiteren Verlauf immer rasanter"
"Pick up","Aufheben"
"the axe","die Axt"
"Display worn clothing dyes (fort mode)","Abgenutzte Kleidungsfarben anzeigen (Fort-Modus)"
"is scrawny yet extremely tall","ist drr jedoch extrem groá"
"have thin irises","haben eine dnne Iris"
"That sounds like the ","Das klingt wie die "
"Fail to grab hold","Nicht greifen k”nnen"
"laired within","gelagert in"
"is stubborn","ist stur"
"Beating.","Schlagen."
"in order to admire architecture","um die Architektur zu bewundern"
"Justice","Justiz"
"was too unsettled by death to face it and agreed","war durch den Verlust zu verunsichert, um sich ihm zu stellen und stimmte zu"
"covers its entire range","deckt sein gesamtes Spektrum ab"
"The musician ","Der Musiker "
"Sort by distance from the depot.","Nach Entfernung vom Depot sortieren."
" bruising"," verletzend"
"that war might rage forever","dass der Krieg ewig wten k”nnte"
"the Battle","der Kampf"
"Early morning","Frueher Morgen"
"fantastic creatures were but mere stories told by travelers.","fantastische Kreaturen waren nur Geschichten, die von Reisenden erz„hlt wurden."
" exposition"," Ausstellung"
"legendary intruder","legend„rer Eindringling"
"Thank you.  I will take excellent care of this majestic creature.","Ich danke Ihnen. Ich werde mich hervorragend um diese majest„tische Kreatur kmmern."
" is here, and "," ist hier, und "
"Adventure awaits","Das Abenteuer wartet"
"a masterpiece","ein Meisterwerk"
"having a mandate ignored","ein Mandat ignoriert zu haben"
"legendary trade partner","legend„rer Handelspartner"
"You have a weapon available to draw.  Click to draw it.","Du hast eine Waffe verfgbar, die gezogen werden kann. Klicke, um sie zu ziehen."
"ancient force of nature","alte Kraft der Natur"
"in order to relax","um sich zu entspannen"
" indiv choice, melee"," freie Auswahl, Nahkampf"
"after being unable to be extravagant","nachdem er nicht in der Lage war, extravagant zu sein"
"content","zufrieden"
"Width","Breite"
"Petition ignored","Petition wurde ignoriert"
"scuffle","Handgemenge"
"A festival commemorating ","Ein Fest zum Gedenken an "
"minced ","gehackte "
"lye slush","Laugenmatsche"
"You must designate a tomb","Du musst ein Grab festlegen"
"has incredible muscles over a small build","hat unglaubliche Muskeln fr seinen kleinen K”rperbau"
"The signs lead south.","Die Schilder zeigen nach Sden."
"throne","Thron"
"It would be wonderful if ","Es w„re sch”n, wenn "
"left troupe","linke Truppe"
"Tent (Bld)","Zelt (Gbd)"
"Erosion Cycle Count","Abtragungszyklus-Z„hler"
"Seventeenth","Siebzehnte"
"tenth eldest daughter","zehnt„lteste Tochter"
"Disappointed","Entt„uscht"
"Tanning Workshop","Gerberei Werkstatt"
"The world generator is having trouble placing enough ocean squares along the edges.  ","Der Weltgenerator hat Probleme damit, gengend Ozeanquadrate an den R„ndern zu platzieren.  "
"Knife User","Messernutzer"
"the Postulates","die Postulate"
"Detect","Erkennen"
"Left click to choose corners of a rectangle.","Klicken Sie mit der linken Maustaste, um die Ecken eines Rechtecks auszuw„hlen."
"Archery target","Zielscheibe"
" slabs engraved"," Platten graviert"
"Reply to greeting (impersonation)","Antwort auf die Begráung (Nachahmung)"
"  I'll show you calm!","  Ich zeige dir, was Ruhe ist!"
"from afar","aus der Ferne"
"sting","stechen"
" my "," meine "
"Pull out and drop item","Objekt herausziehen und fallen lassen"
"judges","Richter"
"[C:5:0:1].Moderate rot","[C:5:0:1].M„áige F„ulnis"
" is trying to remember something"," versucht, sich an etwas zu erinnern"
" life by any means"," Leben um jeden Preis"
"the friendship of ","die Freundschaft von "
"powder grinding","Pulvermahlen"
"yourself","selbst"
"[C:6:0:1]Summer","[C:6:0:1]Sommer"
"Seek Ladder to Climb","Suche Leiter zum Klettern"
"is short with well-defined muscles","ist klein, mit gut definierten Muskeln"
"chaining up a creature","eine Kreatur anketten"
"Stuck in ","Eingeklemmt "
"Some things should never change.","Manche Dinge sollten sich niemals „ndern!"
"bookkeeper","Buchhalter"
" by melting"," durch schmelzen"
"Acknowledge lack of being shaken","Erkenne an, dass du nicht erschttert bist"
"Conversations occur over time, like movements and attacks.  ","Gespr„che finden im Laufe der Zeit statt, ebenso wie Bewegungen und Angriffe. "
"Partially paralyzed","leicht benommen"
"miner","Minenarbeiter"
"Armor stand","Rstungsst„nder"
"I didn't sleep soundly due to the noise.","Ich konnte nicht schlafen wegen des L„rms."
" straight-lined"," geradlinig"
"I'm very empathetic.","Ich bin sehr einfhlsam."
"claims it as a family heirloom","beansprucht es als Familienerbstck"
"has an extremely short body that is incredibly muscular","hat einen extrem kleinen K”rper, ist aber unglaublich muskul”s"
"less swayed by others' emotions","weniger von den Emotionen anderer beeinflusst"
" armor stand"," Rstungsst„nder"
"Meeting place, ","Treffpunkt, "
"somewhat concave","etwas konkav"
"Legendary brawler","Legend„rer Raufbold"
"Demand forgotten","Forderung vergessen"
"wind","Wind"
"be very soft","sehr weich sein"
"Armorsmithing Pit","Rstungsherstellungsgrube"
"West","Westen"
"more envy-prone","beneidenswerter"
"This person is ","Diese person ist "
"yet ","dennoch "
"greatly respects the shrewd and guileful","respektiert die schlauen und hinterlistigen"
"list","Liste"
" returned"," zurckgegeben"
"is very fat and extremely tall","ist sehr dick und extrem groá"
"The gods surely want you to dig deeper still!","Die G”tter wollen sicher, dass du noch tiefer gr„bst!"
"Feared for violent opposition","Gefrchtet wegen gewaltsamer Opposition"
" cloth"," stoff"
"Pond","Teich"
"the traction bench","die Traktionsbank"
"Remove this building.","Entfernen Sie dieses Geb„ude."
"Slight Need","Geringes Bedrfnis"
"be soft","weich sein"
"Bins, bags, and barrels","Kisten, S„cke und F„sser"
" to be relatively worthless"," relativ wertlos zu sein"
"items that a person is carrying.  You don't have to pick up an item in a store before you purchase it, but feel free to do so as long ","Gegenst„nde, die eine Person bei sich tr„gt. Sie mssen einen Artikel in einem Gesch„ft nicht in die Hand nehmen, bevor Sie ihn kaufen, aber Sie k”nnen dies gerne tun, solange "
"aroused","erregt"
"Click a citizen or creature","Klicken Sie auf einen Brger oder ein Lebewesen"
"corrupt position holder","Korrupter Amtsinhaber"
"accords","Entspricht"
"a motor nerve","ein motorischer Nerv"
" Chain"," Kette"
"[C:7:0:1]Time before time","[C:7:0:1]Die Zeit vor der Zeit"
"a shrine","einen Schrein"
"creaturebody","Lebewesen"
"The guildhall agreement with ","Die Gildenhalle Vereinbarung mit "
"Building friendships is a waste.  There is no bond that can withstand distance or a change of circumstance.","Freundschaften schliessen ist eine Verschwendung.  Es gibt keine Bindung, die Entfernung oder eine nderung der Umst„nde widerstehen kann."
"Not greedy","Nicht gierig"
"the nature of mind and body","die Natur von Geist und K”rper"
"an untitled composition","eine Komposition ohne Titel"
"Not in use","Nicht in Gebrauch"
"This passage is richly layered with full chords making use of the available range.  ","Diese Passage ist reichhaltig mit vollen Akkorden berlagert, die den verfgbaren Tonumfang ausnutzen. "
" prisoner"," H„ftling"
"State that you hate solemn poems","Erkl„ren Sie, dass Sie feierliche Gedichte hassen"
"narrow-chin","enges Kinn"
"Shrine, ","Schrein, "
"Stonecrafter","Steinmetz"
"Bed","Bett"
" on the theme"," zum Thema"
"thereby freeing","befreit dadurch"
"in the depths","in den Tiefen"
"deflected","abgelenkt"
"No item to strap","Kein Gegenstand zum Befestigen"
" called "," genannt. "
"menacing","Bedrohung"
"No contact","kein Kontakt"
"mellow","ausgereift"
"Force","Kraft"
"request approved","Antrag genehmigt"
" administrators"," Verwalter"
" nature since "," Natur seit "
"an acquiescing nature","eine duldende Haltung"
"Frail","Gebrechlich"
"Deny sleep permission","Erlaubnis zum Schlafen verweigern"
" appears unconvinced."," scheint nicht berzeugt zu sein."
"This is the abilities menu.","Dies ist das F„higkeitenmen."
"fishing rights","Fischereirechte"
"Fantastic","Fantastisch"
"the Waves","die Wellen"
" raised arm"," erhobener Arm"
" sway"," schwingen"
"Unnamed animal training area","Unbenanntes Tiertrainingsgel„nde"
" notes spaced evenly throughout the octave.  "," gleichm„áig ber die Oktave verteilte Noten. "
"encrusted with","verzieren mit"
"Retire","Aufh”ren"
"has an incredibly broad body with almost no fat on it","hat einen unglaublich breiten K”rper, der fast kein Fett aufweist"
"[C:4:0:1].Compound fracture","[C:4:0:1].Zusammengesetzte Fraktur"
"suicide","Selbstmord"
"known to be quarrelsome","bekannt z„nkisch sein"
" make an offer of service"," ein Dienstangebot unterbreiten"
"Specialization button","Schaltfl„che Spezialisierung"
"Grassland","Grasland"
" has a real mean streak."," hat einen echte gemeine Ader."
" through a hole in the "," durch ein Loch in der/dem/den "
"State minor feeling of arousal","Zustand geringer Erregung"
"the construction and use of chain drives","die Konstruktion und Verwendung von Kettenantrieben"
"Full customization","Vollst„ndige Anpassung"
"State minor feeling of lust","Zustand geringes Gefhl der Lust"
"discourse on the nature of truth","Diskurs ueber das Wesen der Wahrheit"
"Building toppled by ghost","Von einem Geist eingestrztes Geb„ude"
"People should listen to what I have to say.","Leute sollten auf das h”ren was ich zu sagen habe."
"uneasy","unbehaglich"
"bridge-passage","Brckepassage"
"be manageable from this screen.","von diesem Bildschirm aus verwaltet."
" has grown to become a "," ist gewachsen zu einen "
"Your abduction","Deine Entfhrung"
"[C:4:0:0]Thirsty","[C:4:0:0]Durstig"
"That was hunter's work.","Das war des J„gers Arbeit."
" will no longer pay homage to "," nicht l„nger die Ehre erweisen fr "
"Convict a suspect for this crime.","Verurteilen Sie einen Verd„chtigen fr dieses Verbrechen."
" Rope"," Seil"
"Use Classic ASCII glyphs","Nutze klassische ASCII Zeichen"
"How irritating!","Wie „rgerlich!"
"View the map.","Karte anzeigen."
"The citizens of ","Die Brger von "
"[C:4:0:1].Torn open","[C:4:0:1].Aufgerissen"
" into the lava mist"," in den Lavanebel"
"Population Cap After Civ Creation","Bev”lkerungslimit nach Civ-Erstellung"
"I could not find a priest to complain at.","Ich konnte keinen Priester finden, bei dem ich mich beschweren konnte."
"Dwarf Fortress Adventure","Dwarf Fortress Abenteuer"
"the export prohibition violation","den Verstoá gegen das Ausfuhrverbot"
"You are unperturbed.","Sie sind nicht beunruhigt."
" up and down when "," auf und ab, wenn "
"I put a creature in a cage.","Ich habe eine Kreatur in einem K„fig eingesperrt."
"Ask about the listener's master or boss","Fragen Sie nach dem Meister oder Chef des Zuh”rers"
"I feel regret.","Ich bereue es."
"is very short with well-defined muscular","ist sehr klein mit gut definierten Muskeln"
"Agreed to build grand guildhall","Einigung ber den Bau eines groáen Rathauses"
"You've assumed tactical control as nobody else is available.","Sie haben die taktische Kontrolle bernommen, da niemand sonst zur Verfgung steht."
"State minor feeling of affection","Zustand geringer Zuneigung"
"four","(IV)"
" bows"," B”gen"
"Other","Andere"
" but "," aber "
"Golden Age","Goldenes Zeitalter"
"Nobody does this","Niemand tut dies"
"So annoying!","So nervig!"
"How kind!  Thank you so much.","Wie Gtig! Habt vielen dank."
"Unknown interaction","Unbekannte Interaktion"
"Mill Building","Mhlen Geb„ude"
"Talk to somebody.","Mit jemanden sprechen."
"effortlessly ","mhelos "
"one month","einem Monat"
"is best)","ist am besten)"
"Minimum Number of Low-Elevation Squares","Mindestanzahl geringen Erh”hungen"
"Swimmer","Schwimmer"
"mace","Streitkolben"
"Grab Boots","Schuhe nehmen"
"thinks that introspection is valueless and those that waste time in self-examination are deluded fools","glaubt, dass Selbstbeobachtung wertlos ist und dass diejenigen, die Zeit mit Selbstbeobachtung verschwenden, verblendete Narren sind"
"the past","die Vergangenheit"
" were unable to complete the "," waren nicht in der Lage, es abzuschlieáen "
"Choose a stockpile to which the workshop will give items.","W„hlen Sie ein Vorratslager aus, an das die Werkstatt Gegenst„nde abgeben soll."
"naked","nackt"
"most sacred ","am heiligsten "
"Collect webs","Spinnweben sammeln"
"Hard","Hart"
"relation received stress complaint chat","Beziehung eingegangene Stressbeschwerde Gespr„ch"
"less reliant on advice","weniger auf Ratschl„ge angewiesen"
" lets"," l„sst"
"wrath","Zorn"
"ruffians","Raufbolde"
"an unnamed group","eine unbenannte Gruppe"
"There is no right choice.","Es gibt keine richtige Wahl."
"her","ihre"
"Corrupt","Korrupt"
"finds the following of tradition foolish and limiting","h„lt das Festhalten an Traditionen fr t”richt und einschr„nkend"
" heads"," k”pfe"
"I have been so foolish.  Yes, I agree.","Ich bin so dumm gewesen. Ja, ich stimme zu."
"plant fiber","Pflanzenfaser"
"jump into existing conflict","in einen bestehenden Konflikt einsteigen"
" lifted numerous oppressive laws from "," zahlreiche unterdrckerische Gesetze aufgehoben von "
"the forces that govern wind patterns","die Kr„fte, die die Windverh„ltnisse bestimmen"
"conflicted","widersprchlich"
"!  See to yourself before you face what's ahead.","! Sorge zuerst fr dich, bevor du dem Kommenden begegnest."
"What will you do with ","Was wirst du tun mit "
"Demand Tribute from ","Fordern Sie Tribut von "
"finds obligations confining","findet Verpflichtungen einschr„nkend"
"Knowledge","Wissen"
"If you have a number pad, you can move one tile at a time by pressing ","Wenn Sie einen Ziffernblock haben, k”nnen Sie durch Drcken der passenden Taste jeweils eine Kachel verschieben. "
" chop"," hacken"
"I'm very sympathetic.","Ich bin sehr verst„ndnisvoll."
"Stand up","Steht auf"
"absolutely boundless patience","absolut grenzenlose Geduld"
"Distrustful","Misstrauisch"
"Light aquifer","Wenig Grundwasser"
" expelled"," vertrieben"
"dreams of bathing the world in chaos","tr„umt davon, die Welt ins Chaos zu strzen"
"hf died unexpectedly","ist unerwartet gestorben"
"average","durchschnittlich"
"Not lustful","Nicht lustvoll"
"the questionable judgment of ","das fragwrdige Urteil von "
"starts to stutter when ","beginnt zu stottern, wenn "
"These goods are too heavy and cheap for me to consider.","Diese Waren sind zu schwer und zu billig, als dass ich sie in Betracht ziehen k”nnte."
" reciting the words of "," Rezitation der Worte von "
"I was never one to follow advice.","Ich war niemals jemand der Ratschl„gen gefolgt ist."
"Track/Ramp (NS)","Weg/Rampe (NS)"
"Lonely","Einsam"
"The musician blows into the instrument and selects pitch ","Der Musiker bl„st in das Instrument und w„hlt die Tonh”he "
"No, this isn't humiliating.","Nein, das ist nicht demtigend."
"Saving incidents...","Speichere Vorf„lle..."
"Acknowledge lack of alarm","Fehlende Alarmierung best„tigen"
"mandate was obeyed","dem Mandat wurde Folge geleistet"
" held a procession"," eine Prozession veranstaltet"
" can be heard howling throughout the fortress!"," kann man in der ganzen Festung heulen h”ren!"
"Minimum River Start Locations (Pre-Erosion)","Min. Flussstartposition (Pre-Erosion)"
"Nearest-neighbor","N„chstgelegener Nachbar"
"Triumphant","Triumphal"
"found","gefunden"
" as the dancer acts out "," als der T„nzer auslebt "
" in order to secure embezzled funds in "," um die veruntreuten Gelder in "
"You need a broker with","Sie brauchen einen Kaufmann mit"
"being unoccupied for too long","zu lange unbesetzt sein"
"a legendary killer","ein legend„rer Killer"
"underworld spire","unterirdischer Turm"
"   Events: ","   Ereignisse: "
"after admiring art","nach Bewunderung der Kunst"
"repentant","Reumtig"
"How exhilarating!","Wie aufregend!"
"has a habit of running ","hat die Angewohnheit zu laufen "
"Click a mod to open its folder.","Klicke auf eine Mod, um ihren Ordner zu ”ffnen."
"But if one of these brave workers falls, you'll need to assign somebody to these duties.","Aber wenn einer dieser tapferen Arbeiter ausf„llt, mssen Sie jemanden mit diesen Aufgaben betrauen."
"Remove fluids and spatter from the arena.","Entferne Fluessigkeiten und Spritzer aus der Arena"
"slashing off","abschneidend"
"State minor feeling of exasperation","Geringfgiges Gefhl der Ver„rgerung angeben"
"You failed to dismount","Das Absteigen ist fehlgeschlagen"
" are vying for control."," wetteifern um die Kontrolle."
"In a berserk rage!","in einem Anfall von Raserei!"
"Almost guaranteed","Fast garantiert"
"Bring up the reunion of ","Die Wiedervereinigung von "
"in existential crisis","in einer existenziellen Krise"
"notably polite","ausgesprochen h”flich"
"At times, creeping things slither out from below ground.","Manchmal kriecht etwas aus dem Boden hervor."
"Goods","Produkte"
" originating in "," mit Ursprung in "
"Friendly fire isn't currently possible, so your companions should be safe.  ","Freundfeuer ist derzeit nicht m”glich, deine Gef„hrten sollten also sicher sein. "
"three","(III)"
"butcher","Fleischer"
"'s refusal of ","s Ablehnung von "
"the loss of heroic status of","der Verlust des Heldenstatus von"
"(Combat) Enraged","(Kampf) Rasend"
"Main Ceremony","Hauptzeremonie"
"hate","hass"
"World Joining Agreement","Weltbeitrittsabkommen"
"A pool of ","Ein Pool von "
"hateful","hasserfllt"
"heavily-armored ","schwer gepanzert "
"Resting orientation","Ruheposition"
"is offended by leisure time and leisurely living","sich an der Freizeit und dem gemtlichen Leben st”rt"
"noted quarreler","anerkannte Streithahn"
"lost faith in","den Glauben an"
"Vertical keyboard scroll tiles","Vertikales Scrollen per Tastatur"
"cooking","kochen"
"beast from the wilds","Biest aus der Wildnis"
"fright","Schrecken"
"Ground","Boden"
"Wilderness Curious Wander","Wildnis Neugierig wandern"
" the words of "," die Worte von "
"Move upward.","Aufw„rts bewegen."
"You honor ","Ihr ehrt "
"Cannot build at highest level","Kann nicht auf h”chstem Level bauen"
"more disdainful","ver„chtlicher"
"Migrants were too nervous to make the journey this season to this miserable fortress.","Die Migranten waren zu nerv”s, um in dieser Saison die Reise zu dieser elenden Festung anzutreten."
"a simple passage","eine einfache Passage"
"Routines are individual orders given to a squad or individual members of a squad.  From here you ","Routinen sind individuelle Befehle, die einem Trupp oder einzelnen Mitgliedern eines Trupps erteilt werden. Von hier aus k”nnen Sie "
"Dormitories should include multiple beds and will not belong to a particular citizen.","Die Schlafs„le sollten mehrere Betten umfassen und werden nicht einem bestimmten Brger geh”ren."
"Is that ","Ist das "
" own life, with everything kept in its proper place"," ein eigenes Leben, in dem alles an seinem Platz bleibt"
"Encounter","Begegnungen"
"was crushed by a rock","wurde von einem Felsen zerschmettert"
"When there's a pause in a conversation, ","Wenn eine Gespr„chspause entsteht, "
"It is not convincing.","Sie ist nicht berzeugend."
"This is really exciting!","Das ist wirklich spannend!"
"Grab Shield","Schild nehmen"
"Not inclined to create art","Keine Neigung zur Kunst"
"I was not able to petition for citizenship.","Ich war nicht in der Lage, die Brgerschaft zu beantragen."
" changing "," „ndern "
"the request by ","die Anfrage von "
"half ","H„lfte "
"older half-brother","„lterer Halbbruder"
"blowgun","Blaspistole"
"being away from great beasts for so long","so lange von den groáen Bestien getrennt zu sein"
"  Body corrupted beyond reckoning, "," Der K”rper ist unvorstellbar gesch„digt, "
" strong"," starke"
"This dancer","Dieser T„nzer"
"Planting","Pflanzen"
"less gracious","weniger gn„dig"
"Cough blood","Blut husten"
"Sharp blades","Scharfe Klingen"
"for","fr"
"admire architecture","die Architektur bewundern"
"fishery worker","Fischereiarbeiter"
"has a habit of chewing on ","hat die Angewohnheit, auf "
"Archery Range","Schieástand"
" is threatened!  The forces of "," ist bedroht! Die Kr„fte der "
"This is the movement options menu.  Here you can choose your gait and see your current stealth profile.  ","Dies ist das Men mit den Bewegungsoptionen. Hier k”nnen Sie Ihre Gangart ausw„hlen und Ihr aktuelles Stealth-Profil anzeigen. "
"Siege","Belagerung"
"nephew","Neffe"
"What's so special about art?","Was ist so besonders an Kunst?"
" year"," Jahr"
"a way with words","die F„higkeit, mit Worten umzugehen"
"Injured party: ","Verletzte Partei: "
"This is an example urgent alert!  These are very important.  Ignore them at your peril.","Dies ist ein Beispiel fr eine dringende Warnung! Diese sind sehr wichtig. Ignorieren Sie sie auf eigene Gefahr."
"Sparse","Sp„rlich"
" masterfully dyed a "," Meisterwerk gef„rbt ein "
"reelected","wiedergew„hlt"
"geographer","Geograph"
" wafers"," Waffeln"
"is the symbol of","ist das Symbol der"
"No particular deity","Keine besondere Gottheit"
"over at ","drben bei "
"State feelings of great dejection","Gefhle der groáen Niedergeschlagenheit angeben"
"Click an icon to set stockpile type.","Klicken Sie auf ein Symbol, um den Lagertyp festzulegen."
"My sibling shared a personal insight with me.","Mein Geschwisterchen teilte mir eine pers”nliche Erkenntnis mit."
" and fulfill your destiny."""," und erflle dein Schicksal."""
"A mandate has ended.","Ein Mandat ist beendet."
"after wandering","nach der Wanderung"
"Loading history...","Lade Geschichte..."
"bulging","prall"
"the underworld","die Unterwelt"
"because of a leadership change at the site","wegen eines Fhrungswechsels an dem Standort"
"  The task is accomplished."," Die Aufgabe ist erledigt."
"How have things been?","Wie ist es gelaufen?"
"dislikes helping others","mag es nicht, anderen zu helfen"
"Missing","Vermisst"
"Magma forge","Magma-Schmiede"
"room","Zimmer"
"Verbally struggle against great shock","Verbaler Kampf gegen groáen Schock"
"Assign a trainer to this creature.","Weisen Sie dieser Kreatur einen Trainer zu."
"Spread rumor of the ","Verbreiten Sie Gerchte ber die "
"Saving coin information...","Speichern Mnzinformationen..."
"Loud movement","Laute Bewegung"
"The poem has ","Das Gedicht enth„lt "
"I'm not feeling gloomy.","Ich bin nicht trbsinnig."
"Invader vertical digging aversion (smaller = more digging)","Vertikale Grab-Abneigung von Eindringlingen (kleiner = mehr graben)"
" regarding the conflict between "," in Bezug auf den Konflikt zwischen "
" bodies"," K”rper"
"Decorum","Etikette"
"Remove current location assignment","Aktuelle Standortzuweisung aufheben"
"I'm not feeling passionate.","Ich fhle keine Leidenschaft."
"Disdains harmony","Verachtet die Harmonie"
"Art?  More like wasted opportunity.","Kunst? Eher eine verschwendete M”glichkeit!"
"Criminal","Kriminineller"
"right around here","gleich hier in der N„he"
"A beast from the wilds has been harassing our people.","Eine wilde Bestie hat unsere Leute bel„stigt."
"Approve of the joke","Den Witz gutheiáen"
"new grudge","neuer Groll"
" being abandoned"," im Stich gelassen werdend"
"deep material ","tiefes Material "
"is very long and muscular","ist sehr lang und muskul”s"
"You can build staircases to connect different elevations.  Staircases must span at least two elevations.  Requires boulder, block, or wood.","Sie k”nnen Treppen bauen, um verschiedene Stockwerke miteinander zu verbinden. Die Treppen mssen sich ber mindestens zwei Ebenen erstrecken. Erfordert Felsen, Quader oder Holz."
"Release other prisoners","Andere Gefangene freilassen"
"cook","Koch"
"shrew","Spitzmaus"
"Item inaccessible","Gegenstand unerreichbar"
"Archer Reposition","Bogenschtzen neu positionieren"
"Seek Heist Master","Meister des Raubberfalls suchen"
"believes the idea of war is utterly repellent and would have peace at all costs","h„lt die Idee des Krieges fr absolut abstoáend und m”chte um jeden Preis Frieden haben"
"to fill a role as a mercenary","eine Rolle als S”ldner zu bernehmen"
"The rules of the form are applied by composers to produce individual pieces of music which can be performed.  ","Die Regeln der Form werden von den Komponisten angewandt, um individuelle Musikstcke zu schaffen, die aufgefhrt werden k”nnen. "
" guild"," Gilde"
"poetry","Gedichte"
" Year"," Jahr"
"Don't talk to me.","Reden Sie nicht mit mir."
"Process plants (barrel)","Verarbeitende Pflanzen (Fass)"
" X-Variance"," X-Varianz"
"Store item in vehicle","Gegenstand im Fahrzeug aufbewahren"
"Dismiss minor feeling of pessimism","Leichten Pessimismus verwerfen"
"There are no merchants present with which to trade.","Es sind keine H„ndler anwesend, mit denen man handeln k”nnte."
"You are unconscious.","Du bist bewusstlos."
" string by stopping it against the body.  "," Schnur, indem er sie gegen den K”rper drckt. "
"the joining of ","die Zusammenfhrung von "
"I just don't care anymore...","Es interessiert mich einfach nicht mehr..."
"gambling of ","Glcksspiel von "
"unit-","Einheit-"
"Grumpy","Mrrisch"
"more sensitive","empfindlicher"
"a jealous grudge, ","ein eiferschtiger Groll, "
"Flights of fancy","H”henflge der Phantasie"
"horror","Horror"
"Entrance","Eingang"
"Respond passively","Passiv reagieren"
"I don't feel restless.","Ich fhle mich nicht unruhig."
" adjust"," stellen"
"A marauding warband is threatening our people.","Eine marodierende Kriegsbande bedroht unser Volk."
"This ornamental construction can enhance the value of rooms.  A window object must be made at a glass furnace before it can be placed.","Diese dekorative Konstruktion kann den Wert von R„umen erh”hen. Ein Fensterobjekt muss in einem Glasofen hergestellt werden, bevor es eingesetzt werden kann."
"Quick to give up","Gibt schnell auf"
" regain"," wiedergewinnen"
" lock"," halten"
"We have unleashed the echo of a forgotten divine retribution!","Wir haben das Echo einer vergessenen g”ttlichen Vergeltung entfesselt!"
" (location no longer in zone)"," (Standort nicht mehr in der Zone)"
"the embriological development of creatures","die embryonale Entwicklung der Kreaturen"
"tanned hide","gegerbte Haut"
"With a band so large, what share of the glory would I have?","Welchen Anteil am Ruhm wrde ich bei einer so groáen Band haben?"
"somewhat quarrelsome","etwas z„nkisch"
"Add ammunition","Munition hinzufgen"
"an amazing spatial sense","ein erstaunliches r„umliches Vorstellungsverm”gen"
"Minimum Number of Mid-Drainage Squares","Mindestanzahl Quadrate: mittlere Entw„sserung"
"Affects resistance to poisons and infections.","Beeinflusst die Resistenz gegen Gifte und Krankheiten."
"condense","kondensieren"
"Avoid fights","Vermeidet Streit"
"pressed amber","gepresster Bernstein"
" forth an awe-inspiring sermon for the ages!"," eine ehrfurchtgebietende Predigt fuer die Ewigkeit!"
"decorum","Anstand"
"Store item in barrel","Gegenstand im Fass aufbewahren"
"Malachite","Malachit"
"combat drills","Kampfbungen"
"the "," "
" but did not reveal everything"," aber nicht alles verraten hat"
"I have become a parent","Ich bin nun ein Elternteil."
"Don't try to throw your weight around.","Versuchen Sie nicht, Ihr Gewicht in die Waagschale zu werfen."
"pyramids","Pyramiden"
"Truly.","Wirklich."
"baronesses","Baronessen"
"holds fairness as one of the highest ideals and despises cheating of any kind","h„lt Fairness fr eines der h”chsten Ideale und verachtet jede Art von Betrug"
"the attack on ","der Angriff auf "
"leatherworker","Lederhandwerker"
"Thick","Dicht"
"(Cavern soil","(H”hlenboden"
"push","drcken"
"State feelings of great aversion","Gefhle der groáen Abneigung angeben"
" with temple"," mit Tempel"
"State feelings of eagerness","Gefhle der Begierde angeben"
"Writing materials include paper and parchment sheets.","Zum Schreibmaterial geh”ren Papier und Pergamentbl„tter."
"sees the pursuit of good ","sieht das Streben nach dem Guten "
"Sleep/room at will","Schlafen/Zimmer nach Belieben"
"drops any activity at the slightest hint of difficulty or even the suggestion of effort being required","bei der geringsten Andeutung einer Schwierigkeit oder auch nur der Andeutung, dass eine Anstrengung erforderlich ist, jede T„tigkeit abbricht"
"mountains","Gebirge"
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","Einige Schaupl„tze sind selbst fr erfahrene Spieler eine Herausforderung, und es wird ein sehr kurzes Spiel werden, wenn man nicht weiá, wie man mit ihnen umgehen soll!"
"noted protector of the weak","anerkannter Beschtzer der Schwachen"
