"more presumptious","bardziej arogancki"
"Shoot web","Strzelaj paj©czyn•"
"is clear evidence of a compassionate being","jest wyra´nym dowodem wsp¢àczuj•cej istoty"
"sticky ","lepki "
"agitation","pobudzenie"
"adopt","przyj©ty"
"to adventure","do przygody"
"viewed","ogl•dany"
"Legendary hunter","Legendarny myòliwy"
"Complete Binding","Peàna oprawa"
"thinks the quest for knowledge is a delusional fantasy","uwaæa, æe poszukiwanie wiedzy to urojona fantazja"
"cartographical surveying","pomiary kartograficzne"
"Advancing seasons","Zmieniaj•ce si© pory roku"
"Exchange, give, take or show personal items","Wymiana, dawanie, zabieranie lub pokazywanie przedmiot¢w osobistych"
"Coral","Koral"
"Metropolis","Metropolia"
"Designate items for dumping and melting, claim forbidden items and buildings, and set item visibility.","Wyznacz przedmioty do wyrzucenia i przetopienia, zbierz porzucone przedmioty i budowle oraz ustaw widocznoòÜ przedmiot¢w."
"what interests you and what you're prepared to offer in exchange.","co ciebie interesuje i co przygotowaàeò do zaoferowania w zamian."
"agreement cancelled","umowa anulowana"
"Choose X: ","Wybierz X: "
"Editing routine ","Edycja rutyny "
"the Mountainhome","Dom w g¢rach"
" likes working outdoors and grumbles only mildly at inclement weather.  "," lubi pracowaÜ na òwieæym powietrzu i narzeka tylko nieco przy zàej pogodzie.  "
"next ","nast©pny "
"I feel somewhat sad.","Jest mi troch© smutno."
" falls"," spada"
"To keep them alive use the [C:3:0:0]Pen/Pasture[C:7:0:0] zone from the [C:5:0:1]Zones[C:7:0:0] menu to select a section of grass and click the ","By utrzymaÜ je przy æyciu, uæyj strefy [C:3:0:0]Zagrody/Pastwisko[C:7:0:0] z menu [C:5:0:1]Strefy[C:7:0:0] aby wybraÜ fragment trawy i kliknij "
" changed "," zmieniony "
" threw "," rzucony "
"branch","oddziaà"
"Present (1st)","Czas tera´niejszy (1. os.)"
" into the dragonfire"," w smoczy ogie‰"
" worshipper of "," czciciel "
"stopped being the owner of","przestaà byÜ wàaòcicielem"
"This leaves me so shaken.","To mnie bardzo wstrz•sn©ào."
"Move keyboard cursor down","Przesuni©cie kursora klawiatury w d¢à"
"furniture","meble"
"Creature variations...","Rodzaje stworze‰..."
"conduct","przeprowadziÜ"
"You feed on ","Ωywisz si© "
"I treasure my freedom.","Ceni© sobie moj• wolnoòÜ."
" to tell "," powiedzieÜ "
"The identity of ","ToæsamoòÜ "
"We are going the wrong way.","Zmierzamy w zà• stron©."
"[C:3:0:1].Partial numbness","[C:3:0:1].Cz©òciowe odr©twienie"
"Well-crafted","Dobrze wykonany"
"clay ","glina "
"Arena: Creature, reset","Arena: Stworzenie, reset"
"suggest","sugerowaÜ"
"Making furniture","Robienie mebli"
"The rest of the vomit burns away in the magma.","Reszta wymiocin spala si© w magmie."
"(Vehicle moved to next stop if any condition triggered.)","(Pojazd poruszy si© do nast©pnego przystanka, jeòli jakikolwiek warunek speàniony.)"
"dreams of mastering a skill","marzenia o opanowaniu jakiejò umiej©tnoòci"
"Values perseverance","Ceni wytrwaàoòÜ"
"preached to ","gàoszone do "
"Retired adventurers will continue their travels, and might show up in a future fortress or be hired by a future adventuring party.  ","Emerytowani poszukiwacze przyg¢d b©d• kontynuowaÜ swoje podr¢æe i mog• pojawiÜ si© w przyszàej fortecy lub zostaÜ zatrudnieni przez przyszà• druæyn© poszukiwaczy przyg¢d. "
" Showing all"," Pokazywanie wszystkich"
"No worshippers","Brak wyznawc¢w"
"Not ready to be split","Niegotowy do podziaàu"
"factor","faktor"
"my good ","moja droga "
"A cloud of ","Chmura "
"horrible intuition","okropna intuicja"
"being unable to make suggestions about work allocations","niemoænoòÜ przedstawienia sugestii dotycz•cych przydziaàu pracy"
"very convex","bardzo wypukàe"
"You are not yielded.  Click to yield to opponents.","Nie jesteò ulegày. Kliknij, aby poddaÜ si© przeciwnikom."
"Hear eloquence","PosàuchaÜ kogoò elokwentnego"
"Hunt","Polowanie"
"doesn't generally think before acting","zazwyczaj nie myòli przed podj©ciem dziaàania"
"You may create multiple characters during character creation.  These are your party.  You may select one party leader freely ","Podczas tworzenia postaci moæesz stworzyÜ kilka postaci. Stanowi• one twoj• druæyn©. Moæesz dowolnie wybraÜ jednego przyw¢dc© druæyny "
"Retirement","Emerytura"
"[C:1:0:1]Temples[C:7:0:0] are places for faithful residents to commune with their chosen deity. ","[C:1:0:1]ówi•tynie[C:7:0:0] s• budowane dla peànych wiary mieszka‰c¢w do obcowania z ich wybranym b¢stwem. "
"Politeness","UprzejmoòÜ"
"cloth shop sign","szyld sklepu z tkaninami"
"being near ","bycie blisko "
"death and injury","òmierÜ i obraæenia"
"did not find tool with index ","nie znaleziono narz©dzia z indeksem "
"alienation","alienacja"
"Difficult","Trudne"
"State feelings of great righteous indignation","Uczucie wielkiego sàusznego oburzenia"
"New weapon","Nowa bro‰"
"Recover wounded","Odzyskiwanie rannych"
"Are you sure you want to abort?","Czy na pewno chcesz przerwaÜ ci•æ©?"
"Put an item into a container.","Wà¢æ przedmiot do pojemnika."
"[C:6:0:1].Minor swelling","[C:6:0:1].Lekki obrz©k"
"labyrinth","labirynt"
" there"," tam"
" has been moved from its proper place!"," zostaà przeniesiony z wàaòciwego miejsca!"
"Cauterization","Kauteryzacja"
"There are no children","Nie ma dzieci"
"Custom Detail ","Niestandardowe Szczeg¢ày "
" equipment by"," sprz©t wedàug"
"Load","Wczytaj"
" made contact with "," nawi•zaà kontakt z "
"moved out of","wyprowadzià si© z"
"middling warrior","przeci©tny wojownik"
"I just don't understand ","Po prostu nie rozumiem "
" animal trap"," puàapka na zwierz©ta"
"Floodgate","óluza"
"You must move away from the river before you can travel.","Przed podr¢æ• musisz oddaliÜ si© od rzeki."
"Unless you are very skilled, you should not attempt to wrestle larger creatures, and you should try to avoid being grabbed by them.  ","Jeòli nie jesteò bardzo doòwiadczony, nie powinieneò pr¢bowaÜ walczyÜ z wi©kszymi stworzeniami i staraj si© unikaÜ sytuacji, w kt¢rych mogàyby ci© zàapaÜ. "
"more anxious","bardziej zaniepokojony"
"Remove building","Usu‰ budowl©"
"tree","drzewo"
"being unswayed by the emotional appeal","bycie niewzruszonym przez emocjonalny wpàyw"
"respects the law","przestrzegaÜ prawa"
"Not enough complete edge oceans","Niewystarczaj•co duæo ocean¢w na obrzeæach"
"I am your loyal ","Jestem Twoim lojalnym "
"Your view is focused on one elevation at a time.  To move the camera around, press ","Tw¢j widok jest skupiony na jednym poziomie naraz. Aby przesun•Ü kamer©, wciònij "
"I've forgotten what to say...","Zapomniaàem co powiedzieÜ..."
"Some corrupt data","Niekt¢re dane uszkodzone"
"Extreme pain","Ekstremalny b¢l"
"My friend discussed their problems with me.","M¢j przyjaciel przedyskutowaà ze mn• swoje problemy."
"A Web","SieÜ"
"Disdains advice","Gardzi rad•"
"Hauling","Przenosz"
"Enable caveins","Wà•cz jaskinie"
" a lucid and powerful sermon."," klarowne i mocne kazanie."
"How can people be so glum?","Jak ludzie mog• byÜ tacy ponurzy?"
"The music continues.","Muzyka ci•gnie si© dalej."
"Hard difficulty","Trudny poziom trudnoòci"
"Thank you for returning my family's treasure.","Dzi©kuj© za zwrot skarbu mojej rodziny."
"more quarrelsome","bardziej kà¢tliwy"
"I'm so elated.","Jestem taki podekscytowany."
"the construction and use of the screw","budowa i zastosowanie òruby"
"Retrieve Artifact","Odzyskaj Artefakt"
"the new desire of","nowe pragnienie"
"Weapon Rack","Stojak na bro‰"
"Sometimes the blunt truth just does more damage.  Think about how the situation will unfold before you speak.","Czasami sama prawda po prostu czyni szkod©.  Myòl o tym, jak sytuacja si© rozwinie zanim cokolwiek powiesz."
"A performance of ","Wyst©p "
" Bag"," Worek"
"Custom","Wàasny"
"broken away","oderwany"
"Lost pick","Zgubiony wyb¢r"
"Burned up in ","Spalony w "
"Dismiss minor feeling of terror","Niewielkie uczucie przeraæenia"
" killed "," zabity "
"craft","produkt"
"Toy","Zabawka"
" was enslaved by"," zostaà zniewolony przez"
" received its name"," otrzymaà swoj• nazw©"
" picks up "," podnosi "
" is well-traveled and would probably have that information."," jest obeznany i najprawdopodobniej miaàby t© informacj©."
"is extremely long and very fat","jest ekstremalnie dàugi i bardzo gruby"
"This building has","Ten budynek"
"lack of respect of","brak szacunku do"
"I love the light lyrics of the accompaniment.","Uwielbiam lekki tekst akompaniamentu."
" finds rules of etiquette to be valuable in the abstract"," uwaæa zasady etykiety za wartoòciowe abstrakcyjnie"
" to ask "," poprosiÜ "
" sent me to "," wysàaà mnie do "
"You must kill ","Musisz zabiÜ "
"the foundation of ","fundament "
"Warm","Ciepày"
"Suspicious","podejrzliwy"
"ligature","ligatura"
"Stone-Fall Trap","Puàapka ze spadaj•cymi kamieniami"
"Pull lever","Poci•gn•Ü d´wigni©"
"rich","bogaty"
"has a high voice","ma wysoki gàos"
"]  No...  I don't want to talk about it.","]  Nie...  Nie chc© o tym rozmawiaÜ."
"Unknown artwork","Nieznana grafika"
"If a task does not have a default work detail, you can create a custom work detail.  Once you assign citizens to the task, you can then set [C:5:0:1]""Only selected do this""[C:7:0:0] if you want to restrict it.","Jeòli zadanie nie ma domyòlnych szczeg¢à¢w pracy, moæesz utworzyÜ niestandardowe szczeg¢ày pracy. Po przydzieleniu obywateli do zadania moæesz ustawiÜ [C:5:0:1]""Tylko wybrani to robi•""[C:7:0:0] jeòli chcesz je ograniczyÜ."
"jagged scar.  ","poszarpana blizna. "
"View this item.","Zobacz ten element."
" struggle"," zmaganie"
"Very high","Bardzo duæo"
"Very rare","Bardzo rzadkie"
"Hands","R©ce"
"failure","niepowodzenie"
" melody pipe"," fajka melodyczna"
"Change to standard chop mode.","Zmie‰ na standardowy tryb òcinania."
"often","cz©sto"
"Economics","Ekonomia"
"Drainage Mesh Size","Rozmiar siatki drenaæowej"
"dormitory","dormitorium"
"the imported food market","rynku z importowan• æywnoòci•"
"maintain entity status","utrzymanie statusu jednostki"
"Drop","UpuòÜ"
"You can gather the [C:6:0:1]Refuse[C:7:0:0] in a [C:6:0:0]Refuse Stockpile[C:7:0:0]. ","Moæesz zbieraÜ [C:6:0:1]Odpadki[C:7:0:0] w [C:6:0:0]Magazynie Odpadk¢w[C:7:0:0]. "
"was killed by a flying object","zostaà zabity przez lataj•cy obiekt"
"after finding ","po znalezieniu "
"pulled rank","wyæsz• rang©"
"No groups","Brak grupy"
"disjointed","chaotyczny"
"having an intellectual discussion with a sibling","intelektualna dyskusja z rodze‰stwem"
"the construction and use of surgical scissors","budowa i zastosowanie noæyczek chirurgicznych"
"I confess your stunning argument overwhelms me!","Przyznaj©, æe tw¢j argument mnie przytàoczyà!"
"began dreaming of making a great discovery","zacz•à marzyÜ o dokonaniu wielkiego odkrycia"
"the Hills","Wzg¢rza"
"often feels filled with joy","cz©sto czuje si© przepeàniony radoòci•"
"This type is allowed to be brewed.","Ten typ jest dozwolony do warzenia."
"Ask to join ","Poproò o doà•czenie "
"can easily fall in love or develop positive sentiments","mog• àatwo si© zakochaÜ lub rozwin•Ü pozytywne uczucia"
"Hanging rings","Wisz•ce pieròcienie"
"Animal not restrained","Zwierz© nie skr©powane"
"an animal was convicted of a crime","zwierz© zostaào skazane za przest©pstwo"
"was once","byà niegdyò"
"State minor feeling of contempt","Niewielkie uczucie pogardy"
"molossic","molosowy"
"  I've searched nearly the whole world over.","  Przeszukaàem niemal caày òwiat."
"the Honor","honor"
"I have nothing for you.","Nie mam nic dla ciebie."
"Done","Gotow"
"Found trap","Znaleziona puàapka"
"Power","Moc"
"the lifting of numerous oppressive laws from ","zniesienie wielu opresyjnych praw z "
" Other Kill"," Inne zab¢jstwo"
"Is this an attack?","Czy to jest atak?"
"been found dead, drowned.","zostaà znaleziony martwy, utopiony."
"often feels discouraged","cz©sto czuje si© zniech©cony"
"the end of the companionship of","koniec towarzystwa"
"No item to remove","Brak przedmiotu do usuni©cia"
", slain",", zabity"
"I'm having trouble taking you seriously.","Ci©æko mi braÜ ciebie na powaænie."
"This is the first step to completing the game.  Next, you'll need to satisfy your ruler's needs, ","To pierwszy krok do uko‰czenia gry. Nast©pnie, musisz zaspokoiÜ potrzeby twojego wàadcy, "
" members"," czàonk¢w"
"denial of apprenticeship","odmowa przyuczenia do zawodu"
"more prone to discord","bardziej skàonny do niezgody"
"amazement","zdumienie"
"Continue active game","Kontynuuj aktywn• gr©"
"Statue shape adj not recognized: ","Nie rozpoznano ksztaàtu statuetki: "
"the Chord","Akord"
"Leave it to the besotted dullard to miss the finer points of discourse.  I'm leaving.  Do reflect.","Zamroczony gàupiec zawsze przegapi subtelne aspekty dyskursu. Odchodz©. Przemyòl to. "
"Values introspection","Ceni introspektywnoòÜ"
"Prone to discord","Skàonny do niezgody"
"Most require [C:6:0:1]Mechanisms[C:7:0:0] made at the [C:6:0:0]Mechanic's Shop[C:7:0:0], using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Mechanic[C:7:0:0]. ","Wi©kszoòÜ wymaga [C:6:0:1]Mechanizm¢w[C:7:0:0] tworzonych w [C:6:0:0]Warsztacie mechanicznym[C:7:0:0], uæywaj•c [C:5:0:1]Warsztaty[C:7:0:0] -> [C:5:0:1]Mechanika[C:7:0:0]. "
"Number of Mountain Caves","Liczba jaski‰ g¢rskich"
"Forbid toppled building items during sieges","PorzuÜ obalone budowlane przedmioty podczas obl©æe‰"
" has been disturbed."," zostaà zakà¢cony."
" as a part of "," jako cz©òÜ "
"the claim","roszczenie"
"Pause after every autosave","Wstrzymaj gr© po kaædym autozapisie"
"Felsite","Felzyt"
"fail","zawieòÜ"
" in linked stockpile"," w powi•zanym magazynie"
"within","w ramach"
"a mercenary for","najemnik dla"
"Killed by a vehicle","Zabity przez pojazd"
"astronomical models","modele astronomiczne"
"Spring has arrived on the calendar.","Wiosna zawitaàa do kalendarza."
" which houses "," kt¢ry mieòci "
"quitdead","zrezygnowany"
"Set the orientation below.","Ustaw orientacj© poniæej."
"is weak and really short","jest sàaby i bardzo niski"
"is prone to hatreds and often develops negative feelings","jest podatny na nienawiòÜ i cz©sto rozwija negatywne uczucia"
" has been re-elected."," zostaà ponownie wybrany."
"mathematics:numbers:sieve algorithm for primes","matematyka:liczby:algorytm sita dla liczb pierwszych"
" has adopted "," zaadoptowaà "
"Generating creatures...","Generowanie stworze‰..."
"genealogy","genealogia"
" Upward Stairway"," Schody w g¢r©"
"fifth eldest daughter","pi•ta c¢rka"
"Attacker was uncontested.","Atakuj•cy byà bezkonkurencyjny."
"This is great!","To òwietnie!"
"spinner","bàystka"
".[C:4:0:1]Needs surgery",".[C:4:0:1]Potrzebuje operacji"
"crowded","zatàoczony"
" etc.  If you want to move carefully, confirming your selection, you can press "," itp. Jeòli chcesz wykonaÜ t© czynnoòÜ ostroænie, potwierdzaj•c sw¢j wyb¢r, moæesz nacisn•Ü "
"Learned written content","Nauczona treòÜ pisana"
"feeling admiration","czuje podziw"
"Really delete this parameter set?","Naprawd© usun•Ü ten zestaw parametr¢w?"
"is frustratingly sloppy and careless with every task ","jest frustruj•co niechlujny i niedbaày w kaædym zadaniu "
" offer of tribute from "," oferta daniny od "
"had no respect for","nie miaà szacunku dla"
"Fruit/leaves","Owoce/liòcie"
"Acknowledge lack of patience","Przyznaj si© do braku cierpliwoòci"
"Cut stone","Oszlifowany kamie‰"
"the method of fracture immobilization","metoda unieruchamiania zàama‰"
"lives at a slow-going and leisurely pace","æyje w powolnym i spokojnym tempie"
"naturalist:observation:embriological development","przyrodnik:obserwacja:rozw¢j embriologiczny"
"engineering:horology:water clock reservoir","inæynieria:zegarmistrzostwo:zbiornik zegara wodnego"
"conflict between members of a community","konflikt mi©dzy czàonkami spoàecznoòci"
"passive","bierny"
"Make sure your parameters and presets can support mid-elevation, low-to-mid drainage, freezing areas.  ","Upewnij si©, æe Twoje parametry i ustawienia wst©pne mog• obsàugiwaÜ obszary o òredniej wysokoòci, niskim lub òrednim drenaæu i zamarzaniu. "
"Freezing","Mro´ny"
" sloppily"," niezdarnie"
"[C:7:0:0]Trouble breathing","[C:7:0:0]Problem z oddychaniem"
"sacred","òwi©te"
"Satisfied monarch","Monarcha zadowolony"
"bookkeepers","ksi©gowi"
"offer your services to","zgàoò swoje usàugi"
"melt-designated ","oznaczony jako stopiony "
"This item is part of the creature's regular clothing.","Ten przedmiot jest cz©òci• zwykàego odzienia stworzenia."
"Seek Target for Mechanism","Poszukiwanie celu dla mechanizmu"
"Wander","W©drowaÜ"
"Armor","Pancerz"
"   * Existing hive","   * Istniej•cy ul"
"saboteur","sabotaæysta"
"jolliness","radoòÜ"
"Wear this item.","Noò ten przedmiot."
"I was attacked by the dead.","Zostaàem zaatakowany przez zmaràego."
"Conspiracy to alow labor","Spisek w celu spowolnienia pracy"
"An organized military order have brought terror to our doorsteps.","Zorganizowana grupa wojskowa przyniosàa terror na nasz pr¢g."
"Singular Noun","Rzeczownik w liczbie pojedynczej"
"Point ","Punkt "
" has characters that can't be used in filename.  Loading without these characters."," zawiera znaki, kt¢rych nie moæna uæyÜ w nazwie pliku. ùadowanie bez tych znak¢w."
"the Individual","jednostka"
"refuse","odmowa"
"coda","koda"
"lady","dama"
"Loading world events...","ùadowanie òwiatowych wydarze‰..."
"hatred","nienawiòÜ"
"citizenship petition rejected","Petycja o obywatelstwo odrzucona"
"These lyrics are too breezy.","Ten tekst jest zbyt zwiewny."
"Making anvils","Robienie kowadeà"
"the next.  [C:2:0:1]Click[C:7:0:0] the surface, [C:2:0:1]move the camera down one level[C:7:0:0], and [C:2:0:1]click[C:7:0:0] the underground.  Reversing the ","kolejnym. [C:2:0:1]Kliknij[C:7:0:0] powierzchni©, [C:2:0:1]przemieòÜ kamer© jeden poziom w d¢à[C:7:0:0], i [C:2:0:1]kliknij[C:7:0:0] podziemie.  Odwr¢cenie "
"the lair of","legowisko"
" by a dead lover"," przez martwego kochanka"
" Window"," Okno"
"Congratulations!  (You should be proud of your accomplishment.  Embark in a world with the deepest cavern layers for further challenges.)","Gratulacje! (Powinieneò byÜ dumny ze swojego osi•gni©cia. Wyrusz w òwiat z najgà©bszymi warstwami jaski‰, aby stawiÜ czoàa kolejnym wyzwaniom.)"
"soap ","mydào "
"Track (NSEW)","Tor (NSEW)"
" bring"," przynieòÜ"
"[C:7:0:1].Motor nerve severed","[C:7:0:1].Nerw ruchowy przerwany"
"true","prawdziwy"
"this","to"
"less artistically inclined","mniej artystycznie nastawiony"
" attack"," atak"
"engineering:machine:theory of wedge","inæynieria:maszyna:teoria klina"
"wrongfully ","niesàusznie "
"A procession occurred in ","Procesja odbyàa si© w "
"I concur!","Zgadzam si©!"
"Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0]. ","Muzyczne[C:7:0:0], te r¢wnieæ mog• zostaÜ wykorzystane w [C:1:0:1]Karczmie[C:7:0:0]. "
"division","podziaà"
"Slayer of","Zab¢jca z"
"Set the liquid flow direction below.","Ustaw kierunek przepàywu cieczy poniæej."
"I'm overcome by lust!","Przytàacza mnie æ•dza!"
" is dead"," nie æyje"
"Guide","Przewodnik"
"went berserk","oszalaà"
"Thief!  Protect the hoard from skulking filth!","Zàodziej! Chro‰ skarbiec przed czaj•cym si© plugastwem!"
"female ","kobieta "
"less wasteful","mniej rozrzutny"
" prefers discord and debate at a more abstract level"," preferuje niezgod© i debat© na bardziej abstrakcyjnym poziomie"
" burning"," spala"
"The best way to avoid this fate is to build traps and ","Najlepszym sposobem na unikni©cie tego losu jest budowa puàapek i "
"the orthopedic cast","gips ortopedyczny"
"due to their cosmic similarity","ze wzgl©du na ich kosmiczne podobie‰stwo"
" delivering a virtuoso performance on the "," daj•c pokaz wirtuozerii na "
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","Przydziel now• lub istniej•c• lokacj© do tej strefy. Lokacje s• grupami stref i pomieszcze‰ o wi©kszym przeznaczeniu, jak tawerna, òwi•tynia, biblioteka lub gildia rzemieòlnicza."
" utilize the market here."," korzysta z tutejszego rynku."
"leaders","przyw¢dcy"
"Cannot embark on another site.","Nie mog© wejòÜ na inn• stron©."
" along with several smaller sacred sites"," wraz z kilkoma mniejszymi òwi©tymi miejscami"
"sharpened","zaostrzony"
"Forbid trap rearming during sieges","Zakaæ uzbrajania puàapek podczas obl©æe‰"
"after defeating ","po pokonaniu "
"Open building mode","Otw¢rz tryb budowania"
"Dodge (","Unik ("
"A few issues still trouble scholars, but the picture is fairly clear.  ","Kilka kwestii wci•æ nurtuje badaczy, ale obraz jest doòÜ jasny. "
"bring murder to the world","przynieòÜ òwiatu morderstwo"
"  This war must end with our victory.","  Ta wojna musi zako‰czyÜ si© naszym zwyci©stwem."
"is very slow to anger","bardzo nieskory do gniewu"
"liquid","pàyn"
"I have performed the rites of ","Przeprowadziàem rytuaày "
"a known killer","znany zab¢jca"
"Values fairness","Ceni uczciwoòÜ"
"deeply respects skill at arms","gà©boko szanuje umiej©tnoòÜ posàugiwania si© broni•"
"Greetings.  The ","Pozdrowienia. "
"Overall Training","Og¢lny Trening"
"the use of professional hospital staff","wykorzystanie profesjonalnego personelu szpitalnego"
"blood-drinking","picie krwi"
"Be shrewd, but do not lose yourself in guile.","B•d´ przebiegày, ale nie popadaj w podst©p."
"Spears/Spikes","Wà¢cznie/Kolce"
"Sides and Hypotenuse","Boki i hipoteza"
"the original ","oryginaà "
" has stopped responding to the world..."," Przestaà kontaktowaÜ ze òwiatem..."
"Go to the previous zone overlapping the tile you clicked.","Przejd´ do poprzedniej strefy nachodz•cej na klikni©te pole."
"Cheerful","Wesoày"
"The weather looks to be fine today.","Wydaje si©, æe pogoda dzisiaj jest dobra."
"Powder for casts (Desired): ","Proszek do odlew¢w (Poæ•dany): "
"babies","dzieci"
"slab","pàyta"
"Removing melting designations","Usuwanie zaznaczenia do stopienia"
"There are times when it is best to keep your feelings to yourself, but I wouldn't want to force it.","S• czasy, gdy najlepiej zachowaÜ swoje uczucia dla ciebie, ale nie zmuszaàbym si© do tego."
"and create a hole instead.","i zamiast tego stworzy dziur©. "
"giraffe","æyrafa"
"that all should gaze upon a truly gruesome visage","æe wszyscy powinni patrzeÜ na prawdziwie makabryczne oblicze"
"lost ","stracià "
"group of ","grupa "
"Height","wysokoòÜ"
"Removal suspended.","Usuwanie zawieszone."
"possessed","op©tany"
"Feared as a monster","Budz•cy strach potw¢r"
"Eclipses","ZaÜmienia"
"Rotten ","Zgniày "
"Rainfall","Opady deszczu"
"a syllable weight pattern of ","wzorzec wagi sylab "
"Structures completed","Uko‰czone struktury"
"the counting house","kantor"
"Send this creature to a linked site, or expel this creature entirely.","Wyòlij to stworzenie do poà•czonego punktu lub wyp©d´ je caàkowicie."
"spouse had miscarriage","maàæonka poroniàa"
"prohibition","zakaz"
"plays legato","gra legato"
"began traveling with","zacz•à podr¢æowaÜ z"
"cauterization","kauteryzacja"
" Gear Assembly"," Zesp¢à Przekàadni"
"never feels lustful passions","nigdy nie odczuwa poæ•dliwych nami©tnoòci"
"Just reunited after a long journey, you are together with your companions again.  ","Wàaònie poà•czyàeò si© po dàugiej podr¢æy, zn¢w jesteò razem ze swoimi towarzyszami. "
"State feelings of grim satisfaction","Uczucie ponurej satysfakcji"
"No special orders","Brak specjalnych rozkaz¢w"
"perform expressively","dziaàaÜ ekspresyjnie"
"Seeks harmony","Poszukuje harmonii"
"discourse on law","dysputa na temat prawa"
"anatomical studies","studia anatomiczne"
"puerile","dziecinny"
"Offer currency","Waluta oferty"
"amphibrachic","amfibrachiczny"
"Send away","OdesàaÜ"
" (invalid order)"," (nieprawidàowe zam¢wienie)"
" to be mastered.  "," do wyuczenia.  "
"Perform Music","WykonywaÜ utw¢r muzyczny"
"Track (NW)","Tor (NW)"
"Corruption","Korupcja"
"secretive","skryty"
"About whom do you ask?","O kogo pytasz?"
"Make potash from ash","Wytwarzanie potaæu z popioàu"
" commissioner"," komisarz"
"wispy","delikatny"
"sympathetic","wsp¢àczuj•cy"
"Call visitors from all over the world with the greatest tavern, library, or temple the world has ever known. ","óci•gaj przybysz¢w z caàego òwiata za pomoc• najwspanialszej karczmy, biblioteki lub òwi•tyni, jak• widziaà òwiat. "
".[C:5:0:1]Rotten -- inoperable",".[C:5:0:1]Zgniàe -- nieoperowalne"
" coda"," koda"
"Thoughtless","Bezmyòlny"
" an enemy fighter."," wrogi wojownik."
"medicine:method:asylum for mentally ill","medycyna:metoda:azyl dla umysàowo chorych"
"Military Organization","Organizacja Wojskowa"
"Strapped to ","Przywi•zany do "
"ground clear glass","szlifowane przezroczyste szkào"
"rumored brigand","rzekomy rozb¢jnik"
"the wandering","w©dr¢wka"
"pillars on the perimeter","sàupy na obwodzie"
"Save","Zapisz"
"Hammer","Màot"
"a grand guildhall","wielk• gildi©"
"The X","X"
"I am not scared!","Nie boj© si©!"
"sewer","kanaà"
"Windowed","W oknie"
"When flying, use ","Lataj•c, uæyj "
"  I rule ","  Ja rz•dz© "
" attempted to corrupt "," pr¢bowaà skorumpowaÜ "
"Age of Myth","Era mit¢w"
"overlords","wàadcy"
"rarely sick","rzadko choruje"
"no shirt","brak koszulki"
"Saving bindings to ","Zapisywanie powi•za‰ do "
"Carving fortifications through walls","Rze´bienie fortyfikacji przez òciany"
" blood"," krew"
"Groups","Grupy"
"Famous brawler","Sàawny awanturnik"
" Portal"," Portal"
" embracing "," obejmuje "
"Dehydrated","Odwodniony"
"Go to ","IòÜ do "
"column itself will assign the routine to the selected squad.","caà• kolumn© przypiszesz procedur© do wybranego oddziaàu."
"is weak and small","jest sàaby i maày"
"the Height of Tides","WysokoòÜ przypàyw¢w"
"an official land of the realm","oficjalna kraina kr¢lestwa"
"be joyful","byÜ radosnym"
"noted enemy fighter","uznany wrogi wojownik"
"Do not install colony","Nie instaluj kolonii"
"(Charge) (D) Knocked over","(Szaræa) (D) Przewr¢cony"
"Loading mandates...","ùadowanie æ•da‰..."
"I died.","Umaràem."
"Verbally struggle against great misery","Werbalna walka z wielk• n©dz•"
"sympathy","sympati©"
"Treasure hunter","ùowca skarb¢w"
"the Balance Wheel","koào balansowe"
"mathematics:geometry:definitions and basic properties of conic sections","matematyka:geometria:definicje i podstawowe wàaòciwoòci przekroj¢w stoækowych"
"Unknown underground area","Nieznany obszar podziemny"
"Finalizing civ mats... (","Finalizowanie mat civ... ("
"was too afraid not to comply","byà zbyt przestraszony, æeby si© nie podporz•dkowaÜ"
"State feelings of gaiety","Stan poczucia radoòci"
"Animal Workshop","Warsztat Zwierz©cy"
"There is fog outside.","Na zewn•trz jest mgàa."
"introspection","introspektywnoòÜ"
"Overall, the composition is not awful, but not very good either","Og¢lnie rzecz bior•c, kompozycja nie jest okropna, ale nie jest teæ zbyt dobra"
"there were still great powers in the world","na òwiecie wci•æ istniaày wielkie mocarstwa"
"is weak and short","jest sàaby i niski"
"quite sparse","doòÜ rzadkie"
"Greatly feared as a killer","Powszechnie budz•cy strach zab¢jca"
"to perform","aby wyst•piÜ"
" into the sea foam"," w morsk• pian©"
" as a member of "," jako czàonek "
"the brewing trouble","kàopoty z warzeniem"
" down)"," w d¢à)"
"perform sweetly","wykonywaÜ sàodko"
"Would you please adopt ","Czy m¢gàbyò prosz© adoptowaÜ "
"site occ","strona occ"
"was struck down","zostaà powalony"
"Once they are assigned, you can create work orders, run a [C:1:0:1]Hospital[C:7:0:0], and count and appraise your hoard.","Po ich przypisaniu moæesz tworzyÜ zlecenia pracy, prowadziÜ [C:1:0:1]Szpital[C:7:0:0] oraz liczyÜ i oceniaÜ swoje zasoby."
