"more presumptious","mer‚szebb"
"being removed from a performance troupe","kiz r s egy el‹ad¢csoportb¢l"
"Construction suspended.","Az ‚p¡tkez‚st felfggesztett‚k."
"noted preserver of knowledge","elismert tud smeg‹rz‹"
" is one of the fundamental dance positions.  "," az egyik alapvet‹ t ncpoz¡ci¢.  "
"has bulky muscles on a large body","nagy testalkat£, izmos"
"Avoids excitement","Elkerli az izgalmakat"
"You fail to dismount in time.","Nem sikerlt id‹ben lesz llnod."
"[C:6:0:1]Exhausted","[C:6:0:1]Kimerlt"
" Upward Track (SE)"," Felfel‚ vezet‹ p lya (SE)"
"Make romance","Teremts romantik t"
"half-sister","f‚ltestv‚r"
"is very tall","nagyon magas"
"Z Levels Above Layer 3","A 3. r‚teg feletti Z-szintek"
" was ignored"," figyelmen k¡vl hagyt k"
"Artwork","Mûalkot s"
"is somewhat weak and very long","kiss‚ gyenge ‚s nagyon hossz£"
"There are times when it is alright not to tell the whole truth.","Vannak olyan helyzetek, amikor nem baj, ha nem mondjuk el a teljes igazs got."
"Show advanced options.","B‹v¡tett be ll¡t sok megjelen¡t‚se."
"on a pilgrimage","zar ndok£ton"
"Not enough river start points before erosion","Az er¢zi¢ el‹tt nem volt elegend‹ folyami indul si pont"
"State your values (new menu)","Adja meg az ‚rt‚keit (£j men)"
"Rooms","Szob k"
"Remove the current worker from the task.","T vol¡tsa el a jelenlegi munkav llal¢t a feladatb¢l."
"soldier","katona"
"the insurrection in ","a felkel‚s "
" is already "," m r "
"Frame","Keret"
"eloquence","sz¢noki tehets‚g"
"I'm so terribly lonely!","Annyira sz”rnyen mag nyos vagyok!"
"Nobility","Nemess‚g"
"mandate only partially completed","a megb¡z s csak r‚szben teljeslt"
"Interrogate suspects for wrongdoing.","A gyan£s¡tottakat a bûncselekm‚nyekkel kapcsolatban kihallgass k."
"Agree to follow","Elfogadom, hogy k”vetem"
" is in fact an assumed identity.  Subject's true name is "," val¢j ban egy  ln‚v. A szem‚ly val¢di neve: "
"the construction and use of the retort","a retort k gy rt sa ‚s haszn lata"
"Your settlement has been abandoned.","A telepl‚sket elhagyt k."
"the Building","az ‚plet"
"You continue the music.","Folytatod a zen‚t."
" vivacious"," ‚l‚nk"
"Population: ~75","Lakoss g: ~75 f‹"
"Recenter on this creature.","F¢kusz lj £jra erre a l‚nyre."
"There is nothing to hold here.","Itt nincs mit megfogni."
"Acknowledge lack of shame","Ismerd el, hogy nincs benned sz‚gyen‚rzet"
"Affected by attributes:","Az al bbi attrib£tumok hat ssal vannak r :"
"Gem Window","Dr gak‹ablak"
"infamous enemy","h¡rhedt ellens‚g"
"vascular","‚rrendszeri"
" levels)"," szintek)"
"I'm not elated.","Nem vagyok elragadtatva."
"is stunningly self-indulgent","elk‚peszt‹en ”nc‚l£"
" committing a depraved act"," erk”lcstelen cselekm‚ny elk”vet‚se"
"Slaughterability","V ghat¢s g"
"was crucified","keresztre fesz¡tett‚k"
" give"," adni"
" breaks!"," sznetek!"
"Make sure your parameters and presets allow as many mountain squares as you are requiring river start points.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok annyi hegyi n‚gyzetet engednek meg, ah ny folyami kiindul¢pontot szeretn‚l. "
"Spice","Fûszer"
" is our ally"," a sz”vets‚gesnk"
"Disdains decorum","Megveti az illemszab lyokat"
"briefly ","r”viden "
"skunk","bûz”sborz"
"gave","adott"
"often finds ","gyakran tal l "
"fourth eldest child","a negyedik legid‹sebb gyermek"
"added a masterful image","egy mesteri k‚pet tett k”zz‚"
" from the teaching of "," a k”vetkez‹ tan¡t sb¢l: "
"I don't have enough chests.","Nincs el‚g l d m."
"the Seekers","a Keres‹k"
"close-set","szoros elrendez‚sû"
"the entry","a bejegyz‚s"
"Fight","Harc"
"values family greatly","nagyra ‚rt‚keli a csal dot"
"the slaughter of ","a lem‚sz rl sa "
"I have no master, but ","Nincs gazd m, de "
"Track (NS)","P lya (NS)"
"began an apprenticeship under","tanul¢szerz‹d‚st k”t”tt"
"Oh, I'm nothing special.","à, semmi kl”nleges nem vagyok."
" self-identified"," saj t bevall sa szerint"
"Struck mineral","Kitermelt  sv ny"
"Acknowledge lack of embarrassment","Ismerd el, hogy nem ‚rzed magad k¡nosan"
"the termination of","a megszntet‚se"
"grab","fog"
"You have discovered a volcano.","Felfedezt‚l egy vulk nt."
"Name your pet","Nevezd el kedvencedet!"
"Angle Sums","Sz”gegyenletek"
", yet that means little now",", de ez most m r nem sokat jelent"
"What do you want to throw?","Mit akarsz eldobni?"
"due to a lack of performances","a fell‚p‚sek hi nya miatt"
"acquiring ","megszerz‚se "
"Merriment is worthless.","A vid ms gnak nincs ‚rt‚ke."
"the creation of accurate maps","pontos t‚rk‚pek k‚sz¡t‚se"
"pleased","”rl”k"
"been struck down.","legy‹zt‚k."
"yes","igen"
"My companion.","A t rsam."
"fuse-lobed","csom¢s"
" somewhere"," valahol"
"septet","septett"
"on the back of ","a h toldal n "
"The tonic note is a fixed tone passed from teacher to student.  ","A t¢nus egy r”gz¡tett hang, amely a tan rr¢l a tanul¢ra sz ll. "
"rumored killer"," ll¡t¢lagos gyilkos"
"the divorce of","a v l sa"
"Agree to make peace between ","Beleegyeznek abba, hogy b‚k‚t k”ssenek "
"production","gy rt s"
"No patient","Nincs beteg"
"You tangle together and tumble forward!","™sszefon¢dtok, ‚s el‹re bukd csoltok!"
"Anguished!","K¡nz¢!"
"the arrest and interrogation of ","a letart¢ztat sa ‚s kihallgat sa "
"Skillfully trained","Magasan k‚pzett"
"was highly successful","rendk¡vl sikeres volt"
"rarely looks on others with lust","ritk n tekint m sokra v gyakozva"
" to death"," hal lra"
"Abandoned hillock","Elhagyatott dombocska"
"Unknown structure","Ismeretlen szerkezet"
"Cheese market","Sajtpiac"
"I was misinformed about a room during tax collection.","Az ad¢beszed‚s sor n t‚ves inform ci¢t kaptam egy szob r¢l."
"Eighth","Nyolcadik"
"starts yelling whenever ","akkor kezd el kiab lni, amikor "
"experiments with symbolic notation for addition","k¡s‚rletek az ”sszead s szimbolikus jel”l‚s‚vel"
"(Combat) Attack stuck in","(Harc) A t mad s beragadt"
" in an unsatisfactory fashion"," nem kiel‚g¡t‹ m¢don"
"File","F jl"
"Died in a cage","Egy ketrecben halt meg"
"Do not move from current tile when dodging even if it means being struck.","Kikerl‚skor ne mozdulj el a jelenlegi mez‹r‹l, m‚g akkor sem, ha ez azt jelenti, hogy eltal lnak."
"Deep soil","M‚ly talaj"
"badger","borz"
"the nature of belief","a hit term‚szete"
"eat","enni"
"feast","lakoma"
"Make crafts for trade and your own citizens here, as well as a variety of tools, armor, and bolts.","K‚sz¡ts itt k‚zmûves term‚keket kereskedelmi c‚lra ‚s a saj t polg raid sz m ra, valamint kl”nf‚le szersz mokat, p nc‚lokat ‚s nyilakat."
"dabbling trade partner","alkalmi kereskedelmi partner"
"Cannot link to ","Nem lehet hivatkozni a "
"satisfied","el‚gedett"
"Right click when done","Ha k‚sz, kattintson a jobb gombbal"
"Popup: Companions","Felugr¢ ablak: T rsak"
"[C:7:0:1]Brought to rest","[C:7:0:1]Nyugalomra helyezt‚k"
"They offer tribute","Tisztelg‚st adnak"
"east-southeast","kelet-d‚lkelet"
"I love the solemn lyrics.","Im dom az nnep‚lyes dalsz”veget."
"artifact ","mût rgy "
"Repetition","Ism‚tl‚s"
"the Cause","az gy"
" which uses a "," amely egy "
"How dare you?!","Hogy mer‚szeled?!"
" being tortured"," k¡nz s alatt  ll"
"Smooth ","Sima "
"spread syllables over many notes","a sz¢tagokat t”bb hangjegyre osztja sz‚t"
"after invocation of the true name","az igazi n‚v megid‚z‚se ut n"
"Continue moving in the same direction to build up speed.  If you or your mount are moving quickly, your attacks gain velocity.  ","Haladj tov bb ugyanabban az ir nyban, hogy felgyorsulj. Ha te vagy a lovad gyorsan halad, a t mad said is nagyobb sebess‚get nyernek.  "
"the Migration","a migr ci¢"
"Click a building to link to ","Kattintson egy ‚pletre a linkhez "
"Metal Crafts","F‚mmûvess‚g"
"] hotkey will recenter on your wagon.","] gyorsbillentyûvel a szek‚rhez ugorhatsz."
" and geldables regrow!"," ‚s a kasztr lt  llatok sz‹re £jra n‹!"
"Frets on the neck allow the musician to alter the pitch.  ","A nyakon tal lhat¢ bundok lehet‹v‚ teszik a zen‚sz sz m ra, hogy megv ltoztassa a hangmagass got.  "
"Disdains family","Megveti a csal dot"
"If you haven't suffered any casualties, you should have these labors assigned already. ","Ha nem voltak vesztes‚geid, akkor ezeket a feladatokat m r ki kellett volna osztanod. "
"I shared a personal insight with my spouse.","Megosztottam egy szem‚lyes gondolatot a h zast rsammal."
"Chronicle","Kr¢nika"
"reflective","f‚nyvisszaver‹"
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.  If a permanent building item is forbidden, citizens will not perform tasks there!","Kapcsold be vagy ki az elem tiltott st tusz t.  A polg rok nem fogj k haszn lni a tiltott elemeket vagy ‚pleteket.  Ha egy  lland¢ ‚pletelem tiltott, a polg rok nem fognak ott feladatokat v‚grehajtani!"
"Popup: Abilities","Felugr¢ ablak: K‚pess‚gek"
"the Pit","a Pit"
"After a polite discussion with local rivals, ","A helyi riv lisokkal folytatott udvarias megbesz‚l‚s ut n, "
"Tropical Saltwater Swamp","Tr¢pusi s¢s vizû mocs r"
"'s foundation","alap¡tv nya"
"I can't wait to get to it!","Alig v rom, hogy belekezdjek!"
"added a masterful rope","hozz adott egy mesteri k”telet"
"melancholy","melank¢lia"
"Digging a ramp into a wall on the same level will create a connection to the higher level and remove the ceiling. ","Ha egy r mpa kerl ki s sra az ugyanazon a szinten l‚v‹ falban, azzal kapcsolat l‚tesl a magasabb szinthez, ‚s a mennyezet elt vol¡t sra kerl. "
" threatens our people with its very presence."," m r puszta jelenl‚t‚vel is fenyeget‚st jelent n‚pnkre."
"Trap","Csapda"
"chosen by fate as the vanguard of destiny.  ","akit a sors a v‚gzet ‚lcsapat nak v lasztott ki.  "
"No!","Nem!"
"Bonded","™sszekapcsolt"
"The vegetation is broken here.","A n”v‚nyzet itt ritk s."
"former worker","egykori munkav llal¢"
"Cannot set a fire","Nem lehet tzet gy£jtani"
"Remove this condition.","T”r”lje ezt a felt‚telt."
" sensual"," ‚rz‚ki"
" born in "," szletett "
"Keep going and never quit.","Ne add fel, ‚s haladj tov bb!"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  It has been an honor, noble [VAR:NATIVENAME:MEETING:NOBLE].  I bid you farewell.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Megtiszteltet‚s volt, nemes [VAR:NATIVENAME:MEETING:NOBLE].  B£cs£t veszek t‹led."
" Age"," Korszak"
"Autumn","Šsz"
" breathes"," l‚legzik"
"Minimum Complete Edge Oceans","Minim lis teljes peremû ¢ce nok"
"Let's do this.","Akkor v gjunk bele!"
" verse paragraph"," vers bekezd‚s"
"likes a little excitement now and then","szeret n‚ha egy kis izgalmat"
"dactylic","daktilikus"
" which permeates "," amely  thatja "
"State feelings of gratitude","Fejezzk ki h l nkat"
"glass ","veg "
"Drink","Iszik"
"Tell me about your family.","Mes‚lj a csal dodr¢l!"
"Verbally struggle against great fear","Szavakkal kzdj a nagy f‚lelem ellen"
"a scholarly lecture in ","egy tudom nyos el‹ad s "
"a great setting","csod latos k”rnyezet"
"Ice Downward Track (NW)","J‚glejt‹ (NY)"
"You must drive the skulking vermin ","El kell ûzn”d a leselked‹ k rtev‹ket "
"Hawk your wares","µrulja az  ruj t!"
"Add mud to the arena.","T”lts”n s rral az ar‚n t."
"Miserable","Szerencs‚tlen"
"My condolences.","Šszinte r‚szv‚tem."
"thought of as two disjoint chords spanning two perfect fourths","k‚t, egym st¢l fggetlen akkordk‚nt ‚rtelmezhet‹, amelyek k‚t tiszta kvartot ”lelnek  t"
"play legato","legato-ban j tszani"
"the crime","a bûncselekm‚ny"
"but ","de "
"Knife","K‚s"
" pauses to regain "," sznetet tart, hogy visszanyerje "
"with the new position appointed by you.","az ™n  ltal kijel”lt £j beoszt sban."
"willpower","akarater‹"
"is disgusted by the idea of fairness and will freely cheat anybody at any time","undorodik a tisztess‚g gondolat t¢l, ‚s b rmikor, b rkit nyugodtan megcsal"
"the return of ","a visszat‚r‚se "
"It makes me bitter.","Ez elkeser¡t."
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Grates unlike bars have a quality and enhance the value of rooms.  Grates can be connected to levers.","Blokkolja a l‚nyeket, de lehet‹v‚ teszi a folyad‚kok ‚s t rgyak  tjut s t. šres terek, l‚pcs‹k, r mp k vagy folyad‚kok f”l‚ ‚p¡thet‹. A csap¢r csok a rost‚lyokkal ellent‚tben rendelkeznek min‹s‚ggel, ‚s n”velik a helyis‚gek ‚rt‚k‚t. A csap¢r csok emel‹karokhoz csatlakoztathat¢k."
"stares intently when ","szemgyre veszi, amikor "
"""You've found ","""Megtal ltad "
"flattered their opposite in turn","sorban egym snak tettek h¡zelg‹ megjegyz‚seket"
"is disgusted by the idea of loyalty","undorodik a hûs‚g gondolat t¢l"
" believes that primordial remnants such as "," £gy v‚li, hogy az olyan ‹si maradv nyok, mint p‚ld ul "
"Decrease quality","Min‹s‚g roml sa"
"Track/Ramp (EW)","P lya/felhajt¢ (kelet-nyugat)"
"Floating Bodies","ész¢ testek"
"talks about others behind their backs","m sokr¢l a h ta m”g”tt besz‚l"
" preached "," pr‚dik lt "
"Advancing vegetation","A n”v‚nyzet terjed‚se"
"I drank vomit.","H ny st ittam."
"The glowing barrier has disappeared!","A ragyog¢ v‚d‹pajzs eltûnt!"
"the Axioms","az axi¢m k"
"Could not load file ","A f jl bet”lt‚se nem sikerlt "
" masters"," mesterek"
"burned up in a magma mist.","el‚gett a magmak”dben."
"Initiate bartering","Cserekereskedelem kezdem‚nyez‚se"
"the end of the former imprisonment of","a kor bbi fogva tart s v‚ge"
"strike","sztr jk"
" way to help others"," m¢dszer m sok megseg¡t‚s‚re"
"Suturing","Varr s"
"Worship List","Istentiszteleti program"
"Add snow to the arena.","H¢val kell felt”lteni az ar‚n t."
"Written on the item is ","A t rgyon a k”vetkez‹ felirat olvashat¢: "
"the subject of ","a t‚ma "
"produced masterwork","alkotott remekmû"
"Huh?  What was that?","H ? Mi volt ez?"
" and | indicates a bar.  "," ‚s | egy vonalat jel”l.  "
" must feature "," felt‚tlenl szerepelnie kell "
"a competition involving ","egy verseny, amelyben r‚szt vesznek "
"Can use any shop","B rmelyik zletben felhaszn lhat¢"
"Yes, I can see it clearly now.","Igen, most m r tiszt n l tom."
"being away from family for too long","t£l hossz£ ideig t vol lenni a csal dt¢l"
"the end of the master-apprentice of","a mester-tan¡tv ny viszony v‚ge"
" has a tendency to chew on "," hajlamos r gcs lni "
"  Offloading units... ","  Egys‚gek  tvitele... "
"towering","tornyosul¢"
"the Distance Scale","a t vols gsk la"
"[C:7:0:0]No evaluated wounds","[C:7:0:0]Nincs ‚rt‚kelhet‹ seb"
"Set the details of this task, such as the material used.","µll¡tsa be a feladat r‚szleteit, p‚ld ul a felhaszn lt anyagot."
"Temperate Saltwater Pool","M‚rs‚kelt s¢s vizû medence"
"State feelings of great panic","Hatalmas p nik‚rzetet v lt ki"
"easier","k”nnyebb"
"Only selected do this","Csak a kiv lasztottak teszik ezt"
"Divorced","Elv lt"
"Election","V laszt s"
"balance","egyens£ly"
" out and tries to return favors"," kimozdul, ‚s megpr¢b l viszonozni a sz¡vess‚geket"
"Citizen death","Polg r hal la"
"sees those that attempt to maintain dignified and proper behavior as vain and offensive","azokat, akik m‚lt¢s gteljes ‚s illedelmes viselked‚st igyekeznek tan£s¡tani, hi£ ‚s s‚rt‹nek tartja"
"Already have peace","M r b‚k‚ben vagyok"
"lost a hist fig entry","elvesztettem egy t”rt‚nelmi figur s bejegyz‚st"
" own appearance, abilities and other personal matters"," saj t megjelen‚se, k‚pess‚gei ‚s egy‚b szem‚lyes gyei"
"discourse on the nature of processes","‚rtekez‚s a folyamatok term‚szet‚r‹l"
"Ah...  uh...","µ... ”””..."
"The main way is by brewing alcohol. ","A legf‹bb megold s az alkoholf‹z‚s. "
"An item has returned!","Egy term‚k visszakerlt a k¡n latba!"
"has a clear voice","tiszta hangja van"
"I slew ","Meg”ltem "
"Drowned","Megfulladt"
"Finish setting dig orders.","Fejezze be a  s si parancsok be ll¡t s t."
"Tavern keeper","Kocsm ros"
"Describe the refugees created by the attack of ","Örja le a k”vetkez‹ t mad s k”vetkezt‚ben keletkezett meneklthelyzetet: "
"Available Animals","Elad¢  llatok"
"Economy trade trigger 4","Gazdas gi kereskedelmi ind¡t¢ 4"
" out."," ki."
"the Atlas","az Atlasz"
"Two ","Kett‹ "
"Haunted","K¡s‚rtetj rta"
"Yearly","ves"
"engineering:machine:chariot odometer","m‚rn”ki tudom ny:g‚p:szek‚r-kilom‚ter¢ra"
"Burned to death by a ","Egy  ltal hal lra ‚gett "
" on the "," a "
"Give a sermon concerning a cosmic principle","Tarts pr‚dik ci¢t egy kozmikus elvr‹l"
"  Perhaps you can gather plants, fruit, or go fishing.","  Tal n gyûjthetsz n”v‚nyeket, gym”lcs”t, vagy horg szhatsz."
"The rules of the form are applied by choreographers to produce individual dances which can be performed.  ","A koreogr fusok az alakzat szab lyait alkalmazz k olyan egyedi t ncok megalkot s ra, amelyeket el‹ lehet adni.  "
" has been lost to time"," az id‹ hom ly ba veszett"
"trader","keresked‹"
"considers ","£gy v‚li, hogy "
"the Course of Disease","a betegs‚g lefoly sa"
"Are you interested in ","rdekelne-e "
"Violation of production order","A gy rt si utas¡t s megs‚rt‚se"
"caging a creature","egy l‚ny bez r sa"
"noted villain","h¡res gazember"
"Choose a symbol for the detail.","V lasszon egy szimb¢lumot a r‚szlethez."
"witnessing a night creature drinking blood","szemtan£ja lenni annak, ahogy egy ‚jszakai l‚ny v‚rt iszik"
"chant","‚nek"
"a claimant for ","a k”vetel‚s jogosultja "
"lye","l£g"
"Can your parameters achieve elevations between 0 and 99 frequently?  ","A param‚tereid gyakran el‚rik a 0 ‚s 99 k”z”tti magass got? "
"the relationship between the half chords of a triangle's angles, the opposite side lengths, and the diameter of the triangle's circumscribed circle","a h romsz”g sz”geinek f‚lhossz£s gai, a szemk”zti oldalak hossz£s gai ‚s a h romsz”g k”rvonal nak  tm‚r‹je k”z”tti kapcsolat"
"Named objects","Megnevezett objektumok"
"  All drinks are free, of course!","  Term‚szetesen minden ital ingyenes!"
"square-chin","n‚gyzetes  ll"
"       --> Swayed by emotions","       --> Az ‚rzelmek hat s ra"
"Mathematician","Matematikus"
" prepared by "," k‚sz¡tette: "
"Bring up ","Megnyit s "
"Cannot see dawn.","Nem l tom a hajnalt."
"Unsupported CE remove tag: ","Nem t mogatott CE-c¡mke elt vol¡t sa: "
"clerks","irodai alkalmazottak"
"removed erroneous unit occupancy flag","elt vol¡tottam a hib s egys‚g-foglalts gi jel”l‹t"
"a bridge-passage","egy h¡d- tj r¢"
"this location","ez a hely"
"Local resident creature named","A helyi lakosnak elnevezett l‚ny"
"melt","olvadt"
"Move the cursor to view and press ","Vigye a kurzort a megtekint‚shez, majd nyomja meg a "
"Tint cloth ","Sz¡nezett sz”vet "
"a stunning lack of analytical ability","az analitikai k‚pess‚gek lenyûg”z‹ hi nya"
"Ask about available services, drinks, rooms, etc.","rdekl‹dj”n a rendelkez‚sre  ll¢ szolg ltat sokr¢l, italokr¢l, szob kr¢l stb."
" coughs"," k”h”g‚s"
"[C:6:0:0].Serious blistering","[C:6:0:0].S£lyos h¢lyagk‚pz‹d‚s"
"just fine","teljesen rendben"
"impersonate","m snak kiadni mag t"
"engineering:optics:law of refraction","m‚rn”ki tudom ny:optika:t”r‚s t”rv‚nye"
"Come see me in my store sometime.","Gyere el valamikor a boltomba!"
"Somebody discussed their problems with me.","Valaki megbesz‚lte velem a probl‚m it."
"Grassland region count fails by ","A gyepterletek sz ml l sa sikertelen, mert "
"caught in smoke","fstbe burkol¢zott"
"Toggle Fullscreen","Teljes k‚perny‹s m¢d bekapcsol sa/kikapcsol sa"
"What will you say about the gang?","Mit fogsz mondani a band r¢l?"
"Really disband?","T‚nyleg feloszlanak?"
"examples of triples of very large whole numbers which, when taken together, are the lengths of the sides of a right triangle","p‚ld k nagyon nagy eg‚sz sz mokb¢l  ll¢ h rmasokra, amelyek ”sszege egy der‚ksz”gû h romsz”g oldalainak hossz t adja ki"
"lash","szempilla"
"Removing dumping designations","A d”mpingmin‹s¡t‚sek visszavon sa"
"thread to","sz l a"
"Non-assertive <-> Overbearing","Nem magabiztos <-> Uralkod¢"
"Loss","Vesztes‚g"
"Seek Eating Chair","Seek ‚tkez‹sz‚k"
"more humorless","m‚g humor‚rz‚k n‚lkli"
"Acknowledge lack of exhilaration","Ismerd el, hogy nem ‚rzed az izgalmat"
"friendly fighter","bar ts gos harcos"
":neck:necks",":nyak:nyakak"
"Recovering Wounded","A sebesltek ell t sa"
"determining the likely outcome given a patient's current status","a beteg jelenlegi  llapot nak figyelembev‚tel‚vel a v rhat¢ kimenetel meghat roz sa"
"Opal","Op l"
"inorganic","szervetlen"
"Place carpenter's workshop","Asztalosmûhely helysz¡ne"
"State feelings of emptiness","Az ress‚g ‚rz‚s‚nek kifejez‚se"
"All of the pipes are flue pipes.  ","Az ”sszes cs‹ fstcs‹.  "
"is often nervous","gyakran ideges"
"is absorbed in delusions of self-importance","”nel‚glts‚g‚nek t‚veszm‚ibe merl"
"power","er‹"
"cheer propensity","vid ms gra val¢ hajlam"
"famous for your loyalty as a soldier","hûs‚gedr‹l h¡res katonak‚nt"
"Start War","H bor£ kezdete"
"Industry","Ipar"
"deeply respects those that work hard at their labors","m‚ly tisztelettel tekint azokra, akik kem‚nyen dolgoznak a munk jukban"
" and more regrow!"," ‚s m‚g t”bb £j haj!"
"You have only heard tell of these creatures.","Ezekr‹l a l‚nyekr‹l csak hallott l."
"Refuse invitation to join ","A csatlakoz si megh¡v s elutas¡t sa "
" to study"," tanulni"
"It's quite astonishing.","Ez el‚g meglep‹."
"preserver of knowledge","a tud s ‹rz‹je"
"account","fi¢k"
" rejected contact with "," elutas¡totta a kapcsolatfelv‚telt "
"State feelings of ferocity","A vad llatias ‚rz‚sek kifejez‚se"
"Okay","Rendben"
"after being unable to leave a location","miut n nem tudott elhagyni egy helysz¡nt"
"the Tomb","a s¡r"
"Regular mining blueprint","K”z”ns‚ges b ny szati tervrajz"
"a legendary dancer","egy legend s t ncos"
"Stop leading ","Ne vezess tov bb! "
"throwing something","valamit eldobni"
"might become impatient or upset with you.  ","lehet, hogy trelmetlen lesz, vagy haragudni fog r d.  "
"State minor feeling of grumpiness","Enyhe rosszkedv ‚rz‚se"
"Struck down","Lerombolt k"
"An injured ","Egy s‚rlt "
"with the lead turning out counterclockwise","az ¢lom az ¢ramutat¢ j r s val ellent‚tes ir nyba forog"
"Use last material","Az utols¢ anyag haszn lata"
"Archery Practice","Öj sz gyakorl s"
" that occurs in the myths of "," amely a k”vetkez‹ m¡toszokban fordul el‹: "
"State feelings of great shame","A m‚ly sz‚gyen ‚rz‚s‚nek kifejez‚se"
"Dye cloth ","Sz”vet fest‚se "
"Sleep and rest","Alv s ‚s pihen‚s"
"be merry","l‚gy vid m"
"Properties","Jellemz‹k"
"Gluttony","Torkoss g"
"the creation of asylums for the mentally ill","a ment lisan betegek sz m ra szolg l¢ int‚zetek l‚trehoz sa"
"doesn't handle stress well","nem b¡rja j¢l a stresszt"
" own experiences and thoughts with others"," saj t tapasztalatainkat ‚s gondolatainkat m sokkal megosztani"
"State feelings of great triumph","Kifejezze a hatalmas diadal ‚rz‚s‚t"
".  How can I even describe the skill?",".  Hogyan is tudn m le¡rni ezt a k‚pess‚get?"
"is very tall with huge muscles","nagyon magas ‚s hatalmas izomzattal rendelkezik"
"eating without dining room","‚tkez‚s ‚tkez‹ n‚lkl"
"superiorly ","kiemelked‹en "
"less cautious","kev‚sb‚ ¢vatos"
"Leave this menu and recenter on this place.","L‚pj ki ebb‹l a menb‹l, ‚s  ll¡tsd £jra a k‚pet erre a helyre."
"Heavy aquifer","V¡zben gazdag v¡ztart¢ r‚teg"
"Most shocking!","Ez a legmegd”bbent‹bb!"
"Trade diplomat","Kereskedelmi diplomata"
"more of a perfectionist","ink bb perfekcionista"
"Partially used in place of low musical performance skills.","R‚szben a gyenge zenei k‚pess‚gek p¢tl s ra szolg l."
"the first contact of ","az els‹ kapcsolatfelv‚tel "
"No civilized population","Nincs civiliz lt n‚p"
"Who cares what they think?","Kit ‚rdekel, mit gondolnak?"
"is long and scrawny","hossz£ ‚s sov nys g£"
" training."," k‚pz‚s."
"pet","kedvtel‚sb‹l tartott  llat"
"Finalizing creature variations...","A l‚nyv ltozatok v‚gleges¡t‚se..."
"bloody ","v‚res "
"Regular mining","K”z”ns‚ges b ny szat"
"Poetry","K”lt‚szet"
"Seek Patient for Carry","P ciens keres‚se hordoz sra"
"Strap item","P ntos term‚k"
"[C:6:0:1]Moderate pain","[C:6:0:1]K”zepes f jdalom"
" flounders"," lep‚nyhalak"
"acquired item","megszerzett t rgy"
"No recommendations available","Nincs el‚rhet‹ aj nl s"
"village","falu"
"Would you like to join ","Szeretn‚l csatlakozni? "
"In conflict! ","™sszetûz‚sben! "
"with an inscrutable goal","kifrk‚szhetetlen c‚llal"
"If you speak to a priest at a temple or select the Chosen destiny, you might receive a divine quest.","Ha besz‚lsz egy templomban egy papmal, vagy kiv lasztod a ,,Kiv lasztott"" sorsot, el‹fordulhat, hogy isteni kldet‚st kapsz."
" has entered a martial trance!"," harci transzba kerlt!"
"[C:5:0:1]Faint","[C:5:0:1]Halv ny"
"No operator","Nincs zemeltet‹"
"a good","egy j¢"
" hand gesture"," k‚z jel"
"You cannot jump while wrestling.","Birk¢z s k”zben nem lehet ugrani."
"Quarters","Sz ll shely"
"Say something general about your emotional state or thoughts","Mondj el valamit  ltal noss gban az ‚rzelmi  llapotodr¢l vagy a gondolataidr¢l!"
"is incredibly short and bears massive lardy rolls","hihetetlenl alacsony, ‚s hatalmas zs¡ros red‹kkel rendelkezik"
"No one even considered making the journey to such a cursed unhappy death-trap this season.","Ebben a szezonban senkinek sem jutott esz‚be, hogy elinduljon egy ilyen  tkozott, nyomor£s gos hal lcsapd ba."
"FPS has dropped below 50. Multithreading is not on, and may improve performance. Do you wish to enable it? (You can always turn it off or on in the options later.)","Az FPS 50 al  esett. A t”bbsz las feldolgoz s nincs bekapcsolva, de jav¡thatja a teljes¡tm‚nyt. Be szeretn‚d kapcsolni? (K‚s‹bb a be ll¡t sokban b rmikor ki- vagy bekapcsolhatod.)"
"is lanky","ny£l nk"
"finds the whole idea of introspection completely offensive and contrary to the ideals of a life well-lived","az ”nreflexi¢ eg‚sz gondolat t teljesen s‚rt‹nek ‚s a j¢l meg‚lt ‚let eszm‚nyeivel ellent‚tesnek tartja"
"Market Tree","Piaci fa"
"This is a ","Ez egy "
"Ask for directions to ","K‚rdezze meg, hogyan juthat el "
"engineering:machine:windlass","m‚rn”ki munka:g‚p:cs”rl‹"
"hunting","vad szat"
"dietary relationships","t pl lkoz si ”sszefgg‚sek"
"is very weak","nagyon gyenge"
"Climate","ghajlat"
"drinking blood","v‚riv s"
"end","v‚g"
"Dancing","T nc"
" (not possible)"," (nem lehets‚ges)"
"Select a merchant group to trade with:","V lasszon ki egy keresked‹csoportot, amellyel kereskedni szeretne:"
"Ruined hillocks","Elpusztult dombocsk k"
"State feelings of outrage","Fejezze ki felh borod s t"
"dyeable ","festhet‹ "
"the dispute between ","a vita a "
"I am beside myself with grief.  Perhaps we will show you how they suffered.","A gy sz teljesen magamra vesztettem. Tal n megmutatjuk nektek, hogyan szenvedtek."
