"World","Mundo"
"dreams of creating a great work of art","sueños de crear una gran obra de arte"
"dreams of crafting a masterwork someday","sueños de elaborar una obra maestra algún día"
"dreams of bringing lasting peace to the world","sueños de traer paz duradera al mundo"
"dreams of becoming a legendary warrior","sueños de convertirse en un guerrero legendario"
"dreams of mastering a skill","sueños de dominar una habilidad"
"dreams of falling in love","sueños de enamorarse"
"dreams of seeing the great natural places of the world","sueños de ver los grandiosos lugares naturales del mundo"
"dreams of making a great discovery","sueños de hacer un gran descubrimiento"
"dreams of attaining rank in society","sueños de alcanzar un rango en la sociedad"
"dreams of bathing the world in chaos","sueños de bañar el mundo en el caos"
", and this dream was realized",", y su sueño fue cumplido"
"is always in love with somebody and easily develops positive feelings","siempre está enamorado de alguien y desarrolla fácilmente sentimientos positivos"
"very easily falls into love and develops positive feelings","muy fácilmente se enamora y desarrolla sentimientos positivos"
"can easily fall in love or develop positive sentiments","puede enamorarse fácilmente o desarrollar sentimientos positivos"
"does not easily fall in love and rarely develops positive sentiments","no se enamora fácilmente y rara vez desarrolla sentimientos positivos"
"never falls in love or develops positive feelings toward anything","nunca se enamora o desarrolla sentimientos positivos hacia nada"
"is often inflamed by hatred and easily develops hatred toward things","a menudo se inflama por el odio y desarrolla fácilmente el odio hacia las cosas"
"is prone to hatreds and often develops negative feelings","es propenso a los odios y a menudo desarrolla sentimientos negativos"
"is quick to form negative views about things","es rápido para formar puntos de vista negativos sobre las cosas"
"does not easily hate or develop negative feelings","no odia o desarrolla fácilmente sentimientos negativos"
"very rarely develops negative feelings toward things","muy raramente desarrolla sentimientos negativos hacia las cosas"
"never feels hatred toward anyone or anything","nunca siente odio hacia nadie ni nada"
"is prone to strong feelings of jealousy","es propenso a fuertes sentimientos de celos"
"often feels envious of others","a menudo se siente envidioso de los demás"
"doesn't often feel envious of others","a menudo no siente envidia de los demás"
"is rarely jealous","rara vez es celoso"
"never envies others their status, situation or possessions","nunca envidia a otros su estado, situación o posesiones"
"often feels filled with joy","a menudo se siente lleno de alegría"
"can be very happy and optimistic","puede ser muy feliz y optimista"
"is often cheerful","a menudo es alegre"
"is rarely happy or enthusiastic","es raramente feliz o entusiasta"
"is dour as a rule","es duro como una regla"
"is never the slightest bit cheerful about anything","nunca esta ni un poco alegre por nada"
"is frequently depressed","con frecuencia está deprimido"
"is often sad and dejected","a menudo es triste y abatido"
"often feels discouraged","a menudo se siente desanimado"
"rarely feels discouraged","rara vez se siente desanimado"
"almost never feels discouraged","casi nunca se siente desanimado"
"never feels discouraged","nunca se siente desanimado"
"is in a constant state of internal rage","está en un estado constante de ira interna"
"is very quick to anger","es muy rápido para enojarse"
"is quick to anger","es rápido para enojarse"
"is slow to anger","es lento para la ira"
"is very slow to anger","es muy lento para enojarse"
"never becomes angry","nunca se enoja"
"is a nervous wreck","es un naufragio de nervios"
"is always tense and jittery","siempre está tenso y nervioso"
"is often nervous","a menudo está nervioso"
"has a calm demeanor","tiene una actitud tranquila"
"has a very calm demeanor","tiene una actitud muy tranquila"
"has an incredibly calm demeanor","tiene una actitud increíblemente tranquila"
"is constantly ablaze with feelings of lust","está constantemente en llamas con sentimientos de lujuria"
"is prone to strong feelings of lust","es propenso a fuertes sentimientos de lujuria"
"often feels lustful","a menudo se siente lujurioso"
"does not often feel lustful","a menudo no se siente lujurioso"
"rarely looks on others with lust","rara vez mira a los demás con lujuria"
"never feels lustful passions","nunca siente pasiones lujuriosas"
"becomes completely helpless in stressful situations","se vuelve completamente indefenso en situaciones estresantes"
"cracks easily under pressure","se cae fácilmente bajo presión"
"doesn't handle stress well","no maneja bien el estrés"
"can handle stress","puede manejar el estrés"
"is confident under pressure","es confiable bajo presion"
"is impervious to the effects of stress","es impermeable a los efectos del estrés"
"is as avaricious as they come, obsessed with acquiring wealth","es tan avaricioso como viene, obsesionado con adquirir riqueza"
"is very greedy","es muy codicioso"
"has a greedy streak","tiene una racha codiciosa"
"doesn't focus on material goods","no se enfoca en bienes materiales"
"desires little for ","desea poco para "
" in the way of possessions"," en el camino de las posesiones"
"often neglects ","a menudo descuida "
" own wellbeing, having no interest in material goods"," propio bienestar, no teniendo interés en bienes materiales"
"is ruled by irresistible cravings and urges","está gobernado por ansias e impulsos irresistibles"
"feels strong urges and seeks short-term rewards","siente fuertes impulsos y busca recompensas a corto plazo"
"occasionally overindulges","Indulgente de vez en cuando"
"doesn't often experience strong cravings or urges","no suele experimentar fuertes antojos o impulsos"
"only rarely feels strong cravings or urges","solo en raras ocasiones siente fuertes ansias o impulsos"
"never feels tempted to overindulge in anything","nunca se siente tentado a excederse en nada"
"is given to rough-and-tumble brawling, even to the point of starting fights for no reason","se da a la pelea brusca, incluso al punto de iniciar luchas sin ninguna razón"
"would never pass up a chance for a good fistfight","nunca dejaría pasar la oportunidad de una buena pelea a puñetazos"
"likes to brawl","le gusta pelear"
"tends to avoid any physical confrontations","tiende a evitar confrontaciones físicas"
"does not enjoy participating in physical confrontations","no disfruta participar en confrontaciones físicas"
"would flee even the most necessary battle to avoid any form of physical confrontation","Huiría incluso de la batalla más necesaria para evitar cualquier forma de confrontación física"
"is unbelievably stubborn and will stick with even the most futile action once ","es increíblemente terco y se quedará con la acción más inútil una vez "
" mind is made up"," la mente está compuesta"
"is very stubborn","es muy terco"
"is stubborn","es obstinado"
"has a noticeable lack of perseverance","tiene una notable falta de perseverancia"
"doesn't stick with things if even minor difficulties arise","no se queda con las cosas si surgen dificultades menores"
"drops any activity at the slightest hint of difficulty or even the suggestion of effort being required","descarta cualquier actividad al menor indicio de dificultad o incluso la sugerencia de esfuerzo requerido "
"is completely careless with resources when completing projects and invariable wastes a lot of time and effort","es completamente descuidado con los recursos al completar proyectos y siempre gasta mucho tiempo y esfuerzo"
"is not careful with resources when working on projects and often spends unnecessary effort","no es cuidadoso con los recursos cuando trabaja en proyectos y a menudo gasta esfuerzos innecesarios"
"tends to be a little wasteful when working on projects","tiende a ser un poco derrochador al trabajar en proyectos"
"tends to be a little tight with resources when working on projects","tiende a ser un poco escaso con los recursos cuando se trabaja en proyectos"
"is stingy with resources on projects and refuses to expend any extra effort","es tacaño con recursos en proyectos y se niega a gastar cualquier esfuerzo extra"
"cuts any corners possible when working on a project, regardless of the consequences, rather than wasting effort or resources","pule cualquier esquina posible cuando se trabaja en un proyecto, independientemente de las consecuencias, en lugar de desperdiciar esfuerzo o recursos"
"revels in chaos and discord, and ","se deleita en el caos y la discordia, y "
" encourages it whenever possible"," alienta siempre que sea posible"
"finds a chaotic mess preferable to the boredom of harmonious living","Encuentra un lío caótico preferible al aburrimiento de vivir en armonía"
"doesn't mind a little tumult and discord in day-to-day living","no le importa un poco de tumulto y discordia en la vida cotidiana"
"prefers that everyone live as harmoniously as possible","prefiere que todos vivan lo más armoniosamente posible"
"feels best when everyone gets along without any strife or contention","se siente mejor cuando todos se llevan bien sin ninguna lucha o contención"
"would be deeply satisfied if everyone could live as one in complete harmony","estaría profundamente satisfecho si todos pudieran vivir como uno en completa armonía"
"is quite a bold flatterer, extremely friendly but just a little insufferable","es un adulador bastante valiente, extremadamente amigable pero un poco insufrible"
"is very friendly and always tries to say nice things to others","es muy amistoso y siempre trata de decir cosas buenas a otros"
"is a friendly individual","es un individuo amistoso"
"is somewhat quarrelsome","es algo pendenciero"
"is unfriendly and disagreeable","es hostil y desagradable"
"is a dyed-in-the-wool quarreler, never missing a chance to lash out in verbal hostility","es un peleonero vestido con lana, que nunca pierde la oportunidad de arremeter con hostilidad verbal"
"exhibits a refined politeness and is determined to keep the guiding rules of etiquette and decorum as if life itself depended on it","expone una educación refinada y está decidido a mantener las reglas orientativas y decencia como si la vida misma dependiera de ello"
"is very polite and observes appropriate rules of decorum when possible","es muy educado y observa las reglas apropiadas de decoro cuando es posible"
"is quite polite","es bastante respetuoso"
"could be considered rude","podría ser considerado grosero"
"is very impolite and inconsiderate of propriety","es muy descortés y desconsiderado de la decencia"
"is a vulgar being who does not care a lick for even the most basic rules of civilized living","es un ser vulgar al que no le importan ni siquiera las reglas más básicas de la vida civilizada"
"disdains even the best advice of associates and family, relying strictly on ","desprecia incluso los mejores consejos de socios y familiares, confiando estrictamente en "
" own counsel"," consejo propio"
"dislikes receiving advice, preferring to keep ","no le gusta recivir consejos, prefiriendo mantener "
"has a tendency to go it alone, without considering the advice of others","tiene tendencia a hacerlo solo, sin considerar el consejo de los demás"
"tends to ask others for help with difficult decisions","tiende a pedir ayuda a otros con decisiones difíciles"
"relies on the advice of others during decision making","confía en el consejo de los demás durante la toma de decisiones"
"is unable to make decisions without a great deal of input from others","es incapaz de tomar decisiones sin una gran cantidad de aportes de otros"
"is utterly fearless when confronted with danger, to the point of lacking common sense","es absolutamente intrépido cuando se enfrenta al peligro, hasta el punto de carecer de sentido común"
"is incredibly brave in the face of looming danger, perhaps a bit foolhardy","es increíblemente valiente ante el peligro inminente, tal vez un poco temerario"
"is brave in the face of imminent danger","es valiente ante el peligro inminente"
"is somewhat fearful in the face of imminent danger","es algo temeroso en la cara del peligro inminente"
"has great trouble mastering fear when confronted by danger","tiene grandes problemas para dominar el miedo cuando se enfrenta al peligro"
"is a coward, completely overwhelmed by fear when confronted with danger","es un cobarde, completamente abrumado por el miedo cuando se enfrenta al peligro"
"presupposes success in any venture requiring ","presupone el éxito en cualquier aventura que requiera "
" skills with what could be called blind overconfidence"," habilidades con lo que podría llamarse un ciego exceso de confianza."
"is extremely confident of ","está extremadamente seguro de "
" skills"," Habilidades"
"is generally quite confident of ","es generalmente bastante seguro de "
" abilities when undertaking specific ventures"," habilidades al emprender empresas específicas"
"sometimes acts with little determination and confidence","algunas veces actúa con poca determinación y confianza"
"lacks confidence in ","carece de confianza en "
" abilities"," habilidades"
"has no confidence at all in ","no teien confianza en absoluto en "
" talent and abilities"," talento y habilidades"
"is completely wrapped up in ","esta completamente envuelto en "
" own appearance, abilities and other personal matters"," apariencia propia, habilidades y otros asuntos personales"
"is greatly pleased by ","está muy complacido por "
" own looks and accomplishments"," miradas y logros propios"
"is pleased by ","está complacido por "
" own appearance and talents"," Apariencia y talentos propios."
"is not inherently proud of ","no está muy orgulloso de si mismo "
" talents and accomplishments"," talentos y logros"
"takes no pleasure in ","No obtiene placer en "
" talents and appearance"," talentos y apariencia"
"could not care less about ","no podría importarle menos "
" appearance, talents or other personal vanities"," apariencia, talentos u otras vanidades personales"
"has a relentless drive, completely consumed by ambition","tiene un impulso implacable, completamente consumido por la ambición"
"is very ambitious, always looking for a way to better ","es muy ambicioso, siempre buscando una manera de mejorar "
" situation"," situación"
"is quite ambitious","es bastante ambicioso"
"isn't particularly ambitious","no es particularmente ambicioso"
"is not driven and rarely feels the need to pursue even a modest success","no es impulsado y rara vez siente la necesidad de perseguir incluso un éxito modesto"
"has no ambition whatsoever","no tiene ambición alguna"
"unerringly returns favors and has a profound sense of gratitude for the kind actions of others","devuelve favores infaliblemente y tiene un profundo sentido de gratitud por las amables acciones de los demás"
"feels a strong need to reciprocate any favor done for ","siente una fuerte necesidad de corresponder cualquier favor hecho por "
"is grateful when others help ","es gratificante cuando otros ayudan "
" out and tries to return favors"," y trata de devolver favores"
"takes offered help and gifts without feeling particularly grateful","toma la ayuda ofrecida y los regalos sin sentirse particularmente agradecido"
"accepts favors without developing a sense of obligation, preferring to act as the current situation demands","acepta favores sin desarrollar un sentido de obligación, prefiriendo actuar como lo exige la situación actual"
"does not feel the slightest need to reciprocate favors that others do for ","no siente la más mínima necesidad de corresponder a los favores que otros hacen por "
", no matter how major the help or how much ",", no importa cuán importante sea la ayuda o cuánto "
" needed it"," lo necesitaba"
"always presents ","siempre presentes "
" as extravagantly as possible, displaying a magnificent image to the world"," Lo mas extravagante posible, mostrando una imagen magnífica para el mundo"
"likes to present ","le gusta presentar "
" boldly, even if it would offend an average sense of modesty"," audazmente, incluso si ofendería un sentido promedio de modestia"
"doesn't mind wearing something special now and again","no lo importa llevar algo especial ahora y de nuevo"
"prefers to present ","prefiere presentar "
" modestly"," modestamente"
"presents ","Presentes "
" modestly and frowns on any flashy accoutrements"," modestamente y frunce el ceño en cualquier accesorio llamativo"
"cleaves to an austere lifestyle, disdaining even minor immodesties in appearance","se adhiere a un estilo de vida austero, desdeñando incluso inmodestias menores en apariencia"
"finds something humorous in everything, no matter how serious or inappropriate","encuentra algo gracioso en todo, no importa cuán serio o inapropiado"
"finds the humor in most situations","le encuentra el humor en la mayoría de las situaciones"
"has an active sense of humor","tiene un buen sentido del humor"
"has little interest in joking around","tiene poco interés en andar bromeando"
"does not find most jokes humorous","no entiende la mayoría de los chistes humorísticos"
"is utterly humorless","está completamente sin humor"
"is vengeful and never forgets or forgives past grievances","es vengativo y nunca olvida o perdona las injusticias pasadas"
"has little time for forgiveness and will generally seek retribution","tiene poco tiempo para el perdón y generalmente buscará represalias"
"tends to hang on to grievances","tiende a aferrarse a las quejas"
"doesn't tend to hold on to grievances","no tiende a aferrarse a las quejas"
"does not generally seek retribution for past wrongs","generalmente no busca retribución por errores pasados"
"has no sense of vengeance or retribution","no tiene sentido de venganza o retribución"
"is absorbed in delusions of self-importance","es absorbido en los delirios de la autoimportancia"
"has an overinflated sense of self-worth","tiene un sentido excesivo de autoestima"
"thinks ","piensa "
" is fairly important in the grand scheme of things"," es bastante importante en el gran esquema de las cosas"
"is very humble","es muy humilde"
"has a low sense of self-esteem","Tiene un bajo sentido de la autoestima"
"is completely convinced of ","está completamente convencido de "
" own worthlessness"," propia inutilidad"
"is deliberately cruel to those unfortunate enough to be subject to ","es deliberadamente cruel con los desafortunados que están sujetos a "
" sadism"," sadismo"
"is sometimes cruel","es cruel a veces"
"generally acts impartially and is rarely moved to mercy","generalmente actúa de manera imparcial y rara vez se conmueve por la misericordia"
"often acts with compassion","actúa con compasión seguido "
"is easily moved to mercy","se conmueve fácilmente por la misericordia"
"always acts with mercy and compassion at the forefront of ","siempre actúa con misericordia y compasión por la vanguardia de "
" considerations"," consideraciones"
"pursues matters with a single-minded focus, often overlooking other matters","persigue asuntos con un enfoque único, a menudo pasando por alto otros asuntos"
"can be very single-minded","puede ser muy decidido"
"generally acts with a narrow focus on the current activity","generalmente actúa con un enfoque limitado en la actividad actual"
"can occasionally lose focus on the matter at hand","Ocasionalmente puede perder el foco en el asunto en cuestión."
"is somewhat scatterbrained","es algo despistado"
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","es un completo cabeza de chorlito, incapaz de enfocarse en un solo asunto por más de un momento"
"has such a developed sense of optimism that ","tiene un sentido de optimismo tan desarrollado que "
" always assumes the best outcome will eventually occur, no matter what"," siempre asume que el mejor resultado eventualmente ocurrirá, sin importar qué"
"is an optimist","es un optimista"
"generally finds ","normalmente encuentra "
" quite hopeful about the future"," demasiado optimista acerca del futuro"
"tends to assume the worst of two outcomes will be the one that comes to pass","tiende a asumir que el peor de los dos resultados será el que suceda"
"is a pessimist","es pesimista"
"despairs of anything positive happening in the future and lives without feelings of hope","Desesperación de que ocurra algo positivo en el futuro y vidas sin sentimientos de esperanza."
"is implacably curious, without any respect for propriety or privacy","es implacablemente curioso, sin ningún respeto por la propiedad o la privacidad"
"is very curious, sometimes to ","es muy curioso, a veces "
" detriment"," detrimento"
"is curious and eager to learn","es curioso y con muchas ganas de aprender"
"isn't particularly curious about the world","no es particularmente curioso sobre el mundo"
"is very rarely moved by curiosity","muy rara vez es movido por la curiosidad"
"is incurious and never seeks out knowledge or information to satisfy ","no es curioso y nunca busca conocimiento o información para satisfacerse "
"is gripped by a crippling shyness","es dominado por una timidez paralizante"
"is bashful","es tímido"
"tends to consider what others think of ","tiende a considerar lo que otros piensan de "
"is not particularly interested in what others think of ","no está particularmente interesado en lo que otros piensen de "
"is generally unhindered by the thoughts of others concerning ","generalmente esta despreocupado por la idea de los problemas de otros "
" actions"," Acciones"
"is shameless, absolutely unfazed by the thoughts of others","es desvergonzado, absolutamente imperturbable por los pensamientos de los demás"
"is private to the point of paranoia, unwilling to reveal even basic information about ","es privado hasta el punto de la paranoia, no está dispuesto a revelar incluso información básica sobre "
"has a strong tendency toward privacy","tiene una fuerte tendencia hacia la privacidad"
"tends not to reveal personal information","tiende a no revelar información personal"
"tends to share ","tiende a compartir "
" own experiences and thoughts with others"," propias experiencias y pensamientos con otros"
"is not a private person and freely shares details of ","no es una persona discreta y comparte libremente detalles sobre "
" life"," vida"
"shares intimate details of ","comparte detalles íntimos de "
" life without sparing a thought to repercussions or propriety"," vida sin preocuparse de repercusiones o responsabilidades"
"is obsessed with details and will often take a great deal of extra time to make sure things are done the right way","está obsesionado con los detalles y a menudo tomará mucho tiempo extra para asegurarse de que las cosas se hagan de la manera correcta"
"is a perfectionist","es un perfeccionista"
"tries to do things correctly each time","trata de hacer las cosas correctamente cada vez"
"doesn't try to get things done perfectly","no trata de hacer las cosas perfectamente"
"is inattentive to detail in ","no está atento al detalle en "
" own work"," propio trabajo"
"is frustratingly sloppy and careless with every task ","es frustrantemente chapucero y descuidado con cada tarea "
" sets to carry out"," establece para llevar a cabo"
"is completely closed-minded and never changes ","es es completamente testarudo y nunca cambia "
" mind after forming an initial idea"," mente después de formarse una idea inicial"
"is intellectually stubborn, rarely changing ","Es intelectualmente terca, rara vez cambia "
" mind during a debate regardless of the merits"," opinión durante un debate independientemente de los méritos"
"tends to be a bit stubborn in changing ","tiende a ser un poco terco en los cambios "
" mind about things"," importancia acerca las cosas"
"doesn't cling tightly to ideas and is open to changing ","no se aferra fuertemente a las ideas y está abierto a cambios "
" mind"," Mente"
"often finds ","a menudo encuentra "
" changing "," cambiando "
" mind to agree with somebody else"," opinión para estar de acuerdo con otra persona."
"easily changes ","cambia fácilmente "
" mind and will generally go with the prevailing view on anything"," importa y en general irá con la opinión prevaleciente en cualquier cosa"
"is not bothered in the slightest by deviations from the norm or even extreme differences in lifestyle or appearance","no se molesta en lo más mínimo por desviaciones de la norma o incluso diferencias extremas en el estilo de vida o la apariencia"
"is very comfortable around others that are different from ","Esta cómodo cerca de otros diferentes "
"is quite comfortable with others that have a different appearance or culture","se siente bastante cómodo con otros que tienen una apariencia o cultura diferente"
"is somewhat uncomfortable around those that appear unusual or live differently from ","se siente algo incómodo con aquellos que parecen inusuales o que viven diferente a "
"is made deeply uncomfortable by differences in culture or appearance","se siente profundamente incómodo por las diferencias en cultura o apariencia"
"cannot tolerate differences in culture, lifestyle or appearance","no puede tolerar diferencias en cultura, estilo de vida o apariencia"
"is emotionally obsessive, forming life-long attachments even if they aren't reciprocated","es emocionalmente obsesivo, formando apegos de por vida incluso si no son recíprocos"
"forms strong emotional bonds with others, at times to ","forma fuertes lazos emocionales con los demás, a veces para "
"has a tendency toward forming deep emotional bonds with others","tiende a formar profundos vínculos emocionales con otros"
"tends to form only tenuous emotional bonds with others","tiende a crear vínculos emocionales frágiles con los otros"
"forms only fleeting and rare emotional bonds with others","forma solo lazos emocionales fugaces y raros con otros"
"does not have feelings of emotional attachment and has never felt even a moment's connection with another being","no tiene sentimientos de apego emocional y nunca ha sentido ni siquiera un momento de conexión con otro ser"
"is buffeted by others' emotions and can't help but to respond to them","es herido por las emociones de otros y no puede ayudar pero responde a ellos"
"is swayed by emotional appeals","es influenciado por peticiones emocionales"
"tends to be swayed by the emotions of others","Tiende a dejarse llevar por las emociones de los demás."
"tends not to be swayed by emotional appeals","tiende a no ser influenciado por peticiones emocionales"
"does not generally respond to emotional appeals","Generalmente no responde a los llamamientos emocionales."
"is never moved by the emotions of others","nunca se conmueve por las emociones de los demás"
"is truly fulfilled by assisting those in need","Se siente verdaderamente realizado ayudando a los necesitados"
"finds helping others emotionally rewarding","encuentra ayudar a otros emocionalmente gratificante"
"does not go out of ","no sale de "
" way to help others"," la manera de ayudar a otros"
"dislikes helping others","no le gusta ayudar a otros"
"feels helping others is an imposition on ","siente que ayudar a otros es una imposición en "
" time"," Tiempo"
"has a profound sense of duty and obligation","tiene un profundo sentido del deber y la obligación"
"has a strong sense of duty","tiene un fuerte sentido del deber"
"has a sense of duty","tiene sentido del deber"
"finds obligations confining","encuentra obligaciones limitadas"
"dislikes obligations and will try to avoid being bound by them","no le gustan las obligaciones e intentará evitar estar obligado por ellas"
"hates vows, obligations, promises and other binding elements that could restrict ","odia los votos, las obligaciones, las promesas y otros elementos vinculantes que podrían restringir "
"never deliberates before acting, to the point of being considered thoughtless","nunca piensa antes de actuar, hasta el punto de ser considerado irreflexivo"
"doesn't generally think before acting","En general no piensa antes de actuar"
"can sometimes act without deliberation","a veces puede actuar sin deliberación"
"tends to think before acting","tiende a pensar antes de actuar"
"can get caught up in internal deliberations when action is necessary","puede verse atrapado en debates internos cuando la acción es necesaria"
"never acts without prolonged deliberation, even to ","nunca actúa sin una deliberación prolongada, incluso para "
" own detriment and the harm of those around "," prejuicio propio y hace daño a los que lo rodean "
"is obsessed with order and structure in ","está obsesionado con el orden y la estructura en "
" own life, with everything kept in its proper place"," vida propia, con todo guardado en su lugar correcto"
"lives an orderly life, organized and neat","vive una vida ordenada, organizada y pulcra"
"tries to keep ","trata de mantener "
" things orderly"," cosas ordenadas"
"tends to make a small mess with ","tiende a hacer un pequeño lío con "
" own possessions"," propias posesiones"
"is sloppy with ","es descuidado con "
" living space"," espacio vital"
"is completely oblivious to any conception of neatness and will just leave things strewn about without a care","es completamente ajeno a cualquier concepción de la limpieza y dejará las cosas esparcidas sin cuidado"
"is naturally trustful of everybody","es naturalmente confiado con todos"
"is very trusting","es muy confiado"
"is trusting","es confiado"
"is slow to trust others","es lento para confiar en los demás"
"does not trust others","no confía en los demás"
"sees others as selfish and conniving","ve a los demás como egoístas y conspiradores"
"truly treasures the company of others","valora verdaderamente la compañía de los demás"
"enjoys being in crowds","disfruta estando en multitud"
"enjoys the company of others","disfruta la compañía de otros"
"tends to avoid crowds","tienda a evitar multitudes"
"prefers to be alone","prefiere estar solo"
"considers spending time alone much more important than associating with others","considera pasar tiempo a solas mucho más importante que relacionarse con otros"
"is assertive to the point of aggression, unwilling to let others get a word in edgewise when ","es enérgico hasta el punto de la agresión, reacio a dejar que otros digan una sóla palabra cuando "
" has something to say"," tiene algo que decir"
"has an overbearing personality","tiene una personalidad autoritaria"
"is assertive","es testarudo"
"tends to be passive in discussions","tiende a ser pasivo en discusiones"
"only rarely tries to assert ","rara vez lleva la contraria "
" in conversation"," en conversación"
"would never under any circumstances speak up or otherwise put forth ","nunca, bajo ninguna circunstancia, diría lo que piensa en alto "
" point of view in a discussion"," punto de vista en una discusión"
"is driven by a bouncing frenetic energy","es movido por una frenética e inestable energía "
"lives at a high-energy kinetic pace","vive de manera extremadamente enérgica"
"lives a fast-paced life","vive un ritmo de vida rápido"
"likes to take it easy","le gusta tomárselo con calma"
"lives at a slow-going and leisurely pace","vive con un ritmo lento y un paso relajado"
"has an utterly languid pace of easy living, calm and slow","tiene un ritmo totalmente lánguido de la vida: fácil, tranquila y lenta"
"never fails to seek out the most stressful and even dangerous situations","nunca parece estar estresado incluso en la situaciones más peligrosas"
"seeks out exciting and adventurous situations","busca situaciones excitantes y aventuras"
"likes a little excitement now and then","le gusta un poco de emoción de vez en cuando"
"doesn't seek out excitement","no va en busca de emociones"
"does everything in ","hace todo en "
" power to avoid excitement and stress"," poder para evitar la emoción y el estrés"
"is bored by reality and would rather disappear utterly and forever into a world of made-up fantasy","está aburrido de la realidad y prefiere desaparecer por completo y para siempre en un mundo de fantasía inventada"
"is given to flights of fancy to the point of distraction","se da a vuelos de fantasía hasta el punto de distracción"
"has an active imagination","tiene una imaginación activa"
"isn't given to flights of fancy","No se le da a los vuelos de fantasía"
"is grounded in reality","esta anclado en la realidad"
"is interested only in facts and the real world","está interesado solo en hechos y en el mundo real"
"eschews practical concerns for philosophical discussion, puzzles, riddles and the world of ideas","evita las preocupaciones prácticas de la discusión filosófica, los rompecabezas, los enigmas y el mundo de las ideas."
"strongly prefers discussions of ideas and abstract concepts over handling specific practical issues","prefiere fuertemente las discusiones de ideas y conceptos abstractos sobre el manejo de cuestiones prácticas específicas"
"has a tendency to consider ideas and abstractions over practical applications","tiene la tendencia a considerar las ideas y las abstracciones por sobre las aplicaciones practicas"
"likes to keep things practical, without delving too deeply into the abstract","Le gusta mantener las cosas prácticas, sin profundizar demasiado en lo abstracto."
"dislikes abstract discussions and would much rather focus on practical examples","no le gustan las discusiones abstractas y preferiría centrarse en ejemplos prácticos"
"is concerned only with matters practical to the situation at hand, with absolutely no inclination toward abstract discussion","se ocupa solo de asuntos prácticos para la situación en cuestión, sin ninguna inclinación hacia la discusión abstracta"
"can easily become absorbed in art and the beauty of the natural world","puede fácilmente concentrarse en el arte y la belleza del mundo natural"
"is greatly moved by art and natural beauty","es enormemente conmovido por el arte y la belleza natural"
"is moved by art and natural beauty","es movido por el arte y la belleza natural"
"does not have a great aesthetic sensitivity","no tiene una gran sensibilidad estética"
"is not readily moved by art or natural beauty","no se mueve fácilmente por el arte o la belleza natural"
"is completely unmoved by art or the beauty of nature","está completamente impasible por el arte o la belleza de la naturaleza"
"a turn-around ","una vuelta "
"a strengthening ","un fortalecimiento "
"less extreme ","menos extremo "
" is troubled by this because "," está preocupado por esto porque "
" values romance"," valora el romance"
" holds romance in low regard"," mantiene el romance en baja estima"
" is conflicted by this as "," está en conflicto por esto como "
" values parties and merrymaking in the abstract"," valora las fiestas y el jolgorio en el sentido abstracto"
", though ",",aunque "
" remains put off by deliberate merrymaking"," sigue siendo desilusionada por el júbilo deliberado"
" values self-control"," valora el autocontrol"
" values such powerful forces in life"," valores tales fuerzas poderosas en la vida"
" is conflicted by this for more than one reason"," está en conflicto por esto por más de un motivo"
" is disturbed by this since "," está perturbado por esto ya "
" values quiet so, at least in the abstract"," valora lo tranquilo, almenos en lo abstracto"
", even though ",", si bien "
" likes the way that they would break up the monotony on some level"," le gusta la forma en que romperían la monotonía en algún nivel"
" dislikes the adoration of fighting as an art to be refined"," no le gusta la adoración de la lucha como un arte para ser refinado"
" works to square this natural tendency with "," trabaja para cuadrar esta tendencia natural con "
" respect of martial prowess"," respecta la destreza marcial"
" finds this troubling, since "," encuentra esto problemático, ya que "
" values perseverance"," valora la perseverancia"
" is conflicted by this part of "," está en conflicto con esta parte de "
" is conflicted by this since "," está en conflicto por esto desde "
" values harmony as an intellectual concept"," valora la armonía como un concepto intelectual"
" is troubled by "," está preocupado por "
" own nature as "," propia naturaleza como "
" prefers discord and debate at a more abstract level"," prefiere la discordia y el debate a un nivel más abstracto"
" nature since "," desde la naturaleza "
" values harmony"," valora la armonía"
" is conflicted by "," esta en conflicto con "
" would ideally prefer more strife in "," idealmente preferiría más lucha en "
" is bothered by this since "," Esta molesto por esto desde "
" values friendship"," valora la amistad"
" is burdened by this tendency because "," está agobiado por esta tendencia porque "
" dislikes the idea of friendship"," no le gusta la idea de amistad"
" finds rules of etiquette to be valuable in the abstract"," encuentra que las reglas de etiqueta son valiosas en lo abstracto"
" is troubled by this natural tendency in "," esta afligido por esta tendencia natural en "
" since "," desde "
" finds dignified society to be stifling and silly when properly considered"," Encuentra a la sociedad digna como sofocante y tonta cuando se la considera adecuadamente"
" sees these tendencies as an impediment to the quest for power"," ve estas tendencias como un impedimento para la búsqueda de poder"
" is disturbed by this as someone who dislikes those that seek to acquire power over others"," es preocupado por ello como alguien que rechaza a aquellos que buscan tener poder sobre otros"
" struggles against this tendency, as "," dificultad contra esta tendencia, como "
" finds such open expression offensive"," considera que tal expresión abierta es ofensiva"
" truly respects sacrifice"," verdaderamente respeta el sacrificio"
" wishes this were not the case as "," desearía que este no fuera el caso como "
" considers altruism foolish"," considera el altruismo una tontería"
" believes in the importance of the rule of the law"," cree en la importancia de la decisión de la ley"
" still holds the law in disdain"," todavía mantiene la ley en desprecio"
" values the concept of loyalty and is troubled by "," valora el concepto de lealtad y está afligido por "
" natural tendencies"," tendencias naturales"
