"more presumptious","domìçlivØjç¡"
"State feelings of joy","Vyj dýit radost"
"It is time to leave it behind.","Je Ÿas to nechat za sebou."
"I feel passion.","C¡t¡m v çeå."
"one million","jeden milion"
"tables","stoly"
"Click the add button, and click two corners of a rectangle somewhere safe ","Klikni na tlaŸ¡tko pýidat a oznaŸ dvØma kliknut¡mi rohy obd‚ln¡ku na bezpeŸn‚m m¡stØ "
"meager creativity","skromn  kreativita"
"/Above","/Nahoýe"
"Importing wildlife...","Importov n¡ fauny..."
"Lead animal","V‚st zv¡ýe"
"song","p¡seå"
"a journey","cestØ"
"marmot","sviçœ"
"The annual tribute from ","Ka§doroŸn¡ tribut od "
"sees no value in holding back complaints and concealing emotions","nevid¡ § dnou hodnotu v potlaŸov n¡ st¡§nost¡ a skrìv n¡ emoc¡"
"Volcanism not evenly distributed","Vulkanismus nen¡ rovnomØrnØ rozlo§en"
"Too deliberate <> Thoughtless","Pý¡liç rozv §nì <> Bezmyçlenkovitì"
"Hatch","Poklop"
"The patterns are to be played over the same period of time, concluding together regardless of beat number.  ","Vzorce se maj¡ hr t ve stejn‚m Ÿasov‚m £seku a skonŸit spoleŸnØ bez ohledu na poŸet dob. "
" series of variations"," s‚rie variac¡"
"The [C:3:0:1]Judge of Intent[C:7:0:0] skill can help you keep tabs on the other speaker's mood.  The people you are conversing with ","Dovednost [C:3:0:1]Posouzen¡ £myslu[C:7:0:0] ti m…§e pomoci sledovat n ladu druh‚ho mluvŸ¡ho.  Lid‚, se kterìmi hovoý¡ç, "
"is short and very weak","je malì a velmi slabì"
"adopted","adoptov n"
" (not following order)"," (nepln¡ rozkaz)"
"earring","n uçnice"
"   * Saves colony for split","   * Ulo§¡ kolonii pro rozdØlen¡"
"Prisoners convicted in the Justice menu can be incarcerated at a chain or metal cage in the dungeon zone.","VØznØ odsouzen‚ v nab¡dce Spravedlnost lze uvØznit na ýetØzu nebo v kovov‚ kleci v z¢nØ §al ýe."
" moved on in search of a better future after the horrible mismanagement of "," odeçel hledat lepç¡ budoucnost po hrozn‚m çpatn‚m veden¡ od "
"Generate Mythical Materials","Generovat mytick‚ materi ly"
"can get caught up in internal deliberations when action is necessary","m…§e uv¡znout v pýemìçlen¡, kdy§ je týeba jednat"
"It is a starless night.","Je noc bez hvØzd."
"has a profound sense of duty and obligation","m  hlubokì smysl pro povinnost a z vazek"
"Offer condolences","Vyj dýit soustrast"
"Mercenary","¦old k"
"the theory of endemic disease","teorie endemickìch nemoc¡"
"leather accessories shop (100,70,30)","obchod s ko§enìmi doplåky (100,70,30)"
"State feelings of great tenderness","Vyj dýit velkou nØhu"
"Creative","Tvoýivì"
"Tissue Definition ","Definice tk nØ "
"tends to be a little wasteful when working on projects","m  sklony bìt pýi pr ci na projektech trochu plìtvavì"
"praise","pochv lit"
", the ",", "
"values independence","v §¡ si nez vislosti"
"dreams of seeing the great natural places of the world","sn¡t o spatýen¡ velkìch pý¡rodn¡ch m¡st svØta"
"values tranquility and a peaceful day","v §¡ si klidu a poklidn‚ho dne"
"Stoneworker","Kamenick  "
"Siege Engine","Obl‚hac¡ stoje"
"Don't be afraid to do anything to get ahead in this world.","Neboj se udØlat cokoli, abys v tomhle svØtØ postoupil."
"is weak and very small","je slabì a velmi malì"
"The dance continues.","Tanec pokraŸuje."
"skilled ","zkuçenì "
"*** Forbidden ***","*** Zak z no ***"
"refusal","odm¡tnut¡"
"Initiate","Novic"
"Number of Vampire Curse Types","PoŸet typ… up¡ý¡ch kleteb"
"Seed cap (per species)","Limit semen (na druh)"
" chapters.  "," kapitol.  "
" recruited "," naverboval "
"slashing out","vysek v n¡"
" raised their suspicions and the plan was foiled."," pojali podezýen¡ a pl n byl zmaýen."
"Sort units by profession name.","Seýadit jednotky podle n zvu profese."
" was preached"," bylo k z no"
"Butcher","üezn¡k"
"It's great to have a friend like you!","Je skvØl‚ m¡t pý¡tele, jako jsi ty!"
"We rent out ","Pronaj¡m me "
"naturalist:theory:classification by physical features","pý¡rodovØdec:teorie:klasifikace podle znak…"
"No.  That's disgusting.","Ne. To je odporn‚."
"picks ","vyb¡r  "
" Floor Hatch"," Podlahovì poklop"
"Vermin Catcher's Shop","Lovec çk…dc…"
"Fill pond","Naplnit jez¡rko"
"the Moon","MØs¡c"
"You have heard this name suggested as a potential guide to faraway places.","Slyçeli jste o nØm jako o mo§n‚m pr…vodci po vzd lenìch m¡stech."
"You draw","Vytahujeç"
"Pilgrim","Poutn¡k"
"less envy-prone","m‚nØ n chylnì k z visti"
"an awful","otýesn‚"
"Gem cutter's shop","BrusiŸsk  d¡lna"
"submission","pokora"
"mother","matka"
"bone carver's shop sign","cedule kostØn‚ho ýezb ýe"
"below.  If there's no solid ground below the square being channeled, channeling will destroy the floor ","n¡§e.  Pokud pod kan lovanìm polem nen¡ pevn  zem, kan lov n¡ zniŸ¡ podlahu "
"Offer Service","Nab¡dka slu§by"
"can handle stress","dok §e zvl dat stres"
"ethic","etika"
":console:consoles",":konzole:konzole"
" robbed "," oloupil "
"mining","tØ§ba"
"See this creature's combat history.","Zobrazit bojovou historii tohoto tvora."
"[C:2:0:1].Spilled","[C:2:0:1].Rozlito"
"is tiny with ill-defined muscles","je titØrnì s nevìraznìmi svaly"
"You have nothing to examine.","Nem te co zkoumat."
", the door on your right",", dveýe po tv‚ pravici"
"exasperated","rozŸilenì"
"Exceptionally trained","VìjimeŸnØ vycviŸenì"
"The vomit falls away into the chasm.","Zvratky padaj¡ do propasti."
"fourth eldest son","Ÿtvrtì nejstarç¡ syn"
"partially realized ","Ÿ steŸnØ provedenìmi "
"'s nervous"," je nerv¢zn¡"
"long ago","d vno"
"Recenter on the item (at the time of the announcement.)","Vycentrovat na pýedmØt (v dobØ ozn men¡)."
" prepared a masterful "," pýipravil mistrovskì "
"No building","¦ dn  budova"
"history:form:cultural history","historie:forma:kulturn¡ historie"
"does everything in ","dØl  vçe, co je v "
"Accept invitation to become a ","Pýijmout pozv n¡ st t se "
"general import market (50,30,15)","trh s obecnìm dovozem (50,30,15)"
" has"," m "
"You have are seriously injured.  View your status for more information.","Jste v §nØ zranØni.  Pro v¡ce informac¡ si zobrazte stav postavy."
"the lack of chairs","nedostatek §idl¡"
"We should all work together.","MØli bychom spolupracovat."
"well (0,0,255)","studna (0,0,255)"
"Garden Vegetables","Zahradn¡ zelenina"
" was rejected."," byla zam¡tnuta."
"the bestowal of the title of ","udØlen¡ titulu "
"I wish to make something.","Chci nØco vytvoýit."
"Loading object files...  ","NaŸ¡t n¡ soubor… objekt…...  "
"Forming lakes","Tvorba jezer"
"guildhall","cechovn¡ s¡å"
", now cursed",", nyn¡ prokletì"
"I think self-control is key.  Master yourself.","Mysl¡m, §e kl¡Ÿem je sebekontrola. Ovl dni s m sebe."
"migrating ","migruj¡c¡ "
"father and husband","otec a man§el"
"is incredibly tall yet weak","je neuvØýitelnØ vysokì, ale slabì"
"despairs of anything positive happening in the future and lives without feelings of hope","zoufal¡ nad mo§nost¡, §e by se v budoucnu stalo nØco pozitivn¡ho, a §ije bez nadØje"
"Acknowledge lack of affection","Konstatovat nepý¡tomnost n klonnosti"
"(Adventure) Death","(Dobrodru§stv¡) Smrt"
"the freezing of ","zmrznut¡ "
" laboring"," pracuje"
"Act quickly today.","Jednej dnes rychle."
"feeling grim satisfaction","c¡t¡c¡ ponur‚ uspokojen¡"
"as the item was a favorite possession","proto§e pýedmØt byl obl¡benìm majetkem"
"is very large yet also very weak and incredibly skinny","je velmi velkì, ale z roveå velmi slabì a neuvØýitelnØ hubenì"
"has a broad body but it is very frail","m  çirok‚ tØlo, ale je velmi kýehkì"
"the oppressors","utlaŸovatel…"
"Consider the consequences carefully.","PeŸlivØ zva§ n sledky."
"Ice Upward Track (S)","Ledov  stoupaj¡c¡ cesta (J)"
" rendition of "," ztv rnØn¡ "
" withered."," uvadla."
"that nobody could be punished for a failure","§e nikdo nemohl bìt potrest n za selh n¡"
"""You are approaching your destination.  End your travels now and prepare yourself.""","""Bl¡§¡te se k c¡li. UkonŸete svou cestu a pýipravte se."""
"Clay vanished","J¡l zmizel"
"north-northeast","sever-severovìchod"
" own dead child"," vlastn¡m mrtvìm d¡tØtem"
"Displayed:","Vystaveno:"
"Apathetic","Apatickì"
"a framing plot","spiknut¡ s c¡lem nØkoho nastrŸit"
"a sharp intellect","bystrì rozum"
"receiving water","obdr§en¡ vody"
"skill","dovednost¡"
"I made a suggestion about work allocations in a meeting.","Navrhl jsem rozdØlen¡ pr ce na sch…zi."
"New inn/tavern","Nov  hospoda"
"Village","Vesnice"
"no civilized peoples existed in","neexistovaly § dn‚ civilizovan‚ n rody v"
"Brew","Vaýit alkohol"
"legendary hunter","legend rn¡ lovec"
"Ornamental.  Demanded by some nobles.","Dekorativn¡. Vy§adov no nØkterìmi çlechtici."
"the repeal of numerous oppressive laws","zruçen¡ Ÿetnìch represivn¡ch z kon…"
" worker"," pracovn¡k"
"Go below hatch","Pýej¡t pod poklop"
"doesn't tend to hold on to grievances","nem  sklony dr§et se kýivd"
"triangle and circles","troj£heln¡k a kru§nice"
"Butchering requires a sharp-edged weapon or tool, as well as a butcherable carcass.  Butchering is an excellent source of meat.  The other products cannot currently be used.  ","Porcov n¡ vy§aduje ostrou zbraå nebo n stroj a tak‚ vhodnou mrçinu.  Porcov n¡ je vynikaj¡c¡m zdrojem masa.  Ostatn¡ produkty zat¡m nelze vyu§¡t.  "
"performed in succession","prov dØnì po sobØ"
"the vanishment of ","zmizen¡ "
"This creature is displeased right now.","Tento tvor je nyn¡ nespokojenì."
"chime","zvonek"
"Interrupted by ","Pýeruçeno: "
"Running rivers...","SpouçtØn¡ ýek..."
"[C:3:0:1].Partial paralysis","[C:3:0:1].¬ steŸn  paralìza"
" neck bowl vibrates with the rest of the instrument, producing sound.]"," krŸn¡ rezon tor vibruje spolu se zbytkem n stroje a vytv ý¡ zvuk.]"
"the Moon's Path","MØs¡Ÿn¡ dr ha"
"Underground Farms","Podzemn¡ farmy"
" always assumes the best outcome will eventually occur, no matter what"," v§dy pýedpokl d , §e nakonec nastane nejlepç¡ mo§nì vìsledek, aœ se dØje cokoli"
"There are five types of [C:1:0:1]Locations[C:7:0:0], which we'll go over in turn.","Existuje pØt typ… [C:1:0:1]Lokac¡[C:7:0:0], kter‚ si postupnØ projdeme."
"Stone use","Pou§it¡ kamene"
"Baby+child cap (percentage of total)","Limit kojenc… a dØt¡ (procento celku)"
"hearing somebody was being prevented from leaving","slyçel, §e nØkomu bylo zabr nØno odej¡t"
"has a very large frame but is incredibly skinny","m  velmi velkou postavu, ale je neuvØýitelnØ hubenì"
"potash maker","vìrobce hnojiva"
"Unretire","Obnovit"
"State feelings of great enthusiasm","Vyj dýit velk‚ nadçen¡"
"It is snowing ","Pad  sn¡h. "
"Look at the sky!  Are we in the Underworld?","Pod¡vej se na oblohu! Jsme v PodsvØt¡?"
"the Prime Divisors","PrvoŸ¡seln¡ dØlitel‚"
"You cannot mount","Nem…§eç nasednout"
"Cataract Surgery","Operace çed‚ho z kalu"
"Although this location is relatively safe, it is recommended that you prepare a squad and get them training at some point. ","I kdy§ je toto m¡sto pomØrnØ bezpeŸn‚, doporuŸuje se vytvoýit odd¡l a Ÿasem jej zaŸ¡t cviŸit. "
"A form of ","Forma "
"The performers","UmØlci"
"the Dissolution","Rozklad"
"I was always irritated by family.","Rodina mØ v§dycky rozŸilovala."
"Unit list: Toggle specialization","Seznam jednotek: Pýepnout specializaci"
"the Moon and Tides","MØs¡c a pý¡livy"
"being a natural loner","byl(a) pýirozenì samot ý"
" keyboard.  "," klaviatury.  "
"smashed open","rozml ceno"
"fierce ","zuýivì "
"sister","sestra"
"Straight-Beam Balances","Rovnoramenn‚ v hy"
"There is a tavern there","Je tam hospoda"
"Ice Downward Track (SEW)","Ledov  klesaj¡c¡ cesta (J-V-Z)"
"yelling at a priest","kýiŸel na knØze"
"slower to hate","pomaleji nen vid¡"
"is large yet very skinny","je velkì, ale velmi hubenì"
"a formalized agreement","form ln¡ dohodØ"
"% occupied","% obsazeno"
"mongoose","mungos"
"leisure","pohoda"
"Union","Jednota"
"murderer","vrah"
"Grand Dining Room","Velk  j¡delna"
"is incredibly short, if muscular and fat","je neuvØýitelnØ malì, ale svalnatì a tlustì"
"fondness","z libu"
"incredibly high","neuvØýitelnØ vysokì"
"State minor feeling of hopelessness","Vyj dýit m¡rnou beznadØj"
"artifact is heirloom of family hfid","artefakt je dØdictv¡m rodiny"
"the Military","Vojsko"
"the abduction","£nos"
" bends"," ohìb "
"Soap Making","Vyr bØn¡ Mìdla"
" finds such open expression offensive"," pova§uje tak otevýen‚ projevy za ur §liv‚"
"Misc. liquid","R…zn‚ kapaliny"
"population of nearly two hundred thousand","populac¡ t‚mØý dvou set tis¡c"
"Skilled","ZruŸnì"
"Show linked buildings","Zobrazit propojen‚ objekty"
"the Merchants","Obchodn¡ci"
"third eldest child","týet¡ nejstarç¡ d¡tØ"
"Living","¦ivì"
"convicted ","odsouzen "
"extensive star catalogues","rozs hl‚ hvØzdn‚ katalogy"
"attacks"," £toŸ¡"
"yarn","pý¡ze"
" imprint"," otisk"
"technological evolution","vìvoj technologi¡"
" image"," obraz"
"Underground Animal Populations (Including Undead)","Podzemn¡ populace zv¡ýat (vŸetnØ nemrtvìch)"
"sleeping uneasily due to noise","neklidnØ sp t kv…li hluku"
"inquiry after","dotaz po"
"Twelfth","Dvan ct "
" in to pain."," bolest¡."
"the construction and use of the funnel","stavba a pou§it¡ trychtìýe"
"is scrawny","je vyz blì"
"remarkably flimsy","pozoruhodnØ chatrnì"
"Always deal fairly.","Jednej v§dy f‚rovØ."
"[C:4:0:1]Very drowsy","[C:4:0:1]Velmi ospalì"
"A concert","Koncert"
" bodywear"," odØvu"
"not having enough weapon racks","nedostatek stojan… na zbranØ"
"spearmen","kopin¡ci"
"a carpenter's shop","truhl rna"
"[C:5:0:1]Dehydrated","[C:5:0:1]Dehydratovanì"
"has an extremely small body but it is very muscular","m  extr‚mnØ mal‚ tØlo, ale je velmi svalnatì"
"is","je"
" has been founded "," byla zalo§ena "
"Treasure","Poklad"
" mouth"," £stech"
"finds those that deny their impulses somewhat stiff","pova§uje ty, kdo potlaŸuj¡ sv‚ impulzy, za ponØkud strnul‚"
" in magma"," v magmatu"
"dining hall (75,50,75)","j¡delna (75,50,75)"
"mason","zedn¡k"
" exceptional"," vìjimeŸnì"
"What will you say about the rescue?","Co ýekneç o z chranØ?"
"the transformation of ","promØna "
" holds romance in low regard"," m  romantiku v n¡zk‚ v §nosti"
"Ritual","Ritu l"
"I'm not going to change my mind.","NezmØn¡m n zor."
"Easy difficulty","N¡zk  obt¡§nost"
"Dodging","Uhìb n¡"
"believes that artful speech and eloquent expression are of the highest ideals","vØý¡, §e vytý¡benì projev a vìmluvnost patý¡ k nejvyçç¡m ide l…m"
"swollen","otekl‚"
"the Crankshaft","Klikovì hý¡del"
"[C:7:0:0]No medical history","[C:7:0:0]¦ dn  zdravotn¡ historie"
"Saving tracking information...","Ukl d n¡ sledovac¡ch informac¡..."
"began dreaming of creating a great work of art","zaŸal sn¡t o vytvoýen¡ velk‚ho umØleck‚ho d¡la."
"became the spouse of the deceased ","stal se man§elem/man§elkou zesnul‚ho "
"State that you love riddles","Uv‚st, §e milujeç h danky"
"Am I supposed to engage with that?","To se s t¡m m m jako vypoý dat?"
"The track stop's vehicle will exchange items with this stockpile.  The vehicle will take desired items and offload any others.","Vozidlo kolejiçtn¡ zast vky bude vymØåovat pýedmØty s t¡mto skladem.  Vozidlo odebere po§adovan‚ pýedmØty a ostatn¡ vylo§¡."
"being unable to admire art for so long","neschopnost obdivovat umØn¡ po tak dlouhou dobu"
"resonant","rezonuj¡c¡"
"To save these settings, choose a name for this embark profile:","Pro ulo§en¡ nastaven¡ zvolte n zev tohoto profilu vìpravy:"
"You look like a mighty warrior indeed.","Vypad ç skuteŸnØ jako mocnì bojovn¡k."
"is very tall yet frail","je velmi vysokì, ale kýehkì"
"placed","um¡stil"
"anger propensity","sklon k hnØvu"
"Automate kiln","Automatizovat pec"
"the melody of the","melodie "
"near "," pobl¡§ "
" (no activity)"," (§ dn  Ÿinnost)"
"can occasionally lose focus on the matter at hand","obŸas m…§e ztratit soustýedØn¡ na danou vØc"
"You can initiate throwing from the inventory menu, or by pressing ","H zen¡ m…§eç zah jit z invent ýe nebo stiskem "
"the ghost of a pet","duchem mazl¡Ÿka"
"You can jump while climbing, and you can also release your hold.  In these ways, you might reach areas you can't otherwise reach.  ","BØhem lezen¡ m…§eç sk kat a tak‚ pustit £chyt.  TØmito zp…soby se m…§eç dostat do oblast¡, kter‚ by jinak byly nedostupn‚.  "
"Defeated","Porazenì"
"Leave menu and open the item's sheet.","Opust¡te nab¡dku a otevýete list polo§ky."
"drinking the same old booze","pit¡ st le stejn‚ho alkoholu"
" needs"," potýebuje"
"the surgical method of ligature","chirurgick  metoda podvazu"
"has a very narrow","m  velmi £zkou"
"Your Citizens","Vaçi obŸan‚"
"stagnant ","stojat  "
" created a masterful engraving"," vytvoýil mistrovskou rytinu"
"a fantastic setting","fantastick‚m prostýed¡"
"Membr","¬len"
" handwear"," rukavic"
"[C:6:0:0].Serious melting","[C:6:0:0].V §n‚ roztaven¡"
"State feelings of great worry","Vyj dýit velk‚ obavy"
"bye","Ÿau"
"Trade is the life-blood of a thriving society.","Obchod je §ivotn¡ m¡zou prosperuj¡c¡ spoleŸnosti."
"cut of corrupt funds","pod¡l na korupŸn¡ch fondech"
"is often cheerful","Ÿasto je veselì"
"clicks ","cvak  "
"make a living as a warrior","§ivobyt¡ jako v leŸn¡k"
"position claim","n rok na pozici"
"Sage","Mudrc"
"enjoys the company of others","u§¡v  si spoleŸnost ostatn¡ch"
"a dispute over ","sporu o "
"more inclined to the abstract","v¡ce naklonØnì/  abstrakci"
"I don't have a shirt.","Nem m koçili."
"loud noises made it impossible to sleep","hlasitì hluk znemo§nil sp nek"
"I'm on an important mission.","Jsem na d…le§it‚ misi."
" formed a false friendship with "," vytvoýil faleçn‚ pý telstv¡ s "
"Civilization","Civilizace"
"Squad Station","StanoviçtØ dru§iny"
"Completion","DoplnØn¡"
"This is your former spouse.","Je to v ç bìvalì man§el."
":stand:stands",":stojan:stojany"
"Could not give dwarf ","Nelze pýiýadit trpasl¡kovi "
"Amazed","Udivenì"
"murdered hf","zavra§dil historickou postavu"
"military organization","arm dn¡ organizace"
"Workers gather food","Pracovn¡ci sb¡raj¡ j¡dlo"
"Experiencing mortal fear!","Pro§¡v  smrtelnì strach!"
"Invader days to delay vertical natural wall digging","Zpo§dØn¡ (dny) pýed vertik ln¡m kop n¡m pý¡rodn¡ch zd¡"
"geography:cartography:basic","geografie:kartografie:z klady"
"Magma does not trigger","Magma nespouçt¡"
"I smashed up a building.","Rozbil jsem budovu."
"hospital staff","nemocniŸn¡ person l"
"unstressed-stressed","nepý¡zvuŸn -pý¡zvuŸn "
"These ornamental objects increase the value of rooms in which they are placed.  An offering place object must be made before it can be placed.","Tyto okrasn‚ pýedmØty zvyçuj¡ hodnotu m¡stnost¡, ve kterìch jsou um¡stØny.  Olt ý mus¡ pýed um¡stØn¡m vyrobit v d¡lnØ."
"sadistic ghost","sadistickì duch"
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","ZaŸni vyznaŸovat novì sklad.  Jakmile jsou pole vybr na, budeç moci nastavit podrobnosti."
"I hope this fog lifts soon.","Douf m, §e ta mlha brzy opadne."
"medicine:method:treatment of traumatic injuries","medic¡na:metoda:l‚Ÿba traumatickìch poranØn¡"
"the Wind","V¡tr"
"Affects maximum number of followers.","Ovlivåuje maxim ln¡ poŸet n sledovn¡k…."
":bag:bags",":vak:vaky"
"the Desert","Pouçœ"
"distant ","vzd len‚ "
"I engaged ","PovØýil(a) jsem "
"I'm very content.","Jsem velmi spokojenì."
"been crushed by a drawbridge.","byli rozdrceni padac¡m mostem."
" down by the "," k zemi za "
"Storage path decrease (seed bag combine)","Sn¡§en¡ cesty skladu (sluŸov n¡ pytl… se semeny)"
"There's work to be done!","Je tu pr ce!"
"Explain your current journey","VysvØtlit svou souŸasnou cestu"
"to move away from previous ideas","k odklonu od pýedchoz¡ch myçlenek"
"Wagons bypassed inaccessible site","Vozy obeçly nepý¡stupn‚ m¡sto"
"is completely convinced of ","je zcela pýesvØdŸen o "
"Why harm yourself for anybody else's benefit?","ProŸ se poçkozovat kv…li nØkomu jin‚mu?"
"You've located a ","Naçel jsi "
"You will travel far from this place.","Cestujeç daleko od tohoto m¡sta."
"This isn't rich soil, but will suffice for now.  Dig deeper to find better soil. ","Nen¡ to £rodn  p…da, ale prozat¡m postaŸ¡. Pro lepç¡ p…du kopej hloubØji. "
"The causes of the conflict are debated by scholars and very little is truly known.","O pý¡Ÿin ch konfliktu se mezi uŸenci vede debata a skuteŸnØ zn mo je jen velmi m lo."
" collapse and fall"," zkolaboval a spadnul"
"Never!","Nikdy!"
"You may switch to other forms of [C:6:0:1]Fuel[C:7:0:0] later, such as [C:6:0:1]Coal[C:7:0:0], but you will usually ","PozdØji m…§eç pýej¡t na jin‚ druhy [C:6:0:1]Paliva[C:7:0:0], napý¡klad "
"I hate the self-absorbed lyrics.","Nesn ç¡m sebestýednì text."
"The instrument has a","N stroj m  "
"frustrated","frustrovanì"
" goes anywhere"," nØkam jde"
"Sound","Zvuk"
"I need to learn something new.","Potýebuji se nauŸit nØco nov‚ho."
" now.  Make way for "," nyn¡.  Ustupte pro "
"Look at the fog out there!","Pod¡vej na tu mlhu venku!"
"Verbally struggle against sadness","SlovnØ bojovat proti smutku"
"Retake hatch to forbid it.","Znovu z¡skejte poklop, abyste jej mohli zak zat."
"rewarded","odmØnØn"
"Displeasure","Nelibost"
"Expectant","OŸek vaj¡c¡"
"after being unable to argue","po nemo§nosti se h dat"
"sleeping in the mud","sp t v bl tØ"
"Lasher","BiŸaý"
"high-cheekbones","s vysokìmi l¡cn¡mi kostmi"
"Acknowledge lack of fondness","Uznat nedostatek n klonnosti"
"embezzling funds","zpronevØýovat prostýedky"
"Technology","Technologie"
"was commissioned by","byl povØýen"
"has put on an extreme amount of muscle, especially for one so short","nabral extr‚mn¡ mno§stv¡ sval…, zvl çœ na nØkoho tak mal‚ho"
"the scattering of ","rozsyp n¡ "
"rotting ","hnij¡c¡ "
"softly percussive","jemnØ perkusivn¡mi"
"Lava [","L va ["
"never liked","nikdy nemØl r d"
"a new friend","nov‚ho pý¡tele"
"decided to become a mercenary, operating","rozhodl se st t §oldn‚ýem, p…sob¡c¡m"
"Agitated Chained Creature","Rozruçenì tvor na ýetØzu"
"Alloys","Slitiny"
"You have discovered an unusual volcanic wall studded with gems.","Objevili jsi neobvyklou sopeŸnou stØnu posetou drahokamy."
"meat slicing","kr jen¡ masa"
"Their wagons have bypassed your inaccessible site.","Jejich vozy minuly vaçe nepý¡stupn‚ m¡sto."
"very fine","velmi pØkn‚"
"Equipment","Vybaven¡"
" melody pipes"," melodick‚ p¡çœaly"
"in wonder","v £§asu"
"Though I cannot agree fully on a slight technicality,","AŸkoli se nemohu plnØ shodnout kv…li drobn‚ technik lii,"
"I'm sympathetic.","Jsem soucitnì."
"is skinny and extremely tall","je hubenì a extr‚mnØ vysokì"
"offered immortality","nab¡dl nesmrtelnost"
"was bound to serve","byl zav z n slou§it"
"Overall, the composition is atrocious","CelkovØ je kompozice pý¡çern "
"Broker can access depot","Obchodn¡k m…§e bìt na tr§içtii"
" was ignored."," byla ignorov na."
"adventure","dobrodru§stv¡"
"freedom","svoboda"
"teeth","zuby"
"the Astrarium","Astrarium"
" explodes into gore!"," explodoval na krvavou kaçi!"
"State minor feeling of loathing","Vyj dýit m¡rnì odpor"
"has a way of arguing with those that are in agreement with ","m  tendenci h dat se i s tØmi, kteý¡ s n¡m souhlas¡ "
"Quit","Konec"
"Manners","Chov n¡"
"Demand that ","Po§adovat, aby "
"You cannot mount ","Nem…§eç nasednout "
"State feelings of apathy","Vyj dýit apatii"
"somebody","nØkdo"
"Information and guides","Informace a pr…vodci"
"Leisure","Volnì Ÿas"
"State feelings of great displeasure","Vyj dýit velkou nespokojenost"
"admire owned building","obdivovat vlastn¡ budovu"
"Graphical FPS cap (default 50)","Limit FPS grafiky (vìchoz¡ 50)"
"North or South","Sever nebo jih"
"Seek Patient for Dress Wound","Hledat pacienta k oçetýen¡ r ny"
"Set the draw direction below.","Nastav smØr tahu n¡§e."
"Needs ","Potýebuje "
"This doesn't outrage me.","To mØ nepobuýuje."
"State minor feeling of isolation","Vyj dýit m¡rnou izolaci"
"the Artifact","Artefakt"
" own work"," vlastn¡ pr ci"
"the nature of events","povaha ud lost¡"
"Pump Operation","Obsluha pumpy"
"the construction and use of combination locks","stavba a pou§it¡ kombinaŸn¡ch z mk…"
"discourse on the nature of justification","diskuze o povaze ospravedlnØn¡"
"became the owner of","se stal vlastn¡kem"
"Carve downward staircase","Vytesat schody dol…"
"Tell me about ","üekni mi v¡c o "
"counselor","poradce"
"You have selected an evil area.","Vybrali jste zlou oblast."
"Wood Hauling","Tah n¡ dýeva"
"Change the work order priority.  Work orders at the top of the list will use workshops first.","ZmØåte prioritu pracovn¡ zak zky. Pracovn¡ pý¡kazy na zaŸ tku seznamu budou d¡lny odbavovat jako prvn¡."
"attempted theft","pokus o kr de§"
" in order to elicit information."," aby z¡skal(a) informace."
"grant","udØlit"
"the blood-drinker allows no chattel to rise","krvo§rout nedovol¡ § dn‚mu nevoln¡kovi povstat"
"older brother","starç¡ bratr"
"Unavailable as pet","Nedostupnì jako mazl¡Ÿek"
"Break grip of ","Zlomit £chop "
"pilgrim","poutn¡k"
"Occupation/","Povol n¡/"
" usually lowers "," obvykle skl n¡ "
"boiling crystal glass","vý¡c¡ kýiçœ lov‚ sklo"
"Deep within this strange place, we've uncovered what must be a treasure of the gods!","Hluboko v tomto podivn‚m m¡stØ jsme objevili nØco, co mus¡ bìt poklad boh…!"
"gentle breeze","jemnì v nek"
"Equipment and pet points remaining: ","Zbìvaj¡c¡ body na vybaven¡ a mazl¡Ÿky: "
"the rejection of a petition for a guildhall for ","zam¡tnut¡ petice na guildovn¡ s¡å pro "
"Click on a [C:2:0:0]Resident[C:7:0:0] to see their needs, inventory, thoughts, relations, and more. ","Klikni na [C:2:0:0]Obyvatele[C:7:0:0], abys vidØl jeho potýeby, invent ý, myçlenky, vztahy a dalç¡. "
"left ","lev  "
".  Will you have me as ",".  Pýijmeç mØ jako "
" Track (SW)"," Cesta (J-Z)"
"What will you say about the army?","Co ýekneç o arm dØ?"
"I am very disappointed.","Jsem velmi zklamanì."
"had the fortifications improved of","mØl vylepçeny opevnØn¡ u"
"Neutral","Neutr ln¡"
"You are melancholy.","Jsi melancholickì."
"Migrants were too nervous to make the journey this season.","Migranti byli pý¡liç nerv¢zn¡, aby se vydali na cestu tuto sez¢nu."
"the Tunnels","Tunely"
"[C:6:0:1].Torn ligament","[C:6:0:1].Pýetr§enì vaz"
"You can't stand up -- somebody is in the way.","Nem…§ete vst t - nØkdo stoj¡ v cestØ."
"Speak","Mluvit"
"Position","Pozice"
"harmony","harmoni¡"
" in order to find better lives"," abychom naçli lepç¡ §ivot"
"this hall","tato s¡å"
"No.","Ne."
"Vessel Crew","Pos dka lodi"
"compromised position holder","dr§itel kompromitovan‚ pozice"
"I'm walking my patrol.","Jdu svou hl¡dku."
"State feelings of insult","Vyj dýit ur §ku"
"contains some asides related to the author's preferences","obsahuje nØkolik odboŸek souvisej¡c¡ch s autorovìmi preferencemi"
"Discovered site","Nalezeno m¡sto"
"Wrestle somebody adjacent.  Also allows available parry, block, and dodge moves.","Z pas se soused¡c¡m c¡lem.  Umo§åuje tak‚ dostupn‚ odra§en¡, bloky a £hyby."
"fair","poctivì"
