"its","suo"
"punishment of victimizer delayed","punizione del vittimizzatore ritardata"
"insufficient justice buildings","edifici giudiziari insufficienti"
"mandate ignored","mandato ignorato"
"mandate only partially completed","mandato completato parzialmente"
"destroyed building","edificio distrutto"
"committed vandalism","commesso vandalismo"
"land holder rank increased","rango di proprietario terriero aumentato"
"established as land holder","stabilito come detentore del terreno"
"knocked out by cavein","messo al tappeto da un crollo"
"mandate was obeyed","Il mandato ä stato rispettato"
"naked","nudo"
"no shirt","senza camicia"
"no shoes","senza scarpe"
"ate own pet while starving","ha mangiato il proprio animale domestico per non morire di fame"
"ate favorite animal while starving","ha mangiato l'animale preferito per non morire di fame"
"ate vermin while starving","ha mangiato parassiti per non morire di fame"
"beat somebody up","picchiare qualcuno"
"punished somebody with beating","ha punito qualcuno con le percosse"
"punished by beating","punito con le percosse"
"punished somebody with tool","ha punito qualcuno con uno strumento"
"punished by tool","punito da uno strumento"
"cannot get punishment tool","non puï ottenere uno strumento di punizione"
"tired of food","stanco del cibo"
"eaten rotten food","mangiato cibo marcio"
"good food","buon cibo"
"good drink","bella bevuta"
"do not have enough chests","non ha abbastanza casse"
"do not have enough cabinets","non ha armadi a sufficienza"
"do not have enough weapon racks","non ha abbastanza rastrelliere per armi"
"do not have enough armor stands","non ha abbastanza supporti per armatura"
"lesser has better room","minore ha una stanza migliore"
"eating without table","mangiato senza tavolo"
"eating at crowded table","mangiato a un tavolo affollato"
"eating in dining room","mangiando in sala da pranzo"
"eating without dining room","mangiando senza sala da pranzo"
"eating without chair","mangiato senza sedia"
"new bonded relationship","nuova legame relazionale"
"was rescued","ä stato salvato"
"rescued somebody","ha salvato qualcuno"
"completed job","lavori completati"
"tax escort stole property","scorta dell'esattore ha rubato dei beni"
"lost property to taxes","beni persi a causa delle tasse"
"have inadequate protection","hanno una protezione inadeguata"
"taxable room inaccessible","stanza tassabile inaccessibile"
"misinformed about taxable room","disinformato sulla stanza tassabile"
"pleased nobility","nobiltÖ compiaciuta"
"tax collector succeeded","l'esattore delle tasse ä riuscito"
"disappointed nobility","nobiltÖ delusa"
"tax collector failed","l'esattore delle tasse ha fallito"
"new buddy","nuovo amico"
"new grudge","nuovo rancore"
"near hated vermin","vicino agli odiati parassiti"
"near favorite animal","vicino all'animale preferito"
"pestered by flying micro vermin","infastidito da microparassiti volanti"
"acquired item","oggetto acquisito"
"acquired favorite animal as pet","acquisito animale preferito come animale da compagnia"
"confined","confinato"
"cleaned self","pulizia di sÇ"
"cleaned self with soap","si ä lavato col sapone"
"killed somebody in training accident","ucciso qualcuno in un incidente in allenamento"
"attacked","attaccato"
"attacked by zombie possible relative","attaccato dallo zombi di un possibile parente"
"tired of drink","stanco di bere"
"drinking blood","bevendo sangue"
"drinking slime","bere melma"
"drinking vomit","bere vomito"
"drinking ichor","bevuto icore"
"drinking pus","bevuto pus"
"drinking nasty","bevuto nauseante"
"drinking rotten","bevuto marcio"
"drinking without well","bevuto senza pozzo"
"view favorite animal caged","visto l'animale preferito in gabbia"
"view hated vermin caged","visti odiati parassiti ingabbiati"
"slept without proper room","ha dormito senza una stanza adeguata"
"slept in room","ha dormito in stanza"
"slept on smooth floor","ha dormito su un pavimento liscio"
"slept in mud","ha dormito nel fango"
"slept on grass","ha dormito sull'erba"
"slept on rough stone","ha dormito sulla pietra grezza"
"slept on rocks","ha dormito sulle rocce"
"slept on ice","ha dormito sul ghiaccio"
"slept on dirt","ha dormito per terra"
"slept on driftwood","dormito su legno di deriva"
"artwork defaced","opere d'arte deturpata"
"evicted","sfrattato"
"gave birth","ha partorito"
"gained relative","guadagnato familiare"
"received water","acqua ricevuta"
"gave water","ha dato acqua"
"received food","ha ricevuto cibo"
"gave food","ha dato cibo"
"relation abstract chat","relazione chiacchiera astratta"
"relation gave personal chat","relazione fatto chiacchierata personale"
"relation received personal chat","relazione ricevuta chiacchierata personale"
"relation gave stress complaint chat","relazione fatto chiacchierata lamentela di stress"
"relation received stress complaint chat","relazione ricevuta chiacchierata lamentela di stress"
"relation chat","relazione chiacchierata"
"met in room","incontrato in stanza"
"official meeting in bedroom","riunione ufficiale in camera da letto"
"official meeting in dining room","riunione ufficiale in sala da pranzo"
"official meeting without room","riunione ufficiale senza stanza"
"have tomb","ha il sepolcro"
"have no tomb","non ha il sepolcro"
"interacted with community pillar","interagito con pilastro della comunitÖ"
"interacted with pet","interagito con animale domestico"
"turned child away from sanctuary","allontanato il bambino dal santaurio"
"expelled","espulso"
"relative expelled","parente espulso"
"dead unit convicted","unitÖ morta condannata"
"animal convicted","animale condannato"
"victim convicted","vittima condannata"
"perpetrator convicted","perpetratore condannato"
"perpetrator against family convicted","perpetratore contro la famiglia condannato"
"body of relation rotted","corpo di relazione marcito"
"unmet needs","bisogni insoddisfatti"
"pray to hf","preghiera a hf"
"religion prayer","religione preghiera"
"religion prayer in incorrect temple","religione preghiera in tempio non corretto"
"religion prayer in godless temple","religione preghiera in tempio senza Dio"
"pray to hf in dedicated temple","prega hf nel tempio dedicato"
"drinking without goblet","bere senza calice"
"research breakthrough","scoperta straordinaria"
"stuck on research topic","bloccato sull'argomento di ricerca"
"ponder research topic","rifletti sul tema di ricerca"
"discuss research topic","discuti l'argomento di ricerca"
"syndrome emotion","sindrome dell'emozione"
"performed in incident","eseguito in un incidente"
"saw performance in incident","visto spettacolo in incidente"
"kicked out of troupe","cacciato dalla troupe artistica"
"learned scholar flag","studioso erudito bandiera"
"learned skill","abilitÖ appresa"
"learned written content","appreso contenuto scritto"
"learned interaction","interazione appresa"
"learned poetic form","forma poetica appresa"
"learned musical form","forma musicale appresa"
"learned dance form","imparata forma di danza"
"taught scholar flag","insegnato studioso bandiera"
"taught skill","abilitÖ insegnata"
"read written content","letto contenuto scritto"
"wrote written content","scritto contenuti scritti"
"residency petition accepted","domanda di soggiorno accettata"
"citizenship petition accepted","domanda di cittadinanza accettata"
"residency petition rejected","domanda di soggiorno respinta"
"citizenship petition rejected","domanda di cittadinanza respinta"
"left troupe","lasciato la troupe"
"make believe","far finta"
"play with toy","gioca con giocattolo"
"dream about hf","sogna hf"
"dream","sogno"
"nightmare","incubo"
"argument","argomento"
"did individual melee drills","ha fatto esercitazioni individuali in mischia"
"did ranged practice","ha fatto pratica di tiro"
"improved skill","abilitÖ migliorata"
"put on quality worn item","indossato un capo di qualitÖ usurato"
"change personality value","cambia valore della personalitÖ"
"active performance preacher","esibizione attiva predicatore"
"active performance storyteller","esibizione attiva narratore"
"active performance poem reciter","esibizione attiva recitatore di poesie"
"active performance simulated instrument","esibizione attiva strumento simulato"
"active performance instrument","esibizione attiva strumento"
"active performance singer","esibizione attiva cantante"
"active performance chanter","esibizione attiva cantore"
"active performance dancer","danzatore di performance attiva"
"active sermon worship hfid","sermone attivo culto hfid"
"active sermon sphere","sfera di sermone attivo"
"active sermon promote value","promuovi valore di sermone attivo"
"active sermon refuse value","valore rifiuto di sermone attivo"
"active story event","evento storico attivo"
"active poetic form","forma poetica attiva"
"active musical form","forma musicale attiva"
"active dance form","forma di danza attiva"
"defeated hf","sconfitto hf"
"item was favorite possession","l'oggetto era il bene preferito"
"by preserving part of body","conservando una parte del corpo"
"abducted hf","sequestrato hf"
"murdered hf","assassinato hf"
"historical event collection","raccolta di eventi storici"
"acquired artifact","manufatto acquisito"
"claimed artifact given away","manufatto rivendicato e regalato"
"preying on civilized for blood","che predano i civili in cerca di sangue"
"unnaturally ageless","innaturalmente senza etÖ"
"scholarly lecture in site","conferenza accademica in sito"
"performance in site","esibizione in sito"
"accepting bribes for leniency","accettare tangenti per l'indulgenza"
"embezzling funds from position","appropriazione indebita di fondi dalla posizione"
"cut of corrupt funds","taglio dei fondi per corruzione"
"from afar","da lontano"
"during an infiltration mission","durante una missione d'infiltrazione"
"temple petition accepted","petizione del tempio accettata"
"temple petition rejected","petizione del tempio respinta"
"temple petition ignored","petizione del tempio ignorata"
"temple agreement abandoned","accordo sul tempio abbandonato"
"guildhall petition accepted","petizione della casa della gilda accettata"
"entity temple recognition","riconoscimento dell'entitÖ tempio"
"guildhall petition rejected","petizione della casa della gilda respinta"
"guildhall petition ignored","petizione della casa della gilda ignorata"
"guildhall agreement abandoned","accordo abbandonato per la casa della gilda"
"is entity subordinate","ä un'entitÖ subordinata"
"for an insurrection","per un'insurrezione"
"to adventure","all'avventura"
"as a guide","come guida"
"in order to be rescued","per essere salvati"
"after pondering the ineffable subtleties of ","dopo aver riflettuto sulle ineffabili sottigliezze del "
"due to their cosmic similarity","a causa della loro somiglianza cosmica"
"in order to maintain balance in the universe","per mantenere l'equilibrio nell'universo"
"to create a monument to the boundaries between realities","per creare un monumento ai confini tra le realtÖ"
"to sow the seeds of chaos therein","per seminarvi i semi del caos"
"to provide opportunities for courage to rise","per fornire opportunitÖ per far emergere il coraggio"
"that more might die","che altri potrebbero morire"
"that all should gaze upon a truly gruesome visage","che tutti dovrebbero contemplare un volto davvero raccapricciante"
"that great fortresses might be raised and tested in siege","che grandi fortezze potrebbero essere innalzate e messe alla prova in un assedio"
"on a whim","per capriccio"
"that it might bathe in misery forever","perchÇ possa sguazzare per sempre nella miseria"
"that more might be murdered","che altri potrebbero venire uccisi"
"in order to make nightmares reality","per rendere gli incubi realtÖ"
"in order to make thralls of everyone","al fine di rendere tutti schiavi"
"in order that acts of torture be perpetrated","affinchÇ vengano perpetrati atti di tortura"
"to provide opportunities for acts of valor to be performed","per fornire occasioni per compiere atti di valore"
"that war might rage forever","che la guerra possa infuriare per sempre"
"in order to find a relative","al fine di trovare un parente"
"to offer condolences","per porgere le condoglianze"
"to help with a rescue","per aiutare in un salvataggio"
"due to insufficient work","a causa di lavoro insufficiente"
"to request work","per richiedere il lavoro"
"that weapons be made","che le armi siano fatte"
"to vent at a priest","per sfogarsi con un sacerdote"
"to cry on a priest","per piangere su un sacerdote"
"to vent at somebody in charge","sfogarsi con un responsabile"
"to cry on somebody in charge","per piangere su qualcuno in carica"
"as the goal was not reached","perchÇ l'obiettivo non ä stato raggiunto"
"as insufficient progress was made toward the goal","poichÇ sono stati compiuti progressi insufficienti verso l'obiettivo"
"after going the wrong direction","dopo aver preso la direzione sbagliata"
"after arriving at the location","dopo essere arrivato sul luogo"
"as the relevant government was no longer in control","in quanto il governo competente non aveva pió il controllo"
"after leaving the site","dopo aver lasciato il sito"
"after being reunited with a loved one","dopo il ricongiungimento con una persona cara"
"after a violent disagreement","dopo un violento disaccordo"
"after adoption","dopo l'adozione"
"after invocation of the true name","dopo l'invocazione del vero nome"
"after finding ","dopo aver trovato "
"in order to eradicate beasts","per estirpare le bestie"
"in order to entertain people","per intrattenere le persone"
"in order to make a living as a warrior","per potersi guadagnare da vivere come guerriero"
"in order to study","per studiare"
"in order to flee","per fuggire"
"after being exiled following a criminal conviction","dopo esser stato esiliato per una condanna penale"
"in order to pursue scholarship","per perseguire l'erudizione"
"in order to become a citizen","per diventare cittadini"
"in order to continue working alone","per continuare a lavorare da solo"
"due to jealousy","a causa della gelosia"
"in order to glorify ","per glorificare "
"due to a lack of performances","a causa della mancanza di esibizioni"
"after being prevented from leaving","dopo che gli ä stato impedito di uscire"
"out of curiosity","per curiositÖ"
"to fill a role as a mercenary","per ricoprire un ruolo di mercenario"
"to fill a role as a performer","per ricoprire un ruolo di artista"
"to fill a role as a scholar","per ricoprire un ruolo di studioso"
"in order to drink","per bere"
"in order to admire architecture","per ammirare l'architettura"
"in order to pray","per pregare"
"in order to relax","per rilassarsi"
"to experience danger","per sperimentare il pericolo"
"after being unable to find an artifact","dopo essere stato incapace di trovare un manufatto"
"after failing to create an artifact","dopo aver fallito la creazione di un manufatto"
"due to lack of sleep","a causa della mancanza di riposo"
"after being trapped in a cage","dopo esser stato intrappolato in gabbia"
"after a great deal of stress","dopo un forte stress"
"after being unable to leave a location","dopo essere stato incapace di lasciare un luogo"
"in order to sanctify ","per santificare "
"as an heirloom of the ","come cimelio di "
" family"," famiglia"
"as a symbol of authority within ","come simbolo di autoritÖ in "
"due to envy of those that live on","a causa dell'invidia per chi ancora vive"
"due to panic about what happens after death","a causa del panico per ciï che accade dopo la morte"
"due to fear of death","a causa della paura della morte"
"unable to face any possible judgment and the afterlife","incapace di affrontare ogni possibile giudizio e l'aldilÖ"
"being too proud to give in to death","essere troppo orgogliosi per arrendersi alla morte"
"being too vain to give in to death","essere troppo vanitosi per arrendersi alla morte"
"having ambitions for which death was only a small obstacle","avere ambizioni per le quali la morte era solo un piccolo ostacolo"
"due to fear of persecution","per paura di persecuzioni"
"to smooth the operation of ","per facilitare l'operazione di "
"due to a belief in ","a causa di un credo in "
"as part of a trade negotiation","nell'ambito di un negoziato commerciale"
"in order to cement the bonds of friendship","per consolidare i legami di amicizia"
"to gather information","per raccogliere informazioni"
"in order to find sanctuary","per trovare un santuario"
"due to a shared interest in ","a causa di un interesse comune per "
"philosophy","filosofia"
"mathematics","matematica"
"astronomy","astronomia"
"natural history","storia naturale"
"chemistry","chimica"
"geography","geografia"
"medicine","medicina"
"engineering","ingegneria"
"due to a lack of funds","per mancanza di fondi"
"after taking heavy losses in battle","dopo aver subito pesanti perdite in battaglia"
"after the death of ","dopo la morte di "
"after praying to ","dopo aver pregato "
"after performing the rites of ","dopo aver eseguito i riti di "
"after incompletely performing the rites of ","dopo aver eseguito in modo incompleto i riti di "
" in an improperly dedicated temple"," in un tempio impropriamente dedicato"
" in an undedicated temple"," in un tempio non consacrato"
"after dreaming of ","dopo aver sognato "
"after a dream","dopo un sogno"
"after a nightmare","dopo un incubo"
"after defeating ","dopo aver sconfitto "
"as the item was a favorite possession","poichÇ l'oggetto era uno dei beni preferiti"
"by preserving a part of the body","preservando una parte del corpo"
"after abducting ","dopo aver sequestrato "
"after murdering ","dopo aver ucciso "
"during ","durante "
"after acquiring ","dopo aver acquisito "
"after ","dopo "
" was given away"," ä stato dato via"
"after preying on the blood of civilized creatures","dopo aver predato il sangue di creature civilizzate"
"being unnaturally ageless","essere innaturalmente senza etÖ"
"after a scholarly lecture in ","dopo una conferenza accademica in "
"after accepting bribes in exchange for leniency","dopo aver accettato tangenti in cambio di clemenza"
"after embezzling funds","dopo aver sottratto fondi"
"after receiving a cut of corruptly-obtained funds","dopo aver ricevuto una parte dei fondi ottenuti con la corruzione"
"a time before time","un tempo prima del tempo"
" became childhood friends"," sono diventati amici d'infanzia"
" cemented a bond of friendship amidst the horror of combat"," hanno cementato un legame di amicizia in mezzo all'orrore del combattimento"
" became infatuated with "," si ä infatuato di "
" was bent toward supernatural vengeance upon "," era orientato verso una vendetta sovrannaturale nei confronti di "
" held a deep hatred of "," aveva un odio profondo nei confronti di "
" due to persecution"," a causa della persecuzione"
" due to religious persecution"," a causa di persecuzioni religiose"
" formed a grudge against "," ha nutrito rancore nei confronti di "
" over the latter's romantic relationship"," sulla relazione sentimentale di quest'ultimo"
" became lovers"," sono diventati amanti"
" broke up"," si sono lasciati"
" became friends "," sono diventati amici "
"due to a shared scholarly interest","per via di un interesse intellettuale condiviso"
"due to a shared artistic interest","per via di un interesse artistico condiviso"
" become friends over a shared love of athletics"," diventano amici per l'amore comune per l'atletica"
" developed an athletic rivalry"," hanno sviluppato una rivalitÖ atletica"
" developed a business rivalry"," hanno sviluppato una rivalitÖ commerciale"
" recognized "," riconosciuto "
" as a capable and connected lieutenant with more autonomy to act on plots in the web of intrigue"," come tenente capace e connesso, con maggiore autonomia per agire sulle trame dell'intrigo."
" constructed a masterful "," ha costruito una magistrale "
" created a masterful "," ha creato un magistrale "
" masterfully dyed a "," magistralmente tinto un "
"added a masterful image","ha aggiunto un'immagine magistrale"
"added a masterful covering","ha aggiunto una copertura magistrale"
"added masterful rings","ha aggiunto anelli magistrali"
"added masterful bands","ha aggiunto bande magistrali"
"added masterful spikes","ha aggiunto spuntoni magistrali"
"added a masterful chain","ha aggiunto una catena magistrale"
"added a masterful rope","ha aggiunto una corda magistrale"
"added masterful rollers","ha aggiunto dei rulli magistrali"
"added a masterful handle","ha aggiunto un'impugnatura magistrale"
"added masterful thread","ha aggiunto un filo magistrale"
"added masterful cloth","ha aggiunto stoffa magistrale"
"wove a masterful sewn image","ha tessuto un'immagine cucita magistralmente"
"masterfully wrote","scritto magistralmente"
"created a masterful illustration","ha creato un'illustrazione magistrale"
"attached a masterful instrument piece","ha attaccato un pezzo di strumento magistrale"
"created a masterful image set","ha creato una serie d'immagini magistrale"
"made a masterful improvement","ha apportato un miglioramento magistrale"
" to a "," a un "
" prepared a masterful "," ha preparato un magistrale "
" created a masterful engraving"," ha creato un'incisione magistrale"
" destroyed "," distrutto "
"a masterpiece","un capolavoro"
" by melting"," per scioglimento"
" by magma"," da magma"
" during fortification carving"," durante l'intaglio della fortificazione"
" during mining"," durante lo scavo"
" by falling debris"," dalla caduta di detriti"
" by growing vegetation"," dalla crescita della vegetazione"
" masterfully constructed by "," magistralmente costruito da "
"the masterful ","il magistrale "
" created by "," creato da "
" masterfully dyed with "," tinta magistralmente con "
"addition of a masterful image","aggiunta di un'immagine magistrale"
"addition of a masterful covering","aggiunta di una copertura magistrale"
"addition of masterful rings","aggiunta di anelli magistrali"
"addition of masterful bands","aggiunta di bande magistrali"
"addition of masterful spikes","aggiunta di punte magistrali"
"addition of masterful rollers","aggiunta di rulli magistrali"
"addition of a masterful handle","aggiunta di un'impugnatura magistrale"
"addition of masterful thread","aggiunta di filo magistrale"
"addition of masterful cloth","aggiunta di stoffa magistrale"
"weaving of a masterful sewn image","tessitura di un'immagine cucita magistralmente"
"creation of a masterful illustration","creazione di un'illustrazione magistrale"
"addition of a masterful instrument piece","aggiunta di un pezzo di strumento magistrale"
"writing of a masterpiece","scrittura di un capolavoro"
"creation of a masterful image set","creazione di una serie d'immagini magistrali"
"making of a masterful improvement","realizzazione di un miglioramento magistrale"
" prepared by "," preparato da "
"the masterful engraving","la magistrale incisione"
"the destruction of ","la distruzione di "
" led the attack"," ha guidato l'attacco"
"  The defenders were led by ","  I difensori sono stati guidati da "
", and the defenders were led by ","e i difensori erano guidati da "
" were hired "," sono stati assunti "
"as scouts ","come ricognitori "
"by the attackers.","dagli aggressori."
"  The defenders hired ","  I difensori hanno assunto "
" as scouts "," come ricognitori "
"the attack by ","l'attacco di "
", the forces of ",", le forze di "
" rampaged throughout "," infuriato attraverso "
"the rampage of the forces of ","la furia delle forze di "
" throughout "," in tutto "
" fled "," fuggito "
"the fleeing of ","la fuga di "
" searched "," cercato "
" and found nothing"," e non ha trovato nulla"
"the search of ","la ricerca di "
" by the forces of "," dalle forze di "
" slipped into "," scivolato in "
", undetected by ",", non rilevato da "
"the infiltration of ","l'infiltrazione di "
"the attack on ","l'attacco a "
" defeated "," sconfitto "
"the defeat of ","la sconfitta di "
" destruction of "," distruzione di "
"looted treasure and seized livestock from","saccheggiato il tesoro e sequestrato il bestiame da"
"stole treasure and livestock from","rubarono tesori e bestiame da"
"looted treasure from","saccheggiato tesori da"
"stole treasure from","rubato un tesoro"
"seized livestock from","sequestrato bestiame da"
"stole livestock from","rubato bestiame da"
"raided","assaltato"
"pillaged","saccheggiato"
"raiding of ","assalto di "
"pillaging of ","saccheggio di "
" freed "," liberato "
"the freeing of ","la liberazione di "
" and placed "," e posizionato "
"performing","esibendo"
" in charge of "," responsabile di "
"The new government was called ","Il nuovo governo fu chiamato "
" and lordship of "," e la signoria di "
" over "," oltre "
" demanded and received treasure from "," ha preteso e ricevuto un tesoro da "
" demanded treasure from "," ha preteso un tesoro da "
" tried to secure tribute from "," cercï di riscuotere un tributo da "
" secured tribute from "," ha riscosso un tributo da "
", to be delivered from ",", da consegnare da "
" every "," ogni "
", but they had nothing left to give",", ma non avevano pió nulla da dare"
"the failure to secure ","l'incapacitÖ di garantire "
"the securing of ","la messa in sicurezza di "
" Winter"," Inverno"
" Autumn"," Autunno"
" Summer"," Estate"
" Spring"," Primavera"
" tribute from "," tributo da "
" and took over "," e ha preso il controllo "
" and takeover of "," e la presa di potere di "
" declared "," dichiarato "
" to be a holy city"," per essere una cittÖ santa"
"the declaration that ","la dichiarazione che "
" is a holy city"," ä una cittÖ santa"
" surrendered "," ceduto "
"the surrender of ","la resa di "
" routed "," ha mandato in rotta "
" and destroyed "," e distrutto "
"the rout of ","la disfatta di "
" and destruction of "," e la distruzione di "
" spotted the forces of "," ha individuato le forze di "
" slipping out of "," scivolare fuori da "
"the detection of the forces of ","il rilevamento delle forze di "
" leaving "," lasciando "
"the attack of ","l'attacco di "
" abandoned the settlement of "," abbandonato l'insediamento di "
"their","loro"
" settlement of "," insediamento di "
" withered."," appassito."
"the abandonment of ","l'abbandono di "
"the withering of ","l'appassimento di "
" formed "," formato "
" formed"," formato"
" moved"," spostato"
" became the primary criminal organization"," ä diventata l'organizzazione criminale principale"
"a multitude of","una moltitudine di"
"hundreds","centinaia"
"some hundred","qualche centinaio"
"dozens of","dozzine di"
"several","diversi"
"a few","alcuni"
" the joining of "," l'unione di "
" fully incorporated into "," totalmente incorporato in "
" began operating at the direction of "," ha iniziato a operare sotto la direzione di "
" under the leadership of "," sotto la dirigenza di "
" at the settlement of "," all'insediamento di "
" regained their senses after an initial period of questionable judgment."," sono rinsaviti dopo un primo periodo di giudizio discutibile."
" regained their senses after another period of questionable judgment."," sono rinsaviti dopo un altro periodo di giudizio discutibile."
"the formation of ","la formazione di "
"relocation of","trasferimento di"
"ascendency of the criminal organization","l'ascesa dell'organizzazione criminale"
"the incorporation of ","l'incorporazione di "
"the subordination of ","la subordinazione di "
" into "," in "
"the return to reason at the settlement of ","il ritorno alla ragione in occasione dell'insediamento di "
" laid a series of oppressive edicts upon "," posto una serie di editti oppressivi su "
" lifted numerous oppressive laws from "," rilevato numerose leggi oppressive da "
" enacted a series of oppressive laws"," emanato una serie di leggi oppressive"
" repealed numerous oppressive laws"," ha abrogato numerose leggi oppressive"
"the proclamation of a series of oppressive edicts upon ","la proclamazione di una serie di editti oppressivi su "
"the lifting of numerous oppressive laws from ","l'abolizione di numerose leggi oppressive da "
"the enactment of a series of oppressive laws","la promulgazione di una serie di leggi oppressive"
"the repeal of numerous oppressive laws","l'abrogazione di numerose leggi oppressive"
" finished the construction of "," finito la costruzione di "
" as a part of "," come parte di "
" connecting "," connettendo "
"the completion of ","il completamento di "
" thrust a spire of slade up from the underworld, naming it "," spingi una guglia di slada dagli Inferi, dandole il nome di "
" rebuilt "," ricostruito "
" constructed "," costruito "
", and established a gateway between worlds","e ha stabilito una porta tra i mondi"
" replaced "," rimpiazzato "
" razed "," raso al suolo "
"asked about","chiesto di"
"viewed","visto"
" created "," creato "
"the creation of ","la creazione di "
"the construction of ","la costruzione di "
"the foundation of ","la fondazione di "
"the emergence of ","la comparsa di "
"the rebuilding of ","la ricostruzione di "
" from the underworld through the power of "," dagli inferi grazie al potere di "
"the replacement of ","la sostituzione di "
"the razing of ","la demolizione di "
"prayer inside","preghiera all'interno"
"disturbing","disturbando"
"profaning","profanando"
"inquiry after","inchiesta dopo"
"viewing of","visione di"
", an insurrection",", un'insurrezione"
" against"," contro"
"the insurrection","l'insurrezione"
"the local government","il governo locale"
" crushed the insurrection in "," schiacciï l'insurrezione in "
"the insurrection in ","l'insurrezione in "
" ended with the disappearance of the rebelling population"," si ä conclusa con la scomparsa della popolazione in rivolta"
" concluded with "," si ä concluso con "
" overthrown"," rovesciato"
"the crushing of the insurrection against ","la repressione dell'insurrezione contro "
"the end of the insurrection in ","la fine dell'insurrezione in "
"the overthrow of ","il rovesciamento di "
" were taken by a mood to act against their better judgment at "," sono stati travolti da uno stato d'animo che li ha portati ad agire contro il loro miglior giudizio a "
" launched an expedition to reclaim "," ha lanciato una spedizione per reclamare "
"the questionable judgment of ","il discutibile giudizio di "
"the reclamation of ","il recupero di "
" devoured "," divorato "
"the devouring of ","il divoramento di "
"burned out","bruciato"
"burned away","bruciato"
"torn off","lacerato"
"torn out","stracciato"
"ripped off","strappato via"
"stabbed out","pugnalato"
"slashed off","squarciato di netto"
"slashed out","squarciato"
"broken away","spezzato"
"ripped","strappato"
"stabbed","pugnalato"
"slashed","squarciato"
"smashed","distrutto"
"burning out","bruciato"
"burning away","mandato in fiamme"
"tearing off","lacerare di netto"
"tearing out","lacerare"
"ripping off","strappare"
"stabbing out","accoltellato"
"slashing off","squarciare di netto"
"slashing out","squarciare"
"ripping","strappando"
"stabbing","accoltellando"
"slashing","squarciare"
"smashing","distruggendo"
" were"," erano"
" the first to reach the summit of "," il primo a raggiungere la vetta di "
"an unknown peak","un picco sconosciuto"
", which rises above ",", che si eleva al di sopra di "
"the climbing of ","l'arrampicata di "
" escaped from "," fuggito da "
" made a journey to "," ha fatto un viaggio verso "
"the escape from ","la fuga da "
"the return of ","il ritorno di "
"the journey of ","il viaggio di "
" outmatched "," superato "
" with a cunning plan"," con un piano astuto"
" tactical planning was superior to "," pianificazione tattica era superiore a "
" outmanuevered "," vinto in abilitÖ "
"but","ma"
"and"," e "
" made an outright foolish plan"," fatto un piano assolutamente insensato"
" unrolled a brilliant tactical plan"," svolto un brillante piano tattico"
" made a poor plan"," fatto un piano scadente"
" put forth a sound plan"," proposto un piano solido"
" blundered terribly"," ha preso una cantonata"
" hatched a stunning strategy"," ha elaborato una strategia sorprendente"
" used poor tactics"," ha usato tattiche inadeguate"
" used good tactics"," ha usato buone tattiche"
"the forces were arrayed, and","le forze erano schierate e"
"the forces shifted, and","le forze si sono spostate e"
"the attackers had a strong positional advantage","gli attaccanti avevano un forte vantaggio posizionale"
"the attackers had a positional advantage","gli attaccanti avevano un vantaggio posizionale"
"the attackers had a slight positional advantage","gli attaccanti avevano un leggero vantaggio di posizione"
"the defenders had a strong positional advantage","i difensori avevano un forte vantaggio posizionale"
"the defenders had a positional advantage","i difensori avevano un vantaggio posizionale"
"the defenders had a slight positional advantage","i difensori avevano un leggero vantaggio posizionale"
"neither side had a positional advantage","nessuna delle due parti aveva un vantaggio posizionale"
"the tactical contest between ","la gara tattica tra "
"the tactics of ","le tattiche di "
"a tactical situation","una situazione tattica"
"brilliantly led","condotto brillantemente"
"inspiringly led","condotto motivatamente"
"ably led","condotto abilmente"
"led","condotto"
"poorly led","mal condotto"
" clashed with "," scontrato con "
"a lone ","un solitario "
"animated ","animato "
"slaying ","uccidendo "
"them","loro"
"dying","morendo"
"losing ","perdendo "
"everyone","tutti"
"the clash between ","lo scontro tra "
"performed horrible experiments","ha eseguito esperimenti orribili"
"caroused","fatto una bevuta"
"purchased ","acquistato "
"masterwork","capolavoro"
"exceptional","eccezionale"
"superior quality","qualitÖ superiore"
"finely-crafted","finemente realizzato"
"well-crafted","ben fatto"
" equipment"," equipaggiamento"
"the horrible experiments of","gli orribili esperimenti di"
"the carousal of","la bevuta di"
"the purchased of ","l'acquisto di "
" equipment by"," attrezzatura da"
" tamed the "," domato il "
"wild beasts","bestie selvatiche"
"the taming of the ","l'addomesticamento del "
" surprised "," sorpreso "
" ambushed "," imboscata "
" happened upon "," ä capitato su di  "
" cornered "," messo all'angolo "
" confronted "," affrontato "
" got into a brawl with "," ha scatenato una rissa con "
" fought with and subdued "," combattuto e sottomesso "
" eventually prevailed and "," alla fine ha prevalso e "
" was forced to make a hasty escape"," ä stato costretto a una fuga precipitosa"
" was forced to retreat from "," ä stato costretto a ritirarsi da "
" despite the latter's wounds"," nonostante le ferite di quest'ultimo"
" managed to escape from "," ä riuscito a fuggire da "
"'s onslaught","assalto violento"
" fought with "," combattuto con "
".  While defeated, the latter escaped unscathed",".  Quest'ultimo, pur essendo stato sconfitto, ä uscito indenne dal conflitto"
"attack on","attacco su"
"surprising of","presa alla sprovvista di"
"ambush of","agguato di"
"happening upon","accadere su"
"cornering of","intrappolamento di"
"confrontation of","confronto di"
"brawl with","rissa con"
"the subduing of ","la sottomissione di "
"the escape of ","la fuga di "
