"more presumptious","aanmatigender"
"is enormous yet skinny","is enormous maar mager"
"a word but you cannot read","een woord, maar je kunt het niet lezen"
"The chain is ","De ketting is "
"Miller","Molenaar"
" made "," gemaakt "
"turns","draait"
"the lithotomy surgery","de lithotomie"
"Tell a story about a person or creature","Vertel een verhaal over een persoon of wezen"
"I am so ashamed!","Ik schaam me zo!"
"has a long, thin body, thickened by muscle and fat","heeft een lang, smal lichaam, thickened by muscle en dik"
"Unnamed","Naamloos"
"being unnaturally ageless","onnatuurlijk leeftijdloos zijn"
"is very muscular and very short","is zeer gespierd en zeer kort"
"grabs","grijpt"
" be made "," gemaakt worden "
"clear","wissen"
" finely-crafted"," vakkundig vervaardigd"
"No butchery tool available.","Geen slachtgereedschap beschikbaar."
"State feelings, greatly expectant","Gevoelens uiten: zeer verwachtingsvol"
"flooding","overstroming"
"a murderous ghost","een moorddadige geest"
"What will you say about the end of the insurrection?","Wat wil je zeggen over het einde van de opstand?"
"I am overmastered by your presence!","Ik word overweldigd door jouw aanwezigheid!"
"Add new task","Nieuwe taak toevoegen"
"I feel so defeated...","Ik voel me zo verslagen..."
"Grouchy","Mopperig"
"Affects movement speed.","Be‹nvloedt bewegingssnelheid."
"Sorting plants...","Planten sorteren..."
"Content","Tevreden"
"created a masterful image set","maakte een meesterlijke afbeeldingsset"
" Clear find results "," Zoekresultaten wissen "
"Dodge away from charging opponents to avoid being knocked over.","Ontwijk weg van aanstormende tegenstanders om te voorkomen dat je omver wordt gelopen."
"Acknowledge lack of defeat","Gebrek aan nederlaag erkennen"
"Verbally struggle against great terror","Zich verbaal verzetten tegen grote terror"
"Hot","Heet"
"You do not have a free grasp and your pack is full.","Je hebt geen vrije greep en je rugzak is vol."
"Thirsty!","Dorstig!"
"You do not have any locations.","Je hebt geen locaties."
"Affects ability to remain standing when tired.","Be‹nvloedt het vermogen om te blijven staan wanneer je moe bent."
"Flattery","Vleierij"
" birth."," geboorte."
"empty ","leeg "
" anvils"," aambeelden"
"Seek Patient for Immobilize Break","Pati‰nt zoeken om breuk te immobiliseren"
"is tall, muscular and fat","is lang, gespierd en dik"
"thank","bedank"
"chamberlain","kamerheer"
"[C:6:0:0].Moderate burn","[C:6:0:0].Matig branden"
"Construction nearly done.","Bouw bijna klaar."
"overview","overzicht"
"Ice Track (EW)","IJsspoor (OW)"
"the whip","de zweep"
"Animals, Hunting Training","Dieren, jachttraining"
"Fishery","Visserij"
"State feelings of great apathy","Sterke apathie uiten"
"a well-known thug","een bekende schurk"
"being an agreement companion","een overeenkomstmetgezel zijn"
"Ice Upward Track (EW)","IJsspoor omhoog (OW)"
"This ","Dit "
"diplomacy, its forms and recommendations","diplomatie, vormen en aanbevelingen"
"Clay Zone","Klei Zone"
"Burning","Brandend"
" places"," plaatsen"
"Dizzy","Duizelig"
"Archery Target","Schietdoel"
"above.","boven."
"Faint","Flauw"
"artifact","artefact"
"arrived at location","aangekomen op locatie"
" a symbol of "," een symbool van "
"central","centraal"
"chemistry:classification:elemental theory","scheikunde:classificatie:elemententheorie"
"Acknowledge lack of dislike","Gebrek aan afkeer erkennen"
"Choke ","Wurg "
"Accept the position","De positie accepteren"
"No charge attack: target is climbing","Geen stormaanval: doelwit klimt"
"State that you weren't acquainted","Zeg dat je niet bekend was"
"This creature is a performer.","Dit wezen is een artiest."
"a series of variations","een aantal variaties"
"Spouse","Echtgenoot"
"after being away from great beasts","na weg te zijn geweest van grote beesten"
"climate zones","klimaatzones"
"is tall and incredibly skinny","is lang en ongelooflijk mager"
"a bedroom like a personal palace","een slaapkamer als een persoonlijk paleis"
"Alternatively, you can reduce the number of glacial squares and regions required by the parameters.","Als alternatief kun je het aantal gletsjervakken en -regio's dat door de parameters wordt vereist verlagen."
"has an active sense of humor","heeft een levendig gevoel voor humor"
"a melee weapon or technique","een slagwapen of techniek"
"Agree to comply with demand","Stem in met de eis"
"after not learning anything","na niets te hebben geleerd"
" (1 of 8)"," (1 van 8)"
"Certainly feared as a monster","Zeker gevreesd als monster"
"  Not that it matters, as the seat of ","  Niet dat het uitmaakt, want de zetel van "
"Double Caged Unit","Dubbel gekooide eenheid"
"Current top temple location:","Huidige hoogste tempellocatie:"
"rent","huur"
"I feel nostalgia.","Ik voel nostalgie."
"grain","graan"
"blows","blaast"
"State that you hate riddles","Zeg dat je raadsels haat"
"doesn't care about art one way or another","geeft op de ene of andere manier niet om kunst"
"Saving squads...","Squads opslaan..."
"a skilled storyteller","een vaardige verhalenverteller"
"Emotions","Emoties"
"boiling lye","kokende loog"
"more angry","bozer"
"Overall, the poetry is inspired","Al met al is de po‰zie ge‹nspireerd"
"Genius","Genie"
"State opinion that it was inevitable","Geef als mening dat het onvermijdelijk was"
"chameleon","kameleon"
" the story in vivid detail."," het verhaal met levendige details."
"the end of the claim of","het einde van de aanspraak van"
" my own "," mijn eigen "
"I had a nightmare about my deceased pet.","Ik had een nachtmerrie over mijn overleden huisdier."
"a corruption conspiracy","een corruptiesamenzwering"
"Grassy Upward Slope","Grasachtig Omhoog Helling"
"a previous battle","een eerdere veldslag"
"Division","Deling"
"it","het"
"Poetry Recital","Po‰zievoordracht"
"home","thuis"
"Former ","Voormalig "
"The guildhall petition for ","Het gildehalverzoek voor "
"added masterful coloration","voegde meesterlijke kleuring toe"
" agreed to establish "," stemde in met het stichten van "
"has different readings depending on word breaks","heeft verschillende lezingen afhankelijk van woordafbrekingen"
"Fail the struggle against great dismay","Verlies de strijd tegen grote ontzetting"
"rumored murderer","vermeende moordenaar"
"N/A","N.v.t."
"Disdains romance","Minacht romantiek"
"being tormented in nightmares by a dead spouse","in nachtmerries gekweld worden door een overleden echtgenoot"
"contempt","minachting"
" centered around the worship of various beings"," gecentreerd rond de aanbidding van verschillende wezens"
"Evil","Kwaadaardig"
"a lousy intellect","een beroerd intellect"
" (no climbing/jumping)"," (niet klimmen/springen)"
"Acknowledge lack of admiration","Gebrek aan bewondering erkennen"
"the method of forming precise models for the paths of astronomical objects","de methode om nauwkeurige modellen te maken voor de banen van hemellichamen"
"pasture (0,255,0)","weide (0,255,0)"
"Fail the struggle against existential crisis","Verlies de strijd tegen existenti‰le crisis"
" Downward Track (NEW)"," Spoor omlaag (NOW)"
"Alert","Waarschuwing"
"'s bored","s verveeld"
"No","Nee"
"vibrating","trillend"
"what","wat"
"You have nothing left to drop.","Je hebt niets meer om te laten vallen."
"astronomy:tides and the moon","astronomie:getijden en de maan"
"Ash","As"
"Alternatively, you can reduce the number of tundra squares and regions required by the parameters.","Als alternatief kun je het aantal toendravakken en -regio's dat door de parameters wordt vereist verlagen."
"after spending time with people","na tijd met mensen te hebben doorgebracht"
"chain","ketting"
"historian","historicus"
"held by ","vastgehouden door "
" Casket"," Grafkist"
"values sacrifice","waardeert opoffering"
"dreams of creating a great work of art","droomt ervan een groot kunstwerk te maken"
"after the death of ","na de dood van "
"Make potash from lye","Potas maken uit loog"
" does not mind being outdoors, at least for a time.  "," vindt het niet erg om buiten te zijn, althans een tijdje.  "
"is gigantic yet incredibly weak","is gigantisch maar ongelooflijk zwak"
"is skinny and very small","is mager en zeer small"
"Beware their ","Pas op voor hun "
"Fourth","Vierde"
" drowned "," verdronken "
"in need of drink and sleep","heeft drinken en slaap nodig"
"conducting a meeting in ","een vergadering houden in "
"I talked to somebody.","Ik praatte met iemand."
"population in the hundreds of thousands","bevolking in de honderdduizenden"
"Group/","Groep/"
"Acknowledge lack of tenderness","Gebrek aan tederheid erkennen"
"State minor feeling of caring","Licht gevoel van zorgzaamheid uiten"
"astronomy:shape of the world","astronomie:vorm van de wereld"
" agreed to a parley with "," stemde in met overleg met "
" even more sick!"," nog zieker!"
"be with master","met meester zijn"
"has a very monotonous way of speaking","heeft een zeer monotone manier van spreken"
" doesn't belong here."," hoort hier niet thuis."
"Citizens trigger","Burgers activeren"
"creating an artifact","een artefact maken"
"discourse on social welfare","verhandeling over sociaal welzijn"
"criminal","crimineel"
"Savagery","Wildheid"
"Striking","Slaan"
"pearl","parel"
"bring melody and counterpoint","melodie en contrapunt brengen"
"bring torture to the world","marteling naar de wereld brengen"
"occupations","beroepen"
"coati","neusbeer"
"a road","een weg"
"I am afraid of it.","Ik ben er bang voor."
"Bandit grabs item","Bandiet grijpt voorwerp"
"[C:7:0:1].Sensory nerve severed","[C:7:0:1].Sensorische zenuw doorgesneden"
"Alternatively, you can reduce the number of high, medium or low volcanism squares required.","Je kunt ook het vereiste aantal vakken met hoge, gemiddelde of lage vulkanische activiteit verlagen."
"made peace with","sloot vrede met"
"This is confusing.","Dit is verwarrend."
"State feelings of elation","Opgetogenheid uiten"
"circles","cirkels"
"[C:6:0:0].Moderate freezing","[C:6:0:0].Matige bevriezing"
" by the dead"," door de doden"
" left "," links "
"known enemy","bekende vijand"
"Burrow ","Gebied "
"Use Name Seed","Naamseed gebruiken"
"Business rival","Zakelijke rivaal"
"Tribute/","Schatting/"
"population gone","bevolking verdwenen"
"sensual","zinnelijk"
"Seek Update Office","Kantoorupdate zoeken"
"day","dag"
"Open the justice menu.","Open het justitiemenu."
"from","van"
"long ","lang "
"left","links"
"Tropical Freshwater Pool","Tropisch Zoetwater Poel"
"hare","haas"
"famous training partner","beroemde trainingspartner"
"Dismiss minor feeling of rage","Licht gevoel van woede wegwuiven"
"Sanctuary petitions: prompt","Toevluchtverzoeken: vragen"
"Saving activities...","Activiteiten opslaan..."
"State feelings, expectant","Gevoelens uiten: verwachtingsvol"
"Aroused","Opgewonden"
"dripping","druipend"
"doyenne","deken"
"is tall and belarded by great hanging sacks of fat","is lang en belarded by great hanging sacks of dik"
"defeated hf","versloeg historische figuur"
" a thieving scoundrel."," een stelende schurk."
"displeased","ontevreden"
"Pleasure","Plezier"
"chin","kin"
"a gated courtyard","een ommuurde binnenplaats"
"pearlash","potas"
"Arena: Fluids, snow","Arena: Vloeistoffen, sneeuw"
"medicine:method:physical examination","geneeskunde:methode:lichamelijk onderzoek"
"a castle tower","een kasteeltoren"
" are not fit to rule."," zijn niet geschikt om te regeren."
"bodily fluids","lichaamsvloeistoffen"
"overall trade sentiments are tenuous at best.","de algemene handelsstemming is op zijn best wankel."
"Wind Instrument","Blaas Instrument"
"No bucket at well","Geen emmer bij put"
"Artifact Theft","Artefactdiefstal"
"Values cunning","Waardeert sluwheid"
"legendary dancer","legendarische danser"
"Forest","Bos"
"children that have been kidnapped.","kinderen die zijn ontvoerd."
"alderperson","schepen"
"Zones can be added using the zone menu at the bottom of the screen.","Zones kunnen worden toegevoegd via het zonemenu onderaan het scherm."
"Cages, ropes, and animal traps are found here.  Cages can be used in cage traps or to transport large animals.  Metal cages and chains are also used by the justice system.","Kooien, touwen en dierenvallen vind je hier. Kooien kunnen worden gebruikt in kooivallen of om grote dieren te vervoeren. Metalen kooien en kettingen worden ook door het rechtssysteem gebruikt."
"About DF","Over DF"
"population of well over one hundred thousand","bevolking van ruim honderdduizend"
"bell","bel"
"discarding","weggooien"
"Food ","Voedsel "
" Axle"," As"
"Move keyboard cursor down and left, fast","Toetsenbordcursor omlaag en links, snel verplaatsen"
" caught in a cloud of "," gevangen in een wolk van "
"Building present","Gebouw aanwezig"
"Anatomy","Anatomie"
"Annoyed","Ge‰rgerd"
"Trusting","Vertrouwend"
"vial","flesje"
"Animal Caretaking","Dierenverzorging"
"did well","deed het goed"
"Your fate is sealed.","Je lot is bezegeld."
"Somebody","Iemand"
" became lovers"," werd geliefden"
"Make ash","As maken"
"naturalist:observation:diseases","natuuronderzoek:observatie:ziekten"
"I am so nearly swayed by your greatness alone that we can simply assign you the victory!","Ik word bijna alleen al door jouw grootsheid overtuigd, zodat we je de overwinning gewoon kunnen toekennen!"
"Stubborn","Koppig"
"alloys","legeringen"
"'s absence from ","s afwezigheid bij "
"Dismounting","Afstijgen"
"precise","precies"
"look","kijken"
"State minor feeling of annoyance","Licht gevoel van ergernis uiten"
"boulders","rotsblokken"
"mirrored","gespiegeld"
"Diplomat left unhappy","Diplomaat vertrok ongelukkig"
"I don't understand how somebody can become so obsessed by what somebody else has.","Ik begrijp niet hoe iemand zo geobsedeerd kan raken door wat een ander heeft."
"I am so enraged!","Ik ben zo woedend!"
" to the west"," naar het westen"
"This is the squad menu. ","Dit is het eskadronmenu. "
"Temperate Freshwater River","Gematigd Zoetwater Rivier"
"cataract surgery","staaroperatie"
" Spring"," Lente"
"inevitable","onvermijdelijk"
", and the defenders were led by ",", en de verdedigers werden geleid door "
"Unnamed ","Naamloze "
"I am not filled with delight.","Ik ben niet vervuld van vreugde."
" be returned to my family."," aan mijn familie worden teruggegeven."
"creation","schepping"
", fitted with free reeds.  ",", voorzien van vrije tongen.  "
"Hide advanced options.","Geavanceerde opties verbergen."
"Ask the listener for the location of ","Vraag de luisteraar naar de locatie van "
"I am not filled with loathing.","Ik ben niet vervuld van afkeer."
"ghost","geest"
"philosophy:metaphysics:wholes and parts","filosofie:metafysica:gehelen en delen"
"cracks easily under pressure","bezwijkt gemakkelijk onder druk"
"Specify ","Specificeer "
"Game","Spel"
"food storage","voedselopslag"
"So exasperating!","Zo ergerlijk!"
"Acknowledge lack of guilt","Gebrek aan guilt erkennen"
"a relative of the author","een familielid van de auteur"
"Current temple location:","Huidige tempellocatie:"
" roll"," rollen"
"fish dissector","vis Ontleder"
"Acknowledge lack of ambivalence","Gebrek aan ambivalentie erkennen"
"made","gemaakt"
"State feelings of lust","Lust uiten"
"more vain","ijdeler"
"sunset","zonsondergang"
"my father","mijn vader"
"come","kom"
"and refused","en weigerde"
"rooms","kamers"
"Prepare for the journey carefully","Bereid de reis zorgvuldig voor"
"Disdains cooperation","Minacht samenwerking"
"Organize ","Organiseren "
"Year ","Jaar "
"Disabled","Uitgeschakeld"
"a great storyteller","een grote verteller"
"Ready","Gereed"
"business","zaken"
"being unable to practice a craft for too long","te lang geen ambacht kunnen oefenen"
"the end of the insurrection in ","het einde van de opstand in "
"compassionate","meelevend"
"Toggle the visibility of the item.  Hidden items cannot be seen but citizens will still use them.","Schakel de zichtbaarheid van het voorwerp om. Verborgen voorwerpen zijn niet zichtbaar, maar burgers zullen ze nog wel gebruiken."
"State feelings of isolation","Isolation uiten"
"Lash","Zweepslag"
"as ","als "
"Acknowledge lack of restlessness","Gebrek aan rusteloosheid erkennen"
"You do not have a free grasp and your quiver and packs are full.","Je hebt geen vrije greep en je pijlkoker en rugzakken zijn vol."
"No relevant skills","Geen relevante vaardigheden"
"Altruistic","Altru‹stisch"
", but the attack is deflected by ",", maar de aanval wordt afgeweerd door "
"medium precision","middelmatige precisie"
"Move keyboard cursor down and right","Toetsenbordcursor omlaag en rechts verplaatsen"
"the construction and use of the alembic","de bouw en het gebruik van alambiek"
"Ask listener to join you and be rescued","Vraag de luisteraar zich bij je aan te sluiten en gered te worden"
"There will be no reward.","Er zal geen beloning zijn."
"brave","dapper"
", Inherited",", Ge‰rfd"
"being beaten with a hammer","met een hamer geslagen worden"
"Number of key repeats before accelerating","Aantal toetsherhalingen v¢¢r versnelling"
"Claim cages from sprung traps","Kooien uit afgegane vallen opeisen"
"flood","overstroming"
"The rest of the vomit disappears into the water.","De rest van het braaksel verdwijnt in het water."
"Throwing","Gooien"
" facial expression"," gezichtsuitdrukking"
"a child","een kind"
"No macros created.","Geen macro's gemaakt."
"blistered","geblakerd"
"comparative biography","vergelijkende biografie"
"brewing trouble with our neighbors","problemen brouwen met onze buren"
"more temperate","gematigder"
"a bribery conspiracy","een omkopingssamenzwering"
"The story continues.","Het verhaal gaat verder."
"This creature is pleased right now.","Dit wezen is momenteel tevreden."
"the end of the former enslavement of","het einde van de voormalige slavernij van"
"I don't really get attached to people.","Ik raak niet echt aan mensen gehecht."
"tiny ","piepklein "
"Choose symbols for the position holder to carry or wear.","Kies symbolen die de positiehouder draagt of aantrekt."
"writing","schrijven"
"a great musical sense","een geweldig muzikaal gevoel"
"added to a grisly mound","toegevoegd aan een gruwelijke hoop"
"Announce some job cancellations","Sommige taakannuleringen aankondigen"
" Animal Trap"," Dierenval"
"Begone fear!","Weg met angst!"
"I feel jubilation.","Ik voel gejubel."
"Click an icon to add a new zone.","Klik op een pictogram om een nieuwe zone toe te voegen."
" challenged "," daagde uit "
"Saw ","Zaag "
"Saving occupations...","Beroepen opslaan..."
"There are no merchants trading right now.","Er handelen momenteel geen kooplieden."
"(Combat) Wounds","(Gevecht) Wonden"
"Codices, scrolls, etc.","Codices, rollen, enz."
" well-crafted"," goed gemaakt"
"No Ingredients","Geen ingredi‰nten"
"What would you like to do?","Wat wil je doen?"
"Dead Grass Downward Slope","Dood Gras Omlaag Helling"
"is long and muscular","is lang en gespierd"
"discourse on the value of art","verhandeling over de waarde van kunst"
"Acknowledge lack of disillusionment","Gebrek aan disillusionment erkennen"
"Battering Ram Position","Positie stormram"
"Pumps from the west","Pompt vanuit het westen"
"brazenly lie","brutaal liegen"
"cottage plot (30,100,10)","hutperceel (30,100,10)"
"I'm very irritated by this.","Ik ben hierdoor erg ge‹rriteerd."
"wonder","verwondering"
"a secretive poltergeist","een geheimzinnige klopgeest"
"donkey","ezel"
"Gems","Edelstenen"
"fluid","vloeistof"
"gem ","edelsteen "
"Unknown creature[R]","Onbekend wezen[R]"
"Construct workshop","Werkplaats bouwen"
"Please guide me to myself.","Breng me alsjeblieft naar mezelf."
"Disdains sacrifice","Minacht opoffering"
"I'm dehydrated.","Ik ben uitgedroogd."
"I'm just out for a stroll.","Ik ben gewoon een wandeling aan het maken."
"light ","licht "
"boil","kook"
"'s","s"
"Dance Competition","Danswedstrijd"
"counterintelligence","contraspionage"
"is very thin and weak","is zeer dun en zwak"
"dye","kleurstof"
"[C:6:0:1].Bruised ligament","[C:6:0:1].Gekneusde gewrichtsband"
"thin-irised","met dunne iris"
"Arena: Fluids","Arena: Vloeistoffen"
"doesn't particularly respect sacrifice as a virtue","respecteert opoffering als deugd niet bijzonder"
"Minimum Volcano Number","Minimumaantal vulkanen"
" finds this can conflict with "," vindt dat dit kan botsen met "
"Greedy","Hebzuchtig"
"is skinny but with a very large body overall","is mager but met a zeer groot body overall"
"tiny","piepklein"
" ammo"," munitie"
" collide"," botsen"
"exposition","expositie"
".  Can I perform with you?",". Mag ik met je optreden?"
" Downward Track (NSEW)"," Spoor omlaag (NZOW)"
"being attacked by the dead","aangevallen worden door de doden"
"Loading formations...","Formaties laden..."
"A migrant has decided to brave this terrifying unhappy place.","Een migrant heeft besloten deze angstaanjagende, ongelukkige plek te trotseren."
"'s squad","s eskadron"
"[C:6:0:0].Minor boiling","[C:6:0:0].Licht koken"
"Wrathful","Toornig"
" ore"," erts"
"curly","krullend"
"Make any good deals lately?","Nog goede deals gesloten de laatste tijd?"
"Awe-inspiring...","Ontzagwekkend..."
"Change the weather, temperature, and time.","Wijzig het weer, de temperatuur en de tijd."
"Silk","Zijde"
"Your adventure has come to an end.","Je avontuur is ten einde gekomen."
"lair","hol"
"Build temple","Tempel bouwen"
"Empathy","Empathie"
" a chokehold on "," een wurggreep op "
"been scuttled.","vernietigd."
"Acknowledge lack of expectancy","Gebrek aan verwachting erkennen"
"Verbally struggle against great doubt","Zich verbaal verzetten tegen grote twijfel"
"Come see me in the market sometime.","Kom me eens op de markt opzoeken."
"Don't walk off with anything.","Neem niets zomaar mee."
"worker","werker"
"Create which squad?","Welk squad maken?"
"I was beaten as a punishment.","Ik werd als straf geslagen."
"Tame","Tam"
"as the goal was not reached","omdat het doel niet werd bereikt"
"a good dining room","een goede eetzaal"
"Approve","Goedkeuren"
"Government","Bestuur"
"State feelings of great excitement","Sterke opwinding uiten"
"Invader death aversion (nine deaths)","Afkeer van indringersterfte (negen doden)"
"Number of lower elevation layers to show","Aantal lagere hoogtelagen om te tonen"
" admire the object."," het voorwerp bewonderen."
"Embrace","Omhelzing"
"massive-chin","massieve kin"
"legendary enemy","legendarische vijand"
"Seek Patient for Suturing","Pati‰nt zoeken om te hechten"
"Bars/blocks","Staven/blokken"
"Action or relationship","Actie of relatie"
"has a greedy streak","heeft een hebzuchtige trek"
"I had a nightmare about my deceased lover.","Ik had een nachtmerrie over mijn overleden geliefde."
"Stone Furniture","Steen Meubels"
"religion prayer in incorrect temple","religieus gebed in verkeerde tempel"
"Temple complex","Tempelcomplex"
"mathematics:algebra:solving higher order polynomials","wiskunde:algebra:hogeregraads polynomen oplossen"
"State minor feeling of embarrassment","Licht gevoel van schaamte uiten"
"attached a masterful instrument piece","bevestigde een meesterlijk instrumentonderdeel"
"Seed","Zaad"
"I'm embarrassed.","Ik schaam me."
"changed ","gewijzigd "
"Coins ","Munten "
"feeling defeated","gevoel van verslagenheid"
"a terminal caesura","een eind-caesuur"
"Can Say","Kan zeggen"
"bedrooms.","slaapkamers."
"A migrant has arrived at this unhappy place.","Een migrant is aangekomen op deze ongelukkige plek."
"Seek Animal for Unchain","Dier zoeken om los te ketenen"
"Track (NEW)","Spoor (NOW)"
"Would you like to overwrite it?","Wil je dit overschrijven?"
"belief in cooperation","geloof in samenwerking"
"after being unable to make merry","na geen plezier te kunnen maken"
"Saving effects...","Effecten opslaan..."
"Butcher and craft","Slachten en maken"
"an unknown place","een onbekende plaats"
" due to persecution"," wegens vervolging"
"South","Zuid"
"feeling","gevoel"
"ardent ","vurig "
"Uhh...","Ehh..."
"began.","begon."
"Performance/","Uitvoering/"
"No witnesses.","Geen getuigen."
" kill"," doden"
"Change the subject (new menu)","Onderwerp wijzigen (nieuw menu)"
"geography:cartography:accurate maps","geografie:cartografie:nauwkeurige kaarten"
"Brook: ","Beek: "
"lakes","meren"
"serve ","dienen "
" has finished performing."," zijn klaar met de uitvoering."
"There","Daar"
"Dance form","Dansvorm"
"""Ungrateful apostate!""","""Ondankbare afvallige!"""
"an unwillingness to accept death","een onwil om de dood te accepteren"
" a light"," een lichte"
"Fishermen","Vissers"
"bashful","verlegen"
"dejection","neerslachtigheid"
"legendary","legendarisch"
" pets"," huisdieren"
"Current guildhall location:","Huidige gildehalllocatie:"
"rope","touw"
"because the group travelled too slowly","omdat de groep te langzaam reisde"
"Make the activation of the work order depend on the status of another work order.","Laat de activering van de werkopdracht afhangen van de status van een andere werkopdracht."
"I have no feelings of rage.","Ik voel geen woede."
"Glacier","Gletsjer"
"Roll","Rollen"
"being too proud to give in to death","te trots zijn om aan de dood toe te geven"
"Acknowledge lack of astonishment","Gebrek aan verbijstering erkennen"
" speak"," spreken"
"Crankshafts","Krukassen"
"is very long and skinny","is zeer lang en mager"
"[C:5:0:1].Advanced rot","[C:5:0:1].Vergevorderde rot"
"allegory","allegorie"
"dormitory (50,75,75)","slaapzaal (50,75,75)"
"finds those that develop skill with weapons and fighting distasteful","vindt mensen die vaardigheid met wapens en vechten ontwikkelen weerzinwekkend"
"Y Dimension","Y-dimensie"
"Plots","Complotten"
"out of","uit"
"being unable to practice a skill for too long","te lang geen vaardigheid kunnen oefenen"
" an enemy."," een vijand."
"melted","gesmolten"
"artistic","artistiek"
"expectancy","verwachting"
"I am so content about this.","Ik ben hier zo tevreden over."
"Citizen becomes soldier","Burger wordt soldaat"
"been found dead, frozen.","dood gevonden, bevroren."
" cabinets"," kasten"
"a hillock","een heuvelgehucht"
"has a low sense of self-esteem","heeft een laag zelfbeeld"
"Very Large Profile","Zeer Groot Profiel"
"You are too injured to jump.","Je bent te gewond om te springen."
"Seek Surgery Site","Zoek chirurgie Locatie"
"constables","veldwachters"
"barons","baronnen"
" after an attack by "," na een aanval door "
"Ice","IJs"
"  The plan failed.","  Het plan mislukte."
"preacher","prediker"
"Cloth (silk)","Doek (zijde)"
"added masterful bands","voegde meesterlijke banden toe"
"What will you say about the peace agreement?","Wat wil je zeggen over de vredesovereenkomst?"
"Grass","Gras"
"stopped being the master of","niet langer de meester van"
"after being away from friends","na weg te zijn geweest van vrienden"
"I was re-elected.","Ik werd herkozen."
"I feel so much loathing...","Ik voel zoveel afkeer..."
"Acknowledge lack of doubt","Gebrek aan twijfel erkennen"
" Chest"," Kist"
"bring war to the world","oorlog naar de wereld brengen"
"thirst","dorst"
"Demand surrender","Overgave eisen"
"I have a new sibling.","Ik heb een nieuwe broer of zus."
"Chained Prisoner","Geketende gevangene"
" after "," na "
"having an intellectual discussion with a friend","een intellectueel gesprek hebben met een vriend"
"niece","nicht"
"being yelled at by an unhappy citizen","uitgescholden worden door een ongelukkige burger"
"Select this option and any unassigned deceased citizens will be buried here automatically.","Selecteer deze optie en alle niet-toegewezen overleden burgers worden hier automatisch begraven."
"Loading squads...","Squads laden..."
"feeling enjoyment","gevoel van plezier"
"mathematics:geometry:surface area of sphere","wiskunde:meetkunde:oppervlakte van een bol"
"Exhausted","Uitgeput"
", or given to one of us",", of aan een van ons gegeven"
"talking with father","praten met vader"
"I talked to my spouse.","Ik praatte met mijn echtgenoot."
" arrangements"," regelingen"
"geography:surveying:basic","geografie:landmeten:basis"
"lies","leugens"
"Distressed!","Ontsteld!"
"extremely dense","extreem dicht"
"a sadistic ghost","een sadistische geest"
"is fat and very broad","is dik en zeer breed"
"Use the arrow at the top of this window to minimize the tutorial when it obscures your view. ","Gebruik de pijl bovenaan dit venster om de tutorial te minimaliseren wanneer hij je zicht blokkeert. "
"Cannot communicate","Kan niet communiceren"
"Saving formations...","Formaties opslaan..."
"I'm going out to the tavern.","Ik ga naar de taveerne."
"soot","roet"
"clear glass ","helder glas "
"Demand","Eis"
"Romance","Romantiek"
"metonymy","metonymie"
", authored by ",", geschreven door "
"Values independence","Waardeert onafhankelijkheid"
"Assemble ","Assembleren "
"Floor","Vloer"
"Seek Vermin Hunting Spot","Jachtplek voor ongedierte zoeken"
"No available item.","Geen beschikbaar voorwerp."
"I had a nightmare about my deceased child.","Ik had een nachtmerrie over mijn overleden kind."
" cage"," kooi"
" left"," links"
"Make ","Maken "
"Are you sure you want to delete this active world?","Weet je zeker dat je deze actieve wereld wilt verwijderen?"
"Watch Dance","Naar de dans kijken"
"This is done by building a [C:6:0:0]Still[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Still[C:7:0:0]. ","Dit doe je door een [C:6:0:0]Stokerij[C:7:0:0] te bouwen via het menu [C:5:0:1]Bouwen[C:7:0:0] met [C:5:0:1]Werkplaatsen[C:7:0:0] -> [C:5:0:1]Landbouw[C:7:0:0] -> [C:5:0:1]Stokerij[C:7:0:0]. "
" being flayed"," gevild worden"
"Workers gather wood","Werkers verzamelen hout"
"somewhat high","enigszins hoog"
"Click to set this task to repeat indefinitely.","Klik om deze taak eindeloos te laten herhalen."
"I had no room for an official meeting.","Ik had geen ruimte voor een offici‰le vergadering."
" on the second theme"," op het tweede thema"
"creativity","creativiteit"
"Announce your night creature status","Je status als nachtwezen aankondigen"
" aborted"," afgebroken"
"Creature stuck","Wezen vastgelopen"
" to a "," naar een "
"cooking ","koken "
"Alternatively, you can reduce the number of high, medium or low savagery squares required.","Je kunt ook het vereiste aantal vakken met hoge, gemiddelde of lage wildheid verlagen."
"blood drained","bloed afgetapt"
"a vague agreement","een vage overeenkomst"
"Beliefs","Overtuigingen"
"Hotkeys","Sneltoetsen"
"eager","gretig"
"State feelings of great pleasure","Sterke plezier uiten"
"** Starting New Arena **","** Nieuwe arena starten **"
"Minimum Number of High-Volcanism Squares","Minimumaantal vakken met hoog vulkanisme"
"floodgate","sluis"
"(Adventure) Sleep interrupted","(Avontuur) Slaap onderbroken"
"the construction and use of double-acting piston bellows","de bouw en het gebruik van dubbelwerkende zuigerbalg"
"I don't think I'm cut out for this.","Ik denk niet dat ik hiervoor geschikt ben."
"basically unbreakable","vrijwel onbreekbaar"
" began in "," begon in "
"engineering:machine:theory of screw","techniek:machine:theorie van de schroef"
"along an intricate path","langs een ingewikkeld pad"
