"more presumptious","anmaáender"
"Acknowledge lack of hope","Fehlen von Hoffnung anerkennen"
"I drank foul water.","Ich habe faules Wasser getrunken."
"discussing a friend's problems","die Probleme eines Freundes besprechen"
"Tropical Freshwater River","tropischer Fluss"
"the possession of","den Besitz von"
"sleeping","Schlaf"
"crystal glass ","Kristallglas "
"self-control","Selbstbeherrschung"
"the exposition","die Ausstellung"
"drinking ichor","Trinken eitriges sekret"
"Work orders","Auftr„ge    "
"leaps","springen"
"is muscular and fat yet has a very small overall build","ist muskul”s und fett, hat jedoch eine sehr kleinen K”rperbau"
"beauty","Sch”nheit"
"father ","Vater "
"I admire how brilliant you are!","Ich bewundere, wie brillant Sie sind!"
" Destroyed"," Zerst”rt"
"friendship","Freundschaft"
"I feel some delight.","Ich fhle eine gewisse Freude."
" were hired "," angestellt wurden "
" formed"," gebildet"
"nervousness","Nervosit„t"
"being caught sneaking","beim Herumschleichen erwischt werdend"
"[C:4:0:1].Bleeding","[C:4:0:1].Blutungen"
"State minor feeling of frustration","Geringes Gefhl der Frustration angeben"
"Cannot climb","Kann nicht klettern"
"You have no agreements with this land.","Sie haben keine Vereinbarungen mit diesem Land."
"Ashes","Asche"
"Affects stamina recover, ability to remain standing when tired, and breath.","Beeinflusst Ausdauererholung, die F„higkeit Mdigkeit zu trotzen und Atem."
"Proud","Stolz"
"Gem window","Edelstein-Fenster"
" escalated a conflict with "," eskalierte einen Konflikt mit "
"  The alliance has outlived its usefulness.","  Das Bndnis hat seinen Nutzen berlebt."
"making suggestions about work allocations","Vorschl„ge zur Arbeitsaufteilung machen"
"You are surrounded by incessant cackling.","Du bist von unaufh”rlichem Knistern umgeben."
"existential crisis","existenzielle Krise "
"Seat","Sitz"
"You bash the door down!","Du schl„gst die Tr ein!"
"Play ","Spielen "
"An honor as always.  How can I be of service?","Wie immer eine Ehre. Wie kann ich dir zu Diensten sein?"
"Stone-fall","Stein-Falle"
"is incredibly skinny with a small build","ist unglaublich dnn mit einem kleinen K”rperbau"
"Spoils Report: ","Beute Bericht: "
" Occasion of "," Anl„sslich der "
"Residency Agreement","Aufenthaltsvereinbarung"
"Impatiently say goodbye","Ungeduldig auf Wiedersehen sagen"
"[C:6:0:1]Ability to stand lost","[C:6:0:1]Die F„higkeit, verloren zu gehen"
" descended upon the place."," herab auf den Platz."
"Please let me shelter here for the night.","Bitte gebt mir hier einen Unterschlupf fr die Nacht."
"an astonishing knack for music","eine erstaunliche Begabung fr Musik"
" caste(s)"," Kaste(n)"
"the failed attempt by ","der gescheiterte Versuch von "
" accepted a peace offer from "," akzeptiert ein Friedensangebot von "
"cancel","Abbrechen"
"That's nothing to be bitter about.","Das ist kein Grund, verbittert zu sein."
"Accuse listener of being a night creature","Den Zuh”rer beschuldigen, ein Nachtgesch”pf zu sein"
"now know a few facts about ","kennen nun einige Fakten ber "
"a talented hunter","ein begabter J„ger"
"Graze","Schramme"
"presser","Drucker"
"melodic minor","melodisches Moll"
" sent me to engage "," schickte mich zu verpflichten "
": Toggle line",": Linie umschalten"
"Structure (remembered)","Struktur (erinnert)"
"Set worship","Anbetung festlegen"
"Memory","Ged„chtniss"
"Pillage","Plnderung"
"I recited ","Ich rezitiere "
"The head of the family is ","Das Familienoberhaupt ist "
"with some","mit etwas"
"Legendary fighter","Legend„rer K„mpfer"
"pressed filth","gepresster Dreck"
"Passing acquaintance","Eine flchtige Bekanntschaft"
"prior aggression by the adversary","vorherige Aggression des Gegners"
"mathematics:algebra:quadratic by completing square","mathematik:algebra:quadratisch durch Vervollst„ndigung des Quadrats"
"Really.","Wirklich."
"is constantly ablaze with feelings of lust","st„ndig von Gefhlen der Lust erfllt ist"
"is gripped by a crippling shyness","von einer l„hmenden Schchternheit gepackt wird"
"The insurrection","Der Aufruhr"
"A kidnapper has made off with ","Ein Kidnapper hat sich mit "
"company","Unternehmen"
"[C:7:0:1]Drink[C:7:0:0]","[C:7:0:1]Trink[C:7:0:0]"
"I have been drinking the same old booze.","Der Schnaps h„ngt mir zum Halse heraus."
"pressed coal","gepresste Kohle"
"optimism","Optimismus"
" Veg/Fruit/Leaves"," Gemse/Obst/Bl„tter"
"The Occasion","Der Anlass"
" generally speaks very slowly"," spricht im Allgemeinen sehr langsam"
"Of course.","Natrlich."
" move"," bewegen"
"State minor feeling of loneliness","Geringes Gefhl der Einsamkeit angeben"
"Name the squad","Namen der Truppe"
"the Proof","der Nachweis"
" has assumed the position of "," hat die Position des "
"Rent room for ","Zimmer mieten fr "
".  They reported irregularities with their goods",".  Sie meldeten Unregelm„áigkeiten bei ihren Produkten."
"terror from the evil depths","Terror aus den b”sen Tiefen"
"after being with friends","nach dem Zusammensein mit Freunden"
"rumor","Gercht"
"The musician blows into the fipple at the end of each pipe","Der Musiker bl„st in den Fippel am Ende jeder Pfeife"
"extremely sparse","extrem sp„rlich"
"tearing off","abreiáend"
"raccoon","Waschb„r"
", a competent commander","ein f„higer Kommandant"
" energetic"," energetisch"
"Easier","Einfacher"
"Setting temperature...","Regulierung der Temperatur..."
"the replacement of ","den Ersatz von "
" in the melody and counterpoint"," in der Melodie und im Kontrabass"
"leapt from a great height","sprang aus groáer H”he"
"has a broad body with almost no fat on it","hat einen breiten K”rper, der fast kein Fett aufweist"
" true name.  The location of this place is well-known, but none have penetrated its secrets.  If the true name of the monster can be uncovered, you might be able to end this terror forever."," wahrer Name. Der Standort dieses Ortes ist bekannt, aber niemand ist in seine Geheimnisse eingedrungen. Wenn es gelingt, den wahren Namen des Ungeheuers herauszufinden, kannst du diesen Schrecken vielleicht fr immer beenden."
"Skill 1","F„higkeit 1"
"Workers ignore furniture","Arbeiter ignorieren M”bel"
"No messengers available","Keine Boten verfgbar"
"is weak and very long","ist schwach und sehr lang"
"Self-examination","Selbstuntersuchung"
"Impatient","Ungeduldig"
"Population: ~100","Bev”lkerung: ~100"
"broad-chin","breites Kinn"
"frozen to death.","zu Tode gefroren."
"Nickname position (fort mode)","Position des Spitznamens (fort mode)"
"withdrawal","Rcktritt"
"right","richtig"
"State feelings of great hopelessness","Gefhle groáer Hoffnungslosigkeit angeben"
" has brought back a few rumors."," hat einige Gerchte mitgebracht."
"Curious wilderness creatures can come to cause trouble","Neugierige Kreaturen in der Wildnis k”nnen rger machen"
"Not dutiful","Nicht pflichtbewuát"
"A gladiatory competition","Ein Gladiatoren-Wettkampf"
"Not creative","Nicht kreativ"
" to yield in combat.  If the conflict has not reached a No Quarter state, your opponent should stand down.  "," im Kampf nachgeben. Wenn der Konflikt noch nicht den Status ,,Keine Gnade"" erreicht hat, sollte Ihr Gegner sich zurckziehen. "
"Fine.  Let's drop the argument.","Nun gut. Lassen wir den Streit beiseite."
"legendary comrade","legend„rer Kamerad"
" engaged to induce a war of "," beauftragt, einen Krieg zu provozieren "
" dubious"," Fragwrdig"
"If you have a task, do it properly.","Wenn du eine Aufgabe hast, erledige sie grndlich."
"added a masterful covering","fgte eine meisterhafte Abdeckung hinzu"
"noted fighter","bekannter K„mpfer"
"Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. ","Sobald dieser Prozess abgeschlossen ist, k”nnen Sie eine Gruppe zusammenstellen und sie auf die Suche nach Reichtum tief in den Bergen schicken. "
"Remove hidden designations.","Entfernen Sie versteckte Zuordnungen."
"Then ","Dann "
"Averse","Ablehnend"
"You are also still subject to attack or ambush, though you can see certain groups on the map and may be able to avoid them.  ","Du bist weiterhin Angriffen oder Hinterhalten ausgesetzt, kannst jedoch bestimmte Gruppen auf der Karte sehen und ihnen m”glicherweise ausweichen. "
"addition of masterful bands","Erg„nzung durch meisterhafte B„nder"
"youth","Jugend"
"is very slow","ist sehr langsam"
"after a nightmare","nach einem Alptraum"
"Construction suspended.","Konstruktion ausgesetzt."
"noted preserver of knowledge","bekannter Bewahrer des Wissens"
" is one of the fundamental dance positions.  "," ist eine der grundlegenden Tanzpositionen.  "
"has bulky muscles on a large body","hat kr„ftige Muskeln an einem groáen K”rper"
"Avoids excitement","Vermeidet Aufregung"
"You fail to dismount in time.","Du schaffst es nicht, rechtzeitig abzusteigen."
"[C:6:0:1]Exhausted","[C:6:0:1]Ersch”pft"
"Make romance","Liebe machen"
"half-sister","Halbschwester"
"is very tall","ist sehr groá"
"Z Levels Above Layer 3","Z-Ebenen oberhalb der Schicht 3"
"Artwork","Kunstwerk"
"is somewhat weak and very long","ist etwas schwach und sehr lang"
"There are times when it is alright not to tell the whole truth.","In unruhigen Zeiten ist es okay nicht die ganze Wahrheit zu sagen."
"Slayer.","M”rder."
"on a pilgrimage","auf einer Pilgerfahrt"
"State your values (new menu)","Geben Sie Ihre Werte an (neues Men)"
"Rooms","R„ume"
"Remove the current worker from the task.","Entfernen Sie den aktuellen Arbeiter von der Aufgabe."
"soldier","Soldat"
"the insurrection in ","der Aufstand in "
"Frame","Rahmen"
"eloquence","Beredsamkeit"
"I'm so terribly lonely!","Ich bin so furchtbar einsam!"
"Nobility","Adel"
"mandate only partially completed","Mandat nur teilweise erfllt"
"Interrogate suspects for wrongdoing.","Verh”ren von Verd„chtigen zu Straftaten."
"Agree to follow","Einverstanden zu folgen"
" is in fact an assumed identity.  Subject's true name is "," ist in Wirklichkeit eine angenommene Identit„t. Der wahre Name der Person ist "
"Your settlement has been abandoned.","Ihre Siedlung ist aufgegeben worden."
"You continue the music.","Weiter geht es mit der Musik."
" vivacious"," temperamentvoll"
"Population: ~75","Bev”lkerung: ~75"
"Recenter on this creature.","Zentriere dich auf diese Kreatur."
"Acknowledge lack of shame","Fehlen von Scham anerkennen"
"Affected by attributes:","Beeinflusst durch Attribute:"
"Gem Window","Juwelfenster"
"infamous enemy","berchtigter Feind"
"vascular","vaskul„r"
"I'm not elated.","Ich bin nicht begeistert."
" committing a depraved act"," begeht eine versaute Handlung"
"Slaughterability","Schlachterf„higkeit"
"was crucified","wurde gekreuzigt"
" give"," geben"
" breaks!"," bricht!"
" is our ally"," ist unser Verbndeter"
"Disdains decorum","Verachtet den Anstand"
"briefly ","kurz "
"skunk","Stinktier"
"gave","gab"
"often finds ","findet oft "
"fourth eldest child","viert„ltestes Kind"
"added a masterful image","ein meisterwerk Bild hinzugefgt"
" from the teaching of "," aus der Lehre von "
"I don't have enough chests.","Ich habe nicht gengend Truhen."
"the Seekers","die Suchenden"
"close-set","eng stehend"
"the entry","der Eintrag"
"Fight","Kampf"
"values family greatly","legt groáen Wert auf die Familie"
"the slaughter of ","das Abschlachten von "
"I have no master, but ","Ich habe keinen Meister, aber "
"Track (NS)","Weg (NS)"
"began an apprenticeship under","begann eine Ausbildung unter"
"Oh, I'm nothing special.","Oh, ich bin niemand Besonderes."
" self-identified"," selbst identifiziert"
"Struck mineral","Geschlagenes Mineral"
"Acknowledge lack of embarrassment","Erkenne das Fehlen von Verlegenheit an"
"the termination of","die Beendigung der"
"grab","schnappen"
"You have discovered a volcano.","Ihr haben einen Vulkan entdeckt."
"Name your pet","Gebe deinem Haustier einen Namen"
", yet that means little now","doch das bedeutet jetzt wenig"
"What do you want to throw?","Was m”chtest du werfen?"
"due to a lack of performances","aufgrund mangelnder Leistungen"
"Merriment is worthless.","Heiterkeit ist nutzlos."
"pleased","zufrieden"
"been struck down.","niedergeschlagen worden."
"yes","ja"
"My companion.","Mein Begleiter."
"fuse-lobed","sicherungsgelappt"
" somewhere"," irgendwo"
"on the back of ","auf der Hinterseite des "
"The tonic note is a fixed tone passed from teacher to student.  ","Der Grundton ist ein fester Ton, der vom Lehrer an den Schler weitergegeben wird. "
"rumored killer","angeblicher M”rder"
"the divorce of","die Scheidung von"
"Agree to make peace between ","Dem Frieden untereinander zustimmen "
"production","Produktion"
"No patient","Kein Patient"
"You tangle together and tumble forward!","Du verwickelst dich und f„llst nach vorne!"
"Anguished!","Verzweifelt!"
"the arrest and interrogation of ","die Verhaftung und das Verh”r von "
"rarely looks on others with lust","schaut selten mit Lust auf andere"
"Unknown structure","Unbekannte Struktur"
"I was misinformed about a room during tax collection.","Bei der Steuererhebung war ich ber einen Raum fehlinformiert."
"Eighth","Achte"
"starts yelling whenever ","anf„ngt zu schreien, wenn "
"experiments with symbolic notation for addition","Experimente mit symbolischer Notation fr die Addition"
"(Combat) Attack stuck in","(Kampf) Angriff stecken geblieben"
" in an unsatisfactory fashion"," auf unbefriedigende Weise"
"File","Datei"
"Died in a cage","Gestorben in einem K„fig"
"Do not move from current tile when dodging even if it means being struck.","Bewegen Sie sich beim Ausweichen nicht von der aktuellen Kachel weg, auch wenn dies bedeutet, dass Sie getroffen werden."
"Deep soil","Tiefer Boden"
"badger","Dachs"
"eat","essen"
"feast","feiern"
"Make crafts for trade and your own citizens here, as well as a variety of tools, armor, and bolts.","Hier kannst du Handwerkszeug fr den Handel und deine eigenen Brger herstellen, ebenso wie eine Vielzahl von Werkzeugen, Rstungen und Bolzen."
"dabbling trade partner","dilettantischer Handelspartner"
"Cannot link to ","Kann nicht verbinden nach "
"satisfied","zufrieden"
"Right click when done","Rechtsklick wenn fertig"
"Popup: Companions","Popup: Gef„hrten"
"[C:7:0:1]Brought to rest","[C:7:0:1]Zur Ruhe gebracht"
"They offer tribute","Sie bieten Tribut"
"east-southeast","Ost-Sdost"
"I love the solemn lyrics.","Ich liebe die feierlichen Texte."
"artifact ","Artefakt "
"How dare you?!","Wie k”nnen Sie es wagen?!"
" being tortured"," gefoltert"
"Smooth ","Gl„tten "
"after invocation of the true name","nach Aufruf des wahren Namens"
"Continue moving in the same direction to build up speed.  If you or your mount are moving quickly, your attacks gain velocity.  ","Bewegen Sie sich weiter in dieselbe Richtung, um Geschwindigkeit aufzubauen. Wenn Sie oder Ihr Reittier sich schnell bewegen, gewinnen Ihre Angriffe an Geschwindigkeit. "
"Click a building to link to ","Klicken Sie auf ein Geb„ude, zu dem Sie eine Verknpfung herstellen m”chten "
"Metal Crafts","Metall Handwerk"
"Frets on the neck allow the musician to alter the pitch.  ","Bnde am Hals erm”glichen es dem Musiker, die Tonh”he zu ver„ndern. "
"Disdains family","Verachtet die Familie"
"If you haven't suffered any casualties, you should have these labors assigned already. ","Wenn Sie keine Verluste erlitten haben, sollten Sie diese Aufgaben bereits zugewiesen haben. "
"I shared a personal insight with my spouse.","Ich teilte eine pers”nliche Erkenntnis mit meinem Ehepartner."
"Chronicle","Chronik"
"reflective","reflektierend"
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.  If a permanent building item is forbidden, citizens will not perform tasks there!","Schaltet den verbotenen Status des Gegenstandes um. Die Brger werden keine verbotenen Gegenst„nde oder Geb„ude benutzen. Wenn ein dauerhaftes Geb„ude verboten ist, werden die Brger dort keine Aufgaben ausfhren!"
"Popup: Abilities","Popup: F„higkeiten"
"the Pit","die Grube"
"After a polite discussion with local rivals, ","Nach einem h”flichen Gespr„ch mit den Lokalrivalen, "
"Tropical Saltwater Swamp","tropischer Salzwassersumpf"
"'s foundation","s Grndung"
"I can't wait to get to it!","Ich kann es kaum erwarten, damit anzufangen!"
"added a masterful rope","fgte ein meisterhaftes Seil hinzu"
"Digging a ramp into a wall on the same level will create a connection to the higher level and remove the ceiling. ","Wenn Sie eine Rampe in eine Wand auf derselben Ebene graben, schaffen Sie eine Verbindung zur h”heren Ebene und entfernen die Decke. "
" threatens our people with its very presence."," droht unser Volk mit seiner Gegenwart."
"Trap","Falle"
"chosen by fate as the vanguard of destiny.  ","vom Schicksal als Vorhut des Schicksals auserw„hlt. "
"No!","Nein!"
"Bonded","Gebunden"
"The vegetation is broken here.","Die Vegetation ist hier zerbrochen."
"former worker","ehemaliger Arbeitnehmer"
"Cannot set a fire","Kann kein Feuer legen"
"Remove this condition.","Entfernen Sie diese Bedingung."
" sensual"," sinnlich"
"Keep going and never quit.","Mach weiter und h”re nie auf."
" Age"," Zeitalter"
"Autumn","Herbst"
" breathes"," atmet"
"Minimum Complete Edge Oceans","Mindestkomplettrand Ozeane"
"Let's do this.","Machen wir es so."
" verse paragraph"," Versabschnitt"
"likes a little excitement now and then","mag ab und zu ein wenig Aufregung"
" which permeates "," die durchdringt "
"State feelings of gratitude","Gefhle der Dankbarkeit ausdrcken"
"glass ","Glas "
"Drink","Trinken"
"Tell me about your family.","Erz„hle mir von deiner Familie."
"Verbally struggle against great fear","Verbaler Kampf gegen groáe Angst"
"a scholarly lecture in ","ein wissenschaftlicher Vortrag in "
"a great setting","eine groáartige Umgebung"
"You must drive the skulking vermin ","Du musst das schleichende Ungeziefer verjagen "
"Hawk your wares","Schw„rmen Sie fr Ihre Waren"
"Add mud to the arena.","Fuege Schlam zur Arena hinzu."
"Miserable","Miserabel"
"My condolences.","Mein Beileid."
"thought of as two disjoint chords spanning two perfect fourths","gedacht als zwei disjunkte Akkorde, die zwei perfekte Quarten umfassen"
"the crime","das Verbrechen"
"but ","aber "
"Knife","Messer"
" pauses to regain "," Pause, um wieder zu erlangen "
"with the new position appointed by you.","mit der von Ihnen neu geschaffenen Position."
"willpower","Willenskraft"
"is disgusted by the idea of fairness and will freely cheat anybody at any time","ist angewidert von der Idee der Fairness und wird jederzeit bereit sein, jeden zu betrgen"
"the return of ","die Rckkehr von "
"It makes me bitter.","Das macht mich bitter."
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Grates unlike bars have a quality and enhance the value of rooms.  Grates can be connected to levers.","Blockiert Lebewesen, l„sst jedoch Flssigkeiten und Gegenst„nde passieren. Kann ber leeren Fl„chen, Treppen, Rampen oder ber Flssigkeiten gebaut werden. Gitterroste haben im Gegensatz zu Gitterst„ben eine bestimmte Qualit„t und steigern den Wert von R„umen. Gitterroste k”nnen mit Hebeln verbunden werden."
"stares intently when ","starrt aufmerksam, wenn "
"""You've found ",",,Du hast "
"is disgusted by the idea of loyalty","ist angewidert von der Idee der Loyalit„t"
" believes that primordial remnants such as "," glaubt, dass urzeitliche šberreste wie "
"Decrease quality","Qualit„t verringern"
"Track/Ramp (EW)","Weg/Rampe (EW)"
" preached "," gepredigt "
"Advancing vegetation","Fortschreiten der Vegetation"
"I drank vomit.","Ich habe Erbrochenes getrunken."
"The glowing barrier has disappeared!","Die leuchtende Barriere ist verschwunden!"
"Could not load file ","Kann die Datei nicht laden "
" masters"," Meister"
"burned up in a magma mist.","in einem Magmanebel verbrannt."
"Initiate bartering","Tauschhandel initiieren"
"the end of the former imprisonment of","das Ende der frheren Inhaftierung von"
"strike","schl„gt"
" way to help others"," anderen zu helfen"
"Suturing","Zun„hen"
"Worship List","Anbetungsliste"
"Add snow to the arena.","Fuege Schnee zur Arena hinzu."
"Written on the item is ","Auf dem Gegenstand steht geschrieben "
"the subject of ","dem Gegenstand von "
"produced masterwork","produziertes Meisterwerk"
"Huh?  What was that?","Huh? Was war das?"
" must feature "," muss enthalten "
"a competition involving ","ein Wettbewerb mit "
"Can use any shop","Kann jede Werkstatt benutzen"
"Yes, I can see it clearly now.","Ja, ich kann es jetzt deutlich sehen."
"being away from family for too long","zu lange von der Familie getrennt zu sein"
"the end of the master-apprentice of","das Ende des Meister-Lehrlings-Verh„ltnisses"
" has a tendency to chew on "," neigt dazu, auf etwas herumzukauen "
"towering","aufragend"
"[C:7:0:0]No evaluated wounds","[C:7:0:0]Keine festzustellenden Wunden"
"Temperate Saltwater Pool","gem„áigtes Salzwasserreservoir"
"State feelings of great panic","Gefhl der groáen Panik"
"Only selected do this","Nur ausgew„hlte tun dies"
"Divorced","Geschieden"
"Election","Wahl"
"balance","Gleichgewicht"
" out and tries to return favors"," und versucht, Gefallen zu erwidern"
"Citizen death","Tod eines Einwohners"
"sees those that attempt to maintain dignified and proper behavior as vain and offensive","sieht diejenigen, die versuchen, sich wrdevoll und angemessen zu verhalten, als eitel und beleidigend an"
"lost a hist fig entry","einen Histogramm-Eintrag verloren"
" own appearance, abilities and other personal matters"," eigenes Aussehen, F„higkeiten und andere pers”nliche Angelegenheiten"
"discourse on the nature of processes","Diskurs ueber die Natur der Prozesse"
"The main way is by brewing alcohol. ","Die wichtigste Methode ist das Brauen von Alkohol. "
"An item has returned!","Ein Gegenstand ist zurckgekommen!"
"has a clear voice","hat eine klare Stimme"
"I slew ","Ich t”tete "
"Finish setting dig orders.","Beenden Sie die Einstellung von Grabungsauftr„gen."
"Tavern keeper","Barkeeper"
"Describe the refugees created by the attack of ","Beschreiben Sie die Flchtlinge, die durch den Angriff von "
"Available Animals","Verfgbare Tiere"
" out."," heraus."
"Two ","Zwei "
"Yearly","J„hrlich"
"Burned to death by a ","Zu Tode verbrannt durch eine "
" on the "," auf dem "
"  Perhaps you can gather plants, fruit, or go fishing.","  Vielleicht kannst du Pflanzen oder Frchte sammeln oder fischen gehen."
"The rules of the form are applied by choreographers to produce individual dances which can be performed.  ","Choreografen wenden die Regeln des Formulars an, um individuelle ausfhrbare T„nze zu produzieren.  "
" has been lost to time"," ist der Zeit zum Opfer gefallen"
"trader","H„ndler"
"considers ","betrachtet "
"Are you interested in ","Sind Sie interessiert an "
"Violation of production order","Verstoss gegen Produktionsreihenfolge"
"caging a creature","eine Kreatur eingesperrt"
"noted villain","bekannter Schurke"
"Choose a symbol for the detail.","W„hlen Sie ein Symbol fr das Detail."
"witnessing a night creature drinking blood","Zeuge eines Blut trinkenden Nachtgesch”pfes"
"chant","Gesang"
"a claimant for ","ein Antragsteller fr "
"lye","Lauge"
"the relationship between the half chords of a triangle's angles, the opposite side lengths, and the diameter of the triangle's circumscribed circle","die Beziehung zwischen den Halbsehnen der Winkel eines Dreiecks, den gegenberliegenden Seitenl„ngen und dem Durchmesser des Umkreises des Dreiecks"
"Named objects","Benannte Objekte"
"  All drinks are free, of course!","  Alle Getr„nke sind kostenlos, natrlich!"
"square-chin","augeglichenes Kinn"
"       --> Swayed by emotions"," --> Von Emotionen beeinflusst"
"Mathematician","Mathematiker"
" prepared by "," vorbereitet von "
"Bring up ","Hochbringen "
"Unsupported CE remove tag: ","Nicht untersttzte CE-Entfernungsmarke: "
"clerks","Sachbearbeiter"
"a bridge-passage","eine Brueckenpassage"
"this location","dieser Standort"
"Local resident creature named","Einheimisches Bewohnerwesen benannt"
"melt","schmelzen"
"a stunning lack of analytical ability","einen verblffenden Mangel an analytischen F„higkeiten"
"Ask about available services, drinks, rooms, etc.","Erkundigen Sie sich nach verfgbaren Dienstleistungen, Getr„nken, Zimmern usw."
" coughs"," hustet"
"[C:6:0:0].Serious blistering","[C:6:0:0].Schwere Blasenbildung"
"just fine","sehr gut"
"impersonate","sich als ausgeben."
"Come see me in my store sometime.","Komm zu mir in mein Gesch„ft irgendwann."
"Somebody discussed their problems with me.","Jemand hat seine Probleme mit mir besprochen."
"caught in smoke","im Rauch gefangen"
"Toggle Fullscreen","Vollbild umschalten"
"What will you say about the gang?","Was werden Sie ber die Bande sagen?"
"examples of triples of very large whole numbers which, when taken together, are the lengths of the sides of a right triangle","Beispiele fr Dreiergruppen von sehr groáen ganzen Zahlen, die zusammengenommen die Seitenl„ngen eines rechtwinkligen Dreiecks ergeben"
"lash","Wimpern"
"thread to","Faden zu"
"Loss","Verlust"
"Seek Eating Chair","Esszimmerstuhl suchen"
"more humorless","humorloser"
"Acknowledge lack of exhilaration","Fehlen von Hochstimmung anerkennen"
"friendly fighter","befreundeter K„mpfer"
"Recovering Wounded","Verwundete erholen sich"
"determining the likely outcome given a patient's current status","Bestimmung des wahrscheinlichen Ergebnisses angesichts des aktuellen Zustands eines Patienten"
"inorganic","anorganisch"
"Place carpenter's workshop","Platziere die Schreinerei"
"State feelings of emptiness","Gefhle der Leere angeben"
"All of the pipes are flue pipes.  ","Alle Pfeifen sind rauchende Pfeifen. "
"is often nervous","ist oft nerv”s"
"is absorbed in delusions of self-importance","in Wahnvorstellungen von der eigenen Wichtigkeit versunken ist"
"power","Macht"
"famous for your loyalty as a soldier","berhmt fr Ihre Treue als Soldat"
"Start War","Krieg beginnen"
"Industry","Fleiá"
"deeply respects those that work hard at their labors","respektiert diejenigen, die hart arbeiten, zutiefst"
" and more regrow!"," und mehr wachsen nach!"
"You have only heard tell of these creatures.","Du h”rtest nur Geschichten ber diese Kreaturen"
"Refuse invitation to join ","Einladung zum Beitritt ablehnen "
" to study"," studieren"
"It's quite astonishing.","Das ist schon erstaunlich."
"preserver of knowledge","Bewahrer des Wissens"
" rejected contact with "," abgelehnter Kontakt mit "
"State feelings of ferocity","Gefhle der Wildheit angeben"
"after being unable to leave a location","nachdem sie einen Ort nicht mehr verlassen konnten"
"a legendary dancer","eine legend„rer T„nzer"
"Stop leading ","Nicht mehr fhren "
"throwing something","etwas zu werfen"
"might become impatient or upset with you.  ","k”nnten ungeduldig oder ver„rgert mit dir werden. "
"State minor feeling of grumpiness","Geringfgiges Gefhl der Mrrischkeit angeben"
"An injured ","Ein Verletzter "
"with the lead turning out counterclockwise","mit dem Fhrung gegen den Uhrzeigersinn herausdrehend"
"Use last material","Letztes Material verwenden"
"Archery Practice","Schuetzentraining"
" that occurs in the myths of "," die in den Mythen von "
"State feelings of great shame","Gefhle groáer Scham angeben"
"Dye cloth ","Stoff f„rben "
"Sleep and rest","Schlafen und Ausruhen"
"be merry","fr”hlich sein"
"Properties","Eigenschaften"
"Gluttony","V”llerei"
"doesn't handle stress well","kann nicht gut mit Stress umgehen"
" own experiences and thoughts with others"," eigene Erfahrungen und Gedanken mit anderen"
"State feelings of great triumph","Bekundet Gefhle des groáen Triumphs"
".  How can I even describe the skill?",".  Wie kann ich die Fertigkeit noch beschreiben?"
"is very tall with huge muscles","ist sehr groá mit riesigen Muskeln"
"eating without dining room","Essen ohne Speisesaal"
"superiorly ","berdurchschnittlich "
"less cautious","weniger zurckhaltend"
"Musical","Musikalisch"
"Heavy aquifer","Viel Grundwasser"
"Most shocking!","H”chst schockierend!"
"Trade diplomat","Handelsdiplomat"
"more of a perfectionist","eher ein Perfektionist"
"Partially used in place of low musical performance skills.","Teilweise anstelle niedriger musikalischer Fertigkeiten verwendet."
"the first contact of ","der erste Kontakt von "
"No civilized population","Keine zivilisierte Bev”lkerung"
"Who cares what they think?","Wen interessiert es was sie denken?"
"is long and scrawny","ist lang und drr"
"pet","Haustier"
"Finalizing creature variations...","Finalisierung Kreaturvariationen..."
"bloody ","blutig "
"Poetry","Poesie"
"Seek Patient for Carry","Patient zum Mitnehmen suchen"
"Strap item","Objekt befestigen"
"[C:6:0:1]Moderate pain","[C:6:0:1]Mittlere Schmerzen"
" flounders"," stolpert"
"acquired item","erworbener Gegenstand"
"No recommendations available","Keine Empfehlungen verfgbar"
"village","Dorf"
"Would you like to join ","M”chten Sie mitmachen? "
"In conflict! ","Im Konflikt! "
"If you speak to a priest at a temple or select the Chosen destiny, you might receive a divine quest.","Wenn du mit einem Priester in einem Tempel oder das ""Auserw„hlte"" Schicksal w„hlst, erh„ltst du m”glicherweise eine g”ttliche Quest."
" has entered a martial trance!"," ist in eine kriegerische Trance verfallen!"
"[C:5:0:1]Faint","[C:5:0:1]Ohm„chtig"
"No operator","Kein Bediener"
"a good","ein gutes"
" hand gesture"," Handbewegung"
"You cannot jump while wrestling.","Du kannst nicht Springen w„hrend du ringst."
"Quarters","Unterknfte"
"Say something general about your emotional state or thoughts","Sagen Sie etwas Allgemeines ber Ihren emotionalen Zustand oder Ihre Gedanken"
"is incredibly short and bears massive lardy rolls","ist unglaublich klein und tr„gt massive Fettpolster"
"No one even considered making the journey to such a cursed unhappy death-trap this season.","Niemand hat in dieser Jahreszeit auch nur daran gedacht, die Reise zu einer solchen verfluchten, unglcklichen Todesfalle anzutreten."
