"more presumptious","pli bravaæa"
"commanders","komandantoj"
"is not inherently proud of ","ne estas esence fiera pri "
"the Circle","la Cirklo"
"Socialize","Sociumi"
" has been partially butchered.  "," estis parte buæita. "
"Some","Kelkaj"
"Processing plants...","Prilaborante vegetalojn..."
" away"," fore"
"Drunk","Ebriulo"
"after a lack of decent meals","post manko de decajn manøojn"
" Upward Track (EW)"," Supren Trako (Or-Ok)"
"killed somebody in training accident","mortigis iun dum akcidento de ekzercado"
"several groups","pluraj grupoj"
"chemistry:laboratory:lab ovens","¶emio:laboratorio:laboratoriaj fornoj"
"is never the slightest bit cheerful about anything","neniam estas eæ iomete gaja pri io ajn"
"The performances will be great.","La prezentadoj estos bonegaj."
"Your reunion with ","Via revido kun "
"Fail the internal struggle, completely shaken","Malsukcesas la interna barakto, tute skuata"
"Swim","Naøi"
"giving a sermon","donante predikon"
"Dry Grass","Seka Herbo"
"I am so torn over this...","Mi estas tiel þirita pro tio æi..."
"crime of espionage","krimo de spionado"
"I'm feeling so jolly.","Mi sentas tian gajon."
"Chores","Hejm-farinda¼oj"
"This is an outrage!","Æi tio estas indignega¼o!"
" percussion instrument.  "," frapinstrumento. "
"Nauseous","Naýzita"
"[C:4:0:1]Thirsty!","[C:4:0:1]Soifa!"
"My spirit moves.","Mia spirito moviøas."
"added masterful rings","aligis majstraj ringojn"
"Wall/Floor Construction","Konstruado de Muro/Planko"
"engineering:machine:crank","inøenierarto:maþino:krank"
"discourse on the nature of belief","diserta¼o pri la naturo de la kredo"
" main"," æefa"
"Outpost","Setlejo"
"an"," "
"brittle","malfortika"
"to craft a masterwork","fari majstroverkon"
"a soldier","soldato"
"in several lines","en pluraj linioj"
"exactly","ekzakte"
"Unnamed mod","Sennoma modifo"
" but the shot is blocked",", sed la trafo estas barita"
" armor"," arma¼o"
"the Warrior","la Militisto"
"Version: ","Versio: "
"Mechanics","Me¶aniko"
" (Owes you "," (Þuldas al vi "
"Cages","Kaøoj"
"Lies","Mensogoj"
"chemistry:laboratory:blast furnace","¶emio:laboratorio:fornego"
"viewing ","vidi "
"Fortress Name","Nomo de Fortreso"
"that isn't at all convincing.","tio tute ne estas konvinka."
"milker","melkisto"
"Temperate Saltwater Swamp","Mezvarma Sala Arbomaræo"
"Incommensurable Ratios","Nekunmezureblaj rilatoj"
"mathematics:algebra:quadratic formula","matematiko:algebro:kvadrata formulo"
"autopsy","aýtopsio"
"wolf","lupo"
"The performers are finished.","La interpretistoj finis."
"trap component","komponanto de insida¼o"
"chimes","kariljonoj"
"treatise on technological evolution","traktato pri la te¶nologia evoluo"
"poor analytical abilities","malbonajn analizkapablojn"
"Bearer","Surhavisto"
"in a fetal position","en feta pozicio"
"Sickly","Malsanema"
"I don't agree.","Mi ne konsentas."
"after staying occupied","post sin okupiøi"
"weaver","teksisto"
"very flattened","tre flatita"
" needed"," bezonata"
"I would prefer to be indoors.","Mi preferus esti endome."
"lives at a high-energy kinetic pace","vivas je altenergia kineta rapideco"
"Hello","Saluton."
"Fellow artist","Kolega belartisto"
"after helping somebody","post helpi iun"
"molten green glass","fandita verda vitro"
"I was rescued.","Mi estis savita."
"Sorting descriptors...","Ordigante priskribilojn..."
"study.","studado."
"Bone Setting","Refiksado de Osto"
" Track (NSW)"," Trako (No-Su-Ok)"
"Squads","Teamoj"
"is extremely thin with ill-defined muscles","estas ege mallarøa kun kelkaj muskoloj"
"captain","kapitano"
"have very large irises","havas tre grandajn iriosjn"
"Wasteful","Malþparema"
"performing","interpretante"
"Grab Job Resources","Preni Rimedojn por Tasko"
"doctors","kurcistoj"
"visiting with a pet","viziti dorlotbeston"
"You must be joking.","Vi devas þerci."
"Your selected civilization is dead or dying.","Via elektita civilizacio estas mortinta aý mortanta."
"I don't feel like I need to chase anything.","Mi ne sentas, ke mi bezonas celi ion ajn."
"Astonishing!","Surpriza!"
"the Mind","la Menso"
"Examination of the Patient","Ekspertizo de la Pacienton"
"was burned to death by a ","bruligis, en morton, de "
"administrators","intendantoj"
"SMALL REGION","MALGRANDA REGIONO"
"convalescence","konvalesko"
"Anvils","Ambosoj"
"Detail","Detali"
"bars... metal","stangojn... metalajn"
"I think people should hone their skills, but it's possible to take it too far and lose sight of the breadth of life.","Mi kredas, ke homoj devu perfektigi siajn kapablojn, sed eblas troi kaj perdi vidon de la amplekso de vivo."
"loneliness","soleco"
" competitors"," konkurantoj"
"It is a nice temperature today.","Estas agrabla temperaturo hodiaý."
"any color","ajna koloro"
" Bearer"," Surhavisto"
" slipped into "," englitis en "
"Prayer","Preøo"
"Long live the cause.","Vivu longe la kaýzo."
"The music","La muzik"
" Summer"," Somero"
"Fractures","Frakturoj"
"Overall, the information is not compiled very well","Entute, la informo ne estas kompilita tre bone"
"Strong","Forta"
"Too many hives","Tre multaj abelujoj"
"Semiannual","Duonjare"
"Move keyboard cursor left, fast","Movi klavar-kursoron maldekstren, rapide"
" to move into my new home with "," translokiøi en mian novan hejmon kun "
" helmets"," fortikkapingoj"
"I have no zeal for this.","Mi ne havas fervoron pri tio æi."
"master","mastro"
" lured "," allogita "
"an algorithm for dividing one number into another, possibly yielding a remainder","algoritmo por dividi nombron en alian, eble produktante reston"
"aggravation","agaco"
"east","Or"
"a musical form","muzika formo"
" were expelled"," estis forpelitaj"
"Conduct Meeting","Konduki Kunvenon"
"Macro, Record","Makroo, Registri"
"the law is absolute","la leøo estas absoluta"
"a very bad sense of empathy","tre malbonan senson de kunsento"
"Parameters loaded!","Parametroj þargitaj!"
" talents and appearance"," jn talentojn kaj aspekton"
"glazer","glazuristo"
"being unable to fight for too long","tro longe ne povi batali"
"a great preacher","bonega predikisto"
"I feel loathing.","Mi sentas abomenegon."
"trade","komerci"
"I feel so good!","Mi estas tiel bona!"
"historical event collection","kolekto de historiaj eventoj"
"Well, there must be something else to discuss.","Bone, devus esti alio por diskuti."
"Finalizing body detail plans...","Finante planojn pri korpaj detaloj..."
"Traps","Kaptiloj"
"I'm very pleased.","Mi estas tre plezurigita."
"Smaller","Tre malgranda"
"the blast furnace","la fornego"
"Sabotage Plot","Sabotada Intrigo"
"somewhat broad","iom larøa"
"No such place exists.","Neniu tia loko ekzistas."
"tearing apart","disþirante aparte"
"Values loyalty","Estimas fidelecon"
"I'm not lonely.","Mi ne estas sola."
"a performance tour","prezentada turneo"
"shooting ","pafante "
"Anesthesia","Anestezo"
"Temperate Savanna","Mezvarma Savano"
"cut green glass gems","facetitaj gemoj el verda vitro"
"symbolism","simbolismo"
"Tropical Saltwater Marsh","Tropika Sala Maræo"
"a truly decadent dish","vere dekadencan pladon"
"Go to Give Water Target","Iri al Celo por Doni Akvon"
"Pump Operating","Operaciado de Pumpiloj"
"[C:7:0:1]Butchering[C:7:0:0]","[C:7:0:1]Buæo[C:7:0:0]"
"That is sad but not unexpected.","Tio estas trista, sed ne neatendita."
"LARGE REGION","GRANDA REGIONO"
"] or [C:2:0:1]roll the mouse wheel[C:7:0:0].  Hold shift to move faster.","] aý [C:2:0:1]ruli la musradon[C:7:0:0:]. Tenu registruman klavon por movi pli rapide."
"the Moving World","la Mova Mondo"
"philosophy:specialized:language grammar","filozofio:faka:lingvo gramatiko"
"There are several ways to mine.  Stairwells (selected) start at one elevation and are completed at ","Estas pluraj manieroj por mini. Þtuparoj (elektitaj) komencas æe unu altitudo kaj finigas æe "
"geography:theory:wind patterns","geografio:teorio:patroneoj de vento"
"Gem Cutting Workshop","Metiejo de Gemfacetado"
"I discussed my problems with my sibling.","Mi priparolis mian malfacila¼ojn al mia gefrato."
"Grab Execution Weapon","Preni Ekzekutan Armilo"
"medicine:theory:classification of muscles","medicino:teorio:klasifiko de muskuloj"
"an astounding feel for the position of ","tre mirindan senson por la pozicio de "
"the preparation of oil of vitriol","la preparado de oleo el vitriolo"
"medicine:theory:exacerbation","medicino:teorio:pliseverigo"
"I'm not anxious.","Mi ne estas anksia."
"taking hope","esperiøatan"
"scared to death","timigita en morton"
"more fearful","malpli sentima"
" values self-control"," aprezas sinregadon"
"Bones","Ostoj"
"Married","Edziøinta"
"Spherical Astrolabes","Sferaj Astrolaboj"
"Dig a rectangle underground big enough for a large [C:6:0:0]Stockpile[C:7:0:0] and some [C:6:0:0]Workshops[C:7:0:0].  ","Fosu organgulon subteren sufiæe granda por granda [C:6:0:0]Deponejo[C:7:0:0] kaj iom da [C:6:0:0]Metiejoj[C:7:0:0]. "
"a horrible","horora"
"Train ","Dresi "
"sixteen","dek ses"
"the Infinite","la Nefinio"
"Place Ladder","Loki Þtupetaron"
"Seek Training Ammunition","Seræi Ekzercan Municion"
"Hidden","Kaþata"
"You receive ","Vi ricevas "
"I am not upset by this.","Mi ne estas æagrenita pro tio æi."
" retches"," vomitemas"
", even though ",", eæ se "
"Backpacks","Dorsosakoj"
"I'm feeling argumentative.","Mi sentas min kiel argumenteman."
"Throne Room/Office","Tronæambro/Oficejo"
"impaled on ","palisumita sur "
"hunger","malsato"
"The village ","La vilaøo "
"drowned.","dronis."
"sinuous","sinua"
"Leader","Gvidanto"
" from"," de"
"partial ","Parta "
"been scared to death","timigita en morton"
", but you can't bargain your way out of this.",", sed vi ne povas aæeti vian elirejon de tio æi."
"nine","naý"
"punishing somebody with a beating","puni iun per batado"
"Solidified","Solidigita"
"The agony is too much!","La agonio estas tro multe!"
"Exacerbation","Pliseverigo"
"Gruesome wounds!","Teruraj vundoj!"
"years","jaroj"
"This is so exciting!","Æi tio estas tiel emocia!"
"Circle and Angle","Cirklo kaj Angulo"
" now."," nun."
"recite","deklamas"
"Tables: ","Tabloj: "
"Z Levels Above Layer 2","Z-aj Niveloj Super la Tavolo 2"
" self-identification to "," memidentiøo al "
" joyous"," øoja"
"dance closely","dancas proksime"
"I discussed my problems with my spouse.","Mi priparolis mian malfacila¼ojn al mia ejdzo."
"not a quarter hour ago","antaý ne pli, ol kvaronhoro"
"Such adoration I feel!","Tian adoron mi sentas!"
"tends to avoid crowds","emas eviti homamasojn"
" masterfully prepared"," majstre preparita"
" sprightly"," animita"
"Shop","Butiko"
"Accomplished","Plenumita"
"a fictional poet","fikcia poeto"
"It might be very difficult to obtain stone here.","Eble estas tre malfacile akiri þtonon tie æi."
"All of this striving against one another is so foolish.","Æio æi strebo unu kontraý la alia estas tre malsaøa."
"Pressing","Premado"
"submitting","submeto"
" trainers."," trejnistoj."
"Cabinet","Þranko"
"Greetings.","Salutegojn."
"footwork","piedmovado"
"Acknowledge lack of annoyance","Agnoski mankon de kolereto"
"recess-chinned","klarmentona"
" Track (NW)"," Trako (No-Ok)"
" group"," grupo"
"Woodcrafting","Lignometio"
"Acknowledge lack of outrage","Agnoski mankon de indignego"
"is a minuscule bundle of muscles","estas eta aro de muskoloj"
"What will you say about the trade?","Kion vi diros pri la komerco?"
"All of this buying and selling isn't honest work.","Æio æi aæetado kaj vendado ne estas honesta laboro."
"I was knocked out by a cave-in.","Mi senkonsciiøis pro disfalo de kaverno."
"Recovers slowly","Resaniøas malrapide"
"Spirit of Niter","Nitrata Acido"
"I beg to differ.","Mi petas diferenci."
"horse","æevalo"
"Scarce","Tre maldensa"
"Cut ","Faceti "
" deposit"," verþi"
" praying"," preøi"
"here","æi tie"
"No Cap","Neniu Limo"
"creature","esta¼o"
"They consider you a leader of the opposition.","Ili konsideras vin gvidanto de la opozicio."
"your","via"
" catches"," kaptas"
"Saving world information...","Savante mondan informon..."
"philosophy:specialized:law","filozofio:faka:leøoscienco"
"gypsum ","gipso "
"Values","Valoroj"
"Acknowledge lack of pessimism","Agnoski mankon de pesimismo"
" superior"," supera"
"Loading jobs...","Þargante taskojn..."
"bone carver","ostotajlisto"
"music","muziko"
".  I know why you have come.",". Mi scias kial vi venis."
"long, long ago","antaýl tre onge"
", and established a gateway between worlds",", kaj starigis enirejon inter mondoj"
" by the "," per la "
"This is nice.","Æi tio estas agrabla."
"You have selected an area with salt water.","Vi elektis areon kun sala akvo."
"Furniture:","Mebloj:"
"the construction and use of the piston","la produktado kaj la uzado de la piþto"
"I hate riddles.","Mi malamas la enigmojn."
"I'm anxious.","Mi estas anksia."
"500 years","500-jara"
"Fast repeat","Rapida ripetado"
"ninety","naýdek"
"brief ","mallonga "
"Combustion","Brulo"
"Geography","Geografio"
"Perseverance","Persistemo"
" Downward Track (NSW)"," Malsupren Trako (No-Su-Ok)"
" rules "," regas "
"ammunition","municio"
"I saw ","Mi spektis "
"less stubborn","malpli obstina"
" moved"," movita"
"never deliberates before acting, to the point of being considered thoughtless","neniam pripensas antaý ol agi, øis la punkto de esti konsiderata senpripensa"
"Unretire ","Reakiri "
"Craftsman","Metiisto"
" dance is punctuated by "," danco estas interpunktita per "
"dead","mortinta"
" likes the way that they would break up the monotony on some level"," þatas la manieron ke ili iom rompus la monotonecon"
"has an extremely broad body with little fat","havas ege larøan korpon kun malmulte da graso"
"Emotionally distant","Emocie malproksima"
"mathematics:numbers:algorithm for computing gcd","matematiko:nombroj:algoritmo por komputi pgkd"
" powerful"," potenca"
"No cumulus clouds","Neniuj kumulusaj nuboj"
" is disturbed by this since "," estas øenata per tio æar "
" is the housing for the workings of the instrument.]"," estas la ujo por la operacioj de la instrumento.]"
"duty","devo"
"the rise of the moon according to the season","la leviøo de la luno laý la sezono"
"The dance enters a new section with ","La danco komencas novan sekcion kun "
"Mist","Nebuleto"
"Not envious","Malema envii"
"hive","abelujo"
" Upward Track (SW)"," Supren Trako (Su-Ok)"
"It's good to keep pushing forward, but sometimes you just have to know when it's time to stop.","Estas bona daýri penante, sed iufoje oni nur devas scii kiam halti."
"Group commission","Grupa komisiono"
"bright","brula"
"Domesticated","Aldomigita"
"Over my dead body!","Super mia kadavro!"
"bringing somebody to rest in bed","alporti iun por ripozi sur lito"
"medicine:theory:pulmonary medicine","medicino:teorio:pulma medicino"
"Linear Equations","Linearaj Ekvacioj"
"the deity","la dia¼o"
"You're right.  I need to relax.","Vi certas. Mi devas trankviliøi."
"Select your combat preferences.","Elektu viajn agordojn batalajn."
"more deliberate","pli konscia"
"Instruments","Iloj"
"Support","Apogilo"
"Acknowledge lack of zeal","Agnoski mankon de fervoro"
"My mandate was ignored.","Mia komisio estis ignorita."
"saw performance in incident","spektis prezentadon en incidento"
"Stop","Halti"
"castle courtyard","kastela korto"
"more love-prone","pli amema"
"more attentive","pli atenta"
"the treatment of fractures","la kuracado de frakturoj"
"poem","poemo"
"Ice Downward Track (W)","Glaca Malsupren Trako (Ok)"
"Cavern Layer Water Min","Minimuma Akvo en Kavernega Tavolo"
"the treasury","la fisko"
"Dabbling","Diletanto"
"an infamous flatterer","fifamega flatanto"
"the construction and use of the traction bench","la produktado kaj la uzado de la ostorefiksejo"
" Archery Target"," Celtabulo"
"the method of physical examination in diagnosing illness","la metodo de korpa ekspertizo je diagnozi malsanon"
" not of the living."," ne el la vivantoj."
"I love the riddle in the lyrics of the accompaniment.","Mi amas la enigmon en la kantoteksto de la akompana¼o."
"trigonometric identities relating to the sums and differences of angles","trigonometriaj identa¼oj pri la sumoj kaj diferencoj de anguloj"
"a poetry competition","poezia¼a konkurso"
"terrible ","terura "
"stuns","svenbatas"
"Sorry, I'm otherwise occupied.","Bedaýras, mi estas alie okupita."
"most high priest","plej æefpastro"
"the acquisition of ","la akiro de "
" Throne"," Trono"
"laws","leøoj"
"Miner","Ministo"
"shattering","frakasante"
"Ponder ","Pripensi "
"Blood-drinking","Sangotrinkado"
"How jovial I feel!","Kian jovialecon mi sentas!"
"low-cheekbones","malalt-vangosta"
"more violent","pli perfortema"
"Road Building","Konstruado de Vojo"
"out of the wound","ekster la vundo"
"destroy","detruas"
"Weaponsmithing Workshop","Metiejo de Armilforøado"
"I love the solemn lyrics of the accompaniment.","Mi amas la solenan kantotekston de la akompana¼o."
"Pusillanimous","Ne memfida"
"Long-term acquaintance","Malnova konato"
"very slow to tire","tre malrapida por laciøi"
"burns","brulas"
"Gracious","Dankema"
", the performance troupe, has arrived.",", la prezentista trupo, alvenis."
"biographical dictionaries","biografiaj enciklopedioj"
" extremely long series of"," treege longa serio el"
"been impaled on spikes.","trapikita per pikiloj."
"medicine:theory:the voice","medicino:teorio:la voæo"
"guildmate ","samgildano "
"Presser","Premisto"
"is skinny and extremely short","estas malgrasa kaj ege malalta"
"I don't mind stirring things up.","Min ne øenas movi aferojn."
"Minimum Number of Mid-Rain Squares","Minimuma Nombro da Mezalte Pluvaj Æeloj"
"Blood and Breath","Sango kaj Spirado"
"We yield!  We yield!","Ni cedas!  Ni cedas!"
"Glass","Vitra"
"This is aggravating.","Æi tio estas agaca."
"Generating interactions...","Generante interagojn..."
"Need empty bag","Bezonas malplenan sakon"
"Temperate Freshwater Lake","Mezvarma Nesala Lago"
"Number of Civilizations","Nombro da Civilizacioj"
"revelry","festeno"
"the use of plants as surgical models","la uzado de vegeta¼oj kiel ¶irurgiaj modeloj"
"I guess that could have given me a fright.","Mi supozas, ke tio povus terurigi min."
"pressed dirt","kunpremita grundo"
"I'm very jovial.","Mi estas tre joviala."
"There wasn't enough work last season.","Ne ekzistis sufiæaj laboro dum la antaýa sezono."
"Shameless","Senhonta"
"taught skill","instruis kapablon"
"executioners","ekzekutistoj"
" paste"," pasto"
"crops 1 (255,195,0), rows","grenoj 1 (255,195,0), vicoj"
"Trader Loss: ","Komercista Malprofito: "
"trap","insida¼o"
"to invert the previous assertion","inversigi la antaýan aserton"
"Actors","Rolistoj"
"suturing","suturado"
"the Event","la Okazo"
"I gave birth to ","Mi naskis "
"plucks ","plektras "
"I hate you.","Mi malamas vin."
"is deliberately cruel to those unfortunate enough to be subject to ","estas intence kruela al tiuj malfeliæaj esti submetita al "
"Moonstone","Lunþtono"
"This place is insulated from the rest of the world, at least in terms of trade.","Æi-loko estas izola el la resto de la mondo, almenaý rilate al komerco."
"I feel pretty good.","Mi min sentas tre bona."
", has been",", estis"
" a safe creature."," sendanøera esta¼o."
"Values self-control","Estimas memregadon"
"Squad: ","Taæmento: "
"dictionary","vortaro"
"Placed farming entity without non-orchard crops","Lokis kulturan enton sen ne-fruktarbaj kulturplantoj"
"became the parent of","iøis la patro de"
"Preparing elevation...","Preparante altitudon..."
"It was okay.","Øi estis akceptebla."
"[C:6:0:1]Thirsty","[C:6:0:1]Soifa"
"Animals, War Training","Bestoj, Dresado por Milito"
"pyrrhic","pirika"
"downward","malsupren"
"lord ","sinjoro "
"practicing at the archery target","ekzerclukti per la celtabulo"
"fame","famo"
"Plant Processing","Prilaborado de Vegetaloj"
"Acknowledge lack of worry","Agnoski mankon de koncerniøo"
"flamboyant","bunta"
"Acknowledge lack of irritation","Agnoski mankon de irito"
"slowly ","malrapide "
"more confident","pli memfida"
"a horribly substandard","horore neadekvata"
"There will be no sympathy from me.","Ne ekzistos simpation el mi."
"Every last one of you will pay with your lives!","Æiuj el vi pagos per viaj vivoj!"
" items"," a¼oj"
"This is quite a thrill!","Æi tio estas tre ekscita."
"That was very exhilarating!","Tio estis tre animanta!"
"lithotomy surgery","litotomia ¶irurgio"
"That's terrific!","Tio estas bonega!"
"building","konstrua¼o"
" hidden away here."," enkaþata en æi tie."
"engineering:fluid:force pump","inøenierarto:flua¼o:fortopumpilo"
"corpse","kadavro"
"There's some glee here!","Æi tie ekzistas iom da gajego!"
"discourse on ethics as it regards the benefit of the state","diserta¼o pri la etiko kiel øi koncernas la beneficon þtatan"
"Growing vegetation...","Kreskigante vegetalaron..."
" repeated"," ripeta"
"paper-making ","paper-farado "
"the surgical method of excision","la ¶irurgia metodo de detranæado"
" and your military subordinate"," kaj via militistara subulo"
"soap","sapon"
"x is a beat","x estas takto"
"really, I've been over all this nonsense before.","vere, mi travivis æi tiun sensenca¼o antaýe."
"the heat-induced death of ","la morto, kaýzita de varmego, de "
"Attempted ","Provinto "
" is not at war with us"," ne estas en milito kun ni"
"many foes","multaj malamikoj"
"It's foolish to work hard for anything.","Estas malsaøa labori pene por io ajn."
"Loving ","Amanta "
"Go to Shear Station","Iri al Lantondostacio"
"Salutations","Salutegegoj"
" is splendid."," estas belega."
" dance"," dancas"
"weeping","plorante"
" backpack"," dorsosako"
"the study of reaction time","la studo pri reakcia tempo"
"I'm happy.","Mi estas feliæa."
" Region Count"," Regionoj"
"medicine:tool:traction bench","medicino:ilo:ostorefiksejo"
"the idea of source reliability","la ideo pri fidindeco de fonto"
"the piston","la piþto"
"more zany","pli fola"
"I lost the baby.","Mi perdis la bebon."
" chipping"," æirkaýæizante"
"2 lost after giving wounds","2 perditaj post doni vundojn"
" gouge"," forþiras"
"been found dead, contorted in fear!","trovita mortinta, tordita de timo!"
" suspended a linkage from "," haltigis la ligado de "
"the treatment of animals","la kuracado de bestoj"
"Hospital","Malsanulejo"
"Text entry","Teksta enigo"
"koala","koalo"
"Pending","Atenda"
" is"," estas"
"The wrath rises within me...","La kolerego ekbruligas en mi..."
" dancing exceptionally."," dancante escepte."
"is in a constant state of internal rage","estas en konstanta stato de interna kolerego"
"Cycles","Cikloj"
"a brigand","rabisto"
" for a single pair"," por sola paro"
"just outside town","nur ekstere urbeto"
"Preparing game...","Preparante ludon..."
"by the forces of ","de la fortoj de "
"debauched","diboæa"
" falling"," falo"
"That was not amusing.","Tio ne estis amuza."
"That was not satisfying.","Tio ne estis sata."
" music is played on "," muzikon ludas per "
"  It's not the original, but we can hope the writing was copied faithfully."," Øi ne estas la originala, sed ni povas esperi, la skribo estis kopiita fidele."
"elation","øojo"
" abducted "," homforrabita "
" just can't give a sermon very well."," nur ne povas doni predikon tre bone."
" series of"," serio el"
"Acute and Chronic Diseases","Akutaj kaj Kronikaj Malsanoj"
"No quick attack: enraged","Neniu rapida atako: furioza"
"Injured","Vundita"
"even-uneven","para-nepara"
"Wetland","Malsekejaj"
"medicine:theory:toxicology","medicino:teorio:toksikologio"
"wind patterns","ventaj patroneoj"
"more hateful","pli malama"
"Seek Give Water Bucket","Celi Doni Sitelon da Akvo"
"robbery","rabo"
"North and South","Norda kaj Suda"
" Coffin"," Æerko"
"Don't waste my time.","Ne malþparu mian tempon."
"Fisherman","Fiþkaptisto"
"baronesses consort","baronedzinoj"
"an untitled","sen titolo"
"five","kvin"
"giving birth to ","naski "
"the Truth","la Vero"
"social welfare","socia bonfaro"
"Administrator","Intendanto"
"fracturing","frakturante"
"Dining Hall","Manøejoj"
"Be happy!","Estu feliæa!"
"Digging designation cancelled: damp stone located.","Fosada instrukcio nuligita: malseketan þtonon lokalizis."
"Forms twisted from their nature, legion of the night.  What hope remains?","Formoj torditaj el iliaj naturoj, legio de la nokto. Kio espero restas?"
"animal remedies","bestaj kuraciloj"
"lava pool","lafa laøeto"
"sharp","akra"
"Rocky Wasteland","Rokejo"
"Logic","Logiko"
"Number of Demon Types","Nombro da Specoj de Demonoj"
"worshipper","adoranto"
"Of course.  Let's do business.","Kompreneble. Ni faru komercon."
" Up/Down Stairway"," Supren/Suben Þtuparejo"
"Play with Toy","Ludi per Ludilo"
"Pikeman","Pikstangisto"
" mumble"," murmuras"
"playing make believe","ludi imaginante"
"Eek!","Pa!"
"awesome intellectual powers","mirindajn intelektajn povojn"
"[C:6:0:1]Had ","[C:6:0:1]Havis "
"Ack!","A¶!"
"the lever","la levilo"
"The enemy have come and are laying siege to the fortress.","La malamikoj venis kaj sieøas la fortreson."
"Inappropriate dig square","Neadekvata fosada kvadrato"
"Greed","Avideco"
" part"," parto"
"Disdains power","Malestimas potencon"
"evolving","elvolva"
"I had an intellectual discussion with my child.","Mi havis intelektan diskuton kun mia infano."
"Intruder!","Entrudulo!"
"We grow through debate and struggle, even chaos and discord.","Ni kreskas per debato kaj lukto, eæ ¶aoso kaj diskordo."
" Pebbles"," j Þtonetoj"
"stressed-stressed","akcenta-akcenta"
"the death in the dark of ","la morto, en la tenebro, de "
"doesn't","ne"
"never feels hatred toward anyone or anything","neniam sentas malamon kontraý iu ajn aý io ajn"
"being tormented in nightmares by the dead","esti turmentita, en inkubsonøoj, de la mortintoj"
"Surround yourself with friends you can trust and you will be unstoppable.","Æirkauiøu vin de amikoj vi povas fidi, kaj vi estos nehaltigebla."
"evaporation","vaporigo"
"Some traditions are worth keeping, but we should consider their overall value.","Iuj tradicioj estas konservindaj. sed ni devu konsideri ilian totalan valoron."
"has a relentless drive, completely consumed by ambition","havas senæesan peladon, tute konsumita de ambicio"
"Broker: ","Makleristo: "
"Private","Rezervas sian privatecon"
"And remember: [C:2:0:1]Losing is fun![C:7:0:0]","Kaj memoru: [C:2:0:1]Perdi estas amuza![C:7:0:0]"
"We have many drinks to choose from.  [You receive a list.]","Ni havas multajn trinka¼ojn elekti. [Vi recivas liston.]"
"Performance","Prezentado"
"being attacked","esti atakita"
"Tasks","Taskoj"
"Adhesives","la Adhera¼oj"
"I just wish to help somebody.","Mi nur deziras helpi iun."
" connecting "," kunligante "
"Fortification","Fortika¼o"
"Total seed cap","Totala limo de semoj"
"after self-examination","post memobservado"
"Martial Prowess","Milita Lerteco"
"I brought somebody to rest in bed.","Mi alportis iun sur lito por ria ripozo."
"forced to drink gooey water","trudita trinki kaæan akvon"
" around"," æirkaý"
" flasks"," likvujoj"
"An army has come to your lands seeking a parley.","Armeo venis al via landoj seræante priparoladon."
" wind chests"," ventokestoj"
"Perform music","Interpreti muzikon"
"Values cooperation","Estimas kunlaboron"
" in a personal museum"," en persona muzeo"
" kick"," piedbato"
"deity","dia¼o"
" STRANGUS "," STRAÆJO "
" heard this "," aýdis æi tion "
"It's really boring.","Øi estas vere enua."
"philosopher","filozofo"
", but you can't argue your way out of this.",", sed vi ne povas disputi vian elirejon de tio æi."
"combination locks","seruroj de kombina¼o"
"Saving civilized populations...","Savante civilizitajn loøantarojn..."
"Harass","Æikani"
" and takeover of "," kaj konkero de "
"Caged","Enkaøita"
"?  Unbelievable talent!","? Nekredebla talento!"
"leather ","leda "
"Swordsman","Glavisto"
"Reclaim Fortress","Pretendi Fortreson"
"We should all be so lucky as to truly master a skill.","Ni æiuj devus esti tiel bonsorta por vere majstri kapablon."
"millable ","muelebla "
"Acknowledge lack of disappointment","Agnoski mankon de malkontentigo"
"ate own pet while starving","manøis sian dorlotbeston kiam malsatmortonta"
"tearing","disþirante"
"Some children","Iuj infanoj"
"A scheming criminal gang has eluded capture for far too long.","Intrigema krimbando evitis kaptado multe tro longe."
"troupemate ","samkunularano "
"the pulley","la pulio"
" coffer"," tirkestomeblo"
"the Force Pump","la Fortopumpilo"
"Low self esteem","Malalta memfido"
"bled to death.","sangis en morton."
"Ranger","Arbargardisto"
"aggressive","agresema"
"incredibly close-set","nekredeble proksime"
"never feels discouraged","neniam sentas sin senkuraøa"
"worthlessness","senvalorecon"
" my master."," mia majstro."
"I'm very nervous.","Mi estas tre nervoza."
"Poor empathy","Malbona kunsento"
"The criminal was convicted and I received justice.","La krimulo estis kondamnita, kaj ricevis justecon."
"frozen","glaciiøinta"
"has a noticeable lack of perseverance","havas rimarkindan mankon de persistemo"
" cast"," gipsbandaøo"
" freed "," liberis "
"the loss of a diplomat of ","la perdo de diplomato de "
"I'm traveling to ","Mi vojaøas al "
"be melancholic","esti melankolia"
"Up Stair","Supren Þtuparo"
"astronomy:method empirical observation","astronomio:metodo empiria observado"
"Beauty","Belo"
"squad.","teamo."
"ambition","volemo"
"Stream: ","Rojo: "
"There are ","Estas "
"a wonderful dish","mirindan plandon"
"This is agitating.","Æi tio estas agitanta."
"systemic bias","sistema biaso"
"Healthy","Sana"
"My deadline was met.","Mia templimo estis plenumiøinta."
"an accent pattern of ","skemo de akcentoj de "
"despair","malespero"
"Are you looking forward to the performance?","Æu vi estas antaýøojanta pri la prezentado?"
"Wet ","Humida "
"I've made a breakthrough regarding ","Mi faris progreson pri "
"armies on the march","armeojn marþantajn"
"breathy","spirega"
" body"," korpo"
"Royal Mausoleum","Reøa Maýzoleo"
