"its","его"
"to offer condolences","выразить соболезнования"
"in order to be brought to safety","чтобы отвести в безопасное место"
"to help with a rescue","помочь с спасением"
"due to insufficient work","из-за нехватки работы"
"to request work","запрашивать работу"
"that weapons be made","это оружие было сделано"
"to vent at a priest","сорваться на священника"
"to cry on a priest","плачет перед священником"
"to vent at somebody in charge","сорваться на кого-то"
"to cry on somebody in charge","плакаться кому-нибудь  "
"as the goal was not reached","так как цель не была достигнута"
"as insufficient progress was made toward the goal","поскольку был достигнут недостаточный прогресс в достижении цели"
"after going the wrong direction","после движения в неверном направлении"
"after arriving at the location","после прибытия к месту"
"as the relevant government was no longer in control","поскольку соответствующее правительство больше не контролировало"
"after leaving the site","после того, как покинул место"
"after being reunited with a loved one","после воссоединения со своей любовью"
"after a violent disagreement","против враждебного неприятия"
"after adoption","после принятия"
"after invocation of the true name","после вызова истинного имени"
"after finding ","после нахождения "
"in order to eradicate beasts","чтобы искоренить зверей"
"in order to entertain people","для того, чтобы развлекать людей"
"in order to make a living as a warrior","Чтобы жить жизнью война"
"in order to study","для того, чтобы учиться"
"in order to flee","чтобы бежать"
"after being exiled following a criminal conviction","после ссылки за осуждения по уголовному делу"
"in order to pursue scholarship","чтобы получить учёность"
"in order to be with the master","чтобы быть с мастером"
"in order to become a citizen","для того, чтобы стать гражданином"
"in order to continue working alone","для продолжения работы в одиночку"
"due to jealousy","из-за ревности"
"in order to glorify ","чтобы прославлять "
"due to a lack of performances","вследствие отсутствия выступлений"
"after being prevented from leaving","после того, как не может покинуть"
"out of curiosity","из любопытства"
"to fill a role as a mercenary","заполнить роль наемника"
"to fill a role as a performer","занять роль в качестве исполнителя"
"to fill a role as a scholar","исполнять роль ученого"
"in order to drink","для того, чтобы пить"
"in order to admire architecture","чтобы восхищаться архитектурой"
"in order to pray","для того, чтобы помолиться"
"to experience danger","переживать опасность"
"after being unable to find an artifact","после того, как не удалось найти артефакт"
"after failing to create an artifact","после провала создания артефакта"
"due to lack of sleep","из-за недостатка сна"
"after being trapped in a cage","после был пойман в клетку"
"after a great deal of stress","после сильного стресса"
"after being unable to leave a location","после невозможности покинуть место"
"in order to sanctify ","чтобы освещать "
"as an heirloom of the ","в качестве фамильной ценности "
" family"," семья"
"as a symbol of authority within ","как символ власти в пределах "
"due to envy of those that live on","из-за зависти тех, кто живет на"
"due to panic about what happens after death","из-за паники по поводу того, что происходит после смерти"
"due to fear of death","из-за страха смерти"
"unable to face any possible judgment and the afterlife","не в состоянии принять любое возможное суждение и загробную жизнь"
"being too proud to give in to death","быть слишком гордым, чтобы сдаться"
"being too vain to give in to death","быть слишком тщеславным, чтобы сдаться"
"having ambitions for which death was only a small obstacle","иметь амбиции, для которых смерть была лишь небольшим препятствием"
"due to fear of persecution","из-за страха преследования"
"to smooth the operation of ","сгладить работу "
"due to a belief in ","из-за веры в "
"as part of a trade negotiation","как часть торговых переговоров"
"in order to cement the bonds of friendship","чтобы укрепить узы дружбы"
"to gather information","собирать информацию"
"in order to find sanctuary","чтобы найти храм"
"due to a shared interest in ","из-за общей заинтересованности в "
"philosophy","философия"
"mathematics","математика"
"astronomy","астрономия"
"chemistry","химия"
"geography","география"
"medicine","медицина"
"engineering","инженерия"
"due to a lack of funds","из-за нехватки средств"
"after taking heavy losses in battle","после принятия тяжелых потерь в бою"
"after the death of ","после смерти "
"after praying to ","после молитвы к "
"after performing the rites of ","после совершения обрядов "
" in a dedicated temple"," в посвященном храме"
"after incompletely performing the rites of ","после неполного выполнения обрядов "
" in an improperly dedicated temple"," в неправильно посвященном храме"
" in an undedicated temple"," в храме посвященном "
"after dreaming of ","после мечты про "
"after a dream","после мечты"
"after a nightmare","после кошмара"
"after defeating ","после победы "
"as the item was a favorite possession","как предмет был любимым владением"
"by preserving a part of the body","путем сохранения части тела"
"after abducting ","после похищения "
"after murdering ","после убийства "
"during ","во время "
"after acquiring ","после приобретения "
"after ","после "
" was given away"," был отдан"
"after preying on the blood of civilized creatures","после охоты на кровь цивилизованных существ"
"being unnaturally ageless","быть неестественно нестареющим"
"after a scholarly lecture in ","после научной лекции в "
"after a performance in ","после выступления в "
"after accepting bribes in exchange for leniency","после получения взяток в обмен на снисхождение"
"after embezzling funds","после присвоения средств"
"after receiving a cut of corruptly-obtained funds","после получения выручки от коррупции"
"a time before time","начале времён"
" became childhood friends"," стали друзьями детства"
" cemented a bond of friendship amidst the horror of combat"," скрепил узы дружбы среди ужаса боя"
" became infatuated with "," увлекся "
" was bent toward supernatural vengeance upon "," был склонен к сверхъестественной мести "
" held a deep hatred of "," держал глубокую ненависть к "
" due to persecution"," из-за преследования"
" due to religious persecution"," из-за религиозного преследования"
" formed a grudge against "," затаил обиду на "
" over the latter's romantic relationship"," по романтическим отношениям последнего"
" became lovers"," стали любовниками"
" broke up"," разорвал"
" became friends "," стали друзьями "
"due to a shared scholarly interest","из-за общего научного интереса"
"due to a shared artistic interest","из-за общего художественного интереса"
" become friends over a shared love of athletics"," стать друзьями из-за общей любви к легкой атлетике"
" developed an athletic rivalry"," разработал спортивное соперничество"
" developed a business rivalry"," развил деловое соперничество"
" recognized "," признанное "
" as a capable and connected lieutenant with more autonomy to act on plots in the web of intrigue"," как способного поручика со связями, которому предоставлена большая автономия для реализации заговоров в сети интриг"
" constructed a masterful "," мастерски изготовил "
" created a masterful "," мастерски создал "
" masterfully dyed a "," мастерски окрасил "
"added a masterful image","нанёс великолепный рисунок"
"added a masterful covering","нанёс превосходное покрытие"
"added masterful rings","мастерски добавил кольца"
"added masterful bands","мастерски добавил полосы"
"added masterful spikes","мастерски добавил шипы"
"added a masterful chain","добавил мастерскую цепочку"
"added a masterful rope","добавил мастерски сделанную веревку"
"added masterful rollers","добавил превосходные валки"
"added a masterful handle","мастерски добавил ручку"
"added masterful thread","нанёс превосходную резьбу"
"added masterful cloth","мастерски добавил ткань"
"wove a masterful sewn image","мастерски связал картину"
"masterfully wrote","мастерски написано"
"created a masterful illustration","мастерски иллюстрировано"
"attached a masterful instrument piece","прикрепил мастерски сделанную деталь инструмента"
"created a masterful image set","создал великолепный рисунок"
"made a masterful improvement","делает шедевральное улучшение"
" to a "," к "
" prepared a masterful "," мастерски приготовил "
" created a masterful engraving"," создаёт шедевральную гравюру"
" destroyed "," уничтожен "
"a masterpiece","шедевр"
" by melting"," плавлением"
" by magma"," магмой"
" during fortification carving"," во время прорубки бойниц"
" during mining"," во время копания"
" by falling debris"," падающими обломками"
" by growing vegetation"," растущими растениями"
" masterfully constructed by "," мастерски построено "
"the masterful ","шедевральный "
" created by "," создан "
" masterfully dyed with "," мастерски окрасил "
"addition of a masterful image","мастерское добавление рисунка"
"addition of a masterful covering","мастерское добавление покрытия"
"addition of masterful rings","мастерское добавление колец"
"addition of masterful bands","мастерское добавление полос"
"addition of masterful spikes","мастерское добавление шипов"
"addition of masterful rollers","добавление мастерски выполненных валков"
"addition of a masterful handle","мастерское добавление ручки"
"addition of masterful thread","мастерское добавление нити"
"addition of masterful cloth","мастерское добавление ткани"
"weaving of a masterful sewn image","мастерское вязание гобелена"
"creation of a masterful illustration","создание великолепной иллюстрации"
"addition of a masterful instrument piece","добавление мастерски сделанной детали инструмента"
"writing of a masterpiece","написание шедевра"
"creation of a masterful image set","создание великолепного набора изображений"
"making of a masterful improvement","делает шедевральное улучшение"
" prepared by "," приготовлен "
"the masterful engraving","шедевральная гравюра"
" led the attack"," возглавил атаку"
"  The defenders were led by ","  Защитников возглавил "
", and the defenders were led by ",", а защитников возглавил "
" were hired "," были наняты "
"as scouts ","разведчиками. "
"by the attackers.","атакующими."
"  The defenders hired "," Защитники наняли "
" as scouts "," в качестве разведчиков "
"the attack by ","атака "
", the forces of ",", войска "
" rampaged throughout "," бесчинствовали по всей "
"the rampage of the forces of ","жестокость войск "
" throughout "," повсюду "
" fled "," бежал "
"the fleeing of ","побег "
" searched "," искал "
" and found nothing"," и ничего не нашел"
"the search of ","поиск "
" by the forces of "," войсками "
" slipped into "," проскользнул в "
", undetected by ",", незамечено "
"the infiltration of ","проникновение "
"the attack on ","атака на "
" defeated "," побеждён "
"the defeat of ","поражение "
" destruction of "," разрушение "
"looted treasure and seized livestock from","забрал сокровища и увел скот"
"looted treasure from","забрал сокровище из"
"stole treasure from","украл сокровище из"
"seized livestock from","изъяли скот из"
"stole livestock from","украл скот из"
"raided","ограблен"
"pillaged","разграблены"
"raiding of ","набег "
"pillaging of ","разграбление "
" freed "," освобожденный "
"the freeing of ","освобождает "
" and placed "," и установлен "
" in charge of "," во главе "
"The new government was called ","Новое правительство было названо "
" and lordship of "," и господство над "
" over "," за "
" demanded and received treasure from "," потребовал и получил сокровище от "
" demanded treasure from "," потребовал сокровище от "
" tried to secure tribute from "," пытался получить дань от "
" secured tribute from "," охраняемая дань от "
", to be delivered from ",", чтобы быть доставленным из "
" every "," каждый "
", but they had nothing left to give","но у них не осталось ничего, что они моглии бы дать"
"the failure to secure ","неспособность защитить "
"the securing of ","охрана "
" Winter"," Зима "
" Autumn"," Осень "
" Summer"," Лето"
" Spring"," Весна"
" tribute from "," дань от "
" and took over "," и взял на себя "
" and takeover of "," и захват "
" declared "," объявил "
" to be a holy city"," быть священным городом"
"the declaration that ","объявление, что "
" is a holy city"," в священном городе"
" surrendered "," сдался "
"the surrender of ","сдался "
" routed "," проложил "
" and destroyed "," и разрушен "
"the rout of ","путь "
" and destruction of "," и уничтожение "
" spotted the forces of "," обнаружили войска "
" slipping out of "," выскользнуть из "
"the detection of the forces of ","обнаружение войск "
" leaving "," покидая "
"the attack of ","нападение "
" abandoned the settlement of "," оставили поселение "
"their","их"
" settlement of "," поселение "
" withered."," угасло."
"the abandonment of ","покидание "
" formed "," сформировал "
" formed"," сформировал"
" moved"," переместился"
" became the primary criminal organization"," стали основной криминальной организацией"
"a multitude of","множество "
"hundreds","сотни"
"some hundred","несколько сотен"
"dozens of","десятки "
"several","несколько"
"a few","немного"
" the joining of "," воссоединение "
" fully incorporated into "," полностью включены в "
" began operating at the direction of "," начал работать в направлении "
" under the leadership of "," под предводительством "
" at the settlement of "," в поселении "
" regained their senses after an initial period of questionable judgment."," пришли в чувство после начального периода сомнительного судейства."
" regained their senses after another period of questionable judgment."," пришли в чувство после очередного периода сомнительного судейства."
"the formation of ","образование "
"relocation of","перемещение "
"ascendency of the criminal organization","доминирование криминальной организации"
"the incorporation of ","поглощение "
"the subordination of ","подчинение "
" into "," в "
"the return to reason at the settlement of ","возврат к порядку в поселении "
" laid a series of oppressive edicts upon "," наложил несколько несправедливых указов на "
" lifted numerous oppressive laws from "," снял несколько несправедливых законов с "
" enacted a series of oppressive laws"," ввёл несколько несправедливых законов"
" repealed numerous oppressive laws"," отменил несколько несправедливых законов"
"the proclamation of a series of oppressive edicts upon ","провозглашение серии несправедливых указов на "
"the lifting of numerous oppressive laws from ","снятие нескольких несправедливых законов с "
"the enactment of a series of oppressive laws","введение нескольких несправедливых законов"
"the repeal of numerous oppressive laws","отмена нескольких несправедливых законов"
" finished the construction of "," завершили строительство "
" as a part of "," как часть "
" connecting "," соединение "
"the completion of ","завершение "
" thrust a spire of slade up from the underworld, naming it "," воздвиг башню из слейда, восходящую из подземного мира в наш мир, и назвал её "
" rebuilt "," перестроенный "
" constructed "," построил "
", and established a gateway between worlds",", и создал проход между мирами"
" replaced "," заменил "
" razed "," разрушил "
"asked about","спросил о"
"viewed","осмотрено"
" created "," создал "
"the creation of ","создание "
"the construction of ","строительство "
"the foundation of ","основание "
"the emergence of ","появление "
"the rebuilding of ","восстановление "
" from the underworld through the power of "," из подземного мира по зову "
"the replacement of ","замена "
"the razing of ","разрушение "
"prayer inside","молитва внутри"
"disturbing","беспокойство"
"profaning","осквернение"
"inquiry after","запрос после"
"viewing of","Просмотр"
", an insurrection",", восстание"
" against"," против"
"the insurrection","восстание"
"the local government","местное правительство"
" crushed the insurrection in "," подавлено восстание в "
"the insurrection in ","восстание в "
" ended with the disappearance of the rebelling population"," закончилось исчезновением бастующего населения"
" concluded with "," заключили с "
" overthrown"," свержение"
"the crushing of the insurrection against ","подавление восстания в "
"the end of the insurrection in ","окончание восстания в "
"the overthrow of ","свержение "
" were taken by a mood to act against their better judgment at "," поддались настроению действовать против их лучших побуждений "
" launched an expedition to reclaim "," начата экспедиция по возвращению "
"the questionable judgment of ","сомнительное суждение о "
"the reclamation of ","возвращение "
" devoured "," съел "
"the devouring of ","поедание "
"burned out","сгорела"
"burned away","сгорела"
"torn off","оторвана"
"torn out","вырвана"
"stabbed out","заколота"
"slashed off","отсечена"
"slashed out","изранена"
"ripped","разорвана"
"stabbed","заколота"
"slashed","отсечена"
"smashed","раздроблен"
" as a means of torture"," как средство пыток"
"burning out","сжигая"
"burning away","сжигая"
"tearing off","отрывая"
"tearing out","вырывая"
"ripping off","разрывая"
"stabbing out","закалывая"
"slashing off","разрезая"
"slashing out","раня"
"ripping","разрывающий"
"stabbing","колющий"
"slashing","режущий"
"smashing","сокрушительный"
" were"," были"
" the first to reach the summit of "," первым достиг вершины "
"an unknown peak","неизвестного пика"
", which rises above ",", которая возвышается над "
"the climbing of ","восхождение "
" escaped from "," бежал из "
" made a journey to "," совершил путешествие в "
"the escape from ","побег из "
"the return of ","возвращение "
"the journey of ","путешествие "
" outmatched "," превосходившим "
" with a cunning plan"," с хитрым планом"
" tactical planning was superior to "," тактическое планирование было лучше "
" entirely outwitted "," полностью перехитрил "
" outmanuevered "," перехитренный "
"but","но"
"and","и"
" made an outright foolish plan"," создал откровенный глупый план"
" unrolled a brilliant tactical plan"," развернул блестящий тактический план"
" made a poor plan"," создал плохой план"
" put forth a sound plan"," выдвинуть разумный план"
" blundered terribly"," ужасно ошибался"
" hatched a stunning strategy"," вынашивал потрясающую стратегию"
" used poor tactics"," использовал плохую тактику"
" used good tactics"," использовал хорошую тактику"
"the forces were arrayed, and","войска были выстроены, и"
"the forces shifted, and","войска сдвинулись, и"
"the attackers had a strong positional advantage","атакующие имели сильное преимущество позиции"
"the attackers had a positional advantage","у нападавших было позиционное преимущество"
"the attackers had a slight positional advantage","атакующие имели небольшое преимущество позиции"
"the defenders had a strong positional advantage","защитники имели сильное преимущество позиции"
"the defenders had a positional advantage","защитники имели преимущество в позиции"
"the defenders had a slight positional advantage","защитники имели позиционное преимущество "
"neither side had a positional advantage","ни одна из сторон не имела преимущества в позиции"
"the tactical contest between ","тактическое соревнование между "
"the tactics of ","тактика "
"a tactical situation","тактическая ситуация"
"brilliantly led","блестяще вел"
"inspiringly led","вдохновляющий"
"ably led","умело привёл"
"led","лампа"
"poorly led","плохо вёл"
" clashed with "," столкнулся с "
"a lone ","в одиночестве "
"animated ","оживший "
"a single ","один "
"slaying ","убивает "
"them","их"
"dying","умирая"
"losing ","проигрыш "
"everyone","все"
"the clash between ","столкновение между "
"performed horrible experiments","проводил ужасные эксперименты"
"caroused","покутили"
"purchased ","купленный товар "
"masterwork","шедевр"
"exceptional","необыкновенный"
"superior quality","превосходного качества"
"finely-crafted","замечательного качества"
"well-crafted","хорошего качества"
" equipment"," снаряжение"
"the horrible experiments of","ужасные эксперименты"
"the carousal of","пирушка"
"the purchased of ","купленный товар "
" equipment by"," оснащение"
" tamed the "," приручил "
"wild beasts","дикие звери"
"the taming of the ","приручение "
" surprised "," застал врасплох "
" happened upon "," наткнулся на "
" cornered "," загнал в угол "
" confronted "," столкнулся с "
" got into a brawl with "," подрался с "
" fought with and subdued "," боролся и покорил "
" eventually prevailed and "," в конце концов взял верх и "
" was forced to make a hasty escape"," был вынужден поспешно отступить"
" was forced to retreat from "," был вынужден отступить от "
" despite the latter's wounds"," несмотря на раны последнего"
" managed to escape from "," удалось избежать нападения "
"'s onslaught"," натиск"
" fought with "," сражался с "
".  While defeated, the latter escaped unscathed",".  Несмотря на поражение, последний бежал невредимым"
"attack on","нападение на "
"surprising of","удивление "
"ambush of","засада "
"happening upon","случайная встреча с "
"cornering of","окружение "
"confrontation of","противостояние "
"brawl with","драка с"
"the subduing of ","подчинение "
"the escape of ","побег "
" after a horrific combat"," после ужасной битвы"
" after a punishing fight"," после тяжёлой борьбы"
"a scuffle between ","стычка между "
" in which the former emerged victorious",", в которой первый вышел победителем"
"independently discovered","независимо открыл"
"was the very first to discover","был первооткрывателем"
"discourse on ethics as it regards the benefit of the state","рассуждения об этике и её пользе для государства"
"discourse on the meaning of individual happiness","рассуждения о значении личного счастья"
"discourse on medical ethics","рассуждения о медицинской этике"
"discourse on the nature of truth","рассуждения о сущности истины"
"discourse on the nature of justification","рассуждения о сущности обоснований"
"discourse on the nature of perception","рассуждения о сущности восприятия"
"discourse on the nature of belief","рассуждения о сущности веры"
"discourse on the relationship between wholes and parts","рассуждения об отношениях между целым и частями"
"discourse on the relationship between objects and their properties","рассуждения об отношениях между объектами и их свойствами"
"discourse on the nature of mind and body","рассуждения о природе разума и тела"
"discourse on the nature of time","рассуждения о сущности времени"
"discourse on the nature of existence","рассуждения о природе существования"
"discourse on the nature of events","рассуждения о сущности событий"
"discourse on ethics as applied to war","рассуждения об этике войны"
"discourse on the nature of causation","рассуждения о природе причинности"
"discourse on the nature of processes","рассуждения о сущности процессов"
"discourse on ethics as applied to interpersonal conduct","рассуждения об этике межличностных отношений"
"discourse on education","рассуждения об образовании"
"discourse on law","рассуждения о законе"
"discourse on grammar","рассуждения о грамматике"
"discourse on social welfare","рассуждения об общественном благосостоянии"
"discourse on economic policy","рассуждения об экономической политике"
"discourse on government","рассуждения о правлении"
"discourse on diplomacy","рассуждения о дипломатии"
"the notion of etymology","понятие этимологии"
"discourse on the value of art","рассуждения о ценности искусства"
"discourse on the nature of beauty","рассуждения о природе красоты"
"the idea of using symbolic notation for addition","идея использования символьной нотации для обозначения сложения"
"the notion of conflict between members of a community","понятие конфликта между членами общества"
"the notion of bonds between members of a community","понятие границ между членами общества"
"the notion of historical, governmental and social cycles","понятие исторических, правительственных и социальных циклов"
"discourse on the causes of historical events","рассуждения о причинах исторических событий"
"the idea of source reliability","идея надежности источников"
"became obsessed with ","стал одержим идеей "
" own mortality and sought to extend "," собственной смертности и поисками способа продления "
" life by any means"," жизнь любой ценой"
"began dreaming of starting a family","начал мечтать о создании семьи"
"came to desire to rule the world","начал мечтать о правлении миром"
"began dreaming of making a great discovery","стал мечтать о великом открытии"
"began dreaming of creating a great work of art","начал мечтать о создании великого произведения искусства"
"began dreaming of crafting a masterwork","начал мечтать о создании шедевра"
"began dreaming of bringing peace to the world","начал мечтать о мире во всём мире"
"began dreaming of becoming a legendary warrior","начал мечтать о том, чтобы стать легендарным воином"
"began dreaming of mastering a skill","начал мечтать об овладении навыком"
"began dreaming of falling in love","начал мечтать о том, чтобы влюбиться"
"began dreaming of seeing the great natural wonders of the world","начал мечтать о посещении великих природных чудес света"
"began dreaming of attaining rank in society","начал мечтать о достижении звания в обществе"
"came to desire to bathe the world in chaos","пришло желание искупать мир в хаосе"
"became obsessed with an inscrutable goal","стал одержим непостижимой целью"
" was brought back from the dead"," был возвращен из мертвых"
" was disturbed from eternal rest"," был нарушен от вечного покоя"
" came back from the dead"," восстал из мёртвых"
" once more, this time"," снова, на этот раз"
"a murderous ghost","призрак-убийца"
"a sadistic ghost","призрак-садист"
"a violent ghost","жестокий призрак"
"an angry ghost","сердитый призрак"
"a moaning spirit","стонущий призрак"
"a howling spirit","ревущий дух"
"a secretive poltergeist","скрытный полтергейст"
"an energetic poltergeist","энергичный полтергейст"
"a troublesome poltergeist","беспокойный полтергейст"
"a restless haunt","беспокойный преследовать"
"a forlorn haunt","несчастный преследовать"
" as a "," в качестве "
" burned "," сгорел "
" in dragon fire"," в драконьем пламени"
" to death"," насмерть"
" shot and killed "," застрелил "
" mortally wounded "," смертельно ранен "
", who bled to death",", который истёк кровью"
", who suffocated",", задохнулся"
" hacked "," сломан "
" to pieces"," на части"
" executed "," казнён "
" beheaded "," обезглавлены "
" crucified "," распят "
" buried "," похоронен "
" alive"," заживо"
" left "," оставлен "
" out in the air"," на воздухе"
" drowned "," утонул "
" fed "," скормлен "
" to beasts"," зверям"
" struck down "," забил "
" slaughtered "," зарубил "
" drained "," осушил "
" of blood"," крови "
" murdered "," убит "
" threw "," бросил "
" against an obstacle, causing immediate death"," о препятствие, из-за чего немедленно умер"
" into a pit of spikes"," в яму с кольями"
" scared "," напуган "
"solidified","окаменел"
"was encased in cooling lava","заключён в остывающей лаве"
"was encased in cooling magma","заключён в остывающей магме"
"was encased in ice","был вморожен в лёд"
"fell into a deep chasm","упал в глубокую пропасть"
"died of old age","умер от старости"
"burned up in magma","сгорел в магме"
"burned up in ","сгорел в "
" dragon fire"," драконьем пламени"
"'s dragon fire","-драконьем пламени"
"dragon fire","пламя дракона"
"was burned to death by ","сожжён "
" fire"," пламенем"
"was burned to death by a ","сожжён "
"burned up in a magma mist","сгорел в магменном тумане"
"was crushed by a drawbridge","раздавлен мостом"
"was crushed under a collapsing ceiling","раздавлен при обвале потолка"
"was killed by falling rocks","убит упавшем камнем"
", slain by ",", убит "
", slain by a ",", убит "
", slain",", убит"
"succumbed to infection","поддались инфекции"
"was left out in the air","остался в воздухе"
"was drowned","утонул"
"was struck down","забит"
"was killed by a trap","убит ловушкой"
"was killed by a vehicle","убит вагонеткой"
"was killed by a flying object","убит летящим предметом"
"was banished by ","изгнан "
"was banished by a ","изгнан "
", struck down by a ",", убит "
", struck down ",", убит "
"died after colliding with an obstacle","умер от столкновения с препятствием"
"was impaled on spikes","насажен на колья"
"independent discovery","независимое открытие"
"initial discovery","первоначальное открытие"
"the new desire of","новое желание о "
"the new dream of","новая мечта о "
"the new obsession of","новая навязчивая идея о "
"to rule the world","править миром"
"to start a family","создать семью"
"to make a great discovery","сделать великое открытие"
"to create a great work of art","создать великое произведение искусства"
"to craft a masterwork","создать шедевр"
"to bring peace to the world","добиться мира во всём мире"
"to become a legendary warrior","стать легендарным воином"
"to master a skill","овладеть навыком"
"to fall in love","влюбиться"
"to see the great natural wonders of the world","посетить великие природные чудеса света"
"with extending ","с расширением "
" own life"," своей жизни"
"to attain rank in society","завоевать авторитет в обществе"
"to bathe the world in chaos","ввергнуть мир в хаос"
"with an inscrutable goal","непостижимой целью"
", once more,",", снова"
"the death of ","смерть "
" in a cage"," в клетке"
"the fall of ","падение "
" into a deep chasm"," в глубокую пропасть"
"the passing of ","прохождение "
"the death in the dark of ","смерть во мраке "
"the dehydration of ","обезвоживание "
"the burning of ","горение "
" in magma"," в магме"
"the boiling of ","кипение "
"the melting of ","таяние "
"the condensation of ","конденсация "
"the freezing of ","замораживание "
"the heat-induced death of ","перегрев "
"the encasement of ","замурование "
" in cooling lava"," в застывшей лаве"
" in cooling magma"," в застывшей магме"
" in ice"," во льду"
" in a "," в "
"'s fire"," пламенем"
"the scalding of ","ошпаривание "
" in a magma mist"," в тумане магмы"
"the crushing of ","дробление "
" under a drawbridge"," под подъёмным мостом"
" under a collapsing ceiling"," обрушившимся потолком"
" by falling rocks"," падающими камнями"
"the shooting of ","выстрел "
"the fatal illness of ","смертельная болезнь "
"the hacking of ","разрубание "
"the execution of ","исполнение "
"the beheading of ","обезглавливание "
"the crucifixion of ","распятие "
"the burial of ","захоронение "
"the drowning of ","утопление "
"the feeding of ","кормление "
"the killing of ","убийство "
"the slaughter of ","убийство "
"the scuttling of ","затопление "
"the draining of ","осушение "
" blood"," крови"
"the murder of ","убийство "
" by a trap"," ловушкой"
" by a vehicle"," тележкой"
" by a flying object"," летящим предметом"
"the collapse of ","обрушение "
" after an attack by "," после нападения "
" after an attack by a "," после нападения "
" after an attack"," после атаки"
" attack with "," атака с помощью "
"the vanishment of ","исчезновение "
"the putting to rest of ","упокоение "
"the collision of ","столкновение "
" with an obstacle"," с препятствием"
", after the death strike by ",", после смертельного удара "
", after the death strike by a ",", после смертельного удара "
"the impalement of ","сажание на кол "
" on spikes"," на колья"
"the scaring of ","рубцевание "
" to death "," насмерть "
"the leap of ","прыжок из "
" from a great height"," с большой высоты"
"was","был"
"were","были"
" through the efforts of "," благодаря усилиям "
"the reunion of ","воссоединение "
" abducted "," похитил "
" was abducted"," был похищен"
"the abduction of ","похищение "
"lost a hist fig entry","потеряна запись ист. фиг."
"began wandering","начал странствие"
"became a scout","стал разведчиком"
"began hunting great beasts","начал охотиться на огромных чудовищ"
"decided to become a baby-snatcher, operating","решил стать похитителем младенцев, работая"
"decided to become a mercenary, operating","решил стать наёмником, работая"
"decided to become a thief, operating","решил стать вором, работая"
"gave up being a ","отказался от работы "
" to become a ",", чтобы стать "
"became a ","стал "
"stopped being a ","перестал быть "
" out of"," из "
" the wilds"," дебрях"
"the loss of a hist fig entry","потеря записи об ист. фиг."
"the wandering","странствия"
"the scouting","разведка"
"the hunting of great beasts","охота на огромных чудовищ"
"the baby-snatching","похищение детей"
"the mercenary operation","операция наёмников"
"the thievery","похищение"
