"General","Загальне"
"an unknown artifact","невідомий артефакт"
"an unknown region","невідомий регіон"
"scuffle","бійка"
"a force","сила"
" the first of "," першим з <gent> "
" the only one of "," єдиним в "
"colored","забарвлений"
"[NAME:great axe:great axes]","[NAME:дворучна сокира:дворучні сокири]"
"[NAME:battle axe:battle axes]","[NAME:бойова сокира:бойові сокири]"
"the Dance","Танець"
"Seed","Насіння"
" Bag"," Мішок"
"Died ","Помер "
"At one with ","На одному з "
"Friend of ","Друг "
"The color ","Колір "
" happy"," щасливий"
"is depressing","пригнічує"
"nothing.","нічого."
"a day's travel","денний перехід"
"crystal glass gems","кришталь"
" chest"," скриня"
" image"," зображення"
"Select","Вибір"
"Main menu","Головне меню"
"Pause","Пауза"
"Help","Допомога"
"flowers","квіти"
"Sorting","Сортування"
"Regions","Регіони"
"Legends","Легенди"
" creature"," створіння"
"again ","знову "
" the world."," світ."
"catacombs","катакомби"
"tower","вежа"
"magma","магма"
"amber","бурштин"
"ground amber","перемелений бурштин"
"ground coral","перемелений корал"
"green glass","зелене скло"
"ground green glass","перемелене зелене скло"
"green glass paste","паста з зеленого скла"
"pressed green glass","пресоване зелене скло"
"molten green glass","розплавлене зелене скло"
"ground clear glass","перемелене прозоре скло"
"crystal glass","кришталь"
"ground crystal glass","перемелений кришталь"
"ice","лід"
"snow","сніг"
"slush","суміш"
"coal","вугілля"
"ash","попіл"
"mud","мул"
"grime","сажа"
" coughs"," кашляє"
" cough"," кашляєте"
" up blood."," кров'ю."
" vomit"," блювота"
" blood."," кров."
" trunk"," стовбур"
" roots"," коріння"
" branches"," гілки"
" twigs"," тонкі гілки"
" cap"," капелюх"
"Sharp blades","Гострі леза"
"tree","дерево"
"The music","Музика"
"sometimes","іноді"
"always","завжди"
"Each ","Кожний "
"another ","інший "
"Embark Points","Очки висадки"
"North","Північ"
"South","Південь"
"Finalizing...","Завершення..."
"   Events: "," Подій: "
"Temperate Conifer Forest","Помірні хвойні ліси"
"Tropical Dry Brdlf Forest","Сухі тропічні ліси"
"Tropical Moist Brdlf Forst","Вологі тропічні ліси"
"Temperature: ","Клімат: "
"Warm","Теплий"
"Trees: ","Дерева: "
"Scarce","Обмаль"
"Sparse","Доволі рідко"
"Woodland","Ліси"
"Heavily Forested","Густі ліси"
"Other Vegetation: ","Інша рослинність: "
"Moderate","Помірно"
"Thick","Густо"
"River: ","Річка: "
"Minor River: ","Мала річка: "
"Stream: ","Потік: "
"Brook: ","Струмок: "
"Volcano: ","Вулкан: "
"Mountain: ","Гора: "
"Ice","Лід"
"Shallow Clay","Глина (не глибоко)"
"Little soil","Ґрунт (мало)"
"Some soil","Ґрунт (небагато)"
"Deep soil","Ґрунт (глибокий)"
"Very deep soil","Ґрунт (дуже глибокий)"
"Extremely deep soil","Ґрунт (надзвичайно глибокий)"
"Flux stone layer","Шар флюсу"
"Medium","Середній"
"Small","Малий"
"Smaller","Дуже маленький"
"Pocket","Компактний"
"250 years","250 років"
"5 years","5 років"
"Everywhere","Всюди"
"Frequent","Часто"
"Rare","Рідко"
"personally ","особисто "
"is trusting","довірливий"
"is assertive","наполегливий"
" in conversation"," у спілкуванні"
", although ",", хоча "
" body"," тіло"
"work","робота"
"Grass","Трава"
"Dry ","Сухий "
"Dry Grass","Суха трава"
"Level","Рівень"
"Young ","Молоде "
"Ashes","Попіл"
"Waterfall","Водоспад"
"River","Річка"
" Downward Slope"," схил"
"Unknown","Невідомий"
"Warm ","Теплий "
"wall","стіна"
"rusted metal","заіржавілий метал"
"white cloth","біла тканина"
"[DESCRIPTION:The ","[DESCRIPTION: "
" chests"," скрині"
" pipes"," труби"
"string","рядок"
"drums","барабани"
"triangles","трикутники"
"The musician ","Музикант "
"[CONTAINS:sand]","[CONTAINS:пісок]"
"[ODOR_STRING:death]","[ODOR_STRING:смертю]"
"shade","тінь"
"brown","коричневий"
"green","зелений"
"white","білий"
"flame","полум'я"
"composed of flame","складається з полум'я"
"red","червоний"
"inferno","пекло"
"flare","блиск"
"flash","спалах"
"flaming","палаючий"
"scorching","палючий"
"composed of amber","складається з бурштину"
"composed of coral","складається з коралів"
"composed of green glass","складається із зеленого скла"
"composed of clear glass","складаються з прозорого скла"
"composed of crystal glass","складається з кришталю"
"black","чорний"
"[CDI:ADV_NAME:Hurl fireball]","[CDI:ADV_NAME:Метати вогняні кулі]"
"[CDI:ADV_NAME:Spray jet of fire]","[CDI:ADV_NAME:Порскати струменем вогню]"
"[ODOR_STRING:mud]","[ODOR_STRING:бруд]"
"[ODOR_STRING:smoke]","[ODOR_STRING:димом]"
"[CDI:ADV_NAME:Spray web]","[CDI:ADV_NAME:Порскати павутиною]"
" tail"," хвіст"
" tails"," хвости"
"swamp","болотний"
"marsh","болотний"
"sand","піщаний"
"desert","пустельний"
"jungle","джунглі"
"forest","лісний"
"ocean","морський"
"lake","озерний"
"glacier","льодовиковий"
"tundra","тундра"
"brush","чагарниковий"
"savanna","савана"
"plains","рівнинний"
"hill","пагорб"
" titan:"," титан:"
" titans:"," титани:"
"-titan]","-титан]"
"horned","рогатий"
"winged","крилатий"
"skinless","обезшкірений"
"three-eyed","триокий"
"one-eyed","одноокий"
"eyeless","безокий"
"blind","сліпий"
"demon","демон"
"demons","демони"
"demonic","демонічний"
"devil","диявол"
"devils","дияволи"
"fiend","дідько"
"fiends","дідьки"
"monsters","монстри"
"spirit","дух"
"spirits","духи"
"ghost","привид"
"ghosts","привиди"
"wraith","привид"
"hand","рука"
"fighter","боєць"
"Doom","Загибель"
"bane","отрута"
"Ruination","Крах"
"Hand","Рука"
"butcher","м'ясник"
"[NAME:shirt:shirts]","[NAME:сорочка:сорочки]"
"[NAME:cap:caps]","[NAME:шапка:шапки]"
"[NAME:helm:helms]","[NAME:шолом:шоломи]"
"[NAME:hood:hoods]","[NAME:каптур:каптури]"
"[NAME:turban:turbans]","[NAME:тюрбан:тюрбани]"
"[NAME:mask:masks]","[NAME:маска:маски]"
"[NAME:sock:socks]","[NAME:шкарпетка:шкарпетки]"
"[NAME:sandal:sandals]","[NAME:сандаля:сандалі]"
"[ATTACK:BLUNT:1:10:lash:lashes:NO_SUB:5000]","[ATTACK:BLUNT:1:10:батіг:батоги:NO_SUB:5000]"
"[NAME:arrow:arrows]","[NAME:стріла:стріли]"
"[NAME:halberd:halberds]","[NAME:алебарда:алебарди]"
"[NAME:maul:mauls]","[NAME:кувалда:кувалди]"
"[NAME:war hammer:war hammers]","[NAME:бойовий молот:бойові молоти]"
"She","Вона"
"Slowly","Повільно"
"Suddenly","Зненацька"
"Only","Тільки"
"Time","Час"
"The Day","День"
"The Night","Ніч"
"The Wind","Вітер"
"The Sea","Море"
"The Sands","Піски"
"The Wise","Мудрість"
"The Dirt","Бруд"
"The Fool","Дурень"
"The Future","Майбутнє"
"The Past","Минуле"
"Will Tell","Скаже"
"Can Say","Може сказати"
"Know","Знає"
"Laugh","Сміх"
"the Verse","Вірш"
"the Words","Слова"
"the Voice","Голос"
"the Rhythm","Ритм"
"the Music","Музика"
" Language"," Мова"
"Friends","Друзі"
"the Lie","Брехня"
"Lies","Брехня"
"Plans","Плани"
"the Word","Слово"
"Words","Слова"
"Complaints","Скарги"
"Willpower","Сила волі"
"Joy","Радість"
"Quality","Якість"
"Method","Метод"
"Dialogue","Діалог"
"Happiness","Щастя"
"the Facts","Факти"
"Proof","Доказ"
"the Soul","Душа"
"the Body","Тіло"
"the Mind","Розум"
"the War","Війна"
"Laws","Закони"
"the Rule","Закон"
"the Law","Закон"
"Education","Освіта"
"Economics","Економіка"
"Government","Уряд"
"Beauty","Краса"
"the Proof","Доказ"
"the Line","Пряма"
"the Method","Метод"
"the Triangles","Трикутники"
"Perpendicularity","Перпендикулярність"
"Right Triangles","Прямокутні трикутники"
"Isoceles Triangles","Рівнобедрений трикутник"
"the Angles","Кути"
"the Right Triangle","Прямокутний трикутник"
"the Hypotenuse","Гіпотенуза"
"the Postulates","Постулати"
"the Axioms","Аксіоми"
"the Volume","Об'єм"
"the Pyramid","Піраміда"
"the Greatest Common Divisor","Найбільший спільний дільник"
"the Algorithm","Алгоритм"
"Uniqueness","Унікальність"
"the Cone","Конус"
"Division","Ділення"
"the Table","Таблиця"
"Circles","Кола"
"the Circle","Коло"
"the Area of Circles","Площа кола"
"the Triangle","Трикутник"
"the Area","Площа"
"the Parabola","Парабола"
"Remainders","Остача"
"the Diagonal","Діагональ"
"the Infinite","Нескінченність"
"the Sphere","Сфера"
"the Formula","Формула"
"the Equation","Рівняння"
"Reliability","Надійність"
"Biographies","Біографії"
"Cultures","Культури"
"Ruins","Рухни"
"the Tides","Припливи"
"the Moon","Місяць"
"the Center","Центр"
"the Year","Рік"
"the Sun and Moon","Сонце і Місяць"
"the Eclipse","Затемнення"
"the Stars","Зорі"
"Star Charts","Зоряна карта"
"the Brightness of Stars","Яскравість зір"
"the Path","Шлях"
"Precession","Прецесія"
"Diseases","Хвороби"
"the Muscles","М'язи"
"the Tavern","Корчма"
"Loss","Втрата"
"Neighbors","Сусіди"
"the Diplomat","Дипломат"
"the Secret","Секрет"
"the Gift","Дарунок"
"Treasure","Скарб"
"Genius","Геній"
"the Discovery","Відкриття"
"the Uprising","Повстання"
"the Rebellion","Бунт"
"the Revolt","Переворот"
"the Revolution","Революція"
"the Insurrection","Заколот"
"the Battle","Битва"
"Hunger","Голод"
"the Duel","Дуель"
"the Explorer","Дослідник"
"the Summit","Зустріч"
"the Traveler","Мандрівник"
"the Mystery","Таємниця"
"Ruin","Руїни"
"force","сила"
"the Spirit","Дух"
"the Fortress","Фортеця"
"the Forest","Ліс"
"the Trees","Дерева"
"the Village","Село"
"the Maze","Лабіринт"
"the Castle","Замок"
"the Vault","Сховище"
"the Region","Регіон"
"the World","Світ"
"the Desert","Пустеля"
"the Mountains","Гори"
"the Sea","Море"
"the Ocean","Океан"
"the Ice","Лід"
"the Tundra","Тундра"
"the Plains","Рівнини"
"the Magma","Магма"
"the Caverns","Печери"
"a population of ","населення "
"the People","Люди"
"the Faith","Віра"
"the Religion","Релігія"
"technological evolution","технічна еволюція"
"archaeology","археологія"
"moon phases","місячні фази"
"the sun and seasons","сонце і пори року"
"the lever","важіль"
"the wedge","клин"
"gears","коліщата"
"Created in DF ","Створено в DF "
"Never Married","Ніколи не одружувався"
" Child"," Дитина"
"visitor","гість"
" but",", але"
"Woven Clothing","В'язаний одяг"
"house","дім"
"market square","ринкова площа"
"vault","сховище"
"warehouse","склад"
"yard","двір"
"fortress entrance","вхід до фортеці"
"shrine","вівтар"
"X Dimension","Розмір по X"
"Y Dimension","вісь <<y>>"
"Rain","Опади"
"Flux Stone Layer","Шар флюсу"
"Underground River","Підземна річка"
"Underground Pool","Підземне озеро"
"Magma Pool","Озеро магми"
"Soil","Ґрунт"
" Deep"," Глибоко"
" Some"," Небагато"
"Searching ","Йде пошук "
"Unretire ","Залишити "
"Embark preparations were not completed.","Приготування до висадки не завершені."
"Profile ","Профіль "
"** Starting New Outpost **","** Створення нового форпоста **"
""", a ",""", "
"fortress","фортецю"
"labyrinth","лабіринт"
"keeps ","тримає "
"When ","Коли "
" when "," коли "
"shakes ","трусить "
"runs ","біжить "
" rolls "," котитися "
"blows ","дує "
" starts getting bored"," починає нудьгувати"
"Water is frozen","Вода замерзла"
"Need cloth","Потрібна тканина"
"miner","шахтар"
"carpenter","тесляр"
"woodcutter","лісоруб"
"engraver","гравер"
"mason","муляр"
"jeweler","ювелір"
"potter","гончар"
"weaver","ткач"
"clothier","кравець"
"glassmaker","скляр"
"fishery worker","рибний промисловець"
"fisherman","рибалка"
"fish dissector","рибообробник"
"fish cleaner","рибоочисник"
"farmer","землероб"
"milker","дояр"
"gelder","каструвальник"
"shearer","стригаль"
"spinner","прядильщик"
"cook","кухар"
"thresher","молотник"
"miller","мірошник"
"dyer","фарбувальник"
"presser","пресувальник"
"beekeeper","бджоляр"
"planter","садівник"
"herbalist","травник"
"brewer","бровар"
"soap maker","миловар"
"potash maker","виробник поташу"
"lye maker","лужник"
"wood burner","золяр"
"engineer","технік"
"mechanic","механік"
"siege engineer","конструктор облогових машин"
"siege operator","облоговий машиніст"
"pump operator","машиніст-насосник"
"trader","торговець"
"suturer","накладач швів"
"merchant","торговець"
"drunk","п'яниця"
"hammerman","молотобоєць"
"spearman","списоносець"
"crossbowman","арбалетник"
"wrestler","борець"
"axeman","сокирник"
"swordsman","мечник"
"maceman","боєць з булавою"
"bowman","лучник"
"lasher","батогар"
"recruit","новобранець"
"Peasant","Селянин"
"Corpse","Трупи"
"the force","сила"
"Woodworker","Деревообробник"
"Armorer","Бронник"
"Soap Maker","Миловар"
"Clerk","Писар"
"Trader","Торговець"
"Philosopher","Філософ"
"Historian","Історик"
"Naturalist","Природознавець"
"Drunk","П'яничка"
"Scout","Розвідник"
"Beast Hunter","Звіролов"
"Recruit","Новобранець"
"Baby","Дитинча"
" has stopped responding to the world..."," замкнувся у собі..."
" has gone berserk!"," геть сказився!"
" has gone stark raving mad!"," конче збожеволів!"
" is stricken by melancholy!"," впав у меланхолію!"
" has forgotten a demand."," забув про свою вимогу."
" has a new demand."," має нову вимогу."
" has mandated the construction of certain goods."," вимагає випуску певних товарів."
" has imposed a ban on certain exports."," заборонив експорт деяких товарів."
" has altered the prices of goods."," передивився ціни на товари."
" caught in a cloud of "," охоплений хмарою "
"You have learned the power ""","Ви опанували силу """
"You have ","Ви "
"transformed into a ","перетворився на "
"a shortage of patience","нетерплячий"
" (no library)"," (немає бібліотеки)"
"Generating world using parameter set ","Генеруємо світ за заданими параметрами "
" Seed: "," Зерно: "
" History Seed: "," Зерно історії: "
" Name Seed: "," Зерно назви: "
" Creature Seed: "," Зерно істот: "
"It is raining ","З неба ллється "
"It is snowing ","З неба падає "
"Winter is upon you.","Вас застигла зима."
"Winter has arrived on the calendar.","За календарем настала зима."
"The dry season has come.","Почався засушливий сезон."
"Autumn has come.","Прийшла осінь."
"Autumn has arrived on the calendar.","За календарем настала осінь."
"It is now summer.","Настало літо."
"Summer has arrived on the calendar.","За календарем настало літо."
"The wet season has arrived!","Почався сезон дощів."
"Spring has arrived!","Весна прийшла!"
"Spring has arrived on the calendar.","За календарем настала весна."
" improved "," покращено "
" masterfully!"," майстерно!"
"This artwork is a","Цей твір"
"This engraving appears on a wall ","Це вигравування знаходиться на стіні "
"This engraving appears on a floor ","Це вигравування знаходиться на підлозі "
" somewhere"," десь"
"This artwork appears ","Цей твір знаходиться "
"on the back of ","на зворотньому боці "
"on the front of ","спереду "
"This artwork appears on a ","Цей твір знаходиться на "
"This work of art is a ","Це витвір мистецтва "
" and was crafted in "," і був виготовлений в "
"It is a","Це"
"Engraved ","гравірування "
"on the floor ","на підлозі "
"on the wall ","на стіні "
"On the coin's back ","На обороті монети "
"On the front of the coin ","На лицьовій частині монети "
"On the item ","На предметі "
"The item ","Предмет "
"is a","є"
" fine"," відмінний"
" rendition of "," відтворення "
" masterfully designed"," майстерно зроблений"
"n exceptionally designed","винятково зроблений"
" superiorly designed"," чудово зроблений"
" finely-designed"," якісно  зроблений"
" well-designed"," добре зроблений"
"The artwork relates to ","Цей твір пов'язаний з "
" during "," протягом "
"was commissioned by","замовлено"
"is the symbol of","є символом"
"Something has collapsed on the surface!","Щось обвалилося на поверхні!"
"After a polite discussion with local rivals, ","Після ввічливого обговорення з місцевими конкурентами, "
"After a polite discussion with a local rival, ","Після ввічливого обговорення з місцевим конкурентом, "
" has claimed the position of "," обійняв посаду "
", being the rightful heir, has inherited the position of ",", будучи законним спадкоємцем, успадкував посаду "
" has been appointed to the position of "," був призначений на посаду "
" has been elected to the position of "," був обраний на посаду "
"very near","дуже близько"
"far","далеко"
"nearly a day's travel","майже денний перехід"
"a half day's travel","пів-денна подорож"
"a short walk","коротка прогулянка"
"aboveground","на поверхні"
"inaccessible from here","недоступний звідси"
"in the depths","в глибині"
"A snow storm has come.","Налетіла снігова буря."
"It has started raining.","Пішов дощ."
"The weather has cleared.","Погода покращується."
"You have discovered a river.","Ви знайшли річку."
"You have discovered an expansive cavern deep underground.","Ви знайшли великі печери глибоко під землею"
"You have discovered a great magma sea.","Ви знайшли велике море магми."
"You have discovered a deep pit.","Ви знайшли глибоку яму."
"You have discovered a magma pool.","Ви виявили озеро магми."
"You have discovered a volcano.","Ви знайшли вулкан"
"!  Praise the miners!","! Слава шахтарям!"
"You have found a curious underground structure.","Ви знайшли цікаву підземну структуру"
"You have struck ","Ви знайшли "
"The falling debris has defaced a ","Падаючі уламки зіпсували "
"The impertinent vegetation has defaced a ","Рослини пошкодили "
"A careless farmer has defaced a ","Необережний фермер пошкодив "
"A foolish builder defaced a ","Дурний будівельник пошкодив "
" have married.  Congratulations!"," одружилися. Вітаємо!"
"green glass gems","криштали зеленого скла"
"clear glass gems","криштали прозорого скла"
" is throwing a tantrum!"," впадає в істерику!"
" has slipped into depression..."," полинув у депресію ...   "
" is stumbling around obliviously!"," безцільно метається навколо!"
" has entered a martial trance!"," впав у бойовий транс!"
"eat","їсте"
"eats","їсть"
" has guzzled some "," вилакав трохи "
"You feed on ","Ви годуєте "
" flounder"," борсаєтеся"
" flounders"," спотикається"
" in the water"," у воді"
" in the lava"," у лаві"
" in the magma"," в магмі"
" push "," штовхаєте "
" pushes "," штовхає "
" lose hold of the "," втрчаєте володіння "
" loses hold of the "," втрачає володіння "
"You stand up.","Ви підіймаєтесь."
" stands up."," підіймається."
"You lie on the ground.","Ви лежите на землі."
" lies on the ground."," лежить на землі."
