"more presumptious","ngÕo mÕn h½n"
" reciting the words of "," ngâm nga l¶i cüa "
"I was never one to follow advice.","Tôi v¯n không phäi ngß¶i hay nghe theo l¶i khuyên."
"Summaries","Các bän tóm t¡t"
"Track/Ramp (NS)","Ğß¶ng ray/D¯c (B¡c Nam)"
"Lonely","Cô ğ½n"
"The musician blows into the instrument and selects pitch ","NhÕc công th±i vào nhÕc cø và ch÷n cao ğµ "
"No, this isn't humiliating.","Không, ği«u này không h« nhøc nhã."
"Saving incidents...","Ğang lßu các biªn c¯..."
"Acknowledge lack of alarm","Th×a nh§n không có báo ğµng"
"mandate was obeyed","M®nh l®nh ğã ğßşc tuân thü"
" held a procession"," ğã t± chÑc mµt cuµc rß¾c"
" can be heard howling throughout the fortress!"," có th¬ nghe th¤y tiªng hú vang kh¡p pháo ğài!"
"Minimum River Start Locations (Pre-Erosion)","S¯ v¸ trí kh·i ğ¥u sông t¯i thi¬u (Trß¾c xói mòn)"
"Nearest-neighbor","Lân c§n g¥n nh¤t"
"Triumphant","Ğ¡c th¡ng"
"found","Ğã tìm th¤y"
"chemistry:laboratory:crucible","Hóa h÷c:Thiªt b¸:Chén nung"
" as the dancer acts out "," khi vû công di­n tä "
" in order to secure embezzled funds in "," ğ¬ ğäm bäo quÛ bi¬n thü · "
"You need a broker with","BÕn c¥n mµt ngß¶i môi gi¾i có"
"being unoccupied for too long","Nhàn r²i quá lâu"
"a legendary killer","mµt sát thü huy«n thoÕi"
"underworld spire","ng÷n tháp âm phü"
"   Events: "," Sñ ki®n: "
"after admiring art","Sau khi thß·ng thÑc ngh® thu§t"
"Glue","Keo Dán"
"How exhilarating!","Th§t là ph¤n kh·i làm sao!"
"has a habit of running ","có thói quen chÕy "
"Click a mod to open its folder.","Nh¤n vào mµt bän mod ğ¬ m· thß møc cüa nó."
"But if one of these brave workers falls, you'll need to assign somebody to these duties.","Nhßng nªu mµt trong nhæng ngß¶i thş dûng cäm này ngã xu¯ng, bÕn s¨ c¥n giao ai ğó cho nhæng nhi®m vø này."
"Remove fluids and spatter from the arena.","LoÕi bö ch¤t löng và vªt b¡n tung tóe khöi ğ¤u trß¶ng."
"slashing off","chém ğÑt"
"State minor feeling of exasperation","Bµc lµ cäm giác bñc mình tµt ğµ thoáng qua"
"You failed to dismount","BÕn ğã th¤t bÕi khi xu¯ng thú cßŞi"
" are vying for control."," ğang tranh giành quy«n ki¬m soát."
"In a berserk rage!","Trong c½n cu°ng nµ!"
"Almost guaranteed","G¥n nhß ch¡c ch¡n"
"Bring up the reunion of ","Ğ« c§p cuµc ğoàn tø cüa "
"finds artwork boring","Th¤y tác ph¦m ngh® thu§t nhàm chán."
"in existential crisis","trong khüng hoäng hi®n sinh"
"notably polite","L¸ch thi®p ğáng chú ı"
"At times, creeping things slither out from below ground.","Ğôi khi, nhæng sinh v§t bò trß¶n thoát ra t× lòng ğ¤t."
"Goods","Hàng hóa"
" originating in "," có ngu°n g¯c t× "
"Friendly fire isn't currently possible, so your companions should be safe.  ","B¡n nh¥m ğ°ng ğµi hi®n tÕi là không th¬, vì v§y bÕn ğ°ng hành cüa bÕn s¨ an toàn. "
"three","ba"
"butcher","Thş m± th¸t"
"'s refusal of ","sñ t× ch¯i cüa "
"the loss of heroic status of","sñ m¤t ği ğ¸a v¸ anh hùng cüa"
"(Combat) Enraged","(Chiªn ğ¤u) Cu°ng nµ"
"Main Ceremony","Nghi l­ chính"
"hate","ghét"
"World Joining Agreement","Thöa thu§n Gia nh§p Thª gi¾i"
"The sky is alive with vortices of purple light and dark, boiling clouds","B¥u tr¶i s¯ng ğµng v¾i nhæng xoáy ánh sáng tím và nhæng ğám mây ğen, cu°n cuµn."
"A pool of ","Mµt vûng "
"mathematics:geometry:pythagorean theorem","toán h÷c:hình h÷c:ğ¸nh lı Pytago"
"hateful","Cåm ghét"
"  I've already searched in "," Tôi ğã tìm kiªm tÕi "
"heavily-armored ","binh lính b÷c giáp hÕng n£ng "
"Resting orientation","Hß¾ng nghï ng½i"
"is offended by leisure time and leisurely living","b¸ xúc phÕm b·i th¶i gian ränh r²i và l¯i s¯ng nhàn hÕ"
"noted quarreler","kë gây h¤n có tiªng"
"lost faith in","m¤t ni«m tin vào"
"Vertical keyboard scroll tiles","Cuµn gÕch n«n d÷c b¢ng bàn phím"
"Reaction Time","Th¶i Gian Phän ºng"
"cooking","ğang n¤u ån"
" constantly rolls "," liên tøc cuµn "
"beast from the wilds","dã thú t× vùng hoang dã"
"fright","sş hãi"
"Ground","M£t ğ¤t"
"Wilderness Curious Wander","Lang thang tò mò n½i hoang dã"
" the words of "," l¶i cüa "
"Retrieve ","L¤y v« "
"plot assassin","Sát thü chü ch¯t"
"Move upward.","Di chuy¬n lên trên."
"depression propensity","Xu hß¾ng tr¥m cäm"
"You honor ","Ngài ğã vinh danh "
"Cannot build at highest level","Không th¬ xây dñng · t¥ng cao nh¤t"
"more disdainful","khinh thß¶ng h½n"
"Migrants were too nervous to make the journey this season to this miserable fortress.","Mùa này nhæng ngß¶i di cß quá lo l¡ng ğ¬ thñc hi®n chuyªn ği ğªn pháo ğài thê lß½ng này."
"medicine:method:surgery probing","Y h÷c: Phß½ng pháp: Phçu thu§t thåm dò"
"a simple passage","mµt ğoÕn nhÕc ğ½n giän"
"mathematics:numbers:unique prime factorization","toán h÷c:s¯ h÷c:phân tích th×a s¯ nguyên t¯ duy nh¤t"
"Routines are individual orders given to a squad or individual members of a squad.  From here you ","Các thói quen là nhæng l®nh riêng lë ğßşc ğßa ra cho mµt ğµi quân ho£c các thành viên riêng lë cüa mµt ğµi quân. T× ğây, bÕn "
"Dormitories should include multiple beds and will not belong to a particular citizen.","Kı túc xá nên bao g°m nhi«u giß¶ng và s¨ không thuµc v« mµt cß dân cø th¬ nào."
"Is that ","Li®u ğó có phäi là "
"drinking something spoiled","U¯ng ğ° ğã b¸ höng"
" own life, with everything kept in its proper place"," cuµc s¯ng cüa mình, v¾i m÷i thÑ ğßşc giæ ğúng v¸ trí"
"You might want to adjust the parameters governing elevation frequencies.  ","BÕn có th¬ mu¯n ği«u chïnh các tham s¯ chi ph¯i t¥n su¤t ğµ cao. "
" together"," kªt hşp"
"Elevation negative on graphical map export (main)","Ğµ cao âm khi xu¤t bän ğ° ğ° h÷a (chính)"
"Encounter","G£p gŞ"
"was crushed by a rock","b¸ ğá nghi«n nát"
"When there's a pause in a conversation, ","Khi có mµt khoäng d×ng trong cuµc trò chuy®n, "
"It is not convincing.","Nó không thuyªt phøc."
"This is really exciting!","Ği«u này th§t sñ thú v¸!"
"Grab Shield","L¤y Khiên"
"the Examination","Khám Nghi®m"
"Not inclined to create art","Không có khuynh hß¾ng sáng tÕo ngh® thu§t"
"Eerie Glowing Pit","H¯ phát sáng kÏ quái"
"I was not able to petition for citizenship.","Tôi ğã không th¬ kiªn ngh¸ xin quy«n công dân."
" changing "," thay ğ±i "
"the request by ","yêu c¥u cüa "
"Nest","T±"
"half ","mµt nØa "
"older half-brother","Anh trai cùng cha/m© khác"
"blowgun","¯ng th±i tiêu"
"being away from great beasts for so long","Xa nhæng quái thú vî ğÕi su¯t mµt th¶i gian dài"
"  Body corrupted beyond reckoning, "," Thân xác b¸ biªn ch¤t ğªn mÑc không th¬ nh§n ra, "
" strong"," mÕnh m¨"
"This dancer","Vû công này"
"Planting","Tr°ng tr÷t"
"less gracious","ít l¸ch thi®p h½n"
"Cough blood","Ho ra máu"
"Sharp blades","LßŞi s¡c bén"
"for","cho"
"Trade at depot","Giao thß½ng tÕi trÕm giao d¸ch"
"admire architecture","ngßŞng mµ kiªn trúc"
"Tower","Tháp"
"fishery worker","Công nhân ngß trß¶ng"
"has a habit of chewing on ","có thói quen nhai "
"Archery Range","Trß¶ng b¡n cung"
" is threatened!  The forces of "," ğang b¸ ğe d÷a! Các thª lñc cüa "
"This is the movement options menu.  Here you can choose your gait and see your current stealth profile.  ","Ğây là menu tùy ch÷n di chuy¬n. TÕi ğây bÕn có th¬ ch÷n dáng ği cüa mình và xem h° s½ tàng hình hi®n tÕi. "
"Siege","Khí tài công thành"
"nephew","cháu trai"
"What's so special about art?","Ngh® thu§t có gì ğ£c bi®t?"
" year"," nåm"
"Surgical Scissors","Kéo Phçu Thu§t"
"a way with words","tài ån nói khéo léo"
"Injured party: ","Bên b¸ hÕi: "
"Name the image","Ğ£t tên hình änh"
"This is an example urgent alert!  These are very important.  Ignore them at your peril.","Ğây là mµt ví dø v« cänh báo kh¦n c¤p! Chúng r¤t quan tr÷ng. Hãy ph¾t l¶ chúng và ch¸u rüi ro cüa bÕn."
"You are too tired to stand.","Ngß½i quá m®t möi ğ¬ ğÑng d§y."
"Sparse","Räi Rác"
" masterfully dyed a "," nhuµm màu mµt cách b§c th¥y mµt "
"reelected","Ğã ğßşc tái b¥u cØ"
"geographer","Nhà ğ¸a lı h÷c"
" wafers"," lát möng"
"is the symbol of","là bi¬u tßşng cüa"
"No particular deity","Không có v¸ th¥n cø th¬ nào"
"over at ","tÕi "
"State feelings of great dejection","Bày tö cäm giác chán nän sâu s¡c"
"Click an icon to set stockpile type.","Nh¤p vào mµt bi¬u tßşng ğ¬ ğ£t loÕi kho dñ træ."
"My sibling shared a personal insight with me.","Ngß¶i anh ch¸ em cüa tôi ğã chia së mµt cái nhìn sâu s¡c cá nhân v¾i tôi."
" and fulfill your destiny."""," và hoàn thành v§n m®nh cüa ngß½i."
"Peace is cherished.","Hòa bình ğßşc trân tr÷ng."
"Water flows from the adjacent input tile","Nß¾c chäy t× ô ğ¥u vào li«n k«"
"A mandate has ended.","Mµt s¡c l®nh ğã kªt thúc."
"after wandering","Sau khi lang thang"
" (barrel)"," (thùng)"
"Loading history...","Ğang täi l¸ch sØ..."
"right under you","ngay bên dß¾i bÕn"
"bulging","l°i"
"the underworld","thª gi¾i ng¥m"
"because of a leadership change at the site","vì có sñ thay ğ±i lãnh ğÕo tÕi ğ¸a ği¬m ğó"
"disdain advice","Khinh thß¶ng l¶i khuyên"
"  The task is accomplished."," Nhi®m vø ğã hoàn thành."
"How have things been?","M÷i vi®c thª nào r°i?"
"dislikes helping others","không thích giúp ğŞ ngß¶i khác"
"Missing","M¤t tích"
"Magma forge","Lò rèn dung nham"
"room","Phòng"
"Verbally struggle against great shock","L¶i nói ğ¤u tranh ch¯ng lÕi sñ choáng váng tµt ğµ"
"Assign a trainer to this creature.","Chï ğ¸nh mµt ngß¶i hu¤n luy®n cho sinh v§t này."
"Spread rumor of the ","Lan truy«n tin ğ°n v« "
"Saving coin information...","Ğang lßu thông tin ti«n t®..."
"Loud movement","Di chuy¬n °n ào"
"The poem has ","Bài th½ có "
"I'm not feeling gloomy.","Ta không cäm th¤y u ám."
"Winter","Mùa Ğông"
"Invader vertical digging aversion (smaller = more digging)","MÑc ğµ ác cäm ğào d÷c cüa quân xâm lßşc (nhö h½n = ğào nhi«u h½n)"
"dictionaries","t× ği¬n"
" regarding the conflict between "," liên quan ğªn xung ğµt giæa "
" bodies"," các thân"
"Decorum","Phép t¡c"
"Remove current location assignment","Xóa bö chï ğ¸nh ğ¸a ği¬m hi®n tÕi"
"I'm not feeling passionate.","Ta không cäm th¤y say mê."
"Disdains harmony","Khinh thß¶ng sñ hòa hşp"
"Art?  More like wasted opportunity.","Ngh® thu§t ß? Gi¯ng nhß mµt c½ hµi b¸ lãng phí thì ğúng h½n."
"Criminal","Tµi phÕm"
"right around here","ngay quanh ğây"
"Glee!","Hân hoan!"
"A beast from the wilds has been harassing our people.","Mµt quái thú t× vùng hoang dã ğã qu¤y nhi­u dân tµc chúng ta."
"Approve of the joke","Tán thành trò ğùa"
"new grudge","M¯i thù h¢n m¾i"
" being abandoned"," b¸ bö d·"
"deep material ","v§t li®u sâu "
"You must build [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Hospital[C:7:0:0] to store these items. ","BÕn phäi xây dñng [C:6:0:0]Rß½ng[C:7:0:0] ho£c [C:6:0:0]Hòm[C:7:0:0] bên trong [C:1:0:1]B®nh Vi®n[C:7:0:0] ğ¬ c¤t giæ nhæng v§t ph¦m này. "
" (associated civilization)[R]"," (N«n vån minh liên kªt)[R]"
"is very long and muscular","r¤t dài và vÕm vŞ"
"You can build staircases to connect different elevations.  Staircases must span at least two elevations.  Requires boulder, block, or wood.","BÕn có th¬ xây c¥u thang ğ¬ n¯i các ğµ cao khác nhau. C¥u thang phäi kéo dài ít nh¤t hai ğµ cao. Yêu c¥u ğá täng, kh¯i ho£c g²."
"Release other prisoners","Giäi phóng các tù nhân khác"
"Gouge ","Khoét "
"cook","Ğ¥u bªp"
"shrew","chuµt chù"
"bacchic","nh¸p bacchic"
"Item inaccessible","V§t ph¦m không th¬ tiªp c§n"
"Archer Reposition","Cung thü tái b¯ trí"
"Seek Heist Master","Tìm Kë chü mßu Vø trµm"
"believes the idea of war is utterly repellent and would have peace at all costs","tin r¢ng ı tß·ng v« chiªn tranh là hoàn toàn ğáng ghê t·m và mong mu¯n hòa bình b¢ng m÷i giá"
"The Dirt","Ğ¤t"
"to fill a role as a mercenary","ğ¬ ğäm nh§n vai trò lính ğánh thuê"
"The rules of the form are applied by composers to produce individual pieces of music which can be performed.  ","Các quy t¡c cüa hình thÑc này ğßşc các nhà soÕn nhÕc áp døng ğ¬ tÕo ra các tác ph¦m âm nhÕc cá nhân có th¬ ğßşc trình di­n. "
"the counterpoint of the","ğ¯i âm cüa"
"Diseases","B®nh T§t"
" guild"," Hµi"
"poetry","th½ ca"
"engineering:astronomy:astrolabe","KÛ thu§t:Thiên vån h÷c:Thß¾c tr¡c tinh"
" Year"," Nåm"
" crucified "," b¸ ğóng ğinh "
"three thousand","ba nghìn"
"Don't talk to me.","Ğ×ng nói chuy®n v¾i ta."
"Process plants (barrel)","Chª biªn thñc v§t (thùng)"
" X-Variance"," Phß½ng sai X"
"Store item in vehicle","C¤t giæ v§t ph¦m vào phß½ng ti®n"
"Dismiss minor feeling of pessimism","Xua ği thoáng chút cäm giác bi quan"
"impalement on ","xiên trên "
"There are no merchants present with which to trade.","Không có thß½ng nhân nào hi®n di®n ğ¬ giao thß½ng."
"You are unconscious.","BÕn ğang b¤t tïnh."
"medicine:theory:epidemic disease","Y h÷c: Lı thuyªt: B®nh d¸ch"
" string by stopping it against the body.  "," dây ğàn b¢ng cách ch£n nó vào thân ğàn. "
"the heliocentric model","Mô hình nh§t tâm"
"the joining of ","vi®c gia nh§p cüa "
"I just don't care anymore...","Ta chÆng còn quan tâm næa..."
"the Shape of the World","Hình DÕng cüa Thª Gi¾i"
"greed","Tham lam"
"gambling of ","hành vi c¶ bÕc cüa "
"unit-","ğ½n v¸-"
"Grumpy","G¡t göng"
"a proof that there are infinitely many prime numbers","mµt chÑng minh r¢ng có vô s¯ s¯ nguyên t¯"
"more sensitive","nhÕy cäm h½n"
"a jealous grudge, ","mµt m¯i h§n thù ghen tuông, "
"Flights of fancy","Hay m½ mµng"
"to be rapidly losing patience","ğang nhanh chóng m¤t kiên nhçn"
"horror","n²i kinh hoàng này"
" as pet"," làm thú cßng"
"Entrance","L¯i vào"
"Blood Vessels","MÕch Máu"
"Respond passively","Phän Ñng thø ğµng"
"I don't feel restless.","Ta không cäm th¤y b°n ch°n."
" adjust"," Ği«u chïnh"
"A marauding warband is threatening our people.","Mµt bång cß¾p ğang ğe d÷a dân tµc chúng ta."
"This ornamental construction can enhance the value of rooms.  A window object must be made at a glass furnace before it can be placed.","Công trình trang trí này có th¬ làm tång giá tr¸ cüa các cån phòng. Mµt v§t ph¦m cØa s± phäi ğßşc chª tÕo tÕi lò nung thüy tinh trß¾c khi có th¬ ğ£t."
"Quick to give up","D­ bö cuµc"
" regain"," l¤y lÕi"
" lock"," Khóa"
"We have unleashed the echo of a forgotten divine retribution!","Chúng ta ğã giäi phóng tiªng v÷ng cüa mµt sñ tr×ng phÕt thiêng liêng b¸ lãng quên!"
"(no mat1)","(không có v§t li®u 1)"
" (location no longer in zone)"," (v¸ trí không còn n¢m trong khu vñc)"
"the embriological development of creatures","sñ phát tri¬n phôi thai cüa sinh v§t"
"tanned hide","da ğã thuµc"
"With a band so large, what share of the glory would I have?","V¾i mµt toán ğông nhß v§y, vinh quang cüa ta s¨ còn ğßşc bao nhiêu?"
"somewhat quarrelsome","h½i hay gây g±"
"the construction and use of the parabolic mirror","vi®c chª tÕo và sØ døng gß½ng parabol"
"Add ammunition","Thêm ğÕn dßşc."
"an amazing spatial sense","mµt cäm giác không gian tuy®t v¶i"
"raw... clear","thô... trong su¯t"
"Minimum Number of Mid-Drainage Squares","S¯ lßşng Ô ğ¸a hình có ğµ thoát nß¾c trung bình t¯i thi¬u"
"Affects resistance to poisons and infections.","Änh hß·ng ğªn khä nång kháng ğµc và nhi­m trùng."
"chemistry:laboratory:glass retort","Hóa h÷c:Thiªt b¸:Bình chßng c¤t c± cong thüy tinh"
"condense","Ngßng tø"
"Avoid fights","Tránh xung ğµt"
"pressed amber","h± phách ép"
" forth an awe-inspiring sermon for the ages!"," mµt bài giäng hùng vî ği vào l¸ch sØ!"
"decorum","Phép t¡c"
"Cart","Xe ğ¦y"
"Store item in barrel","C¤t giæ v§t ph¦m vào thùng"
"arpeggios","hşp âm räi"
"combat drills","Hu¤n luy®n chiªn ğ¤u"
"add button to assign the [C:2:0:0]Animals[C:7:0:0].","nút thêm ğ¬ giao [C:2:0:0]Animals[C:7:0:0]."
" but did not reveal everything"," nhßng không tiªt lµ t¤t cä"
"I have become a parent","Tôi ğã tr· thành cha m©."
"Don't try to throw your weight around.","Ğ×ng c¯ tö ra quy«n thª."
"pyramids","Hình chóp"
"Truly.","Th§t v§y."
"baronesses","Các næ nam tß¾c"
"--- Logging Creature ","#NAME? "
"holds fairness as one of the highest ideals and despises cheating of any kind","Coi sñ công b¢ng là mµt trong nhæng lı tß·ng cao nh¤t và khinh bï m÷i hình thÑc gian l§n."
"the attack on ","cuµc t¤n công vào "
"leatherworker","thş da"
" wind instrument"," nhÕc cø h½i"
"a petition for a temple for ","mµt thïnh c¥u xây ğ«n th¶ cho "
"Thick","Dày Ğ£c"
"(Cavern soil","(Ğ¤t hang ğµng"
"push","Ğ¦y"
"State feelings of great aversion","Bày tö cäm giác ác cäm sâu s¡c"
" with temple"," có ğ«n th¶"
"State feelings of eagerness","Bày tö cäm xúc háo hÑc"
"Writing materials include paper and parchment sheets.","V§t li®u viªt bao g°m gi¤y và t¤m da thuµc."
"sees the pursuit of good ","coi vi®c theo ğu±i cái thi®n "
"Sleep/room at will","Ngü/phòng riêng tùy ı"
"drops any activity at the slightest hint of difficulty or even the suggestion of effort being required","bö d· m÷i hoÕt ğµng chï v¾i mµt chút khó khån hay th§m chí chï c¥n gşi ı v« sñ n² lñc c¥n có"
"mountains","Núi"
" a good crack when "," mµt tiªng kêu rång r¡c rõ ràng khi "
"Melancholy","N²i U S¥u"
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","Mµt s¯ ğ¸a ği¬m có th¬ thách thÑc ngay cä nhæng ngß¶i ch½i có kinh nghi®m, và trò ch½i s¨ kªt thúc r¤t nhanh chóng nªu bÕn không biªt cách ğ¯i phó v¾i chúng!"
"map accuracy","ğµ chính xác bän ğ°"
"noted protector of the weak","ngß¶i bäo v® kë yªu có tiªng"
"finds the pursuit of knowledge to be a waste of effort","Th¤y vi®c theo ğu±i kiªn thÑc là mµt sñ lãng phí công sÑc."
"Toggle whether workshops can source materials from outside the burrow.","Chuy¬n ğ±i xem các xß·ng có th¬ l¤y v§t li®u t× bên ngoài hang ğµng hay không."
"Closing file...","Ğang ğóng t§p tin..."
" been "," ğã "
"came to desire to bathe the world in chaos","b¡t ğ¥u khao khát nh¤n chìm thª gi¾i trong h²n loÕn"
" concluded with "," kªt thúc b¢ng "
"Deceit","Sñ L×a D¯i"
"population of several hundred","dân s¯ vài tråm ngß¶i"
"Complete: report back","Hoàn thành: báo cáo lÕi"
"Workers ignore outdoor vermin remains","Công nhân bö qua xác b÷ hÕi ngoài tr¶i"
"the vial","l÷ nhö"
"That was frightening.","Th§t ğáng sş."
"No one even considered making the journey to such a miserable hellhole this season.","Mùa này không mµt ai th§m chí còn cân nh¡c thñc hi®n chuyªn ği ğªn mµt ğ¸a ngøc thê lß½ng nhß v§y."
"a former prisoner of","mµt cñu tù nhân cüa"
" dislikes the adoration of fighting as an art to be refined"," không thích sñ tôn sùng chiªn ğ¤u nhß mµt ngh® thu§t c¥n ğßşc trau d°i"
"the Surrender","Sñ Ğ¥u Hàng"
"no shoes","Không có giày"
"as a symbol of authority within ","nhß mµt bi¬u tßşng quy«n lñc trong "
"official meeting in dining room","Cuµc h÷p chính thÑc trong phòng ån"
"a caravan from ","mµt ğoàn læ hành t× "
"Things usually don't work out","M÷i vi®c thß¶ng không suôn së."
"Economy production trigger 3","NgßŞng kích hoÕt sän lßşng kinh tª 3"
"compelled the creation of","ğã cßŞng chª vi®c tÕo ra"
"surveying","tr¡c ğ¸a"
"entertain people","mua vui cho m÷i ngß¶i"
"I despair at this!","Ta tuy®t v÷ng vì ği«u này!"
"squeaky-voiced","gi÷ng the thé"
"was drowned","b¸ chªt ğu¯i"
"famous dancer","Vû công n±i tiªng"
"This creature is assigned to a work detail.","Sinh v§t này ğßşc giao cho mµt nhóm công tác."
"Werebeasts can attack","Các thú nhân có th¬ t¤n công"
"the Verse","Th½"
"This mission cannot be altered now.","Nhi®m vø này hi®n không th¬ thay ğ±i."
"  Best keep your head down."," T¯t nh¤t là nên giæ mình."
"Horrors!  Demons in the deep!","Khüng khiªp! QuÖ dæ n½i vñc sâu!"
"an unknown building","Mµt công trình chßa ğßşc biªt ğªn"
"Tell a story about a civilization or organization","K¬ mµt câu chuy®n v« mµt n«n vån minh ho£c t± chÑc"
"Frightened","Hoäng sş"
"Attacks target specific body parts and have various modifiers.  You will select these in the subsequent menus.  ","Các ğòn t¤n công nh¡m vào các bµ ph§n c½ th¬ cø th¬ và có nhi«u yªu t¯ ği«u chïnh khác nhau. BÕn s¨ ch÷n chúng trong các menu tiªp theo. "
"You will received bad advice.","Ngß½i s¨ nh§n ğßşc l¶i khuyên t°i t®."
"You are melting!","BÕn ğang tan chäy!"
"mid-size stationary","các ph¥n tînh cŞ trung bình"
"has a large body and is very fat","s· hæu thân hình l¾n và r¤t béo"
"after practicing a skill","Sau khi rèn luy®n mµt kÛ nång"
" strike at "," Ğánh vào "
"rewarding","ğang ban thß·ng"
"medicine:tool:animal remedies","Y h÷c: Công cø: Phß½ng thu¯c t× ğµng v§t"
" commissioners"," Các üy viên"
"I feel resentful.","Tôi cäm th¤y oán gi§n."
"Not set to fertilize","Chßa ğ£t chª ğµ bón phân"
"only son","con trai ğµc nh¤t"
"Practice","Sñ luy®n t§p"
" slipping out of "," lën ra khöi "
"Legendary preserver of the knowledge","Ngß¶i gìn giæ tri thÑc huy«n thoÕi"
" from paternal grandfather"," t× ông nµi"
"began wandering","b¡t ğ¥u lang thang"
"Protector of the weak","Ngß¶i bäo v® kë yªu"
"Desired Evil Square Count in Small Subregions","S¯ ô vuông Ác mong mu¯n trong các ti¬u vùng nhö"
"a few hours ago","vài gi¶ trß¾c"
"Wax Worker","Thş chª tác sáp"
"Corrupt Soldier Mood: ","Tâm trÕng Binh lính Tha hóa: "
"a request to offer service","mµt yêu c¥u cung c¤p d¸ch vø"
"later","Sau này"
"I could not find a priest to comfort me.","Tôi không th¬ tìm th¤y mµt linh møc ğ¬ an üi mình."
"shield","Khiên"
"Finalizing inorganics...","Ğang hoàn thi®n phi hæu c½..."
"the army of ","quân ğµi cüa "
"silence","sñ tînh l£ng"
" amulet"," bùa hµ m®nh"
"square of pillars","hình vuông cµt ğá"
"heavy","n£ng n«"
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","Thiªt l§p l®nh ch£t cây. Ch÷n g¯c cây ğ¬ ngß¶i ğ¯n g² có th¬ tiªp c§n. Phân công mµt ngß¶i ğ¯n g² vào ğµi công tác nªu c¥n. Ngß¶i ğ¯n g² c¥n có mµt cái rìu."
"The world generator is having trouble placing savagery in the manner specified by the parameters.  ","Trình tÕo thª gi¾i ğang g£p khó khån trong vi®c ğ£t ğµ hoang dã theo cách ğßşc chï ğ¸nh b·i các tham s¯. "
"the Steps","Bß¾c nhäy"
"the differential gear","bánh rång vi sai"
" synthesis"," t±ng hşp"
" on its territory"," ğ¯i v¾i lãnh th± cüa mình"
"a great sense of empathy","mµt khä nång ğ°ng cäm tuy®t v¶i"
"Set from which workshops and stockpiles this stockpile gives and takes items.","Ğ£t t× nhæng xß·ng và kho dñ træ nào mà kho dñ træ này c¤p và nh§n v§t ph¦m."
"Popup: Work details","CØa s± b§t lên: Chi tiªt công vi®c"
"dislikes obligations and will try to avoid being bound by them","không thích các nghîa vø và s¨ c¯ g¡ng tránh b¸ ràng buµc b·i chúng"
"afraid to die","Sş chªt"
"of the poem","cüa bài th½"
" is stumbling around obliviously!"," ğang loÕng choÕng mµt cách vô thÑc!"
"a very good setting","mµt khung cänh r¤t t¯t."
"tends to stretch ","có xu hß¾ng vß½n vai "
"A legend?  Here?  I can scarcely believe it.  ","Mµt huy«n thoÕi ß? — ğây ß? Tôi g¥n nhß không th¬ tin n±i. "
"  Knowing no mercy, "," ChÆng chút lòng thß½ng, "
" with intentions of shooting "," v¾i ı ğ¸nh b¡n "
"Some laws are just, while others were made to be broken.","Mµt s¯ lu§t l® là công b¢ng, trong khi s¯ khác ğßşc tÕo ra ğ¬ b¸ phá vŞ."
"in need of drink","c¥n nß¾c"
" stand is used to support the instrument.]"," Giá ğŞ ğßşc sØ døng ğ¬ ğŞ nhÕc cø.]"
"Prepare using a saved embark profile:","Chu¦n b¸ b¢ng cách sØ døng c¤u hình kh·i hành ğã lßu:"
"Your most trusted local companions are meeting you here today.","Nhæng ngß¶i bÕn ğ°ng hành ğ¸a phß½ng ğáng tin c§y nh¤t cüa ngß½i ğang g£p ngß½i · ğây hôm nay."
"has a long, thin frame hidden beneath copious rolls of lard","s· hæu vóc dáng dài, g¥y, ¦n dß¾i nhæng l¾p mŞ th×a dày cµm."
" through force of argument"," b¢ng sÑc mÕnh cüa lı l¨"
" (V Rusty)"," (R¤t gï sét)"
"figurine","tßşng nhö"
"[C:3:0:1].Paralysis","[C:3:0:1].Tê li®t"
"rumored enemy","Kë thù b¸ ğ°n ğÕi"
"fish","cá"
"a legendary quarreler","mµt ngß¶i cãi vã huy«n thoÕi"
"Childhood friend","BÕn thu· nhö"
"Died in the dark","Chªt trong bóng t¯i"
"choking on dust underground","NgÕt bøi dß¾i lòng ğ¤t"
"Calm yourself!","Hãy bình tînh!"
"Ice Track (W)","Ğß¶ng ray bång (Tây)"
"Acknowledge lack of rapture","Xác nh§n sñ thiªu v¡ng mê ly"
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","Chï ğào qu£ng và ğá quı ğã ch÷n, ğ°ng th¶i tñ ğµng khai thác b¤t kÏ qu£ng và ğá quı cùng loÕi nào ğßşc phát hi®n."
"failure to get end square construction for transport link","Không th¬ xây dñng ô kªt thúc cho tuyªn ğß¶ng v§n chuy¬n"
"is slow to trust others","Ch§m tin tß·ng ngß¶i khác"
"eighteen","mß¶i tám"
"Acknowledge lack of repentance","Xác nh§n sñ thiªu v¡ng sám h¯i"
"Sudden Attacks","C½n Ğµt Ngµt"
